"DEP","ESS","famille","taille_etab","nb_etab","nb_ent","eff_31","eff_EQTP","rem_brut"
"France entière","ESS + Hors ESS","Public","1 - Micro entreprise","81120","35428","288449","265328","8516872444"
"France entière","ESS + Hors ESS","Public","2 - Petites entreprises","40180","15397","786560","724783","23542648123"
"France entière","ESS + Hors ESS","Public","3 - Moyennes entreprises","17025","11979","1559462","1438658","49331939004"
"France entière","ESS + Hors ESS","Public","4 - Grandes entreprises","3700","2462","3051338","2834523","95948472877"
"France entière","ESS","1. Coopérative","Toutes entreprises","20622","7915","300698","292623","12295881971"
"France entière","ESS","2. Mutuelle","Toutes entreprises","7479","664","136906","123909","5044000821"
"France entière","ESS","3. Association","Toutes entreprises","181598","148646","1814171","1557168","45139891153"
"France entière","ESS","4. Fondation","Toutes entreprises","1680","501","88875","79568","2665508481"
"France entière","Hors ESS","Privé Hors ESS","Toutes entreprises","1906437","1579597","14828160","13905244","519263022427"
"France entière","Hors ESS","Public","Toutes entreprises","142025","65266","5685809","5263292","177339932448"
"France entière","ESS","1. Coopérative","1 - Micro entreprise","15904","5857","54392","56348","2213629250"
"France entière","ESS","1. Coopérative","2 - Petites entreprises","3935","1617","69122","65923","2583643864"
"France entière","ESS","1. Coopérative","3 - Moyennes entreprises","590","351","55566","52173","2035381274"
"France entière","ESS","1. Coopérative","4 - Grandes entreprises","193","90","121618","118180","5463227583"
"France entière","ESS","2. Mutuelle","1 - Micro entreprise","5347","353","17583","17561","710518864"
"France entière","ESS","2. Mutuelle","2 - Petites entreprises","1501","195","29581","25971","1009730717"
"France entière","ESS","2. Mutuelle","3 - Moyennes entreprises","556","91","52193","46159","1724146611"
"France entière","ESS","2. Mutuelle","4 - Grandes entreprises","75","25","37549","34218","1599604629"
"France entière","ESS","3. Association","1 - Micro entreprise","137962","121553","235255","231886","6669327752"
"France entière","ESS","3. Association","2 - Petites entreprises","33801","21622","655555","547418","16218211753"
"France entière","ESS","3. Association","3 - Moyennes entreprises","9417","5183","752861","635091","17761493429"
"France entière","ESS","3. Association","4 - Grandes entreprises","418","288","170500","142772","4490858219"
"France entière","ESS","4. Fondation","1 - Micro entreprise","579","262","1966","2235","77784921"
"France entière","ESS","4. Fondation","2 - Petites entreprises","574","115","14478","12678","402618864"
"France entière","ESS","4. Fondation","3 - Moyennes entreprises","477","101","40633","35748","1096562415"
"France entière","ESS","4. Fondation","4 - Grandes entreprises","50","23","31798","28908","1088542281"
"France entière","Hors ESS","Privé Hors ESS","1 - Micro entreprise","1627834","1388721","3699216","3628699","109845957310"
"France entière","Hors ESS","Privé Hors ESS","2 - Petites entreprises","231434","163831","4261765","3933440","136911683468"
"France entière","Hors ESS","Privé Hors ESS","3 - Moyennes entreprises","41207","24029","3779130","3470557","135722139902"
"France entière","Hors ESS","Privé Hors ESS","4 - Grandes entreprises","5962","3016","3088049","2872549","136783241747"
"France entière","Hors ESS","Public","1 - Micro entreprise","81120","35428","288449","265328","8516872444"
"France entière","Hors ESS","Public","2 - Petites entreprises","40180","15397","786560","724783","23542648123"
"France entière","Hors ESS","Public","3 - Moyennes entreprises","17025","11979","1559462","1438658","49331939004"
"France entière","Hors ESS","Public","4 - Grandes entreprises","3700","2462","3051338","2834523","95948472877"
"1","ESS + Hors ESS","Ensemble","Toutes entreprises","19281","15444","175470","161865","5378333158"
"2","ESS + Hors ESS","Ensemble","Toutes entreprises","14512","11494","139231","127757","3930745622"
"3","ESS + Hors ESS","Ensemble","Toutes entreprises","10980","8491","96204","89126","2701722711"
"4","ESS + Hors ESS","Ensemble","Toutes entreprises","7132","5825","43848","41223","1264727110"
"5","ESS + Hors ESS","Ensemble","Toutes entreprises","7251","5903","43109","39411","1179328992"
"6","ESS + Hors ESS","Ensemble","Toutes entreprises","47982","39423","371764","350935","12297626466"
"7","ESS + Hors ESS","Ensemble","Toutes entreprises","10963","9016","82318","76287","2367956911"
"8","ESS + Hors ESS","Ensemble","Toutes entreprises","8212","6644","72982","66783","2095552159"
"9","ESS + Hors ESS","Ensemble","Toutes entreprises","5482","4326","39574","36170","1100378974"
"10","ESS + Hors ESS","Ensemble","Toutes entreprises","10749","8464","90024","83835","2621366618"
"11","ESS + Hors ESS","Ensemble","Toutes entreprises","13239","10643","92592","85385","2515836026"
"12","ESS + Hors ESS","Ensemble","Toutes entreprises","11507","9246","83349","76916","2336823899"
"13","ESS + Hors ESS","Ensemble","Toutes entreprises","72752","57875","732057","679208","24277364834"
"14","ESS + Hors ESS","Ensemble","Toutes entreprises","24449","19401","233040","216181","6855188451"
"15","ESS + Hors ESS","Ensemble","Toutes entreprises","5834","4669","42551","38954","1137104047"
"16","ESS + Hors ESS","Ensemble","Toutes entreprises","12200","9815","108473","100551","3163368184"
"17","ESS + Hors ESS","Ensemble","Toutes entreprises","25408","20765","177492","167930","5050239012"
"18","ESS + Hors ESS","Ensemble","Toutes entreprises","9505","7320","86977","81028","2559452226"
"19","ESS + Hors ESS","Ensemble","Toutes entreprises","8567","6517","73664","68618","2093266663"
"21","ESS + Hors ESS","Ensemble","Toutes entreprises","18698","14284","194343","179918","5966967372"
"22","ESS + Hors ESS","Ensemble","Toutes entreprises","19938","16256","171201","159516","4889736633"
"23","ESS + Hors ESS","Ensemble","Toutes entreprises","4181","3334","29866","27297","792244683"
"24","ESS + Hors ESS","Ensemble","Toutes entreprises","15203","12404","110937","104182","3041884460"
"25","ESS + Hors ESS","Ensemble","Toutes entreprises","16920","13085","176928","162116","5300064729"
"26","ESS + Hors ESS","Ensemble","Toutes entreprises","19622","15680","174157","162015","5345316208"
"27","ESS + Hors ESS","Ensemble","Toutes entreprises","16465","13153","156640","145315","4729880464"
"28","ESS + Hors ESS","Ensemble","Toutes entreprises","12569","9791","123170","115032","3768991894"
"29","ESS + Hors ESS","Ensemble","Toutes entreprises","28986","23118","276261","256470","8165742748"
"2A","ESS + Hors ESS","Ensemble","Toutes entreprises","8297","7202","52626","52752","1697730983"
"2B","ESS + Hors ESS","Ensemble","Toutes entreprises","8546","7422","50134","48427","1518239454"
"30","ESS + Hors ESS","Ensemble","Toutes entreprises","25191","20823","192769","179158","5679480623"
"31","ESS + Hors ESS","Ensemble","Toutes entreprises","45884","35311","549379","507126","18814224756"
"32","ESS + Hors ESS","Ensemble","Toutes entreprises","7660","6360","50435","45970","1357451960"
"33","ESS + Hors ESS","Ensemble","Toutes entreprises","58023","45608","561787","521896","17849481608"
"34","ESS + Hors ESS","Ensemble","Toutes entreprises","42747","34718","357372","331346","10777612575"
"35","ESS + Hors ESS","Ensemble","Toutes entreprises","34049","26499","395650","365842","12144640502"
"36","ESS + Hors ESS","Ensemble","Toutes entreprises","7491","5924","64570","59534","1790584240"
"37","ESS + Hors ESS","Ensemble","Toutes entreprises","19277","14728","200155","186261","6093408872"
"38","ESS + Hors ESS","Ensemble","Toutes entreprises","40889","32496","420702","385390","13982022001"
"39","ESS + Hors ESS","Ensemble","Toutes entreprises","9410","7531","77033","70883","2233410905"
"40","ESS + Hors ESS","Ensemble","Toutes entreprises","15011","11947","111479","107487","3253059125"
"41","ESS + Hors ESS","Ensemble","Toutes entreprises","10656","8416","99559","93682","2954731268"
"42","ESS + Hors ESS","Ensemble","Toutes entreprises","24345","19542","236897","215695","7089400136"
"43","ESS + Hors ESS","Ensemble","Toutes entreprises","8156","6685","63221","56917","1693395073"
"44","ESS + Hors ESS","Ensemble","Toutes entreprises","44491","33854","525814","485525","16696521718"
"45","ESS + Hors ESS","Ensemble","Toutes entreprises","19721","15185","229521","214855","7271946022"
"46","ESS + Hors ESS","Ensemble","Toutes entreprises","6694","5338","48884","45348","1382436952"
"47","ESS + Hors ESS","Ensemble","Toutes entreprises","12239","9849","94814","89717","2679033815"
"48","ESS + Hors ESS","Ensemble","Toutes entreprises","3531","2861","23552","21905","645110694"
"49","ESS + Hors ESS","Ensemble","Toutes entreprises","24877","19680","266770","247214","7745834834"
"50","ESS + Hors ESS","Ensemble","Toutes entreprises","16361","13279","150416","138816","4312918136"
"51","ESS + Hors ESS","Ensemble","Toutes entreprises","21187","16933","197738","183461","6116660781"
"52","ESS + Hors ESS","Ensemble","Toutes entreprises","5877","4519","51977","47929","1468197111"
"53","ESS + Hors ESS","Ensemble","Toutes entreprises","9899","7982","100454","92950","2903653586"
"54","ESS + Hors ESS","Ensemble","Toutes entreprises","19636","14603","221990","207606","6790576090"
"55","ESS + Hors ESS","Ensemble","Toutes entreprises","5563","4409","47520","43210","1331532862"
"56","ESS + Hors ESS","Ensemble","Toutes entreprises","25201","20400","220420","204314","6303048198"
"57","ESS + Hors ESS","Ensemble","Toutes entreprises","27763","20904","292371","267064","8850110225"
"58","ESS + Hors ESS","Ensemble","Toutes entreprises","6841","5269","58420","54139","1629083379"
"59","ESS + Hors ESS","Ensemble","Toutes entreprises","67330","51326","892215","819911","27836658931"
"60","ESS + Hors ESS","Ensemble","Toutes entreprises","21711","16969","226311","210585","7016780829"
"61","ESS + Hors ESS","Ensemble","Toutes entreprises","9696","7898","84302","78182","2359233867"
"62","ESS + Hors ESS","Ensemble","Toutes entreprises","36608","28088","409559","374163","11655258836"
"63","ESS + Hors ESS","Ensemble","Toutes entreprises","21222","16579","224140","207547","6997157440"
"64","ESS + Hors ESS","Ensemble","Toutes entreprises","26802","21084","219039","203506","6742063389"
"65","ESS + Hors ESS","Ensemble","Toutes entreprises","8826","6963","65812","61449","1858750710"
"66","ESS + Hors ESS","Ensemble","Toutes entreprises","17365","14372","124775","117978","3527760389"
"67","ESS + Hors ESS","Ensemble","Toutes entreprises","38710","30806","415078","380620","13319200787"
"68","ESS + Hors ESS","Ensemble","Toutes entreprises","23567","18893","237937","216846","7359038080"
"69","ESS + Hors ESS","Ensemble","Toutes entreprises","71317","55477","814756","752601","28366198183"
"70","ESS + Hors ESS","Ensemble","Toutes entreprises","7018","5655","59113","53740","1639853973"
"71","ESS + Hors ESS","Ensemble","Toutes entreprises","18708","14670","166862","153579","4863294945"
"72","ESS + Hors ESS","Ensemble","Toutes entreprises","16049","12324","176285","163187","5187474341"
"73","ESS + Hors ESS","Ensemble","Toutes entreprises","20466","16191","159202","147424","4868062250"
"74","ESS + Hors ESS","Ensemble","Toutes entreprises","30392","24247","247722","231066","7878488454"
"75","ESS + Hors ESS","Ensemble","Toutes entreprises","178003","149837","1686206","1581432","74470820830"
"76","ESS + Hors ESS","Ensemble","Toutes entreprises","36073","27187","430102","396980","13459987532"
"77","ESS + Hors ESS","Ensemble","Toutes entreprises","37772","29914","433781","399152","13954830106"
"78","ESS + Hors ESS","Ensemble","Toutes entreprises","38843","30538","487255","457129","19263766499"
"79","ESS + Hors ESS","Ensemble","Toutes entreprises","11486","9103","125221","115569","3759626442"
"80","ESS + Hors ESS","Ensemble","Toutes entreprises","16586","12888","177022","162491","5195836632"
"81","ESS + Hors ESS","Ensemble","Toutes entreprises","12906","10326","103955","94450","3008100407"
"82","ESS + Hors ESS","Ensemble","Toutes entreprises","8527","6827","65254","61591","1843766688"
"83","ESS + Hors ESS","Ensemble","Toutes entreprises","40079","32668","270531","257228","8012715165"
"84","ESS + Hors ESS","Ensemble","Toutes entreprises","22919","18814","176930","166763","5267210086"
"85","ESS + Hors ESS","Ensemble","Toutes entreprises","23232","18751","216071","202587","6168180909"
"86","ESS + Hors ESS","Ensemble","Toutes entreprises","12948","9952","141795","131889","4138182062"
"87","ESS + Hors ESS","Ensemble","Toutes entreprises","11280","8747","140201","122858","3771436339"
"88","ESS + Hors ESS","Ensemble","Toutes entreprises","12185","9625","108313","100391","3091310654"
"89","ESS + Hors ESS","Ensemble","Toutes entreprises","10931","8499","97564","89846","2771005903"
"90","ESS + Hors ESS","Ensemble","Toutes entreprises","3817","2875","44486","40669","1440909147"
"91","ESS + Hors ESS","Ensemble","Toutes entreprises","32491","25889","431195","398580","15518840161"
"92","ESS + Hors ESS","Ensemble","Toutes entreprises","55558","44863","1027773","979336","53678701007"
"93","ESS + Hors ESS","Ensemble","Toutes entreprises","43304","35677","589626","547600","22264754155"
"94","ESS + Hors ESS","Ensemble","Toutes entreprises","38329","31593","505142","471352","18614991140"
"95","ESS + Hors ESS","Ensemble","Toutes entreprises","30309","24566","355094","326259","11859252225"
"971","ESS + Hors ESS","Ensemble","Toutes entreprises","11561","9607","107541","100932","3653204613"
"972","ESS + Hors ESS","Ensemble","Toutes entreprises","11565","9648","113819","106362","3806579556"
"973","ESS + Hors ESS","Ensemble","Toutes entreprises","4671","3675","53366","49862","1902766728"
"974","ESS + Hors ESS","Ensemble","Toutes entreprises","24579","20315","230617","215671","7373437173"
"1","ESS + Hors ESS","Ensemble","1 - Micro entreprise","15736","13042","38044","36667","1112973973"
"1","ESS + Hors ESS","Ensemble","2 - Petites entreprises","2872","1980","54123","49428","1611764160"
"1","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","619","385","56055","50587","1697535153"
"1","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","54","37","27248","25182","956059872"
"2","ESS + Hors ESS","Ensemble","1 - Micro entreprise","12002","9881","28139","26380","724507451"
"2","ESS + Hors ESS","Ensemble","2 - Petites entreprises","1990","1272","38374","34874","1055824544"
"2","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","459","299","41883","37920","1179808629"
"2","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","61","42","30835","28584","970604998"
"3","ESS + Hors ESS","Ensemble","1 - Micro entreprise","9177","7322","20816","19517","531057239"
"3","ESS + Hors ESS","Ensemble","2 - Petites entreprises","1445","935","27419","25134","755486970"
"3","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","318","213","28448","26058","792045205"
"3","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","40","21","19521","18418","623133297"
"4","ESS + Hors ESS","Ensemble","1 - Micro entreprise","6198","5197","11972","12188","332390103"
"4","ESS + Hors ESS","Ensemble","2 - Petites entreprises","784","523","14123","12825","384652597"
"4","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","138","96","11313","10062","318947885"
"4","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","12","9","6440","6148","228736525"
"5","ESS + Hors ESS","Ensemble","1 - Micro entreprise","6249","5243","11890","12004","330673240"
"5","ESS + Hors ESS","Ensemble","2 - Petites entreprises","853","558","14620","13202","402017613"
"5","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","138","93","10610","9014","278098899"
"5","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","11","9","5989","5192","168539240"
"6","ESS + Hors ESS","Ensemble","1 - Micro entreprise","41446","35248","89484","88029","2706485031"
"6","ESS + Hors ESS","Ensemble","2 - Petites entreprises","5401","3515","95950","88784","3053377752"
"6","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","994","580","87536","81280","2989991321"
"6","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","141","80","98794","92842","3547772362"
"7","ESS + Hors ESS","Ensemble","1 - Micro entreprise","9404","7939","20016","19685","542976648"
"7","ESS + Hors ESS","Ensemble","2 - Petites entreprises","1257","874","23184","21035","639852381"
"7","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","276","186","24773","22372","711795212"
"7","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","26","17","14345","13195","473332670"
"8","ESS + Hors ESS","Ensemble","1 - Micro entreprise","6800","5720","15710","14511","404832062"
"8","ESS + Hors ESS","Ensemble","2 - Petites entreprises","1147","761","21867","19796","610328205"
"8","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","241","148","21704","19829","640088849"
"8","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","24","15","13701","12647","440303043"
"9","ESS + Hors ESS","Ensemble","1 - Micro entreprise","4683","3801","10167","9395","251527875"
"9","ESS + Hors ESS","Ensemble","2 - Petites entreprises","664","429","12290","11032","341927274"
"9","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","124","89","10874","9861","298979603"
"9","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","11","7","6243","5881","207944222"
"10","ESS + Hors ESS","Ensemble","1 - Micro entreprise","8986","7341","19902","19097","538443340"
"10","ESS + Hors ESS","Ensemble","2 - Petites entreprises","1430","910","27029","25113","780401863"
"10","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","296","187","26073","23877","766894847"
"10","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","37","26","17020","15748","535626568"
"11","ESS + Hors ESS","Ensemble","1 - Micro entreprise","11346","9449","24652","23991","649041458"
"11","ESS + Hors ESS","Ensemble","2 - Petites entreprises","1561","995","28250","25605","761558589"
"11","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","313","188","27505","24565","750003987"
"11","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","19","11","12185","11224","355231992"
"12","ESS + Hors ESS","Ensemble","1 - Micro entreprise","9766","8061","20986","19590","525135162"
"12","ESS + Hors ESS","Ensemble","2 - Petites entreprises","1446","982","27410","25334","763952737"
"12","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","278","193","23927","21546","681541625"
"12","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","17","10","11026","10446","366194375"
"13","ESS + Hors ESS","Ensemble","1 - Micro entreprise","60737","50715","139348","136939","4172830007"
"13","ESS + Hors ESS","Ensemble","2 - Petites entreprises","9544","5781","176538","159817","5574907315"
"13","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","2170","1222","193031","174582","6430106380"
"13","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","301","157","223140","207869","8099521132"
"14","ESS + Hors ESS","Ensemble","1 - Micro entreprise","20371","16765","46555","45371","1286534477"
"14","ESS + Hors ESS","Ensemble","2 - Petites entreprises","3247","2120","61436","56415","1787241408"
"14","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","725","444","64115","58056","1885855377"
"14","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","106","72","60934","56340","1895557189"
"15","ESS + Hors ESS","Ensemble","1 - Micro entreprise","4966","4097","10669","9996","263950770"
"15","ESS + Hors ESS","Ensemble","2 - Petites entreprises","701","459","13270","12004","353427926"
"15","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","158","106","12960","11586","344228720"
"15","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","9","7","5652","5368","175496631"
"16","ESS + Hors ESS","Ensemble","1 - Micro entreprise","10114","8395","23937","22805","629352757"
"16","ESS + Hors ESS","Ensemble","2 - Petites entreprises","1687","1174","32552","29578","902027450"
"16","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","359","225","32405","29635","963476534"
"16","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","40","21","19579","18532","668511443"
"17","ESS + Hors ESS","Ensemble","1 - Micro entreprise","21994","18484","47147","47742","1283468538"
"17","ESS + Hors ESS","Ensemble","2 - Petites entreprises","2799","1886","52074","48242","1442763587"
"17","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","558","356","45288","41455","1295643778"
"17","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","57","39","32983","30492","1028363109"
"18","ESS + Hors ESS","Ensemble","1 - Micro entreprise","7957","6367","18942","18079","503911228"
"18","ESS + Hors ESS","Ensemble","2 - Petites entreprises","1228","767","23258","21379","655352939"
"18","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","284","166","25583","23457","749055742"
"18","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","36","20","19194","18112","651132317"
"19","ESS + Hors ESS","Ensemble","1 - Micro entreprise","7162","5638","16830","16234","448239026"
"19","ESS + Hors ESS","Ensemble","2 - Petites entreprises","1149","713","22170","20226","613324282"
"19","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","225","145","19751","18114","572242058"
"19","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","31","21","14913","14044","459461297"
"21","ESS + Hors ESS","Ensemble","1 - Micro entreprise","15342","12268","36560","35368","1048075855"
"21","ESS + Hors ESS","Ensemble","2 - Petites entreprises","2631","1616","49202","45215","1500491810"
"21","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","627","346","56611","51638","1803739540"
"21","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","98","54","51970","47697","1614660167"
"22","ESS + Hors ESS","Ensemble","1 - Micro entreprise","16802","14163","37400","37303","1024509756"
"22","ESS + Hors ESS","Ensemble","2 - Petites entreprises","2508","1677","47991","44109","1339657892"
"22","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","570","382","51606","46677","1454151789"
"22","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","58","34","34204","31427","1071417196"
"23","ESS + Hors ESS","Ensemble","1 - Micro entreprise","3602","2957","s","s","s"
"23","ESS + Hors ESS","Ensemble","2 - Petites entreprises","468","300","8901","8036","233755062"
"23","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","102","69","8682","7688","230264726"
"23","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","9","8","s","s","s"
"24","ESS + Hors ESS","Ensemble","1 - Micro entreprise","13150","10972","28689","28467","750766351"
"24","ESS + Hors ESS","Ensemble","2 - Petites entreprises","1683","1167","32228","29524","872215175"
"24","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","326","234","28321","25836","777048677"
"24","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","44","31","21699","20354","641854257"
"25","ESS + Hors ESS","Ensemble","1 - Micro entreprise","13758","11077","33234","31561","926760464"
"25","ESS + Hors ESS","Ensemble","2 - Petites entreprises","2570","1645","47693","42957","1374692524"
"25","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","513","313","46757","42050","1390911668"
"25","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","79","50","49244","45548","1607700073"
"26","ESS + Hors ESS","Ensemble","1 - Micro entreprise","16208","13478","37052","36536","1060072134"
"26","ESS + Hors ESS","Ensemble","2 - Petites entreprises","2781","1819","52083","47767","1539585650"
"26","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","563","335","50383","45692","1554526795"
"26","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","70","48","34639","32020","1191131629"
"27","ESS + Hors ESS","Ensemble","1 - Micro entreprise","13698","11299","32104","31145","878163865"
"27","ESS + Hors ESS","Ensemble","2 - Petites entreprises","2175","1479","40539","36869","1145488141"
"27","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","519","332","47956","43609","1421390870"
"27","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","73","43","36041","33691","1284837588"
"28","ESS + Hors ESS","Ensemble","1 - Micro entreprise","10319","8348","24844","23987","704034395"
"28","ESS + Hors ESS","Ensemble","2 - Petites entreprises","1786","1143","34030","31381","1000021439"
"28","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","412","263","35357","32394","1063546482"
"28","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","52","37","28939","27270","1001389578"
"29","ESS + Hors ESS","Ensemble","1 - Micro entreprise","24040","19901","55222","54992","1542062341"
"29","ESS + Hors ESS","Ensemble","2 - Petites entreprises","3963","2635","74314","68587","2115617000"
"29","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","864","505","76258","68441","2178575505"
"29","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","119","77","70467","64449","2329487902"
"2A","ESS + Hors ESS","Ensemble","1 - Micro entreprise","7281","6471","14912","16970","473367917"
"2A","ESS + Hors ESS","Ensemble","2 - Petites entreprises","865","628","15672","15223","492821584"
