"REG","typo_Asso","typo_Asso_det","sexe","type_emploi","nb_poste"
"France entière","Ensemble","Action sociale NCA","Ensemble","Aides","22811"
"France entière","Ensemble","Action sociale NCA","Ensemble","Apprentis","295"
"France entière","Ensemble","Action sociale NCA","Ensemble","Ordinaires","112081"
"France entière","Ensemble","Action sociale NCA","Ensemble","Stagiaires","378"
"France entière","Ensemble","Aide a domicile","Ensemble","Aides","5876"
"France entière","Ensemble","Aide a domicile","Ensemble","Apprentis","63"
"France entière","Ensemble","Aide a domicile","Ensemble","Ordinaires","152444"
"France entière","Ensemble","Aide a domicile","Ensemble","Stagiaires","80"
"France entière","Ensemble","Aide par le travail","Ensemble","Aides","44464"
"France entière","Ensemble","Aide par le travail","Ensemble","Apprentis","182"
"France entière","Ensemble","Aide par le travail","Ensemble","Ordinaires","102886"
"France entière","Ensemble","Aide par le travail","Ensemble","Stagiaires","189"
"France entière","Ensemble","Autres enseignements","Ensemble","Aides","1601"
"France entière","Ensemble","Autres enseignements","Ensemble","Apprentis","178"
"France entière","Ensemble","Autres enseignements","Ensemble","Ordinaires","23402"
"France entière","Ensemble","Autres enseignements","Ensemble","Stagiaires","43"
"France entière","Ensemble","Enseignement culturel","Ensemble","Aides","250"
"France entière","Ensemble","Enseignement culturel","Ensemble","Apprentis","s"
"France entière","Ensemble","Enseignement culturel","Ensemble","Ordinaires","8343"
"France entière","Ensemble","Enseignement culturel","Ensemble","Stagiaires","s"
"France entière","Ensemble","Enseignement primaire/secondaire/supérieur","Ensemble","Aides","12060"
"France entière","Ensemble","Enseignement primaire/secondaire/supérieur","Ensemble","Apprentis","678"
"France entière","Ensemble","Enseignement primaire/secondaire/supérieur","Ensemble","Ordinaires","228636"
"France entière","Ensemble","Enseignement primaire/secondaire/supérieur","Ensemble","Stagiaires","77"
"France entière","Ensemble","Formation continue d adultes","Ensemble","Aides","2284"
"France entière","Ensemble","Formation continue d adultes","Ensemble","Apprentis","s"
"France entière","Ensemble","Formation continue d adultes","Ensemble","Ordinaires","28541"
"France entière","Ensemble","Formation continue d adultes","Ensemble","Stagiaires","s"
"France entière","Ensemble","Hebergement medico-social de personnes agees","Ensemble","Aides","4421"
"France entière","Ensemble","Hebergement medico-social de personnes agees","Ensemble","Apprentis","207"
"France entière","Ensemble","Hebergement medico-social de personnes agees","Ensemble","Ordinaires","95946"
"France entière","Ensemble","Hebergement medico-social de personnes agees","Ensemble","Stagiaires","65"
"France entière","Ensemble","Hebergement medico-social de personnes en difficulte","Ensemble","Aides","4804"
"France entière","Ensemble","Hebergement medico-social de personnes en difficulte","Ensemble","Apprentis","422"
"France entière","Ensemble","Hebergement medico-social de personnes en difficulte","Ensemble","Ordinaires","73645"
"France entière","Ensemble","Hebergement medico-social de personnes en difficulte","Ensemble","Stagiaires","727"
"France entière","Ensemble","Hebergement medico-social de personnes handicapees","Ensemble","Aides","7621"
"France entière","Ensemble","Hebergement medico-social de personnes handicapees","Ensemble","Apprentis","629"
"France entière","Ensemble","Hebergement medico-social de personnes handicapees","Ensemble","Ordinaires","167440"
"France entière","Ensemble","Hebergement medico-social de personnes handicapees","Ensemble","Stagiaires","1660"
"France entière","Ensemble","Loisirs","Ensemble","Aides","2491"
"France entière","Ensemble","Loisirs","Ensemble","Apprentis","s"
"France entière","Ensemble","Loisirs","Ensemble","Ordinaires","16471"
"France entière","Ensemble","Loisirs","Ensemble","Stagiaires","s"
"France entière","Ensemble","NC","Ensemble","Aides","47027"
"France entière","Ensemble","NC","Ensemble","Apprentis","3175"
"France entière","Ensemble","NC","Ensemble","Ordinaires","486475"
"France entière","Ensemble","NC","Ensemble","Stagiaires","2357"
"France entière","Ensemble","Sports","Ensemble","Aides","5878"
"France entière","Ensemble","Sports","Ensemble","Apprentis","s"
"France entière","Ensemble","Sports","Ensemble","Ordinaires","55548"
"France entière","Ensemble","Sports","Ensemble","Stagiaires","s"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","Femmes","Ensemble","8263"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","Hommes","Ensemble","2765"
"France entière","Ensemble","Accueil d enfants et d adolescents","Femmes","Ensemble","9912"
"France entière","Ensemble","Accueil d enfants et d adolescents","Hommes","Ensemble","3503"
"France entière","Ensemble","Accueil d enfants handicapes","Femmes","Ensemble","19354"
"France entière","Ensemble","Accueil d enfants handicapes","Hommes","Ensemble","4558"
"France entière","Ensemble","Accueil des jeunes enfants","Femmes","Ensemble","35791"
"France entière","Ensemble","Accueil des jeunes enfants","Hommes","Ensemble","2833"
"France entière","Ensemble","Action sociale NCA","Femmes","Ensemble","94486"
"France entière","Ensemble","Action sociale NCA","Hommes","Ensemble","41079"
"France entière","Ensemble","Aide a domicile","Femmes","Ensemble","152314"
"France entière","Ensemble","Aide a domicile","Hommes","Ensemble","6149"
"France entière","Ensemble","Aide par le travail","Femmes","Ensemble","61882"
"France entière","Ensemble","Aide par le travail","Hommes","Ensemble","85839"
"France entière","Ensemble","Autres enseignements","Femmes","Ensemble","16428"
"France entière","Ensemble","Autres enseignements","Hommes","Ensemble","8796"
"France entière","Ensemble","Enseignement culturel","Femmes","Ensemble","4797"
"France entière","Ensemble","Enseignement culturel","Hommes","Ensemble","3831"
"France entière","Ensemble","Enseignement primaire/secondaire/supérieur","Femmes","Ensemble","174839"
"France entière","Ensemble","Enseignement primaire/secondaire/supérieur","Hommes","Ensemble","66612"
"France entière","Ensemble","Formation continue d adultes","Femmes","Ensemble","18926"
"France entière","Ensemble","Formation continue d adultes","Hommes","Ensemble","12271"
"France entière","Ensemble","Hebergement medico-social de personnes agees","Femmes","Ensemble","88717"
"France entière","Ensemble","Hebergement medico-social de personnes agees","Hommes","Ensemble","11922"
"France entière","Ensemble","Hebergement medico-social de personnes en difficulte","Femmes","Ensemble","50429"
"France entière","Ensemble","Hebergement medico-social de personnes en difficulte","Hommes","Ensemble","29169"
"France entière","Ensemble","Hebergement medico-social de personnes handicapees","Femmes","Ensemble","133068"
"France entière","Ensemble","Hebergement medico-social de personnes handicapees","Hommes","Ensemble","44282"
"France entière","Ensemble","Loisirs","Femmes","Ensemble","12825"
"France entière","Ensemble","Loisirs","Hommes","Ensemble","6258"
"France entière","Ensemble","NC","Femmes","Ensemble","348583"
"France entière","Ensemble","NC","Hommes","Ensemble","190451"
"France entière","Ensemble","Sports","Femmes","Ensemble","23311"
"France entière","Ensemble","Sports","Hommes","Ensemble","39928"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","Femmes","Aides","342"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","Femmes","Apprentis","s"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","Femmes","Ordinaires","7852"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","Femmes","Stagiaires","s"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","Hommes","Aides","319"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","Hommes","Apprentis","s"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","Hommes","Ordinaires","2428"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","Hommes","Stagiaires","s"
"France entière","Ensemble","Accueil d enfants et d adolescents","Femmes","Aides","377"
"France entière","Ensemble","Accueil d enfants et d adolescents","Femmes","Apprentis","41"
"France entière","Ensemble","Accueil d enfants et d adolescents","Femmes","Ordinaires","9441"
"France entière","Ensemble","Accueil d enfants et d adolescents","Femmes","Stagiaires","53"
"France entière","Ensemble","Accueil d enfants et d adolescents","Hommes","Aides","243"
"France entière","Ensemble","Accueil d enfants et d adolescents","Hommes","Apprentis","17"
"France entière","Ensemble","Accueil d enfants et d adolescents","Hommes","Ordinaires","3219"
"France entière","Ensemble","Accueil d enfants et d adolescents","Hommes","Stagiaires","24"
"France entière","Ensemble","Accueil d enfants handicapes","Femmes","Aides","324"
"France entière","Ensemble","Accueil d enfants handicapes","Femmes","Apprentis","53"
"France entière","Ensemble","Accueil d enfants handicapes","Femmes","Ordinaires","18826"
"France entière","Ensemble","Accueil d enfants handicapes","Femmes","Stagiaires","151"
"France entière","Ensemble","Accueil d enfants handicapes","Hommes","Aides","229"
"France entière","Ensemble","Accueil d enfants handicapes","Hommes","Apprentis","17"
"France entière","Ensemble","Accueil d enfants handicapes","Hommes","Ordinaires","4292"
"France entière","Ensemble","Accueil d enfants handicapes","Hommes","Stagiaires","20"
"France entière","Ensemble","Accueil des jeunes enfants","Femmes","Aides","3754"
"France entière","Ensemble","Accueil des jeunes enfants","Femmes","Apprentis","s"
"France entière","Ensemble","Accueil des jeunes enfants","Femmes","Ordinaires","31645"
"France entière","Ensemble","Accueil des jeunes enfants","Femmes","Stagiaires","s"
"France entière","Ensemble","Accueil des jeunes enfants","Hommes","Aides","429"
"France entière","Ensemble","Accueil des jeunes enfants","Hommes","Apprentis","s"
"France entière","Ensemble","Accueil des jeunes enfants","Hommes","Ordinaires","2376"
"France entière","Ensemble","Accueil des jeunes enfants","Hommes","Stagiaires","s"
"France entière","Ensemble","Action sociale NCA","Femmes","Aides","10148"
"France entière","Ensemble","Action sociale NCA","Femmes","Apprentis","187"
"France entière","Ensemble","Action sociale NCA","Femmes","Ordinaires","83850"
"France entière","Ensemble","Action sociale NCA","Femmes","Stagiaires","301"
"France entière","Ensemble","Action sociale NCA","Hommes","Aides","12663"
"France entière","Ensemble","Action sociale NCA","Hommes","Apprentis","108"
"France entière","Ensemble","Action sociale NCA","Hommes","Ordinaires","28231"
"France entière","Ensemble","Action sociale NCA","Hommes","Stagiaires","77"
"France entière","Ensemble","Aide a domicile","Femmes","Aides","5377"
"France entière","Ensemble","Aide a domicile","Femmes","Apprentis","50"
"France entière","Ensemble","Aide a domicile","Femmes","Ordinaires","146817"
"France entière","Ensemble","Aide a domicile","Femmes","Stagiaires","70"
"France entière","Ensemble","Aide a domicile","Hommes","Aides","499"
"France entière","Ensemble","Aide a domicile","Hommes","Apprentis","13"
"France entière","Ensemble","Aide a domicile","Hommes","Ordinaires","5627"
"France entière","Ensemble","Aide a domicile","Hommes","Stagiaires","10"
"France entière","Ensemble","Aide par le travail","Femmes","Aides","17138"
"France entière","Ensemble","Aide par le travail","Femmes","Apprentis","85"
"France entière","Ensemble","Aide par le travail","Femmes","Ordinaires","44522"
"France entière","Ensemble","Aide par le travail","Femmes","Stagiaires","137"
"France entière","Ensemble","Aide par le travail","Hommes","Aides","27326"
"France entière","Ensemble","Aide par le travail","Hommes","Apprentis","97"
"France entière","Ensemble","Aide par le travail","Hommes","Ordinaires","58364"
"France entière","Ensemble","Aide par le travail","Hommes","Stagiaires","52"
"France entière","Ensemble","Autres enseignements","Femmes","Aides","1071"
"France entière","Ensemble","Autres enseignements","Femmes","Apprentis","93"
"France entière","Ensemble","Autres enseignements","Femmes","Ordinaires","15242"
"France entière","Ensemble","Autres enseignements","Femmes","Stagiaires","22"
"France entière","Ensemble","Autres enseignements","Hommes","Aides","530"
"France entière","Ensemble","Autres enseignements","Hommes","Apprentis","85"
"France entière","Ensemble","Autres enseignements","Hommes","Ordinaires","8160"
"France entière","Ensemble","Autres enseignements","Hommes","Stagiaires","21"
"France entière","Ensemble","Enseignement culturel","Femmes","Aides","161"
"France entière","Ensemble","Enseignement culturel","Femmes","Apprentis","s"
"France entière","Ensemble","Enseignement culturel","Femmes","Ordinaires","4620"
"France entière","Ensemble","Enseignement culturel","Femmes","Stagiaires","s"
"France entière","Ensemble","Enseignement culturel","Hommes","Aides","89"
"France entière","Ensemble","Enseignement culturel","Hommes","Apprentis","s"
"France entière","Ensemble","Enseignement culturel","Hommes","Ordinaires","3723"
"France entière","Ensemble","Enseignement culturel","Hommes","Stagiaires","s"
"France entière","Ensemble","Enseignement primaire/secondaire/supérieur","Femmes","Aides","10411"
"France entière","Ensemble","Enseignement primaire/secondaire/supérieur","Femmes","Apprentis","473"
"France entière","Ensemble","Enseignement primaire/secondaire/supérieur","Femmes","Ordinaires","163910"
"France entière","Ensemble","Enseignement primaire/secondaire/supérieur","Femmes","Stagiaires","45"
"France entière","Ensemble","Enseignement primaire/secondaire/supérieur","Hommes","Aides","1649"
"France entière","Ensemble","Enseignement primaire/secondaire/supérieur","Hommes","Apprentis","205"
"France entière","Ensemble","Enseignement primaire/secondaire/supérieur","Hommes","Ordinaires","64726"
"France entière","Ensemble","Enseignement primaire/secondaire/supérieur","Hommes","Stagiaires","32"
"France entière","Ensemble","Formation continue d adultes","Femmes","Aides","1200"
"France entière","Ensemble","Formation continue d adultes","Femmes","Apprentis","s"
"France entière","Ensemble","Formation continue d adultes","Femmes","Ordinaires","17559"
"France entière","Ensemble","Formation continue d adultes","Femmes","Stagiaires","s"
"France entière","Ensemble","Formation continue d adultes","Hommes","Aides","1084"
"France entière","Ensemble","Formation continue d adultes","Hommes","Apprentis","s"
"France entière","Ensemble","Formation continue d adultes","Hommes","Ordinaires","10982"
"France entière","Ensemble","Formation continue d adultes","Hommes","Stagiaires","s"
"France entière","Ensemble","Hebergement medico-social de personnes agees","Femmes","Aides","3768"
"France entière","Ensemble","Hebergement medico-social de personnes agees","Femmes","Apprentis","s"
"France entière","Ensemble","Hebergement medico-social de personnes agees","Femmes","Ordinaires","84741"
"France entière","Ensemble","Hebergement medico-social de personnes agees","Femmes","Stagiaires","s"
"France entière","Ensemble","Hebergement medico-social de personnes agees","Hommes","Aides","653"
"France entière","Ensemble","Hebergement medico-social de personnes agees","Hommes","Apprentis","s"
"France entière","Ensemble","Hebergement medico-social de personnes agees","Hommes","Ordinaires","11205"
"France entière","Ensemble","Hebergement medico-social de personnes agees","Hommes","Stagiaires","s"
"France entière","Ensemble","Hebergement medico-social de personnes en difficulte","Femmes","Aides","2372"
"France entière","Ensemble","Hebergement medico-social de personnes en difficulte","Femmes","Apprentis","276"
"France entière","Ensemble","Hebergement medico-social de personnes en difficulte","Femmes","Ordinaires","47305"
"France entière","Ensemble","Hebergement medico-social de personnes en difficulte","Femmes","Stagiaires","476"
"France entière","Ensemble","Hebergement medico-social de personnes en difficulte","Hommes","Aides","2432"
"France entière","Ensemble","Hebergement medico-social de personnes en difficulte","Hommes","Apprentis","146"
"France entière","Ensemble","Hebergement medico-social de personnes en difficulte","Hommes","Ordinaires","26340"
"France entière","Ensemble","Hebergement medico-social de personnes en difficulte","Hommes","Stagiaires","251"
"France entière","Ensemble","Hebergement medico-social de personnes handicapees","Femmes","Aides","4922"
"France entière","Ensemble","Hebergement medico-social de personnes handicapees","Femmes","Apprentis","458"
"France entière","Ensemble","Hebergement medico-social de personnes handicapees","Femmes","Ordinaires","126397"
"France entière","Ensemble","Hebergement medico-social de personnes handicapees","Femmes","Stagiaires","1291"
"France entière","Ensemble","Hebergement medico-social de personnes handicapees","Hommes","Aides","2699"
"France entière","Ensemble","Hebergement medico-social de personnes handicapees","Hommes","Apprentis","171"
"France entière","Ensemble","Hebergement medico-social de personnes handicapees","Hommes","Ordinaires","41043"
"France entière","Ensemble","Hebergement medico-social de personnes handicapees","Hommes","Stagiaires","369"
"France entière","Ensemble","Loisirs","Femmes","Aides","1491"
"France entière","Ensemble","Loisirs","Femmes","Apprentis","s"
"France entière","Ensemble","Loisirs","Femmes","Ordinaires","11251"
"France entière","Ensemble","Loisirs","Femmes","Stagiaires","s"
"France entière","Ensemble","Loisirs","Hommes","Aides","1000"
"France entière","Ensemble","Loisirs","Hommes","Apprentis","s"
"France entière","Ensemble","Loisirs","Hommes","Ordinaires","5220"
"France entière","Ensemble","Loisirs","Hommes","Stagiaires","s"
"France entière","Ensemble","NC","Femmes","Aides","23408"
"France entière","Ensemble","NC","Femmes","Apprentis","1428"
"France entière","Ensemble","NC","Femmes","Ordinaires","322214"
"France entière","Ensemble","NC","Femmes","Stagiaires","1533"
"France entière","Ensemble","NC","Hommes","Aides","23619"
"France entière","Ensemble","NC","Hommes","Apprentis","1747"
"France entière","Ensemble","NC","Hommes","Ordinaires","164261"
"France entière","Ensemble","NC","Hommes","Stagiaires","824"
"France entière","Ensemble","Sports","Femmes","Aides","1904"
"France entière","Ensemble","Sports","Femmes","Apprentis","s"
"France entière","Ensemble","Sports","Femmes","Ordinaires","20961"
"France entière","Ensemble","Sports","Femmes","Stagiaires","s"
"France entière","Ensemble","Sports","Hommes","Aides","3974"
"France entière","Ensemble","Sports","Hommes","Apprentis","s"
"France entière","Ensemble","Sports","Hommes","Ordinaires","34587"
"France entière","Ensemble","Sports","Hommes","Stagiaires","s"
"France entière","ACTION SOCIALE (QB)","Ensemble","Ensemble","Ensemble","886315"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Ensemble","Ensemble","4479"
"France entière","ARTS SPECTACLES (RZ1)","Ensemble","Ensemble","Ensemble","31362"
"France entière","AUTRES SECTEURS D ACTIVITE DES ASSOCIATIONS","Ensemble","Ensemble","Ensemble","63411"
"France entière","ENSEIGNEMENT (PZ)","Ensemble","Ensemble","Ensemble","307934"
"France entière","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Ensemble","Ensemble","22002"
"France entière","NON-CLASSES (94.99Z)","Ensemble","Ensemble","Ensemble","164066"
"France entière","SANTE HUMAINE (QA)","Ensemble","Ensemble","Ensemble","131457"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Ensemble","Ensemble","120823"
"France entière","SPORTS ET LOISIRS (RZ2)","Ensemble","Ensemble","Ensemble","82322"
"France entière","ACTION SOCIALE (QB)","Ensemble","Ensemble","Aides","96014"
"France entière","ACTION SOCIALE (QB)","Ensemble","Ensemble","Apprentis","2318"
"France entière","ACTION SOCIALE (QB)","Ensemble","Ensemble","Ordinaires","784521"
"France entière","ACTION SOCIALE (QB)","Ensemble","Ensemble","Stagiaires","3462"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Ensemble","Aides","1062"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Ensemble","Apprentis","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Ensemble","Ordinaires","3380"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Ensemble","Stagiaires","s"
"France entière","ARTS SPECTACLES (RZ1)","Ensemble","Ensemble","Aides","3279"
"France entière","ARTS SPECTACLES (RZ1)","Ensemble","Ensemble","Apprentis","198"
"France entière","ARTS SPECTACLES (RZ1)","Ensemble","Ensemble","Ordinaires","27774"
"France entière","ARTS SPECTACLES (RZ1)","Ensemble","Ensemble","Stagiaires","111"
"France entière","AUTRES SECTEURS D ACTIVITE DES ASSOCIATIONS","Ensemble","Ensemble","Aides","4484"
"France entière","AUTRES SECTEURS D ACTIVITE DES ASSOCIATIONS","Ensemble","Ensemble","Apprentis","261"
"France entière","AUTRES SECTEURS D ACTIVITE DES ASSOCIATIONS","Ensemble","Ensemble","Ordinaires","57607"
"France entière","AUTRES SECTEURS D ACTIVITE DES ASSOCIATIONS","Ensemble","Ensemble","Stagiaires","1059"
"France entière","ENSEIGNEMENT (PZ)","Ensemble","Ensemble","Aides","16327"
"France entière","ENSEIGNEMENT (PZ)","Ensemble","Ensemble","Apprentis","1131"
"France entière","ENSEIGNEMENT (PZ)","Ensemble","Ensemble","Ordinaires","290220"
"France entière","ENSEIGNEMENT (PZ)","Ensemble","Ensemble","Stagiaires","256"
"France entière","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Ensemble","Aides","1834"
"France entière","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Ensemble","Apprentis","s"
"France entière","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Ensemble","Ordinaires","19978"
"France entière","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Ensemble","Stagiaires","s"
"France entière","NON-CLASSES (94.99Z)","Ensemble","Ensemble","Aides","24244"
"France entière","NON-CLASSES (94.99Z)","Ensemble","Ensemble","Apprentis","869"
"France entière","NON-CLASSES (94.99Z)","Ensemble","Ensemble","Ordinaires","138487"
"France entière","NON-CLASSES (94.99Z)","Ensemble","Ensemble","Stagiaires","466"
"France entière","SANTE HUMAINE (QA)","Ensemble","Ensemble","Aides","1880"
"France entière","SANTE HUMAINE (QA)","Ensemble","Ensemble","Apprentis","271"
"France entière","SANTE HUMAINE (QA)","Ensemble","Ensemble","Ordinaires","128885"
"France entière","SANTE HUMAINE (QA)","Ensemble","Ensemble","Stagiaires","421"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Ensemble","Aides","10112"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Ensemble","Apprentis","1373"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Ensemble","Ordinaires","109066"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Ensemble","Stagiaires","272"
"France entière","SPORTS ET LOISIRS (RZ2)","Ensemble","Ensemble","Aides","8369"
"France entière","SPORTS ET LOISIRS (RZ2)","Ensemble","Ensemble","Apprentis","1745"
"France entière","SPORTS ET LOISIRS (RZ2)","Ensemble","Ensemble","Ordinaires","72019"
"France entière","SPORTS ET LOISIRS (RZ2)","Ensemble","Ensemble","Stagiaires","189"
"France entière","ACTION SOCIALE (QB)","Ensemble","Femmes","Ensemble","654216"
"France entière","ACTION SOCIALE (QB)","Ensemble","Hommes","Ensemble","232099"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Femmes","Ensemble","1683"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Hommes","Ensemble","2796"
"France entière","ARTS SPECTACLES (RZ1)","Ensemble","Femmes","Ensemble","17642"
"France entière","ARTS SPECTACLES (RZ1)","Ensemble","Hommes","Ensemble","13720"
"France entière","AUTRES SECTEURS D ACTIVITE DES ASSOCIATIONS","Ensemble","Femmes","Ensemble","34802"
"France entière","AUTRES SECTEURS D ACTIVITE DES ASSOCIATIONS","Ensemble","Hommes","Ensemble","28609"
"France entière","ENSEIGNEMENT (PZ)","Ensemble","Femmes","Ensemble","216303"
"France entière","ENSEIGNEMENT (PZ)","Ensemble","Hommes","Ensemble","91631"
"France entière","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Femmes","Ensemble","13209"
"France entière","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Hommes","Ensemble","8793"
"France entière","NON-CLASSES (94.99Z)","Ensemble","Femmes","Ensemble","107471"
"France entière","NON-CLASSES (94.99Z)","Ensemble","Hommes","Ensemble","56595"
"France entière","SANTE HUMAINE (QA)","Ensemble","Femmes","Ensemble","105518"
"France entière","SANTE HUMAINE (QA)","Ensemble","Hommes","Ensemble","25939"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Femmes","Ensemble","66945"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Hommes","Ensemble","53878"
"France entière","SPORTS ET LOISIRS (RZ2)","Ensemble","Femmes","Ensemble","36136"
"France entière","SPORTS ET LOISIRS (RZ2)","Ensemble","Hommes","Ensemble","46186"
"France entière","ACTION SOCIALE (QB)","Ensemble","Femmes","Aides","48522"
"France entière","ACTION SOCIALE (QB)","Ensemble","Femmes","Apprentis","1660"
"France entière","ACTION SOCIALE (QB)","Ensemble","Femmes","Ordinaires","601396"
"France entière","ACTION SOCIALE (QB)","Ensemble","Femmes","Stagiaires","2638"
"France entière","ACTION SOCIALE (QB)","Ensemble","Hommes","Aides","47492"
"France entière","ACTION SOCIALE (QB)","Ensemble","Hommes","Apprentis","658"
"France entière","ACTION SOCIALE (QB)","Ensemble","Hommes","Ordinaires","183125"
"France entière","ACTION SOCIALE (QB)","Ensemble","Hommes","Stagiaires","824"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Femmes","Aides","351"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Femmes","Apprentis","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Femmes","Ordinaires","1315"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Femmes","Stagiaires","s"
