"REG","nom_jurid_coop","nb_poste"
"Guyane","Cooperative bancaire","48"
"Guyane","Cooperative de commerçants detaillants","s"
"Guyane","Cooperative maritime","s"
"Guyane","SCOP","s"
"Hauts-de-France","Autre cooperative","6189"
"Hauts-de-France","Cooperative HLM","s"
"Hauts-de-France","Cooperative agricole","5192"
"Hauts-de-France","Cooperative bancaire","4446"
"Hauts-de-France","Cooperative d artisans","60"
"Hauts-de-France","Cooperative de commerçants detaillants","54"
"Hauts-de-France","Cooperative de consommateurs","79"
"Hauts-de-France","Cooperative de transport","s"
"Hauts-de-France","Cooperative maritime","53"
"Hauts-de-France","SCOP","1976"
"Ile-de-France","Autre cooperative","11544"
"Ile-de-France","Cooperative HLM","s"
"Ile-de-France","Cooperative agricole","578"
"Ile-de-France","Cooperative bancaire","16581"
"Ile-de-France","Cooperative d artisans","28"
"Ile-de-France","Cooperative de commerçants detaillants","654"
"Ile-de-France","Cooperative de consommateurs","71"
"Ile-de-France","Cooperative de transport","s"
"Ile-de-France","SCOP","4631"
"La Réunion","Autre cooperative","1049"
"La Réunion","Cooperative agricole","470"
"La Réunion","Cooperative bancaire","793"
"La Réunion","Cooperative d artisans","s"
"La Réunion","Cooperative de commerçants detaillants","s"
"La Réunion","Cooperative de transport","11"
"La Réunion","SCOP","44"
"Martinique","Autre cooperative","247"
"Martinique","Cooperative agricole","58"
"Martinique","Cooperative bancaire","629"
"Martinique","Cooperative d artisans","s"
"Martinique","Cooperative de transport","s"
"Normandie","Autre cooperative","1578"
"Normandie","Cooperative HLM","12"
"Normandie","Cooperative agricole","4365"
"Normandie","Cooperative bancaire","7169"
"Normandie","Cooperative d artisans","178"
"Normandie","Cooperative de commerçants detaillants","s"
"Normandie","Cooperative de consommateurs","417"
"Normandie","Cooperative de transport","s"
"Normandie","Cooperative maritime","115"
"Normandie","SCOP","2061"
"Nouvelle-Aquitaine","Autre cooperative","8622"
"Nouvelle-Aquitaine","Cooperative HLM","s"
"Nouvelle-Aquitaine","Cooperative agricole","8698"
"Nouvelle-Aquitaine","Cooperative bancaire","10594"
"Nouvelle-Aquitaine","Cooperative d artisans","352"
"Nouvelle-Aquitaine","Cooperative de commerçants detaillants","579"
"Nouvelle-Aquitaine","Cooperative de consommateurs","3037"
"Nouvelle-Aquitaine","Cooperative de transport","s"
"Nouvelle-Aquitaine","Cooperative maritime","64"
"Nouvelle-Aquitaine","SCOP","3169"
"Occitanie","Autre cooperative","4692"
"Occitanie","Cooperative HLM","90"
"Occitanie","Cooperative agricole","7771"
"Occitanie","Cooperative bancaire","14032"
"Occitanie","Cooperative d artisans","145"
"Occitanie","Cooperative de commerçants detaillants","85"
"Occitanie","Cooperative de consommateurs","140"
"Occitanie","Cooperative de transport","32"
"Occitanie","Cooperative maritime","9"
"Occitanie","SCOP","1700"
"Pays de la Loire","Autre cooperative","5884"
"Pays de la Loire","Cooperative HLM","s"
"Pays de la Loire","Cooperative agricole","5592"
"Pays de la Loire","Cooperative bancaire","8831"
"Pays de la Loire","Cooperative d artisans","1174"
"Pays de la Loire","Cooperative de commerçants detaillants","1271"
"Pays de la Loire","Cooperative de consommateurs","258"
"Pays de la Loire","Cooperative de transport","s"
"Pays de la Loire","Cooperative maritime","96"
"Pays de la Loire","SCOP","3065"
"Provence-Alpes-Côte d'Azur","Autre cooperative","2588"
"Provence-Alpes-Côte d'Azur","Cooperative HLM","19"
"Provence-Alpes-Côte d'Azur","Cooperative agricole","2330"
"Provence-Alpes-Côte d'Azur","Cooperative bancaire","8273"
"Provence-Alpes-Côte d'Azur","Cooperative d artisans","77"
"Provence-Alpes-Côte d'Azur","Cooperative de commerçants detaillants","s"
"Provence-Alpes-Côte d'Azur","Cooperative de consommateurs","75"
"Provence-Alpes-Côte d'Azur","Cooperative de transport","40"
"Provence-Alpes-Côte d'Azur","Cooperative maritime","s"
"Provence-Alpes-Côte d'Azur","SCOP","1433"
