"REG","typo_Asso","typo_Asso_det","nb_etab","eff_31","eff_EQTP","rem_brut"
"Guyane","Ensemble","Aide par le travail","3","155","145","2346813"
"Guyane","Ensemble","Autres enseignements","4","s","s","s"
"Guyane","Ensemble","Enseignement culturel","1","s","s","s"
"Guyane","Ensemble","Enseignement primaire/secondaire/supérieur","7","363","341","13070238"
"Guyane","Ensemble","Formation continue d adultes","12","137","100","2926741"
"Guyane","Ensemble","Hebergement medico-social de personnes agees","2","s","s","s"
"Guyane","Ensemble","Hebergement medico-social de personnes en difficulte","11","323","293","9420292"
"Guyane","Ensemble","Hebergement medico-social de personnes handicapees","7","312","279","9128504"
"Guyane","Ensemble","Loisirs","4","s","s","s"
"Guyane","Ensemble","Sports","33","s","s","s"
"Hauts-de-France","Ensemble","Accueil d adultes handicapes ou pers. agees","77","943","807","19831614"
"Hauts-de-France","Ensemble","Accueil d enfants et d adolescents","82","1639","1486","45399136"
"Hauts-de-France","Ensemble","Accueil d enfants handicapes","96","2436","1960","60466461"
"Hauts-de-France","Ensemble","Accueil des jeunes enfants","189","2270","1905","45607591"
"Hauts-de-France","Ensemble","Action sociale NCA","829","15286","12514","320898406"
"Hauts-de-France","Ensemble","Aide a domicile","278","16420","11381","260259501"
"Hauts-de-France","Ensemble","Aide par le travail","167","17009","14656","236400344"
"Hauts-de-France","Ensemble","Autres enseignements","247","1834","1463","45741050"
"Hauts-de-France","Ensemble","Enseignement culturel","133","338","206","5665568"
"Hauts-de-France","Ensemble","Enseignement primaire/secondaire/supérieur","787","27271","24743","848990835"
"Hauts-de-France","Ensemble","Formation continue d adultes","249","3321","2845","89661299"
"Hauts-de-France","Ensemble","Hebergement medico-social de personnes agees","217","8038","6796","184539316"
"Hauts-de-France","Ensemble","Hebergement medico-social de personnes en difficulte","308","7873","6864","201584033"
"Hauts-de-France","Ensemble","Hebergement medico-social de personnes handicapees","453","18581","16097","443477258"
"Hauts-de-France","Ensemble","Loisirs","189","936","822","19288304"
"Hauts-de-France","Ensemble","Sports","2520","3624","3046","79217295"
"Ile-de-France","Ensemble","Accueil d adultes handicapes ou pers. agees","111","1430","1245","37408579"
"Ile-de-France","Ensemble","Accueil d enfants et d adolescents","99","2723","2451","81960370"
"Ile-de-France","Ensemble","Accueil d enfants handicapes","223","5480","4454","142734955"
"Ile-de-France","Ensemble","Accueil des jeunes enfants","515","5469","4693","120354492"
"Ile-de-France","Ensemble","Action sociale NCA","1339","24700","21580","694330143"
"Ile-de-France","Ensemble","Aide a domicile","273","8992","6893","169775113"
"Ile-de-France","Ensemble","Aide par le travail","277","18770","16394","292325679"
"Ile-de-France","Ensemble","Autres enseignements","837","6999","5643","208093276"
"Ile-de-France","Ensemble","Enseignement culturel","399","1771","1012","33074659"
"Ile-de-France","Ensemble","Enseignement primaire/secondaire/supérieur","914","38021","33036","1218028941"
"Ile-de-France","Ensemble","Formation continue d adultes","666","7204","6601","248568043"
"Ile-de-France","Ensemble","Hebergement medico-social de personnes agees","295","11226","10067","292620329"
"Ile-de-France","Ensemble","Hebergement medico-social de personnes en difficulte","640","14703","13174","412971782"
"Ile-de-France","Ensemble","Hebergement medico-social de personnes handicapees","577","23313","20569","595762582"
"Ile-de-France","Ensemble","Loisirs","291","3392","2781","80737960"
"Ile-de-France","Ensemble","Sports","4245","16186","12032","440789388"
"La Réunion","Ensemble","Accueil d adultes handicapes ou pers. agees","15","215","167","s"
"La Réunion","Ensemble","Accueil d enfants et d adolescents","10","226","198","6702800"
"La Réunion","Ensemble","Accueil d enfants handicapes","9","280","256","8270134"
"La Réunion","Ensemble","Accueil des jeunes enfants","123","1046","928","20740035"
"La Réunion","Ensemble","Action sociale NCA","141","1851","1565","39049521"
"La Réunion","Ensemble","Aide a domicile","7","1030","783","16468948"
"La Réunion","Ensemble","Aide par le travail","9","610","559","8191460"
"La Réunion","Ensemble","Autres enseignements","37","630","570","20921208"
"La Réunion","Ensemble","Enseignement culturel","20","s","s","s"
"La Réunion","Ensemble","Enseignement primaire/secondaire/supérieur","39","1096","1034","46260799"
"La Réunion","Ensemble","Formation continue d adultes","30","s","s","4600309"
"La Réunion","Ensemble","Hebergement medico-social de personnes agees","9","681","644","s"
"La Réunion","Ensemble","Hebergement medico-social de personnes en difficulte","31","662","614","20149867"
"La Réunion","Ensemble","Hebergement medico-social de personnes handicapees","30","1277","1100","35342830"
"La Réunion","Ensemble","Loisirs","34","441","375","8175882"
"La Réunion","Ensemble","Sports","281","635","671","15213918"
"Martinique","Ensemble","Accueil d adultes handicapes ou pers. agees","2","s","s","s"
"Martinique","Ensemble","Accueil d enfants et d adolescents","7","186","170","5307305"
"Martinique","Ensemble","Accueil d enfants handicapes","5","s","s","s"
"Martinique","Ensemble","Accueil des jeunes enfants","50","358","335","7988049"
"Martinique","Ensemble","Action sociale NCA","63","707","546","14782140"
"Martinique","Ensemble","Aide a domicile","30","837","609","13616765"
"Martinique","Ensemble","Aide par le travail","14","577","535","10731957"
"Martinique","Ensemble","Autres enseignements","19","96","76","2461174"
"Martinique","Ensemble","Enseignement culturel","4","s","s","s"
"Martinique","Ensemble","Enseignement primaire/secondaire/supérieur","26","891","812","32099970"
"Martinique","Ensemble","Formation continue d adultes","22","216","177","6296748"
"Martinique","Ensemble","Hebergement medico-social de personnes agees","5","222","178","6389158"
"Martinique","Ensemble","Hebergement medico-social de personnes en difficulte","16","352","319","11261458"
"Martinique","Ensemble","Hebergement medico-social de personnes handicapees","17","536","476","15105670"
"Martinique","Ensemble","Loisirs","16","90","91","1987796"
"Martinique","Ensemble","Sports","103","342","330","8554819"
"Normandie","Ensemble","Accueil d adultes handicapes ou pers. agees","30","341","296","7716749"
"Normandie","Ensemble","Accueil d enfants et d adolescents","48","790","716","21172606"
"Normandie","Ensemble","Accueil d enfants handicapes","64","1151","925","30188720"
"Normandie","Ensemble","Accueil des jeunes enfants","127","1128","951","22491044"
"Normandie","Ensemble","Action sociale NCA","412","7171","5872","146684968"
"Normandie","Ensemble","Aide a domicile","224","9556","6692","149975380"
"Normandie","Ensemble","Aide par le travail","110","8838","7714","130153472"
"Normandie","Ensemble","Autres enseignements","183","989","837","23818425"
"Normandie","Ensemble","Enseignement culturel","112","312","161","4490471"
"Normandie","Ensemble","Enseignement primaire/secondaire/supérieur","389","11518","10496","356181197"
"Normandie","Ensemble","Formation continue d adultes","169","2055","1785","53505661"
"Normandie","Ensemble","Hebergement medico-social de personnes agees","74","3872","3363","90562241"
"Normandie","Ensemble","Hebergement medico-social de personnes en difficulte","177","4238","3709","105384337"
"Normandie","Ensemble","Hebergement medico-social de personnes handicapees","243","10153","8885","247673684"
"Normandie","Ensemble","Loisirs","134","662","603","13907442"
"Normandie","Ensemble","Sports","1902","3120","2534","64532839"
"Nouvelle-Aquitaine","Ensemble","Accueil d adultes handicapes ou pers. agees","89","1419","1194","33573567"
"Nouvelle-Aquitaine","Ensemble","Accueil d enfants et d adolescents","66","1390","1216","35099429"
"Nouvelle-Aquitaine","Ensemble","Accueil d enfants handicapes","120","2371","1859","60069353"
"Nouvelle-Aquitaine","Ensemble","Accueil des jeunes enfants","302","3065","2667","64121187"
"Nouvelle-Aquitaine","Ensemble","Action sociale NCA","1031","13397","10878","281135617"
"Nouvelle-Aquitaine","Ensemble","Aide a domicile","481","15494","11501","258418909"
"Nouvelle-Aquitaine","Ensemble","Aide par le travail","235","14864","12780","217372697"
"Nouvelle-Aquitaine","Ensemble","Autres enseignements","528","1494","1218","35695190"
"Nouvelle-Aquitaine","Ensemble","Enseignement culturel","295","960","604","16257798"
"Nouvelle-Aquitaine","Ensemble","Enseignement primaire/secondaire/supérieur","721","17050","15300","503802099"
"Nouvelle-Aquitaine","Ensemble","Formation continue d adultes","308","2666","2351","75981816"
"Nouvelle-Aquitaine","Ensemble","Hebergement medico-social de personnes agees","197","8657","7484","205703664"
"Nouvelle-Aquitaine","Ensemble","Hebergement medico-social de personnes en difficulte","304","7926","6862","200845563"
"Nouvelle-Aquitaine","Ensemble","Hebergement medico-social de personnes handicapees","397","16305","14128","397270226"
"Nouvelle-Aquitaine","Ensemble","Loisirs","427","2123","1828","42260092"
"Nouvelle-Aquitaine","Ensemble","Sports","3525","5990","5063","124002079"
"Occitanie","Ensemble","Accueil d adultes handicapes ou pers. agees","71","1123","921","23230660"
"Occitanie","Ensemble","Accueil d enfants et d adolescents","46","748","628","17764137"
"Occitanie","Ensemble","Accueil d enfants handicapes","61","1360","1128","36896249"
"Occitanie","Ensemble","Accueil des jeunes enfants","365","4127","3461","81444341"
"Occitanie","Ensemble","Action sociale NCA","709","9375","7647","197945269"
"Occitanie","Ensemble","Aide a domicile","504","20122","14853","329055844"
"Occitanie","Ensemble","Aide par le travail","197","11824","10274","174803089"
"Occitanie","Ensemble","Autres enseignements","511","2828","2361","72628431"
"Occitanie","Ensemble","Enseignement culturel","306","609","370","9833501"
"Occitanie","Ensemble","Enseignement primaire/secondaire/supérieur","658","15591","14003","461668253"
"Occitanie","Ensemble","Formation continue d adultes","355","2610","2259","72652099"
"Occitanie","Ensemble","Hebergement medico-social de personnes agees","266","11927","10360","281015252"
"Occitanie","Ensemble","Hebergement medico-social de personnes en difficulte","322","6959","5992","172511221"
"Occitanie","Ensemble","Hebergement medico-social de personnes handicapees","484","23024","20142","584498955"
"Occitanie","Ensemble","Loisirs","387","3375","2387","59166017"
"Occitanie","Ensemble","Sports","3134","4770","3887","95832755"
"Pays de la Loire","Ensemble","Accueil d adultes handicapes ou pers. agees","52","798","647","19259773"
"Pays de la Loire","Ensemble","Accueil d enfants et d adolescents","14","895","342","10090610"
"Pays de la Loire","Ensemble","Accueil d enfants handicapes","76","1276","1017","32547775"
"Pays de la Loire","Ensemble","Accueil des jeunes enfants","224","1705","1441","34652906"
"Pays de la Loire","Ensemble","Action sociale NCA","438","7423","5955","153441561"
"Pays de la Loire","Ensemble","Aide a domicile","319","9227","6696","152619602"
"Pays de la Loire","Ensemble","Aide par le travail","123","9078","7597","125973567"
"Pays de la Loire","Ensemble","Autres enseignements","220","661","540","16823685"
"Pays de la Loire","Ensemble","Enseignement culturel","159","513","257","6794671"
"Pays de la Loire","Ensemble","Enseignement primaire/secondaire/supérieur","1536","29471","26253","879349091"
"Pays de la Loire","Ensemble","Formation continue d adultes","179","1755","1611","51771373"
"Pays de la Loire","Ensemble","Hebergement medico-social de personnes agees","207","10799","9028","242049181"
"Pays de la Loire","Ensemble","Hebergement medico-social de personnes en difficulte","193","4732","4042","115325252"
"Pays de la Loire","Ensemble","Hebergement medico-social de personnes handicapees","310","10115","8530","243880309"
"Pays de la Loire","Ensemble","Loisirs","159","1675","1334","34198220"
"Pays de la Loire","Ensemble","Sports","2543","3885","2991","80298575"
"Provence-Alpes-Côte d'Azur","Ensemble","Accueil d adultes handicapes ou pers. agees","75","1151","977","s"
"Provence-Alpes-Côte d'Azur","Ensemble","Accueil d enfants et d adolescents","38","s","s","s"
"Provence-Alpes-Côte d'Azur","Ensemble","Accueil d enfants handicapes","50","s","s","29352978"
"Provence-Alpes-Côte d'Azur","Ensemble","Accueil des jeunes enfants","349","4055","3611","87566452"
"Provence-Alpes-Côte d'Azur","Ensemble","Action sociale NCA","693","9842","8308","219605985"
"Provence-Alpes-Côte d'Azur","Ensemble","Aide a domicile","330","13258","9369","206967116"
"Provence-Alpes-Côte d'Azur","Ensemble","Aide par le travail","124","7837","6896","124807333"
"Provence-Alpes-Côte d'Azur","Ensemble","Autres enseignements","374","1491","1246","37353647"
"Provence-Alpes-Côte d'Azur","Ensemble","Enseignement culturel","185","s","s","s"
"Provence-Alpes-Côte d'Azur","Ensemble","Enseignement primaire/secondaire/supérieur","446","14288","12889","449187317"
"Provence-Alpes-Côte d'Azur","Ensemble","Formation continue d adultes","326","2807","2622","80478756"
"Provence-Alpes-Côte d'Azur","Ensemble","Hebergement medico-social de personnes agees","151","5883","5202","147532980"
"Provence-Alpes-Côte d'Azur","Ensemble","Hebergement medico-social de personnes en difficulte","265","5846","5049","145972154"
"Provence-Alpes-Côte d'Azur","Ensemble","Hebergement medico-social de personnes handicapees","257","11256","9730","278232115"
"Provence-Alpes-Côte d'Azur","Ensemble","Loisirs","222","1219","1083","26401089"
"Provence-Alpes-Côte d'Azur","Ensemble","Sports","2279","4864","3978","103768940"
"Auvergne-Rhône-Alpes","ACTION SOCIALE (QB)","Ensemble","4240","112162","92314","2313773147"
"Auvergne-Rhône-Alpes","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","82","577","517","12153290"
"Auvergne-Rhône-Alpes","ARTS SPECTACLES (RZ1)","Ensemble","2812","3896","4476","138351272"
"Auvergne-Rhône-Alpes","AUTRES SECTEURS D ACTIVITE DES ASSOCIATIONS","Ensemble","1212","5411","4539","126382075"
"Auvergne-Rhône-Alpes","ENSEIGNEMENT (PZ)","Ensemble","2575","42015","36257","1206565620"
"Auvergne-Rhône-Alpes","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","670","4235","4335","112986344"
"Auvergne-Rhône-Alpes","NON-CLASSES (94.99Z)","Ensemble","5551","19874","16446","466374290"
"Auvergne-Rhône-Alpes","SANTE HUMAINE (QA)","Ensemble","507","19489","16785","613559573"
