"REG","ESS","famille","typo_B","typo_B_det","nb_etab","nb_ent","eff_31","eff_EQTP","rem_brut"
"France entière","ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","11104","3257","402548","349403","9935803126"
"France entière","Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil des jeunes enfants","4753","2206","49165","41928","1019505944"
"France entière","Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","3975","2867","85462","60349","1277752577"
"France entière","Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","212","96","12159","8472","211451013"
"France entière","Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres actions sociales","4666","3544","131112","116536","3256943423"
"France entière","Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","6241","5565","29924","25202","856919936"
"France entière","Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","56339","10044","1207154","1123046","40542541103"
"France entière","Hors ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adulte","17684","13953","100543","87938","2883570228"
"France entière","Hors ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","5900","3595","312787","283090","7796959239"
"France entière","ESS","Ensemble","ACTION SOCIALE (QB)","Ensemble","33413","16310","950874","793707","20205943624"
"France entière","ESS","Ensemble","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","15823","2160","255239","247673","11580264708"
"France entière","ESS","Ensemble","AGRICULTURE, SYLVICULTURE ET PECHE (AZ)","Ensemble","1421","1253","11052","10127","310841755"
"France entière","ESS","Ensemble","ARTS SPECTACLES (RZ1)","Ensemble","21516","20511","33130","37639","1202741566"
"France entière","ESS","Ensemble","COMMERCE (GZ)","Ensemble","4692","1361","55098","53673","1867087774"
"France entière","ESS","Ensemble","ENSEIGNEMENT (PZ)","Ensemble","20388","15972","317680","279865","9487299826"
"France entière","ESS","Ensemble","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","3416","2179","23526","24221","659249710"
"France entière","ESS","Ensemble","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","2576","2126","52462","49693","1698678075"
"France entière","ESS","Ensemble","NON-CLASSES (94.99Z)","Ensemble","44643","40464","166289","142133","4208317113"
"France entière","ESS","Ensemble","SANTE HUMAINE (QA)","Ensemble","4759","1899","184565","159651","6076101195"
"France entière","ESS","Ensemble","SERVICES DIVERS","Ensemble","9546","8401","62580","53656","1735362056"
"France entière","ESS","Ensemble","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","14136","11548","145644","134914","4300231590"
"France entière","ESS","Ensemble","SPORTS ET LOISIRS (RZ2)","Ensemble","35050","33542","82511","66316","1813163434"
"France entière","Hors ESS","Ensemble","ACTION SOCIALE (QB)","Ensemble","19506","12308","590685","510374","13562612196"
"France entière","Hors ESS","Ensemble","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","81850","59637","617226","587628","35866219025"
"France entière","Hors ESS","Ensemble","AGRICULTURE, SYLVICULTURE ET PECHE (AZ)","Ensemble","97782","95945","223729","230119","5877348284"
"France entière","Hors ESS","Ensemble","ARTS SPECTACLES (RZ1)","Ensemble","7151","5816","85274","87769","3277146691"
"France entière","Hors ESS","Ensemble","COMMERCE (GZ)","Ensemble","441028","320259","3033077","2795500","92927961033"
"France entière","Hors ESS","Ensemble","ENSEIGNEMENT (PZ)","Ensemble","80264","29562","1337621","1236187","44283031267"
"France entière","Hors ESS","Ensemble","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","193655","171349","930643","877468","22407239674"
"France entière","Hors ESS","Ensemble","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","385430","337949","4419955","4263681","162799139163"
"France entière","Hors ESS","Ensemble","NON-CLASSES (94.99Z)","Ensemble","1496","314","9692","9194","383830146"
"France entière","Hors ESS","Ensemble","SANTE HUMAINE (QA)","Ensemble","79188","70531","1440448","1312208","43326312452"
"France entière","Hors ESS","Ensemble","SERVICES DIVERS","Ensemble","320850","253559","5266644","4938950","177371779152"
"France entière","Hors ESS","Ensemble","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","326789","276005","2482666","2247409","91537395496"
"France entière","Hors ESS","Ensemble","SPORTS ET LOISIRS (RZ2)","Ensemble","13473","11629","76309","72050","2982940296"
"France entière","ESS","Ensemble","ACTION SOCIALE (QB)","Accueil des jeunes enfants","4020","2675","41089","35258","854933140"
"France entière","ESS","Ensemble","ACTION SOCIALE (QB)","Aide a domicile","4461","3655","163377","118956","2705161027"
"France entière","ESS","Ensemble","ACTION SOCIALE (QB)","Aide par le travail","2141","471","153986","133291","2287043407"
"France entière","ESS","Ensemble","ACTION SOCIALE (QB)","Autres actions sociales","11687","6252","189874","156800","4423002924"
"France entière","ESS","Ensemble","ACTION SOCIALE (QB)","Hebergement medico-social et social","11104","3257","402548","349403","9935803126"
"France entière","ESS","Ensemble","ENSEIGNEMENT (PZ)","Autres enseignements","7591","7107","36433","27859","885720044"
"France entière","ESS","Ensemble","ENSEIGNEMENT (PZ)","Enseignement primaire/secondaire/supérieur","9111","6436","247225","221455","7598930409"
"France entière","ESS","Ensemble","ENSEIGNEMENT (PZ)","Formation d adulte","3686","2429","34022","30551","1002649373"
"France entière","Hors ESS","Ensemble","ACTION SOCIALE (QB)","Accueil des jeunes enfants","4753","2206","49165","41928","1019505944"
"France entière","Hors ESS","Ensemble","ACTION SOCIALE (QB)","Aide a domicile","3975","2867","85462","60349","1277752577"
"France entière","Hors ESS","Ensemble","ACTION SOCIALE (QB)","Aide par le travail","212","96","12159","8472","211451013"
"France entière","Hors ESS","Ensemble","ACTION SOCIALE (QB)","Autres actions sociales","4666","3544","131112","116536","3256943423"
"France entière","Hors ESS","Ensemble","ACTION SOCIALE (QB)","Hebergement medico-social et social","5900","3595","312787","283090","7796959239"
"France entière","Hors ESS","Ensemble","ENSEIGNEMENT (PZ)","Autres enseignements","6241","5565","29924","25202","856919936"
"France entière","Hors ESS","Ensemble","ENSEIGNEMENT (PZ)","Enseignement primaire/secondaire/supérieur","56339","10044","1207154","1123046","40542541103"
"France entière","Hors ESS","Ensemble","ENSEIGNEMENT (PZ)","Formation d adulte","17684","13953","100543","87938","2883570228"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble des secteurs d'activité","Ensemble","20622","7915","300698","292623","12295881971"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble des secteurs d'activité","Ensemble","7479","664","136906","123909","5044000821"
"France entière","ESS + Hors ESS","3. Association","Ensemble des secteurs d'activité","Ensemble","181598","148646","1814171","1557168","45139891153"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble des secteurs d'activité","Ensemble","1680","501","88875","79568","2665508481"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble des secteurs d'activité","Ensemble","1906437","1579597","14828160","13905244","519263022427"
"France entière","ESS + Hors ESS","Public","Ensemble des secteurs d'activité","Ensemble","142025","65266","5685809","5263292","177339932448"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble des secteurs d'activité","Accueil des jeunes enfants","28","16","s","s","s"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble des secteurs d'activité","Aide a domicile","30","26","1204","796","17209317"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble des secteurs d'activité","Aide par le travail","5","2","s","s","s"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble des secteurs d'activité","Autres actions sociales","36","24","385","375","8746687"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble des secteurs d'activité","Autres enseignements","33","26","220","193","5678054"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","7","7","170","127","3887465"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble des secteurs d'activité","Formation d adulte","237","103","2277","2072","60870756"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble des secteurs d'activité","Hebergement medico-social et social","11","11","s","s","5768505"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble des secteurs d'activité","Accueil des jeunes enfants","179","19","1612","1470","34644366"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble des secteurs d'activité","Aide a domicile","51","1","s","s","s"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble des secteurs d'activité","Aide par le travail","22","2","s","s","s"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble des secteurs d'activité","Autres actions sociales","71","14","932","766","24181715"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble des secteurs d'activité","Autres enseignements","1","0","s","s","s"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble des secteurs d'activité","Formation d adulte","3","0","s","s","s"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble des secteurs d'activité","Hebergement medico-social et social","371","17","s","s","343809358"
"France entière","ESS + Hors ESS","3. Association","Ensemble des secteurs d'activité","Accueil des jeunes enfants","3780","2639","38624","33032","800326939"
"France entière","ESS + Hors ESS","3. Association","Ensemble des secteurs d'activité","Aide a domicile","4369","3626","158463","115351","2619457674"
"France entière","ESS + Hors ESS","3. Association","Ensemble des secteurs d'activité","Aide par le travail","2057","462","147721","127783","2181979105"
"France entière","ESS + Hors ESS","3. Association","Ensemble des secteurs d'activité","Autres actions sociales","11365","6170","183920","151828","4258420631"
"France entière","ESS + Hors ESS","3. Association","Ensemble des secteurs d'activité","Autres enseignements","7535","7072","34890","26437","835495603"
"France entière","ESS + Hors ESS","3. Association","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","9026","6411","241688","216005","7390906413"
"France entière","ESS + Hors ESS","3. Association","Ensemble des secteurs d'activité","Formation d adulte","3406","2324","31356","28024","928137052"
"France entière","ESS + Hors ESS","3. Association","Ensemble des secteurs d'activité","Hebergement medico-social et social","10123","3159","357587","310131","8815857036"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble des secteurs d'activité","Accueil des jeunes enfants","33","1","s","s","s"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble des secteurs d'activité","Aide a domicile","11","2","s","s","s"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble des secteurs d'activité","Aide par le travail","57","5","4059","3604","65821419"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble des secteurs d'activité","Autres actions sociales","215","44","4637","3832","131653891"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble des secteurs d'activité","Autres enseignements","22","9","s","s","s"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","78","18","5367","5323","204136531"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble des secteurs d'activité","Formation d adulte","40","2","s","s","s"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble des secteurs d'activité","Hebergement medico-social et social","599","70","30207","26517","770368227"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","4017","2141","32826","26788","601613523"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","3571","2755","71700","49235","1028519950"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","102","63","3299","2975","67458663"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","485","334","6347","5277","164218222"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","5991","5468","20743","17543","587331001"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","1078","823","18216","13916","523815495"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","16913","13893","62333","55325","1764622111"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","2362","1726","103100","91649","2535004093"
"France entière","ESS + Hors ESS","Public","Ensemble des secteurs d'activité","Accueil des jeunes enfants","736","65","16339","15139","417892421"
"France entière","ESS + Hors ESS","Public","Ensemble des secteurs d'activité","Aide a domicile","404","112","13762","11114","249232627"
"France entière","ESS + Hors ESS","Public","Ensemble des secteurs d'activité","Aide par le travail","110","33","8860","5496","143992350"
"France entière","ESS + Hors ESS","Public","Ensemble des secteurs d'activité","Autres actions sociales","4181","3210","124765","111259","3092725201"
"France entière","ESS + Hors ESS","Public","Ensemble des secteurs d'activité","Autres enseignements","250","97","9181","7660","269588935"
"France entière","ESS + Hors ESS","Public","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","55261","9221","1188938","1109131","40018725608"
"France entière","ESS + Hors ESS","Public","Ensemble des secteurs d'activité","Formation d adulte","771","60","38210","32613","1118948117"
"France entière","ESS + Hors ESS","Public","Ensemble des secteurs d'activité","Hebergement medico-social et social","3538","1869","209687","191441","5261955146"
"France entière","ESS + Hors ESS","1. Coopérative","ACTION SOCIALE (QB)","Ensemble","110","79","2257","1754","41132712"
"France entière","ESS + Hors ESS","1. Coopérative","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","10662","1560","164862","163333","7798819271"
"France entière","ESS + Hors ESS","1. Coopérative","AGRICULTURE, SYLVICULTURE ET PECHE (AZ)","Ensemble","815","724","6542","6280","219408475"
"France entière","ESS + Hors ESS","1. Coopérative","ARTS SPECTACLES (RZ1)","Ensemble","94","86","958","1222","39318239"
"France entière","ESS + Hors ESS","1. Coopérative","COMMERCE (GZ)","Ensemble","3473","1128","49467","48479","1700316232"
"France entière","ESS + Hors ESS","1. Coopérative","ENSEIGNEMENT (PZ)","Ensemble","277","136","2667","2391","70436275"
"France entière","ESS + Hors ESS","1. Coopérative","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","138","113","749","724","s"
"France entière","ESS + Hors ESS","1. Coopérative","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","2278","1912","47618","45593","1604793905"
"France entière","ESS + Hors ESS","1. Coopérative","NON-CLASSES (94.99Z)","Ensemble","21","20","s","s","s"
"France entière","ESS + Hors ESS","1. Coopérative","SANTE HUMAINE (QA)","Ensemble","42","41","435","393","11609550"
"France entière","ESS + Hors ESS","1. Coopérative","SERVICES DIVERS","Ensemble","793","505","8977","8209","286558180"
"France entière","ESS + Hors ESS","1. Coopérative","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","1897","1595","15859","13933","499159118"
"France entière","ESS + Hors ESS","1. Coopérative","SPORTS ET LOISIRS (RZ2)","Ensemble","22","16","s","s","s"
"France entière","ESS + Hors ESS","2. Mutuelle","ACTION SOCIALE (QB)","Ensemble","694","53","22130","18780","491481175"
"France entière","ESS + Hors ESS","2. Mutuelle","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","4949","526","86196","80253","3567241940"
"France entière","ESS + Hors ESS","2. Mutuelle","COMMERCE (GZ)","Ensemble","943","29","s","s","s"
"France entière","ESS + Hors ESS","2. Mutuelle","ENSEIGNEMENT (PZ)","Ensemble","4","0","36","30","1088017"
"France entière","ESS + Hors ESS","2. Mutuelle","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","15","2","s","s","s"
"France entière","ESS + Hors ESS","2. Mutuelle","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","16","0","s","s","s"
"France entière","ESS + Hors ESS","2. Mutuelle","NON-CLASSES (94.99Z)","Ensemble","9","2","s","s","s"
"France entière","ESS + Hors ESS","2. Mutuelle","SANTE HUMAINE (QA)","Ensemble","742","36","22071","18869","770681522"
"France entière","ESS + Hors ESS","2. Mutuelle","SERVICES DIVERS","Ensemble","22","9","194","154","3975463"
"France entière","ESS + Hors ESS","2. Mutuelle","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","85","7","1522","1348","56351089"
"France entière","ESS + Hors ESS","3. Association","ACTION SOCIALE (QB)","Ensemble","31694","16056","886315","738125","18676041385"
"France entière","ESS + Hors ESS","3. Association","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","207","71","s","4072","213716415"
"France entière","ESS + Hors ESS","3. Association","AGRICULTURE, SYLVICULTURE ET PECHE (AZ)","Ensemble","601","526","4479","s","90635008"
"France entière","ESS + Hors ESS","3. Association","ARTS SPECTACLES (RZ1)","Ensemble","21363","20376","31362","35656","1133551535"
"France entière","ESS + Hors ESS","3. Association","COMMERCE (GZ)","Ensemble","276","204","s","s","s"
"France entière","ESS + Hors ESS","3. Association","ENSEIGNEMENT (PZ)","Ensemble","19967","15807","307934","270466","9154539068"
"France entière","ESS + Hors ESS","3. Association","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","3211","2040","22002","22715","617125772"
"France entière","ESS + Hors ESS","3. Association","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","280","213","4629","3897","s"
"France entière","ESS + Hors ESS","3. Association","NON-CLASSES (94.99Z)","Ensemble","44397","40287","164066","140055","4121882622"
"France entière","ESS + Hors ESS","3. Association","SANTE HUMAINE (QA)","Ensemble","3811","1789","131457","113459","4331646143"
"France entière","ESS + Hors ESS","3. Association","SERVICES DIVERS","Ensemble","8705","7876","53309","45202","1441267230"
"France entière","ESS + Hors ESS","3. Association","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","12062","9878","120823","112474","3435819110"
"France entière","ESS + Hors ESS","3. Association","SPORTS ET LOISIRS (RZ2)","Ensemble","35024","33523","82322","66112","1808919377"
"France entière","ESS + Hors ESS","4. Fondation","ACTION SOCIALE (QB)","Ensemble","915","122","40172","35049","997288352"
"France entière","ESS + Hors ESS","4. Fondation","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","5","3","s","15","487082"
"France entière","ESS + Hors ESS","4. Fondation","AGRICULTURE, SYLVICULTURE ET PECHE (AZ)","Ensemble","5","3","31","s","798272"
"France entière","ESS + Hors ESS","4. Fondation","ARTS SPECTACLES (RZ1)","Ensemble","59","49","810","762","29871792"
"France entière","ESS + Hors ESS","4. Fondation","ENSEIGNEMENT (PZ)","Ensemble","140","29","7043","6978","261236466"
"France entière","ESS + Hors ESS","4. Fondation","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","52","24","s","s","22159832"
"France entière","ESS + Hors ESS","4. Fondation","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","2","1","s","s","s"
"France entière","ESS + Hors ESS","4. Fondation","NON-CLASSES (94.99Z)","Ensemble","216","155","1965","1841","78255483"
"France entière","ESS + Hors ESS","4. Fondation","SANTE HUMAINE (QA)","Ensemble","164","33","30602","26930","962163980"
"France entière","ESS + Hors ESS","4. Fondation","SERVICES DIVERS","Ensemble","26","11","100","90","3561183"
"France entière","ESS + Hors ESS","4. Fondation","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","92","68","7440","7159","308902273"
"France entière","ESS + Hors ESS","4. Fondation","SPORTS ET LOISIRS (RZ2)","Ensemble","4","3","s","s","s"
"France entière","ESS + Hors ESS","Privé Hors ESS","ACTION SOCIALE (QB)","Ensemble","10537","7019","217272","175925","4396814451"
"France entière","ESS + Hors ESS","Privé Hors ESS","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","81602","59609","597059","568073","34697812641"
"France entière","ESS + Hors ESS","Privé Hors ESS","AGRICULTURE, SYLVICULTURE ET PECHE (AZ)","Ensemble","97480","95917","213589","220592","5551367746"
"France entière","ESS + Hors ESS","Privé Hors ESS","ARTS SPECTACLES (RZ1)","Ensemble","6195","5504","49721","52881","2034963607"
"France entière","ESS + Hors ESS","Privé Hors ESS","COMMERCE (GZ)","Ensemble","440976","320255","s","s","s"
"France entière","ESS + Hors ESS","Privé Hors ESS","ENSEIGNEMENT (PZ)","Ensemble","23982","20184","101292","86784","2875768607"
"France entière","ESS + Hors ESS","Privé Hors ESS","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","192290","171199","915820","863172","22059071159"
"France entière","ESS + Hors ESS","Privé Hors ESS","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","380407","333935","4375395","4220930","161455260353"
"France entière","ESS + Hors ESS","Privé Hors ESS","NON-CLASSES (94.99Z)","Ensemble","1488","311","s","s","s"
"France entière","ESS + Hors ESS","Privé Hors ESS","SANTE HUMAINE (QA)","Ensemble","76575","69666","374903","333407","10295136391"
"France entière","ESS + Hors ESS","Privé Hors ESS","SERVICES DIVERS","Ensemble","256568","209057","2499707","2372639","93119938005"
"France entière","ESS + Hors ESS","Privé Hors ESS","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","325483","275483","2372692","2142305","86739453505"
"France entière","ESS + Hors ESS","Privé Hors ESS","SPORTS ET LOISIRS (RZ2)","Ensemble","12854","11458","69953","65808","2805762277"
"France entière","ESS + Hors ESS","Public","ACTION SOCIALE (QB)","Ensemble","8969","5289","373413","334449","9165797745"
"France entière","ESS + Hors ESS","Public","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","248","28","20167","19555","1168406384"
"France entière","ESS + Hors ESS","Public","AGRICULTURE, SYLVICULTURE ET PECHE (AZ)","Ensemble","302","28","10140","9528","325980538"
"France entière","ESS + Hors ESS","Public","ARTS SPECTACLES (RZ1)","Ensemble","956","312","35553","34888","1242183084"
"France entière","ESS + Hors ESS","Public","COMMERCE (GZ)","Ensemble","52","4","s","s","s"
"France entière","ESS + Hors ESS","Public","ENSEIGNEMENT (PZ)","Ensemble","56282","9378","1236329","1149403","41407262660"
"France entière","ESS + Hors ESS","Public","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","1365","150","14823","14295","348168515"
"France entière","ESS + Hors ESS","Public","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","5023","4014","44560","42750","1343878810"
"France entière","ESS + Hors ESS","Public","NON-CLASSES (94.99Z)","Ensemble","8","3","s","s","s"
"France entière","ESS + Hors ESS","Public","SANTE HUMAINE (QA)","Ensemble","2613","865","1065545","978802","33031176061"
"France entière","ESS + Hors ESS","Public","SERVICES DIVERS","Ensemble","64282","44502","2766937","2566311","84251841147"
"France entière","ESS + Hors ESS","Public","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","1306","522","109974","105104","4797941991"
"France entière","ESS + Hors ESS","Public","SPORTS ET LOISIRS (RZ2)","Ensemble","619","171","6356","6242","177178019"
"France entière","ESS + Hors ESS","1. Coopérative","ACTION SOCIALE (QB)","Accueil des jeunes enfants","28","16","s","s","s"
"France entière","ESS + Hors ESS","1. Coopérative","ACTION SOCIALE (QB)","Aide a domicile","30","26","1204","796","17209317"
"France entière","ESS + Hors ESS","1. Coopérative","ACTION SOCIALE (QB)","Aide par le travail","5","2","s","s","s"
