"REG","typo_Mut","typo_Mut_det","sexe","type_emploi","nb_poste"
"France entière","Ensemble","Hebergement medico-social et social","Femmes","Ensemble","12441"
"France entière","Ensemble","Hebergement medico-social et social","Hommes","Ensemble","2098"
"France entière","Ensemble","Action sociale sans hebergement","Femmes","Aides",NA
"France entière","Ensemble","Action sociale sans hebergement","Femmes","Apprentis",NA
"France entière","Ensemble","Action sociale sans hebergement","Femmes","Ordinaires","6035"
"France entière","Ensemble","Action sociale sans hebergement","Femmes","Stagiaires",NA
"France entière","Ensemble","Action sociale sans hebergement","Hommes","Aides",NA
"France entière","Ensemble","Action sociale sans hebergement","Hommes","Apprentis",NA
"France entière","Ensemble","Action sociale sans hebergement","Hommes","Ordinaires","1343"
"France entière","Ensemble","Activites de services financiers et d assurances","Femmes","Aides",NA
"France entière","Ensemble","Activites de services financiers et d assurances","Femmes","Apprentis",NA
"France entière","Ensemble","Activites de services financiers et d assurances","Femmes","Ordinaires",NA
"France entière","Ensemble","Activites de services financiers et d assurances","Hommes","Aides",NA
"France entière","Ensemble","Activites de services financiers et d assurances","Hommes","Apprentis",NA
"France entière","Ensemble","Activites de services financiers et d assurances","Hommes","Ordinaires",NA
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Femmes","Ordinaires",NA
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Hommes","Ordinaires",NA
"France entière","Ensemble","Assurances","Femmes","Aides",NA
"France entière","Ensemble","Assurances","Femmes","Apprentis",NA
"France entière","Ensemble","Assurances","Femmes","Ordinaires","56541"
"France entière","Ensemble","Assurances","Femmes","Stagiaires",NA
"France entière","Ensemble","Assurances","Hommes","Aides",NA
"France entière","Ensemble","Assurances","Hommes","Apprentis",NA
"France entière","Ensemble","Assurances","Hommes","Ordinaires","25118"
"France entière","Ensemble","Assurances","Hommes","Stagiaires",NA
"France entière","Ensemble","Hebergement medico-social et social","Femmes","Aides",NA
"France entière","Ensemble","Hebergement medico-social et social","Femmes","Apprentis",NA
"France entière","Ensemble","Hebergement medico-social et social","Femmes","Ordinaires","11900"
"France entière","Ensemble","Hebergement medico-social et social","Femmes","Stagiaires",NA
"France entière","Ensemble","Hebergement medico-social et social","Hommes","Aides",NA
"France entière","Ensemble","Hebergement medico-social et social","Hommes","Ordinaires","1872"
"France entière","Ensemble","Hebergement medico-social et social","Hommes","Stagiaires",NA
"France entière","ACTION SOCIALE (QB)","Ensemble","Ensemble","Ensemble","22130"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ensemble","Ensemble","86196"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Ensemble","Ensemble","6509"
"France entière","SANTE HUMAINE (QA)","Ensemble","Ensemble","Ensemble","22071"
"France entière","ACTION SOCIALE (QB)","Ensemble","Ensemble","Aides","891"
"France entière","ACTION SOCIALE (QB)","Ensemble","Ensemble","Apprentis",NA
"France entière","ACTION SOCIALE (QB)","Ensemble","Ensemble","Ordinaires","21150"
"France entière","ACTION SOCIALE (QB)","Ensemble","Ensemble","Stagiaires",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ensemble","Aides","1737"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ensemble","Apprentis",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ensemble","Ordinaires","83621"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ensemble","Stagiaires",NA
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Ensemble","Aides","124"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Ensemble","Apprentis",NA
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Ensemble","Ordinaires","6302"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Ensemble","Stagiaires",NA
"France entière","SANTE HUMAINE (QA)","Ensemble","Ensemble","Aides","200"
"France entière","SANTE HUMAINE (QA)","Ensemble","Ensemble","Apprentis",NA
"France entière","SANTE HUMAINE (QA)","Ensemble","Ensemble","Ordinaires","21787"
"France entière","SANTE HUMAINE (QA)","Ensemble","Ensemble","Stagiaires",NA
"France entière","ACTION SOCIALE (QB)","Ensemble","Femmes","Ensemble","18665"
"France entière","ACTION SOCIALE (QB)","Ensemble","Hommes","Ensemble","3465"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Femmes","Ensemble","59544"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Hommes","Ensemble","26652"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Femmes","Ensemble","4515"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Hommes","Ensemble","1994"
"France entière","SANTE HUMAINE (QA)","Ensemble","Femmes","Ensemble","17860"
"France entière","SANTE HUMAINE (QA)","Ensemble","Hommes","Ensemble","4211"
"France entière","ACTION SOCIALE (QB)","Ensemble","Femmes","Aides","656"
"France entière","ACTION SOCIALE (QB)","Ensemble","Femmes","Apprentis",NA
"France entière","ACTION SOCIALE (QB)","Ensemble","Femmes","Ordinaires","17935"
"France entière","ACTION SOCIALE (QB)","Ensemble","Femmes","Stagiaires",NA
"France entière","ACTION SOCIALE (QB)","Ensemble","Hommes","Aides","235"
"France entière","ACTION SOCIALE (QB)","Ensemble","Hommes","Apprentis",NA
"France entière","ACTION SOCIALE (QB)","Ensemble","Hommes","Ordinaires","3215"
"France entière","ACTION SOCIALE (QB)","Ensemble","Hommes","Stagiaires",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Femmes","Aides","1123"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Femmes","Apprentis",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Femmes","Ordinaires","57931"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Femmes","Stagiaires",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Hommes","Aides","614"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Hommes","Apprentis",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Hommes","Ordinaires","25690"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Hommes","Stagiaires",NA
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Femmes","Aides","88"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Femmes","Apprentis",NA
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Femmes","Ordinaires","4368"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Femmes","Stagiaires",NA
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Hommes","Aides","36"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Hommes","Apprentis",NA
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Hommes","Ordinaires","1934"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Hommes","Stagiaires",NA
"France entière","SANTE HUMAINE (QA)","Ensemble","Femmes","Aides","158"
"France entière","SANTE HUMAINE (QA)","Ensemble","Femmes","Apprentis",NA
"France entière","SANTE HUMAINE (QA)","Ensemble","Femmes","Ordinaires","17648"
"France entière","SANTE HUMAINE (QA)","Ensemble","Femmes","Stagiaires",NA
"France entière","SANTE HUMAINE (QA)","Ensemble","Hommes","Aides","42"
"France entière","SANTE HUMAINE (QA)","Ensemble","Hommes","Apprentis",NA
"France entière","SANTE HUMAINE (QA)","Ensemble","Hommes","Ordinaires","4139"
"France entière","SANTE HUMAINE (QA)","Ensemble","Hommes","Stagiaires",NA
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Ensemble","Ensemble","7591"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Ensemble","Ensemble","14539"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Ensemble","Ensemble",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Ensemble","Ensemble",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Ensemble","Ensemble","84186"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Ensemble","Aides","198"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Ensemble","Apprentis",NA
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Ensemble","Ordinaires","7378"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Ensemble","Stagiaires",NA
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Ensemble","Aides","693"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Ensemble","Apprentis",NA
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Ensemble","Ordinaires","13772"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Ensemble","Stagiaires",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Ensemble","Aides","39"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Ensemble","Apprentis",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Ensemble","Ordinaires",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Ensemble","Ordinaires",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Ensemble","Aides","1698"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Ensemble","Apprentis",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Ensemble","Ordinaires","81659"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Ensemble","Stagiaires",NA
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Femmes","Ensemble","6224"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Hommes","Ensemble","1367"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Femmes","Ensemble","12441"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Hommes","Ensemble","2098"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Femmes","Ensemble",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Hommes","Ensemble",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Femmes","Ensemble",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Hommes","Ensemble",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Femmes","Ensemble","58123"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Hommes","Ensemble","26063"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Femmes","Aides",NA
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Femmes","Apprentis",NA
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Femmes","Ordinaires","6035"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Femmes","Stagiaires",NA
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Hommes","Aides",NA
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Hommes","Apprentis",NA
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Hommes","Ordinaires","1343"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Femmes","Aides",NA
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Femmes","Apprentis",NA
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Femmes","Ordinaires","11900"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Femmes","Stagiaires",NA
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Hommes","Aides",NA
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Hommes","Ordinaires","1872"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Hommes","Stagiaires",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Femmes","Aides",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Femmes","Apprentis",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Femmes","Ordinaires",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Hommes","Aides",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Hommes","Apprentis",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Hommes","Ordinaires",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Femmes","Ordinaires",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Hommes","Ordinaires",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Femmes","Aides",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Femmes","Apprentis",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Femmes","Ordinaires","56541"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Femmes","Stagiaires",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Hommes","Aides",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Hommes","Apprentis",NA
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Hommes","Ordinaires","25118"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Hommes","Stagiaires",NA
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Ensemble","Ensemble","19163"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Ensemble","Ensemble","8794"
"Bretagne","Ensemble","Ensemble","Ensemble","Ensemble","8388"
"Centre-Val de Loire","Ensemble","Ensemble","Ensemble","Ensemble","7411"
"Corse","Ensemble","Ensemble","Ensemble","Ensemble","518"
"Grand-Est","Ensemble","Ensemble","Ensemble","Ensemble","7000"
"Guadeloupe","Ensemble","Ensemble","Ensemble","Ensemble",NA
"Guyane","Ensemble","Ensemble","Ensemble","Ensemble",NA
"Hauts-de-France","Ensemble","Ensemble","Ensemble","Ensemble","6286"
"Ile-de-France","Ensemble","Ensemble","Ensemble","Ensemble","24453"
"La Réunion","Ensemble","Ensemble","Ensemble","Ensemble","694"
"Martinique","Ensemble","Ensemble","Ensemble","Ensemble","502"
"Normandie","Ensemble","Ensemble","Ensemble","Ensemble","6091"
"Nouvelle-Aquitaine","Ensemble","Ensemble","Ensemble","Ensemble","18088"
"Occitanie","Ensemble","Ensemble","Ensemble","Ensemble","12861"
"Pays de la Loire","Ensemble","Ensemble","Ensemble","Ensemble","8360"
"Provence-Alpes-Côte d'Azur","Ensemble","Ensemble","Ensemble","Ensemble","7956"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Ensemble","Aides","401"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Ensemble","Apprentis","88"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Ensemble","Ordinaires","18639"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Ensemble","Stagiaires","35"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Ensemble","Aides","220"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Ensemble","Apprentis","34"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Ensemble","Ordinaires","8527"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Ensemble","Stagiaires","13"
"Bretagne","Ensemble","Ensemble","Ensemble","Aides","185"
"Bretagne","Ensemble","Ensemble","Ensemble","Apprentis","22"
"Bretagne","Ensemble","Ensemble","Ensemble","Ordinaires","8174"
"Bretagne","Ensemble","Ensemble","Ensemble","Stagiaires","7"
"Centre-Val de Loire","Ensemble","Ensemble","Ensemble","Aides","145"
"Centre-Val de Loire","Ensemble","Ensemble","Ensemble","Apprentis","76"
"Centre-Val de Loire","Ensemble","Ensemble","Ensemble","Ordinaires","7180"
"Centre-Val de Loire","Ensemble","Ensemble","Ensemble","Stagiaires","10"
"Corse","Ensemble","Ensemble","Ensemble","Aides",NA
"Corse","Ensemble","Ensemble","Ensemble","Apprentis",NA
"Corse","Ensemble","Ensemble","Ensemble","Ordinaires","513"
"Grand-Est","Ensemble","Ensemble","Ensemble","Aides","102"
"Grand-Est","Ensemble","Ensemble","Ensemble","Apprentis","56"
"Grand-Est","Ensemble","Ensemble","Ensemble","Ordinaires","6837"
"Grand-Est","Ensemble","Ensemble","Ensemble","Stagiaires","5"
"Guadeloupe","Ensemble","Ensemble","Ensemble","Aides",NA
"Guadeloupe","Ensemble","Ensemble","Ensemble","Apprentis",NA
"Guadeloupe","Ensemble","Ensemble","Ensemble","Ordinaires",NA
"Guyane","Ensemble","Ensemble","Ensemble","Ordinaires",NA
"Hauts-de-France","Ensemble","Ensemble","Ensemble","Aides","94"
"Hauts-de-France","Ensemble","Ensemble","Ensemble","Apprentis",NA
"Hauts-de-France","Ensemble","Ensemble","Ensemble","Ordinaires","6156"
"Hauts-de-France","Ensemble","Ensemble","Ensemble","Stagiaires",NA
"Ile-de-France","Ensemble","Ensemble","Ensemble","Aides","491"
"Ile-de-France","Ensemble","Ensemble","Ensemble","Apprentis","286"
"Ile-de-France","Ensemble","Ensemble","Ensemble","Ordinaires","23624"
"Ile-de-France","Ensemble","Ensemble","Ensemble","Stagiaires","52"
"La Réunion","Ensemble","Ensemble","Ensemble","Aides","23"
"La Réunion","Ensemble","Ensemble","Ensemble","Apprentis",NA
"La Réunion","Ensemble","Ensemble","Ensemble","Ordinaires","666"
"La Réunion","Ensemble","Ensemble","Ensemble","Stagiaires",NA
"Martinique","Ensemble","Ensemble","Ensemble","Aides",NA
"Martinique","Ensemble","Ensemble","Ensemble","Apprentis",NA
"Martinique","Ensemble","Ensemble","Ensemble","Ordinaires","487"
"Normandie","Ensemble","Ensemble","Ensemble","Aides","102"
"Normandie","Ensemble","Ensemble","Ensemble","Apprentis",NA
"Normandie","Ensemble","Ensemble","Ensemble","Ordinaires","5968"
"Normandie","Ensemble","Ensemble","Ensemble","Stagiaires",NA
"Nouvelle-Aquitaine","Ensemble","Ensemble","Ensemble","Aides","470"
"Nouvelle-Aquitaine","Ensemble","Ensemble","Ensemble","Apprentis","151"
"Nouvelle-Aquitaine","Ensemble","Ensemble","Ensemble","Ordinaires","17440"
"Nouvelle-Aquitaine","Ensemble","Ensemble","Ensemble","Stagiaires","27"
"Occitanie","Ensemble","Ensemble","Ensemble","Aides","281"
"Occitanie","Ensemble","Ensemble","Ensemble","Apprentis","66"
"Occitanie","Ensemble","Ensemble","Ensemble","Ordinaires","12501"
"Occitanie","Ensemble","Ensemble","Ensemble","Stagiaires","13"
"Pays de la Loire","Ensemble","Ensemble","Ensemble","Aides","233"
"Pays de la Loire","Ensemble","Ensemble","Ensemble","Apprentis",NA
"Pays de la Loire","Ensemble","Ensemble","Ensemble","Ordinaires","8076"
"Pays de la Loire","Ensemble","Ensemble","Ensemble","Stagiaires",NA
"Provence-Alpes-Côte d'Azur","Ensemble","Ensemble","Ensemble","Aides","186"
"Provence-Alpes-Côte d'Azur","Ensemble","Ensemble","Ensemble","Apprentis","24"
"Provence-Alpes-Côte d'Azur","Ensemble","Ensemble","Ensemble","Ordinaires","7738"
"Provence-Alpes-Côte d'Azur","Ensemble","Ensemble","Ensemble","Stagiaires","8"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Femmes","Ensemble","14851"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Hommes","Ensemble","4312"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Femmes","Ensemble","6812"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Hommes","Ensemble","1982"
"Bretagne","Ensemble","Ensemble","Femmes","Ensemble","6567"
"Bretagne","Ensemble","Ensemble","Hommes","Ensemble","1821"
"Centre-Val de Loire","Ensemble","Ensemble","Femmes","Ensemble","5455"
"Centre-Val de Loire","Ensemble","Ensemble","Hommes","Ensemble","1956"
"Corse","Ensemble","Ensemble","Femmes","Ensemble","396"
"Corse","Ensemble","Ensemble","Hommes","Ensemble","122"
"Grand-Est","Ensemble","Ensemble","Femmes","Ensemble","5168"
"Grand-Est","Ensemble","Ensemble","Hommes","Ensemble","1832"
"Guadeloupe","Ensemble","Ensemble","Femmes","Ensemble",NA
"Guadeloupe","Ensemble","Ensemble","Hommes","Ensemble",NA
"Guyane","Ensemble","Ensemble","Femmes","Ensemble",NA
"Guyane","Ensemble","Ensemble","Hommes","Ensemble",NA
"Hauts-de-France","Ensemble","Ensemble","Femmes","Ensemble","4521"
"Hauts-de-France","Ensemble","Ensemble","Hommes","Ensemble","1765"
"Ile-de-France","Ensemble","Ensemble","Femmes","Ensemble","16387"
"Ile-de-France","Ensemble","Ensemble","Hommes","Ensemble","8066"
"La Réunion","Ensemble","Ensemble","Femmes","Ensemble","469"
"La Réunion","Ensemble","Ensemble","Hommes","Ensemble","225"
"Martinique","Ensemble","Ensemble","Femmes","Ensemble","360"
"Martinique","Ensemble","Ensemble","Hommes","Ensemble","142"
"Normandie","Ensemble","Ensemble","Femmes","Ensemble","4398"
"Normandie","Ensemble","Ensemble","Hommes","Ensemble","1693"
"Nouvelle-Aquitaine","Ensemble","Ensemble","Femmes","Ensemble","12640"
"Nouvelle-Aquitaine","Ensemble","Ensemble","Hommes","Ensemble","5448"
"Occitanie","Ensemble","Ensemble","Femmes","Ensemble","9725"
"Occitanie","Ensemble","Ensemble","Hommes","Ensemble","3136"
"Pays de la Loire","Ensemble","Ensemble","Femmes","Ensemble","6676"
"Pays de la Loire","Ensemble","Ensemble","Hommes","Ensemble","1684"
"Provence-Alpes-Côte d'Azur","Ensemble","Ensemble","Femmes","Ensemble","5905"
"Provence-Alpes-Côte d'Azur","Ensemble","Ensemble","Hommes","Ensemble","2051"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Femmes","Aides","260"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Femmes","Apprentis","64"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Femmes","Ordinaires","14501"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Femmes","Stagiaires","26"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Hommes","Aides","141"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Hommes","Apprentis","24"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Hommes","Ordinaires","4138"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Hommes","Stagiaires","9"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Femmes","Aides","182"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Femmes","Apprentis",NA
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Femmes","Ordinaires","6599"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Femmes","Stagiaires",NA
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Hommes","Aides","38"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Hommes","Apprentis",NA
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Hommes","Ordinaires","1928"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Hommes","Stagiaires",NA
"Bretagne","Ensemble","Ensemble","Femmes","Aides","150"
"Bretagne","Ensemble","Ensemble","Femmes","Apprentis",NA
"Bretagne","Ensemble","Ensemble","Femmes","Ordinaires","6399"
"Bretagne","Ensemble","Ensemble","Femmes","Stagiaires",NA
"Bretagne","Ensemble","Ensemble","Hommes","Aides","35"
