"DEP","typo_Coop","typo_Coop_det","nb_etab","eff_31","eff_EQTP","rem_brut"
"58","Ensemble","Ensemble","109","1016","993","39484715"
"59","Ensemble","Ensemble","634","5959","5751","257191632"
"60","Ensemble","Ensemble","138","1643","1615","68920958"
"61","Ensemble","Ensemble","150","1161","1151","43733826"
"62","Ensemble","Ensemble","436","4872","4663","188400850"
"63","Ensemble","Ensemble","192","3785","3812","163092486"
"64","Ensemble","Ensemble","222","3479","3433","139232853"
"65","Ensemble","Ensemble","75","843","809","32000153"
"66","Ensemble","Ensemble","156","2786","2843","110062570"
"67","Ensemble","Ensemble","483","6699","6541","303786766"
"68","Ensemble","Ensemble","307","4132","3986","168158882"
"69","Ensemble","Ensemble","471","7227","6791","307283758"
"70","Ensemble","Ensemble","60","570","566","22289320"
"71","Ensemble","Ensemble","210","2167","2131","87168923"
"72","Ensemble","Ensemble","235","2618","2618","102043092"
"73","Ensemble","Ensemble","161","2711","2540","97400099"
"74","Ensemble","Ensemble","197","3528","3415","143867284"
"75","Ensemble","Ensemble","501","15835","15174","868136102"
"76","Ensemble","Ensemble","363","4816","4733","201254456"
"77","Ensemble","Ensemble","189","3390","3338","143606429"
"78","Ensemble","Ensemble","223","2279","2240","103136164"
"79","Ensemble","Ensemble","224","3263","3086","100696951"
"80","Ensemble","Ensemble","130","3461","3380","143128085"
"81","Ensemble","Ensemble","212","2433","2352","87750190"
"82","Ensemble","Ensemble","149","1612","1512","53044279"
"83","Ensemble","Ensemble","251","2934","2876","124867007"
"84","Ensemble","Ensemble","168","2581","2633","98762899"
"85","Ensemble","Ensemble","388","4709","4583","169517474"
"86","Ensemble","Ensemble","233","2971","2921","107834626"
"87","Ensemble","Ensemble","163","2991","2869","104534330"
"88","Ensemble","Ensemble","147","1965","1859","68179992"
"89","Ensemble","Ensemble","142","1979","1951","74238000"
"90","Ensemble","Ensemble","42","289","285","12494936"
"91","Ensemble","Ensemble","196","2432","2387","110882483"
"92","Ensemble","Ensemble","204","3584","3447","173041265"
"93","Ensemble","Ensemble","176","2074","1980","77348989"
"94","Ensemble","Ensemble","202","3241","3197","155498855"
"95","Ensemble","Ensemble","127","1548","1506","61797041"
"971","Ensemble","Ensemble","91","840","849","44037340"
"972","Ensemble","Ensemble","98","947","936","50161935"
"973","Ensemble","Ensemble","21","157","139","6371811"
"974","Ensemble","Ensemble","149","2374","2104","94171144"
"1","Ensemble","Activites des services financiers hors assurance et caisses","75","1094","1070","48936250"
"2","Ensemble","Activites des services financiers hors assurance et caisses","78","823","828","36294592"
"3","Ensemble","Activites des services financiers hors assurance et caisses","68","745","751","32343100"
"4","Ensemble","Activites des services financiers hors assurance et caisses","11","s","s","s"
"5","Ensemble","Activites des services financiers hors assurance et caisses","15","275","259","11628254"
"6","Ensemble","Activites des services financiers hors assurance et caisses","150","3077","3063","151370104"
"7","Ensemble","Activites des services financiers hors assurance et caisses","62","703","676","30924925"
"8","Ensemble","Activites des services financiers hors assurance et caisses","34","553","537","23375689"
"9","Ensemble","Activites des services financiers hors assurance et caisses","29","292","294","12525727"
"10","Ensemble","Activites des services financiers hors assurance et caisses","60","849","841","37402238"
"11","Ensemble","Activites des services financiers hors assurance et caisses","56","660","669","29935152"
"12","Ensemble","Activites des services financiers hors assurance et caisses","64","969","953","41770417"
"13","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"13","Ensemble","Activites des services financiers hors assurance et caisses","171","s","s","s"
"14","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"14","Ensemble","Activites des services financiers hors assurance et caisses","112","s","s","s"
"15","Ensemble","Activites des services financiers hors assurance et caisses","48","493","490","21808034"
"16","Ensemble","Activites des services financiers hors assurance et caisses","62","1121","1117","51937132"
"17","Ensemble","Activites des services financiers hors assurance et caisses","156","2066","2081","94239489"
"18","Ensemble","Activites des services financiers hors assurance et caisses","49","798","798","34894505"
"19","Ensemble","Activites des services financiers hors assurance et caisses","66","602","602","26100761"
"21","Ensemble","Activites des services financiers hors assurance et caisses","132","2278","2252","112206228"
"22","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"22","Ensemble","Activites des services financiers hors assurance et caisses","67","s","s","s"
"23","Ensemble","Activites des services financiers hors assurance et caisses","37","265","265","11191964"
"24","Ensemble","Activites des services financiers hors assurance et caisses","76","1011","1016","44843760"
"25","Ensemble","Activites des services financiers hors assurance et caisses","112","2720","2678","121855052"
"26","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"26","Ensemble","Activites des services financiers hors assurance et caisses","113","s","s","s"
"27","Ensemble","Activites des services financiers hors assurance et caisses","92","1029","1029","46087598"
"28","Ensemble","Activites des services financiers hors assurance et caisses","113","1174","1169","51355578"
"29","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"29","Ensemble","Activites des services financiers hors assurance et caisses","151","4767","s","s"
"2A","Ensemble","Activites des services financiers hors assurance et caisses","11","457","450","s"
"2B","Ensemble","Activites des services financiers hors assurance et caisses","11","83","s","3774492"
"30","Ensemble","Activites des services financiers hors assurance et caisses","107","1660","1649","75340179"
"31","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"31","Ensemble","Activites des services financiers hors assurance et caisses","271","s","s","s"
"32","Ensemble","Activites des services financiers hors assurance et caisses","36","592","593","26511880"
"33","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"33","Ensemble","Activites des services financiers hors assurance et caisses","177","s","s","s"
"34","Ensemble","Activites des services financiers hors assurance et caisses","164","2703","2671","128702605"
"35","Ensemble","Activites de services financiers et d assurances","3","s","s","s"
"35","Ensemble","Activites des services financiers hors assurance et caisses","109","s","s","s"
"36","Ensemble","Activites des services financiers hors assurance et caisses","37","594","593","26037504"
"37","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"37","Ensemble","Activites des services financiers hors assurance et caisses","149","s","s","s"
"38","Ensemble","Activites des services financiers hors assurance et caisses","187","3244","3246","151170377"
"39","Ensemble","Activites des services financiers hors assurance et caisses","63","374","357","15365377"
"40","Ensemble","Activites des services financiers hors assurance et caisses","53","1100","1101","49656209"
"41","Ensemble","Activites des services financiers hors assurance et caisses","60","958","964","43432476"
"42","Ensemble","Activites des services financiers hors assurance et caisses","137","2361","2318","107915895"
"43","Ensemble","Activites des services financiers hors assurance et caisses","41","656","629","25588542"
"44","Ensemble","Activites de services financiers et d assurances","3","75","77","3339120"
"44","Ensemble","Activites des services financiers hors assurance et caisses","258","5672","5616","256323248"
"45","Ensemble","Activites des services financiers hors assurance et caisses","137","2318","2333","108776728"
"46","Ensemble","Activites des services financiers hors assurance et caisses","42","705","705","30405422"
"47","Ensemble","Activites des services financiers hors assurance et caisses","51","894","901","40700685"
"48","Ensemble","Activites des services financiers hors assurance et caisses","15","192","196","8582346"
"49","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"49","Ensemble","Activites des services financiers hors assurance et caisses","200","s","s","s"
"50","Ensemble","Activites des services financiers hors assurance et caisses","85","1095","1100","47294558"
"51","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"51","Ensemble","Activites des services financiers hors assurance et caisses","92","s","s","s"
"52","Ensemble","Activites des services financiers hors assurance et caisses","37","326","324","14057996"
"53","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"53","Ensemble","Activites des services financiers hors assurance et caisses","73","1224","s","s"
"54","Ensemble","Activites des services financiers hors assurance et caisses","116","1564","1570","69756098"
"55","Ensemble","Activites des services financiers hors assurance et caisses","29","407","403","16703375"
"56","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"56","Ensemble","Activites des services financiers hors assurance et caisses","124","s","s","s"
"57","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"57","Ensemble","Activites des services financiers hors assurance et caisses","255","s","s","s"
"58","Ensemble","Activites des services financiers hors assurance et caisses","71","617","607","26881140"
"59","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"59","Ensemble","Activites des services financiers hors assurance et caisses","449","s","s","s"
"60","Ensemble","Activites des services financiers hors assurance et caisses","93","498","502","23450767"
"61","Ensemble","Activites des services financiers hors assurance et caisses","49","640","640","27483007"
"62","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"62","Ensemble","Activites des services financiers hors assurance et caisses","259","2752","s","s"
"63","Ensemble","Activites des services financiers hors assurance et caisses","106","2383","2481","117094715"
"64","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"64","Ensemble","Activites des services financiers hors assurance et caisses","107","s","s","s"
"65","Ensemble","Activites des services financiers hors assurance et caisses","35","593","587","26120274"
"66","Ensemble","Activites des services financiers hors assurance et caisses","79","1672","1671","74705009"
"67","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"67","Ensemble","Activites des services financiers hors assurance et caisses","351","s","s","s"
"68","Ensemble","Activites des services financiers hors assurance et caisses","255","2216","2149","102164510"
"69","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"69","Ensemble","Activites des services financiers hors assurance et caisses","266","s","s","s"
"70","Ensemble","Activites des services financiers hors assurance et caisses","36","224","220","9511563"
"71","Ensemble","Activites des services financiers hors assurance et caisses","89","1155","1146","53022956"
"72","Ensemble","Activites des services financiers hors assurance et caisses","100","1384","1412","62551460"
"73","Ensemble","Activites des services financiers hors assurance et caisses","67","1430","1390","62733354"
"74","Ensemble","Activites des services financiers hors assurance et caisses","132","2531","2478","111063194"
"75","Ensemble","Activites de services financiers et d assurances","3","s","s","s"
"75","Ensemble","Activites des services financiers hors assurance et caisses","283","s","s","s"
"76","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"76","Ensemble","Activites des services financiers hors assurance et caisses","215","s","s","s"
"77","Ensemble","Activites des services financiers hors assurance et caisses","126","2370","2352","108291321"
"78","Ensemble","Activites des services financiers hors assurance et caisses","179","1676","1658","82004167"
"79","Ensemble","Activites des services financiers hors assurance et caisses","104","978","978","42626740"
"80","Ensemble","Activites des services financiers hors assurance et caisses","61","2238","2218","101713603"
"81","Ensemble","Activites des services financiers hors assurance et caisses","82","1207","1195","51880612"
"82","Ensemble","Activites des services financiers hors assurance et caisses","51","692","684","29580726"
"83","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"83","Ensemble","Activites des services financiers hors assurance et caisses","142","s","s","s"
"84","Ensemble","Activites des services financiers hors assurance et caisses","49","888","865","38178127"
"85","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"85","Ensemble","Activites des services financiers hors assurance et caisses","190","s","s","s"
"86","Ensemble","Activites des services financiers hors assurance et caisses","90","1299","1298","58250641"
"87","Ensemble","Activites des services financiers hors assurance et caisses","61","1282","1259","57139605"
"88","Ensemble","Activites des services financiers hors assurance et caisses","88","860","837","35116304"
"89","Ensemble","Activites des services financiers hors assurance et caisses","88","763","757","33662438"
"90","Ensemble","Activites des services financiers hors assurance et caisses","36","258","255","11774728"
"91","Ensemble","Activites des services financiers hors assurance et caisses","145","1139","1116","55575552"
"92","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"92","Ensemble","Activites des services financiers hors assurance et caisses","153","s","s","s"
"93","Ensemble","Activites des services financiers hors assurance et caisses","100","722","690","32382028"
"94","Ensemble","Activites des services financiers hors assurance et caisses","132","953","949","47597296"
"95","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"95","Ensemble","Activites des services financiers hors assurance et caisses","96","s","s","s"
"971","Ensemble","Activites des services financiers hors assurance et caisses","58","707","721","39688727"
"972","Ensemble","Activites des services financiers hors assurance et caisses","74","854","852","47771855"
"973","Ensemble","Activites des services financiers hors assurance et caisses","11","99","98","4979187"
"974","Ensemble","Activites des services financiers hors assurance et caisses","77","1052","1051","60287151"
"1","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","75","1094","1070","48936250"
"1","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","17","109","105","3423213"
"1","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","12","69","62","2024926"
"1","COMMERCE (GZ)","Ensemble","48","415","391","13904493"
"1","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","25","222","210","5967274"
"1","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","15","66","60","1505546"
"2","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","78","823","828","36294592"
"2","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","6","18","19","617987"
"2","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","24","236","223","5857813"
"2","COMMERCE (GZ)","Ensemble","27","227","223","8911034"
"2","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","23","799","746","34534029"
"2","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","9","42","52","1851613"
"3","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","68","745","751","32343100"
"3","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","4","21","22","595694"
"3","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","7","36","39","1237894"
"3","COMMERCE (GZ)","Ensemble","23","569","516","16649659"
"3","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","7","59","52","1781185"
"3","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","13","44","38","1515930"
"4","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","11","s","s","s"
"4","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","6","36","s","s"
"4","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","9","s","s","s"
"4","COMMERCE (GZ)","Ensemble","15","93","95","3242962"
"4","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","15","98","93","2547374"
"4","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","7","56","48","1197139"
"5","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","15","275","259","11628254"
"5","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","3","6","s","s"
"5","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","7","21","s","s"
"5","COMMERCE (GZ)","Ensemble","13","130","160","4632667"
"5","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","19","110","101","2730319"
"5","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","8","67","44","1091772"
"6","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","150","3077","3063","151370104"
"6","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","2","s","s","s"
"6","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","22","229","196","6293408"
"6","COMMERCE (GZ)","Ensemble","15","42","34","1216790"
"6","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","10","s","s","s"
"6","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","16","71","65","2341594"
"7","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","62","703","676","30924925"
"7","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","3","s","s","s"
"7","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","18","88","83","2189933"
"7","COMMERCE (GZ)","Ensemble","32","225","266","7800746"
"7","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","26","222","212","6622564"
"7","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","5","s","s","s"
"8","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","34","553","537","23375689"
"8","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","5","68","58","1865346"
"8","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","4","s","s","s"
"8","COMMERCE (GZ)","Ensemble","41","226","223","7699961"
"8","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","7","83","74","2346187"
"8","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","20","s","s","s"
"9","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","29","292","294","12525727"
"9","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","2","s","s","s"
"9","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","2","s","s","s"
"9","COMMERCE (GZ)","Ensemble","11","103","100","3246978"
"9","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","13","257","252","7386742"
"9","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","3","s","s","s"
"10","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","60","849","841","37402238"
"10","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","4","28","22","720435"
"10","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","3","36","43","1886701"
"10","COMMERCE (GZ)","Ensemble","52","216","225","7990561"
"10","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","21","888","846","33423841"
"10","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","5","24","22","781663"
"11","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","56","660","669","29935152"
"11","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","24","45","52","2515144"
"11","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","13","107","99","2953263"
"11","COMMERCE (GZ)","Ensemble","36","510","517","17312367"
"11","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","66","739","815","27155945"
"11","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","9","107","144","3212383"
"12","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","64","969","953","41770417"
"12","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","17","52","47","1497742"
"12","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","5","22","26","683389"
"12","COMMERCE (GZ)","Ensemble","36","385","360","12058155"
"12","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","11","201","191","6134742"
"12","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","43","70","61","1591393"
"13","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","173","3314","3255","160452081"
"13","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","8","49","44","1381277"
"13","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","70","563","510","20561747"
"13","COMMERCE (GZ)","Ensemble","34","228","220","7237600"
"13","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","66","489","472","17656917"
"13","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","50","266","243","8755729"
"14","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","113","2109","2096","96573105"
"14","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","11","43","41","1358681"
"14","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","13","84","91","2834578"
"14","COMMERCE (GZ)","Ensemble","61","1021","976","34624593"
"14","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","23","1215","1153","43125373"
"14","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","44","199","185","6612820"
"15","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","48","493","490","21808034"
"15","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","2","s","s","s"
"15","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","2","s","s","s"
"15","COMMERCE (GZ)","Ensemble","7","254","247","7336397"
"15","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","12","102","88","2679645"
"15","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","4","14","12","371024"
"16","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","62","1121","1117","51937132"
"16","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","4","20","18","442420"
"16","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","5","82","59","1464143"
"16","COMMERCE (GZ)","Ensemble","33","914","900","28005047"
"16","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","17","254","247","8121881"
"16","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","11","21","21","808129"
"17","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","156","2066","2081","94239489"
"17","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","9","48","44","1350331"
"17","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","16","278","275","8793391"
"17","COMMERCE (GZ)","Ensemble","101","1542","1466","42057637"
"17","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","22","404","386","13195068"
"17","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","17","343","339","11875026"
"18","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","49","798","798","34894505"
"18","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","2","s","s","s"
"18","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","4","15","14","s"
"18","COMMERCE (GZ)","Ensemble","29","403","404","11472984"
"18","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","3","s","s","457371"
"18","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","4","21","17","536901"
"19","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","66","602","602","26100761"
"19","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","12","128","119","s"
"19","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","6","s","s","911861"
"19","COMMERCE (GZ)","Ensemble","21","519","487","12511347"
"19","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","8","81","83","2859777"
"19","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","1","s","s","s"
"21","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","132","2278","2252","112206228"
"21","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","3","29","32","997703"
"21","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","12","120","110","3612753"
"21","COMMERCE (GZ)","Ensemble","24","404","415","16460494"
"21","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","12","193","182","6151875"
"21","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","13","100","81","2731006"
"22","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","68","s","2003","86091777"
"22","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","7","s","82","2964930"
"22","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","23","279","252","6572014"
"22","COMMERCE (GZ)","Ensemble","79","954","942","34658933"
"22","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","32","3443","3267","97845561"
"22","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","89","s","250","6742109"
"23","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","37","265","265","11191964"
"23","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","12","15","s","s"
"23","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","3","10","s","s"
"23","COMMERCE (GZ)","Ensemble","7","119","117","3774771"
"23","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","3","41","26","530263"
"23","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","11","43","37","1399878"
