"","EPCI","jurid2","typo1","nb_etab","eff_31","eff_EQTP","rem_brut","non_annexe","dep_epci","nom_complet"
"68",200000545,"3-TOTAL-HORS ESS","3-SANTÉ HUMAINE",24,"681","595.82","19367423","645","10","CC des Portes de Romilly sur Seine"
"69",200000545,"3-TOTAL-HORS ESS","4-ACTION SOCIALE",2,"s","s","s","s","10","CC des Portes de Romilly sur Seine"
"70",200000545,"3-TOTAL-HORS ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",4,"13","10.5","255771","13","10","CC des Portes de Romilly sur Seine"
"71",200000545,"3-TOTAL-HORS ESS","6-NON-CLASSES",1,"s","s","s","s","10","CC des Portes de Romilly sur Seine"
"72",200000545,"3-TOTAL-HORS ESS","7-AGRICULTURE, INDUSTRIE, CONSTRUCTION",100,"1104","1015.68","31916822","1085","10","CC des Portes de Romilly sur Seine"
"73",200000545,"3-TOTAL-HORS ESS","8-SERVICES DIVERS",294,"2563","2251.26","63635511","2433","10","CC des Portes de Romilly sur Seine"
"74",200000628,"1-TOTAL-ESS","TOUS SECTEURS",48,"547","427.85","11868284","479","84","CC Rhône Lez Provence"
"75",200000628,"1-TOTAL-ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",4,"11","9.89","378308","10","84","CC Rhône Lez Provence"
"76",200000628,"1-TOTAL-ESS","2-ENSEIGNEMENT",2,"s","s","s","s","84","CC Rhône Lez Provence"
"77",200000628,"1-TOTAL-ESS","3-SANTÉ HUMAINE",1,"s","s","s","s","84","CC Rhône Lez Provence"
"78",200000628,"1-TOTAL-ESS","4-ACTION SOCIALE",5,"275","247.91","6942174","270","84","CC Rhône Lez Provence"
"79",200000628,"1-TOTAL-ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",17,"29","11","259618","13","84","CC Rhône Lez Provence"
"80",200000628,"1-TOTAL-ESS","6-NON-CLASSES",11,"18","12.7","339320","17","84","CC Rhône Lez Provence"
"81",200000628,"1-TOTAL-ESS","8-SERVICES DIVERS",8,"187","126.66","3374836","143","84","CC Rhône Lez Provence"
"82",200000628,"2-TOTAL-ASSOCIATIONS","TOUS SECTEURS",40,"501","372.12","9869454","436","84","CC Rhône Lez Provence"
"83",200000628,"2-TOTAL-ASSOCIATIONS","2-ENSEIGNEMENT",2,"s","s","s","s","84","CC Rhône Lez Provence"
"84",200000628,"2-TOTAL-ASSOCIATIONS","3-SANTÉ HUMAINE",1,"s","s","s","s","84","CC Rhône Lez Provence"
"85",200000628,"2-TOTAL-ASSOCIATIONS","4-ACTION SOCIALE",5,"275","247.91","6942174","270","84","CC Rhône Lez Provence"
"86",200000628,"2-TOTAL-ASSOCIATIONS","5-ARTS SPECTACLES SPORT ET LOISIRS",17,"29","11","259618","13","84","CC Rhône Lez Provence"
"87",200000628,"2-TOTAL-ASSOCIATIONS","6-NON-CLASSES",11,"18","12.7","339320","17","84","CC Rhône Lez Provence"
"88",200000628,"2-TOTAL-ASSOCIATIONS","8-SERVICES DIVERS",4,"152","80.82","1754314","110","84","CC Rhône Lez Provence"
"89",200000628,"3-TOTAL-HORS ESS","TOUS SECTEURS",732,"6266","5589.78","176887767","5902","84","CC Rhône Lez Provence"
"90",200000628,"3-TOTAL-HORS ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",26,"77","63.97","2491810","72","84","CC Rhône Lez Provence"
"91",200000628,"3-TOTAL-HORS ESS","2-ENSEIGNEMENT",22,"371","342.78","11487082","369","84","CC Rhône Lez Provence"
"92",200000628,"3-TOTAL-HORS ESS","3-SANTÉ HUMAINE",27,"176","155.24","4228858","164","84","CC Rhône Lez Provence"
"93",200000628,"3-TOTAL-HORS ESS","4-ACTION SOCIALE",6,"106","73.17","1710932","94","84","CC Rhône Lez Provence"
"94",200000628,"3-TOTAL-HORS ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",5,"5","6.74","167089","5","84","CC Rhône Lez Provence"
"95",200000628,"3-TOTAL-HORS ESS","7-AGRICULTURE, INDUSTRIE, CONSTRUCTION",212,"2284","2244.14","81552890","2229","84","CC Rhône Lez Provence"
"96",200000628,"3-TOTAL-HORS ESS","8-SERVICES DIVERS",434,"3247","2703.74","75249106","2969","84","CC Rhône Lez Provence"
"97",200000800,"1-TOTAL-ESS","TOUS SECTEURS",41,"574","524.74","15256011","539","41","CC Coeur de Sologne"
"98",200000800,"1-TOTAL-ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",1,"s","s","s","s","41","CC Coeur de Sologne"
"99",200000800,"1-TOTAL-ESS","2-ENSEIGNEMENT",2,"s","s","s","s","41","CC Coeur de Sologne"
"100",200000800,"1-TOTAL-ESS","4-ACTION SOCIALE",8,"275","235.42","6945892","266","41","CC Coeur de Sologne"
"101",200000800,"1-TOTAL-ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",10,"172","173.16","5192247","158","41","CC Coeur de Sologne"
"102",200000800,"1-TOTAL-ESS","6-NON-CLASSES",13,"35","18.4","458625","25","41","CC Coeur de Sologne"
"103",200000800,"1-TOTAL-ESS","8-SERVICES DIVERS",7,"58","57.79","1385134","56","41","CC Coeur de Sologne"
"104",200000800,"2-TOTAL-ASSOCIATIONS","TOUS SECTEURS",38,"555","507.41","14676663","520","41","CC Coeur de Sologne"
"105",200000800,"2-TOTAL-ASSOCIATIONS","2-ENSEIGNEMENT",2,"s","s","s","s","41","CC Coeur de Sologne"
"106",200000800,"2-TOTAL-ASSOCIATIONS","4-ACTION SOCIALE",8,"275","235.42","6945892","266","41","CC Coeur de Sologne"
"107",200000800,"2-TOTAL-ASSOCIATIONS","5-ARTS SPECTACLES SPORT ET LOISIRS",10,"172","173.16","5192247","158","41","CC Coeur de Sologne"
"108",200000800,"2-TOTAL-ASSOCIATIONS","6-NON-CLASSES",13,"35","18.4","458625","25","41","CC Coeur de Sologne"
"109",200000800,"2-TOTAL-ASSOCIATIONS","8-SERVICES DIVERS",5,"s","s","s","s","41","CC Coeur de Sologne"
"110",200000800,"3-TOTAL-HORS ESS","TOUS SECTEURS",308,"2709","2367.14","71210563","2508","41","CC Coeur de Sologne"
"111",200000800,"3-TOTAL-HORS ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",10,"20","16.8","595523","19","41","CC Coeur de Sologne"
"112",200000800,"3-TOTAL-HORS ESS","2-ENSEIGNEMENT",11,"106","102.3","3472836","106","41","CC Coeur de Sologne"
"113",200000800,"3-TOTAL-HORS ESS","3-SANTÉ HUMAINE",17,"220","188.99","6843562","208","41","CC Coeur de Sologne"
"114",200000800,"3-TOTAL-HORS ESS","4-ACTION SOCIALE",1,"s","s","s","s","41","CC Coeur de Sologne"
"115",200000800,"3-TOTAL-HORS ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",7,"s","s","s","s","41","CC Coeur de Sologne"
"116",200000800,"3-TOTAL-HORS ESS","7-AGRICULTURE, INDUSTRIE, CONSTRUCTION",88,"637","665.6","22418510","625","41","CC Coeur de Sologne"
"117",200000800,"3-TOTAL-HORS ESS","8-SERVICES DIVERS",174,"1646","1316.24","35869783","1471","41","CC Coeur de Sologne"
"118",200000925,"1-TOTAL-ESS","TOUS SECTEURS",35,"270","175.55","5102164","212","21","CC de la Plaine Dijonnaise"
"119",200000925,"1-TOTAL-ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",4,"18","19.66","818853","18","21","CC de la Plaine Dijonnaise"
"120",200000925,"1-TOTAL-ESS","2-ENSEIGNEMENT",1,"s","s","s","s","21","CC de la Plaine Dijonnaise"
"121",200000925,"1-TOTAL-ESS","3-SANTÉ HUMAINE",2,"s","s","s","s","21","CC de la Plaine Dijonnaise"
"122",200000925,"1-TOTAL-ESS","4-ACTION SOCIALE",5,"124","83.91","1997817","110","21","CC de la Plaine Dijonnaise"
"123",200000925,"1-TOTAL-ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",11,"21","4.75","92863","9","21","CC de la Plaine Dijonnaise"
"124",200000925,"1-TOTAL-ESS","6-NON-CLASSES",6,"29","5.88","109254","8","21","CC de la Plaine Dijonnaise"
"125",200000925,"1-TOTAL-ESS","7-AGRICULTURE, INDUSTRIE, CONSTRUCTION",2,"s","s","s","s","21","CC de la Plaine Dijonnaise"
"126",200000925,"1-TOTAL-ESS","8-SERVICES DIVERS",4,"39","29.31","1023100","33","21","CC de la Plaine Dijonnaise"
"127",200000925,"2-TOTAL-ASSOCIATIONS","TOUS SECTEURS",25,"142","64.76","1427125","91","21","CC de la Plaine Dijonnaise"
"128",200000925,"2-TOTAL-ASSOCIATIONS","2-ENSEIGNEMENT",1,"s","s","s","s","21","CC de la Plaine Dijonnaise"
"129",200000925,"2-TOTAL-ASSOCIATIONS","3-SANTÉ HUMAINE",2,"s","s","s","s","21","CC de la Plaine Dijonnaise"
"130",200000925,"2-TOTAL-ASSOCIATIONS","4-ACTION SOCIALE",4,"69","42.4","909357","60","21","CC de la Plaine Dijonnaise"
"131",200000925,"2-TOTAL-ASSOCIATIONS","5-ARTS SPECTACLES SPORT ET LOISIRS",11,"21","4.75","92863","9","21","CC de la Plaine Dijonnaise"
"132",200000925,"2-TOTAL-ASSOCIATIONS","6-NON-CLASSES",6,"29","5.88","109254","8","21","CC de la Plaine Dijonnaise"
"133",200000925,"2-TOTAL-ASSOCIATIONS","8-SERVICES DIVERS",1,"s","s","s","s","21","CC de la Plaine Dijonnaise"
"134",200000925,"3-TOTAL-HORS ESS","TOUS SECTEURS",403,"2945","2595.05","78202007","2791","21","CC de la Plaine Dijonnaise"
"135",200000925,"3-TOTAL-HORS ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",11,"25","15.81","480375","20","21","CC de la Plaine Dijonnaise"
"136",200000925,"3-TOTAL-HORS ESS","2-ENSEIGNEMENT",39,"226","217.37","7516270","224","21","CC de la Plaine Dijonnaise"
"137",200000925,"3-TOTAL-HORS ESS","3-SANTÉ HUMAINE",12,"31","22.1","727785","26","21","CC de la Plaine Dijonnaise"
"138",200000925,"3-TOTAL-HORS ESS","4-ACTION SOCIALE",4,"s","s","s","s","21","CC de la Plaine Dijonnaise"
"139",200000925,"3-TOTAL-HORS ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",1,"s","s","s","s","21","CC de la Plaine Dijonnaise"
"140",200000925,"3-TOTAL-HORS ESS","7-AGRICULTURE, INDUSTRIE, CONSTRUCTION",144,"961","915.58","28797927","936","21","CC de la Plaine Dijonnaise"
"141",200000925,"3-TOTAL-HORS ESS","8-SERVICES DIVERS",192,"1649","1388.25","39791386","1541","21","CC de la Plaine Dijonnaise"
"142",200000933,"1-TOTAL-ESS","TOUS SECTEURS",55,"423","325.76","7698075","380","18","CC Sauldre et Sologne"
"143",200000933,"1-TOTAL-ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",4,"12","11.18","508411","12","18","CC Sauldre et Sologne"
"144",200000933,"1-TOTAL-ESS","2-ENSEIGNEMENT",4,"s","s","s","s","18","CC Sauldre et Sologne"
"145",200000933,"1-TOTAL-ESS","3-SANTÉ HUMAINE",2,"s","s","s","s","18","CC Sauldre et Sologne"
"146",200000933,"1-TOTAL-ESS","4-ACTION SOCIALE",12,"232","187.55","3807494","221","18","CC Sauldre et Sologne"
"147",200000933,"1-TOTAL-ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",7,"9","5.13","105114","6","18","CC Sauldre et Sologne"
"148",200000933,"1-TOTAL-ESS","6-NON-CLASSES",12,"29","16","424557","21","18","CC Sauldre et Sologne"
"149",200000933,"1-TOTAL-ESS","8-SERVICES DIVERS",14,"103","67.86","1737983","84","18","CC Sauldre et Sologne"
"150",200000933,"2-TOTAL-ASSOCIATIONS","TOUS SECTEURS",49,"406","309.31","7001351","363","18","CC Sauldre et Sologne"
"151",200000933,"2-TOTAL-ASSOCIATIONS","2-ENSEIGNEMENT",4,"s","s","s","s","18","CC Sauldre et Sologne"
"152",200000933,"2-TOTAL-ASSOCIATIONS","3-SANTÉ HUMAINE",2,"s","s","s","s","18","CC Sauldre et Sologne"
"153",200000933,"2-TOTAL-ASSOCIATIONS","4-ACTION SOCIALE",12,"232","187.55","3807494","221","18","CC Sauldre et Sologne"
"154",200000933,"2-TOTAL-ASSOCIATIONS","5-ARTS SPECTACLES SPORT ET LOISIRS",7,"9","5.13","105114","6","18","CC Sauldre et Sologne"
"155",200000933,"2-TOTAL-ASSOCIATIONS","6-NON-CLASSES",12,"29","16","424557","21","18","CC Sauldre et Sologne"
"156",200000933,"2-TOTAL-ASSOCIATIONS","8-SERVICES DIVERS",12,"98","62.59","1549670","79","18","CC Sauldre et Sologne"
"157",200000933,"3-TOTAL-HORS ESS","TOUS SECTEURS",462,"3658","3321.94","105325038","3482","18","CC Sauldre et Sologne"
"158",200000933,"3-TOTAL-HORS ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",22,"51","42.39","1725261","49","18","CC Sauldre et Sologne"
"159",200000933,"3-TOTAL-HORS ESS","2-ENSEIGNEMENT",17,"113","108.46","3666378","108","18","CC Sauldre et Sologne"
"160",200000933,"3-TOTAL-HORS ESS","3-SANTÉ HUMAINE",18,"40","31.65","774243","38","18","CC Sauldre et Sologne"
"161",200000933,"3-TOTAL-HORS ESS","4-ACTION SOCIALE",3,"s","s","s","s","18","CC Sauldre et Sologne"
"162",200000933,"3-TOTAL-HORS ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",4,"s","s","s","s","18","CC Sauldre et Sologne"
"163",200000933,"3-TOTAL-HORS ESS","7-AGRICULTURE, INDUSTRIE, CONSTRUCTION",177,"2194","2071.07","69897575","2135","18","CC Sauldre et Sologne"
"164",200000933,"3-TOTAL-HORS ESS","8-SERVICES DIVERS",221,"1103","925.04","25515796","1004","18","CC Sauldre et Sologne"
"165",200004802,"1-TOTAL-ESS","TOUS SECTEURS",59,"346","243.86","6578241","293","83","CC du Pays de Fayence"
"166",200004802,"1-TOTAL-ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",3,"11","11.46","523241","11","83","CC du Pays de Fayence"
"167",200004802,"1-TOTAL-ESS","2-ENSEIGNEMENT",6,"s","s","s","s","83","CC du Pays de Fayence"
"168",200004802,"1-TOTAL-ESS","3-SANTÉ HUMAINE",1,"s","s","s","s","83","CC du Pays de Fayence"
"169",200004802,"1-TOTAL-ESS","4-ACTION SOCIALE",11,"211","160.77","4009689","192","83","CC du Pays de Fayence"
"170",200004802,"1-TOTAL-ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",19,"33","15.56","408701","17","83","CC du Pays de Fayence"
"171",200004802,"1-TOTAL-ESS","6-NON-CLASSES",14,"73","42.17","1068103","55","83","CC du Pays de Fayence"
"172",200004802,"1-TOTAL-ESS","7-AGRICULTURE, INDUSTRIE, CONSTRUCTION",1,"s","s","s","s","83","CC du Pays de Fayence"
"173",200004802,"1-TOTAL-ESS","8-SERVICES DIVERS",4,"s","s","s","s","83","CC du Pays de Fayence"
"174",200004802,"2-TOTAL-ASSOCIATIONS","TOUS SECTEURS",50,"245","157.73","4122516","194","83","CC du Pays de Fayence"
"175",200004802,"2-TOTAL-ASSOCIATIONS","2-ENSEIGNEMENT",6,"s","s","s","10","83","CC du Pays de Fayence"
"176",200004802,"2-TOTAL-ASSOCIATIONS","4-ACTION SOCIALE",8,"128","92.68","2498338","111","83","CC du Pays de Fayence"
"177",200004802,"2-TOTAL-ASSOCIATIONS","5-ARTS SPECTACLES SPORT ET LOISIRS",19,"33","15.56","408701","17","83","CC du Pays de Fayence"
"178",200004802,"2-TOTAL-ASSOCIATIONS","6-NON-CLASSES",14,"73","42.17","1068103","55","83","CC du Pays de Fayence"
"179",200004802,"2-TOTAL-ASSOCIATIONS","8-SERVICES DIVERS",3,"s","s","s","s","83","CC du Pays de Fayence"
"180",200004802,"3-TOTAL-HORS ESS","TOUS SECTEURS",964,"4256","3893.74","109903123","4034","83","CC du Pays de Fayence"
"181",200004802,"3-TOTAL-HORS ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",27,"65","54.06","1950222","63","83","CC du Pays de Fayence"
"182",200004802,"3-TOTAL-HORS ESS","2-ENSEIGNEMENT",29,"303","272.51","8860410","296","83","CC du Pays de Fayence"
"183",200004802,"3-TOTAL-HORS ESS","3-SANTÉ HUMAINE",29,"63","49.69","1316406","56","83","CC du Pays de Fayence"
"184",200004802,"3-TOTAL-HORS ESS","4-ACTION SOCIALE",5,"230","202.1","5314209","223","83","CC du Pays de Fayence"
"185",200004802,"3-TOTAL-HORS ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",9,"23","12.4","346339","20","83","CC du Pays de Fayence"
"186",200004802,"3-TOTAL-HORS ESS","7-AGRICULTURE, INDUSTRIE, CONSTRUCTION",313,"972","880.09","25230625","916","83","CC du Pays de Fayence"
"187",200004802,"3-TOTAL-HORS ESS","8-SERVICES DIVERS",552,"2600","2422.89","66884912","2460","83","CC du Pays de Fayence"
"188",200005932,"1-TOTAL-ESS","TOUS SECTEURS",51,"344","244.45","6471387","290","45","CC des Portes de Sologne"
"189",200005932,"1-TOTAL-ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",4,"14","14.53","624428","14","45","CC des Portes de Sologne"
"190",200005932,"1-TOTAL-ESS","2-ENSEIGNEMENT",4,"28","14.92","393460","20","45","CC des Portes de Sologne"
"191",200005932,"1-TOTAL-ESS","3-SANTÉ HUMAINE",1,"s","s","s","s","45","CC des Portes de Sologne"
