"REG","typo_Coop","typo_Coop_det","sexe","type_emploi","nb_poste"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Ensemble","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Ensemble","Aides","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Ensemble","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Ensemble","Ordinaires","157423"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Ensemble","Stagiaires","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","NC","Ensemble","Aides","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","NC","Ensemble","Apprentis","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","NC","Ensemble","Ordinaires","6380"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","NC","Ensemble","Stagiaires","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","NC","Ensemble","Aides","466"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","NC","Ensemble","Apprentis","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","NC","Ensemble","Ordinaires","15764"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","NC","Ensemble","Stagiaires","s"
"France entière","COMMERCE (GZ)","NC","Ensemble","Aides","636"
"France entière","COMMERCE (GZ)","NC","Ensemble","Apprentis","616"
"France entière","COMMERCE (GZ)","NC","Ensemble","Ordinaires","48199"
"France entière","COMMERCE (GZ)","NC","Ensemble","Stagiaires","16"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","NC","Ensemble","Aides","1044"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","NC","Ensemble","Apprentis","1056"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","NC","Ensemble","Ordinaires","45490"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","NC","Ensemble","Stagiaires","28"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","NC","Ensemble","Aides","s"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","NC","Ensemble","Apprentis","207"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","NC","Ensemble","Ordinaires","15303"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","NC","Ensemble","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Hommes","Ensemble","404"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Femmes","Ensemble","626"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Hommes","Ensemble","67129"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Femmes","Ensemble","96703"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","NC","Hommes","Ensemble","4688"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","NC","Femmes","Ensemble","1854"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","NC","Hommes","Ensemble","8347"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","NC","Femmes","Ensemble","8003"
"France entière","COMMERCE (GZ)","NC","Hommes","Ensemble","30785"
"France entière","COMMERCE (GZ)","NC","Femmes","Ensemble","18682"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","NC","Hommes","Ensemble","35485"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","NC","Femmes","Ensemble","12133"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","NC","Hommes","Ensemble","9023"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","NC","Femmes","Ensemble","6836"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Hommes","Aides","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Hommes","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Hommes","Ordinaires","390"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Femmes","Aides","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Femmes","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Femmes","Ordinaires","605"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Femmes","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Hommes","Aides","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Hommes","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Hommes","Ordinaires","64315"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Hommes","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Femmes","Aides","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Femmes","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Femmes","Ordinaires","93108"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Femmes","Stagiaires","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","NC","Hommes","Aides","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","NC","Hommes","Apprentis","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","NC","Hommes","Ordinaires","4573"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","NC","Femmes","Aides","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","NC","Femmes","Apprentis","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","NC","Femmes","Ordinaires","1807"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","NC","Femmes","Stagiaires","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","NC","Hommes","Aides","226"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","NC","Hommes","Apprentis","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","NC","Hommes","Ordinaires","8063"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","NC","Hommes","Stagiaires","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","NC","Femmes","Aides","240"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","NC","Femmes","Apprentis","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","NC","Femmes","Ordinaires","7701"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","NC","Femmes","Stagiaires","s"
"France entière","COMMERCE (GZ)","NC","Hommes","Aides","s"
"France entière","COMMERCE (GZ)","NC","Hommes","Apprentis","401"
"France entière","COMMERCE (GZ)","NC","Hommes","Ordinaires","30062"
"France entière","COMMERCE (GZ)","NC","Hommes","Stagiaires","s"
"France entière","COMMERCE (GZ)","NC","Femmes","Aides","s"
"France entière","COMMERCE (GZ)","NC","Femmes","Apprentis","215"
"France entière","COMMERCE (GZ)","NC","Femmes","Ordinaires","18137"
"France entière","COMMERCE (GZ)","NC","Femmes","Stagiaires","s"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","NC","Hommes","Aides","700"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","NC","Hommes","Apprentis","879"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","NC","Hommes","Ordinaires","33892"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","NC","Hommes","Stagiaires","14"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","NC","Femmes","Aides","344"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","NC","Femmes","Apprentis","177"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","NC","Femmes","Ordinaires","11598"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","NC","Femmes","Stagiaires","14"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","NC","Hommes","Aides","189"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","NC","Hommes","Apprentis","s"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","NC","Hommes","Ordinaires","8659"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","NC","Hommes","Stagiaires","s"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","NC","Femmes","Aides","s"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","NC","Femmes","Apprentis","s"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","NC","Femmes","Ordinaires","6644"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","NC","Femmes","Stagiaires","s"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Ensemble","Ensemble","35962"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Ensemble","Ensemble","14053"
"Bretagne","Ensemble","Ensemble","Ensemble","Ensemble","27993"
"Centre-Val de Loire","Ensemble","Ensemble","Ensemble","Ensemble","13170"
"Corse","Ensemble","Ensemble","Ensemble","Ensemble","921"
"Grand-Est","Ensemble","Ensemble","Ensemble","Ensemble","30051"
"Guadeloupe","Ensemble","Ensemble","Ensemble","Ensemble","840"
"Guyane","Ensemble","Ensemble","Ensemble","Ensemble","157"
"Hauts-de-France","Ensemble","Ensemble","Ensemble","Ensemble","18080"
"Ile-de-France","Ensemble","Ensemble","Ensemble","Ensemble","34383"
"La Réunion","Ensemble","Ensemble","Ensemble","Ensemble","2374"
"Martinique","Ensemble","Ensemble","Ensemble","Ensemble","947"
"Normandie","Ensemble","Ensemble","Ensemble","Ensemble","15913"
"Nouvelle-Aquitaine","Ensemble","Ensemble","Ensemble","Ensemble","35747"
"Occitanie","Ensemble","Ensemble","Ensemble","Ensemble","28696"
"Pays de la Loire","Ensemble","Ensemble","Ensemble","Ensemble","26269"
"Provence-Alpes-Côte d'Azur","Ensemble","Ensemble","Ensemble","Ensemble","15142"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Ensemble","Aides","798"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Ensemble","Apprentis","415"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Ensemble","Ordinaires","34672"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Ensemble","Stagiaires","77"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Ensemble","Aides","277"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Ensemble","Apprentis","215"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Ensemble","Ordinaires","13547"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Ensemble","Stagiaires","14"
"Bretagne","Ensemble","Ensemble","Ensemble","Aides","564"
"Bretagne","Ensemble","Ensemble","Ensemble","Apprentis","429"
"Bretagne","Ensemble","Ensemble","Ensemble","Ordinaires","26961"
"Bretagne","Ensemble","Ensemble","Ensemble","Stagiaires","39"
"Centre-Val de Loire","Ensemble","Ensemble","Ensemble","Aides","147"
"Centre-Val de Loire","Ensemble","Ensemble","Ensemble","Apprentis","244"
"Centre-Val de Loire","Ensemble","Ensemble","Ensemble","Ordinaires","12761"
"Centre-Val de Loire","Ensemble","Ensemble","Ensemble","Stagiaires","18"
"Corse","Ensemble","Ensemble","Ensemble","Aides","15"
"Corse","Ensemble","Ensemble","Ensemble","Apprentis","23"
"Corse","Ensemble","Ensemble","Ensemble","Ordinaires","883"
"Grand-Est","Ensemble","Ensemble","Ensemble","Aides","620"
"Grand-Est","Ensemble","Ensemble","Ensemble","Apprentis","494"
"Grand-Est","Ensemble","Ensemble","Ensemble","Ordinaires","28894"
"Grand-Est","Ensemble","Ensemble","Ensemble","Stagiaires","43"
"Guadeloupe","Ensemble","Ensemble","Ensemble","Aides","s"
"Guadeloupe","Ensemble","Ensemble","Ensemble","Apprentis","s"
"Guadeloupe","Ensemble","Ensemble","Ensemble","Ordinaires","816"
"Guyane","Ensemble","Ensemble","Ensemble","Aides","s"
"Guyane","Ensemble","Ensemble","Ensemble","Apprentis","s"
"Guyane","Ensemble","Ensemble","Ensemble","Ordinaires","153"
"Guyane","Ensemble","Ensemble","Ensemble","Stagiaires","s"
"Hauts-de-France","Ensemble","Ensemble","Ensemble","Aides","414"
"Hauts-de-France","Ensemble","Ensemble","Ensemble","Apprentis","236"
"Hauts-de-France","Ensemble","Ensemble","Ensemble","Ordinaires","17378"
"Hauts-de-France","Ensemble","Ensemble","Ensemble","Stagiaires","52"
