"nom_jurid_2","taille_etab","nb_etab","nb_ent","eff_31","eff_EQTP","rem_brut"
"Association reconnue d utilite publique","3 - Moyennes entreprises","761","86","65692","56914","1434130768"
"Association reconnue d utilite publique","4 - Grandes entreprises","41","19","17065","14853","470390806"
"Autre cooperative","1 - Micro entreprise","4027","1185","15665","15874","632196040"
"Autre cooperative","2 - Petites entreprises","936","353","16355","15042","605193881"
"Autre cooperative","3 - Moyennes entreprises","138","84","12636","11544","440529552"
"Autre cooperative","4 - Grandes entreprises","42","15","24122","22943","1101098378"
"Autre mutuelle","1 - Micro entreprise","29","8","s","s","s"
"Autre mutuelle","2 - Petites entreprises","4","2","s","s","s"
"Autre mutuelle","4 - Grandes entreprises","1","1","s","s","s"
"Cooperative HLM","1 - Micro entreprise","40","27","139","116","4888524"
"Cooperative HLM","2 - Petites entreprises","16","14","338","326","14756635"
"Cooperative HLM","3 - Moyennes entreprises","1","1","s","s","s"
"Cooperative HLM","4 - Grandes entreprises","2","2","s","s","s"
"Cooperative agricole","1 - Micro entreprise","4000","2150","10434","11192","362730656"
"Cooperative agricole","2 - Petites entreprises","914","546","18316","18260","631084268"
"Cooperative agricole","3 - Moyennes entreprises","239","159","22834","21881","831618170"
"Cooperative agricole","4 - Grandes entreprises","32","19","14006","13486","503277702"
"Cooperative bancaire","1 - Micro entreprise","5483","1348","19234","20111","887005322"
"Cooperative bancaire","2 - Petites entreprises","1174","200","17284","16782","797257730"
"Cooperative bancaire","3 - Moyennes entreprises","48","10","6383","6268","343673100"
"Cooperative bancaire","4 - Grandes entreprises","94","41","70808","69832","3306809147"
"Cooperative d artisans","1 - Micro entreprise","219","186","s","s","s"
"Cooperative d artisans","2 - Petites entreprises","69","57","1454","1347","44077660"
"Cooperative d artisans","3 - Moyennes entreprises","9","8","802","762","24457813"
"Cooperative d artisans","4 - Grandes entreprises","1","1","s","s","s"
"Cooperative de commerçants detaillants","1 - Micro entreprise","31","25","119","114","5144089"
"Cooperative de commerçants detaillants","2 - Petites entreprises","23","15","457","454","20040379"
"Cooperative de commerçants detaillants","3 - Moyennes entreprises","7","7","770","945","37315785"
"Cooperative de commerçants detaillants","4 - Grandes entreprises","5","5","2056","1971","62125500"
"Cooperative de consommateurs","1 - Micro entreprise","167","35","358","398","10658436"
"Cooperative de consommateurs","2 - Petites entreprises","96","23","1992","1831","48212694"
"Cooperative de consommateurs","3 - Moyennes entreprises","29","2","s","s","s"
"Cooperative de consommateurs","4 - Grandes entreprises","2","1","s","s","s"
"Cooperative de transport","1 - Micro entreprise","34","32","105","104","3407224"
"Cooperative de transport","2 - Petites entreprises","14","10","203","185","4763996"
"Cooperative maritime","1 - Micro entreprise","68","47","275","253","9581415"
"Cooperative maritime","2 - Petites entreprises","9","6","s","s","s"
"Cooperative maritime","3 - Moyennes entreprises","1","1","s","s","s"
"Fondation","1 - Micro entreprise","577","260","1964","2233","77727972"
"Fondation","2 - Petites entreprises","573","114","14467","12666","402289613"
"Fondation","3 - Moyennes entreprises","477","101","40633","35748","1096562415"
"Fondation","4 - Grandes entreprises","50","23","31798","28908","1088542281"
"Groupement d employeurs","1 - Micro entreprise","3291","3230","6982","9304","227419378"
"Groupement d employeurs","2 - Petites entreprises","573","537","10341","11334","269685818"
"Groupement d employeurs","3 - Moyennes entreprises","96","86","8528","8349","224182224"
"Groupement d employeurs","4 - Grandes entreprises","5","3","1666","1251","50979760"
"Mutuelle d assurance","1 - Micro entreprise","1519","48","5643","5653","268103759"
"Mutuelle d assurance","2 - Petites entreprises","321","19","5806","5242","251543731"
"Mutuelle d assurance","3 - Moyennes entreprises","136","11","15405","13933","623530750"
"Mutuelle d assurance","4 - Grandes entreprises","38","14","21672","20428","1040023988"
"Mutuelle de sante","1 - Micro entreprise","3797","295","11894","11861","439882544"
"Mutuelle de sante","2 - Petites entreprises","1176","174","23655","20645","753002862"
"Mutuelle de sante","3 - Moyennes entreprises","420","80","36788","32226","1100615861"
"Mutuelle de sante","4 - Grandes entreprises","36","10","15559","13489","549877649"
"SCOP","1 - Micro entreprise","1123","820","4050","4260","133507716"
"SCOP","2 - Petites entreprises","530","390","10340","9403","310500268"
"SCOP","3 - Moyennes entreprises","112","78","9107","8059","266730473"
"SCOP","4 - Grandes entreprises","6","5","3275","2766","98217063"
