"REG","typo_Coop","typo_Coop_det","nb_etab","eff_31","eff_EQTP","rem_brut"
"Pays de la Loire","Ensemble","Activites de services financiers et d assurances","7","78","80","3441903"
"Pays de la Loire","Ensemble","Activites des services financiers hors assurance et caisses","821","11988","12011","548644997"
"Provence-Alpes-Côte d'Azur","Ensemble","Activites de services financiers et d assurances","3","16","17","800666"
"Provence-Alpes-Côte d'Azur","Ensemble","Activites des services financiers hors assurance et caisses","538","10083","9938","476511578"
"Auvergne-Rhône-Alpes","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","1304","22113","21737","1015168557"
"Auvergne-Rhône-Alpes","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","81","960","890","30174946"
"Auvergne-Rhône-Alpes","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","235","2156","2111","67266015"
"Auvergne-Rhône-Alpes","COMMERCE (GZ)","Ensemble","367","4444","4272","137943478"
"Auvergne-Rhône-Alpes","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","257","3922","3664","119468273"
"Auvergne-Rhône-Alpes","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","234","2367","1949","67238920"
"Bourgogne-Franche-Comté","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","627","8389","8271","384279482"
"Bourgogne-Franche-Comté","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","29","402","395","14088717"
"Bourgogne-Franche-Comté","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","79","430","398","13430396"
"Bourgogne-Franche-Comté","COMMERCE (GZ)","Ensemble","145","1797","1766","64748424"
"Bourgogne-Franche-Comté","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","213","2717","2528","85548042"
"Bourgogne-Franche-Comté","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","53","318","288","10277428"
"Bretagne","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","458","13585","13402","599841391"
"Bretagne","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","58","1306","1250","48569243"
"Bretagne","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","99","1415","1253","35406399"
"Bretagne","COMMERCE (GZ)","Ensemble","345","4934","5039","171503702"
"Bretagne","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","158","5770","5497","168002934"
"Bretagne","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","307","983","974","29640684"
"Centre-Val de Loire","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","547","7939","7951","362626244"
"Centre-Val de Loire","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","25","230","208","5878731"
"Centre-Val de Loire","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","67","464","458","12650408"
"Centre-Val de Loire","COMMERCE (GZ)","Ensemble","224","2420","2479","89949667"
"Centre-Val de Loire","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","54","1547","1378","54350698"
"Centre-Val de Loire","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","41","570","507","16063604"
"Corse","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","22","540","531","28674679"
"Corse","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","2","s","s","s"
"Corse","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","8","70","58","s"
"Corse","COMMERCE (GZ)","Ensemble","13","156","112","3653672"
"Corse","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","8","113","129","5261177"
"Corse","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","8","s","s","623805"
"Grand-Est","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","1321","16479","16396","778423045"
"Grand-Est","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","39","579","515","17995825"
"Grand-Est","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","89","1048","1047","31518350"
"Grand-Est","COMMERCE (GZ)","Ensemble","400","4792","4628","173454814"
"Grand-Est","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","234","6131","5833","238738853"
"Grand-Est","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","102","1022","891","35011014"
"Guadeloupe","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","58","707","721","39688727"
"Guadeloupe","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","8","42","47","1681073"
"Guadeloupe","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","9","31","30","1152544"
"Guadeloupe","COMMERCE (GZ)","Ensemble","5","29","28","949901"
"Guadeloupe","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","7","s","16","s"
"Guadeloupe","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","4","s","7","s"
"Guyane","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","11","99","98","4979187"
"Guyane","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","3","s","s","s"
"Guyane","COMMERCE (GZ)","Ensemble","3","s","s","s"
"Guyane","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","4","28","16","586387"
"Hauts-de-France","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","943","9663","9509","444476157"
"Hauts-de-France","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","37","276","276","11025207"
"Hauts-de-France","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","102","1085","1111","34010241"
"Hauts-de-France","COMMERCE (GZ)","Ensemble","238","2159","2202","78342038"
"Hauts-de-France","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","98","3859","3476","136673671"
"Hauts-de-France","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","87","1038","927","41181279"
"Ile-de-France","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","1221","21988","21630","1216455412"
"Ile-de-France","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","9","77","75","3127656"
"Ile-de-France","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","193","2136","2098","74403431"
"Ile-de-France","COMMERCE (GZ)","Ensemble","112","4014","3915","185737848"
"Ile-de-France","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","100","2897","2837","111761565"
"Ile-de-France","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","183","3271","2713","101961416"
"La Réunion","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","77","1052","1051","60287151"
"La Réunion","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","9","88","87","3378112"
"La Réunion","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","20","689","459","10876575"
"La Réunion","COMMERCE (GZ)","Ensemble","14","102","95","3440833"
"La Réunion","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","20","362","340","13826997"
"La Réunion","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","9","81","71","2361476"
"Martinique","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","74","854","852","47771855"
"Martinique","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","6","32","31","896699"
"Martinique","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","9","17","14","s"
"Martinique","COMMERCE (GZ)","Ensemble","2","s","s","s"
"Martinique","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","5","s","18","s"
"Martinique","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","2","s","s","s"
"Normandie","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","555","7466","7443","338943627"
"Normandie","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","109","451","399","12647582"
"Normandie","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","78","652","658","23498546"
"Normandie","COMMERCE (GZ)","Ensemble","234","2346","2255","78625088"
"Normandie","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","65","4295","4139","150664398"
"Normandie","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","93","703","673","24527494"
"Nouvelle-Aquitaine","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","1042","16007","15963","731032875"
"Nouvelle-Aquitaine","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","138","931","886","29159616"
"Nouvelle-Aquitaine","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","128","2256","2064","65718790"
"Nouvelle-Aquitaine","COMMERCE (GZ)","Ensemble","514","8672","8485","256397109"
"Nouvelle-Aquitaine","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","297","5938","5770","183698274"
"Nouvelle-Aquitaine","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","191","1943","1774","70951329"
"Occitanie","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","1033","15816","15733","716771738"
"Occitanie","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","125","550","592","20276382"
"Occitanie","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","148","1167","964","28099143"
"Occitanie","COMMERCE (GZ)","Ensemble","407","4802","4607","151312372"
"Occitanie","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","406","5010","5129","171645077"
"Occitanie","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","227","1351","1219","36369795"
"Pays de la Loire","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","828","12066","12091","552086900"
"Pays de la Loire","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","108","459","461","15582376"
"Pays de la Loire","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","90","1687","1332","37878479"
"Pays de la Loire","COMMERCE (GZ)","Ensemble","325","7192","6933","247521129"
"Pays de la Loire","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","134","3286","3125","104929679"
"Pays de la Loire","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","249","1579","1417","45873041"
"Provence-Alpes-Côte d'Azur","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","541","10099","9955","477312244"
"Provence-Alpes-Côte d'Azur","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","29","132","144","4162060"
"Provence-Alpes-Côte d'Azur","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","143","1047","949","33621716"
"Provence-Alpes-Côte d'Azur","COMMERCE (GZ)","Ensemble","125","1576","1636","55787920"
"Provence-Alpes-Côte d'Azur","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","222","1729","1714","59468162"
"Provence-Alpes-Côte d'Azur","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","103","559","481","16268356"
"Auvergne-Rhône-Alpes","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","2","s","s","s"
"Auvergne-Rhône-Alpes","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","1302","s","s","s"
"Bourgogne-Franche-Comté","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","627","8389","8271","384279482"
"Bretagne","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","7","12","10","390584"
"Bretagne","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","451","13573","13393","599450807"
"Centre-Val de Loire","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","2","s","s","s"
"Centre-Val de Loire","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","545","s","s","s"
"Corse","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","22","540","531","28674679"
"Grand-Est","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","4","s","s","s"
"Grand-Est","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","1317","s","s","s"
"Guadeloupe","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","58","707","721","39688727"
"Guyane","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","11","99","98","4979187"
"Hauts-de-France","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","3","s","s","s"
"Hauts-de-France","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","940","s","s","s"
"Ile-de-France","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","7","s","s","s"
"Ile-de-France","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","1214","s","s","s"
"La Réunion","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","77","1052","1051","60287151"
"Martinique","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","74","854","852","47771855"
"Normandie","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","2","s","s","s"
"Normandie","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","553","s","s","s"
"Nouvelle-Aquitaine","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","2","s","s","s"
"Nouvelle-Aquitaine","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","1040","s","s","s"
"Occitanie","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","2","s","s","s"
"Occitanie","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","1031","s","s","s"
"Pays de la Loire","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","7","78","80","3441903"
"Pays de la Loire","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","821","11988","12011","548644997"
"Provence-Alpes-Côte d'Azur","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","3","16","17","800666"
"Provence-Alpes-Côte d'Azur","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","538","10083","9938","476511578"
