"DEP","typo_Asso","typo_Asso_det","type_emploi","nb_poste"
"France entière","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Ordinaires","19978"
"France entière","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Stagiaires","s"
"France entière","NON-CLASSES (94.99Z)","Ensemble","Aides","24244"
"France entière","NON-CLASSES (94.99Z)","Ensemble","Apprentis","869"
"France entière","NON-CLASSES (94.99Z)","Ensemble","Ordinaires","138487"
"France entière","NON-CLASSES (94.99Z)","Ensemble","Stagiaires","466"
"France entière","SANTE HUMAINE (QA)","Ensemble","Aides","1880"
"France entière","SANTE HUMAINE (QA)","Ensemble","Apprentis","271"
"France entière","SANTE HUMAINE (QA)","Ensemble","Ordinaires","128885"
"France entière","SANTE HUMAINE (QA)","Ensemble","Stagiaires","421"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Aides","10112"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Apprentis","1373"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Ordinaires","109066"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Stagiaires","272"
"France entière","SPORTS ET LOISIRS (RZ2)","Ensemble","Aides","8369"
"France entière","SPORTS ET LOISIRS (RZ2)","Ensemble","Apprentis","1745"
"France entière","SPORTS ET LOISIRS (RZ2)","Ensemble","Ordinaires","72019"
"France entière","SPORTS ET LOISIRS (RZ2)","Ensemble","Stagiaires","189"
"France entière","ACTION SOCIALE (QB)","Accueil d adultes handicapes ou pers. agees","Ensemble","11028"
"France entière","ACTION SOCIALE (QB)","Accueil d enfants et d adolescents","Ensemble","13415"
"France entière","ACTION SOCIALE (QB)","Accueil d enfants handicapes","Ensemble","23912"
"France entière","ACTION SOCIALE (QB)","Accueil des jeunes enfants","Ensemble","38624"
"France entière","ACTION SOCIALE (QB)","Action sociale NCA","Ensemble","135565"
"France entière","ACTION SOCIALE (QB)","Aide a domicile","Ensemble","158463"
"France entière","ACTION SOCIALE (QB)","Aide par le travail","Ensemble","147721"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social de personnes agees","Ensemble","100639"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social de personnes en difficulte","Ensemble","79598"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social de personnes handicapees","Ensemble","177350"
"France entière","ENSEIGNEMENT (PZ)","Autres enseignements","Ensemble","25224"
"France entière","ENSEIGNEMENT (PZ)","Enseignement culturel","Ensemble","8628"
"France entière","ENSEIGNEMENT (PZ)","Enseignement primaire/secondaire/supérieur","Ensemble","241451"
"France entière","ENSEIGNEMENT (PZ)","Formation continue d adultes","Ensemble","31197"
"France entière","SPORTS ET LOISIRS (RZ2)","Loisirs","Ensemble","19083"
"France entière","SPORTS ET LOISIRS (RZ2)","Sports","Ensemble","63239"
"France entière","ACTION SOCIALE (QB)","Accueil d adultes handicapes ou pers. agees","Aides","661"
"France entière","ACTION SOCIALE (QB)","Accueil d adultes handicapes ou pers. agees","Apprentis","27"
"France entière","ACTION SOCIALE (QB)","Accueil d adultes handicapes ou pers. agees","Ordinaires","10280"
"France entière","ACTION SOCIALE (QB)","Accueil d adultes handicapes ou pers. agees","Stagiaires","60"
"France entière","ACTION SOCIALE (QB)","Accueil d enfants et d adolescents","Aides","620"
"France entière","ACTION SOCIALE (QB)","Accueil d enfants et d adolescents","Apprentis","58"
"France entière","ACTION SOCIALE (QB)","Accueil d enfants et d adolescents","Ordinaires","12660"
"France entière","ACTION SOCIALE (QB)","Accueil d enfants et d adolescents","Stagiaires","77"
"France entière","ACTION SOCIALE (QB)","Accueil d enfants handicapes","Aides","553"
"France entière","ACTION SOCIALE (QB)","Accueil d enfants handicapes","Apprentis","70"
"France entière","ACTION SOCIALE (QB)","Accueil d enfants handicapes","Ordinaires","23118"
"France entière","ACTION SOCIALE (QB)","Accueil d enfants handicapes","Stagiaires","171"
"France entière","ACTION SOCIALE (QB)","Accueil des jeunes enfants","Aides","4183"
"France entière","ACTION SOCIALE (QB)","Accueil des jeunes enfants","Apprentis","365"
"France entière","ACTION SOCIALE (QB)","Accueil des jeunes enfants","Ordinaires","34021"
"France entière","ACTION SOCIALE (QB)","Accueil des jeunes enfants","Stagiaires","55"
"France entière","ACTION SOCIALE (QB)","Action sociale NCA","Aides","22811"
"France entière","ACTION SOCIALE (QB)","Action sociale NCA","Apprentis","295"
"France entière","ACTION SOCIALE (QB)","Action sociale NCA","Ordinaires","112081"
"France entière","ACTION SOCIALE (QB)","Action sociale NCA","Stagiaires","378"
"France entière","ACTION SOCIALE (QB)","Aide a domicile","Aides","5876"
"France entière","ACTION SOCIALE (QB)","Aide a domicile","Apprentis","63"
"France entière","ACTION SOCIALE (QB)","Aide a domicile","Ordinaires","152444"
"France entière","ACTION SOCIALE (QB)","Aide a domicile","Stagiaires","80"
"France entière","ACTION SOCIALE (QB)","Aide par le travail","Aides","44464"
"France entière","ACTION SOCIALE (QB)","Aide par le travail","Apprentis","182"
"France entière","ACTION SOCIALE (QB)","Aide par le travail","Ordinaires","102886"
"France entière","ACTION SOCIALE (QB)","Aide par le travail","Stagiaires","189"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social de personnes agees","Aides","4421"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social de personnes agees","Apprentis","207"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social de personnes agees","Ordinaires","95946"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social de personnes agees","Stagiaires","65"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social de personnes en difficulte","Aides","4804"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social de personnes en difficulte","Apprentis","422"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social de personnes en difficulte","Ordinaires","73645"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social de personnes en difficulte","Stagiaires","727"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social de personnes handicapees","Aides","7621"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social de personnes handicapees","Apprentis","629"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social de personnes handicapees","Ordinaires","167440"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social de personnes handicapees","Stagiaires","1660"
"France entière","ENSEIGNEMENT (PZ)","Autres enseignements","Aides","1601"
"France entière","ENSEIGNEMENT (PZ)","Autres enseignements","Apprentis","178"
"France entière","ENSEIGNEMENT (PZ)","Autres enseignements","Ordinaires","23402"
"France entière","ENSEIGNEMENT (PZ)","Autres enseignements","Stagiaires","43"
"France entière","ENSEIGNEMENT (PZ)","Enseignement culturel","Aides","250"
"France entière","ENSEIGNEMENT (PZ)","Enseignement culturel","Apprentis","s"
"France entière","ENSEIGNEMENT (PZ)","Enseignement culturel","Ordinaires","8343"
"France entière","ENSEIGNEMENT (PZ)","Enseignement culturel","Stagiaires","s"
"France entière","ENSEIGNEMENT (PZ)","Enseignement primaire/secondaire/supérieur","Aides","12060"
"France entière","ENSEIGNEMENT (PZ)","Enseignement primaire/secondaire/supérieur","Apprentis","678"
"France entière","ENSEIGNEMENT (PZ)","Enseignement primaire/secondaire/supérieur","Ordinaires","228636"
"France entière","ENSEIGNEMENT (PZ)","Enseignement primaire/secondaire/supérieur","Stagiaires","77"
"France entière","ENSEIGNEMENT (PZ)","Formation continue d adultes","Aides","2284"
"France entière","ENSEIGNEMENT (PZ)","Formation continue d adultes","Apprentis","s"
"France entière","ENSEIGNEMENT (PZ)","Formation continue d adultes","Ordinaires","28541"
"France entière","ENSEIGNEMENT (PZ)","Formation continue d adultes","Stagiaires","s"
"France entière","SPORTS ET LOISIRS (RZ2)","Loisirs","Aides","2491"
"France entière","SPORTS ET LOISIRS (RZ2)","Loisirs","Apprentis","111"
"France entière","SPORTS ET LOISIRS (RZ2)","Loisirs","Ordinaires","16471"
"France entière","SPORTS ET LOISIRS (RZ2)","Loisirs","Stagiaires","10"
"France entière","SPORTS ET LOISIRS (RZ2)","Sports","Aides","5878"
"France entière","SPORTS ET LOISIRS (RZ2)","Sports","Apprentis","1634"
"France entière","SPORTS ET LOISIRS (RZ2)","Sports","Ordinaires","55548"
"France entière","SPORTS ET LOISIRS (RZ2)","Sports","Stagiaires","179"
"1","Ensemble","Ensemble","Ensemble","16806"
"2","Ensemble","Ensemble","Ensemble","11748"
"3","Ensemble","Ensemble","Ensemble","9081"
"4","Ensemble","Ensemble","Ensemble","4644"
"5","Ensemble","Ensemble","Ensemble","5383"
"6","Ensemble","Ensemble","Ensemble","22354"
"7","Ensemble","Ensemble","Ensemble","10463"
"8","Ensemble","Ensemble","Ensemble","6722"
"9","Ensemble","Ensemble","Ensemble","4218"
"10","Ensemble","Ensemble","Ensemble","7894"
"11","Ensemble","Ensemble","Ensemble","9277"
"12","Ensemble","Ensemble","Ensemble","11798"
"13","Ensemble","Ensemble","Ensemble","59770"
"14","Ensemble","Ensemble","Ensemble","20640"
"15","Ensemble","Ensemble","Ensemble","5814"
"16","Ensemble","Ensemble","Ensemble","9538"
"17","Ensemble","Ensemble","Ensemble","15267"
"18","Ensemble","Ensemble","Ensemble","7484"
"19","Ensemble","Ensemble","Ensemble","6347"
"21","Ensemble","Ensemble","Ensemble","14018"
"22","Ensemble","Ensemble","Ensemble","19058"
"23","Ensemble","Ensemble","Ensemble","3523"
"24","Ensemble","Ensemble","Ensemble","8950"
"25","Ensemble","Ensemble","Ensemble","16462"
"26","Ensemble","Ensemble","Ensemble","15093"
"27","Ensemble","Ensemble","Ensemble","11718"
"28","Ensemble","Ensemble","Ensemble","8282"
"29","Ensemble","Ensemble","Ensemble","29357"
"2A","Ensemble","Ensemble","Ensemble","2915"
"2B","Ensemble","Ensemble","Ensemble","3458"
"30","Ensemble","Ensemble","Ensemble","17680"
"31","Ensemble","Ensemble","Ensemble","36455"
"32","Ensemble","Ensemble","Ensemble","5344"
"33","Ensemble","Ensemble","Ensemble","42337"
"34","Ensemble","Ensemble","Ensemble","28714"
"35","Ensemble","Ensemble","Ensemble","36534"
"36","Ensemble","Ensemble","Ensemble","6182"
"37","Ensemble","Ensemble","Ensemble","17043"
"38","Ensemble","Ensemble","Ensemble","29138"
"39","Ensemble","Ensemble","Ensemble","7295"
"40","Ensemble","Ensemble","Ensemble","8234"
"41","Ensemble","Ensemble","Ensemble","7735"
"42","Ensemble","Ensemble","Ensemble","23490"
"43","Ensemble","Ensemble","Ensemble","10195"
"44","Ensemble","Ensemble","Ensemble","48683"
"45","Ensemble","Ensemble","Ensemble","14783"
"46","Ensemble","Ensemble","Ensemble","5790"
"47","Ensemble","Ensemble","Ensemble","10357"
"48","Ensemble","Ensemble","Ensemble","5873"
"49","Ensemble","Ensemble","Ensemble","30917"
"50","Ensemble","Ensemble","Ensemble","13636"
"51","Ensemble","Ensemble","Ensemble","16463"
"52","Ensemble","Ensemble","Ensemble","4487"
"53","Ensemble","Ensemble","Ensemble","9436"
"54","Ensemble","Ensemble","Ensemble","22961"
"55","Ensemble","Ensemble","Ensemble","4811"
"56","Ensemble","Ensemble","Ensemble","22294"
"57","Ensemble","Ensemble","Ensemble","29572"
"58","Ensemble","Ensemble","Ensemble","5943"
"59","Ensemble","Ensemble","Ensemble","81626"
"60","Ensemble","Ensemble","Ensemble","18591"
"61","Ensemble","Ensemble","Ensemble","11150"
"62","Ensemble","Ensemble","Ensemble","40590"
"63","Ensemble","Ensemble","Ensemble","17734"
"64","Ensemble","Ensemble","Ensemble","22944"
"65","Ensemble","Ensemble","Ensemble","7962"
"66","Ensemble","Ensemble","Ensemble","11934"
"67","Ensemble","Ensemble","Ensemble","27455"
"68","Ensemble","Ensemble","Ensemble","20315"
"69","Ensemble","Ensemble","Ensemble","64671"
"70","Ensemble","Ensemble","Ensemble","8031"
"71","Ensemble","Ensemble","Ensemble","13477"
"72","Ensemble","Ensemble","Ensemble","15251"
"73","Ensemble","Ensemble","Ensemble","11327"
"74","Ensemble","Ensemble","Ensemble","18430"
"75","Ensemble","Ensemble","Ensemble","111208"
"76","Ensemble","Ensemble","Ensemble","31741"
"77","Ensemble","Ensemble","Ensemble","22567"
"78","Ensemble","Ensemble","Ensemble","26432"
"79","Ensemble","Ensemble","Ensemble","10624"
"80","Ensemble","Ensemble","Ensemble","15154"
"81","Ensemble","Ensemble","Ensemble","12468"
"82","Ensemble","Ensemble","Ensemble","6781"
"83","Ensemble","Ensemble","Ensemble","22068"
"84","Ensemble","Ensemble","Ensemble","14772"
"85","Ensemble","Ensemble","Ensemble","21228"
"86","Ensemble","Ensemble","Ensemble","12967"
"87","Ensemble","Ensemble","Ensemble","8501"
"88","Ensemble","Ensemble","Ensemble","9324"
"89","Ensemble","Ensemble","Ensemble","7448"
"90","Ensemble","Ensemble","Ensemble","3626"
"91","Ensemble","Ensemble","Ensemble","25314"
"92","Ensemble","Ensemble","Ensemble","38881"
"93","Ensemble","Ensemble","Ensemble","29075"
"94","Ensemble","Ensemble","Ensemble","29822"
"95","Ensemble","Ensemble","Ensemble","20434"
"971","Ensemble","Ensemble","Ensemble","9280"
"972","Ensemble","Ensemble","Ensemble","9673"
"973","Ensemble","Ensemble","Ensemble","4051"
"974","Ensemble","Ensemble","Ensemble","18780"
"1","Ensemble","Ensemble","Aides","1125"
"1","Ensemble","Ensemble","Apprentis","96"
"1","Ensemble","Ensemble","Ordinaires","15532"
"1","Ensemble","Ensemble","Stagiaires","53"
"2","Ensemble","Ensemble","Aides","1803"
"2","Ensemble","Ensemble","Apprentis","56"
"2","Ensemble","Ensemble","Ordinaires","9824"
"2","Ensemble","Ensemble","Stagiaires","65"
"3","Ensemble","Ensemble","Aides","691"
"3","Ensemble","Ensemble","Apprentis","43"
"3","Ensemble","Ensemble","Ordinaires","8316"
"3","Ensemble","Ensemble","Stagiaires","31"
"4","Ensemble","Ensemble","Aides","540"
"4","Ensemble","Ensemble","Apprentis","s"
"4","Ensemble","Ensemble","Ordinaires","4055"
"4","Ensemble","Ensemble","Stagiaires","s"
"5","Ensemble","Ensemble","Aides","413"
"5","Ensemble","Ensemble","Apprentis","24"
"5","Ensemble","Ensemble","Ordinaires","4929"
"5","Ensemble","Ensemble","Stagiaires","17"
"6","Ensemble","Ensemble","Aides","1060"
"6","Ensemble","Ensemble","Apprentis","93"
"6","Ensemble","Ensemble","Ordinaires","21121"
"6","Ensemble","Ensemble","Stagiaires","80"
"7","Ensemble","Ensemble","Aides","1251"
"7","Ensemble","Ensemble","Apprentis","48"
"7","Ensemble","Ensemble","Ordinaires","9146"
"7","Ensemble","Ensemble","Stagiaires","18"
"8","Ensemble","Ensemble","Aides","1056"
"8","Ensemble","Ensemble","Apprentis","19"
"8","Ensemble","Ensemble","Ordinaires","5641"
"8","Ensemble","Ensemble","Stagiaires","6"
"9","Ensemble","Ensemble","Aides","587"
"9","Ensemble","Ensemble","Apprentis","s"
"9","Ensemble","Ensemble","Ordinaires","3621"
"9","Ensemble","Ensemble","Stagiaires","s"
"10","Ensemble","Ensemble","Aides","718"
"10","Ensemble","Ensemble","Apprentis","s"
"10","Ensemble","Ensemble","Ordinaires","7150"
"10","Ensemble","Ensemble","Stagiaires","s"
"11","Ensemble","Ensemble","Aides","861"
"11","Ensemble","Ensemble","Apprentis","43"
"11","Ensemble","Ensemble","Ordinaires","8367"
"11","Ensemble","Ensemble","Stagiaires","6"
"12","Ensemble","Ensemble","Aides","1062"
"12","Ensemble","Ensemble","Apprentis","18"
"12","Ensemble","Ensemble","Ordinaires","10707"
"12","Ensemble","Ensemble","Stagiaires","11"
"13","Ensemble","Ensemble","Aides","6043"
"13","Ensemble","Ensemble","Apprentis","336"
"13","Ensemble","Ensemble","Ordinaires","53278"
"13","Ensemble","Ensemble","Stagiaires","113"
"14","Ensemble","Ensemble","Aides","2038"
"14","Ensemble","Ensemble","Apprentis","99"
"14","Ensemble","Ensemble","Ordinaires","18441"
"14","Ensemble","Ensemble","Stagiaires","62"
"15","Ensemble","Ensemble","Aides","685"
"15","Ensemble","Ensemble","Apprentis","17"
"15","Ensemble","Ensemble","Ordinaires","5104"
"15","Ensemble","Ensemble","Stagiaires","8"
"16","Ensemble","Ensemble","Aides","1090"
"16","Ensemble","Ensemble","Apprentis","39"
"16","Ensemble","Ensemble","Ordinaires","8390"
"16","Ensemble","Ensemble","Stagiaires","19"
"17","Ensemble","Ensemble","Aides","1989"
"17","Ensemble","Ensemble","Apprentis","77"
"17","Ensemble","Ensemble","Ordinaires","13184"
"17","Ensemble","Ensemble","Stagiaires","17"
"18","Ensemble","Ensemble","Aides","941"
"18","Ensemble","Ensemble","Apprentis","30"
"18","Ensemble","Ensemble","Ordinaires","6493"
"18","Ensemble","Ensemble","Stagiaires","20"
"19","Ensemble","Ensemble","Aides","449"
"19","Ensemble","Ensemble","Apprentis","21"
"19","Ensemble","Ensemble","Ordinaires","5870"
"19","Ensemble","Ensemble","Stagiaires","7"
"21","Ensemble","Ensemble","Aides","983"
"21","Ensemble","Ensemble","Apprentis","105"
"21","Ensemble","Ensemble","Ordinaires","12910"
"21","Ensemble","Ensemble","Stagiaires","20"
"22","Ensemble","Ensemble","Aides","1921"
"22","Ensemble","Ensemble","Apprentis","44"
"22","Ensemble","Ensemble","Ordinaires","17073"
"22","Ensemble","Ensemble","Stagiaires","20"
"23","Ensemble","Ensemble","Aides","295"
"23","Ensemble","Ensemble","Apprentis","s"
"23","Ensemble","Ensemble","Ordinaires","3211"
"23","Ensemble","Ensemble","Stagiaires","s"
"24","Ensemble","Ensemble","Aides","796"
"24","Ensemble","Ensemble","Apprentis","63"
"24","Ensemble","Ensemble","Ordinaires","8079"
"24","Ensemble","Ensemble","Stagiaires","12"
"25","Ensemble","Ensemble","Aides","1378"
"25","Ensemble","Ensemble","Apprentis","69"
"25","Ensemble","Ensemble","Ordinaires","14972"
"25","Ensemble","Ensemble","Stagiaires","43"
"26","Ensemble","Ensemble","Aides","1672"
"26","Ensemble","Ensemble","Apprentis","57"
"26","Ensemble","Ensemble","Ordinaires","13340"
"26","Ensemble","Ensemble","Stagiaires","24"
"27","Ensemble","Ensemble","Aides","1335"
"27","Ensemble","Ensemble","Apprentis","24"
"27","Ensemble","Ensemble","Ordinaires","10326"
"27","Ensemble","Ensemble","Stagiaires","33"
"28","Ensemble","Ensemble","Aides","1474"
"28","Ensemble","Ensemble","Apprentis","78"
"28","Ensemble","Ensemble","Ordinaires","6693"
"28","Ensemble","Ensemble","Stagiaires","37"
"29","Ensemble","Ensemble","Aides","3349"
"29","Ensemble","Ensemble","Apprentis","70"
"29","Ensemble","Ensemble","Ordinaires","25815"
"29","Ensemble","Ensemble","Stagiaires","123"
"2A","Ensemble","Ensemble","Aides","330"
"2A","Ensemble","Ensemble","Apprentis","s"
"2A","Ensemble","Ensemble","Ordinaires","2573"
"2A","Ensemble","Ensemble","Stagiaires","s"
"2B","Ensemble","Ensemble","Aides","250"
"2B","Ensemble","Ensemble","Apprentis","s"
"2B","Ensemble","Ensemble","Ordinaires","3187"
"2B","Ensemble","Ensemble","Stagiaires","s"
"30","Ensemble","Ensemble","Aides","1805"
"30","Ensemble","Ensemble","Apprentis","94"
"30","Ensemble","Ensemble","Ordinaires","15756"
"30","Ensemble","Ensemble","Stagiaires","25"
"31","Ensemble","Ensemble","Aides","2501"
"31","Ensemble","Ensemble","Apprentis","100"
"31","Ensemble","Ensemble","Ordinaires","33798"
"31","Ensemble","Ensemble","Stagiaires","56"
"32","Ensemble","Ensemble","Aides","702"
