"REG","ESS","famille","sexe","type_emploi","nb_poste"
"France entière","ESS + Hors ESS","3. Association","Ensemble","Ensemble","1814171"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble","Ensemble","88875"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble","Ensemble","14828160"
"France entière","ESS + Hors ESS","Public","Ensemble","Ensemble","5685809"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble","Aides","6055"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble","Apprentis","4484"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble","Ordinaires","289554"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble","Stagiaires","605"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble","Aides","2952"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble","Apprentis","917"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble","Ordinaires","132860"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble","Stagiaires","177"
"France entière","ESS + Hors ESS","3. Association","Ensemble","Aides","167605"
"France entière","ESS + Hors ESS","3. Association","Ensemble","Apprentis","8367"
"France entière","ESS + Hors ESS","3. Association","Ensemble","Ordinaires","1631937"
"France entière","ESS + Hors ESS","3. Association","Ensemble","Stagiaires","6262"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble","Aides","2778"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble","Apprentis","334"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble","Ordinaires","85212"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble","Stagiaires","551"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble","Aides","227620"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble","Apprentis","369729"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble","Ordinaires","14192965"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble","Stagiaires","37846"
"France entière","ESS + Hors ESS","Public","Ensemble","Aides","159492"
"France entière","ESS + Hors ESS","Public","Ensemble","Apprentis","21998"
"France entière","ESS + Hors ESS","Public","Ensemble","Ordinaires","5503751"
"France entière","ESS + Hors ESS","Public","Ensemble","Stagiaires","568"
"France entière","ESS + Hors ESS","1. Coopérative","Femmes","Ensemble","144837"
"France entière","ESS + Hors ESS","1. Coopérative","Hommes","Ensemble","155861"
"France entière","ESS + Hors ESS","2. Mutuelle","Femmes","Ensemble","100584"
"France entière","ESS + Hors ESS","2. Mutuelle","Hommes","Ensemble","36322"
"France entière","ESS + Hors ESS","3. Association","Femmes","Ensemble","1253925"
"France entière","ESS + Hors ESS","3. Association","Hommes","Ensemble","560246"
"France entière","ESS + Hors ESS","4. Fondation","Femmes","Ensemble","64838"
"France entière","ESS + Hors ESS","4. Fondation","Hommes","Ensemble","24037"
"France entière","ESS + Hors ESS","Privé Hors ESS","Femmes","Ensemble","6076278"
"France entière","ESS + Hors ESS","Privé Hors ESS","Hommes","Ensemble","8751882"
"France entière","ESS + Hors ESS","Public","Femmes","Ensemble","3570136"
"France entière","ESS + Hors ESS","Public","Hommes","Ensemble","2115673"
"France entière","ESS + Hors ESS","1. Coopérative","Femmes","Aides","3056"
"France entière","ESS + Hors ESS","1. Coopérative","Femmes","Apprentis","1837"
"France entière","ESS + Hors ESS","1. Coopérative","Femmes","Ordinaires","139600"
"France entière","ESS + Hors ESS","1. Coopérative","Femmes","Stagiaires","344"
"France entière","ESS + Hors ESS","1. Coopérative","Hommes","Aides","2999"
"France entière","ESS + Hors ESS","1. Coopérative","Hommes","Apprentis","2647"
"France entière","ESS + Hors ESS","1. Coopérative","Hommes","Ordinaires","149954"
"France entière","ESS + Hors ESS","1. Coopérative","Hommes","Stagiaires","261"
"France entière","ESS + Hors ESS","2. Mutuelle","Femmes","Aides","2025"
"France entière","ESS + Hors ESS","2. Mutuelle","Femmes","Apprentis","566"
"France entière","ESS + Hors ESS","2. Mutuelle","Femmes","Ordinaires","97882"
"France entière","ESS + Hors ESS","2. Mutuelle","Femmes","Stagiaires","111"
"France entière","ESS + Hors ESS","2. Mutuelle","Hommes","Aides","927"
"France entière","ESS + Hors ESS","2. Mutuelle","Hommes","Apprentis","351"
"France entière","ESS + Hors ESS","2. Mutuelle","Hommes","Ordinaires","34978"
"France entière","ESS + Hors ESS","2. Mutuelle","Hommes","Stagiaires","66"
"France entière","ESS + Hors ESS","3. Association","Femmes","Aides","88168"
"France entière","ESS + Hors ESS","3. Association","Femmes","Apprentis","4292"
"France entière","ESS + Hors ESS","3. Association","Femmes","Ordinaires","1157153"
"France entière","ESS + Hors ESS","3. Association","Femmes","Stagiaires","4312"
"France entière","ESS + Hors ESS","3. Association","Hommes","Aides","79437"
"France entière","ESS + Hors ESS","3. Association","Hommes","Apprentis","4075"
"France entière","ESS + Hors ESS","3. Association","Hommes","Ordinaires","474784"
"France entière","ESS + Hors ESS","3. Association","Hommes","Stagiaires","1950"
"France entière","ESS + Hors ESS","4. Fondation","Femmes","Aides","1751"
"France entière","ESS + Hors ESS","4. Fondation","Femmes","Apprentis","219"
"France entière","ESS + Hors ESS","4. Fondation","Femmes","Ordinaires","62493"
"France entière","ESS + Hors ESS","4. Fondation","Femmes","Stagiaires","375"
"France entière","ESS + Hors ESS","4. Fondation","Hommes","Aides","1027"
"France entière","ESS + Hors ESS","4. Fondation","Hommes","Apprentis","115"
"France entière","ESS + Hors ESS","4. Fondation","Hommes","Ordinaires","22719"
"France entière","ESS + Hors ESS","4. Fondation","Hommes","Stagiaires","176"
"France entière","ESS + Hors ESS","Privé Hors ESS","Femmes","Aides","114578"
"France entière","ESS + Hors ESS","Privé Hors ESS","Femmes","Apprentis","118714"
"France entière","ESS + Hors ESS","Privé Hors ESS","Femmes","Ordinaires","5824315"
"France entière","ESS + Hors ESS","Privé Hors ESS","Femmes","Stagiaires","18671"
"France entière","ESS + Hors ESS","Privé Hors ESS","Hommes","Aides","113042"
"France entière","ESS + Hors ESS","Privé Hors ESS","Hommes","Apprentis","251015"
"France entière","ESS + Hors ESS","Privé Hors ESS","Hommes","Ordinaires","8368650"
"France entière","ESS + Hors ESS","Privé Hors ESS","Hommes","Stagiaires","19175"
"France entière","ESS + Hors ESS","Public","Femmes","Aides","109214"
"France entière","ESS + Hors ESS","Public","Femmes","Apprentis","11233"
"France entière","ESS + Hors ESS","Public","Femmes","Ordinaires","3449434"
"France entière","ESS + Hors ESS","Public","Femmes","Stagiaires","255"
"France entière","ESS + Hors ESS","Public","Hommes","Aides","50278"
"France entière","ESS + Hors ESS","Public","Hommes","Apprentis","10765"
"France entière","ESS + Hors ESS","Public","Hommes","Ordinaires","2054317"
"France entière","ESS + Hors ESS","Public","Hommes","Stagiaires","313"
"France entière","ESS","1. Coopérative","Ensemble","Ensemble","300698"
"France entière","ESS","2. Mutuelle","Ensemble","Ensemble","136906"
"France entière","ESS","3. Association","Ensemble","Ensemble","1814171"
"France entière","ESS","4. Fondation","Ensemble","Ensemble","88875"
"France entière","Hors ESS","Privé Hors ESS","Ensemble","Ensemble","14828160"
"France entière","Hors ESS","Public","Ensemble","Ensemble","5685809"
"France entière","ESS","1. Coopérative","Ensemble","Aides","6055"
"France entière","ESS","1. Coopérative","Ensemble","Apprentis","4484"
"France entière","ESS","1. Coopérative","Ensemble","Ordinaires","289554"
"France entière","ESS","1. Coopérative","Ensemble","Stagiaires","605"
"France entière","ESS","2. Mutuelle","Ensemble","Aides","2952"
"France entière","ESS","2. Mutuelle","Ensemble","Apprentis","917"
"France entière","ESS","2. Mutuelle","Ensemble","Ordinaires","132860"
"France entière","ESS","2. Mutuelle","Ensemble","Stagiaires","177"
"France entière","ESS","3. Association","Ensemble","Aides","167605"
"France entière","ESS","3. Association","Ensemble","Apprentis","8367"
"France entière","ESS","3. Association","Ensemble","Ordinaires","1631937"
"France entière","ESS","3. Association","Ensemble","Stagiaires","6262"
"France entière","ESS","4. Fondation","Ensemble","Aides","2778"
"France entière","ESS","4. Fondation","Ensemble","Apprentis","334"
"France entière","ESS","4. Fondation","Ensemble","Ordinaires","85212"
"France entière","ESS","4. Fondation","Ensemble","Stagiaires","551"
"France entière","Hors ESS","Privé Hors ESS","Ensemble","Aides","227620"
"France entière","Hors ESS","Privé Hors ESS","Ensemble","Apprentis","369729"
"France entière","Hors ESS","Privé Hors ESS","Ensemble","Ordinaires","14192965"
"France entière","Hors ESS","Privé Hors ESS","Ensemble","Stagiaires","37846"
"France entière","Hors ESS","Public","Ensemble","Aides","159492"
"France entière","Hors ESS","Public","Ensemble","Apprentis","21998"
"France entière","Hors ESS","Public","Ensemble","Ordinaires","5503751"
"France entière","Hors ESS","Public","Ensemble","Stagiaires","568"
"France entière","ESS","1. Coopérative","Femmes","Ensemble","144837"
"France entière","ESS","1. Coopérative","Hommes","Ensemble","155861"
"France entière","ESS","2. Mutuelle","Femmes","Ensemble","100584"
"France entière","ESS","2. Mutuelle","Hommes","Ensemble","36322"
"France entière","ESS","3. Association","Femmes","Ensemble","1253925"
"France entière","ESS","3. Association","Hommes","Ensemble","560246"
"France entière","ESS","4. Fondation","Femmes","Ensemble","64838"
"France entière","ESS","4. Fondation","Hommes","Ensemble","24037"
"France entière","Hors ESS","Privé Hors ESS","Femmes","Ensemble","6076278"
"France entière","Hors ESS","Privé Hors ESS","Hommes","Ensemble","8751882"
"France entière","Hors ESS","Public","Femmes","Ensemble","3570136"
"France entière","Hors ESS","Public","Hommes","Ensemble","2115673"
"France entière","ESS","1. Coopérative","Femmes","Aides","3056"
"France entière","ESS","1. Coopérative","Femmes","Apprentis","1837"
"France entière","ESS","1. Coopérative","Femmes","Ordinaires","139600"
"France entière","ESS","1. Coopérative","Femmes","Stagiaires","344"
"France entière","ESS","1. Coopérative","Hommes","Aides","2999"
"France entière","ESS","1. Coopérative","Hommes","Apprentis","2647"
"France entière","ESS","1. Coopérative","Hommes","Ordinaires","149954"
"France entière","ESS","1. Coopérative","Hommes","Stagiaires","261"
"France entière","ESS","2. Mutuelle","Femmes","Aides","2025"
"France entière","ESS","2. Mutuelle","Femmes","Apprentis","566"
"France entière","ESS","2. Mutuelle","Femmes","Ordinaires","97882"
"France entière","ESS","2. Mutuelle","Femmes","Stagiaires","111"
"France entière","ESS","2. Mutuelle","Hommes","Aides","927"
"France entière","ESS","2. Mutuelle","Hommes","Apprentis","351"
"France entière","ESS","2. Mutuelle","Hommes","Ordinaires","34978"
"France entière","ESS","2. Mutuelle","Hommes","Stagiaires","66"
"France entière","ESS","3. Association","Femmes","Aides","88168"
"France entière","ESS","3. Association","Femmes","Apprentis","4292"
"France entière","ESS","3. Association","Femmes","Ordinaires","1157153"
"France entière","ESS","3. Association","Femmes","Stagiaires","4312"
"France entière","ESS","3. Association","Hommes","Aides","79437"
"France entière","ESS","3. Association","Hommes","Apprentis","4075"
"France entière","ESS","3. Association","Hommes","Ordinaires","474784"
"France entière","ESS","3. Association","Hommes","Stagiaires","1950"
"France entière","ESS","4. Fondation","Femmes","Aides","1751"
"France entière","ESS","4. Fondation","Femmes","Apprentis","219"
"France entière","ESS","4. Fondation","Femmes","Ordinaires","62493"
"France entière","ESS","4. Fondation","Femmes","Stagiaires","375"
"France entière","ESS","4. Fondation","Hommes","Aides","1027"
"France entière","ESS","4. Fondation","Hommes","Apprentis","115"
"France entière","ESS","4. Fondation","Hommes","Ordinaires","22719"
"France entière","ESS","4. Fondation","Hommes","Stagiaires","176"
"France entière","Hors ESS","Privé Hors ESS","Femmes","Aides","114578"
"France entière","Hors ESS","Privé Hors ESS","Femmes","Apprentis","118714"
"France entière","Hors ESS","Privé Hors ESS","Femmes","Ordinaires","5824315"
"France entière","Hors ESS","Privé Hors ESS","Femmes","Stagiaires","18671"
"France entière","Hors ESS","Privé Hors ESS","Hommes","Aides","113042"
"France entière","Hors ESS","Privé Hors ESS","Hommes","Apprentis","251015"
"France entière","Hors ESS","Privé Hors ESS","Hommes","Ordinaires","8368650"
"France entière","Hors ESS","Privé Hors ESS","Hommes","Stagiaires","19175"
"France entière","Hors ESS","Public","Femmes","Aides","109214"
"France entière","Hors ESS","Public","Femmes","Apprentis","11233"
"France entière","Hors ESS","Public","Femmes","Ordinaires","3449434"
"France entière","Hors ESS","Public","Femmes","Stagiaires","255"
"France entière","Hors ESS","Public","Hommes","Aides","50278"
"France entière","Hors ESS","Public","Hommes","Apprentis","10765"
"France entière","Hors ESS","Public","Hommes","Ordinaires","2054317"
"France entière","Hors ESS","Public","Hommes","Stagiaires","313"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","2737340"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","874749"
"Bretagne","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","1063532"
"Centre-Val de Loire","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","803952"
"Corse","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","102760"
"Grand-Est","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","1735930"
"Guadeloupe","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","107541"
"Guyane","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","53366"
"Hauts-de-France","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","1844338"
"Ile-de-France","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","5516072"
"La Réunion","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","230617"
"Martinique","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","113819"
"Normandie","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","1054500"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","1894768"
"Occitanie","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","1797702"
"Pays de la Loire","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","1285394"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","1638239"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Ensemble","Aides","65050"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","48767"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","2619421"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","4102"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Ensemble","Aides","21386"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","18645"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","834054"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","664"
"Bretagne","ESS + Hors ESS","Ensemble","Ensemble","Aides","25457"
"Bretagne","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","18215"
"Bretagne","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","1018678"
"Bretagne","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","1182"
"Centre-Val de Loire","ESS + Hors ESS","Ensemble","Ensemble","Aides","17743"
"Centre-Val de Loire","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","18302"
"Centre-Val de Loire","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","767254"
"Centre-Val de Loire","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","653"
"Corse","ESS + Hors ESS","Ensemble","Ensemble","Aides","1583"
"Corse","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","1718"
"Corse","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","99407"
"Corse","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","52"
"Grand-Est","ESS + Hors ESS","Ensemble","Ensemble","Aides","44872"
"Grand-Est","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","36395"
"Grand-Est","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","1652878"
"Grand-Est","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","1785"
"Guadeloupe","ESS + Hors ESS","Ensemble","Ensemble","Aides","3957"
"Guadeloupe","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","986"
"Guadeloupe","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","102511"
"Guadeloupe","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","87"
"Guyane","ESS + Hors ESS","Ensemble","Ensemble","Aides","2830"
"Guyane","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","396"
"Guyane","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","50107"
"Guyane","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","33"
"Hauts-de-France","ESS + Hors ESS","Ensemble","Ensemble","Aides","64285"
"Hauts-de-France","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","33340"
"Hauts-de-France","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","1744474"
"Hauts-de-France","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","2239"
"Ile-de-France","ESS + Hors ESS","Ensemble","Ensemble","Aides","97588"
"Ile-de-France","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","81792"
"Ile-de-France","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","5309143"
"Ile-de-France","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","27549"
"La Réunion","ESS + Hors ESS","Ensemble","Ensemble","Aides","21291"
"La Réunion","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","3838"
"La Réunion","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","205376"
"La Réunion","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","112"
"Martinique","ESS + Hors ESS","Ensemble","Ensemble","Aides","5123"
"Martinique","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","942"
"Martinique","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","107708"
"Martinique","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","46"
"Normandie","ESS + Hors ESS","Ensemble","Ensemble","Aides","28042"
"Normandie","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","22718"
"Normandie","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","1002929"
"Normandie","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","811"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble","Ensemble","Aides","48784"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","35057"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","1809195"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","1732"
"Occitanie","ESS + Hors ESS","Ensemble","Ensemble","Aides","51741"
"Occitanie","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","30843"
"Occitanie","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","1713208"
"Occitanie","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","1910"
"Pays de la Loire","ESS + Hors ESS","Ensemble","Ensemble","Aides","28556"
"Pays de la Loire","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","28381"
"Pays de la Loire","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","1227228"
"Pays de la Loire","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","1229"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble","Ensemble","Aides","38214"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","25494"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","1572708"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","1823"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Femmes","Ensemble","1336291"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Hommes","Ensemble","1401049"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Femmes","Ensemble","440000"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Hommes","Ensemble","434749"
"Bretagne","ESS + Hors ESS","Ensemble","Femmes","Ensemble","535783"
"Bretagne","ESS + Hors ESS","Ensemble","Hommes","Ensemble","527749"
"Centre-Val de Loire","ESS + Hors ESS","Ensemble","Femmes","Ensemble","403606"
"Centre-Val de Loire","ESS + Hors ESS","Ensemble","Hommes","Ensemble","400346"
"Corse","ESS + Hors ESS","Ensemble","Femmes","Ensemble","48640"
"Corse","ESS + Hors ESS","Ensemble","Hommes","Ensemble","54120"
"Grand-Est","ESS + Hors ESS","Ensemble","Femmes","Ensemble","861258"
"Grand-Est","ESS + Hors ESS","Ensemble","Hommes","Ensemble","874672"
"Guadeloupe","ESS + Hors ESS","Ensemble","Femmes","Ensemble","57733"
"Guadeloupe","ESS + Hors ESS","Ensemble","Hommes","Ensemble","49808"
"Guyane","ESS + Hors ESS","Ensemble","Femmes","Ensemble","25965"
"Guyane","ESS + Hors ESS","Ensemble","Hommes","Ensemble","27401"
"Hauts-de-France","ESS + Hors ESS","Ensemble","Femmes","Ensemble","883579"
"Hauts-de-France","ESS + Hors ESS","Ensemble","Hommes","Ensemble","960759"
"Ile-de-France","ESS + Hors ESS","Ensemble","Femmes","Ensemble","2620857"
"Ile-de-France","ESS + Hors ESS","Ensemble","Hommes","Ensemble","2895215"
"La Réunion","ESS + Hors ESS","Ensemble","Femmes","Ensemble","107752"
"La Réunion","ESS + Hors ESS","Ensemble","Hommes","Ensemble","122865"
"Martinique","ESS + Hors ESS","Ensemble","Femmes","Ensemble","60948"
"Martinique","ESS + Hors ESS","Ensemble","Hommes","Ensemble","52871"
"Normandie","ESS + Hors ESS","Ensemble","Femmes","Ensemble","521850"
"Normandie","ESS + Hors ESS","Ensemble","Hommes","Ensemble","532650"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble","Femmes","Ensemble","959029"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble","Hommes","Ensemble","935739"
"Occitanie","ESS + Hors ESS","Ensemble","Femmes","Ensemble","899088"
"Occitanie","ESS + Hors ESS","Ensemble","Hommes","Ensemble","898614"
"Pays de la Loire","ESS + Hors ESS","Ensemble","Femmes","Ensemble","629471"
"Pays de la Loire","ESS + Hors ESS","Ensemble","Hommes","Ensemble","655923"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble","Femmes","Ensemble","818748"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble","Hommes","Ensemble","819491"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Femmes","Aides","35857"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Femmes","Apprentis","14484"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Femmes","Ordinaires","1283908"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Femmes","Stagiaires","2042"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Hommes","Aides","29193"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Hommes","Apprentis","34283"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Hommes","Ordinaires","1335513"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Hommes","Stagiaires","2060"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Femmes","Aides","12327"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Femmes","Apprentis","5508"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Femmes","Ordinaires","421827"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Femmes","Stagiaires","338"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Hommes","Aides","9059"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Hommes","Apprentis","13137"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Hommes","Ordinaires","412227"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Hommes","Stagiaires","326"
"Bretagne","ESS + Hors ESS","Ensemble","Femmes","Aides","14136"
"Bretagne","ESS + Hors ESS","Ensemble","Femmes","Apprentis","5429"
"Bretagne","ESS + Hors ESS","Ensemble","Femmes","Ordinaires","515576"
"Bretagne","ESS + Hors ESS","Ensemble","Femmes","Stagiaires","642"
"Bretagne","ESS + Hors ESS","Ensemble","Hommes","Aides","11321"
