"DEP","typo_Coop","typo_Coop_det","type_emploi","nb_poste"
"France entière","COMMERCE (GZ)","NC","Ordinaires","48199"
"France entière","COMMERCE (GZ)","NC","Stagiaires","16"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","NC","Aides","1044"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","NC","Apprentis","1056"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","NC","Ordinaires","45490"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","NC","Stagiaires","28"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","NC","Aides","s"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","NC","Apprentis","207"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","NC","Ordinaires","15303"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","NC","Stagiaires","s"
"1","Ensemble","Ensemble","Ensemble","1975"
"2","Ensemble","Ensemble","Ensemble","2145"
"3","Ensemble","Ensemble","Ensemble","1474"
"4","Ensemble","Ensemble","Ensemble","654"
"5","Ensemble","Ensemble","Ensemble","609"
"6","Ensemble","Ensemble","Ensemble","3455"
"7","Ensemble","Ensemble","Ensemble","1342"
"8","Ensemble","Ensemble","Ensemble","1129"
"9","Ensemble","Ensemble","Ensemble","670"
"10","Ensemble","Ensemble","Ensemble","2041"
"11","Ensemble","Ensemble","Ensemble","2168"
"12","Ensemble","Ensemble","Ensemble","1699"
"13","Ensemble","Ensemble","Ensemble","4909"
"14","Ensemble","Ensemble","Ensemble","4671"
"15","Ensemble","Ensemble","Ensemble","892"
"16","Ensemble","Ensemble","Ensemble","2412"
"17","Ensemble","Ensemble","Ensemble","4681"
"18","Ensemble","Ensemble","Ensemble","1262"
"19","Ensemble","Ensemble","Ensemble","1379"
"21","Ensemble","Ensemble","Ensemble","3124"
"22","Ensemble","Ensemble","Ensemble","7011"
"23","Ensemble","Ensemble","Ensemble","493"
"24","Ensemble","Ensemble","Ensemble","2154"
"25","Ensemble","Ensemble","Ensemble","3873"
"26","Ensemble","Ensemble","Ensemble","3073"
"27","Ensemble","Ensemble","Ensemble","1493"
"28","Ensemble","Ensemble","Ensemble","2123"
"29","Ensemble","Ensemble","Ensemble","8195"
"2A","Ensemble","Ensemble","Ensemble","513"
"2B","Ensemble","Ensemble","Ensemble","408"
"30","Ensemble","Ensemble","Ensemble","2676"
"31","Ensemble","Ensemble","Ensemble","5607"
"32","Ensemble","Ensemble","Ensemble","1758"
"33","Ensemble","Ensemble","Ensemble","6836"
"34","Ensemble","Ensemble","Ensemble","4792"
"35","Ensemble","Ensemble","Ensemble","8326"
"36","Ensemble","Ensemble","Ensemble","981"
"37","Ensemble","Ensemble","Ensemble","3036"
"38","Ensemble","Ensemble","Ensemble","5246"
"39","Ensemble","Ensemble","Ensemble","1035"
"40","Ensemble","Ensemble","Ensemble","3126"
"41","Ensemble","Ensemble","Ensemble","1457"
"42","Ensemble","Ensemble","Ensemble","3640"
"43","Ensemble","Ensemble","Ensemble","1069"
"44","Ensemble","Ensemble","Ensemble","11122"
"45","Ensemble","Ensemble","Ensemble","4311"
"46","Ensemble","Ensemble","Ensemble","1358"
"47","Ensemble","Ensemble","Ensemble","1962"
"48","Ensemble","Ensemble","Ensemble","294"
"49","Ensemble","Ensemble","Ensemble","5589"
"50","Ensemble","Ensemble","Ensemble","3772"
"51","Ensemble","Ensemble","Ensemble","6051"
"52","Ensemble","Ensemble","Ensemble","601"
"53","Ensemble","Ensemble","Ensemble","2231"
"54","Ensemble","Ensemble","Ensemble","2282"
"55","Ensemble","Ensemble","Ensemble","980"
"56","Ensemble","Ensemble","Ensemble","4461"
"57","Ensemble","Ensemble","Ensemble","4171"
"58","Ensemble","Ensemble","Ensemble","1016"
"59","Ensemble","Ensemble","Ensemble","5959"
"60","Ensemble","Ensemble","Ensemble","1643"
"61","Ensemble","Ensemble","Ensemble","1161"
"62","Ensemble","Ensemble","Ensemble","4872"
"63","Ensemble","Ensemble","Ensemble","3785"
"64","Ensemble","Ensemble","Ensemble","3479"
"65","Ensemble","Ensemble","Ensemble","843"
"66","Ensemble","Ensemble","Ensemble","2786"
"67","Ensemble","Ensemble","Ensemble","6699"
"68","Ensemble","Ensemble","Ensemble","4132"
"69","Ensemble","Ensemble","Ensemble","7227"
"70","Ensemble","Ensemble","Ensemble","570"
"71","Ensemble","Ensemble","Ensemble","2167"
"72","Ensemble","Ensemble","Ensemble","2618"
"73","Ensemble","Ensemble","Ensemble","2711"
"74","Ensemble","Ensemble","Ensemble","3528"
"75","Ensemble","Ensemble","Ensemble","15835"
"76","Ensemble","Ensemble","Ensemble","4816"
"77","Ensemble","Ensemble","Ensemble","3390"
"78","Ensemble","Ensemble","Ensemble","2279"
"79","Ensemble","Ensemble","Ensemble","3263"
"80","Ensemble","Ensemble","Ensemble","3461"
"81","Ensemble","Ensemble","Ensemble","2433"
"82","Ensemble","Ensemble","Ensemble","1612"
"83","Ensemble","Ensemble","Ensemble","2934"
"84","Ensemble","Ensemble","Ensemble","2581"
"85","Ensemble","Ensemble","Ensemble","4709"
"86","Ensemble","Ensemble","Ensemble","2971"
"87","Ensemble","Ensemble","Ensemble","2991"
"88","Ensemble","Ensemble","Ensemble","1965"
"89","Ensemble","Ensemble","Ensemble","1979"
"90","Ensemble","Ensemble","Ensemble","289"
"91","Ensemble","Ensemble","Ensemble","2432"
"92","Ensemble","Ensemble","Ensemble","3584"
"93","Ensemble","Ensemble","Ensemble","2074"
"94","Ensemble","Ensemble","Ensemble","3241"
"95","Ensemble","Ensemble","Ensemble","1548"
"971","Ensemble","Ensemble","Ensemble","840"
"972","Ensemble","Ensemble","Ensemble","947"
"973","Ensemble","Ensemble","Ensemble","157"
"974","Ensemble","Ensemble","Ensemble","2374"
"1","Ensemble","Ensemble","Aides","46"
"1","Ensemble","Ensemble","Apprentis","s"
"1","Ensemble","Ensemble","Ordinaires","1907"
"1","Ensemble","Ensemble","Stagiaires","s"
"2","Ensemble","Ensemble","Aides","40"
"2","Ensemble","Ensemble","Apprentis","s"
"2","Ensemble","Ensemble","Ordinaires","2065"
"2","Ensemble","Ensemble","Stagiaires","s"
"3","Ensemble","Ensemble","Aides","23"
"3","Ensemble","Ensemble","Apprentis","s"
"3","Ensemble","Ensemble","Ordinaires","1439"
"3","Ensemble","Ensemble","Stagiaires","s"
"4","Ensemble","Ensemble","Aides","s"
"4","Ensemble","Ensemble","Apprentis","s"
"4","Ensemble","Ensemble","Ordinaires","646"
"5","Ensemble","Ensemble","Aides","s"
"5","Ensemble","Ensemble","Apprentis","9"
"5","Ensemble","Ensemble","Ordinaires","591"
"5","Ensemble","Ensemble","Stagiaires","s"
"6","Ensemble","Ensemble","Aides","55"
"6","Ensemble","Ensemble","Apprentis","s"
"6","Ensemble","Ensemble","Ordinaires","3344"
"6","Ensemble","Ensemble","Stagiaires","s"
"7","Ensemble","Ensemble","Aides","12"
"7","Ensemble","Ensemble","Apprentis","11"
"7","Ensemble","Ensemble","Ordinaires","1310"
"7","Ensemble","Ensemble","Stagiaires","9"
"8","Ensemble","Ensemble","Aides","s"
"8","Ensemble","Ensemble","Apprentis","s"
"8","Ensemble","Ensemble","Ordinaires","1114"
"9","Ensemble","Ensemble","Aides","42"
"9","Ensemble","Ensemble","Apprentis","17"
"9","Ensemble","Ensemble","Ordinaires","611"
"10","Ensemble","Ensemble","Aides","55"
"10","Ensemble","Ensemble","Apprentis","s"
"10","Ensemble","Ensemble","Ordinaires","1940"
"10","Ensemble","Ensemble","Stagiaires","s"
"11","Ensemble","Ensemble","Aides","32"
"11","Ensemble","Ensemble","Apprentis","s"
"11","Ensemble","Ensemble","Ordinaires","2104"
"11","Ensemble","Ensemble","Stagiaires","s"
"12","Ensemble","Ensemble","Aides","31"
"12","Ensemble","Ensemble","Apprentis","s"
"12","Ensemble","Ensemble","Ordinaires","1638"
"12","Ensemble","Ensemble","Stagiaires","s"
"13","Ensemble","Ensemble","Aides","145"
"13","Ensemble","Ensemble","Apprentis","63"
"13","Ensemble","Ensemble","Ordinaires","4691"
"13","Ensemble","Ensemble","Stagiaires","10"
"14","Ensemble","Ensemble","Aides","73"
"14","Ensemble","Ensemble","Apprentis","60"
"14","Ensemble","Ensemble","Ordinaires","4530"
"14","Ensemble","Ensemble","Stagiaires","8"
"15","Ensemble","Ensemble","Aides","13"
"15","Ensemble","Ensemble","Apprentis","s"
"15","Ensemble","Ensemble","Ordinaires","872"
"15","Ensemble","Ensemble","Stagiaires","s"
"16","Ensemble","Ensemble","Aides","46"
"16","Ensemble","Ensemble","Apprentis","s"
"16","Ensemble","Ensemble","Ordinaires","2337"
"16","Ensemble","Ensemble","Stagiaires","s"
"17","Ensemble","Ensemble","Aides","83"
"17","Ensemble","Ensemble","Apprentis","67"
"17","Ensemble","Ensemble","Ordinaires","4521"
"17","Ensemble","Ensemble","Stagiaires","10"
"18","Ensemble","Ensemble","Aides","s"
"18","Ensemble","Ensemble","Apprentis","27"
"18","Ensemble","Ensemble","Ordinaires","1209"
"18","Ensemble","Ensemble","Stagiaires","s"
"19","Ensemble","Ensemble","Aides","20"
"19","Ensemble","Ensemble","Apprentis","s"
"19","Ensemble","Ensemble","Ordinaires","1339"
"19","Ensemble","Ensemble","Stagiaires","s"
"21","Ensemble","Ensemble","Aides","64"
"21","Ensemble","Ensemble","Apprentis","s"
"21","Ensemble","Ensemble","Ordinaires","3015"
"21","Ensemble","Ensemble","Stagiaires","s"
"22","Ensemble","Ensemble","Aides","87"
"22","Ensemble","Ensemble","Apprentis","113"
"22","Ensemble","Ensemble","Ordinaires","6804"
"22","Ensemble","Ensemble","Stagiaires","7"
"23","Ensemble","Ensemble","Aides","22"
"23","Ensemble","Ensemble","Apprentis","s"
"23","Ensemble","Ensemble","Ordinaires","465"
"23","Ensemble","Ensemble","Stagiaires","s"
"24","Ensemble","Ensemble","Aides","23"
"24","Ensemble","Ensemble","Apprentis","26"
"24","Ensemble","Ensemble","Ordinaires","2100"
"24","Ensemble","Ensemble","Stagiaires","5"
"25","Ensemble","Ensemble","Aides","s"
"25","Ensemble","Ensemble","Apprentis","81"
"25","Ensemble","Ensemble","Ordinaires","3705"
"25","Ensemble","Ensemble","Stagiaires","s"
"26","Ensemble","Ensemble","Aides","47"
"26","Ensemble","Ensemble","Apprentis","29"
"26","Ensemble","Ensemble","Ordinaires","2991"
"26","Ensemble","Ensemble","Stagiaires","6"
"27","Ensemble","Ensemble","Aides","42"
"27","Ensemble","Ensemble","Apprentis","s"
"27","Ensemble","Ensemble","Ordinaires","1441"
"27","Ensemble","Ensemble","Stagiaires","s"
"28","Ensemble","Ensemble","Aides","s"
"28","Ensemble","Ensemble","Apprentis","31"
"28","Ensemble","Ensemble","Ordinaires","2069"
"28","Ensemble","Ensemble","Stagiaires","s"
"29","Ensemble","Ensemble","Aides","214"
"29","Ensemble","Ensemble","Apprentis","134"
"29","Ensemble","Ensemble","Ordinaires","7828"
"29","Ensemble","Ensemble","Stagiaires","19"
"2A","Ensemble","Ensemble","Aides","s"
"2A","Ensemble","Ensemble","Apprentis","s"
"2A","Ensemble","Ensemble","Ordinaires","493"
"2B","Ensemble","Ensemble","Aides","s"
"2B","Ensemble","Ensemble","Apprentis","s"
"2B","Ensemble","Ensemble","Ordinaires","390"
"30","Ensemble","Ensemble","Aides","s"
"30","Ensemble","Ensemble","Apprentis","40"
"30","Ensemble","Ensemble","Ordinaires","2605"
"30","Ensemble","Ensemble","Stagiaires","s"
"31","Ensemble","Ensemble","Aides","109"
"31","Ensemble","Ensemble","Apprentis","83"
"31","Ensemble","Ensemble","Ordinaires","5400"
"31","Ensemble","Ensemble","Stagiaires","15"
"32","Ensemble","Ensemble","Aides","56"
"32","Ensemble","Ensemble","Apprentis","s"
"32","Ensemble","Ensemble","Ordinaires","1688"
"32","Ensemble","Ensemble","Stagiaires","s"
"33","Ensemble","Ensemble","Aides","127"
"33","Ensemble","Ensemble","Apprentis","88"
"33","Ensemble","Ensemble","Ordinaires","6601"
"33","Ensemble","Ensemble","Stagiaires","20"
"34","Ensemble","Ensemble","Aides","45"
"34","Ensemble","Ensemble","Apprentis","48"
"34","Ensemble","Ensemble","Ordinaires","4685"
"34","Ensemble","Ensemble","Stagiaires","14"
"35","Ensemble","Ensemble","Aides","175"
"35","Ensemble","Ensemble","Apprentis","s"
"35","Ensemble","Ensemble","Ordinaires","8032"
"35","Ensemble","Ensemble","Stagiaires","s"
"36","Ensemble","Ensemble","Aides","s"
"36","Ensemble","Ensemble","Apprentis","20"
"36","Ensemble","Ensemble","Ordinaires","947"
"36","Ensemble","Ensemble","Stagiaires","s"
"37","Ensemble","Ensemble","Aides","s"
"37","Ensemble","Ensemble","Apprentis","52"
"37","Ensemble","Ensemble","Ordinaires","2947"
"37","Ensemble","Ensemble","Stagiaires","s"
"38","Ensemble","Ensemble","Aides","106"
"38","Ensemble","Ensemble","Apprentis","s"
"38","Ensemble","Ensemble","Ordinaires","5063"
"38","Ensemble","Ensemble","Stagiaires","s"
"39","Ensemble","Ensemble","Aides","s"
"39","Ensemble","Ensemble","Apprentis","28"
"39","Ensemble","Ensemble","Ordinaires","988"
"39","Ensemble","Ensemble","Stagiaires","s"
"40","Ensemble","Ensemble","Aides","44"
"40","Ensemble","Ensemble","Apprentis","47"
"40","Ensemble","Ensemble","Ordinaires","3027"
"40","Ensemble","Ensemble","Stagiaires","8"
"41","Ensemble","Ensemble","Aides","s"
"41","Ensemble","Ensemble","Apprentis","17"
"41","Ensemble","Ensemble","Ordinaires","1424"
"41","Ensemble","Ensemble","Stagiaires","s"
"42","Ensemble","Ensemble","Aides","68"
"42","Ensemble","Ensemble","Apprentis","60"
"42","Ensemble","Ensemble","Ordinaires","3503"
"42","Ensemble","Ensemble","Stagiaires","9"
"43","Ensemble","Ensemble","Aides","36"
"43","Ensemble","Ensemble","Apprentis","12"
"43","Ensemble","Ensemble","Ordinaires","1021"
"44","Ensemble","Ensemble","Aides","223"
"44","Ensemble","Ensemble","Apprentis","165"
"44","Ensemble","Ensemble","Ordinaires","10725"
"44","Ensemble","Ensemble","Stagiaires","9"
"45","Ensemble","Ensemble","Aides","41"
"45","Ensemble","Ensemble","Apprentis","97"
"45","Ensemble","Ensemble","Ordinaires","4165"
"45","Ensemble","Ensemble","Stagiaires","8"
"46","Ensemble","Ensemble","Aides","30"
"46","Ensemble","Ensemble","Apprentis","s"
"46","Ensemble","Ensemble","Ordinaires","1313"
"46","Ensemble","Ensemble","Stagiaires","s"
"47","Ensemble","Ensemble","Aides","23"
"47","Ensemble","Ensemble","Apprentis","s"
"47","Ensemble","Ensemble","Ordinaires","1922"
"47","Ensemble","Ensemble","Stagiaires","s"
"48","Ensemble","Ensemble","Aides","10"
"48","Ensemble","Ensemble","Apprentis","s"
"48","Ensemble","Ensemble","Ordinaires","280"
"48","Ensemble","Ensemble","Stagiaires","s"
"49","Ensemble","Ensemble","Aides","140"
"49","Ensemble","Ensemble","Apprentis","s"
"49","Ensemble","Ensemble","Ordinaires","5385"
"49","Ensemble","Ensemble","Stagiaires","s"
"50","Ensemble","Ensemble","Aides","91"
"50","Ensemble","Ensemble","Apprentis","s"
"50","Ensemble","Ensemble","Ordinaires","3631"
"50","Ensemble","Ensemble","Stagiaires","s"
"51","Ensemble","Ensemble","Aides","78"
"51","Ensemble","Ensemble","Apprentis","86"
"51","Ensemble","Ensemble","Ordinaires","5877"
"51","Ensemble","Ensemble","Stagiaires","10"
"52","Ensemble","Ensemble","Aides","s"
"52","Ensemble","Ensemble","Apprentis","16"
"52","Ensemble","Ensemble","Ordinaires","573"
"52","Ensemble","Ensemble","Stagiaires","s"
"53","Ensemble","Ensemble","Aides","52"
"53","Ensemble","Ensemble","Apprentis","s"
"53","Ensemble","Ensemble","Ordinaires","2155"
"53","Ensemble","Ensemble","Stagiaires","s"
"54","Ensemble","Ensemble","Aides","29"
"54","Ensemble","Ensemble","Apprentis","49"
"54","Ensemble","Ensemble","Ordinaires","2199"
"54","Ensemble","Ensemble","Stagiaires","5"
"55","Ensemble","Ensemble","Aides","s"
"55","Ensemble","Ensemble","Apprentis","16"
"55","Ensemble","Ensemble","Ordinaires","959"
"55","Ensemble","Ensemble","Stagiaires","s"
"56","Ensemble","Ensemble","Aides","88"
"56","Ensemble","Ensemble","Apprentis","s"
"56","Ensemble","Ensemble","Ordinaires","4297"
"56","Ensemble","Ensemble","Stagiaires","s"
"57","Ensemble","Ensemble","Aides","s"
"57","Ensemble","Ensemble","Apprentis","66"
"57","Ensemble","Ensemble","Ordinaires","4043"
"57","Ensemble","Ensemble","Stagiaires","s"
"58","Ensemble","Ensemble","Aides","21"
"58","Ensemble","Ensemble","Apprentis","9"
"58","Ensemble","Ensemble","Ordinaires","986"
"59","Ensemble","Ensemble","Aides","122"
"59","Ensemble","Ensemble","Apprentis","60"
"59","Ensemble","Ensemble","Ordinaires","5753"
"59","Ensemble","Ensemble","Stagiaires","24"
"60","Ensemble","Ensemble","Aides","35"
"60","Ensemble","Ensemble","Apprentis","s"
"60","Ensemble","Ensemble","Ordinaires","1587"
"60","Ensemble","Ensemble","Stagiaires","s"
"61","Ensemble","Ensemble","Aides","27"
"61","Ensemble","Ensemble","Apprentis","s"
"61","Ensemble","Ensemble","Ordinaires","1121"
"61","Ensemble","Ensemble","Stagiaires","s"
"62","Ensemble","Ensemble","Aides","113"
"62","Ensemble","Ensemble","Apprentis","72"
"62","Ensemble","Ensemble","Ordinaires","4665"
"62","Ensemble","Ensemble","Stagiaires","22"
"63","Ensemble","Ensemble","Aides","90"
"63","Ensemble","Ensemble","Apprentis","31"
"63","Ensemble","Ensemble","Ordinaires","3649"
"63","Ensemble","Ensemble","Stagiaires","15"
"64","Ensemble","Ensemble","Aides","s"
"64","Ensemble","Ensemble","Apprentis","81"
"64","Ensemble","Ensemble","Ordinaires","3351"
"64","Ensemble","Ensemble","Stagiaires","s"
"65","Ensemble","Ensemble","Aides","8"
"65","Ensemble","Ensemble","Apprentis","17"
"65","Ensemble","Ensemble","Ordinaires","818"
"66","Ensemble","Ensemble","Aides","35"
"66","Ensemble","Ensemble","Apprentis","s"
"66","Ensemble","Ensemble","Ordinaires","2719"
"66","Ensemble","Ensemble","Stagiaires","s"
"67","Ensemble","Ensemble","Aides","193"
"67","Ensemble","Ensemble","Apprentis","s"
"67","Ensemble","Ensemble","Ordinaires","6379"
"67","Ensemble","Ensemble","Stagiaires","s"
"68","Ensemble","Ensemble","Aides","164"
"68","Ensemble","Ensemble","Apprentis","s"
"68","Ensemble","Ensemble","Ordinaires","3898"
"68","Ensemble","Ensemble","Stagiaires","s"
"69","Ensemble","Ensemble","Aides","158"
"69","Ensemble","Ensemble","Apprentis","89"
"69","Ensemble","Ensemble","Ordinaires","6959"
"69","Ensemble","Ensemble","Stagiaires","21"
"70","Ensemble","Ensemble","Aides","11"
"70","Ensemble","Ensemble","Apprentis","5"
"70","Ensemble","Ensemble","Ordinaires","554"
"71","Ensemble","Ensemble","Aides","36"
"71","Ensemble","Ensemble","Apprentis","s"
"71","Ensemble","Ensemble","Ordinaires","2106"
"71","Ensemble","Ensemble","Stagiaires","s"
"72","Ensemble","Ensemble","Aides","71"
"72","Ensemble","Ensemble","Apprentis","s"
"72","Ensemble","Ensemble","Ordinaires","2490"
"72","Ensemble","Ensemble","Stagiaires","s"
"73","Ensemble","Ensemble","Aides","106"
"73","Ensemble","Ensemble","Apprentis","s"
"73","Ensemble","Ensemble","Ordinaires","2574"
"73","Ensemble","Ensemble","Stagiaires","s"
"74","Ensemble","Ensemble","Aides","93"
"74","Ensemble","Ensemble","Apprentis","s"
"74","Ensemble","Ensemble","Ordinaires","3384"
"74","Ensemble","Ensemble","Stagiaires","s"
"75","Ensemble","Ensemble","Aides","225"
"75","Ensemble","Ensemble","Apprentis","326"
"75","Ensemble","Ensemble","Ordinaires","15184"
"75","Ensemble","Ensemble","Stagiaires","100"
"76","Ensemble","Ensemble","Aides","108"
"76","Ensemble","Ensemble","Apprentis","s"
"76","Ensemble","Ensemble","Ordinaires","4655"
"76","Ensemble","Ensemble","Stagiaires","s"
"77","Ensemble","Ensemble","Aides","48"
"77","Ensemble","Ensemble","Apprentis","79"
"77","Ensemble","Ensemble","Ordinaires","3255"
"77","Ensemble","Ensemble","Stagiaires","8"
"78","Ensemble","Ensemble","Aides","25"
"78","Ensemble","Ensemble","Apprentis","41"
"78","Ensemble","Ensemble","Ordinaires","2198"
"78","Ensemble","Ensemble","Stagiaires","15"
"79","Ensemble","Ensemble","Aides","230"
"79","Ensemble","Ensemble","Apprentis","60"
"79","Ensemble","Ensemble","Ordinaires","2967"
"79","Ensemble","Ensemble","Stagiaires","6"
"80","Ensemble","Ensemble","Aides","104"
"80","Ensemble","Ensemble","Apprentis","s"
"80","Ensemble","Ensemble","Ordinaires","3308"
"80","Ensemble","Ensemble","Stagiaires","s"
"81","Ensemble","Ensemble","Aides","74"
"81","Ensemble","Ensemble","Apprentis","41"
"81","Ensemble","Ensemble","Ordinaires","2312"
"81","Ensemble","Ensemble","Stagiaires","6"
"82","Ensemble","Ensemble","Aides","s"
"82","Ensemble","Ensemble","Apprentis","18"
"82","Ensemble","Ensemble","Ordinaires","1575"
"82","Ensemble","Ensemble","Stagiaires","s"
