"REG","typo_Mut","typo_Mut_det","nb_etab","eff_31","eff_EQTP","rem_brut"
"Occitanie","Ensemble","Activites de services financiers et d assurances","25","331","314","12842012"
"Occitanie","Ensemble","Assurances","482","6764","6238","247816626"
"Occitanie","Ensemble","Hebergement medico-social et social","32","1351","1185","31738534"
"Pays de la Loire","Ensemble","Action sociale sans hebergement","52","701","629","16109416"
"Pays de la Loire","Ensemble","Activites de services financiers et d assurances","5","20","16","657788"
"Pays de la Loire","Ensemble","Assurances","245","3828","3601","141443429"
"Pays de la Loire","Ensemble","Hebergement medico-social et social","59","1925","1632","43009154"
"Provence-Alpes-Côte d'Azur","Ensemble","Action sociale sans hebergement","23","435","324","7703730"
"Provence-Alpes-Côte d'Azur","Ensemble","Activites de services financiers et d assurances","21","210","198","8448957"
"Provence-Alpes-Côte d'Azur","Ensemble","Assurances","427","4857","4405","179936953"
"Provence-Alpes-Côte d'Azur","Ensemble","Hebergement medico-social et social","8","441","399","11253242"
"Auvergne-Rhône-Alpes","ACTION SOCIALE (QB)","Ensemble","139","4824","4011","110079734"
"Auvergne-Rhône-Alpes","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","660","9972","9229","382875616"
"Auvergne-Rhône-Alpes","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","144","873","783","27200295"
"Auvergne-Rhône-Alpes","SANTE HUMAINE (QA)","Ensemble","120","3494","2949","128186799"
"Bourgogne-Franche-Comté","ACTION SOCIALE (QB)","Ensemble","99","4593","3780","89719965"
"Bourgogne-Franche-Comté","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","292","2788","2605","102750353"
"Bourgogne-Franche-Comté","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","79","425","389","12324917"
"Bourgogne-Franche-Comté","SANTE HUMAINE (QA)","Ensemble","52","988","872","31096306"
"Bretagne","ACTION SOCIALE (QB)","Ensemble","61","1915","1603","41331716"
"Bretagne","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","233","4038","3814","145664717"
"Bretagne","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","74","654","595","22726234"
"Bretagne","SANTE HUMAINE (QA)","Ensemble","31","1781","1543","56874486"
"Centre-Val de Loire","ACTION SOCIALE (QB)","Ensemble","37","889","800","21379671"
"Centre-Val de Loire","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","233","5562","5235","226574966"
"Centre-Val de Loire","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","48","326","314","10792461"
"Centre-Val de Loire","SANTE HUMAINE (QA)","Ensemble","34","634","560","22805055"
"Corse","ACTION SOCIALE (QB)","Ensemble","9","s","s","s"
"Corse","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","34","212","204","8449098"
"Corse","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","7","s","s","s"
"Corse","SANTE HUMAINE (QA)","Ensemble","11","s","s","s"
"Grand-Est","ACTION SOCIALE (QB)","Ensemble","8","272","220","5974665"
"Grand-Est","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","398","5309","4942","207354399"
"Grand-Est","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","56","394","357","12865363"
"Grand-Est","SANTE HUMAINE (QA)","Ensemble","47","1025","877","36487272"
"Guadeloupe","ACTION SOCIALE (QB)","Ensemble","2","s","s","s"
"Guadeloupe","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","32","287","273","12214887"
"Guadeloupe","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","2","s","s","s"
"Guyane","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","11","s","s","s"
"Hauts-de-France","ACTION SOCIALE (QB)","Ensemble","5","244","219","5955791"
"Hauts-de-France","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","369","5265","4888","201954938"
"Hauts-de-France","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","80","287","268","8773513"
"Hauts-de-France","SANTE HUMAINE (QA)","Ensemble","46","490","439","18173515"
"Ile-de-France","ACTION SOCIALE (QB)","Ensemble","29","1428","1252","38345043"
"Ile-de-France","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","617","17416","16361","839088045"
"Ile-de-France","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","64","221","229","15334180"
"Ile-de-France","SANTE HUMAINE (QA)","Ensemble","50","5388","4476","185037916"
"La Réunion","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","37","668","608","27030726"
"La Réunion","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","4","26","24","804669"
"Martinique","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","30","s","s","s"
"Martinique","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","2","s","s","s"
"Normandie","ACTION SOCIALE (QB)","Ensemble","31","914","806","20178656"
"Normandie","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","256","4230","3833","176596690"
"Normandie","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","115","s","s","s"
"Normandie","SANTE HUMAINE (QA)","Ensemble","59","s","s","s"
"Nouvelle-Aquitaine","ACTION SOCIALE (QB)","Ensemble","61","1547","1373","35127889"
"Nouvelle-Aquitaine","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","542","13901","12971","622370881"
"Nouvelle-Aquitaine","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","120","838","744","25167849"
"Nouvelle-Aquitaine","SANTE HUMAINE (QA)","Ensemble","66","1802","1646","67972157"
"Occitanie","ACTION SOCIALE (QB)","Ensemble","71","1812","1572","40414845"
"Occitanie","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","507","7095","6552","260658638"
"Occitanie","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","154","1083","994","31651222"
"Occitanie","SANTE HUMAINE (QA)","Ensemble","108","2871","2547","95603011"
"Pays de la Loire","ACTION SOCIALE (QB)","Ensemble","111","2626","2261","59118570"
"Pays de la Loire","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","250","3848","3617","142101217"
"Pays de la Loire","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","87","561","534","18389819"
"Pays de la Loire","SANTE HUMAINE (QA)","Ensemble","39","1325","1109","43820685"
"Provence-Alpes-Côte d'Azur","ACTION SOCIALE (QB)","Ensemble","31","876","722","18956972"
"Provence-Alpes-Côte d'Azur","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","448","5067","4603","188385910"
"Provence-Alpes-Côte d'Azur","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","58","297","265","10160572"
"Provence-Alpes-Côte d'Azur","SANTE HUMAINE (QA)","Ensemble","79","1716","1358","62664508"
"Auvergne-Rhône-Alpes","ACTION SOCIALE (QB)","Action sociale sans hebergement","52","1408","1082","27662842"
"Auvergne-Rhône-Alpes","ACTION SOCIALE (QB)","Hebergement medico-social et social","87","3416","2929","82416892"
"Auvergne-Rhône-Alpes","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","21","s","s","16310724"
"Auvergne-Rhône-Alpes","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","639","s","s","366564892"
"Bourgogne-Franche-Comté","ACTION SOCIALE (QB)","Action sociale sans hebergement","50","2566","2055","42327837"
"Bourgogne-Franche-Comté","ACTION SOCIALE (QB)","Hebergement medico-social et social","49","2027","1725","47392128"
"Bourgogne-Franche-Comté","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","11","30","27","1091137"
"Bourgogne-Franche-Comté","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","281","2758","2577","101659216"
"Bretagne","ACTION SOCIALE (QB)","Action sociale sans hebergement","20","511","438","10508078"
"Bretagne","ACTION SOCIALE (QB)","Hebergement medico-social et social","41","1404","1165","30823638"
"Bretagne","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","8","92","88","3593367"
"Bretagne","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","225","3946","3726","142071350"
"Centre-Val de Loire","ACTION SOCIALE (QB)","Action sociale sans hebergement","18","118","106","2571229"
"Centre-Val de Loire","ACTION SOCIALE (QB)","Hebergement medico-social et social","19","771","694","18808442"
"Centre-Val de Loire","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","11","224","207","8571265"
"Centre-Val de Loire","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","222","5338","5028","218003701"
"Corse","ACTION SOCIALE (QB)","Action sociale sans hebergement","3","s","s","717051"
"Corse","ACTION SOCIALE (QB)","Hebergement medico-social et social","6","157","132","s"
"Corse","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","2","s","s","s"
"Corse","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","32","s","s","s"
"Grand-Est","ACTION SOCIALE (QB)","Action sociale sans hebergement","3","s","s","712590"
"Grand-Est","ACTION SOCIALE (QB)","Hebergement medico-social et social","5","s","s","5262075"
"Grand-Est","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","20","105","110","4897983"
"Grand-Est","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","378","5204","4832","202456416"
"Guadeloupe","ACTION SOCIALE (QB)","Action sociale sans hebergement","2","s","s","s"
"Guadeloupe","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","32","287","273","12214887"
"Guyane","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","2","s","s","s"
"Guyane","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","9","s","s","s"
"Hauts-de-France","ACTION SOCIALE (QB)","Action sociale sans hebergement","2","s","s","s"
"Hauts-de-France","ACTION SOCIALE (QB)","Hebergement medico-social et social","3","s","s","s"
"Hauts-de-France","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","12","27","25","1031674"
"Hauts-de-France","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","357","5238","4863","200923264"
"Ile-de-France","ACTION SOCIALE (QB)","Action sociale sans hebergement","13","363","322","10531832"
"Ile-de-France","ACTION SOCIALE (QB)","Hebergement medico-social et social","16","1065","931","27813211"
"Ile-de-France","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","32","s","s","s"
"Ile-de-France","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","1","s","s","s"
"Ile-de-France","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","584","17018","16007","820415224"
"La Réunion","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","37","668","608","27030726"
"Martinique","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","30","s","s","s"
"Normandie","ACTION SOCIALE (QB)","Action sociale sans hebergement","13","254","192","4216647"
"Normandie","ACTION SOCIALE (QB)","Hebergement medico-social et social","18","660","614","15962009"
"Normandie","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","6","s","s","s"
"Normandie","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","1","s","s","s"
"Normandie","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","249","4213","3819","176038062"
"Nouvelle-Aquitaine","ACTION SOCIALE (QB)","Action sociale sans hebergement","33","624","549","13711377"
"Nouvelle-Aquitaine","ACTION SOCIALE (QB)","Hebergement medico-social et social","28","923","825","21416512"
"Nouvelle-Aquitaine","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","12","43","39","1742654"
"Nouvelle-Aquitaine","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","530","13858","12932","620628227"
"Occitanie","ACTION SOCIALE (QB)","Action sociale sans hebergement","39","461","387","8676311"
"Occitanie","ACTION SOCIALE (QB)","Hebergement medico-social et social","32","1351","1185","31738534"
"Occitanie","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","25","331","314","12842012"
"Occitanie","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","482","6764","6238","247816626"
"Pays de la Loire","ACTION SOCIALE (QB)","Action sociale sans hebergement","52","701","629","16109416"
"Pays de la Loire","ACTION SOCIALE (QB)","Hebergement medico-social et social","59","1925","1632","43009154"
"Pays de la Loire","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","5","20","16","657788"
"Pays de la Loire","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","245","3828","3601","141443429"
"Provence-Alpes-Côte d'Azur","ACTION SOCIALE (QB)","Action sociale sans hebergement","23","435","324","7703730"
"Provence-Alpes-Côte d'Azur","ACTION SOCIALE (QB)","Hebergement medico-social et social","8","441","399","11253242"
"Provence-Alpes-Côte d'Azur","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","21","210","198","8448957"
"Provence-Alpes-Côte d'Azur","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","427","4857","4405","179936953"
