"DEP","ESS_simp","typo_A","typo_A_det","taille_etab","nb_etab","nb_ent","eff_31","eff_EQTP","rem_brut"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","1 - Micro entreprise","3718","1324","15332","17113","492854014"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","2 - Petites entreprises","7163","2467","209094","181711","5126896594"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","3 - Moyennes entreprises","6051","3014","460152","405556","11282933728"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","4 - Grandes entreprises","72","47","30757","28113","830078029"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Ensemble","Tous établissements","52919","28618","1541559","1304082","33768555820"
"France entière","ESS + Hors ESS","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Tous établissements","97673","61797","872465","835301","47446483733"
"France entière","ESS + Hors ESS","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Tous établissements","99203","97198","234781","240247","6188190039"
"France entière","ESS + Hors ESS","ARTS SPECTACLES (RZ1)","Ensemble","Tous établissements","28667","26327","118404","125408","4479888257"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Ensemble","Tous établissements","100652","45534","1655301","1516052","53770331093"
"France entière","ESS + Hors ESS","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Tous établissements","197071","173528","954169","901688","23066489384"
"France entière","ESS + Hors ESS","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Tous établissements","388006","340075","4472417","4313373","164497817238"
"France entière","ESS + Hors ESS","NON-CLASSES (94.99Z)","Ensemble","Tous établissements","46139","40778","175981","151326","4592147259"
"France entière","ESS + Hors ESS","ORGANISMES EXTRATERRITORIAUX","Ensemble","Tous établissements","463","312","6532","6342","250107575"
"France entière","ESS + Hors ESS","SANTE HUMAINE (QA)","Ensemble","Tous établissements","83947","72430","1625013","1471859","49402413647"
"France entière","ESS + Hors ESS","SERVICES DIVERS","Ensemble","Tous établissements","1116578","870821","11039177","10217760","369489709526"
"France entière","ESS + Hors ESS","SPORTS ET LOISIRS (RZ2)","Ensemble","Tous établissements","48523","45171","158820","138366","4796103730"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Ensemble","1 - Micro entreprise","21817","12962","79261","78719","2065997624"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Ensemble","2 - Petites entreprises","21139","10602","513911","420735","11163649228"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Ensemble","3 - Moyennes entreprises","9624","4854","798997","678694","17225548260"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Ensemble","4 - Grandes entreprises","339","200","149390","125932","3313360708"
"France entière","ESS + Hors ESS","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","1 - Micro entreprise","86616","57484","226151","218801","10672208711"
"France entière","ESS + Hors ESS","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","2 - Petites entreprises","9071","3630","162062","152051","8522900807"
"France entière","ESS + Hors ESS","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","3 - Moyennes entreprises","1502","501","156899","149704","8839767008"
"France entière","ESS + Hors ESS","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","4 - Grandes entreprises","484","182","327353","314745","19411607207"
"France entière","ESS + Hors ESS","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","1 - Micro entreprise","95674","94068","145486","150456","3513670787"
"France entière","ESS + Hors ESS","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","2 - Petites entreprises","3254","2940","58641","60044","1694880624"
"France entière","ESS + Hors ESS","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","3 - Moyennes entreprises","254","181","21920","21442",NA
"France entière","ESS + Hors ESS","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","4 - Grandes entreprises","21","9","8734","8304",NA
"France entière","ESS + Hors ESS","ARTS SPECTACLES (RZ1)","Ensemble","1 - Micro entreprise","26477","24606","27918","36758","1202049606"
"France entière","ESS + Hors ESS","ARTS SPECTACLES (RZ1)","Ensemble","2 - Petites entreprises","1809","1423",NA,NA,"1279600107"
"France entière","ESS + Hors ESS","ARTS SPECTACLES (RZ1)","Ensemble","3 - Moyennes entreprises","344","269","31663","30323","1109190740"
"France entière","ESS + Hors ESS","ARTS SPECTACLES (RZ1)","Ensemble","4 - Grandes entreprises","37","29",NA,NA,"889047804"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Ensemble","1 - Micro entreprise","68132","30054","230141","216662","7072581229"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Ensemble","2 - Petites entreprises","24101","8434","484355","436123","14876913143"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Ensemble","3 - Moyennes entreprises","8012","6777","705992","648264","24239408383"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Ensemble","4 - Grandes entreprises","407","269","234813","215003","7581428338"
"France entière","ESS + Hors ESS","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","1 - Micro entreprise","173871","155952","412303","420590","10009462582"
"France entière","ESS + Hors ESS","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","2 - Petites entreprises","21630","16515","394434","351460","9191633718"
"France entière","ESS + Hors ESS","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","3 - Moyennes entreprises","1495","1016","114937","99370","2837395442"
"France entière","ESS + Hors ESS","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","4 - Grandes entreprises","75","45","32495","30268","1027997642"
"France entière","ESS + Hors ESS","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","1 - Micro entreprise","311594","282094","825708","830117","23414712678"
"France entière","ESS + Hors ESS","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","2 - Petites entreprises","62072","49260","1250301","1185769","40236398907"
"France entière","ESS + Hors ESS","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","3 - Moyennes entreprises","12376","7632","1254750","1196809","47095867575"
"France entière","ESS + Hors ESS","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","4 - Grandes entreprises","1964","1089","1141658","1100679","53750838078"
"France entière","ESS + Hors ESS","NON-CLASSES (94.99Z)","Ensemble","1 - Micro entreprise","42133","37499","72372","64899","1931719762"
"France entière","ESS + Hors ESS","NON-CLASSES (94.99Z)","Ensemble","2 - Petites entreprises","3646","3019","66608","54525","1653831611"
"France entière","ESS + Hors ESS","NON-CLASSES (94.99Z)","Ensemble","3 - Moyennes entreprises","340","249",NA,NA,NA
"France entière","ESS + Hors ESS","NON-CLASSES (94.99Z)","Ensemble","4 - Grandes entreprises","20","11",NA,NA,NA
"France entière","ESS + Hors ESS","ORGANISMES EXTRATERRITORIAUX","Ensemble","1 - Micro entreprise","311","195","1034","986","34903673"
"France entière","ESS + Hors ESS","ORGANISMES EXTRATERRITORIAUX","Ensemble","2 - Petites entreprises","136","104",NA,NA,NA
"France entière","ESS + Hors ESS","ORGANISMES EXTRATERRITORIAUX","Ensemble","3 - Moyennes entreprises","12","9",NA,NA,NA
"France entière","ESS + Hors ESS","ORGANISMES EXTRATERRITORIAUX","Ensemble","4 - Grandes entreprises","4","4",NA,NA,NA
"France entière","ESS + Hors ESS","SANTE HUMAINE (QA)","Ensemble","1 - Micro entreprise","73656","66582","115502","99262","2912420686"
"France entière","ESS + Hors ESS","SANTE HUMAINE (QA)","Ensemble","2 - Petites entreprises","7163","3871","139139","119182","3934518941"
"France entière","ESS + Hors ESS","SANTE HUMAINE (QA)","Ensemble","3 - Moyennes entreprises","2102","1237","237879","209037","6920942203"
"France entière","ESS + Hors ESS","SANTE HUMAINE (QA)","Ensemble","4 - Grandes entreprises","1026","740","1132493","1044379","35634531817"
"France entière","ESS + Hors ESS","SERVICES DIVERS","Ensemble","1 - Micro entreprise","947640","767197","2273306","2180453","68029727832"
"France entière","ESS + Hors ESS","SERVICES DIVERS","Ensemble","2 - Petites entreprises","135880","85546","2716161","2487552","88001272227"
"France entière","ESS + Hors ESS","SERVICES DIVERS","Ensemble","3 - Moyennes entreprises","28081","15351","2819686","2562507","95766867055"
"France entière","ESS + Hors ESS","SERVICES DIVERS","Ensemble","4 - Grandes entreprises","4977","2727","3230024","2987248","117691842412"
"France entière","ESS + Hors ESS","SPORTS ET LOISIRS (RZ2)","Ensemble","1 - Micro entreprise","45618","42804","67251","58903","1439554875"
"France entière","ESS + Hors ESS","SPORTS ET LOISIRS (RZ2)","Ensemble","2 - Petites entreprises","2675","2177","49726","42345",NA
"France entière","ESS + Hors ESS","SPORTS ET LOISIRS (RZ2)","Ensemble","3 - Moyennes entreprises","216","180",NA,NA,"1409409426"
"France entière","ESS + Hors ESS","SPORTS ET LOISIRS (RZ2)","Ensemble","4 - Grandes entreprises","14","10",NA,NA,NA
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Accueil des jeunes enfants","Tous établissements","8773","4881","90254","77186","1874439084"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide a domicile","Tous établissements","8436","6522","248839","179305","3982913604"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide par le travail","Tous établissements","2353","567","166145","141762","2498494420"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Autres actions sociales","Tous établissements","16353","9796","320986","273336","7679946347"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Hebergement medico-social et social","Tous établissements","17004","6852","715335","632493","17732762365"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Accueil des jeunes enfants","1 - Micro entreprise","5594","3355","24588","21764","495311839"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Accueil des jeunes enfants","2 - Petites entreprises","3070","1466","54319","46071","1121062152"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Accueil des jeunes enfants","3 - Moyennes entreprises","102","59",NA,NA,NA
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Accueil des jeunes enfants","4 - Grandes entreprises","7","1",NA,NA,NA
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide a domicile","1 - Micro entreprise","2822","2162",NA,NA,NA
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide a domicile","2 - Petites entreprises","4486","3545","108335","74812","1649140752"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide a domicile","3 - Moyennes entreprises","1044","748",NA,NA,NA
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide a domicile","4 - Grandes entreprises","84","67","41109","30497","677817878"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide par le travail","1 - Micro entreprise","339","124",NA,NA,NA
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide par le travail","2 - Petites entreprises","780","206","20604","17608","409696299"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide par le travail","3 - Moyennes entreprises","1180","224","127087","107403","1791820096"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide par le travail","4 - Grandes entreprises","54","13",NA,NA,NA
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Autres actions sociales","1 - Micro entreprise","9344","5997","29229","27582","797391815"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Autres actions sociales","2 - Petites entreprises","5640","2918","121559","100533","2856853431"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Autres actions sociales","3 - Moyennes entreprises","1247","809","113208","95329","2551263013"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Autres actions sociales","4 - Grandes entreprises","122","72","56990","49893","1474438088"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Hebergement medico-social et social","1 - Micro entreprise","3718","1324","15332","17113","492854014"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Hebergement medico-social et social","2 - Petites entreprises","7163","2467","209094","181711","5126896594"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Hebergement medico-social et social","3 - Moyennes entreprises","6051","3014","460152","405556","11282933728"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Hebergement medico-social et social","4 - Grandes entreprises","72","47","30757","28113","830078029"
"France entière","ESS","Ensemble des secteurs d'activité","Ensemble","Tous établissements","211379","157726","2340650","2053268","65145282426"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Ensemble","Tous établissements","1906437","1579597","14828160","13905244","519263022427"
"France entière","Public","Ensemble des secteurs d'activité","Ensemble","Tous établissements","142025","65266","5685809","5263292","177339932448"
"France entière","ESS","Ensemble des secteurs d'activité","Ensemble","1 - Micro entreprise","164080","131418","335719","328795","10246460279"
"France entière","ESS","Ensemble des secteurs d'activité","Ensemble","2 - Petites entreprises","36791","20998","793204","671116","20728497338"
"France entière","ESS","Ensemble des secteurs d'activité","Ensemble","3 - Moyennes entreprises","9847","4937","864236","740691","21891687501"
"France entière","ESS","Ensemble des secteurs d'activité","Ensemble","4 - Grandes entreprises","661","373","347491","312666","12278637308"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Ensemble","1 - Micro entreprise","1645523","1402229","3830986","3744590","113097669425"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Ensemble","2 - Petites entreprises","217247","152778","4268646","3929378","136839898944"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Ensemble","3 - Moyennes entreprises","38278","21892","3748676","3443132","135140260778"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Ensemble","4 - Grandes entreprises","5389","2698","2979852","2788144","134185193280"
"France entière","Public","Ensemble des secteurs d'activité","Ensemble","1 - Micro entreprise","83936","37850","309728","283221","8954880341"
"France entière","Public","Ensemble des secteurs d'activité","Ensemble","2 - Petites entreprises","38538","13745","813068","748904","24318399724"
"France entière","Public","Ensemble des secteurs d'activité","Ensemble","3 - Moyennes entreprises","16233","11427","1580078","1454920","49935721278"
"France entière","Public","Ensemble des secteurs d'activité","Ensemble","4 - Grandes entreprises","3318","2244","2982935","2776247","94130931105"
"France entière","ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Tous établissements","4020","2675","41089","35258","854933140"
"France entière","ESS","Ensemble des secteurs d'activité","Aide a domicile","Tous établissements","4461","3655","163377","118956","2705161027"
"France entière","ESS","Ensemble des secteurs d'activité","Aide par le travail","Tous établissements","2141","471","153986","133291","2287043407"
"France entière","ESS","Ensemble des secteurs d'activité","Autres actions sociales","Tous établissements","11687","6252","189874","156800","4423002924"
"France entière","ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Tous établissements","11104","3257","402548","349403","9935803126"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Tous établissements","4017","2141","32826","26788","601613523"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Tous établissements","3571","2755","71700","49235","1028519950"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Tous établissements","102","63","3299","2975","67458663"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Tous établissements","485","334","6347","5277","164218222"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Tous établissements","2362","1726","103100","91649","2535004093"
"France entière","Public","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Tous établissements","736","65","16339","15139","417892421"
"France entière","Public","Ensemble des secteurs d'activité","Aide a domicile","Tous établissements","404","112","13762","11114","249232627"
"France entière","Public","Ensemble des secteurs d'activité","Aide par le travail","Tous établissements","110","33","8860","5496","143992350"
"France entière","Public","Ensemble des secteurs d'activité","Autres actions sociales","Tous établissements","4181","3210","124765","111259","3092725201"
"France entière","Public","Ensemble des secteurs d'activité","Hebergement medico-social et social","Tous établissements","3538","1869","209687","191441","5261955146"
"France entière","ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","1 - Micro entreprise","2402","1667",NA,NA,"238965635"
"France entière","ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","2 - Petites entreprises","1573","977","26417","22384","546397957"
"France entière","ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","3 - Moyennes entreprises","45","31",NA,NA,"69569548"
"France entière","ESS","Ensemble des secteurs d'activité","Aide a domicile","1 - Micro entreprise","1138","877",NA,NA,NA
"France entière","ESS","Ensemble des secteurs d'activité","Aide a domicile","2 - Petites entreprises","2619","2217","63097","44096","999239659"
"France entière","ESS","Ensemble des secteurs d'activité","Aide a domicile","3 - Moyennes entreprises","622","496",NA,NA,"923928593"
"France entière","ESS","Ensemble des secteurs d'activité","Aide a domicile","4 - Grandes entreprises","82","65",NA,NA,NA
"France entière","ESS","Ensemble des secteurs d'activité","Aide par le travail","1 - Micro entreprise","307","106","1022","1900","43439526"
"France entière","ESS","Ensemble des secteurs d'activité","Aide par le travail","2 - Petites entreprises","686","164","18094","15525","357778740"
"France entière","ESS","Ensemble des secteurs d'activité","Aide par le travail","3 - Moyennes entreprises","1100","193","119596","102743","1677593334"
"France entière","ESS","Ensemble des secteurs d'activité","Aide par le travail","4 - Grandes entreprises","48","8","15274","13123","208231807"
"France entière","ESS","Ensemble des secteurs d'activité","Autres actions sociales","1 - Micro entreprise","6597","3818",NA,NA,NA
"France entière","ESS","Ensemble des secteurs d'activité","Autres actions sociales","2 - Petites entreprises","4275","1973","91997","74416","2147068737"
"France entière","ESS","Ensemble des secteurs d'activité","Autres actions sociales","3 - Moyennes entreprises","788","439","65006","52864","1399822031"
"France entière","ESS","Ensemble des secteurs d'activité","Autres actions sociales","4 - Grandes entreprises","27","22",NA,NA,NA
"France entière","ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","1 - Micro entreprise","2781","905","11635","12715","373705237"
"France entière","ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","2 - Petites entreprises","5114","1255","142859","122377","3517038761"
"France entière","ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","3 - Moyennes entreprises","3186","1082","239178","206480","5814782025"
"France entière","ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","4 - Grandes entreprises","23","15","8876","7830","230277103"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","1 - Micro entreprise","2949","1652","12187","10395",NA
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","2 - Petites entreprises","1031","463","17299","13817","310162167"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","3 - Moyennes entreprises","35","25",NA,NA,NA
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","4 - Grandes entreprises","2","1",NA,NA,NA
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","1 - Micro entreprise","1595","1248",NA,NA,NA
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","2 - Petites entreprises","1633","1271",NA,NA,NA
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","3 - Moyennes entreprises","341","234","26019","17550","364819198"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","4 - Grandes entreprises","2","2",NA,NA,NA
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","1 - Micro entreprise","24","18",NA,NA,NA
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","2 - Petites entreprises","57","35","1413","1236","28122385"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","3 - Moyennes entreprises","20","9",NA,NA,NA
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","4 - Grandes entreprises","1","1",NA,NA,NA
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","1 - Micro entreprise","339","244",NA,NA,NA
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","2 - Petites entreprises","119","74",NA,NA,NA
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","3 - Moyennes entreprises","25","15","2313","1872","71843243"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","4 - Grandes entreprises","2","1",NA,NA,NA
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","1 - Micro entreprise","390","290","1369","2089","57439249"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","2 - Petites entreprises","903","720","31864","28180","772302277"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","3 - Moyennes entreprises","1066","716","69103","60729","1686578461"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","4 - Grandes entreprises","3","0","764","651","18684106"
"France entière","Public","Ensemble des secteurs d'activité","Accueil des jeunes enfants","1 - Micro entreprise","243","36",NA,NA,NA
"France entière","Public","Ensemble des secteurs d'activité","Accueil des jeunes enfants","2 - Petites entreprises","466","26","10603","9870","264502028"
"France entière","Public","Ensemble des secteurs d'activité","Accueil des jeunes enfants","3 - Moyennes entreprises","22","3",NA,NA,NA
"France entière","Public","Ensemble des secteurs d'activité","Accueil des jeunes enfants","4 - Grandes entreprises","5","0",NA,NA,NA
"France entière","Public","Ensemble des secteurs d'activité","Aide a domicile","1 - Micro entreprise","89","37",NA,NA,NA
"France entière","Public","Ensemble des secteurs d'activité","Aide a domicile","2 - Petites entreprises","234","57",NA,NA,NA
"France entière","Public","Ensemble des secteurs d'activité","Aide a domicile","3 - Moyennes entreprises","81","18",NA,NA,NA
"France entière","Public","Ensemble des secteurs d'activité","Aide par le travail","1 - Micro entreprise","8","0",NA,NA,NA
"France entière","Public","Ensemble des secteurs d'activité","Aide par le travail","2 - Petites entreprises","37","7","1097","847","23795174"
"France entière","Public","Ensemble des secteurs d'activité","Aide par le travail","3 - Moyennes entreprises","60","22",NA,NA,NA
"France entière","Public","Ensemble des secteurs d'activité","Aide par le travail","4 - Grandes entreprises","5","4",NA,NA,NA
"France entière","Public","Ensemble des secteurs d'activité","Autres actions sociales","1 - Micro entreprise","2408","1935",NA,NA,NA
"France entière","Public","Ensemble des secteurs d'activité","Autres actions sociales","2 - Petites entreprises","1246","871",NA,NA,NA
"France entière","Public","Ensemble des secteurs d'activité","Autres actions sociales","3 - Moyennes entreprises","434","355","45889","40593","1079597739"
"France entière","Public","Ensemble des secteurs d'activité","Autres actions sociales","4 - Grandes entreprises","93","49","45354","40616","1197627157"
"France entière","Public","Ensemble des secteurs d'activité","Hebergement medico-social et social","1 - Micro entreprise","547","129","2328","2309","61709528"
"France entière","Public","Ensemble des secteurs d'activité","Hebergement medico-social et social","2 - Petites entreprises","1146","492","34371","31154","837555556"
"France entière","Public","Ensemble des secteurs d'activité","Hebergement medico-social et social","3 - Moyennes entreprises","1799","1216","151871","138347","3781573242"
"France entière","Public","Ensemble des secteurs d'activité","Hebergement medico-social et social","4 - Grandes entreprises","46","32","21117","19632","581116820"
"France entière","ESS","ACTION SOCIALE (QB)","Ensemble","Tous établissements","33413","16310","950874","793707","20205943624"
"France entière","ESS","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Tous établissements","15823","2160","255239","247673","11580264708"
"France entière","ESS","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Tous établissements","1421","1253",NA,NA,NA
"France entière","ESS","ARTS SPECTACLES (RZ1)","Ensemble","Tous établissements","21516","20511","33130","37639","1202741566"
"France entière","ESS","ENSEIGNEMENT (PZ)","Ensemble","Tous établissements","20388","15972","317680","279865","9487299826"
"France entière","ESS","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Tous établissements","3416","2179","23526","24221","659249710"
"France entière","ESS","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Tous établissements","2576","2126","52462","49693","1698678075"
