"DEP","typo_Mut","typo_Mut_det","type_emploi","nb_poste"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Aides","39"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Ordinaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Ordinaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Aides","1698"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Ordinaires","81659"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Stagiaires","s"
"1","Ensemble","Ensemble","Ensemble","888"
"2","Ensemble","Ensemble","Ensemble","411"
"3","Ensemble","Ensemble","Ensemble","586"
"4","Ensemble","Ensemble","Ensemble","242"
"5","Ensemble","Ensemble","Ensemble","104"
"6","Ensemble","Ensemble","Ensemble","1379"
"7","Ensemble","Ensemble","Ensemble","887"
"8","Ensemble","Ensemble","Ensemble","335"
"9","Ensemble","Ensemble","Ensemble","86"
"10","Ensemble","Ensemble","Ensemble","421"
"11","Ensemble","Ensemble","Ensemble","332"
"12","Ensemble","Ensemble","Ensemble","919"
"13","Ensemble","Ensemble","Ensemble","3756"
"14","Ensemble","Ensemble","Ensemble","1483"
"15","Ensemble","Ensemble","Ensemble","202"
"16","Ensemble","Ensemble","Ensemble","1016"
"17","Ensemble","Ensemble","Ensemble","720"
"18","Ensemble","Ensemble","Ensemble","505"
"19","Ensemble","Ensemble","Ensemble","292"
"21","Ensemble","Ensemble","Ensemble","3902"
"22","Ensemble","Ensemble","Ensemble","1242"
"23","Ensemble","Ensemble","Ensemble","497"
"24","Ensemble","Ensemble","Ensemble","195"
"25","Ensemble","Ensemble","Ensemble","1430"
"26","Ensemble","Ensemble","Ensemble","2789"
"27","Ensemble","Ensemble","Ensemble","263"
"28","Ensemble","Ensemble","Ensemble","s"
"29","Ensemble","Ensemble","Ensemble","2259"
"2A","Ensemble","Ensemble","Ensemble","228"
"2B","Ensemble","Ensemble","Ensemble","290"
"30","Ensemble","Ensemble","Ensemble","847"
"31","Ensemble","Ensemble","Ensemble","2591"
"32","Ensemble","Ensemble","Ensemble","230"
"33","Ensemble","Ensemble","Ensemble","3164"
"34","Ensemble","Ensemble","Ensemble","4307"
"35","Ensemble","Ensemble","Ensemble","2574"
"36","Ensemble","Ensemble","Ensemble","173"
"37","Ensemble","Ensemble","Ensemble","2223"
"38","Ensemble","Ensemble","Ensemble","4026"
"39","Ensemble","Ensemble","Ensemble","540"
"40","Ensemble","Ensemble","Ensemble","263"
"41","Ensemble","Ensemble","Ensemble","619"
"42","Ensemble","Ensemble","Ensemble","3047"
"43","Ensemble","Ensemble","Ensemble","252"
"44","Ensemble","Ensemble","Ensemble","3786"
"45","Ensemble","Ensemble","Ensemble","2319"
"46","Ensemble","Ensemble","Ensemble","424"
"47","Ensemble","Ensemble","Ensemble","533"
"48","Ensemble","Ensemble","Ensemble","46"
"49","Ensemble","Ensemble","Ensemble","2489"
"50","Ensemble","Ensemble","Ensemble","191"
"51","Ensemble","Ensemble","Ensemble","995"
"52","Ensemble","Ensemble","Ensemble","192"
"53","Ensemble","Ensemble","Ensemble","482"
"54","Ensemble","Ensemble","Ensemble","1508"
"55","Ensemble","Ensemble","Ensemble","126"
"56","Ensemble","Ensemble","Ensemble","2313"
"57","Ensemble","Ensemble","Ensemble","549"
"58","Ensemble","Ensemble","Ensemble","404"
"59","Ensemble","Ensemble","Ensemble","2946"
"60","Ensemble","Ensemble","Ensemble","1097"
"61","Ensemble","Ensemble","Ensemble","395"
"62","Ensemble","Ensemble","Ensemble","1302"
"63","Ensemble","Ensemble","Ensemble","1203"
"64","Ensemble","Ensemble","Ensemble","957"
"65","Ensemble","Ensemble","Ensemble","495"
"66","Ensemble","Ensemble","Ensemble","735"
"67","Ensemble","Ensemble","Ensemble","1396"
"68","Ensemble","Ensemble","Ensemble","1099"
"69","Ensemble","Ensemble","Ensemble","3690"
"70","Ensemble","Ensemble","Ensemble","273"
"71","Ensemble","Ensemble","Ensemble","1270"
"72","Ensemble","Ensemble","Ensemble","642"
"73","Ensemble","Ensemble","Ensemble","534"
"74","Ensemble","Ensemble","Ensemble","1059"
"75","Ensemble","Ensemble","Ensemble","14358"
"76","Ensemble","Ensemble","Ensemble","3759"
"77","Ensemble","Ensemble","Ensemble","1201"
"78","Ensemble","Ensemble","Ensemble","1836"
"79","Ensemble","Ensemble","Ensemble","8474"
"80","Ensemble","Ensemble","Ensemble","530"
"81","Ensemble","Ensemble","Ensemble","1203"
"82","Ensemble","Ensemble","Ensemble","646"
"83","Ensemble","Ensemble","Ensemble","1717"
"84","Ensemble","Ensemble","Ensemble","758"
"85","Ensemble","Ensemble","Ensemble","961"
"86","Ensemble","Ensemble","Ensemble","991"
"87","Ensemble","Ensemble","Ensemble","986"
"88","Ensemble","Ensemble","Ensemble","379"
"89","Ensemble","Ensemble","Ensemble","622"
"90","Ensemble","Ensemble","Ensemble","353"
"91","Ensemble","Ensemble","Ensemble","859"
"92","Ensemble","Ensemble","Ensemble","2923"
"93","Ensemble","Ensemble","Ensemble","1363"
"94","Ensemble","Ensemble","Ensemble","1397"
"95","Ensemble","Ensemble","Ensemble","516"
"971","Ensemble","Ensemble","Ensemble","299"
"972","Ensemble","Ensemble","Ensemble","502"
"973","Ensemble","Ensemble","Ensemble","s"
"974","Ensemble","Ensemble","Ensemble","694"
"1","Ensemble","Ensemble","Aides","s"
"1","Ensemble","Ensemble","Apprentis","s"
"1","Ensemble","Ensemble","Ordinaires","862"
"2","Ensemble","Ensemble","Aides","s"
"2","Ensemble","Ensemble","Apprentis","s"
"2","Ensemble","Ensemble","Ordinaires","407"
"3","Ensemble","Ensemble","Aides","s"
"3","Ensemble","Ensemble","Apprentis","s"
"3","Ensemble","Ensemble","Ordinaires","578"
"4","Ensemble","Ensemble","Aides","s"
"4","Ensemble","Ensemble","Apprentis","s"
"4","Ensemble","Ensemble","Ordinaires","233"
"5","Ensemble","Ensemble","Aides","s"
"5","Ensemble","Ensemble","Ordinaires","s"
"6","Ensemble","Ensemble","Aides","24"
"6","Ensemble","Ensemble","Apprentis","s"
"6","Ensemble","Ensemble","Ordinaires","1349"
"6","Ensemble","Ensemble","Stagiaires","s"
"7","Ensemble","Ensemble","Aides","s"
"7","Ensemble","Ensemble","Apprentis","s"
"7","Ensemble","Ensemble","Ordinaires","847"
"8","Ensemble","Ensemble","Aides","s"
"8","Ensemble","Ensemble","Apprentis","s"
"8","Ensemble","Ensemble","Ordinaires","320"
"9","Ensemble","Ensemble","Aides","s"
"9","Ensemble","Ensemble","Apprentis","s"
"9","Ensemble","Ensemble","Ordinaires","81"
"10","Ensemble","Ensemble","Aides","s"
"10","Ensemble","Ensemble","Apprentis","s"
"10","Ensemble","Ensemble","Ordinaires","415"
"11","Ensemble","Ensemble","Aides","s"
"11","Ensemble","Ensemble","Apprentis","s"
"11","Ensemble","Ensemble","Ordinaires","321"
"12","Ensemble","Ensemble","Aides","11"
"12","Ensemble","Ensemble","Apprentis","6"
"12","Ensemble","Ensemble","Ordinaires","902"
"13","Ensemble","Ensemble","Aides","99"
"13","Ensemble","Ensemble","Apprentis","16"
"13","Ensemble","Ensemble","Ordinaires","3634"
"13","Ensemble","Ensemble","Stagiaires","7"
"14","Ensemble","Ensemble","Aides","s"
"14","Ensemble","Ensemble","Apprentis","s"
"14","Ensemble","Ensemble","Ordinaires","1456"
"15","Ensemble","Ensemble","Aides","s"
"15","Ensemble","Ensemble","Apprentis","s"
"15","Ensemble","Ensemble","Ordinaires","198"
"16","Ensemble","Ensemble","Aides","70"
"16","Ensemble","Ensemble","Apprentis","5"
"16","Ensemble","Ensemble","Ordinaires","941"
"17","Ensemble","Ensemble","Aides","10"
"17","Ensemble","Ensemble","Apprentis","s"
"17","Ensemble","Ensemble","Ordinaires","701"
"17","Ensemble","Ensemble","Stagiaires","s"
"18","Ensemble","Ensemble","Aides","11"
"18","Ensemble","Ensemble","Apprentis","s"
"18","Ensemble","Ensemble","Ordinaires","491"
"18","Ensemble","Ensemble","Stagiaires","s"
"19","Ensemble","Ensemble","Aides","s"
"19","Ensemble","Ensemble","Ordinaires","s"
"21","Ensemble","Ensemble","Aides","106"
"21","Ensemble","Ensemble","Apprentis","s"
"21","Ensemble","Ensemble","Ordinaires","3778"
"21","Ensemble","Ensemble","Stagiaires","s"
"22","Ensemble","Ensemble","Aides","s"
"22","Ensemble","Ensemble","Apprentis","s"
"22","Ensemble","Ensemble","Ordinaires","1222"
"23","Ensemble","Ensemble","Aides","s"
"23","Ensemble","Ensemble","Apprentis","s"
"23","Ensemble","Ensemble","Ordinaires","491"
"23","Ensemble","Ensemble","Stagiaires","s"
"24","Ensemble","Ensemble","Aides","s"
"24","Ensemble","Ensemble","Apprentis","s"
"24","Ensemble","Ensemble","Ordinaires","183"
"25","Ensemble","Ensemble","Aides","37"
"25","Ensemble","Ensemble","Apprentis","s"
"25","Ensemble","Ensemble","Ordinaires","1385"
"25","Ensemble","Ensemble","Stagiaires","s"
"26","Ensemble","Ensemble","Aides","52"
"26","Ensemble","Ensemble","Apprentis","s"
"26","Ensemble","Ensemble","Ordinaires","2720"
"26","Ensemble","Ensemble","Stagiaires","s"
"27","Ensemble","Ensemble","Aides","s"
"27","Ensemble","Ensemble","Apprentis","s"
"27","Ensemble","Ensemble","Ordinaires","257"
"28","Ensemble","Ensemble","Aides","s"
"28","Ensemble","Ensemble","Apprentis","12"
"28","Ensemble","Ensemble","Ordinaires","s"
"29","Ensemble","Ensemble","Aides","61"
"29","Ensemble","Ensemble","Apprentis","s"
"29","Ensemble","Ensemble","Ordinaires","2194"
"29","Ensemble","Ensemble","Stagiaires","s"
"2A","Ensemble","Ensemble","Apprentis","s"
"2A","Ensemble","Ensemble","Ordinaires","s"
"2B","Ensemble","Ensemble","Aides","s"
"2B","Ensemble","Ensemble","Apprentis","s"
"2B","Ensemble","Ensemble","Ordinaires","286"
"30","Ensemble","Ensemble","Aides","10"
"30","Ensemble","Ensemble","Apprentis","13"
"30","Ensemble","Ensemble","Ordinaires","824"
"31","Ensemble","Ensemble","Aides","111"
"31","Ensemble","Ensemble","Apprentis","s"
"31","Ensemble","Ensemble","Ordinaires","2462"
"31","Ensemble","Ensemble","Stagiaires","s"
"32","Ensemble","Ensemble","Aides","7"
"32","Ensemble","Ensemble","Ordinaires","223"
"33","Ensemble","Ensemble","Aides","25"
"33","Ensemble","Ensemble","Apprentis","s"
"33","Ensemble","Ensemble","Ordinaires","3123"
"33","Ensemble","Ensemble","Stagiaires","s"
"34","Ensemble","Ensemble","Aides","59"
"34","Ensemble","Ensemble","Apprentis","s"
"34","Ensemble","Ensemble","Ordinaires","4231"
"34","Ensemble","Ensemble","Stagiaires","s"
"35","Ensemble","Ensemble","Aides","46"
"35","Ensemble","Ensemble","Apprentis","s"
"35","Ensemble","Ensemble","Ordinaires","2518"
"35","Ensemble","Ensemble","Stagiaires","s"
"36","Ensemble","Ensemble","Apprentis","10"
"36","Ensemble","Ensemble","Ordinaires","163"
"37","Ensemble","Ensemble","Aides","56"
"37","Ensemble","Ensemble","Apprentis","10"
"37","Ensemble","Ensemble","Ordinaires","2152"
"37","Ensemble","Ensemble","Stagiaires","5"
"38","Ensemble","Ensemble","Aides","73"
"38","Ensemble","Ensemble","Apprentis","13"
"38","Ensemble","Ensemble","Ordinaires","3929"
"38","Ensemble","Ensemble","Stagiaires","11"
"39","Ensemble","Ensemble","Aides","s"
"39","Ensemble","Ensemble","Apprentis","s"
"39","Ensemble","Ensemble","Ordinaires","507"
"40","Ensemble","Ensemble","Aides","s"
"40","Ensemble","Ensemble","Apprentis","s"
"40","Ensemble","Ensemble","Ordinaires","248"
"41","Ensemble","Ensemble","Aides","18"
"41","Ensemble","Ensemble","Apprentis","s"
"41","Ensemble","Ensemble","Ordinaires","596"
"41","Ensemble","Ensemble","Stagiaires","s"
"42","Ensemble","Ensemble","Aides","29"
"42","Ensemble","Ensemble","Apprentis","11"
"42","Ensemble","Ensemble","Ordinaires","2994"
"42","Ensemble","Ensemble","Stagiaires","13"
"43","Ensemble","Ensemble","Aides","s"
"43","Ensemble","Ensemble","Ordinaires","s"
"44","Ensemble","Ensemble","Aides","42"
"44","Ensemble","Ensemble","Apprentis","27"
"44","Ensemble","Ensemble","Ordinaires","3717"
"45","Ensemble","Ensemble","Aides","s"
"45","Ensemble","Ensemble","Apprentis","39"
"45","Ensemble","Ensemble","Ordinaires","2239"
"45","Ensemble","Ensemble","Stagiaires","s"
"46","Ensemble","Ensemble","Aides","s"
"46","Ensemble","Ensemble","Apprentis","s"
"46","Ensemble","Ensemble","Ordinaires","399"
"47","Ensemble","Ensemble","Aides","s"
"47","Ensemble","Ensemble","Apprentis","s"
"47","Ensemble","Ensemble","Ordinaires","521"
"47","Ensemble","Ensemble","Stagiaires","s"
"48","Ensemble","Ensemble","Ordinaires","46"
"49","Ensemble","Ensemble","Aides","s"
"49","Ensemble","Ensemble","Apprentis","s"
"49","Ensemble","Ensemble","Ordinaires","2328"
"50","Ensemble","Ensemble","Aides","5"
"50","Ensemble","Ensemble","Ordinaires","186"
"51","Ensemble","Ensemble","Aides","s"
"51","Ensemble","Ensemble","Apprentis","s"
"51","Ensemble","Ensemble","Ordinaires","971"
"52","Ensemble","Ensemble","Aides","s"
"52","Ensemble","Ensemble","Apprentis","s"
"52","Ensemble","Ensemble","Ordinaires","181"
"53","Ensemble","Ensemble","Aides","s"
"53","Ensemble","Ensemble","Apprentis","s"
"53","Ensemble","Ensemble","Ordinaires","470"
"54","Ensemble","Ensemble","Aides","30"
"54","Ensemble","Ensemble","Apprentis","8"
"54","Ensemble","Ensemble","Ordinaires","1465"
"54","Ensemble","Ensemble","Stagiaires","5"
"55","Ensemble","Ensemble","Aides","s"
"55","Ensemble","Ensemble","Apprentis","s"
"55","Ensemble","Ensemble","Ordinaires","121"
"56","Ensemble","Ensemble","Aides","67"
"56","Ensemble","Ensemble","Apprentis","6"
"56","Ensemble","Ensemble","Ordinaires","2240"
"57","Ensemble","Ensemble","Aides","8"
"57","Ensemble","Ensemble","Apprentis","6"
"57","Ensemble","Ensemble","Ordinaires","535"
"58","Ensemble","Ensemble","Aides","s"
"58","Ensemble","Ensemble","Apprentis","s"
"58","Ensemble","Ensemble","Ordinaires","398"
"59","Ensemble","Ensemble","Aides","37"
"59","Ensemble","Ensemble","Apprentis","s"
"59","Ensemble","Ensemble","Ordinaires","2891"
"59","Ensemble","Ensemble","Stagiaires","s"
"60","Ensemble","Ensemble","Aides","30"
"60","Ensemble","Ensemble","Apprentis","s"
"60","Ensemble","Ensemble","Ordinaires","1063"
"60","Ensemble","Ensemble","Stagiaires","s"
"61","Ensemble","Ensemble","Aides","s"
"61","Ensemble","Ensemble","Ordinaires","s"
"62","Ensemble","Ensemble","Aides","15"
"62","Ensemble","Ensemble","Apprentis","s"
"62","Ensemble","Ensemble","Ordinaires","1276"
"62","Ensemble","Ensemble","Stagiaires","s"
"63","Ensemble","Ensemble","Aides","28"
"63","Ensemble","Ensemble","Apprentis","12"
"63","Ensemble","Ensemble","Ordinaires","1163"
"64","Ensemble","Ensemble","Aides","s"
"64","Ensemble","Ensemble","Apprentis","s"
"64","Ensemble","Ensemble","Ordinaires","951"
"65","Ensemble","Ensemble","Aides","s"
"65","Ensemble","Ensemble","Apprentis","s"
"65","Ensemble","Ensemble","Ordinaires","480"
"66","Ensemble","Ensemble","Aides","s"
"66","Ensemble","Ensemble","Apprentis","s"
"66","Ensemble","Ensemble","Ordinaires","718"
"67","Ensemble","Ensemble","Aides","16"
"67","Ensemble","Ensemble","Apprentis","12"
"67","Ensemble","Ensemble","Ordinaires","1368"
"68","Ensemble","Ensemble","Aides","s"
"68","Ensemble","Ensemble","Apprentis","s"
"68","Ensemble","Ensemble","Ordinaires","1088"
"69","Ensemble","Ensemble","Aides","110"
"69","Ensemble","Ensemble","Apprentis","s"
"69","Ensemble","Ensemble","Ordinaires","3548"
"69","Ensemble","Ensemble","Stagiaires","s"
"70","Ensemble","Ensemble","Aides","s"
"70","Ensemble","Ensemble","Apprentis","s"
"70","Ensemble","Ensemble","Ordinaires","267"
"71","Ensemble","Ensemble","Aides","s"
"71","Ensemble","Ensemble","Apprentis","s"
"71","Ensemble","Ensemble","Ordinaires","1249"
"72","Ensemble","Ensemble","Aides","s"
"72","Ensemble","Ensemble","Apprentis","9"
"72","Ensemble","Ensemble","Ordinaires","627"
"72","Ensemble","Ensemble","Stagiaires","s"
"73","Ensemble","Ensemble","Aides","s"
"73","Ensemble","Ensemble","Ordinaires","s"
"74","Ensemble","Ensemble","Aides","19"
"74","Ensemble","Ensemble","Apprentis","s"
"74","Ensemble","Ensemble","Ordinaires","1032"
"74","Ensemble","Ensemble","Stagiaires","s"
"75","Ensemble","Ensemble","Aides","206"
"75","Ensemble","Ensemble","Apprentis","138"
"75","Ensemble","Ensemble","Ordinaires","13978"
"75","Ensemble","Ensemble","Stagiaires","36"
"76","Ensemble","Ensemble","Aides","67"
"76","Ensemble","Ensemble","Apprentis","s"
"76","Ensemble","Ensemble","Ordinaires","3676"
"76","Ensemble","Ensemble","Stagiaires","s"
"77","Ensemble","Ensemble","Aides","12"
"77","Ensemble","Ensemble","Apprentis","s"
"77","Ensemble","Ensemble","Ordinaires","1177"
"77","Ensemble","Ensemble","Stagiaires","s"
"78","Ensemble","Ensemble","Aides","s"
"78","Ensemble","Ensemble","Apprentis","19"
"78","Ensemble","Ensemble","Ordinaires","1695"
"78","Ensemble","Ensemble","Stagiaires","s"
"79","Ensemble","Ensemble","Aides","260"
"79","Ensemble","Ensemble","Apprentis","s"
"79","Ensemble","Ensemble","Ordinaires","8093"
"79","Ensemble","Ensemble","Stagiaires","s"
"80","Ensemble","Ensemble","Aides","s"
"80","Ensemble","Ensemble","Apprentis","s"
"80","Ensemble","Ensemble","Ordinaires","519"
"81","Ensemble","Ensemble","Aides","s"
"81","Ensemble","Ensemble","Apprentis","s"
"81","Ensemble","Ensemble","Ordinaires","1191"
"82","Ensemble","Ensemble","Aides","s"
"82","Ensemble","Ensemble","Apprentis","s"
"82","Ensemble","Ensemble","Ordinaires","623"
"83","Ensemble","Ensemble","Aides","43"
"83","Ensemble","Ensemble","Apprentis","s"
"83","Ensemble","Ensemble","Ordinaires","1673"
"83","Ensemble","Ensemble","Stagiaires","s"
"84","Ensemble","Ensemble","Aides","9"
"84","Ensemble","Ensemble","Apprentis","s"
"84","Ensemble","Ensemble","Ordinaires","748"
"84","Ensemble","Ensemble","Stagiaires","s"
"85","Ensemble","Ensemble","Aides","s"
"85","Ensemble","Ensemble","Apprentis","s"
"85","Ensemble","Ensemble","Ordinaires","934"
"86","Ensemble","Ensemble","Aides","52"
"86","Ensemble","Ensemble","Apprentis","10"
"86","Ensemble","Ensemble","Ordinaires","929"
"87","Ensemble","Ensemble","Aides","9"
"87","Ensemble","Ensemble","Apprentis","s"
"87","Ensemble","Ensemble","Ordinaires","969"
"87","Ensemble","Ensemble","Stagiaires","s"
"88","Ensemble","Ensemble","Aides","6"
"88","Ensemble","Ensemble","Ordinaires","373"
"89","Ensemble","Ensemble","Aides","16"
"89","Ensemble","Ensemble","Apprentis","s"
"89","Ensemble","Ensemble","Ordinaires","601"
"89","Ensemble","Ensemble","Stagiaires","s"
"90","Ensemble","Ensemble","Aides","5"
"90","Ensemble","Ensemble","Apprentis","6"
"90","Ensemble","Ensemble","Ordinaires","342"
"91","Ensemble","Ensemble","Aides","s"
"91","Ensemble","Ensemble","Apprentis","s"
"91","Ensemble","Ensemble","Ordinaires","810"
"92","Ensemble","Ensemble","Aides","s"
"92","Ensemble","Ensemble","Apprentis","73"
"92","Ensemble","Ensemble","Ordinaires","2785"
"92","Ensemble","Ensemble","Stagiaires","s"
"93","Ensemble","Ensemble","Aides","s"
"93","Ensemble","Ensemble","Apprentis","s"
"93","Ensemble","Ensemble","Ordinaires","1351"
"94","Ensemble","Ensemble","Aides","s"
"94","Ensemble","Ensemble","Apprentis","36"
"94","Ensemble","Ensemble","Ordinaires","1327"
"94","Ensemble","Ensemble","Stagiaires","s"
"95","Ensemble","Ensemble","Aides","12"
"95","Ensemble","Ensemble","Apprentis","s"
"95","Ensemble","Ensemble","Ordinaires","501"
"95","Ensemble","Ensemble","Stagiaires","s"
"971","Ensemble","Ensemble","Aides","s"
"971","Ensemble","Ensemble","Apprentis","s"
"971","Ensemble","Ensemble","Ordinaires","292"
"972","Ensemble","Ensemble","Aides","s"
"972","Ensemble","Ensemble","Apprentis","s"
"972","Ensemble","Ensemble","Ordinaires","487"
"973","Ensemble","Ensemble","Ordinaires","s"
"974","Ensemble","Ensemble","Aides","23"
"974","Ensemble","Ensemble","Apprentis","s"
"974","Ensemble","Ensemble","Ordinaires","666"
"974","Ensemble","Ensemble","Stagiaires","s"
"1","Ensemble","Action sociale sans hebergement","Ensemble","s"
"1","Ensemble","Activites de services financiers et d assurances","Ensemble","10"
"1","Ensemble","Assurances","Ensemble","403"
"1","Ensemble","Hebergement medico-social et social","Ensemble","s"
"2","Ensemble","Activites de services financiers et d assurances","Ensemble","9"
"2","Ensemble","Assurances","Ensemble","360"
"2","Ensemble","Hebergement medico-social et social","Ensemble","s"
"3","Ensemble","Action sociale sans hebergement","Ensemble","66"
"3","Ensemble","Activites de services financiers et d assurances","Ensemble","s"
"3","Ensemble","Assurances","Ensemble","s"
"4","Ensemble","Activites de services financiers et d assurances","Ensemble","s"
"4","Ensemble","Assurances","Ensemble","s"
"5","Ensemble","Assurances","Ensemble","s"
"6","Ensemble","Action sociale sans hebergement","Ensemble","194"
"6","Ensemble","Activites de services financiers et d assurances","Ensemble","s"
"6","Ensemble","Assurances","Ensemble","s"
"7","Ensemble","Action sociale sans hebergement","Ensemble","s"
"7","Ensemble","Activites de services financiers et d assurances","Ensemble","s"
"7","Ensemble","Assurances","Ensemble","s"
"7","Ensemble","Hebergement medico-social et social","Ensemble","s"
"8","Ensemble","Action sociale sans hebergement","Ensemble","s"
"8","Ensemble","Activites de services financiers et d assurances","Ensemble","s"
"8","Ensemble","Assurances","Ensemble","s"
"8","Ensemble","Hebergement medico-social et social","Ensemble","s"
"9","Ensemble","Assurances","Ensemble","51"
"10","Ensemble","Activites de services financiers et d assurances","Ensemble","s"
"10","Ensemble","Assurances","Ensemble","s"
"11","Ensemble","Activites de services financiers et d assurances","Ensemble","s"
"11","Ensemble","Assurances","Ensemble","s"
"12","Ensemble","Activites de services financiers et d assurances","Ensemble","s"
"12","Ensemble","Assurances","Ensemble","s"
"12","Ensemble","Hebergement medico-social et social","Ensemble","s"
"13","Ensemble","Action sociale sans hebergement","Ensemble","108"
"13","Ensemble","Activites de services financiers et d assurances","Ensemble","153"
"13","Ensemble","Assurances","Ensemble","2564"
"13","Ensemble","Hebergement medico-social et social","Ensemble","215"
"14","Ensemble","Action sociale sans hebergement","Ensemble","208"
