"","EPCI","jurid1","nb_etab","eff_31","eff_EQTP","rem_brut","non_annexe","dep_epci","nom_complet"
"28",200000628,"1-ASSO+FOND",40,"501","372.12","9869454","436","84","CC Rhône Lez Provence"
"29",200000628,"1A-ASSOCIATIONS",40,"501","372.12","9869454","436","84","CC Rhône Lez Provence"
"30",200000628,"2-COOPERATIVES",6,"s","s","s","s","84","CC Rhône Lez Provence"
"31",200000628,"3-MUTUELLES",2,"s","s","s","s","84","CC Rhône Lez Provence"
"32",200000628,"4-ESS",48,"547","427.85","11868284","479","84","CC Rhône Lez Provence"
"33",200000628,"5-HORS ESS",732,"6266","5589.78","176887767","5902","84","CC Rhône Lez Provence"
"34",200000628,"5A-PUBLIC",36,"1111","971.54","29441281","1049","84","CC Rhône Lez Provence"
"35",200000628,"5B-PRIVE",696,"5155","4618.24","147446486","4853","84","CC Rhône Lez Provence"
"36",200000628,"6-TOTAL",780,"6813","6017.63","188756051","6381","84","CC Rhône Lez Provence"
"37",200000800,"1-ASSO+FOND",38,"555","507.41","14676663","520","41","CC Coeur de Sologne"
"38",200000800,"1A-ASSOCIATIONS",38,"555","507.41","14676663","520","41","CC Coeur de Sologne"
"39",200000800,"2-COOPERATIVES",3,"19","17.33","579348","19","41","CC Coeur de Sologne"
"40",200000800,"4-ESS",41,"574","524.74","15256011","539","41","CC Coeur de Sologne"
"41",200000800,"5-HORS ESS",308,"2709","2367.14","71210563","2508","41","CC Coeur de Sologne"
"42",200000800,"5A-PUBLIC",25,"450","396.2","11162458","419","41","CC Coeur de Sologne"
"43",200000800,"5B-PRIVE",283,"2259","1970.94","60048105","2089","41","CC Coeur de Sologne"
"44",200000800,"6-TOTAL",349,"3283","2891.88","86466574","3047","41","CC Coeur de Sologne"
"45",200000925,"1-ASSO+FOND",25,"142","64.76","1427125","91","21","CC de la Plaine Dijonnaise"
"46",200000925,"1A-ASSOCIATIONS",25,"142","64.76","1427125","91","21","CC de la Plaine Dijonnaise"
"47",200000925,"2-COOPERATIVES",9,"s","s","s","s","21","CC de la Plaine Dijonnaise"
"48",200000925,"3-MUTUELLES",1,"s","s","s","s","21","CC de la Plaine Dijonnaise"
"49",200000925,"4-ESS",35,"270","175.55","5102164","212","21","CC de la Plaine Dijonnaise"
"50",200000925,"5-HORS ESS",403,"2945","2595.05","78202007","2791","21","CC de la Plaine Dijonnaise"
"51",200000925,"5A-PUBLIC",75,"649","506.9","14725904","578","21","CC de la Plaine Dijonnaise"
"52",200000925,"5B-PRIVE",328,"2296","2088.15","63476103","2213","21","CC de la Plaine Dijonnaise"
"53",200000925,"6-TOTAL",438,"3215","2770.6","83304171","3003","21","CC de la Plaine Dijonnaise"
"54",200000933,"1-ASSO+FOND",49,"406","309.31","7001351","363","18","CC Sauldre et Sologne"
"55",200000933,"1A-ASSOCIATIONS",49,"406","309.31","7001351","363","18","CC Sauldre et Sologne"
"56",200000933,"2-COOPERATIVES",4,"s","s","s","s","18","CC Sauldre et Sologne"
"57",200000933,"3-MUTUELLES",2,"s","s","s","s","18","CC Sauldre et Sologne"
"58",200000933,"4-ESS",55,"423","325.76","7698075","380","18","CC Sauldre et Sologne"
"59",200000933,"5-HORS ESS",462,"3658","3321.94","105325038","3482","18","CC Sauldre et Sologne"
"60",200000933,"5A-PUBLIC",42,"583","493.93","13661489","511","18","CC Sauldre et Sologne"
"61",200000933,"5B-PRIVE",420,"3075","2828.01","91663549","2971","18","CC Sauldre et Sologne"
"62",200000933,"6-TOTAL",517,"4081","3647.7","113023113","3862","18","CC Sauldre et Sologne"
"63",200004802,"1-ASSO+FOND",50,"245","157.73","4122516","194","83","CC du Pays de Fayence"
"64",200004802,"1A-ASSOCIATIONS",50,"245","157.73","4122516","194","83","CC du Pays de Fayence"
"65",200004802,"2-COOPERATIVES",5,"13","14","573199","13","83","CC du Pays de Fayence"
"66",200004802,"3-MUTUELLES",4,"88","72.13","1882526","86","83","CC du Pays de Fayence"
"67",200004802,"4-ESS",59,"346","243.86","6578241","293","83","CC du Pays de Fayence"
"68",200004802,"5-HORS ESS",964,"4256","3893.74","109903123","4034","83","CC du Pays de Fayence"
"69",200004802,"5A-PUBLIC",39,"1004","915.88","25283130","965","83","CC du Pays de Fayence"
"70",200004802,"5B-PRIVE",925,"3252","2977.86","84619993","3069","83","CC du Pays de Fayence"
"71",200004802,"6-TOTAL",1023,"4602","4137.6","116481364","4327","83","CC du Pays de Fayence"
"72",200005932,"1-ASSO+FOND",45,"313","217.67","5567575","261","45","CC des Portes de Sologne"
"73",200005932,"1A-ASSOCIATIONS",45,"313","217.67","5567575","261","45","CC des Portes de Sologne"
"74",200005932,"2-COOPERATIVES",6,"31","26.78","903812","29","45","CC des Portes de Sologne"
"75",200005932,"4-ESS",51,"344","244.45","6471387","290","45","CC des Portes de Sologne"
"76",200005932,"5-HORS ESS",343,"3405","3097.24","124670556","3270","45","CC des Portes de Sologne"
"77",200005932,"5A-PUBLIC",27,"576","494.2","15490908","533","45","CC des Portes de Sologne"
"78",200005932,"5B-PRIVE",316,"2829","2603.04","109179648","2737","45","CC des Portes de Sologne"
"79",200005932,"6-TOTAL",394,"3749","3341.69","131141943","3560","45","CC des Portes de Sologne"
"80",200005957,"1-ASSO+FOND",32,"469","378.95","10145926","443","88","CC de la Région de Rambervillers"
"81",200005957,"1A-ASSOCIATIONS",32,"469","378.95","10145926","443","88","CC de la Région de Rambervillers"
"82",200005957,"2-COOPERATIVES",4,"10","9.31","371165","9","88","CC de la Région de Rambervillers"
"83",200005957,"4-ESS",36,"479","388.26","10517091","452","88","CC de la Région de Rambervillers"
"84",200005957,"5-HORS ESS",371,"2526","2228.69","66911138","2349","88","CC de la Région de Rambervillers"
"85",200005957,"5A-PUBLIC",68,"588","423.83","11790493","490","88","CC de la Région de Rambervillers"
"86",200005957,"5B-PRIVE",303,"1938","1804.86","55120645","1859","88","CC de la Région de Rambervillers"
"87",200005957,"6-TOTAL",407,"3005","2616.95","77428229","2801","88","CC de la Région de Rambervillers"
"88",200006716,"1-ASSO+FOND",32,"269","228.27","4885331","251","10","CC du Nogentais"
"89",200006716,"1A-ASSOCIATIONS",32,"269","228.27","4885331","251","10","CC du Nogentais"
"90",200006716,"2-COOPERATIVES",7,"21","22.58","899461","21","10","CC du Nogentais"
"91",200006716,"4-ESS",39,"290","250.85","5784792","272","10","CC du Nogentais"
"92",200006716,"5-HORS ESS",453,"5255","4842.62","194630837","4981","10","CC du Nogentais"
"93",200006716,"5A-PUBLIC",64,"1059","927.83","26119070","971","10","CC du Nogentais"
"94",200006716,"5B-PRIVE",389,"4196","3914.79","168511767","4010","10","CC du Nogentais"
"95",200006716,"6-TOTAL",492,"5545","5093.47","200415629","5253","10","CC du Nogentais"
"96",200006930,"1-ASSO+FOND",25,"s","s","s","s","48","CC du Haut Allier"
"97",200006930,"1A-ASSOCIATIONS",25,"s","s","s","s","48","CC du Haut Allier"
"98",200006930,"2-COOPERATIVES",1,"s","s","s","s","48","CC du Haut Allier"
"99",200006930,"4-ESS",26,"567","494.3","12755761","544","48","CC du Haut Allier"
"100",200006930,"5-HORS ESS",225,"1108","986.28","28479559","1037","48","CC du Haut Allier"
"101",200006930,"5A-PUBLIC",32,"438","383.28","10887676","408","48","CC du Haut Allier"
"102",200006930,"5B-PRIVE",193,"670","603","17591883","629","48","CC du Haut Allier"
"103",200006930,"6-TOTAL",251,"1675","1480.58","41235320","1581","48","CC du Haut Allier"
"104",200006971,"1-ASSO+FOND",57,"477","372.12","9468953","433","28","CC du Perche"
"105",200006971,"1A-ASSOCIATIONS",56,"s","s","s","s","28","CC du Perche"
"106",200006971,"1B-FONDATIONS",1,"s","s","s","s","28","CC du Perche"
"107",200006971,"2-COOPERATIVES",11,"s","s","s","s","28","CC du Perche"
"108",200006971,"3-MUTUELLES",2,"s","s","s","s","28","CC du Perche"
"109",200006971,"4-ESS",70,"590","484.27","13490741","545","28","CC du Perche"
"110",200006971,"5-HORS ESS",645,"5801","5156.59","157430450","5450","28","CC du Perche"
"111",200006971,"5A-PUBLIC",85,"1503","1271.31","40175833","1364","28","CC du Perche"
"112",200006971,"5B-PRIVE",560,"4298","3885.28","117254617","4086","28","CC du Perche"
"113",200006971,"6-TOTAL",715,"6391","5640.86","170921191","5995","28","CC du Perche"
"114",200007052,"1-ASSO+FOND",22,"s","s","s","s","36","CC de la Marche Berrichonne"
"115",200007052,"1A-ASSOCIATIONS",22,"s","s","s","s","36","CC de la Marche Berrichonne"
"116",200007052,"2-COOPERATIVES",1,"s","s","s","s","36","CC de la Marche Berrichonne"
"117",200007052,"4-ESS",23,"138","91.9","2360300","123","36","CC de la Marche Berrichonne"
"118",200007052,"5-HORS ESS",178,"690","586.42","14368281","632","36","CC de la Marche Berrichonne"
"119",200007052,"5A-PUBLIC",18,"164","146.43","3700295","151","36","CC de la Marche Berrichonne"
"120",200007052,"5B-PRIVE",160,"526","439.99","10667986","481","36","CC de la Marche Berrichonne"
"121",200007052,"6-TOTAL",201,"828","678.32","16728581","755","36","CC de la Marche Berrichonne"
"122",200007177,"1-ASSO+FOND",13,"s","s","s","s","18","CC Pays de Nérondes"
"123",200007177,"1A-ASSOCIATIONS",13,"s","s","s","s","18","CC Pays de Nérondes"
"124",200007177,"2-COOPERATIVES",2,"s","s","s","s","18","CC Pays de Nérondes"
"125",200007177,"4-ESS",15,"235","177.29","4929916","216","18","CC Pays de Nérondes"
"126",200007177,"5-HORS ESS",119,"410","342.31","8903438","374","18","CC Pays de Nérondes"
"127",200007177,"5A-PUBLIC",21,"144","108.17","2903634","122","18","CC Pays de Nérondes"
"128",200007177,"5B-PRIVE",98,"266","234.14","5999804","252","18","CC Pays de Nérondes"
"129",200007177,"6-TOTAL",134,"645","519.6","13833354","590","18","CC Pays de Nérondes"
"130",200011781,"1-ASSO+FOND",9,"12","9.26","247016","11","18","CC Portes du Berry entre Loire et Val d'Aubois"
"131",200011781,"1A-ASSOCIATIONS",9,"12","9.26","247016","11","18","CC Portes du Berry entre Loire et Val d'Aubois"
"132",200011781,"2-COOPERATIVES",4,"15","16.02","537833","15","18","CC Portes du Berry entre Loire et Val d'Aubois"
"133",200011781,"4-ESS",13,"27","25.28","784849","26","18","CC Portes du Berry entre Loire et Val d'Aubois"
"134",200011781,"5-HORS ESS",202,"1058","952.52","28714067","1004","18","CC Portes du Berry entre Loire et Val d'Aubois"
"135",200011781,"5A-PUBLIC",35,"322","276.45","7560338","301","18","CC Portes du Berry entre Loire et Val d'Aubois"
"136",200011781,"5B-PRIVE",167,"736","676.07","21153729","703","18","CC Portes du Berry entre Loire et Val d'Aubois"
"137",200011781,"6-TOTAL",215,"1085","977.8","29498916","1030","18","CC Portes du Berry entre Loire et Val d'Aubois"
"138",200013050,"1-ASSO+FOND",21,"305","202.13","5413182","269","67","CC Sauer-Pechelbronn"
"139",200013050,"1A-ASSOCIATIONS",20,"s","s","s","s","67","CC Sauer-Pechelbronn"
"140",200013050,"1B-FONDATIONS",1,"s","s","s","s","67","CC Sauer-Pechelbronn"
"141",200013050,"2-COOPERATIVES",6,"21","19.11","852339","21","67","CC Sauer-Pechelbronn"
"142",200013050,"4-ESS",27,"326","221.24","6265521","290","67","CC Sauer-Pechelbronn"
"143",200013050,"5-HORS ESS",365,"2735","2301.24","68197391","2537","67","CC Sauer-Pechelbronn"
"144",200013050,"5A-PUBLIC",55,"441","334.7","10227778","398","67","CC Sauer-Pechelbronn"
"145",200013050,"5B-PRIVE",310,"2294","1966.54","57969613","2139","67","CC Sauer-Pechelbronn"
"146",200013050,"6-TOTAL",392,"3061","2522.48","74462912","2827","67","CC Sauer-Pechelbronn"
"147",200015162,"1-ASSO+FOND",12,"89","60.65","1528426","86","2B","CC de l'Oriente"
"148",200015162,"1A-ASSOCIATIONS",12,"89","60.65","1528426","86","2B","CC de l'Oriente"
"149",200015162,"2-COOPERATIVES",7,"92","106.74","4221699","92","2B","CC de l'Oriente"
"150",200015162,"4-ESS",19,"181","167.39","5750125","178","2B","CC de l'Oriente"
"151",200015162,"5-HORS ESS",299,"1562","1221.32","31626249","1485","2B","CC de l'Oriente"
"152",200015162,"5A-PUBLIC",25,"197","172.09","5445320","184","2B","CC de l'Oriente"
"153",200015162,"5B-PRIVE",274,"1365","1049.23","26180929","1301","2B","CC de l'Oriente"
"154",200015162,"6-TOTAL",318,"1743","1388.71","37376374","1663","2B","CC de l'Oriente"
"155",200016905,"1-ASSO+FOND",26,"115","90.9","2675362","102","07","CC du Pays de Lamastre"
"156",200016905,"1A-ASSOCIATIONS",26,"115","90.9","2675362","102","07","CC du Pays de Lamastre"
"157",200016905,"2-COOPERATIVES",5,"s","s","s","s","07","CC du Pays de Lamastre"
"158",200016905,"3-MUTUELLES",1,"s","s","s","s","07","CC du Pays de Lamastre"
"159",200016905,"4-ESS",32,"141","110.84","3294433","128","07","CC du Pays de Lamastre"
"160",200016905,"5-HORS ESS",213,"1006","865.79","23124391","966","07","CC du Pays de Lamastre"
"161",200016905,"5A-PUBLIC",25,"320","262.23","7557301","312","07","CC du Pays de Lamastre"
"162",200016905,"5B-PRIVE",188,"686","603.56","15567090","654","07","CC du Pays de Lamastre"
"163",200016905,"6-TOTAL",245,"1147","976.63","26418824","1094","07","CC du Pays de Lamastre"
"164",200017341,"1-ASSO+FOND",93,"431","351.95","8587335","405","34","CC Lodévois et Larzac"
"165",200017341,"1A-ASSOCIATIONS",93,"431","351.95","8587335","405","34","CC Lodévois et Larzac"
"166",200017341,"2-COOPERATIVES",3,"s","s","s","s","34","CC Lodévois et Larzac"
"167",200017341,"3-MUTUELLES",1,"s","s","s","s","34","CC Lodévois et Larzac"
"168",200017341,"4-ESS",97,"444","365.24","9027153","417","34","CC Lodévois et Larzac"
"169",200017341,"5-HORS ESS",432,"2955","2554.27","70698000","2789","34","CC Lodévois et Larzac"
"170",200017341,"5A-PUBLIC",66,"1436","1244.31","34998568","1349","34","CC Lodévois et Larzac"
"171",200017341,"5B-PRIVE",366,"1519","1309.96","35699432","1440","34","CC Lodévois et Larzac"
"172",200017341,"6-TOTAL",529,"3399","2919.51","79725153","3206","34","CC Lodévois et Larzac"
"173",200018083,"1-ASSO+FOND",40,"716","487.01","12866424","647","62","CC de Desvres-Samer"
"174",200018083,"1A-ASSOCIATIONS",39,"s","s","s","s","62","CC de Desvres-Samer"
"175",200018083,"1B-FONDATIONS",1,"s","s","s","s","62","CC de Desvres-Samer"
"176",200018083,"2-COOPERATIVES",9,"s","s","s","s","62","CC de Desvres-Samer"
"177",200018083,"3-MUTUELLES",1,"s","s","s","s","62","CC de Desvres-Samer"
"178",200018083,"4-ESS",50,"758","528.89","14457740","688","62","CC de Desvres-Samer"
"179",200018083,"5-HORS ESS",541,"4018","3331.68","100717707","3665","62","CC de Desvres-Samer"
"180",200018083,"5A-PUBLIC",82,"1129","805.19","22391119","914","62","CC de Desvres-Samer"
"181",200018083,"5B-PRIVE",459,"2889","2526.49","78326588","2751","62","CC de Desvres-Samer"
"182",200018083,"6-TOTAL",591,"4776","3860.57","115175447","4353","62","CC de Desvres-Samer"
"183",200018166,"1-ASSO+FOND",273,"1806","1120.9","30777761","1413","38","CC Le Grésivaudan"
"184",200018166,"1A-ASSOCIATIONS",268,"1567","930.44","25667053","1184","38","CC Le Grésivaudan"
"185",200018166,"1B-FONDATIONS",5,"239","190.46","5110708","229","38","CC Le Grésivaudan"
"186",200018166,"2-COOPERATIVES",22,"119","117.7","5399992","118","38","CC Le Grésivaudan"
"187",200018166,"3-MUTUELLES",8,"241","197.2","5683784","230","38","CC Le Grésivaudan"
"188",200018166,"4-ESS",303,"2166","1435.8","41861537","1761","38","CC Le Grésivaudan"
"189",200018166,"5-HORS ESS",2778,"31205","26616.64","1101150183","29001","38","CC Le Grésivaudan"
"190",200018166,"5A-PUBLIC",193,"5157","3987.22","124792907","4499","38","CC Le Grésivaudan"
"191",200018166,"5B-PRIVE",2585,"26048","22629.42","976357276","24502","38","CC Le Grésivaudan"
"192",200018166,"6-TOTAL",3081,"33371","28052.44","1143011720","30762","38","CC Le Grésivaudan"
"193",200018406,"1-ASSO+FOND",62,"465","327.79","7900825","409","41","CC du Romorantinais et du Monestois"
"194",200018406,"1A-ASSOCIATIONS",62,"465","327.79","7900825","409","41","CC du Romorantinais et du Monestois"
"195",200018406,"2-COOPERATIVES",8,"133","86.22","3075092","116","41","CC du Romorantinais et du Monestois"
"196",200018406,"3-MUTUELLES",6,"19","17.28","700099","19","41","CC du Romorantinais et du Monestois"
"197",200018406,"4-ESS",76,"617","431.29","11676016","544","41","CC du Romorantinais et du Monestois"
"198",200018406,"5-HORS ESS",935,"9033","8040.24","241287821","8529","41","CC du Romorantinais et du Monestois"
"199",200018406,"5A-PUBLIC",76,"2449","2184.78","68830922","2326","41","CC du Romorantinais et du Monestois"
"200",200018406,"5B-PRIVE",859,"6584","5855.46","172456899","6203","41","CC du Romorantinais et du Monestois"
"201",200018406,"6-TOTAL",1011,"9650","8471.53","252963837","9073","41","CC du Romorantinais et du Monestois"
"202",200018521,"1-ASSO+FOND",25,"130","85.44","1731254","110","36","CC du Val de Bouzanne"
"203",200018521,"1A-ASSOCIATIONS",25,"130","85.44","1731254","110","36","CC du Val de Bouzanne"
"204",200018521,"4-ESS",25,"130","85.44","1731254","110","36","CC du Val de Bouzanne"
"205",200018521,"5-HORS ESS",175,"749","616.54","16129928","675","36","CC du Val de Bouzanne"
"206",200018521,"5A-PUBLIC",27,"208","149.26","3938006","177","36","CC du Val de Bouzanne"
"207",200018521,"5B-PRIVE",148,"541","467.28","12191922","498","36","CC du Val de Bouzanne"
"208",200018521,"6-TOTAL",200,"879","701.98","17861182","785","36","CC du Val de Bouzanne"
"209",200022986,"1-ASSO+FOND",131,"678","435.94","10454159","575","34","CC du Grand Pic Saint-Loup"
"210",200022986,"1A-ASSOCIATIONS",131,"678","435.94","10454159","575","34","CC du Grand Pic Saint-Loup"
"211",200022986,"2-COOPERATIVES",8,"139","140.93","6394952","137","34","CC du Grand Pic Saint-Loup"
"212",200022986,"3-MUTUELLES",3,"68","42.53","1233714","59","34","CC du Grand Pic Saint-Loup"
"213",200022986,"4-ESS",142,"885","619.4","18082825","771","34","CC du Grand Pic Saint-Loup"
"214",200022986,"5-HORS ESS",1290,"9848","8417.35","254210757","9306","34","CC du Grand Pic Saint-Loup"
"215",200022986,"5A-PUBLIC",88,"3747","3058.53","93555833","3544","34","CC du Grand Pic Saint-Loup"
"216",200022986,"5B-PRIVE",1202,"6101","5358.82","160654924","5762","34","CC du Grand Pic Saint-Loup"
"217",200022986,"6-TOTAL",1432,"10733","9036.75","272293582","10077","34","CC du Grand Pic Saint-Loup"
"218",200023075,"1-ASSO+FOND",42,"435","314.68","7482659","402","25","CC du Pays de Maîche"
"219",200023075,"1A-ASSOCIATIONS",42,"435","314.68","7482659","402","25","CC du Pays de Maîche"
"220",200023075,"2-COOPERATIVES",12,"s","s","s","s","25","CC du Pays de Maîche"
"221",200023075,"3-MUTUELLES",2,"s","s","s","s","25","CC du Pays de Maîche"
"222",200023075,"4-ESS",56,"581","440.99","11785358","543","25","CC du Pays de Maîche"
"223",200023075,"5-HORS ESS",447,"2627","2260.82","72476964","2466","25","CC du Pays de Maîche"
"224",200023075,"5A-PUBLIC",75,"457","313.69","9070776","371","25","CC du Pays de Maîche"
"225",200023075,"5B-PRIVE",372,"2170","1947.13","63406188","2095","25","CC du Pays de Maîche"
"226",200023075,"6-TOTAL",503,"3208","2701.81","84262322","3009","25","CC du Pays de Maîche"
"227",200023125,"1-ASSO+FOND",66,"1379","1122.84","38762033","1255","77","CC Les Portes Briardes Entre Villes et Forêts"
"228",200023125,"1A-ASSOCIATIONS",63,"744","555.62","16153751","642","77","CC Les Portes Briardes Entre Villes et Forêts"
"229",200023125,"1B-FONDATIONS",3,"635","567.22","22608282","613","77","CC Les Portes Briardes Entre Villes et Forêts"
"230",200023125,"2-COOPERATIVES",6,"31","30.47","1463383","30","77","CC Les Portes Briardes Entre Villes et Forêts"
"231",200023125,"4-ESS",72,"1410","1153.31","40225416","1285","77","CC Les Portes Briardes Entre Villes et Forêts"
"232",200023125,"5-HORS ESS",1253,"9893","8656.38","292044583","9235","77","CC Les Portes Briardes Entre Villes et Forêts"
"233",200023125,"5A-PUBLIC",65,"2205","1916.17","58803507","2020","77","CC Les Portes Briardes Entre Villes et Forêts"
"234",200023125,"5B-PRIVE",1188,"7688","6740.21","233241076","7215","77","CC Les Portes Briardes Entre Villes et Forêts"
"235",200023125,"6-TOTAL",1325,"11303","9809.69","332269999","10520","77","CC Les Portes Briardes Entre Villes et Forêts"
"236",200023240,"1-ASSO+FOND",68,"601","470.93","11709081","557","77","CC Pays de Nemours"
"237",200023240,"1A-ASSOCIATIONS",68,"601","470.93","11709081","557","77","CC Pays de Nemours"
"238",200023240,"2-COOPERATIVES",4,"30","28.55","1340127","30","77","CC Pays de Nemours"
"239",200023240,"3-MUTUELLES",6,"170","138.43","7955017","163","77","CC Pays de Nemours"
"240",200023240,"4-ESS",78,"801","637.91","21004225","750","77","CC Pays de Nemours"
"241",200023240,"5-HORS ESS",752,"7598","6754.97","229458010","7194","77","CC Pays de Nemours"
"242",200023240,"5A-PUBLIC",86,"2238","1977.77","65862824","2093","77","CC Pays de Nemours"
"243",200023240,"5B-PRIVE",666,"5360","4777.2","163595186","5101","77","CC Pays de Nemours"
"244",200023240,"6-TOTAL",830,"8399","7392.88","250462235","7944","77","CC Pays de Nemours"
"245",200023299,"1-ASSO+FOND",40,"320","218.33","6826854","265","73","CC Coeur de Tarentaise"
"246",200023299,"1A-ASSOCIATIONS",40,"320","218.33","6826854","265","73","CC Coeur de Tarentaise"
"247",200023299,"2-COOPERATIVES",6,"s","s","s","s","73","CC Coeur de Tarentaise"
"248",200023299,"3-MUTUELLES",1,"s","s","s","s","73","CC Coeur de Tarentaise"
"249",200023299,"4-ESS",47,"422","299.28","9641713","359","73","CC Coeur de Tarentaise"
"250",200023299,"5-HORS ESS",933,"8427","5574.22","178497056","6232","73","CC Coeur de Tarentaise"
"251",200023299,"5A-PUBLIC",48,"1304","1086.51","36986023","1220","73","CC Coeur de Tarentaise"
"252",200023299,"5B-PRIVE",885,"7123","4487.71","141511033","5012","73","CC Coeur de Tarentaise"
"253",200023299,"6-TOTAL",980,"8849","5873.5","188138769","6591","73","CC Coeur de Tarentaise"
"254",200023372,"1-ASSO+FOND",49,"424","328.13","9929206","358","74","CC de la Vallée de Chamonix-Mont-Blanc"
"255",200023372,"1A-ASSOCIATIONS",48,"s","s","s","s","74","CC de la Vallée de Chamonix-Mont-Blanc"
"256",200023372,"1B-FONDATIONS",1,"s","s","s","s","74","CC de la Vallée de Chamonix-Mont-Blanc"
"257",200023372,"2-COOPERATIVES",4,"23","22.42","909421","23","74","CC de la Vallée de Chamonix-Mont-Blanc"
"258",200023372,"4-ESS",53,"447","350.55","10838627","381","74","CC de la Vallée de Chamonix-Mont-Blanc"
"259",200023372,"5-HORS ESS",1044,"7038","5573.9","175143694","5568","74","CC de la Vallée de Chamonix-Mont-Blanc"
"260",200023372,"5A-PUBLIC",37,"1166","1018.86","32001766","1095","74","CC de la Vallée de Chamonix-Mont-Blanc"
"261",200023372,"5B-PRIVE",1007,"5872","4555.04","143141928","4473","74","CC de la Vallée de Chamonix-Mont-Blanc"
"262",200023372,"6-TOTAL",1097,"7485","5924.45","185982321","5949","74","CC de la Vallée de Chamonix-Mont-Blanc"
"263",200023620,"1-ASSO+FOND",53,"563","455.92","11272479","518","32","CC de la Gascogne Toulousaine"
"264",200023620,"1A-ASSOCIATIONS",53,"563","455.92","11272479","518","32","CC de la Gascogne Toulousaine"
"265",200023620,"2-COOPERATIVES",6,"s","s","s","s","32","CC de la Gascogne Toulousaine"
"266",200023620,"3-MUTUELLES",1,"s","s","s","s","32","CC de la Gascogne Toulousaine"
"267",200023620,"4-ESS",60,"649","537.54","14179637","603","32","CC de la Gascogne Toulousaine"
"268",200023620,"5-HORS ESS",556,"4998","4181.53","128335206","4754","32","CC de la Gascogne Toulousaine"
"269",200023620,"5A-PUBLIC",48,"1294","1064.32","29394671","1219","32","CC de la Gascogne Toulousaine"
"270",200023620,"5B-PRIVE",508,"3704","3117.21","98940535","3535","32","CC de la Gascogne Toulousaine"
"271",200023620,"6-TOTAL",616,"5647","4719.07","142514843","5357","32","CC de la Gascogne Toulousaine"
"272",200023778,"1-ASSO+FOND",125,"1020","805.95","21294831","917","85","CA du Pays de Saint-Gilles-Croix-de-Vie"
"273",200023778,"1A-ASSOCIATIONS",124,"s","s","s","s","85","CA du Pays de Saint-Gilles-Croix-de-Vie"
