"DEP","ESS","famille","sexe","type_emploi","nb_poste"
"France entière","ESS","Ensemble","Femmes","Ordinaires","1465078"
"France entière","ESS","Ensemble","Femmes","Stagiaires","5194"
"France entière","ESS","Ensemble","Hommes","Aides","75083"
"France entière","ESS","Ensemble","Hommes","Apprentis","8368"
"France entière","ESS","Ensemble","Hommes","Ordinaires","682472"
"France entière","ESS","Ensemble","Hommes","Stagiaires","2372"
"France entière","Hors ESS","Ensemble","Femmes","Aides","178665"
"France entière","Hors ESS","Ensemble","Femmes","Apprentis","131065"
"France entière","Hors ESS","Ensemble","Femmes","Ordinaires","9338422"
"France entière","Hors ESS","Ensemble","Femmes","Stagiaires","19074"
"France entière","Hors ESS","Ensemble","Hommes","Aides","139879"
"France entière","Hors ESS","Ensemble","Hommes","Apprentis","271230"
"France entière","Hors ESS","Ensemble","Hommes","Ordinaires","10491305"
"France entière","Hors ESS","Ensemble","Hommes","Stagiaires","19445"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble","Ensemble","303916"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble","Ensemble","132915"
"France entière","ESS + Hors ESS","3. Association","Ensemble","Ensemble","1787426"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble","Ensemble","96296"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble","Ensemble","14938337"
"France entière","ESS + Hors ESS","Public","Ensemble","Ensemble","5650748"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble","Aides","6457"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble","Apprentis","4782"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble","Ordinaires","292169"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble","Stagiaires","508"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble","Aides","2539"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble","Apprentis","913"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble","Ordinaires","129331"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble","Stagiaires","132"
"France entière","ESS + Hors ESS","3. Association","Ensemble","Aides","138292"
"France entière","ESS + Hors ESS","3. Association","Ensemble","Apprentis","9983"
"France entière","ESS + Hors ESS","3. Association","Ensemble","Ordinaires","1632850"
"France entière","ESS + Hors ESS","3. Association","Ensemble","Stagiaires","6301"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble","Aides","2108"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble","Apprentis","363"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble","Ordinaires","93200"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble","Stagiaires","625"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble","Aides","228859"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble","Apprentis","381370"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble","Ordinaires","14290116"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble","Stagiaires","37992"
"France entière","ESS + Hors ESS","Public","Ensemble","Aides","89685"
"France entière","ESS + Hors ESS","Public","Ensemble","Apprentis","20925"
"France entière","ESS + Hors ESS","Public","Ensemble","Ordinaires","5539611"
"France entière","ESS + Hors ESS","Public","Ensemble","Stagiaires","527"
"France entière","ESS + Hors ESS","1. Coopérative","Femmes","Ensemble","148128"
"France entière","ESS + Hors ESS","1. Coopérative","Hommes","Ensemble","155788"
"France entière","ESS + Hors ESS","2. Mutuelle","Femmes","Ensemble","97635"
"France entière","ESS + Hors ESS","2. Mutuelle","Hommes","Ensemble","35280"
"France entière","ESS + Hors ESS","3. Association","Femmes","Ensemble","1236105"
"France entière","ESS + Hors ESS","3. Association","Hommes","Ensemble","551321"
"France entière","ESS + Hors ESS","4. Fondation","Femmes","Ensemble","70390"
"France entière","ESS + Hors ESS","4. Fondation","Hommes","Ensemble","25906"
"France entière","ESS + Hors ESS","Privé Hors ESS","Femmes","Ensemble","6109212"
"France entière","ESS + Hors ESS","Privé Hors ESS","Hommes","Ensemble","8829125"
"France entière","ESS + Hors ESS","Public","Femmes","Ensemble","3558014"
"France entière","ESS + Hors ESS","Public","Hommes","Ensemble","2092734"
"France entière","ESS + Hors ESS","1. Coopérative","Femmes","Aides","3229"
"France entière","ESS + Hors ESS","1. Coopérative","Femmes","Apprentis","1890"
"France entière","ESS + Hors ESS","1. Coopérative","Femmes","Ordinaires","142746"
"France entière","ESS + Hors ESS","1. Coopérative","Femmes","Stagiaires","263"
"France entière","ESS + Hors ESS","1. Coopérative","Hommes","Aides","3228"
"France entière","ESS + Hors ESS","1. Coopérative","Hommes","Apprentis","2892"
"France entière","ESS + Hors ESS","1. Coopérative","Hommes","Ordinaires","149423"
"France entière","ESS + Hors ESS","1. Coopérative","Hommes","Stagiaires","245"
"France entière","ESS + Hors ESS","2. Mutuelle","Femmes","Aides","1710"
"France entière","ESS + Hors ESS","2. Mutuelle","Femmes","Apprentis","578"
"France entière","ESS + Hors ESS","2. Mutuelle","Femmes","Ordinaires","95250"
"France entière","ESS + Hors ESS","2. Mutuelle","Femmes","Stagiaires","97"
"France entière","ESS + Hors ESS","2. Mutuelle","Hommes","Aides","829"
"France entière","ESS + Hors ESS","2. Mutuelle","Hommes","Apprentis","335"
"France entière","ESS + Hors ESS","2. Mutuelle","Hommes","Ordinaires","34081"
"France entière","ESS + Hors ESS","2. Mutuelle","Hommes","Stagiaires","35"
"France entière","ESS + Hors ESS","3. Association","Femmes","Aides","68157"
"France entière","ESS + Hors ESS","3. Association","Femmes","Apprentis","4962"
"France entière","ESS + Hors ESS","3. Association","Femmes","Ordinaires","1158591"
"France entière","ESS + Hors ESS","3. Association","Femmes","Stagiaires","4395"
"France entière","ESS + Hors ESS","3. Association","Hommes","Aides","70135"
"France entière","ESS + Hors ESS","3. Association","Hommes","Apprentis","5021"
"France entière","ESS + Hors ESS","3. Association","Hommes","Ordinaires","474259"
"France entière","ESS + Hors ESS","3. Association","Hommes","Stagiaires","1906"
"France entière","ESS + Hors ESS","4. Fondation","Femmes","Aides","1217"
"France entière","ESS + Hors ESS","4. Fondation","Femmes","Apprentis","243"
"France entière","ESS + Hors ESS","4. Fondation","Femmes","Ordinaires","68491"
"France entière","ESS + Hors ESS","4. Fondation","Femmes","Stagiaires","439"
"France entière","ESS + Hors ESS","4. Fondation","Hommes","Aides","891"
"France entière","ESS + Hors ESS","4. Fondation","Hommes","Apprentis","120"
"France entière","ESS + Hors ESS","4. Fondation","Hommes","Ordinaires","24709"
"France entière","ESS + Hors ESS","4. Fondation","Hommes","Stagiaires","186"
"France entière","ESS + Hors ESS","Privé Hors ESS","Femmes","Aides","115264"
"France entière","ESS + Hors ESS","Privé Hors ESS","Femmes","Apprentis","120520"
"France entière","ESS + Hors ESS","Privé Hors ESS","Femmes","Ordinaires","5854593"
"France entière","ESS + Hors ESS","Privé Hors ESS","Femmes","Stagiaires","18835"
"France entière","ESS + Hors ESS","Privé Hors ESS","Hommes","Aides","113595"
"France entière","ESS + Hors ESS","Privé Hors ESS","Hommes","Apprentis","260850"
"France entière","ESS + Hors ESS","Privé Hors ESS","Hommes","Ordinaires","8435523"
"France entière","ESS + Hors ESS","Privé Hors ESS","Hommes","Stagiaires","19157"
"France entière","ESS + Hors ESS","Public","Femmes","Aides","63401"
"France entière","ESS + Hors ESS","Public","Femmes","Apprentis","10545"
"France entière","ESS + Hors ESS","Public","Femmes","Ordinaires","3483829"
"France entière","ESS + Hors ESS","Public","Femmes","Stagiaires","239"
"France entière","ESS + Hors ESS","Public","Hommes","Aides","26284"
"France entière","ESS + Hors ESS","Public","Hommes","Apprentis","10380"
"France entière","ESS + Hors ESS","Public","Hommes","Ordinaires","2055782"
"France entière","ESS + Hors ESS","Public","Hommes","Stagiaires","288"
"France entière","ESS","1. Coopérative","Ensemble","Ensemble","303916"
"France entière","ESS","2. Mutuelle","Ensemble","Ensemble","132915"
"France entière","ESS","3. Association","Ensemble","Ensemble","1787426"
"France entière","ESS","4. Fondation","Ensemble","Ensemble","96296"
"France entière","Hors ESS","Privé Hors ESS","Ensemble","Ensemble","14938337"
"France entière","Hors ESS","Public","Ensemble","Ensemble","5650748"
"France entière","ESS","1. Coopérative","Ensemble","Aides","6457"
"France entière","ESS","1. Coopérative","Ensemble","Apprentis","4782"
"France entière","ESS","1. Coopérative","Ensemble","Ordinaires","292169"
"France entière","ESS","1. Coopérative","Ensemble","Stagiaires","508"
"France entière","ESS","2. Mutuelle","Ensemble","Aides","2539"
"France entière","ESS","2. Mutuelle","Ensemble","Apprentis","913"
"France entière","ESS","2. Mutuelle","Ensemble","Ordinaires","129331"
"France entière","ESS","2. Mutuelle","Ensemble","Stagiaires","132"
"France entière","ESS","3. Association","Ensemble","Aides","138292"
"France entière","ESS","3. Association","Ensemble","Apprentis","9983"
"France entière","ESS","3. Association","Ensemble","Ordinaires","1632850"
"France entière","ESS","3. Association","Ensemble","Stagiaires","6301"
"France entière","ESS","4. Fondation","Ensemble","Aides","2108"
"France entière","ESS","4. Fondation","Ensemble","Apprentis","363"
"France entière","ESS","4. Fondation","Ensemble","Ordinaires","93200"
"France entière","ESS","4. Fondation","Ensemble","Stagiaires","625"
"France entière","Hors ESS","Privé Hors ESS","Ensemble","Aides","228859"
"France entière","Hors ESS","Privé Hors ESS","Ensemble","Apprentis","381370"
"France entière","Hors ESS","Privé Hors ESS","Ensemble","Ordinaires","14290116"
"France entière","Hors ESS","Privé Hors ESS","Ensemble","Stagiaires","37992"
"France entière","Hors ESS","Public","Ensemble","Aides","89685"
"France entière","Hors ESS","Public","Ensemble","Apprentis","20925"
"France entière","Hors ESS","Public","Ensemble","Ordinaires","5539611"
"France entière","Hors ESS","Public","Ensemble","Stagiaires","527"
"France entière","ESS","1. Coopérative","Femmes","Ensemble","148128"
"France entière","ESS","1. Coopérative","Hommes","Ensemble","155788"
"France entière","ESS","2. Mutuelle","Femmes","Ensemble","97635"
"France entière","ESS","2. Mutuelle","Hommes","Ensemble","35280"
"France entière","ESS","3. Association","Femmes","Ensemble","1236105"
"France entière","ESS","3. Association","Hommes","Ensemble","551321"
"France entière","ESS","4. Fondation","Femmes","Ensemble","70390"
"France entière","ESS","4. Fondation","Hommes","Ensemble","25906"
"France entière","Hors ESS","Privé Hors ESS","Femmes","Ensemble","6109212"
"France entière","Hors ESS","Privé Hors ESS","Hommes","Ensemble","8829125"
"France entière","Hors ESS","Public","Femmes","Ensemble","3558014"
"France entière","Hors ESS","Public","Hommes","Ensemble","2092734"
"France entière","ESS","1. Coopérative","Femmes","Aides","3229"
"France entière","ESS","1. Coopérative","Femmes","Apprentis","1890"
"France entière","ESS","1. Coopérative","Femmes","Ordinaires","142746"
"France entière","ESS","1. Coopérative","Femmes","Stagiaires","263"
"France entière","ESS","1. Coopérative","Hommes","Aides","3228"
"France entière","ESS","1. Coopérative","Hommes","Apprentis","2892"
"France entière","ESS","1. Coopérative","Hommes","Ordinaires","149423"
"France entière","ESS","1. Coopérative","Hommes","Stagiaires","245"
"France entière","ESS","2. Mutuelle","Femmes","Aides","1710"
"France entière","ESS","2. Mutuelle","Femmes","Apprentis","578"
"France entière","ESS","2. Mutuelle","Femmes","Ordinaires","95250"
"France entière","ESS","2. Mutuelle","Femmes","Stagiaires","97"
"France entière","ESS","2. Mutuelle","Hommes","Aides","829"
"France entière","ESS","2. Mutuelle","Hommes","Apprentis","335"
"France entière","ESS","2. Mutuelle","Hommes","Ordinaires","34081"
"France entière","ESS","2. Mutuelle","Hommes","Stagiaires","35"
"France entière","ESS","3. Association","Femmes","Aides","68157"
"France entière","ESS","3. Association","Femmes","Apprentis","4962"
"France entière","ESS","3. Association","Femmes","Ordinaires","1158591"
"France entière","ESS","3. Association","Femmes","Stagiaires","4395"
"France entière","ESS","3. Association","Hommes","Aides","70135"
"France entière","ESS","3. Association","Hommes","Apprentis","5021"
"France entière","ESS","3. Association","Hommes","Ordinaires","474259"
"France entière","ESS","3. Association","Hommes","Stagiaires","1906"
"France entière","ESS","4. Fondation","Femmes","Aides","1217"
"France entière","ESS","4. Fondation","Femmes","Apprentis","243"
"France entière","ESS","4. Fondation","Femmes","Ordinaires","68491"
"France entière","ESS","4. Fondation","Femmes","Stagiaires","439"
"France entière","ESS","4. Fondation","Hommes","Aides","891"
"France entière","ESS","4. Fondation","Hommes","Apprentis","120"
"France entière","ESS","4. Fondation","Hommes","Ordinaires","24709"
"France entière","ESS","4. Fondation","Hommes","Stagiaires","186"
"France entière","Hors ESS","Privé Hors ESS","Femmes","Aides","115264"
"France entière","Hors ESS","Privé Hors ESS","Femmes","Apprentis","120520"
"France entière","Hors ESS","Privé Hors ESS","Femmes","Ordinaires","5854593"
"France entière","Hors ESS","Privé Hors ESS","Femmes","Stagiaires","18835"
"France entière","Hors ESS","Privé Hors ESS","Hommes","Aides","113595"
"France entière","Hors ESS","Privé Hors ESS","Hommes","Apprentis","260850"
"France entière","Hors ESS","Privé Hors ESS","Hommes","Ordinaires","8435523"
"France entière","Hors ESS","Privé Hors ESS","Hommes","Stagiaires","19157"
"France entière","Hors ESS","Public","Femmes","Aides","63401"
"France entière","Hors ESS","Public","Femmes","Apprentis","10545"
"France entière","Hors ESS","Public","Femmes","Ordinaires","3483829"
"France entière","Hors ESS","Public","Femmes","Stagiaires","239"
"France entière","Hors ESS","Public","Hommes","Aides","26284"
"France entière","Hors ESS","Public","Hommes","Apprentis","10380"
"France entière","Hors ESS","Public","Hommes","Ordinaires","2055782"
"France entière","Hors ESS","Public","Hommes","Stagiaires","288"
"1","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","175799"
"2","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","137223"
"3","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","95232"
"4","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","44089"
"5","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","43162"
"6","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","372414"
"7","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","82216"
"8","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","71874"
"9","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","39722"
"10","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","90215"
"11","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","92572"
"12","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","83642"
"13","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","736806"
"14","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","233120"
"15","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","42189"
"16","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","108353"
"17","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","178902"
"18","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","86269"
"19","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","72914"
"21","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","193476"
"22","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","171990"
"23","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","29704"
"24","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","110097"
"25","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","175044"
"26","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","175378"
"27","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","155884"
"28","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","121894"
"29","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","276081"
"2A","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","54252"
"2B","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","49875"
"30","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","192716"
"31","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","559381"
"32","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","50450"
"33","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","572825"
"34","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","362330"
"35","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","398952"
"36","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","64058"
"37","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","200522"
"38","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","422311"
"39","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","76901"
"40","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","113162"
"41","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","98276"
"42","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","236723"
"43","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","62934"
"44","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","533049"
"45","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","228454"
"46","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","48467"
"47","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","95906"
"48","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","23798"
"49","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","268973"
"50","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","151060"
"51","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","196962"
"52","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","51037"
"53","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","100872"
"54","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","220293"
"55","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","47024"
"56","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","221284"
"57","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","290573"
"58","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","57644"
"59","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","893773"
"60","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","225744"
"61","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","83431"
"62","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","408066"
"63","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","223643"
"64","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","217977"
"65","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","65442"
"66","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","124811"
"67","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","415747"
"68","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","237265"
"69","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","822328"
"70","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","58975"
"71","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","165862"
"72","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","176565"
"73","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","160359"
"74","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","248994"
"75","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","1693269"
"76","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","428230"
"77","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","437110"
"78","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","489539"
"79","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","125090"
"80","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","175998"
"81","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","103784"
"82","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","65740"
"83","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","270840"
"84","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","176636"
"85","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","218953"
"86","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","140868"
"87","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","143561"
"88","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","107104"
"89","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","96645"
"90","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","43802"
"91","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","427805"
"92","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","1031616"
"93","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","596346"
"94","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","502897"
"95","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","357476"
"971","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","107329"
"972","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","111805"
"973","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","55056"
"974","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","225832"
"1","ESS + Hors ESS","Ensemble","Ensemble","Aides","2811"
"1","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","4255"
"1","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","168571"
"1","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","162"
"2","ESS + Hors ESS","Ensemble","Ensemble","Aides","3963"
"2","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","2841"
"2","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","130314"
"2","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","105"
"3","ESS + Hors ESS","Ensemble","Ensemble","Aides","1599"
"3","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","2048"
"3","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","91540"
"3","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","45"
"4","ESS + Hors ESS","Ensemble","Ensemble","Aides","901"
"4","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","1030"
"4","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","42134"
"4","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","24"
"5","ESS + Hors ESS","Ensemble","Ensemble","Aides","834"
"5","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","718"
"5","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","41586"
"5","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","24"
"6","ESS + Hors ESS","Ensemble","Ensemble","Aides","5664"
"6","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","5229"
"6","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","361013"
"6","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","508"
"7","ESS + Hors ESS","Ensemble","Ensemble","Aides","2021"
"7","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","1698"
"7","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","78447"
"7","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","50"
"8","ESS + Hors ESS","Ensemble","Ensemble","Aides","1833"
"8","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","1604"
"8","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","68413"
"8","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","24"
"9","ESS + Hors ESS","Ensemble","Ensemble","Aides","1242"
"9","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","859"
"9","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","37606"
"9","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","15"
"10","ESS + Hors ESS","Ensemble","Ensemble","Aides","2158"
"10","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","1552"
"10","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","86448"
"10","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","57"
"11","ESS + Hors ESS","Ensemble","Ensemble","Aides","2831"
"11","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","1905"
"11","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","87808"
"11","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","28"
"12","ESS + Hors ESS","Ensemble","Ensemble","Aides","1750"
"12","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","1916"
"12","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","79945"
"12","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","31"
"13","ESS + Hors ESS","Ensemble","Ensemble","Aides","15458"
"13","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","10392"
"13","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","709915"
"13","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","1041"
"14","ESS + Hors ESS","Ensemble","Ensemble","Aides","4862"
"14","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","4516"
"14","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","223534"
"14","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","208"
"15","ESS + Hors ESS","Ensemble","Ensemble","Aides","1055"
"15","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","778"
"15","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","40338"
"15","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","18"
"16","ESS + Hors ESS","Ensemble","Ensemble","Aides","2548"
"16","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","2555"
"16","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","103190"
"16","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","60"
"17","ESS + Hors ESS","Ensemble","Ensemble","Aides","4296"
"17","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","4333"
"17","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","170181"
"17","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","92"
