"DEP","typo_Asso","typo_Asso_det","nb_etab","eff_31","eff_EQTP","rem_brut"
"21","Ensemble","Ensemble","1519","13803","11823","353886886"
"22","Ensemble","Ensemble","1921","18897","16614","484585516"
"23","Ensemble","Ensemble","406","3342","2925","72106101"
"24","Ensemble","Ensemble","1084","8771","7842","202883849"
"25","Ensemble","Ensemble","1681","16107","13749","376244354"
"26","Ensemble","Ensemble","1842","15245","13067","366317180"
"27","Ensemble","Ensemble","1212","11410","10010","269191233"
"28","Ensemble","Ensemble","1126","8112","7003","188606475"
"29","Ensemble","Ensemble","2796","28682","25760","725047826"
"2A","Ensemble","Ensemble","366","2909","2507","68645699"
"2B","Ensemble","Ensemble","506","3544","2971","81718274"
"30","Ensemble","Ensemble","2101","17698","15350","418002079"
"31","Ensemble","Ensemble","3971","35777","30630","893869680"
"32","Ensemble","Ensemble","693","5234","4709","124231732"
"33","Ensemble","Ensemble","4404","42247","36980","1079073568"
"34","Ensemble","Ensemble","3708","28413","24537","694611050"
"35","Ensemble","Ensemble","3583","36678","31762","932428549"
"36","Ensemble","Ensemble","777","6116","5134","133858721"
"37","Ensemble","Ensemble","1839","16512","14310","393433161"
"38","Ensemble","Ensemble","3435","28366","24043","675150628"
"39","Ensemble","Ensemble","749","6911","6104","163688695"
"40","Ensemble","Ensemble","1223","8308","7494","201896688"
"41","Ensemble","Ensemble","1020","7560","6629","179414848"
"42","Ensemble","Ensemble","2250","23084","19324","530564650"
"43","Ensemble","Ensemble","938","10130","8601","237248452"
"44","Ensemble","Ensemble","4851","48055","41553","1210518682"
"45","Ensemble","Ensemble","1827","14369","12602","358665919"
"46","Ensemble","Ensemble","594","5718","4975","138002271"
"47","Ensemble","Ensemble","1100","10114","9219","241450137"
"48","Ensemble","Ensemble","531","5957","5244","149597062"
"49","Ensemble","Ensemble","2946","30417","26376","764110321"
"50","Ensemble","Ensemble","1199","13208","11275","292544168"
"51","Ensemble","Ensemble","1520","15954","13927","406682883"
"52","Ensemble","Ensemble","444","4346","3665","91972785"
"53","Ensemble","Ensemble","1033","9715","8283","238167559"
"54","Ensemble","Ensemble","1794","22563","19793","569443007"
"55","Ensemble","Ensemble","477","4657","3909","99139941"
"56","Ensemble","Ensemble","2302","22248","19492","575614557"
"57","Ensemble","Ensemble","1829","29065","25363","714847000"
"58","Ensemble","Ensemble","598","5759","5130","137218536"
"59","Ensemble","Ensemble","5747","84000","71994","2090028719"
"60","Ensemble","Ensemble","1602","18528","15831","449685228"
"61","Ensemble","Ensemble","880","11077","9748","262183702"
"62","Ensemble","Ensemble","2563","40658","34561","936260688"
"63","Ensemble","Ensemble","1802","17680","15125","443219456"
"64","Ensemble","Ensemble","2312","22845","19529","547817199"
"65","Ensemble","Ensemble","784","7900","6836","180795031"
"66","Ensemble","Ensemble","1271","11712","10830","289546571"
"67","Ensemble","Ensemble","2681","26655","23220","645079315"
"68","Ensemble","Ensemble","1646","19681","17016","462657141"
"69","Ensemble","Ensemble","5788","61714","53144","1649626643"
"70","Ensemble","Ensemble","535","7904","6644","184150001"
"71","Ensemble","Ensemble","1497","13647","11599","321020757"
"72","Ensemble","Ensemble","1541","15034","13033","365103949"
"73","Ensemble","Ensemble","1406","11271","9767","269782429"
"74","Ensemble","Ensemble","1945","18417","15862","450975895"
"75","Ensemble","Ensemble","11878","108998","98549","3977202139"
"76","Ensemble","Ensemble","3011","29428","25498","718842475"
"77","Ensemble","Ensemble","2545","22355","19403","606663660"
"78","Ensemble","Ensemble","2669","26033","22146","696434006"
"79","Ensemble","Ensemble","1159","10868","9323","257514345"
"80","Ensemble","Ensemble","1389","14950","13100","373334372"
"81","Ensemble","Ensemble","1250","12343","10374","274516661"
"82","Ensemble","Ensemble","697","6751","6116","161859488"
"83","Ensemble","Ensemble","2349","21312","18437","516693810"
"84","Ensemble","Ensemble","1733","14570","13230","372613776"
"85","Ensemble","Ensemble","2240","21096","17701","512759129"
"86","Ensemble","Ensemble","1488","12747","11062","303378660"
"87","Ensemble","Ensemble","1056","8337","7364","204024256"
"88","Ensemble","Ensemble","869","9127","7830","198356926"
"89","Ensemble","Ensemble","872","7383","6414","177335147"
"90","Ensemble","Ensemble","270","3629","3078","82126275"
"91","Ensemble","Ensemble","2409","25082","21251","665186115"
"92","Ensemble","Ensemble","3078","39055","33938","1231554263"
"93","Ensemble","Ensemble","2850","28532","25447","792811889"
"94","Ensemble","Ensemble","2554","29461","25414","839129267"
"95","Ensemble","Ensemble","2004","20043","17178","528144734"
"971","Ensemble","Ensemble","868","8713","7589","222243106"
"972","Ensemble","Ensemble","808","9078","7690","236625762"
"973","Ensemble","Ensemble","396","3859","3482","111096430"
"974","Ensemble","Ensemble","1749","16719","15127","439427606"
"1","Ensemble","Accueil d adultes handicapes ou pers. agees","8","s","s","s"
"1","Ensemble","Accueil d enfants et d adolescents","1","s","s","s"
"1","Ensemble","Accueil d enfants handicapes","5","83","64","1979295"
"1","Ensemble","Accueil des jeunes enfants","41","463","392","9433194"
"1","Ensemble","Action sociale NCA","68","1800","1452","38696713"
"1","Ensemble","Aide a domicile","34","1139","900","19483522"
"1","Ensemble","Aide par le travail","18","1359","1204","19554497"
"1","Ensemble","Autres enseignements","39","150","123","3925572"
"1","Ensemble","Enseignement culturel","47","108","67","1722334"
"1","Ensemble","Enseignement primaire/secondaire/supérieur","69","1898","1657","52991359"
"1","Ensemble","Formation continue d adultes","17","118","109","3507224"
"1","Ensemble","Hebergement medico-social de personnes agees","36","1125","993","27936653"
"1","Ensemble","Hebergement medico-social de personnes en difficulte","28","695","603","15925633"
"1","Ensemble","Hebergement medico-social de personnes handicapees","46","2100","1805","53890872"
"1","Ensemble","Loisirs","52","269","232","5518906"
"1","Ensemble","Sports","420","488","373","10123121"
"2","Ensemble","Accueil d adultes handicapes ou pers. agees","16","223","201","4325672"
"2","Ensemble","Accueil d enfants et d adolescents","5","253","228","6642790"
"2","Ensemble","Accueil d enfants handicapes","10","103","80","2668014"
"2","Ensemble","Accueil des jeunes enfants","20","114","101","2283413"
"2","Ensemble","Action sociale NCA","53","800","647","17185524"
"2","Ensemble","Aide a domicile","20","772","567","12905511"
"2","Ensemble","Aide par le travail","16","1260","1154","17314905"
"2","Ensemble","Autres enseignements","23","84","68","1944505"
"2","Ensemble","Enseignement culturel","10","12","8","191638"
"2","Ensemble","Enseignement primaire/secondaire/supérieur","47","1342","1189","39290668"
"2","Ensemble","Formation continue d adultes","16","338","270","8705780"
"2","Ensemble","Hebergement medico-social de personnes agees","12","534","462","12677959"
"2","Ensemble","Hebergement medico-social de personnes en difficulte","26","439","378","10690906"
"2","Ensemble","Hebergement medico-social de personnes handicapees","47","1156","1007","28811759"
"2","Ensemble","Loisirs","10","37","33","848459"
"2","Ensemble","Sports","201","212","189","4566682"
"3","Ensemble","Accueil d adultes handicapes ou pers. agees","6","s","s","s"
"3","Ensemble","Accueil d enfants et d adolescents","1","s","s","s"
"3","Ensemble","Accueil des jeunes enfants","9","63","58","1381483"
"3","Ensemble","Action sociale NCA","75","667","585","15931965"
"3","Ensemble","Aide a domicile","20","1143","894","20199539"
"3","Ensemble","Aide par le travail","15","1039","936","15711468"
"3","Ensemble","Autres enseignements","20","130","130","4349980"
"3","Ensemble","Enseignement culturel","8","5","s","s"
"3","Ensemble","Enseignement primaire/secondaire/supérieur","36","748","661","21691235"
"3","Ensemble","Formation continue d adultes","7","95","s","s"
"3","Ensemble","Hebergement medico-social de personnes agees","16","626","550","15299831"
"3","Ensemble","Hebergement medico-social de personnes en difficulte","21","289","237","6457790"
"3","Ensemble","Hebergement medico-social de personnes handicapees","37","1241","1096","32304078"
"3","Ensemble","Loisirs","16","74","71","1638301"
"3","Ensemble","Sports","141","193","167","4250788"
"4","Ensemble","Accueil d adultes handicapes ou pers. agees","6","s","s","s"
"4","Ensemble","Accueil d enfants et d adolescents","4","s","s","s"
"4","Ensemble","Accueil des jeunes enfants","22","232","194","4506923"
"4","Ensemble","Action sociale NCA","39","467","362","9254236"
"4","Ensemble","Aide a domicile","31","469","314","7106369"
"4","Ensemble","Aide par le travail","7","392","348","6367743"
"4","Ensemble","Autres enseignements","12","33","25","750363"
"4","Ensemble","Enseignement culturel","9","14","9","260403"
"4","Ensemble","Enseignement primaire/secondaire/supérieur","6","175","147","4703443"
"4","Ensemble","Formation continue d adultes","8","28","35","1072379"
"4","Ensemble","Hebergement medico-social de personnes agees","11","271","235","6593873"
"4","Ensemble","Hebergement medico-social de personnes en difficulte","13","242","213","6458504"
"4","Ensemble","Hebergement medico-social de personnes handicapees","20","505","414","12090796"
"4","Ensemble","Loisirs","8","27","27","616355"
"4","Ensemble","Sports","111","120","116","2945419"
"5","Ensemble","Accueil d adultes handicapes ou pers. agees","3","35","25","834536"
"5","Ensemble","Accueil d enfants et d adolescents","2","s","s","s"
"5","Ensemble","Accueil d enfants handicapes","1","s","s","s"
"5","Ensemble","Accueil des jeunes enfants","19","179","148","3412429"
"5","Ensemble","Action sociale NCA","39","341","278","7334023"
"5","Ensemble","Aide a domicile","16","348","255","5845883"
"5","Ensemble","Aide par le travail","4","s","s","s"
"5","Ensemble","Autres enseignements","28","65","59","1806999"
"5","Ensemble","Enseignement culturel","5","29","26","950903"
"5","Ensemble","Enseignement primaire/secondaire/supérieur","9","221","193","6048100"
"5","Ensemble","Formation continue d adultes","9","42","34","1050845"
"5","Ensemble","Hebergement medico-social de personnes agees","9","405","340","10055776"
"5","Ensemble","Hebergement medico-social de personnes en difficulte","12","285","262","5882034"
"5","Ensemble","Hebergement medico-social de personnes handicapees","20","876","803","21032158"
"5","Ensemble","Loisirs","7","8","s","s"
"5","Ensemble","Sports","113","199","s","s"
"6","Ensemble","Accueil d adultes handicapes ou pers. agees","23","536","469","11374445"
"6","Ensemble","Accueil d enfants et d adolescents","1","s","s","s"
"6","Ensemble","Accueil d enfants handicapes","12","s","s","s"
"6","Ensemble","Accueil des jeunes enfants","35","432","405","10544676"
"6","Ensemble","Action sociale NCA","102","1384","1249","35960395"
"6","Ensemble","Aide a domicile","68","1092","736","16410203"
"6","Ensemble","Aide par le travail","11","1363","1178","18323674"
"6","Ensemble","Autres enseignements","57","212","184","5770425"
"6","Ensemble","Enseignement culturel","29","193","146","5721608"
"6","Ensemble","Enseignement primaire/secondaire/supérieur","66","2748","2435","93200160"
"6","Ensemble","Formation continue d adultes","43","280","244","9405968"
"6","Ensemble","Hebergement medico-social de personnes agees","19","664","620","18454002"
"6","Ensemble","Hebergement medico-social de personnes en difficulte","40","969","880","25960480"
"6","Ensemble","Hebergement medico-social de personnes handicapees","47","2041","1815","54017146"
"6","Ensemble","Loisirs","46","265","220","5702325"
"6","Ensemble","Sports","394","1070","814","24258057"
"7","Ensemble","Accueil d adultes handicapes ou pers. agees","10","171","128","3816087"
"7","Ensemble","Accueil d enfants et d adolescents","10","s","s","s"
"7","Ensemble","Accueil d enfants handicapes","4","s","s","s"
"7","Ensemble","Accueil des jeunes enfants","33","332","280","6866119"
"7","Ensemble","Action sociale NCA","44","598","492","12381227"
"7","Ensemble","Aide a domicile","30","1489","1086","24575466"
"7","Ensemble","Aide par le travail","10","866","781","13870834"
"7","Ensemble","Autres enseignements","19","85","64","1929056"
"7","Ensemble","Enseignement culturel","12","s","s","s"
"7","Ensemble","Enseignement primaire/secondaire/supérieur","115","1918","1656","55292726"
"7","Ensemble","Formation continue d adultes","7","40","33","1016053"
"7","Ensemble","Hebergement medico-social de personnes agees","9","486","417","11439926"
"7","Ensemble","Hebergement medico-social de personnes en difficulte","36","388","339","10101383"
"7","Ensemble","Hebergement medico-social de personnes handicapees","24","762","684","19816429"
"7","Ensemble","Loisirs","29","74","93","2298174"
"7","Ensemble","Sports","215","272","216","5772848"
"8","Ensemble","Accueil d adultes handicapes ou pers. agees","1","s","s","s"
"8","Ensemble","Accueil d enfants et d adolescents","3","s","s","s"
"8","Ensemble","Accueil d enfants handicapes","13","290","239","7787939"
"8","Ensemble","Accueil des jeunes enfants","17","126","97","2327565"
"8","Ensemble","Action sociale NCA","62","996","746","18023124"
"8","Ensemble","Aide a domicile","11","677","473","10046427"
"8","Ensemble","Aide par le travail","9","561","514","8549747"
"8","Ensemble","Autres enseignements","6","s","s","s"
"8","Ensemble","Enseignement culturel","2","s","s","s"
"8","Ensemble","Enseignement primaire/secondaire/supérieur","22","622","544","17578047"
"8","Ensemble","Formation continue d adultes","10","56","53","1706579"
"8","Ensemble","Hebergement medico-social de personnes agees","6","216","219","5285493"
"8","Ensemble","Hebergement medico-social de personnes en difficulte","13","255","226","6725657"
"8","Ensemble","Hebergement medico-social de personnes handicapees","14","737","644","17386100"
"8","Ensemble","Loisirs","12","26","21","437884"
"8","Ensemble","Sports","100","164","147","4215310"
"9","Ensemble","Accueil d adultes handicapes ou pers. agees","3","s","s","s"
"9","Ensemble","Accueil d enfants et d adolescents","3","s","s","s"
"9","Ensemble","Accueil des jeunes enfants","4","26","32","760120"
"9","Ensemble","Action sociale NCA","23","193","155","4145236"
"9","Ensemble","Aide a domicile","10","502","431","9556585"
"9","Ensemble","Aide par le travail","13","520","485","8297569"
"9","Ensemble","Autres enseignements","11","25","19","487197"
"9","Ensemble","Enseignement culturel","4","s","s","s"
"9","Ensemble","Enseignement primaire/secondaire/supérieur","17","220","194","6066888"
"9","Ensemble","Formation continue d adultes","7","s","s","s"
"9","Ensemble","Hebergement medico-social de personnes agees","10","401","326","8706641"
"9","Ensemble","Hebergement medico-social de personnes en difficulte","19","262","219","6404706"
"9","Ensemble","Hebergement medico-social de personnes handicapees","25","676","613","15312927"
"9","Ensemble","Loisirs","15","73","74","1693695"
"9","Ensemble","Sports","80","120","94","2493363"
"10","Ensemble","Accueil d adultes handicapes ou pers. agees","2","s","s","s"
"10","Ensemble","Accueil d enfants et d adolescents","6","86","83","2570921"
"10","Ensemble","Accueil d enfants handicapes","7","182","151","5006331"
"10","Ensemble","Accueil des jeunes enfants","9","s","s","s"
"10","Ensemble","Action sociale NCA","40","455","395","10063633"
"10","Ensemble","Aide a domicile","47","907","745","16552191"
"10","Ensemble","Aide par le travail","16","1057","958","17060246"
"10","Ensemble","Autres enseignements","9","9","7","1060891"
"10","Ensemble","Enseignement culturel","9","18","10","285430"
"10","Ensemble","Enseignement primaire/secondaire/supérieur","33","806","713","24783558"
"10","Ensemble","Formation continue d adultes","5","49","44","1462697"
"10","Ensemble","Hebergement medico-social de personnes agees","12","631","559","15135295"
"10","Ensemble","Hebergement medico-social de personnes en difficulte","27","428","402","12003981"
"10","Ensemble","Hebergement medico-social de personnes handicapees","28","768","669","18738814"
"10","Ensemble","Loisirs","7","s","s","s"
"10","Ensemble","Sports","145","s","s","s"
"11","Ensemble","Accueil d adultes handicapes ou pers. agees","4","38","31","1095172"
"11","Ensemble","Accueil d enfants et d adolescents","6","54","56","1480612"
"11","Ensemble","Accueil d enfants handicapes","5","175","148","4357653"
"11","Ensemble","Accueil des jeunes enfants","6","41","37","858365"
"11","Ensemble","Action sociale NCA","50","725","608","15482330"
"11","Ensemble","Aide a domicile","13","392","299","6686926"
"11","Ensemble","Aide par le travail","23","1272","1159","17129799"
"11","Ensemble","Autres enseignements","14","s","s","s"
"11","Ensemble","Enseignement culturel","4","s","s","s"
"11","Ensemble","Enseignement primaire/secondaire/supérieur","36","789","676","21443283"
"11","Ensemble","Formation continue d adultes","20","172","148","4669957"
"11","Ensemble","Hebergement medico-social de personnes agees","13","508","476","12231410"
"11","Ensemble","Hebergement medico-social de personnes en difficulte","29","626","535","15417798"
"11","Ensemble","Hebergement medico-social de personnes handicapees","30","1089","994","27175454"
"11","Ensemble","Loisirs","22","55","56","1500052"
"11","Ensemble","Sports","178","284","228","5759927"
"12","Ensemble","Accueil d adultes handicapes ou pers. agees","1","s","s","s"
"12","Ensemble","Accueil d enfants et d adolescents","2","s","s","s"
"12","Ensemble","Accueil d enfants handicapes","5","141","113","3934990"
"12","Ensemble","Accueil des jeunes enfants","11","89","76","1776193"
"12","Ensemble","Action sociale NCA","51","548","447","11726450"
"12","Ensemble","Aide a domicile","64","1588","1206","26590156"
"12","Ensemble","Aide par le travail","9","653","600","8562215"
"12","Ensemble","Autres enseignements","17","106","90","2864739"
"12","Ensemble","Enseignement culturel","9","s","s","s"
"12","Ensemble","Enseignement primaire/secondaire/supérieur","94","1397","1236","39590262"
"12","Ensemble","Formation continue d adultes","15","51","49","1499112"
"12","Ensemble","Hebergement medico-social de personnes agees","37","1632","1423","38837950"
"12","Ensemble","Hebergement medico-social de personnes en difficulte","18","301","271","8599709"
"12","Ensemble","Hebergement medico-social de personnes handicapees","34","1594","1418","39971135"
"12","Ensemble","Loisirs","17","74","61","1567242"
"12","Ensemble","Sports","149","183","169","4027319"
"13","Ensemble","Accueil d adultes handicapes ou pers. agees","22","225","188","5317415"
"13","Ensemble","Accueil d enfants et d adolescents","10","240","213","6616373"
"13","Ensemble","Accueil d enfants handicapes","16","397","319","12110746"
"13","Ensemble","Accueil des jeunes enfants","150","2264","2047","50955719"
"13","Ensemble","Action sociale NCA","319","5234","4447","119108055"
"13","Ensemble","Aide a domicile","131","6379","4700","105972488"
"13","Ensemble","Aide par le travail","50","3296","2967","52804082"
"13","Ensemble","Autres enseignements","162","721","582","18922182"
"13","Ensemble","Enseignement culturel","89","293","219","6790743"
"13","Ensemble","Enseignement primaire/secondaire/supérieur","234","7623","6686","242727086"
"13","Ensemble","Formation continue d adultes","167","1738","1494","49016567"
"13","Ensemble","Hebergement medico-social de personnes agees","55","1851","1636","46160488"
"13","Ensemble","Hebergement medico-social de personnes en difficulte","118","2891","2625","75912749"
"13","Ensemble","Hebergement medico-social de personnes handicapees","96","4675","4141","122180735"
"13","Ensemble","Loisirs","81","394","389","10592488"
"13","Ensemble","Sports","846","1939","1539","42923783"
"14","Ensemble","Accueil d adultes handicapes ou pers. agees","6","180","153","3824277"
"14","Ensemble","Accueil d enfants et d adolescents","7","66","61","1716849"
"14","Ensemble","Accueil d enfants handicapes","10","360","314","9999028"
"14","Ensemble","Accueil des jeunes enfants","23","190","158","3556536"
"14","Ensemble","Action sociale NCA","111","2079","1736","44312088"
"14","Ensemble","Aide a domicile","78","2171","1561","35180441"
"14","Ensemble","Aide par le travail","22","1900","1717","28936637"
"14","Ensemble","Autres enseignements","54","372","343","10646950"
"14","Ensemble","Enseignement culturel","20","37","31","884959"
"14","Ensemble","Enseignement primaire/secondaire/supérieur","76","2644","2408","83578026"
"14","Ensemble","Formation continue d adultes","38","557","470","14282626"
"14","Ensemble","Hebergement medico-social de personnes agees","10","541","441","11912049"
"14","Ensemble","Hebergement medico-social de personnes en difficulte","32","855","753","21183858"
"14","Ensemble","Hebergement medico-social de personnes handicapees","40","1791","1564","46490590"
"14","Ensemble","Loisirs","31","147","143","3454167"
"14","Ensemble","Sports","447","754","628","18333688"
"15","Ensemble","Accueil d adultes handicapes ou pers. agees","3","s","s","s"
"15","Ensemble","Accueil d enfants et d adolescents","6","48","43","1358133"
"15","Ensemble","Accueil d enfants handicapes","2","s","s","s"
"15","Ensemble","Accueil des jeunes enfants","3","49","45","1059667"
"15","Ensemble","Action sociale NCA","40","976","782","18136512"
"15","Ensemble","Aide a domicile","24","546","378","8478822"
"15","Ensemble","Aide par le travail","9","299","275","4280832"
"15","Ensemble","Autres enseignements","10","67","55","1612176"
"15","Ensemble","Enseignement culturel","10","88","77","2451242"
"15","Ensemble","Enseignement primaire/secondaire/supérieur","23","360","307","10008293"
"15","Ensemble","Formation continue d adultes","7","35","30","840596"
"15","Ensemble","Hebergement medico-social de personnes agees","15","694","634","16253184"
"15","Ensemble","Hebergement medico-social de personnes en difficulte","18","331","296","7240521"
"15","Ensemble","Hebergement medico-social de personnes handicapees","18","912","803","21654278"
"15","Ensemble","Loisirs","15","28","29","702846"
"15","Ensemble","Sports","85","123","121","3019565"
"16","Ensemble","Accueil d adultes handicapes ou pers. agees","4","44","36","1091150"
"16","Ensemble","Accueil d enfants et d adolescents","5","140","117","3150643"
"16","Ensemble","Accueil d enfants handicapes","14","244","186","5438242"
"16","Ensemble","Accueil des jeunes enfants","3","27","24","552149"
"16","Ensemble","Action sociale NCA","62","833","692","18477503"
"16","Ensemble","Aide a domicile","51","1350","1060","23201955"
"16","Ensemble","Aide par le travail","12","997","934","15061172"
"16","Ensemble","Autres enseignements","16","s","s","s"
"16","Ensemble","Enseignement culturel","7","s","s","s"
"16","Ensemble","Enseignement primaire/secondaire/supérieur","37","960","850","26950935"
"16","Ensemble","Formation continue d adultes","13","100","103","3136383"
"16","Ensemble","Hebergement medico-social de personnes agees","14","522","465","12501943"
"16","Ensemble","Hebergement medico-social de personnes en difficulte","13","263","238","5793493"
"16","Ensemble","Hebergement medico-social de personnes handicapees","27","867","714","19860055"
"16","Ensemble","Loisirs","15","194","172","4170950"
"16","Ensemble","Sports","186","321","272","7055474"
"17","Ensemble","Accueil d adultes handicapes ou pers. agees","5","209","179","5260747"
"17","Ensemble","Accueil d enfants et d adolescents","3","63","55","1598309"
"17","Ensemble","Accueil d enfants handicapes","3","66","52","2056558"
"17","Ensemble","Accueil des jeunes enfants","39","341","290","7190147"
"17","Ensemble","Action sociale NCA","103","1909","1567","37933184"
"17","Ensemble","Aide a domicile","44","1294","960","22663799"
"17","Ensemble","Aide par le travail","23","1360","1264","21695990"
"17","Ensemble","Autres enseignements","49","104","95","2909371"
"17","Ensemble","Enseignement culturel","30","72","41","982420"
"17","Ensemble","Enseignement primaire/secondaire/supérieur","50","1428","1271","46534861"
"17","Ensemble","Formation continue d adultes","25","286","242","7854945"
"17","Ensemble","Hebergement medico-social de personnes agees","16","608","525","14196523"
"17","Ensemble","Hebergement medico-social de personnes en difficulte","31","856","709","19878985"
"17","Ensemble","Hebergement medico-social de personnes handicapees","39","1628","1440","42475858"
"17","Ensemble","Loisirs","49","244","217","4993138"
"17","Ensemble","Sports","337","531","496","12109394"
"18","Ensemble","Accueil d adultes handicapes ou pers. agees","7","192","180","5338951"
"18","Ensemble","Accueil d enfants et d adolescents","3","17","17","422491"
"18","Ensemble","Accueil d enfants handicapes","7","161","146","4448561"
"18","Ensemble","Accueil des jeunes enfants","17","104","102","2266518"
"18","Ensemble","Action sociale NCA","48","956","783","17461023"
"18","Ensemble","Aide a domicile","21","771","571","12423371"
"18","Ensemble","Aide par le travail","17","889","766","16896415"
"18","Ensemble","Autres enseignements","20","76","54","1613931"
"18","Ensemble","Enseignement culturel","17","s","s","s"
"18","Ensemble","Enseignement primaire/secondaire/supérieur","23","457","432","14526422"
"18","Ensemble","Formation continue d adultes","18","146","117","4211001"
"18","Ensemble","Hebergement medico-social de personnes agees","15","381","330","9081357"
"18","Ensemble","Hebergement medico-social de personnes en difficulte","8","207","202","4347266"
"18","Ensemble","Hebergement medico-social de personnes handicapees","26","673","639","17827806"
"18","Ensemble","Loisirs","6","s","s","s"
"18","Ensemble","Sports","134","s","s","s"
