"","EPCI","jurid1","nb_etab","non_annexe","eff_EQTP","rem_brut","dep_epci","nom_complet"
"29",200000628,"1A-ASSOCIATIONS",37,"455","382.35","8725906","84","CC Rhône Lez Provence"
"30",200000628,"2-COOPERATIVES",6,"s","s","s","84","CC Rhône Lez Provence"
"31",200000628,"3-MUTUELLES",2,"s","s","s","84","CC Rhône Lez Provence"
"32",200000628,"4-ESS",45,"497","434.35","10959415","84","CC Rhône Lez Provence"
"33",200000628,"5-HORS ESS",721,"6017","5637.79","179209274","84","CC Rhône Lez Provence"
"34",200000628,"5A-PUBLIC",35,"1053","966.57","29630892","84","CC Rhône Lez Provence"
"35",200000628,"5B-PRIVE",686,"4964","4671.22","149578382","84","CC Rhône Lez Provence"
"36",200000628,"6-TOTAL",766,"6514","6072.14","190168689","84","CC Rhône Lez Provence"
"37",200000800,"1-ASSO+FOND",37,"524","499.99","14469917","41","CC Coeur de Sologne"
"38",200000800,"1A-ASSOCIATIONS",36,"s","s","s","41","CC Coeur de Sologne"
"39",200000800,"1B-FONDATIONS",1,"s","s","s","41","CC Coeur de Sologne"
"40",200000800,"2-COOPERATIVES",3,"20","17.55","564576","41","CC Coeur de Sologne"
"41",200000800,"4-ESS",40,"544","517.54","15034493","41","CC Coeur de Sologne"
"42",200000800,"5-HORS ESS",317,"2466","2281.61","67721238","41","CC Coeur de Sologne"
"43",200000800,"5A-PUBLIC",25,"412","391.89","11215980","41","CC Coeur de Sologne"
"44",200000800,"5B-PRIVE",292,"2054","1889.72","56505258","41","CC Coeur de Sologne"
"45",200000800,"6-TOTAL",357,"3010","2799.15","82755731","41","CC Coeur de Sologne"
"46",200000925,"1-ASSO+FOND",23,"92","67.78","1500981","21","CC de la Plaine Dijonnaise"
"47",200000925,"1A-ASSOCIATIONS",23,"92","67.78","1500981","21","CC de la Plaine Dijonnaise"
"48",200000925,"2-COOPERATIVES",8,"s","s","s","21","CC de la Plaine Dijonnaise"
"49",200000925,"3-MUTUELLES",1,"s","s","s","21","CC de la Plaine Dijonnaise"
"50",200000925,"4-ESS",32,"218","181.48","5502063","21","CC de la Plaine Dijonnaise"
"51",200000925,"5-HORS ESS",407,"2828","2642.6","80944925","21","CC de la Plaine Dijonnaise"
"52",200000925,"5A-PUBLIC",74,"553","505.72","14908582","21","CC de la Plaine Dijonnaise"
"53",200000925,"5B-PRIVE",333,"2275","2136.88","66036343","21","CC de la Plaine Dijonnaise"
"54",200000925,"6-TOTAL",439,"3046","2824.08","86446988","21","CC de la Plaine Dijonnaise"
"55",200000933,"1-ASSO+FOND",51,"353","316.89","7385130","18","CC Sauldre et Sologne"
"56",200000933,"1A-ASSOCIATIONS",51,"353","316.89","7385130","18","CC Sauldre et Sologne"
"57",200000933,"2-COOPERATIVES",6,"s","s","s","18","CC Sauldre et Sologne"
"58",200000933,"3-MUTUELLES",2,"s","s","s","18","CC Sauldre et Sologne"
"59",200000933,"4-ESS",59,"379","345.01","8565236","18","CC Sauldre et Sologne"
"60",200000933,"5-HORS ESS",450,"3463","3367.11","109456326","18","CC Sauldre et Sologne"
"61",200000933,"5A-PUBLIC",40,"501","480.38","13753370","18","CC Sauldre et Sologne"
"62",200000933,"5B-PRIVE",410,"2962","2886.73","95702956","18","CC Sauldre et Sologne"
"63",200000933,"6-TOTAL",509,"3842","3712.12","118021562","18","CC Sauldre et Sologne"
"64",200004802,"1-ASSO+FOND",49,"210","159","4378460","83","CC du Pays de Fayence"
"65",200004802,"1A-ASSOCIATIONS",49,"210","159","4378460","83","CC du Pays de Fayence"
"66",200004802,"2-COOPERATIVES",9,"29","27.86","1272781","83","CC du Pays de Fayence"
"67",200004802,"3-MUTUELLES",4,"89","83.2","1933584","83","CC du Pays de Fayence"
"68",200004802,"4-ESS",62,"328","270.06","7584825","83","CC du Pays de Fayence"
"69",200004802,"5-HORS ESS",988,"4100","3956.58","112510415","83","CC du Pays de Fayence"
"70",200004802,"5A-PUBLIC",40,"956","914.56","25857684","83","CC du Pays de Fayence"
"71",200004802,"5B-PRIVE",948,"3144","3042.02","86652731","83","CC du Pays de Fayence"
"72",200004802,"6-TOTAL",1050,"4428","4226.64","120095240","83","CC du Pays de Fayence"
"73",200005932,"1-ASSO+FOND",51,"252","220","5944277","45","CC des Portes de Sologne"
"74",200005932,"1A-ASSOCIATIONS",51,"252","220","5944277","45","CC des Portes de Sologne"
"75",200005932,"2-COOPERATIVES",7,"32","34.28","1490957","45","CC des Portes de Sologne"
"76",200005932,"4-ESS",58,"284","254.28","7435234","45","CC des Portes de Sologne"
"77",200005932,"5-HORS ESS",355,"3141","3051.56","119219637","45","CC des Portes de Sologne"
"78",200005932,"5A-PUBLIC",26,"523","490.23","15645451","45","CC des Portes de Sologne"
"79",200005932,"5B-PRIVE",329,"2618","2561.33","103574186","45","CC des Portes de Sologne"
"80",200005932,"6-TOTAL",413,"3425","3305.84","126654871","45","CC des Portes de Sologne"
"81",200005957,"1-ASSO+FOND",31,"446","384.5","10375773","88","CC de la Région de Rambervillers"
"82",200005957,"1A-ASSOCIATIONS",31,"446","384.5","10375773","88","CC de la Région de Rambervillers"
"83",200005957,"2-COOPERATIVES",6,"24","22.31","873677","88","CC de la Région de Rambervillers"
"84",200005957,"4-ESS",37,"470","406.81","11249450","88","CC de la Région de Rambervillers"
"85",200005957,"5-HORS ESS",382,"2331","2193.86","67899730","88","CC de la Région de Rambervillers"
"86",200005957,"5A-PUBLIC",65,"473","414.08","11656168","88","CC de la Région de Rambervillers"
"87",200005957,"5B-PRIVE",317,"1858","1779.78","56243562","88","CC de la Région de Rambervillers"
"88",200005957,"6-TOTAL",419,"2801","2600.67","79149180","88","CC de la Région de Rambervillers"
"89",200006716,"1-ASSO+FOND",34,"249","220.75","4884149","10","CC du Nogentais"
"90",200006716,"1A-ASSOCIATIONS",34,"249","220.75","4884149","10","CC du Nogentais"
"91",200006716,"2-COOPERATIVES",8,"33","33.48","1520433","10","CC du Nogentais"
"92",200006716,"4-ESS",42,"282","254.23","6404582","10","CC du Nogentais"
"93",200006716,"5-HORS ESS",459,"5119","4913.94","201578784","10","CC du Nogentais"
"94",200006716,"5A-PUBLIC",64,"1038","948.77","27397706","10","CC du Nogentais"
"95",200006716,"5B-PRIVE",395,"4081","3965.17","174181078","10","CC du Nogentais"
"96",200006716,"6-TOTAL",501,"5401","5168.17","207983366","10","CC du Nogentais"
"97",200006930,"1-ASSO+FOND",23,"545","503.85","12817979","48","CC du Haut Allier"
"98",200006930,"1A-ASSOCIATIONS",23,"545","503.85","12817979","48","CC du Haut Allier"
"99",200006930,"2-COOPERATIVES",3,"8","7.9","326293","48","CC du Haut Allier"
"100",200006930,"4-ESS",26,"553","511.75","13144272","48","CC du Haut Allier"
"101",200006930,"5-HORS ESS",222,"1072","1007.13","28525353","48","CC du Haut Allier"
"102",200006930,"5A-PUBLIC",34,"441","402.45","11589503","48","CC du Haut Allier"
"103",200006930,"5B-PRIVE",188,"631","604.68","16935850","48","CC du Haut Allier"
"104",200006930,"6-TOTAL",248,"1625","1518.88","41669625","48","CC du Haut Allier"
"105",200006971,"1-ASSO+FOND",62,"428","379.33","9736144","28","CC du Perche"
"106",200006971,"1A-ASSOCIATIONS",61,"s","s","s","28","CC du Perche"
"107",200006971,"1B-FONDATIONS",1,"s","s","s","28","CC du Perche"
"108",200006971,"2-COOPERATIVES",10,"s","s","s","28","CC du Perche"
"109",200006971,"3-MUTUELLES",2,"s","s","s","28","CC du Perche"
"110",200006971,"4-ESS",74,"534","490.57","13793590","28","CC du Perche"
"111",200006971,"5-HORS ESS",617,"5389","5094.29","158067645","28","CC du Perche"
"112",200006971,"5A-PUBLIC",81,"1329","1231.96","40039850","28","CC du Perche"
"113",200006971,"5B-PRIVE",536,"4060","3862.33","118027795","28","CC du Perche"
"114",200006971,"6-TOTAL",691,"5923","5584.86","171861235","28","CC du Perche"
"115",200007052,"1-ASSO+FOND",22,"s","s","s","36","CC de la Marche Berrichonne"
"116",200007052,"1A-ASSOCIATIONS",22,"s","s","s","36","CC de la Marche Berrichonne"
"117",200007052,"2-COOPERATIVES",1,"s","s","s","36","CC de la Marche Berrichonne"
"118",200007052,"4-ESS",23,"127","92.37","2555197","36","CC de la Marche Berrichonne"
"119",200007052,"5-HORS ESS",173,"675","643.37","16339249","36","CC de la Marche Berrichonne"
"120",200007052,"5A-PUBLIC",18,"148","139.81","3687175","36","CC de la Marche Berrichonne"
"121",200007052,"5B-PRIVE",155,"527","503.56","12652074","36","CC de la Marche Berrichonne"
"122",200007052,"6-TOTAL",196,"802","735.74","18894446","36","CC de la Marche Berrichonne"
"123",200007177,"1-ASSO+FOND",14,"190","150.57","4028284","18","CC Pays de Nérondes"
"124",200007177,"1A-ASSOCIATIONS",14,"190","150.57","4028284","18","CC Pays de Nérondes"
"125",200007177,"2-COOPERATIVES",3,"30","32.43","1096749","18","CC Pays de Nérondes"
"126",200007177,"4-ESS",17,"220","183","5125033","18","CC Pays de Nérondes"
"127",200007177,"5-HORS ESS",126,"353","323.8","8874490","18","CC Pays de Nérondes"
"128",200007177,"5A-PUBLIC",22,"117","101.97","2784515","18","CC Pays de Nérondes"
"129",200007177,"5B-PRIVE",104,"236","221.83","6089975","18","CC Pays de Nérondes"
"130",200007177,"6-TOTAL",143,"573","506.8","13999523","18","CC Pays de Nérondes"
"131",200011781,"1-ASSO+FOND",8,"11","9.88","310165","18","CC Portes du Berry entre Loire et Val d'Aubois"
"132",200011781,"1A-ASSOCIATIONS",8,"11","9.88","310165","18","CC Portes du Berry entre Loire et Val d'Aubois"
"133",200011781,"2-COOPERATIVES",6,"24","26.2","955120","18","CC Portes du Berry entre Loire et Val d'Aubois"
"134",200011781,"4-ESS",14,"35","36.08","1265285","18","CC Portes du Berry entre Loire et Val d'Aubois"
"135",200011781,"5-HORS ESS",205,"994","956.19","30010878","18","CC Portes du Berry entre Loire et Val d'Aubois"
"136",200011781,"5A-PUBLIC",35,"296","273.11","7733290","18","CC Portes du Berry entre Loire et Val d'Aubois"
"137",200011781,"5B-PRIVE",170,"698","683.08","22277588","18","CC Portes du Berry entre Loire et Val d'Aubois"
"138",200011781,"6-TOTAL",219,"1029","992.27","31276163","18","CC Portes du Berry entre Loire et Val d'Aubois"
"139",200013050,"1-ASSO+FOND",25,"246","203.38","5470378","67","CC Sauer-Pechelbronn"
"140",200013050,"1A-ASSOCIATIONS",24,"s","s","s","67","CC Sauer-Pechelbronn"
"141",200013050,"1B-FONDATIONS",1,"s","s","s","67","CC Sauer-Pechelbronn"
"142",200013050,"2-COOPERATIVES",8,"28","28","1199319","67","CC Sauer-Pechelbronn"
"143",200013050,"4-ESS",33,"274","231.38","6669697","67","CC Sauer-Pechelbronn"
"144",200013050,"5-HORS ESS",371,"2490","2338.37","70304730","67","CC Sauer-Pechelbronn"
"145",200013050,"5A-PUBLIC",52,"382","339.51","10299723","67","CC Sauer-Pechelbronn"
"146",200013050,"5B-PRIVE",319,"2108","1998.86","60005007","67","CC Sauer-Pechelbronn"
"147",200013050,"6-TOTAL",404,"2764","2569.75","76974427","67","CC Sauer-Pechelbronn"
"148",200015162,"1-ASSO+FOND",10,"80","57.46","1443991","2B","CC de l'Oriente"
"149",200015162,"1A-ASSOCIATIONS",10,"80","57.46","1443991","2B","CC de l'Oriente"
"150",200015162,"2-COOPERATIVES",6,"98","111.46","4461361","2B","CC de l'Oriente"
"151",200015162,"4-ESS",16,"178","168.92","5905352","2B","CC de l'Oriente"
"152",200015162,"5-HORS ESS",321,"1690","1333.72","35497323","2B","CC de l'Oriente"
"153",200015162,"5A-PUBLIC",25,"192","178.12","5816018","2B","CC de l'Oriente"
"154",200015162,"5B-PRIVE",296,"1498","1155.6","29681305","2B","CC de l'Oriente"
"155",200015162,"6-TOTAL",337,"1868","1502.64","41402675","2B","CC de l'Oriente"
"156",200016905,"1-ASSO+FOND",24,"120","94.97","2801587","07","CC du Pays de Lamastre"
"157",200016905,"1A-ASSOCIATIONS",24,"120","94.97","2801587","07","CC du Pays de Lamastre"
"158",200016905,"2-COOPERATIVES",6,"s","s","s","07","CC du Pays de Lamastre"
"159",200016905,"3-MUTUELLES",1,"s","s","s","07","CC du Pays de Lamastre"
"160",200016905,"4-ESS",31,"141","120","3799850","07","CC du Pays de Lamastre"
"161",200016905,"5-HORS ESS",216,"977","888.47","23751842","07","CC du Pays de Lamastre"
"162",200016905,"5A-PUBLIC",26,"308","258.92","7573799","07","CC du Pays de Lamastre"
"163",200016905,"5B-PRIVE",190,"669","629.55","16178043","07","CC du Pays de Lamastre"
"164",200016905,"6-TOTAL",247,"1118","1008.47","27551692","07","CC du Pays de Lamastre"
"165",200017341,"1-ASSO+FOND",90,"371","334.82","8499095","34","CC Lodévois et Larzac"
"166",200017341,"1A-ASSOCIATIONS",90,"371","334.82","8499095","34","CC Lodévois et Larzac"
"167",200017341,"2-COOPERATIVES",5,"s","s","s","34","CC Lodévois et Larzac"
"168",200017341,"3-MUTUELLES",1,"s","s","s","34","CC Lodévois et Larzac"
"169",200017341,"4-ESS",96,"392","357.9","9411047","34","CC Lodévois et Larzac"
"170",200017341,"5-HORS ESS",433,"2780","2589.67","72631667","34","CC Lodévois et Larzac"
"171",200017341,"5A-PUBLIC",68,"1349","1239.34","35747370","34","CC Lodévois et Larzac"
"172",200017341,"5B-PRIVE",365,"1431","1350.33","36884297","34","CC Lodévois et Larzac"
"173",200017341,"6-TOTAL",529,"3172","2947.57","82042714","34","CC Lodévois et Larzac"
"174",200018083,"1-ASSO+FOND",36,"603","483.68","12909232","62","CC de Desvres-Samer"
"175",200018083,"1A-ASSOCIATIONS",35,"s","s","s","62","CC de Desvres-Samer"
"176",200018083,"1B-FONDATIONS",1,"s","s","s","62","CC de Desvres-Samer"
"177",200018083,"2-COOPERATIVES",10,"s","s","s","62","CC de Desvres-Samer"
"178",200018083,"3-MUTUELLES",1,"s","s","s","62","CC de Desvres-Samer"
"179",200018083,"4-ESS",47,"661","537.36","15286989","62","CC de Desvres-Samer"
"180",200018083,"5-HORS ESS",549,"3718","3457.97","108529132","62","CC de Desvres-Samer"
"181",200018083,"5A-PUBLIC",82,"857","760.08","22108198","62","CC de Desvres-Samer"
"182",200018083,"5B-PRIVE",467,"2861","2697.89","86420934","62","CC de Desvres-Samer"
"183",200018083,"6-TOTAL",596,"4379","3995.33","123816121","62","CC de Desvres-Samer"
"184",200018166,"1-ASSO+FOND",262,"1368","1103.77","30933380","38","CC Le Grésivaudan"
"185",200018166,"1A-ASSOCIATIONS",257,"1148","902.87","25449845","38","CC Le Grésivaudan"
"186",200018166,"1B-FONDATIONS",5,"220","200.9","5483535","38","CC Le Grésivaudan"
"187",200018166,"2-COOPERATIVES",20,"117","113.82","5248774","38","CC Le Grésivaudan"
"188",200018166,"3-MUTUELLES",6,"207","178.14","5348667","38","CC Le Grésivaudan"
"189",200018166,"4-ESS",288,"1692","1395.73","41530821","38","CC Le Grésivaudan"
"190",200018166,"5-HORS ESS",2828,"29010","27498.53","1145512389","38","CC Le Grésivaudan"
"191",200018166,"5A-PUBLIC",184,"4398","3944.27","126293143","38","CC Le Grésivaudan"
"192",200018166,"5B-PRIVE",2644,"24612","23554.26","1019219246","38","CC Le Grésivaudan"
"193",200018166,"6-TOTAL",3116,"30702","28894.26","1187043210","38","CC Le Grésivaudan"
"194",200018406,"1-ASSO+FOND",68,"411","353","8670512","41","CC du Romorantinais et du Monestois"
"195",200018406,"1A-ASSOCIATIONS",68,"411","353","8670512","41","CC du Romorantinais et du Monestois"
"196",200018406,"2-COOPERATIVES",8,"119","93.77","3266409","41","CC du Romorantinais et du Monestois"
"197",200018406,"3-MUTUELLES",6,"19","18.06","757554","41","CC du Romorantinais et du Monestois"
"198",200018406,"4-ESS",82,"549","464.83","12694475","41","CC du Romorantinais et du Monestois"
"199",200018406,"5-HORS ESS",952,"8365","7887.4","242616699","41","CC du Romorantinais et du Monestois"
"200",200018406,"5A-PUBLIC",75,"2261","2124.88","68798514","41","CC du Romorantinais et du Monestois"
"201",200018406,"5B-PRIVE",877,"6104","5762.52","173818185","41","CC du Romorantinais et du Monestois"
"202",200018406,"6-TOTAL",1034,"8914","8352.23","255311174","41","CC du Romorantinais et du Monestois"
"203",200018521,"1-ASSO+FOND",21,"96","79.19","1668625","36","CC du Val de Bouzanne"
"204",200018521,"1A-ASSOCIATIONS",21,"96","79.19","1668625","36","CC du Val de Bouzanne"
"205",200018521,"4-ESS",21,"96","79.19","1668625","36","CC du Val de Bouzanne"
"206",200018521,"5-HORS ESS",179,"666","621.9","16592007","36","CC du Val de Bouzanne"
"207",200018521,"5A-PUBLIC",28,"168","151.5","4168786","36","CC du Val de Bouzanne"
"208",200018521,"5B-PRIVE",151,"498","470.4","12423221","36","CC du Val de Bouzanne"
"209",200018521,"6-TOTAL",200,"762","701.09","18260632","36","CC du Val de Bouzanne"
"210",200022986,"1-ASSO+FOND",127,"544","454.71","11252229","34","CC du Grand Pic Saint-Loup"
"211",200022986,"1A-ASSOCIATIONS",127,"544","454.71","11252229","34","CC du Grand Pic Saint-Loup"
"212",200022986,"2-COOPERATIVES",11,"151","156.02","7495538","34","CC du Grand Pic Saint-Loup"
"213",200022986,"3-MUTUELLES",3,"57","42.47","1246843","34","CC du Grand Pic Saint-Loup"
"214",200022986,"4-ESS",141,"752","653.2","19994610","34","CC du Grand Pic Saint-Loup"
"215",200022986,"5-HORS ESS",1315,"9456","8372.46","257089593","34","CC du Grand Pic Saint-Loup"
"216",200022986,"5A-PUBLIC",90,"3588","2977.74","93983262","34","CC du Grand Pic Saint-Loup"
"217",200022986,"5B-PRIVE",1225,"5868","5394.72","163106331","34","CC du Grand Pic Saint-Loup"
"218",200022986,"6-TOTAL",1456,"10208","9025.66","277084203","34","CC du Grand Pic Saint-Loup"
"219",200023075,"1-ASSO+FOND",37,"389","308.6","7486193","25","CC du Pays de Maîche"
"220",200023075,"1A-ASSOCIATIONS",37,"389","308.6","7486193","25","CC du Pays de Maîche"
"221",200023075,"2-COOPERATIVES",14,"s","s","s","25","CC du Pays de Maîche"
"222",200023075,"3-MUTUELLES",2,"s","s","s","25","CC du Pays de Maîche"
"223",200023075,"4-ESS",53,"541","444.2","12284187","25","CC du Pays de Maîche"
"224",200023075,"5-HORS ESS",423,"2448","2282.42","72980393","25","CC du Pays de Maîche"
"225",200023075,"5A-PUBLIC",72,"362","305.82","9006915","25","CC du Pays de Maîche"
"226",200023075,"5B-PRIVE",351,"2086","1976.6","63973478","25","CC du Pays de Maîche"
"227",200023075,"6-TOTAL",476,"2989","2726.62","85264580","25","CC du Pays de Maîche"
"228",200023125,"1-ASSO+FOND",65,"1236","1096.12","38334087","77","CC Les Portes Briardes Entre Villes et Forêts"
"229",200023125,"1A-ASSOCIATIONS",62,"641","545.25","16119112","77","CC Les Portes Briardes Entre Villes et Forêts"
"230",200023125,"1B-FONDATIONS",3,"595","550.87","22214975","77","CC Les Portes Briardes Entre Villes et Forêts"
"231",200023125,"2-COOPERATIVES",9,"61","58.93","2608318","77","CC Les Portes Briardes Entre Villes et Forêts"
"232",200023125,"4-ESS",74,"1297","1155.05","40942405","77","CC Les Portes Briardes Entre Villes et Forêts"
"233",200023125,"5-HORS ESS",1292,"9232","8811.41","302071305","77","CC Les Portes Briardes Entre Villes et Forêts"
"234",200023125,"5A-PUBLIC",65,"1998","1929.07","59919713","77","CC Les Portes Briardes Entre Villes et Forêts"
"235",200023125,"5B-PRIVE",1227,"7234","6882.34","242151592","77","CC Les Portes Briardes Entre Villes et Forêts"
"236",200023125,"6-TOTAL",1366,"10529","9966.46","343013710","77","CC Les Portes Briardes Entre Villes et Forêts"
"237",200023240,"1-ASSO+FOND",64,"556","488.81","12413743","77","CC Pays de Nemours"
"238",200023240,"1A-ASSOCIATIONS",64,"556","488.81","12413743","77","CC Pays de Nemours"
"239",200023240,"2-COOPERATIVES",6,"35","37.27","1696458","77","CC Pays de Nemours"
"240",200023240,"3-MUTUELLES",5,"199","181","10026138","77","CC Pays de Nemours"
"241",200023240,"4-ESS",75,"790","707.08","24136339","77","CC Pays de Nemours"
"242",200023240,"5-HORS ESS",784,"7168","6755.98","233154077","77","CC Pays de Nemours"
"243",200023240,"5A-PUBLIC",86,"1987","1910.07","65129924","77","CC Pays de Nemours"
"244",200023240,"5B-PRIVE",698,"5181","4845.91","168024153","77","CC Pays de Nemours"
"245",200023240,"6-TOTAL",859,"7958","7463.06","257290416","77","CC Pays de Nemours"
"246",200023299,"1-ASSO+FOND",44,"262","220.69","7187043","73","CC Coeur de Tarentaise"
"247",200023299,"1A-ASSOCIATIONS",44,"262","220.69","7187043","73","CC Coeur de Tarentaise"
"248",200023299,"2-COOPERATIVES",8,"s","s","s","73","CC Coeur de Tarentaise"
"249",200023299,"3-MUTUELLES",1,"s","s","s","73","CC Coeur de Tarentaise"
"250",200023299,"4-ESS",53,"385","330.75","11268964","73","CC Coeur de Tarentaise"
"251",200023299,"5-HORS ESS",936,"6219","5614.24","188308970","73","CC Coeur de Tarentaise"
"252",200023299,"5A-PUBLIC",49,"1207","1085.51","39391738","73","CC Coeur de Tarentaise"
"253",200023299,"5B-PRIVE",887,"5012","4528.73","148917232","73","CC Coeur de Tarentaise"
"254",200023299,"6-TOTAL",989,"6604","5944.99","199577934","73","CC Coeur de Tarentaise"
"255",200023372,"1-ASSO+FOND",50,"336","328.74","10157366","74","CC de la Vallée de Chamonix-Mont-Blanc"
"256",200023372,"1A-ASSOCIATIONS",49,"s","s","s","74","CC de la Vallée de Chamonix-Mont-Blanc"
"257",200023372,"1B-FONDATIONS",1,"s","s","s","74","CC de la Vallée de Chamonix-Mont-Blanc"
"258",200023372,"2-COOPERATIVES",6,"34","36.02","1595561","74","CC de la Vallée de Chamonix-Mont-Blanc"
"259",200023372,"4-ESS",56,"370","364.76","11752927","74","CC de la Vallée de Chamonix-Mont-Blanc"
"260",200023372,"5-HORS ESS",1053,"5688","5731.37","182873369","74","CC de la Vallée de Chamonix-Mont-Blanc"
"261",200023372,"5A-PUBLIC",36,"1118","1048.31","33335980","74","CC de la Vallée de Chamonix-Mont-Blanc"
"262",200023372,"5B-PRIVE",1017,"4570","4683.06","149537389","74","CC de la Vallée de Chamonix-Mont-Blanc"
"263",200023372,"6-TOTAL",1109,"6058","6096.13","194626296","74","CC de la Vallée de Chamonix-Mont-Blanc"
"264",200023620,"1-ASSO+FOND",53,"499","430.15","10755140","32","CC de la Gascogne Toulousaine"
"265",200023620,"1A-ASSOCIATIONS",53,"499","430.15","10755140","32","CC de la Gascogne Toulousaine"
"266",200023620,"2-COOPERATIVES",7,"s","s","s","32","CC de la Gascogne Toulousaine"
"267",200023620,"3-MUTUELLES",1,"s","s","s","32","CC de la Gascogne Toulousaine"
"268",200023620,"4-ESS",61,"600","529.68","14797168","32","CC de la Gascogne Toulousaine"
"269",200023620,"5-HORS ESS",568,"4880","4404.58","136623428","32","CC de la Gascogne Toulousaine"
"270",200023620,"5A-PUBLIC",49,"1218","1033.97","29734450","32","CC de la Gascogne Toulousaine"
"271",200023620,"5B-PRIVE",519,"3662","3370.61","106888978","32","CC de la Gascogne Toulousaine"
"272",200023620,"6-TOTAL",629,"5480","4934.26","151420596","32","CC de la Gascogne Toulousaine"
"273",200023778,"1-ASSO+FOND",130,"921","811.92","21975300","85","CA du Pays de Saint-Gilles-Croix-de-Vie"
"274",200023778,"1A-ASSOCIATIONS",129,"s","s","s","85","CA du Pays de Saint-Gilles-Croix-de-Vie"
"275",200023778,"1B-FONDATIONS",1,"s","s","s","85","CA du Pays de Saint-Gilles-Croix-de-Vie"
"276",200023778,"2-COOPERATIVES",24,"195","192.93","7514530","85","CA du Pays de Saint-Gilles-Croix-de-Vie"
"277",200023778,"3-MUTUELLES",5,"139","113.06","3829750","85","CA du Pays de Saint-Gilles-Croix-de-Vie"
"278",200023778,"4-ESS",159,"1255","1117.91","33319580","85","CA du Pays de Saint-Gilles-Croix-de-Vie"
"279",200023778,"5-HORS ESS",1689,"10229","10377.28","303773357","85","CA du Pays de Saint-Gilles-Croix-de-Vie"
"280",200023778,"5A-PUBLIC",55,"1589","1522.09","42870551","85","CA du Pays de Saint-Gilles-Croix-de-Vie"
"281",200023778,"5B-PRIVE",1634,"8640","8855.19","260902806","85","CA du Pays de Saint-Gilles-Croix-de-Vie"
"282",200023778,"6-TOTAL",1848,"11484","11495.19","337092937","85","CA du Pays de Saint-Gilles-Croix-de-Vie"
"283",200023794,"1-ASSO+FOND",51,"288","257.04","7748368","33","CC de Blaye"
"284",200023794,"1A-ASSOCIATIONS",51,"288","257.04","7748368","33","CC de Blaye"
"285",200023794,"2-COOPERATIVES",9,"47","49.37","1993319","33","CC de Blaye"
