"ESS","famille","typo_C","typo_C_det","taille_etab","IDF","nb_etab","nb_ent","eff_31","eff_EQTP","rem_brut"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d adultes handicapes ou pers. agees","Toutes entreprises","Ensemble","1075","198","14690","12557","365125418"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants et d adolescents","Toutes entreprises","Ensemble","1021","322","21610","19345","622222957"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants handicapes","Toutes entreprises","Ensemble","1245","201","26396","21247","703966067"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Toutes entreprises","Ensemble","9497","5233","94162","82258","2007234789"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Action sociale NCA","Toutes entreprises","Ensemble","13063","8907","255034","221225","6203436473"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites de services financiers et d assurances","Toutes entreprises","Ensemble","36527","29603","165591","154150","8460772159"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites des services financiers hors assurance et caisses","Toutes entreprises","Ensemble","57034","31662","514905","501768","30523777578"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","Toutes entreprises","Ensemble","8692","6704","246666","187020","4158440506"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","Toutes entreprises","Ensemble","2239","513","162442","142371","2485180228"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","Toutes entreprises","Ensemble","24039","22438","46461","54903","2237826424"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","Toutes entreprises","Ensemble","7003","867","169028","161420","8674240181"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","Toutes entreprises","Ensemble","5859","4903","100142","74127","2219744850"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres industries (BE)","Toutes entreprises","Ensemble","104307","81070","2524492","2448391","106172390491"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Construction (FZ)","Toutes entreprises","Ensemble","243576","223731","1389429","1345893","44491001839"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Création artistique","Toutes entreprises","Ensemble","1491","1424","2231","2065","70670307"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement culturel","Toutes entreprises","Ensemble","3116","2926","10987","7327","234621722"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement de disciplines sportives et d activites de lois","Toutes entreprises","Ensemble","5364","5093","11665","10839","362345304"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Toutes entreprises","Ensemble","65118","16698","1450175","1336389","49021297213"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adultes","Toutes entreprises","Ensemble","21598","16433","129450","113864","3835669702"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Gestion des spectacles","Toutes entreprises","Ensemble","1151","958","11331","10521","361013310"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","Toutes entreprises","Ensemble","17308","6738","728337","650252","18471806498"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Loisirs","Toutes entreprises","Ensemble","9847","8782","53721","52401","1472092659"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Sports","Toutes entreprises","Ensemble","38995","36384","101482","84886","3454244226"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d adultes handicapes ou pers. agees","Toutes entreprises","Hors IDF","930","158","11315","9594","268733598"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d adultes handicapes ou pers. agees","Toutes entreprises","IDF","145","40","3375","2963","96391820"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants et d adolescents","Toutes entreprises","Hors IDF","820","280","15364","13587","426436718"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants et d adolescents","Toutes entreprises","IDF","201","42","6246","5758","195786239"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants handicapes","Toutes entreprises","Hors IDF","993","144","20370","16406","544816991"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants handicapes","Toutes entreprises","IDF","252","57","6026","4841","159149076"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Toutes entreprises","Hors IDF","7156","4327","66126","56801","1349513406"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Toutes entreprises","IDF","2341","906","28036","25457","657721383"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Action sociale NCA","Toutes entreprises","Hors IDF","10951","7502","210850","181327","4918609555"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Action sociale NCA","Toutes entreprises","IDF","2112","1405","44184","39897","1284826918"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites de services financiers et d assurances","Toutes entreprises","Hors IDF","29832","24084","103047","94008","3572462100"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites de services financiers et d assurances","Toutes entreprises","IDF","6695","5519","62544","60143","4888310059"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites des services financiers hors assurance et caisses","Toutes entreprises","Hors IDF","44484","23961","313728","306062","15489537941"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites des services financiers hors assurance et caisses","Toutes entreprises","IDF","12550","7701","201177","195705","15034239637"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","Toutes entreprises","Hors IDF","7580","5822","221862","167692","3713591598"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","Toutes entreprises","IDF","1112","882","24804","19328","444848908"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","Toutes entreprises","Hors IDF","1937","439","141756","124221","2156396227"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","Toutes entreprises","IDF","302","74","20686","18150","328784001"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","Toutes entreprises","Hors IDF","17285","16090","26114","31077","1136178239"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","Toutes entreprises","IDF","6754","6348","20347","23826","1101648185"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","Toutes entreprises","Hors IDF","5958","555","103778","98384","4646917867"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","Toutes entreprises","IDF","1045","312","65250","63036","4027322314"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","Toutes entreprises","Hors IDF","4328","3561","76235","55481","1607494708"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","Toutes entreprises","IDF","1531","1342","23907","18646","612250142"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres industries (BE)","Toutes entreprises","Hors IDF","91042","70949","2152962","2083435","85192442614"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres industries (BE)","Toutes entreprises","IDF","13265","10121","371530","364956","20979947877"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Construction (FZ)","Toutes entreprises","Hors IDF","198957","182283","1101097","1071737","33815082637"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Construction (FZ)","Toutes entreprises","IDF","44619","41448","288332","274156","10675919202"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Création artistique","Toutes entreprises","Hors IDF","1046","1000","1199","1109","32310240"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Création artistique","Toutes entreprises","IDF","445","424","1032","956","38360067"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement culturel","Toutes entreprises","Hors IDF","2524","2390","6891","4564","133057097"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement culturel","Toutes entreprises","IDF","592","536","4096","2764","101564625"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement de disciplines sportives et d activites de lois","Toutes entreprises","Hors IDF","4771","4543","9770","9250","302715179"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement de disciplines sportives et d activites de lois","Toutes entreprises","IDF","593","550","1895","1589","59630125"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Toutes entreprises","Hors IDF","55618","14232","1150506","1059573","38819852222"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Toutes entreprises","IDF","9500","2466","299669","276817","10201444991"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adultes","Toutes entreprises","Hors IDF","16884","12447","99552","87252","2779372478"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adultes","Toutes entreprises","IDF","4714","3986","29898","26612","1056297224"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Gestion des spectacles","Toutes entreprises","Hors IDF","933","765","7854","7269","232607718"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Gestion des spectacles","Toutes entreprises","IDF","218","193","3477","3252","128405592"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","Toutes entreprises","Hors IDF","14900","6089","634373","565279","15942514440"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","Toutes entreprises","IDF","2408","649","93964","84973","2529292058"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Loisirs","Toutes entreprises","Hors IDF","8644","7725","30881","31245","780366880"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Loisirs","Toutes entreprises","IDF","1203","1057","22840","21156","691725779"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Sports","Toutes entreprises","Hors IDF","33315","31340","75109","63693","2468390290"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Sports","Toutes entreprises","IDF","5680","5044","26373","21192","985853936"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d adultes handicapes ou pers. agees","1 - Micro entreprise","Ensemble","662","124","s","s","s"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d adultes handicapes ou pers. agees","2 - Petites entreprises","Ensemble","361","57","6251","5133","152765182"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d adultes handicapes ou pers. agees","3 - Moyennes entreprises","Ensemble","50","16","s","s","s"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d adultes handicapes ou pers. agees","4 - Grandes entreprises","Ensemble","2","1","s","s","s"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants et d adolescents","1 - Micro entreprise","Ensemble","431","171","s","s","s"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants et d adolescents","2 - Petites entreprises","Ensemble","510","126","10269","8989","287916646"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants et d adolescents","3 - Moyennes entreprises","Ensemble","73","23","6103","5302","163943587"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants et d adolescents","4 - Grandes entreprises","Ensemble","7","2","s","s","s"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants handicapes","1 - Micro entreprise","Ensemble","373","55","1658","1489","49414034"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants handicapes","2 - Petites entreprises","Ensemble","740","100","15650","11965","408311000"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants handicapes","3 - Moyennes entreprises","Ensemble","132","46","9088","7794","246241033"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil des jeunes enfants","1 - Micro entreprise","Ensemble","5852","3419","24425","22008","500253980"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil des jeunes enfants","2 - Petites entreprises","Ensemble","3385","1650","54120","47065","1159832399"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil des jeunes enfants","3 - Moyennes entreprises","Ensemble","243","163","s","s","s"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil des jeunes enfants","4 - Grandes entreprises","Ensemble","17","1","s","s","s"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Action sociale NCA","1 - Micro entreprise","Ensemble","7431","5217","20206","19302","571483725"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Action sociale NCA","2 - Petites entreprises","Ensemble","4341","2755","84971","71574","2018859266"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Action sociale NCA","3 - Moyennes entreprises","Ensemble","1169","860","98346","84482","2254216889"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Action sociale NCA","4 - Grandes entreprises","Ensemble","122","75","51511","45868","1358876593"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites de services financiers et d assurances","1 - Micro entreprise","Ensemble","34200","28133","65931","60272","2336253955"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites de services financiers et d assurances","2 - Petites entreprises","Ensemble","1938","1274","35784","32426","2016140998"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites de services financiers et d assurances","3 - Moyennes entreprises","Ensemble","326","168","32021","30244","2062548586"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites de services financiers et d assurances","4 - Grandes entreprises","Ensemble","63","28","31855","31208","2045828620"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites des services financiers hors assurance et caisses","1 - Micro entreprise","Ensemble","49264","29280","143434","143269","7782485534"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites des services financiers hors assurance et caisses","2 - Petites entreprises","Ensemble","6778","2110","114784","110318","6107205305"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites des services financiers hors assurance et caisses","3 - Moyennes entreprises","Ensemble","713","190","72632","70596","4433835059"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites des services financiers hors assurance et caisses","4 - Grandes entreprises","Ensemble","279","82","184055","177585","12200251680"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","1 - Micro entreprise","Ensemble","2529","1990","6104","8494","195813725"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","2 - Petites entreprises","Ensemble","4730","3671","100602","72432","1611725667"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","3 - Moyennes entreprises","Ensemble","1348","974","100034","75069","1658825105"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","4 - Grandes entreprises","Ensemble","85","69","39926","31026","692076009"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","1 - Micro entreprise","Ensemble","299","107","1001","1308","33794997"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","2 - Petites entreprises","Ensemble","705","181","17744","16039","376464366"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","3 - Moyennes entreprises","Ensemble","1176","212","125144","108926","1807584795"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","4 - Grandes entreprises","Ensemble","59","13","18553","16098","267336070"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","1 - Micro entreprise","Ensemble","22721","21253","16669","24031","886960823"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","2 - Petites entreprises","Ensemble","1172","1055","16479","17055","687232008"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","3 - Moyennes entreprises","Ensemble","137","123","9010","9246","435439069"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","4 - Grandes entreprises","Ensemble","9","7","4303","4571","228194524"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","1 - Micro entreprise","Ensemble","5340","497","17157","17017","831727493"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","2 - Petites entreprises","Ensemble","1076","183","21261","19776","983065685"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","3 - Moyennes entreprises","Ensemble","461","137","51354","48583","2424351578"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","4 - Grandes entreprises","Ensemble","126","50","79256","76044","4435095425"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","1 - Micro entreprise","Ensemble","4519","3932","7422","6552","207771581"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","2 - Petites entreprises","Ensemble","1016","754","15447","12173","414561421"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","3 - Moyennes entreprises","Ensemble","231","157","18149","15078","533144369"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","4 - Grandes entreprises","Ensemble","93","60","59124","40325","1064267479"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres industries (BE)","1 - Micro entreprise","Ensemble","67465","54856","198226","204755","6823065559"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres industries (BE)","2 - Petites entreprises","Ensemble","27297","20211","581744","553905","20134360869"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres industries (BE)","3 - Moyennes entreprises","Ensemble","8031","5172","817437","788682","32332909252"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres industries (BE)","4 - Grandes entreprises","Ensemble","1514","831","927085","901050","46882054811"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Construction (FZ)","1 - Micro entreprise","Ensemble","211095","197721","486772","484239","13478029493"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Construction (FZ)","2 - Petites entreprises","Ensemble","29047","24160","539071","508299","16845024975"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Construction (FZ)","3 - Moyennes entreprises","Ensemble","3261","1761","287617","279431","10687460696"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Construction (FZ)","4 - Grandes entreprises","Ensemble","173","89","75969","73924","3480486675"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Création artistique","1 - Micro entreprise","Ensemble","1450","1387","s","s","s"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Création artistique","2 - Petites entreprises","Ensemble","37","33","539","s","18011666"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Création artistique","3 - Moyennes entreprises","Ensemble","3","3","s","s","s"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Création artistique","4 - Grandes entreprises","Ensemble","1","1","s","s","s"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement culturel","1 - Micro entreprise","Ensemble","2552","2412","2741","1854","54138913"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement culturel","2 - Petites entreprises","Ensemble","518","488","4929","3150","92934971"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement culturel","3 - Moyennes entreprises","Ensemble","42","26","2678","1870","70121657"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement culturel","4 - Grandes entreprises","Ensemble","4","0","639","454","17426181"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement de disciplines sportives et d activites de lois","1 - Micro entreprise","Ensemble","5128","4888","6433","6252","151578681"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement de disciplines sportives et d activites de lois","2 - Petites entreprises","Ensemble","202","174","3215","2791","111928775"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement de disciplines sportives et d activites de lois","3 - Moyennes entreprises","Ensemble","34","31","2017","1796","98837848"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","1 - Micro entreprise","Ensemble","36323","3624","161024","154482","5361533219"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","2 - Petites entreprises","Ensemble","20522","6127","402601","367150","12743994556"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","3 - Moyennes entreprises","Ensemble","7815","6636","656867","605959","23158272367"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","4 - Grandes entreprises","Ensemble","458","311","229683","208799","7757497071"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adultes","1 - Micro entreprise","Ensemble","18402","14717","39504","38177","1142193557"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adultes","2 - Petites entreprises","Ensemble","2675","1527","45297","39252","1391741841"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adultes","3 - Moyennes entreprises","Ensemble","407","174","25843","22162","807741237"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adultes","4 - Grandes entreprises","Ensemble","114","15","18806","14274","493993067"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Gestion des spectacles","1 - Micro entreprise","Ensemble","737","602","s","s","s"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Gestion des spectacles","2 - Petites entreprises","Ensemble","366","313","5605","s","171189383"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Gestion des spectacles","3 - Moyennes entreprises","Ensemble","45","41","s","s","s"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Gestion des spectacles","4 - Grandes entreprises","Ensemble","3","2","s","s","s"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","1 - Micro entreprise","Ensemble","3492","1200","13588","14377","423935737"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","2 - Petites entreprises","Ensemble","6975","2195","186933","164546","4701867230"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","3 - Moyennes entreprises","Ensemble","6758","3291","493998","440286","12417444536"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","4 - Grandes entreprises","Ensemble","83","52","33818","31042","928558995"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Loisirs","1 - Micro entreprise","Ensemble","8637","7791","s","14566","356200598"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Loisirs","2 - Petites entreprises","Ensemble","1120","925","15898","s","367027491"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Loisirs","3 - Moyennes entreprises","Ensemble","80","59","s","s","131226165"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Loisirs","4 - Grandes entreprises","Ensemble","10","7","20046","19079","617638405"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Sports","1 - Micro entreprise","Ensemble","36076","33918","s","40205","1054817452"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Sports","2 - Petites entreprises","Ensemble","2664","2245","34634","s","925484411"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Sports","3 - Moyennes entreprises","Ensemble","243","213","s","s","1253164056"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Sports","4 - Grandes entreprises","Ensemble","12","8","s","s","220778307"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d adultes handicapes ou pers. agees","1 - Micro entreprise","Hors IDF","582","95","s","s","s"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d adultes handicapes ou pers. agees","1 - Micro entreprise","IDF","80","29","s","s","s"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d adultes handicapes ou pers. agees","2 - Petites entreprises","Hors IDF","304","52","5223","4288","127707976"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d adultes handicapes ou pers. agees","2 - Petites entreprises","IDF","57","5","1028","844","25057206"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d adultes handicapes ou pers. agees","3 - Moyennes entreprises","Hors IDF","43","11","s","s","s"
