"REG","typo_Coop","typo_Coop_det","nb_etab","eff_31","eff_EQTP","rem_brut"
"Grand-Est","Ensemble","Activites de services financiers et d assurances","5","s","s","s"
"Grand-Est","Ensemble","Activites des services financiers hors assurance et caisses","1621","s","s","s"
"Guadeloupe","Ensemble","Activites des services financiers hors assurance et caisses","78","923","933","53339669"
"Guyane","Ensemble","Activites des services financiers hors assurance et caisses","14","106","109","5706105"
"Hauts-de-France","Ensemble","Activites de services financiers et d assurances","3","s","s","s"
"Hauts-de-France","Ensemble","Activites des services financiers hors assurance et caisses","1160","10943","10787","512059315"
"Hauts-de-France","Ensemble","Assurances","2","s","s","s"
"Ile-de-France","Ensemble","Activites de services financiers et d assurances","7","s","s","s"
"Ile-de-France","Ensemble","Activites des services financiers hors assurance et caisses","1269","20734","20660","1199636994"
"Ile-de-France","Ensemble","Assurances","1","s","s","s"
"La Réunion","Ensemble","Activites des services financiers hors assurance et caisses","119","1494","1513","89539420"
"Martinique","Ensemble","Activites des services financiers hors assurance et caisses","89","965","982","55523608"
"Normandie","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"Normandie","Ensemble","Activites des services financiers hors assurance et caisses","749","s","s","s"
"Nouvelle-Aquitaine","Ensemble","Activites de services financiers et d assurances","3","7","7","313944"
"Nouvelle-Aquitaine","Ensemble","Activites des services financiers hors assurance et caisses","1478","15733","15597","734799081"
"Occitanie","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"Occitanie","Ensemble","Activites des services financiers hors assurance et caisses","1326","s","s","s"
"Pays de la Loire","Ensemble","Activites de services financiers et d assurances","5","s","s","s"
"Pays de la Loire","Ensemble","Activites des services financiers hors assurance et caisses","993","s","s","s"
"Provence-Alpes-Côte d'Azur","Ensemble","Activites de services financiers et d assurances","3","17","17","762824"
"Provence-Alpes-Côte d'Azur","Ensemble","Activites des services financiers hors assurance et caisses","865","12144","11901","580439875"
"Auvergne-Rhône-Alpes","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","1752","21385","21266","1009450352"
"Auvergne-Rhône-Alpes","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","79","900","896","32471118"
"Auvergne-Rhône-Alpes","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","229","2109","2038","69154305"
"Auvergne-Rhône-Alpes","COMMERCE (GZ)","Ensemble","380","4362","4247","142496167"
"Auvergne-Rhône-Alpes","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","271","4264","4044","133924300"
"Auvergne-Rhône-Alpes","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","256","2445","2068","71961554"
"Bourgogne-Franche-Comté","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","840","8372","8229","388578043"
"Bourgogne-Franche-Comté","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","33","464","446","16075577"
"Bourgogne-Franche-Comté","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","80","461","448","15305188"
"Bourgogne-Franche-Comté","COMMERCE (GZ)","Ensemble","144","1782","1774","67752218"
"Bourgogne-Franche-Comté","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","213","2728","2569","88641847"
"Bourgogne-Franche-Comté","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","52","305","300","10579009"
"Bretagne","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","764","13130","12967","622797313"
"Bretagne","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","54","1289","1248","48778854"
"Bretagne","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","115","1625","1411","40566224"
"Bretagne","COMMERCE (GZ)","Ensemble","336","4997","5117","177637773"
"Bretagne","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","161","5761","5539","185192221"
"Bretagne","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","313","1011","934","28993537"
"Centre-Val de Loire","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","668","8625","8445","387516170"
"Centre-Val de Loire","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","26","218","204","6227580"
"Centre-Val de Loire","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","74","484","452","13777040"
"Centre-Val de Loire","COMMERCE (GZ)","Ensemble","214","2300","2448","88399821"
"Centre-Val de Loire","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","55","1266","1313","50151766"
"Centre-Val de Loire","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","44","827","808","31968413"
"Corse","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","47","648","636","33567627"
"Corse","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","3","9","7","s"
"Corse","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","9","73","62","s"
"Corse","COMMERCE (GZ)","Ensemble","9","135","96","3077206"
"Corse","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","9","138","149","5833433"
"Corse","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","7","44","29","796355"
"Grand-Est","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","1626","16180","16050","784842380"
"Grand-Est","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","43","593","549","19951768"
"Grand-Est","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","94","1022","1020","31298784"
"Grand-Est","COMMERCE (GZ)","Ensemble","393","4613","4488","170693657"
"Grand-Est","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","243","6218","5964","240576541"
"Grand-Est","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","96","720","648","19995524"
"Guadeloupe","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","78","923","933","53339669"
"Guadeloupe","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","8","41","44","1683905"
"Guadeloupe","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","8","34","30","1235017"
"Guadeloupe","COMMERCE (GZ)","Ensemble","4","s","s","s"
"Guadeloupe","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","8","23","23","691311"
"Guadeloupe","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","2","s","s","s"
"Guyane","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","14","106","109","5706105"
"Guyane","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","3","21","20","s"
"Guyane","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","1","s","s","s"
"Guyane","COMMERCE (GZ)","Ensemble","2","s","s","s"
"Guyane","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","1","s","s","s"
"Guyane","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","3","16","9","340808"
"Hauts-de-France","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","1165","11271","11098","526031173"
"Hauts-de-France","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","37","255","256","10496641"
"Hauts-de-France","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","109","1141","1086","37592921"
"Hauts-de-France","COMMERCE (GZ)","Ensemble","236","1911","1966","73218219"
"Hauts-de-France","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","97","4039","3691","149625568"
"Hauts-de-France","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","95","1021","974","46166975"
"Ile-de-France","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","1277","21870","21771","1258164651"
"Ile-de-France","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","8","69","73","3180099"
"Ile-de-France","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","198","2180","2082","73755209"
"Ile-de-France","COMMERCE (GZ)","Ensemble","118","4078","3965","193545458"
"Ile-de-France","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","100","3054","2985","119147707"
"Ile-de-France","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","190","2997","2591","99641013"
"La Réunion","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","119","1494","1513","89539420"
"La Réunion","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","9","93","86","3511508"
"La Réunion","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","28","928","621","14697376"
"La Réunion","COMMERCE (GZ)","Ensemble","14","115","99","3668069"
"La Réunion","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","21","341","337","13847773"
"La Réunion","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","8","79","66","2242445"
"Martinique","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","89","965","982","55523608"
"Martinique","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","6","33","33","995553"
"Martinique","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","9","s","s","353607"
"Martinique","COMMERCE (GZ)","Ensemble","2","s","s","s"
"Martinique","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","4","s","s","s"
"Martinique","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","2","s","s","s"
"Normandie","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","751","7410","7534","354483828"
"Normandie","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","120","461","424","12928606"
"Normandie","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","75","609","592","19356869"
"Normandie","COMMERCE (GZ)","Ensemble","234","2313","2314","83335463"
"Normandie","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","63","4271","4112","153117161"
"Normandie","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","92","674","643","23971660"
"Nouvelle-Aquitaine","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","1481","15740","15604","735113025"
"Nouvelle-Aquitaine","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","144","1044","993","33710343"
"Nouvelle-Aquitaine","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","141","2197","2044","71559303"
"Nouvelle-Aquitaine","COMMERCE (GZ)","Ensemble","431","8420","8345","257704762"
"Nouvelle-Aquitaine","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","293","5845","5768","190258261"
"Nouvelle-Aquitaine","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","199","2022","1939","78933731"
"Occitanie","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","1328","15535","15399","716237522"
"Occitanie","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","112","537","535","19060319"
"Occitanie","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","160","1223","1129","32420552"
"Occitanie","COMMERCE (GZ)","Ensemble","404","4745","4627","156316711"
"Occitanie","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","420","5019","5244","177487241"
"Occitanie","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","241","1351","1270","38355108"
"Pays de la Loire","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","998","11754","11817","550748777"
"Pays de la Loire","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","109","500","518","17190933"
"Pays de la Loire","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","89","1746","1297","36370134"
"Pays de la Loire","COMMERCE (GZ)","Ensemble","314","6992","6744","250277606"
"Pays de la Loire","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","137","3335","3230","114421927"
"Pays de la Loire","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","249","1825","1703","55053525"
"Provence-Alpes-Côte d'Azur","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","868","12161","11917","581202699"
"Provence-Alpes-Côte d'Azur","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","26","139","139","3826948"
"Provence-Alpes-Côte d'Azur","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","137","1336","1158","40808042"
"Provence-Alpes-Côte d'Azur","COMMERCE (GZ)","Ensemble","130","1669","1672","58446664"
"Provence-Alpes-Côte d'Azur","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","224","1717","1695","61469289"
"Provence-Alpes-Côte d'Azur","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","105","585","508","16913312"
"Auvergne-Rhône-Alpes","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","3","30","29","1468037"
"Auvergne-Rhône-Alpes","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","1749","21355","21238","1007982315"
"Bourgogne-Franche-Comté","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","839","s","s","s"
"Bourgogne-Franche-Comté","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","1","s","s","s"
"Bretagne","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","6","11","9","374480"
"Bretagne","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","758","13119","12958","622422833"
"Centre-Val de Loire","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","3","s","s","s"
"Centre-Val de Loire","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","661","7747","7586","348185270"
"Centre-Val de Loire","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","4","s","s","s"
"Corse","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","47","648","636","33567627"
"Grand-Est","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","5","s","s","s"
"Grand-Est","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","1621","s","s","s"
"Guadeloupe","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","78","923","933","53339669"
"Guyane","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","14","106","109","5706105"
"Hauts-de-France","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","3","s","s","s"
"Hauts-de-France","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","1160","10943","10787","512059315"
"Hauts-de-France","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","2","s","s","s"
"Ile-de-France","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","7","s","s","s"
"Ile-de-France","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","1269","20734","20660","1199636994"
"Ile-de-France","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","1","s","s","s"
"La Réunion","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","119","1494","1513","89539420"
"Martinique","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","89","965","982","55523608"
"Normandie","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","2","s","s","s"
"Normandie","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","749","s","s","s"
"Nouvelle-Aquitaine","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","3","7","7","313944"
"Nouvelle-Aquitaine","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","1478","15733","15597","734799081"
"Occitanie","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","2","s","s","s"
"Occitanie","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","1326","s","s","s"
"Pays de la Loire","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","5","s","s","s"
"Pays de la Loire","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","993","s","s","s"
"Provence-Alpes-Côte d'Azur","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","3","17","17","762824"
"Provence-Alpes-Côte d'Azur","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","865","12144","11901","580439875"
