"nom_jurid_2","taille_etab","nb_etab","nb_ent","eff_31","eff_EQTP","rem_brut"
"Cooperative d artisans","4 - Grandes entreprises","1","1","s","s","s"
"Cooperative de commerçants detaillants","1 - Micro entreprise","29","25","114","106","4778535"
"Cooperative de commerçants detaillants","2 - Petites entreprises","22","15","411","394","19076677"
"Cooperative de commerçants detaillants","3 - Moyennes entreprises","6","5","441","436","18480057"
"Cooperative de commerçants detaillants","4 - Grandes entreprises","6","6","2434","2308","73214782"
"Cooperative de consommateurs","1 - Micro entreprise","146","36","s","s","s"
"Cooperative de consommateurs","2 - Petites entreprises","97","24","2153","2010","53529676"
"Cooperative de consommateurs","3 - Moyennes entreprises","24","0","1897","1790","44855548"
"Cooperative de consommateurs","4 - Grandes entreprises","2","1","s","s","s"
"Cooperative de transport","1 - Micro entreprise","35","29","103","98","s"
"Cooperative de transport","2 - Petites entreprises","15","12","262","243","s"
"Cooperative maritime","1 - Micro entreprise","64","45","266","237","9315032"
"Cooperative maritime","2 - Petites entreprises","10","7","s","s","s"
"Cooperative maritime","3 - Moyennes entreprises","1","1","s","s","s"
"Fondation","1 - Micro entreprise","716","294","2512","2491","91887824"
"Fondation","2 - Petites entreprises","644","121","15986","14087","458492373"
"Fondation","3 - Moyennes entreprises","530","96","44959","39862","1236255701"
"Fondation","4 - Grandes entreprises","54","24","32839","29901","1153925976"
"Groupement d employeurs","1 - Micro entreprise","3239","3171","7048","8662","208850178"
"Groupement d employeurs","2 - Petites entreprises","604","576","10848","12004","285586457"
"Groupement d employeurs","3 - Moyennes entreprises","118","101","9919","10057","257894440"
"Groupement d employeurs","4 - Grandes entreprises","7","5","2300","2125","82056995"
"Mutuelle d assurance","1 - Micro entreprise","1469","42","5718","5353","255588385"
"Mutuelle d assurance","2 - Petites entreprises","311","18","5636","5178","259729924"
"Mutuelle d assurance","3 - Moyennes entreprises","136","11","15562","14460","667476943"
"Mutuelle d assurance","4 - Grandes entreprises","35","15","19595","18784","991204857"
"Mutuelle de sante","1 - Micro entreprise","3735","281","11432","11726","444003472"
"Mutuelle de sante","2 - Petites entreprises","1184","168","23962","21031","754477310"
"Mutuelle de sante","3 - Moyennes entreprises","399","79","35477","31755","1098280135"
"Mutuelle de sante","4 - Grandes entreprises","34","10","15040","13583","573116958"
"SCOP","1 - Micro entreprise","1154","847","4176","4339","139100572"
"SCOP","2 - Petites entreprises","567","420","10973","10031","336301507"
"SCOP","3 - Moyennes entreprises","110","78","9024","8094","268069563"
"SCOP","4 - Grandes entreprises","6","5","3195","2718","99557059"
