"REG","ESS_simp","typo_B","typo_B_det","sexe","CSP","nb_poste"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Hommes","Ensemble","5276"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Femmes","Ensemble","234396"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Hommes","Ensemble","12147"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Femmes","Ensemble","68200"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Hommes","Ensemble","94168"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Femmes","Ensemble","239972"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Hommes","Ensemble","76123"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Femmes","Ensemble","91892"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Hommes","Ensemble","30819"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Femmes","Ensemble","979514"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Hommes","Ensemble","470217"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Femmes","Ensemble","72687"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Hommes","Ensemble","55649"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Femmes","Ensemble","583203"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Hommes","Ensemble","144487"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","1845"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Femmes","Employes","54863"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Femmes","Ouvriers et Non codes","3807"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Femmes","Professions intermediaires","28311"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","517"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Hommes","Employes","1505"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Hommes","Ouvriers et Non codes","636"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Hommes","Professions intermediaires","2618"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","2759"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Femmes","Employes","222522"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Femmes","Ouvriers et Non codes","962"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Femmes","Professions intermediaires","8153"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","975"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Hommes","Employes","8776"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Hommes","Ouvriers et Non codes","1302"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Hommes","Professions intermediaires","1094"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","1813"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Femmes","Employes","9371"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Femmes","Ouvriers et Non codes","43077"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Femmes","Professions intermediaires","13939"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","1349"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Hommes","Employes","6305"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Hommes","Ouvriers et Non codes","73121"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Hommes","Professions intermediaires","13393"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","17740"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Femmes","Employes","119127"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Femmes","Ouvriers et Non codes","22468"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Femmes","Professions intermediaires","80637"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","7827"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Hommes","Employes","20492"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Hommes","Ouvriers et Non codes","23971"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Hommes","Professions intermediaires","23833"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","13069"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Femmes","Employes","12927"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Femmes","Ouvriers et Non codes","1752"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Femmes","Professions intermediaires","64144"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","10035"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Hommes","Employes","3949"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Hommes","Ouvriers et Non codes","2205"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Hommes","Professions intermediaires","14630"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","319971"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Femmes","Employes","101463"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Femmes","Ouvriers et Non codes","18137"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Femmes","Professions intermediaires","539943"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","247608"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Hommes","Employes","26428"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Hommes","Ouvriers et Non codes","10909"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Hommes","Professions intermediaires","185272"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","14535"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Femmes","Employes","21929"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Femmes","Ouvriers et Non codes","1052"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Femmes","Professions intermediaires","35171"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","14994"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Hommes","Employes","6445"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Hommes","Ouvriers et Non codes","2113"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Hommes","Professions intermediaires","32097"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","25256"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Femmes","Employes","365992"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Femmes","Ouvriers et Non codes","27928"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Femmes","Professions intermediaires","164027"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","12829"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Hommes","Employes","49122"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Hommes","Ouvriers et Non codes","29403"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Hommes","Professions intermediaires","53133"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Ensemble","Ensemble","Ensemble","1546798"
"France entière","ESS + Hors ESS","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ensemble","Ensemble","849429"
"France entière","ESS + Hors ESS","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Ensemble","Ensemble","239653"
"France entière","ESS + Hors ESS","ARTS SPECTACLES (RZ1)","Ensemble","Ensemble","Ensemble","115119"
"France entière","ESS + Hors ESS","COMMERCE (GZ)","Ensemble","Ensemble","Ensemble","3091470"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Ensemble","Ensemble","Ensemble","1700778"
"France entière","ESS + Hors ESS","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Ensemble","Ensemble","983267"
"France entière","ESS + Hors ESS","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Ensemble","Ensemble","4486118"
"France entière","ESS + Hors ESS","NON-CLASSES (94.99Z)","Ensemble","Ensemble","Ensemble","169749"
"France entière","ESS + Hors ESS","SANTE HUMAINE (QA)","Ensemble","Ensemble","Ensemble","1603818"
"France entière","ESS + Hors ESS","SERVICES DIVERS","Ensemble","Ensemble","Ensemble","5248992"
"France entière","ESS + Hors ESS","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Ensemble","Ensemble","2681863"
"France entière","ESS + Hors ESS","SPORTS ET LOISIRS (RZ2)","Ensemble","Ensemble","Ensemble","155088"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Ensemble","Ensemble","Cadres professions intellectuelles supérieures et chefs d entreprises","72910"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Ensemble","Ensemble","Employes","858075"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Ensemble","Ensemble","Ouvriers et Non codes","226675"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Ensemble","Ensemble","Professions intermediaires","389138"
"France entière","ESS + Hors ESS","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ensemble","Cadres professions intellectuelles supérieures et chefs d entreprises","369741"
"France entière","ESS + Hors ESS","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ensemble","Employes","216627"
"France entière","ESS + Hors ESS","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ensemble","Ouvriers et Non codes","6891"
"France entière","ESS + Hors ESS","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ensemble","Professions intermediaires","256170"
"France entière","ESS + Hors ESS","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Ensemble","Cadres professions intellectuelles supérieures et chefs d entreprises","12048"
"France entière","ESS + Hors ESS","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Ensemble","Employes","14418"
"France entière","ESS + Hors ESS","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Ensemble","Ouvriers et Non codes","197347"
"France entière","ESS + Hors ESS","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Ensemble","Professions intermediaires","15840"
"France entière","ESS + Hors ESS","ARTS SPECTACLES (RZ1)","Ensemble","Ensemble","Cadres professions intellectuelles supérieures et chefs d entreprises","38668"
"France entière","ESS + Hors ESS","ARTS SPECTACLES (RZ1)","Ensemble","Ensemble","Employes","39808"
"France entière","ESS + Hors ESS","ARTS SPECTACLES (RZ1)","Ensemble","Ensemble","Ouvriers et Non codes","12350"
"France entière","ESS + Hors ESS","ARTS SPECTACLES (RZ1)","Ensemble","Ensemble","Professions intermediaires","24293"
"France entière","ESS + Hors ESS","COMMERCE (GZ)","Ensemble","Ensemble","Cadres professions intellectuelles supérieures et chefs d entreprises","469789"
"France entière","ESS + Hors ESS","COMMERCE (GZ)","Ensemble","Ensemble","Employes","1497491"
"France entière","ESS + Hors ESS","COMMERCE (GZ)","Ensemble","Ensemble","Ouvriers et Non codes","585585"
"France entière","ESS + Hors ESS","COMMERCE (GZ)","Ensemble","Ensemble","Professions intermediaires","538605"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Ensemble","Ensemble","Cadres professions intellectuelles supérieures et chefs d entreprises","620212"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Ensemble","Ensemble","Employes","173141"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Ensemble","Ensemble","Ouvriers et Non codes","36168"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Ensemble","Ensemble","Professions intermediaires","871257"
"France entière","ESS + Hors ESS","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Ensemble","Cadres professions intellectuelles supérieures et chefs d entreprises","64405"
"France entière","ESS + Hors ESS","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Ensemble","Employes","679067"
"France entière","ESS + Hors ESS","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Ensemble","Ouvriers et Non codes","154993"
"France entière","ESS + Hors ESS","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Ensemble","Professions intermediaires","84802"
"France entière","ESS + Hors ESS","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Ensemble","Cadres professions intellectuelles supérieures et chefs d entreprises","780824"
"France entière","ESS + Hors ESS","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Ensemble","Employes","409320"
"France entière","ESS + Hors ESS","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Ensemble","Ouvriers et Non codes","2419186"
"France entière","ESS + Hors ESS","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Ensemble","Professions intermediaires","876788"
"France entière","ESS + Hors ESS","NON-CLASSES (94.99Z)","Ensemble","Ensemble","Cadres professions intellectuelles supérieures et chefs d entreprises","29973"
"France entière","ESS + Hors ESS","NON-CLASSES (94.99Z)","Ensemble","Ensemble","Employes","61222"
"France entière","ESS + Hors ESS","NON-CLASSES (94.99Z)","Ensemble","Ensemble","Ouvriers et Non codes","17773"
"France entière","ESS + Hors ESS","NON-CLASSES (94.99Z)","Ensemble","Ensemble","Professions intermediaires","60781"
"France entière","ESS + Hors ESS","SANTE HUMAINE (QA)","Ensemble","Ensemble","Cadres professions intellectuelles supérieures et chefs d entreprises","247748"
"France entière","ESS + Hors ESS","SANTE HUMAINE (QA)","Ensemble","Ensemble","Employes","658487"
"France entière","ESS + Hors ESS","SANTE HUMAINE (QA)","Ensemble","Ensemble","Ouvriers et Non codes","87620"
"France entière","ESS + Hors ESS","SANTE HUMAINE (QA)","Ensemble","Ensemble","Professions intermediaires","609963"
"France entière","ESS + Hors ESS","SERVICES DIVERS","Ensemble","Ensemble","Cadres professions intellectuelles supérieures et chefs d entreprises","1160021"
"France entière","ESS + Hors ESS","SERVICES DIVERS","Ensemble","Ensemble","Employes","1678477"
"France entière","ESS + Hors ESS","SERVICES DIVERS","Ensemble","Ensemble","Ouvriers et Non codes","1442198"
"France entière","ESS + Hors ESS","SERVICES DIVERS","Ensemble","Ensemble","Professions intermediaires","968296"
"France entière","ESS + Hors ESS","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Ensemble","Cadres professions intellectuelles supérieures et chefs d entreprises","810443"
"France entière","ESS + Hors ESS","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Ensemble","Employes","785662"
"France entière","ESS + Hors ESS","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Ensemble","Ouvriers et Non codes","626901"
"France entière","ESS + Hors ESS","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Ensemble","Professions intermediaires","458857"
"France entière","ESS + Hors ESS","SPORTS ET LOISIRS (RZ2)","Ensemble","Ensemble","Cadres professions intellectuelles supérieures et chefs d entreprises","14128"
"France entière","ESS + Hors ESS","SPORTS ET LOISIRS (RZ2)","Ensemble","Ensemble","Employes","44812"
"France entière","ESS + Hors ESS","SPORTS ET LOISIRS (RZ2)","Ensemble","Ensemble","Ouvriers et Non codes","16313"
"France entière","ESS + Hors ESS","SPORTS ET LOISIRS (RZ2)","Ensemble","Ensemble","Professions intermediaires","79835"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Ensemble","Femmes","Ensemble","1214597"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Ensemble","Hommes","Ensemble","332201"
"France entière","ESS + Hors ESS","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Femmes","Ensemble","505586"
"France entière","ESS + Hors ESS","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Hommes","Ensemble","343843"
"France entière","ESS + Hors ESS","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Femmes","Ensemble","68538"
"France entière","ESS + Hors ESS","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Hommes","Ensemble","171115"
"France entière","ESS + Hors ESS","ARTS SPECTACLES (RZ1)","Ensemble","Femmes","Ensemble","57886"
"France entière","ESS + Hors ESS","ARTS SPECTACLES (RZ1)","Ensemble","Hommes","Ensemble","57233"
"France entière","ESS + Hors ESS","COMMERCE (GZ)","Ensemble","Femmes","Ensemble","1484520"
"France entière","ESS + Hors ESS","COMMERCE (GZ)","Ensemble","Hommes","Ensemble","1606950"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Ensemble","Femmes","Ensemble","1144093"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Ensemble","Hommes","Ensemble","556685"
"France entière","ESS + Hors ESS","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Femmes","Ensemble","456089"
"France entière","ESS + Hors ESS","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Hommes","Ensemble","527178"
"France entière","ESS + Hors ESS","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Femmes","Ensemble","1057308"
"France entière","ESS + Hors ESS","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Hommes","Ensemble","3428810"
"France entière","ESS + Hors ESS","NON-CLASSES (94.99Z)","Ensemble","Femmes","Ensemble","111715"
"France entière","ESS + Hors ESS","NON-CLASSES (94.99Z)","Ensemble","Hommes","Ensemble","58034"
"France entière","ESS + Hors ESS","SANTE HUMAINE (QA)","Ensemble","Femmes","Ensemble","1238262"
"France entière","ESS + Hors ESS","SANTE HUMAINE (QA)","Ensemble","Hommes","Ensemble","365556"
"France entière","ESS + Hors ESS","SERVICES DIVERS","Ensemble","Femmes","Ensemble","2480256"
"France entière","ESS + Hors ESS","SERVICES DIVERS","Ensemble","Hommes","Ensemble","2768736"
"France entière","ESS + Hors ESS","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Femmes","Ensemble","1315207"
"France entière","ESS + Hors ESS","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Hommes","Ensemble","1366656"
"France entière","ESS + Hors ESS","SPORTS ET LOISIRS (RZ2)","Ensemble","Femmes","Ensemble","65171"
