"REG","nom_jurid_coop","nb_poste"
"Grand-Est","Cooperative HLM","11"
"Grand-Est","Cooperative agricole","7864"
"Grand-Est","Cooperative bancaire","14541"
"Grand-Est","Cooperative d artisans","128"
"Grand-Est","Cooperative de commerçants detaillants","s"
"Grand-Est","Cooperative de consommateurs","22"
"Grand-Est","Cooperative de transport","s"
"Grand-Est","SCOP","2057"
"Guadeloupe","Autre cooperative","459"
"Guadeloupe","Cooperative HLM","s"
"Guadeloupe","Cooperative agricole","68"
"Guadeloupe","Cooperative bancaire","480"
"Guadeloupe","Cooperative d artisans","9"
"Guadeloupe","Cooperative de transport","6"
"Guadeloupe","SCOP","s"
"Guyane","Autre cooperative","79"
"Guyane","Cooperative agricole","32"
"Guyane","Cooperative bancaire","48"
"Guyane","Cooperative maritime","s"
"Guyane","SCOP","s"
"Hauts-de-France","Autre cooperative","7723"
"Hauts-de-France","Cooperative HLM","s"
"Hauts-de-France","Cooperative agricole","5152"
"Hauts-de-France","Cooperative bancaire","4565"
"Hauts-de-France","Cooperative d artisans","59"
"Hauts-de-France","Cooperative de commerçants detaillants","51"
"Hauts-de-France","Cooperative de consommateurs","77"
"Hauts-de-France","Cooperative de transport","s"
"Hauts-de-France","Cooperative maritime","54"
"Hauts-de-France","SCOP","1918"
"Ile-de-France","Autre cooperative","11400"
"Ile-de-France","Cooperative HLM","s"
"Ile-de-France","Cooperative agricole","720"
"Ile-de-France","Cooperative bancaire","16605"
"Ile-de-France","Cooperative d artisans","16"
"Ile-de-France","Cooperative de commerçants detaillants","670"
"Ile-de-France","Cooperative de consommateurs","73"
"Ile-de-France","Cooperative de transport","s"
"Ile-de-France","SCOP","4482"
"La Réunion","Autre cooperative","1577"
"La Réunion","Cooperative agricole","477"
"La Réunion","Cooperative bancaire","813"
"La Réunion","Cooperative d artisans","s"
"La Réunion","Cooperative de commerçants detaillants","s"
"La Réunion","Cooperative de transport","11"
"La Réunion","SCOP","165"
"Martinique","Autre cooperative","373"
"Martinique","Cooperative agricole","69"
"Martinique","Cooperative bancaire","606"
"Martinique","Cooperative d artisans","s"
"Martinique","Cooperative de transport","12"
"Martinique","SCOP","s"
"Normandie","Autre cooperative","1798"
"Normandie","Cooperative HLM","15"
"Normandie","Cooperative agricole","4398"
"Normandie","Cooperative bancaire","6907"
"Normandie","Cooperative d artisans","175"
"Normandie","Cooperative de commerçants detaillants","s"
"Normandie","Cooperative de consommateurs","413"
"Normandie","Cooperative de transport","s"
"Normandie","Cooperative maritime","120"
"Normandie","SCOP","1897"
"Nouvelle-Aquitaine","Autre cooperative","8504"
"Nouvelle-Aquitaine","Cooperative HLM","s"
"Nouvelle-Aquitaine","Cooperative agricole","8445"
"Nouvelle-Aquitaine","Cooperative bancaire","10522"
"Nouvelle-Aquitaine","Cooperative d artisans","333"
"Nouvelle-Aquitaine","Cooperative de commerçants detaillants","596"
"Nouvelle-Aquitaine","Cooperative de consommateurs","2785"
"Nouvelle-Aquitaine","Cooperative de transport","s"
"Nouvelle-Aquitaine","Cooperative maritime","62"
"Nouvelle-Aquitaine","SCOP","3402"
"Occitanie","Autre cooperative","4474"
"Occitanie","Cooperative HLM","94"
"Occitanie","Cooperative agricole","7560"
"Occitanie","Cooperative bancaire","13838"
"Occitanie","Cooperative d artisans","142"
"Occitanie","Cooperative de commerçants detaillants","90"
"Occitanie","Cooperative de consommateurs","133"
"Occitanie","Cooperative de transport","35"
"Occitanie","Cooperative maritime","8"
"Occitanie","SCOP","2036"
"Pays de la Loire","Autre cooperative","5746"
"Pays de la Loire","Cooperative HLM","s"
"Pays de la Loire","Cooperative agricole","5606"
"Pays de la Loire","Cooperative bancaire","8580"
"Pays de la Loire","Cooperative d artisans","1245"
"Pays de la Loire","Cooperative de commerçants detaillants","1189"
"Pays de la Loire","Cooperative de consommateurs","338"
"Pays de la Loire","Cooperative de transport","s"
"Pays de la Loire","Cooperative maritime","93"
"Pays de la Loire","SCOP","3238"
"Provence-Alpes-Côte d'Azur","Autre cooperative","5159"
"Provence-Alpes-Côte d'Azur","Cooperative HLM","23"
"Provence-Alpes-Côte d'Azur","Cooperative agricole","2312"
"Provence-Alpes-Côte d'Azur","Cooperative bancaire","8115"
"Provence-Alpes-Côte d'Azur","Cooperative d artisans","86"
"Provence-Alpes-Côte d'Azur","Cooperative de commerçants detaillants","s"
"Provence-Alpes-Côte d'Azur","Cooperative de consommateurs","88"
"Provence-Alpes-Côte d'Azur","Cooperative de transport","44"
"Provence-Alpes-Côte d'Azur","Cooperative maritime","s"
"Provence-Alpes-Côte d'Azur","SCOP","1431"
