"REG","ESS","famille","taille_etab","nb_etab","nb_ent","eff_31","eff_EQTP","rem_brut"
"France entière","ESS + Hors ESS","1. Coopérative","2 - Petites entreprises","4780","1652","84106","81012","3310232777"
"France entière","ESS + Hors ESS","1. Coopérative","3 - Moyennes entreprises","660","342","64021","61137","2513735838"
"France entière","ESS + Hors ESS","1. Coopérative","4 - Grandes entreprises","176","84","91262","88448","4272408492"
"France entière","ESS + Hors ESS","2. Mutuelle","1 - Micro entreprise","5225","331","17196","17121","701823456"
"France entière","ESS + Hors ESS","2. Mutuelle","2 - Petites entreprises","1499","189","29719","26327","1022433799"
"France entière","ESS + Hors ESS","2. Mutuelle","3 - Moyennes entreprises","535","90","51039","46216","1765757078"
"France entière","ESS + Hors ESS","2. Mutuelle","4 - Grandes entreprises","70","26","34961","32679","1574413035"
"France entière","ESS + Hors ESS","3. Association","1 - Micro entreprise","135883","118631","225338","216559","6552555757"
"France entière","ESS + Hors ESS","3. Association","2 - Petites entreprises","33854","21442","648138","546964","16522045088"
"France entière","ESS + Hors ESS","3. Association","3 - Moyennes entreprises","9436","5178","753137","650466","18326445346"
"France entière","ESS + Hors ESS","3. Association","4 - Grandes entreprises","392","275","160813","139213","4465507638"
"France entière","ESS + Hors ESS","4. Fondation","1 - Micro entreprise","716","294","2512","2491","91887824"
"France entière","ESS + Hors ESS","4. Fondation","2 - Petites entreprises","644","121","15986","14087","458492373"
"France entière","ESS + Hors ESS","4. Fondation","3 - Moyennes entreprises","530","96","44959","39862","1236255701"
"France entière","ESS + Hors ESS","4. Fondation","4 - Grandes entreprises","54","24","32839","29901","1153925976"
"France entière","ESS + Hors ESS","Privé Hors ESS","1 - Micro entreprise","1666099","1419174","3696879","3638090","111201882507"
"France entière","ESS + Hors ESS","Privé Hors ESS","2 - Petites entreprises","235060","165761","4322640","3998019","140938723700"
"France entière","ESS + Hors ESS","Privé Hors ESS","3 - Moyennes entreprises","41847","24778","3825227","3577501","142103481693"
"France entière","ESS + Hors ESS","Privé Hors ESS","4 - Grandes entreprises","5974","3027","3093591","2915762","142046026366"
"France entière","ESS + Hors ESS","Public","1 - Micro entreprise","79836","35137","283481","261195","8501089033"
"France entière","ESS + Hors ESS","Public","2 - Petites entreprises","40112","15068","790449","734089","24235761318"
"France entière","ESS + Hors ESS","Public","3 - Moyennes entreprises","17158","11847","1573929","1469224","51078683796"
"France entière","ESS + Hors ESS","Public","4 - Grandes entreprises","3625","2380","3002889","2794224","96281239796"
"France entière","ESS","1. Coopérative","Toutes entreprises","23880","7982","303916","297381","12826013031"
"France entière","ESS","2. Mutuelle","Toutes entreprises","7329","636","132915","122342","5064427368"
"France entière","ESS","3. Association","Toutes entreprises","179565","145526","1787426","1553201","45866553829"
"France entière","ESS","4. Fondation","Toutes entreprises","1944","535","96296","86341","2940561874"
"France entière","Hors ESS","Privé Hors ESS","Toutes entreprises","1948980","1612740","14938337","14129372","536290114266"
"France entière","Hors ESS","Public","Toutes entreprises","140731","64432","5650748","5258733","180096773943"
"France entière","ESS","1. Coopérative","1 - Micro entreprise","18264","5904","64527","66784","2729635924"
"France entière","ESS","1. Coopérative","2 - Petites entreprises","4780","1652","84106","81012","3310232777"
"France entière","ESS","1. Coopérative","3 - Moyennes entreprises","660","342","64021","61137","2513735838"
"France entière","ESS","1. Coopérative","4 - Grandes entreprises","176","84","91262","88448","4272408492"
"France entière","ESS","2. Mutuelle","1 - Micro entreprise","5225","331","17196","17121","701823456"
"France entière","ESS","2. Mutuelle","2 - Petites entreprises","1499","189","29719","26327","1022433799"
"France entière","ESS","2. Mutuelle","3 - Moyennes entreprises","535","90","51039","46216","1765757078"
"France entière","ESS","2. Mutuelle","4 - Grandes entreprises","70","26","34961","32679","1574413035"
"France entière","ESS","3. Association","1 - Micro entreprise","135883","118631","225338","216559","6552555757"
"France entière","ESS","3. Association","2 - Petites entreprises","33854","21442","648138","546964","16522045088"
"France entière","ESS","3. Association","3 - Moyennes entreprises","9436","5178","753137","650466","18326445346"
"France entière","ESS","3. Association","4 - Grandes entreprises","392","275","160813","139213","4465507638"
"France entière","ESS","4. Fondation","1 - Micro entreprise","716","294","2512","2491","91887824"
"France entière","ESS","4. Fondation","2 - Petites entreprises","644","121","15986","14087","458492373"
"France entière","ESS","4. Fondation","3 - Moyennes entreprises","530","96","44959","39862","1236255701"
"France entière","ESS","4. Fondation","4 - Grandes entreprises","54","24","32839","29901","1153925976"
"France entière","Hors ESS","Privé Hors ESS","1 - Micro entreprise","1666099","1419174","3696879","3638090","111201882507"
"France entière","Hors ESS","Privé Hors ESS","2 - Petites entreprises","235060","165761","4322640","3998019","140938723700"
"France entière","Hors ESS","Privé Hors ESS","3 - Moyennes entreprises","41847","24778","3825227","3577501","142103481693"
"France entière","Hors ESS","Privé Hors ESS","4 - Grandes entreprises","5974","3027","3093591","2915762","142046026366"
"France entière","Hors ESS","Public","1 - Micro entreprise","79836","35137","283481","261195","8501089033"
"France entière","Hors ESS","Public","2 - Petites entreprises","40112","15068","790449","734089","24235761318"
"France entière","Hors ESS","Public","3 - Moyennes entreprises","17158","11847","1573929","1469224","51078683796"
"France entière","Hors ESS","Public","4 - Grandes entreprises","3625","2380","3002889","2794224","96281239796"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Toutes entreprises","287593","227128","2748106","2553977","90246991340"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Toutes entreprises","92682","71807","868349","806966","26232201094"
"Bretagne","ESS + Hors ESS","Ensemble","Toutes entreprises","110058","87387","1068307","1000947","32455272517"
"Centre-Val de Loire","ESS + Hors ESS","Ensemble","Toutes entreprises","79898","61631","799473","751707","24797683825"
"Corse","ESS + Hors ESS","Ensemble","Toutes entreprises","17371","15082","104127","103566","3330932795"
"Grand-Est","ESS + Hors ESS","Ensemble","Toutes entreprises","175150","136459","1728094","1606598","54125496962"
"Guadeloupe","ESS + Hors ESS","Ensemble","Toutes entreprises","11792","9819","107329","100646","3719433710"
"Guyane","ESS + Hors ESS","Ensemble","Toutes entreprises","4939","3892","55056","51694","1990693679"
"Hauts-de-France","ESS + Hors ESS","Ensemble","Toutes entreprises","158392","121706","1840804","1706760","56884303091"
"Ile-de-France","ESS + Hors ESS","Ensemble","Toutes entreprises","471266","387124","5536058","5208892","237306875527"
"La Réunion","ESS + Hors ESS","Ensemble","Toutes entreprises","24581","20274","225832","214171","7435412597"
"Martinique","ESS + Hors ESS","Ensemble","Toutes entreprises","10885","8973","111805","104918","3829724275"
"Normandie","ESS + Hors ESS","Ensemble","Toutes entreprises","104509","81584","1051725","982871","32415871467"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble","Toutes entreprises","216718","170800","1909359","1793853","58030065057"
"Occitanie","ESS + Hors ESS","Ensemble","Toutes entreprises","213242","170529","1812855","1695887","56557720864"
"Pays de la Loire","ESS + Hors ESS","Ensemble","Toutes entreprises","120552","93730","1298412","1213684","40031942661"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble","Toutes entreprises","202801","163926","1643947","1550232","53693822850"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","1 - Micro entreprise","235958","193937","535979","518362","16074161112"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","2 - Petites entreprises","41519","27142","767663","700925","23941406980"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","9019","5433","799836","736243","26690020087"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","1097","616","644628","598448","23541403161"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","1 - Micro entreprise","76645","61681","178899","170085","4943341074"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","2 - Petites entreprises","12900","8184","243586","222994","7161116479"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","2779","1721","252022","232379","7704239774"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","358","221","193842","181507","6423503767"
"Bretagne","ESS + Hors ESS","Ensemble","1 - Micro entreprise","90612","74821","206199","204506","5887260160"
"Bretagne","ESS + Hors ESS","Ensemble","2 - Petites entreprises","15507","10181","292237","269568","8602784131"
"Bretagne","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","3487","2117","314014","288833","9535345386"
"Bretagne","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","452","268","255857","238040","8429882840"
"Centre-Val de Loire","ESS + Hors ESS","Ensemble","1 - Micro entreprise","65581","52799","153358","149716","4347009885"
"Centre-Val de Loire","ESS + Hors ESS","Ensemble","2 - Petites entreprises","11369","7118","216324","199197","6358807391"
"Centre-Val de Loire","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","2582","1520","233097","217033","7233775587"
"Centre-Val de Loire","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","366","194","196694","185761","6858090962"
"Corse","ESS + Hors ESS","Ensemble","1 - Micro entreprise","15254","13509","31152","34974","985785107"
"Corse","ESS + Hors ESS","Ensemble","2 - Petites entreprises","1811","1358","32689","30827","995011509"
"Corse","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","288","199","25697","23628","839187860"
"Corse","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","18","16","14589","14136","510948319"
"Grand-Est","ESS + Hors ESS","Ensemble","1 - Micro entreprise","143769","116679","332820","315167","9371944796"
"Grand-Est","ESS + Hors ESS","Ensemble","2 - Petites entreprises","25074","16015","468005","428630","14064838174"
"Grand-Est","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","5565","3321","503441","465603","16187236683"
"Grand-Est","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","742","444","423828","397199","14501477309"
"Guadeloupe","ESS + Hors ESS","Ensemble","1 - Micro entreprise","9799","8437","25815","25000","750061276"
"Guadeloupe","ESS + Hors ESS","Ensemble","2 - Petites entreprises","1652","1133","29869","27243","989047694"
"Guadeloupe","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","304","219","28222","26269","1124688710"
"Guadeloupe","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","37","30","23423","22134","855636030"
"Guyane","ESS + Hors ESS","Ensemble","1 - Micro entreprise","3950","3263","10389","10170","313943666"
"Guyane","ESS + Hors ESS","Ensemble","2 - Petites entreprises","803","489","15081","14166","536573263"
"Guyane","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","168","125","16294","14851","632626142"
"Guyane","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","18","15","13292","12507","507550608"
"Hauts-de-France","ESS + Hors ESS","Ensemble","1 - Micro entreprise","127363","102581","302574","290770","8600729966"
"Hauts-de-France","ESS + Hors ESS","Ensemble","2 - Petites entreprises","24105","15053","462892","423217","13657245287"
"Hauts-de-France","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","6035","3567","550962","507219","17269278190"
"Hauts-de-France","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","889","505","524376","485554","17357049648"
"Ile-de-France","ESS + Hors ESS","Ensemble","1 - Micro entreprise","388744","334578","851296","836748","30745008389"
"Ile-de-France","ESS + Hors ESS","Ensemble","2 - Petites entreprises","64527","42242","1195609","1086577","45385194229"
"Ile-de-France","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","14894","8701","1371835","1285227","59910916074"
"Ile-de-France","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","3101","1603","2117318","2000339","101265756835"
"La Réunion","ESS + Hors ESS","Ensemble","1 - Micro entreprise","20585","17536","46402","46968","1296534505"
"La Réunion","ESS + Hors ESS","Ensemble","2 - Petites entreprises","3320","2248","60226","56123","1916470009"
"La Réunion","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","599","426","57896","53776","2119746729"
"La Réunion","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","77","64","61308","57305","2102661354"
"Martinique","ESS + Hors ESS","Ensemble","1 - Micro entreprise","8816","7486","23524","23163","718562487"
"Martinique","ESS + Hors ESS","Ensemble","2 - Petites entreprises","1662","1169","30448","27937","994072620"
"Martinique","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","362","280","32066","29242","1144313091"
"Martinique","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","45","38","25767","24576","972776077"
"Normandie","ESS + Hors ESS","Ensemble","1 - Micro entreprise","86238","69878","199199","192984","5542614500"
"Normandie","ESS + Hors ESS","Ensemble","2 - Petites entreprises","14529","9400","276878","255065","8116104605"
"Normandie","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","3260","2008","295671","273774","9110843474"
"Normandie","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","482","298","279977","261049","9646308888"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble","1 - Micro entreprise","181660","148123","406549","403939","11536402800"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble","2 - Petites entreprises","28398","18594","529842","490913","15545898071"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","5947","3673","518464","482142","15997121017"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","713","410","454504","416860","14950643169"
"Occitanie","ESS + Hors ESS","Ensemble","1 - Micro entreprise","180474","149833","387989","384312","10998289030"
"Occitanie","ESS + Hors ESS","Ensemble","2 - Petites entreprises","26452","16939","487472","447307","14308789000"
"Occitanie","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","5635","3382","490619","450066","15243061167"
"Occitanie","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","681","375","446775","414202","16007581667"
"Pays de la Loire","ESS + Hors ESS","Ensemble","1 - Micro entreprise","97047","78566","228318","225522","6529811791"
"Pays de la Loire","ESS + Hors ESS","Ensemble","2 - Petites entreprises","18534","12056","350476","321445","10390232950"
"Pays de la Loire","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","4381","2758","398638","367768","12356452295"
"Pays de la Loire","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","590","350","320980","298949","10755445625"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble","1 - Micro entreprise","173528","145764","369471","369855","11137413957"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble","2 - Petites entreprises","23787","14912","431741","398362","13524096663"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","4861","2881","423538","390354","13925507186"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","625","369","419197","391661","15106805044"
"Auvergne-Rhône-Alpes","ESS","Ensemble","Toutes entreprises","27981","20436","291941","254651","7996161287"
"Auvergne-Rhône-Alpes","Hors ESS","Ensemble","Toutes entreprises","259612","206692","2456165","2299326","82250830053"
"Bourgogne-Franche-Comté","ESS","Ensemble","Toutes entreprises","9627","6420","99404","87469","2669045244"
"Bourgogne-Franche-Comté","Hors ESS","Ensemble","Toutes entreprises","83055","65387","768945","719497","23563155850"
"Bretagne","ESS","Ensemble","Toutes entreprises","12814","9550","148149","133298","4257647368"
"Bretagne","Hors ESS","Ensemble","Toutes entreprises","97244","77837","920158","867648","28197625149"
"Centre-Val de Loire","ESS","Ensemble","Toutes entreprises","8833","6274","83011","74379","2318663377"
"Centre-Val de Loire","Hors ESS","Ensemble","Toutes entreprises","71065","55357","716462","677329","22479020448"
"Corse","ESS","Ensemble","Toutes entreprises","1018","755","8065","6955","217281076"
"Corse","Hors ESS","Ensemble","Toutes entreprises","16353","14327","96062","96611","3113651719"
"Grand-Est","ESS","Ensemble","Toutes entreprises","15813","10694","192997","171692","5353355176"
"Grand-Est","Hors ESS","Ensemble","Toutes entreprises","159337","125765","1535097","1434906","48772141786"
"Guadeloupe","ESS","Ensemble","Toutes entreprises","1015","692","10210","9077","297593647"
"Guadeloupe","Hors ESS","Ensemble","Toutes entreprises","10777","9127","97119","91569","3421840063"
"Guyane","ESS","Ensemble","Toutes entreprises","433","295","4156","3770","123442853"
"Guyane","Hors ESS","Ensemble","Toutes entreprises","4506","3597","50900","47923","1867250826"
"Hauts-de-France","ESS","Ensemble","Toutes entreprises","14775","10016","201786","176090","5368531212"
"Hauts-de-France","Hors ESS","Ensemble","Toutes entreprises","143617","111690","1639018","1530671","51515771879"
"Ile-de-France","ESS","Ensemble","Toutes entreprises","33223","25426","390038","348200","13326618470"
"Ile-de-France","Hors ESS","Ensemble","Toutes entreprises","438043","361698","5146020","4860692","223980257057"
"La Réunion","ESS","Ensemble","Toutes entreprises","2031","1557","22109","20044","647307817"
"La Réunion","Hors ESS","Ensemble","Toutes entreprises","22550","18717","203723","194127","6788104780"
"Martinique","ESS","Ensemble","Toutes entreprises","955","711","10852","9420","322204263"
"Martinique","Hors ESS","Ensemble","Toutes entreprises","9930","8262","100953","95498","3507520012"
"Normandie","ESS","Ensemble","Toutes entreprises","10263","7288","112172","99625","3058256220"
"Normandie","Hors ESS","Ensemble","Toutes entreprises","94246","74296","939553","883247","29357615247"
"Nouvelle-Aquitaine","ESS","Ensemble","Toutes entreprises","21143","15405","219186","197417","6187828661"
"Nouvelle-Aquitaine","Hors ESS","Ensemble","Toutes entreprises","195575","155395","1690173","1596436","51842236396"
"Occitanie","ESS","Ensemble","Toutes entreprises","21986","16510","207719","185307","5608343152"
"Occitanie","Hors ESS","Ensemble","Toutes entreprises","191256","154019","1605136","1510580","50949377712"
"Pays de la Loire","ESS","Ensemble","Toutes entreprises","15071","10856","161929","142396","4461456386"
"Pays de la Loire","Hors ESS","Ensemble","Toutes entreprises","105481","82874","1136483","1071288","35570486275"
"Provence-Alpes-Côte d'Azur","ESS","Ensemble","Toutes entreprises","15737","11794","156829","139476","4483819893"
"Provence-Alpes-Côte d'Azur","Hors ESS","Ensemble","Toutes entreprises","187064","152132","1487118","1410756","49210002957"
"Auvergne-Rhône-Alpes","ESS","Ensemble","1 - Micro entreprise","20954","16410","41206","39323","1290123936"
"Auvergne-Rhône-Alpes","ESS","Ensemble","2 - Petites entreprises","5537","3258","104489","88106","2744328822"
"Auvergne-Rhône-Alpes","ESS","Ensemble","3 - Moyennes entreprises","1414","726","113221","97879","2888665864"
"Auvergne-Rhône-Alpes","ESS","Ensemble","4 - Grandes entreprises","76","42","33025","29342","1073042665"
"Auvergne-Rhône-Alpes","Hors ESS","Ensemble","1 - Micro entreprise","215004","177527","494773","479039","14784037176"
"Auvergne-Rhône-Alpes","Hors ESS","Ensemble","2 - Petites entreprises","35982","23884","663174","612819","21197078158"
"Auvergne-Rhône-Alpes","Hors ESS","Ensemble","3 - Moyennes entreprises","7605","4707","686615","638363","23801354223"
"Auvergne-Rhône-Alpes","Hors ESS","Ensemble","4 - Grandes entreprises","1021","574","611603","569105","22468360496"
"Bourgogne-Franche-Comté","ESS","Ensemble","1 - Micro entreprise","7148","5111","14804","14531","477139209"
"Bourgogne-Franche-Comté","ESS","Ensemble","2 - Petites entreprises","2002","1086","38532","32598","1006179397"
"Bourgogne-Franche-Comté","ESS","Ensemble","3 - Moyennes entreprises","451","214","36209","31574","905598366"
"Bourgogne-Franche-Comté","ESS","Ensemble","4 - Grandes entreprises","26","9","9859","8767","280128272"
"Bourgogne-Franche-Comté","Hors ESS","Ensemble","1 - Micro entreprise","69497","56570","164095","155555","4466201865"
"Bourgogne-Franche-Comté","Hors ESS","Ensemble","2 - Petites entreprises","10898","7098","205054","190397","6154937082"
"Bourgogne-Franche-Comté","Hors ESS","Ensemble","3 - Moyennes entreprises","2328","1507","215813","200806","6798641408"
"Bourgogne-Franche-Comté","Hors ESS","Ensemble","4 - Grandes entreprises","332","212","183983","172740","6143375495"
"Bretagne","ESS","Ensemble","1 - Micro entreprise","9629","7688","18173","18026","565552908"
"Bretagne","ESS","Ensemble","2 - Petites entreprises","2453","1471","48056","42046","1296759668"
"Bretagne","ESS","Ensemble","3 - Moyennes entreprises","686","362","58301","50987","1480346633"
"Bretagne","ESS","Ensemble","4 - Grandes entreprises","46","29","23619","22239","914988159"
"Bretagne","Hors ESS","Ensemble","1 - Micro entreprise","80983","67133","188026","186480","5321707252"
"Bretagne","Hors ESS","Ensemble","2 - Petites entreprises","13054","8710","244181","227522","7306024463"
"Bretagne","Hors ESS","Ensemble","3 - Moyennes entreprises","2801","1755","255713","237846","8054998753"
"Bretagne","Hors ESS","Ensemble","4 - Grandes entreprises","406","239","232238","215801","7514894681"
"Centre-Val de Loire","ESS","Ensemble","1 - Micro entreprise","6900","5281","12890","12744","409460004"
"Centre-Val de Loire","ESS","Ensemble","2 - Petites entreprises","1545","819","29878","25568","781173796"
"Centre-Val de Loire","ESS","Ensemble","3 - Moyennes entreprises","363","160","29630","26119","733684341"
"Centre-Val de Loire","ESS","Ensemble","4 - Grandes entreprises","25","14","10613","9947","394345236"
"Centre-Val de Loire","Hors ESS","Ensemble","1 - Micro entreprise","58681","47518","140468","136972","3937549881"
"Centre-Val de Loire","Hors ESS","Ensemble","2 - Petites entreprises","9824","6299","186446","173629","5577633595"
"Centre-Val de Loire","Hors ESS","Ensemble","3 - Moyennes entreprises","2219","1360","203467","190914","6500091246"
"Centre-Val de Loire","Hors ESS","Ensemble","4 - Grandes entreprises","341","180","186081","175814","6463745726"
"Corse","ESS","Ensemble","1 - Micro entreprise","772","610","s","s","51863056"
"Corse","ESS","Ensemble","2 - Petites entreprises","215","129","4121","3469","109481926"
"Corse","ESS","Ensemble","3 - Moyennes entreprises","30","15","2042","1629","s"
"Corse","ESS","Ensemble","4 - Grandes entreprises","1","1","s","s","s"
"Corse","Hors ESS","Ensemble","1 - Micro entreprise","14482","12899","s","s","933922051"
"Corse","Hors ESS","Ensemble","2 - Petites entreprises","1596","1229","28568","27359","885529583"
"Corse","Hors ESS","Ensemble","3 - Moyennes entreprises","258","184","23655","21999","s"
"Corse","Hors ESS","Ensemble","4 - Grandes entreprises","17","15","s","s","s"
"Grand-Est","ESS","Ensemble","1 - Micro entreprise","11563","8376","23995","23415","777899112"
"Grand-Est","ESS","Ensemble","2 - Petites entreprises","3232","1823","62043","53733","1666636301"
"Grand-Est","ESS","Ensemble","3 - Moyennes entreprises","954","457","77852","68234","1968664465"
"Grand-Est","ESS","Ensemble","4 - Grandes entreprises","64","38","29107","26309","940155298"
"Grand-Est","Hors ESS","Ensemble","1 - Micro entreprise","132206","108303","308825","291752","8594045684"
"Grand-Est","Hors ESS","Ensemble","2 - Petites entreprises","21842","14192","405962","374896","12398201873"
"Grand-Est","Hors ESS","Ensemble","3 - Moyennes entreprises","4611","2864","425589","397369","14218572218"
"Grand-Est","Hors ESS","Ensemble","4 - Grandes entreprises","678","406","394721","370890","13561322011"
"Guadeloupe","ESS","Ensemble","1 - Micro entreprise","713","508","s","s","s"
"Guadeloupe","ESS","Ensemble","2 - Petites entreprises","260","160","4974","4213","138695762"
"Guadeloupe","ESS","Ensemble","3 - Moyennes entreprises","41","23","3022","2654","90753420"
"Guadeloupe","ESS","Ensemble","4 - Grandes entreprises","1","1","s","s","s"
"Guadeloupe","Hors ESS","Ensemble","1 - Micro entreprise","9086","7929","s","s","s"
"Guadeloupe","Hors ESS","Ensemble","2 - Petites entreprises","1392","973","24895","23030","850351932"
"Guadeloupe","Hors ESS","Ensemble","3 - Moyennes entreprises","263","196","25200","23616","1033935290"
"Guadeloupe","Hors ESS","Ensemble","4 - Grandes entreprises","36","29","s","s","s"
"Guyane","ESS","Ensemble","1 - Micro entreprise","313","225","796","755","s"
"Guyane","ESS","Ensemble","2 - Petites entreprises","103","58","1890","1695","54803183"
"Guyane","ESS","Ensemble","3 - Moyennes entreprises","17","12","1470","1321","s"
"Guyane","Hors ESS","Ensemble","1 - Micro entreprise","3637","3038","9593","9415","s"
"Guyane","Hors ESS","Ensemble","2 - Petites entreprises","700","431","13191","12471","481770080"
"Guyane","Hors ESS","Ensemble","3 - Moyennes entreprises","151","113","14824","13530","s"
"Guyane","Hors ESS","Ensemble","4 - Grandes entreprises","18","15","13292","12507","507550608"
"Hauts-de-France","ESS","Ensemble","1 - Micro entreprise","10539","7824","20963","20557","697695272"
"Hauts-de-France","ESS","Ensemble","2 - Petites entreprises","3084","1591","61743","53104","1673340539"
"Hauts-de-France","ESS","Ensemble","3 - Moyennes entreprises","1081","567","91729","78375","2266227273"
"Hauts-de-France","ESS","Ensemble","4 - Grandes entreprises","71","34","27351","24053","731268128"
"Hauts-de-France","Hors ESS","Ensemble","1 - Micro entreprise","116824","94757","281611","270213","7903034694"
"Hauts-de-France","Hors ESS","Ensemble","2 - Petites entreprises","21021","13462","401149","370113","11983904748"
"Hauts-de-France","Hors ESS","Ensemble","3 - Moyennes entreprises","4954","3000","459233","428844","15003050917"
"Hauts-de-France","Hors ESS","Ensemble","4 - Grandes entreprises","818","471","497025","461501","16625781520"
"Ile-de-France","ESS","Ensemble","1 - Micro entreprise","24998","20792","45821","44514","1699021850"
"Ile-de-France","ESS","Ensemble","2 - Petites entreprises","6288","3644","115511","97750","3609731397"
"Ile-de-France","ESS","Ensemble","3 - Moyennes entreprises","1793","902","150758","132619","4581982252"
"Ile-de-France","ESS","Ensemble","4 - Grandes entreprises","144","88","77948","73317","3435882971"
"Ile-de-France","Hors ESS","Ensemble","1 - Micro entreprise","363746","313786","805475","792234","29045986539"
"Ile-de-France","Hors ESS","Ensemble","2 - Petites entreprises","58239","38598","1080098","988828","41775462832"
