"REG","typo_Asso","typo_Asso_det","nb_etab","eff_31","eff_EQTP","rem_brut"
"Pays de la Loire","Ensemble","Ensemble","12611","124317","106946","3090659640"
"Provence-Alpes-Côte d'Azur","Ensemble","Ensemble","13565","126838","111376","3305150620"
"Auvergne-Rhône-Alpes","Ensemble","Accueil d adultes handicapes ou pers. agees","141","1226","981","29745092"
"Auvergne-Rhône-Alpes","Ensemble","Accueil d enfants et d adolescents","75","1219","1058","33641610"
"Auvergne-Rhône-Alpes","Ensemble","Accueil d enfants handicapes","128","2515","1917","61585372"
"Auvergne-Rhône-Alpes","Ensemble","Accueil des jeunes enfants","634","6631","5535","138537132"
"Auvergne-Rhône-Alpes","Ensemble","Action sociale NCA","1057","15987","13202","360359791"
"Auvergne-Rhône-Alpes","Ensemble","Aide a domicile","601","19269","14492","323510819"
"Auvergne-Rhône-Alpes","Ensemble","Aide par le travail","252","17943","15769","263167743"
"Auvergne-Rhône-Alpes","Ensemble","Autres enseignements","584","3323","2679","90749501"
"Auvergne-Rhône-Alpes","Ensemble","Enseignement culturel","392","1286","846","22442425"
"Auvergne-Rhône-Alpes","Ensemble","Enseignement primaire/secondaire/supérieur","1253","34710","29922","1025569296"
"Auvergne-Rhône-Alpes","Ensemble","Formation continue d adultes","329","2863","2539","88358834"
"Auvergne-Rhône-Alpes","Ensemble","Hebergement medico-social de personnes agees","292","13280","11520","321670736"
"Auvergne-Rhône-Alpes","Ensemble","Hebergement medico-social de personnes en difficulte","476","9395","8284","236448825"
"Auvergne-Rhône-Alpes","Ensemble","Hebergement medico-social de personnes handicapees","556","22347","19384","556365057"
"Auvergne-Rhône-Alpes","Ensemble","Loisirs","489","2061","1801","44311955"
"Auvergne-Rhône-Alpes","Ensemble","Sports","4450","8022","6216","176261677"
"Bourgogne-Franche-Comté","Ensemble","Accueil d adultes handicapes ou pers. agees","78","704","604","16852849"
"Bourgogne-Franche-Comté","Ensemble","Accueil d enfants et d adolescents","34","652","547","16500055"
"Bourgogne-Franche-Comté","Ensemble","Accueil d enfants handicapes","59","1403","1097","36680507"
"Bourgogne-Franche-Comté","Ensemble","Accueil des jeunes enfants","113","832","684","16703697"
"Bourgogne-Franche-Comté","Ensemble","Action sociale NCA","406","4930","4041","105911694"
"Bourgogne-Franche-Comté","Ensemble","Aide a domicile","328","8014","6070","140025162"
"Bourgogne-Franche-Comté","Ensemble","Aide par le travail","77","7227","6292","107690749"
"Bourgogne-Franche-Comté","Ensemble","Autres enseignements","118","750","647","20929521"
"Bourgogne-Franche-Comté","Ensemble","Enseignement culturel","85","235","s","s"
"Bourgogne-Franche-Comté","Ensemble","Enseignement primaire/secondaire/supérieur","286","7456","6541","220943097"
"Bourgogne-Franche-Comté","Ensemble","Formation continue d adultes","120","963","825","25082804"
"Bourgogne-Franche-Comté","Ensemble","Hebergement medico-social de personnes agees","110","4441","3861","106724678"
"Bourgogne-Franche-Comté","Ensemble","Hebergement medico-social de personnes en difficulte","175","4250","3723","107682213"
"Bourgogne-Franche-Comté","Ensemble","Hebergement medico-social de personnes handicapees","216","7859","6907","197052633"
"Bourgogne-Franche-Comté","Ensemble","Loisirs","150","449","s","s"
"Bourgogne-Franche-Comté","Ensemble","Sports","1191","1878","s","s"
"Bretagne","Ensemble","Accueil d adultes handicapes ou pers. agees","39","441","364","11852590"
"Bretagne","Ensemble","Accueil d enfants et d adolescents","23","500","446","12884416"
"Bretagne","Ensemble","Accueil d enfants handicapes","52","1075","871","29149262"
"Bretagne","Ensemble","Accueil des jeunes enfants","129","1090","999","24008367"
"Bretagne","Ensemble","Action sociale NCA","303","4640","3881","108189687"
"Bretagne","Ensemble","Aide a domicile","231","8930","6913","162193870"
"Bretagne","Ensemble","Aide par le travail","106","9013","7811","134922170"
"Bretagne","Ensemble","Autres enseignements","264","757","628","18796889"
"Bretagne","Ensemble","Enseignement culturel","192","511","343","9639006"
"Bretagne","Ensemble","Enseignement primaire/secondaire/supérieur","1213","25318","22629","762645591"
"Bretagne","Ensemble","Formation continue d adultes","173","1407","1179","40650932"
"Bretagne","Ensemble","Hebergement medico-social de personnes agees","130","6573","5641","152821069"
"Bretagne","Ensemble","Hebergement medico-social de personnes en difficulte","102","2945","2542","72052644"
"Bretagne","Ensemble","Hebergement medico-social de personnes handicapees","218","8836","7696","218088110"
"Bretagne","Ensemble","Loisirs","151","686","598","14944099"
"Bretagne","Ensemble","Sports","2149","3130","2618","69871296"
"Centre-Val de Loire","Ensemble","Accueil d adultes handicapes ou pers. agees","37","497","445","13025214"
"Centre-Val de Loire","Ensemble","Accueil d enfants et d adolescents","26","432","369","11428853"
"Centre-Val de Loire","Ensemble","Accueil d enfants handicapes","51","1056","848","28129587"
"Centre-Val de Loire","Ensemble","Accueil des jeunes enfants","77","463","408","9938871"
"Centre-Val de Loire","Ensemble","Action sociale NCA","301","4944","4181","103664663"
"Centre-Val de Loire","Ensemble","Aide a domicile","242","6909","5294","120893846"
"Centre-Val de Loire","Ensemble","Aide par le travail","105","6756","5883","105807789"
"Centre-Val de Loire","Ensemble","Autres enseignements","169","625","505","15591302"
"Centre-Val de Loire","Ensemble","Enseignement culturel","128","280","177","4759995"
"Centre-Val de Loire","Ensemble","Enseignement primaire/secondaire/supérieur","292","6956","6204","205255098"
"Centre-Val de Loire","Ensemble","Formation continue d adultes","102","861","744","25057402"
"Centre-Val de Loire","Ensemble","Hebergement medico-social de personnes agees","80","2401","2172","60638313"
"Centre-Val de Loire","Ensemble","Hebergement medico-social de personnes en difficulte","115","2212","1977","51818024"
"Centre-Val de Loire","Ensemble","Hebergement medico-social de personnes handicapees","206","7279","6507","187006178"
"Centre-Val de Loire","Ensemble","Loisirs","165","368","322","7130983"
"Centre-Val de Loire","Ensemble","Sports","1597","2308","1883","51244310"
"Corse","Ensemble","Accueil d adultes handicapes ou pers. agees","9","199","165","s"
"Corse","Ensemble","Accueil d enfants et d adolescents","1","s","s","s"
"Corse","Ensemble","Accueil d enfants handicapes","12","188","145","5187143"
"Corse","Ensemble","Accueil des jeunes enfants","19","s","s","3052238"
"Corse","Ensemble","Action sociale NCA","53","358","292","8340194"
"Corse","Ensemble","Aide a domicile","72","1799","1316","30412403"
"Corse","Ensemble","Aide par le travail","5","359","326","5456189"
"Corse","Ensemble","Autres enseignements","22","s","s","s"
"Corse","Ensemble","Enseignement culturel","6","s","s","s"
"Corse","Ensemble","Enseignement primaire/secondaire/supérieur","14","309","273","9757993"
"Corse","Ensemble","Formation continue d adultes","21","s","s","s"
"Corse","Ensemble","Hebergement medico-social de personnes agees","10","372","335","10012727"
"Corse","Ensemble","Hebergement medico-social de personnes en difficulte","16","282","313","10031183"
"Corse","Ensemble","Hebergement medico-social de personnes handicapees","12","406","358","11219129"
"Corse","Ensemble","Loisirs","20","75","66","1480381"
"Corse","Ensemble","Sports","145","258","244","6349433"
"Grand-Est","Ensemble","Accueil d adultes handicapes ou pers. agees","47","489","419","11739454"
"Grand-Est","Ensemble","Accueil d enfants et d adolescents","74","1200","990","28394965"
"Grand-Est","Ensemble","Accueil d enfants handicapes","95","2053","1693","54347317"
"Grand-Est","Ensemble","Accueil des jeunes enfants","490","5120","4327","103439674"
"Grand-Est","Ensemble","Action sociale NCA","873","13134","10735","276943626"
"Grand-Est","Ensemble","Aide a domicile","336","14813","11467","254886648"
"Grand-Est","Ensemble","Aide par le travail","172","13889","13014","217405705"
"Grand-Est","Ensemble","Autres enseignements","769","2075","1741","53035116"
"Grand-Est","Ensemble","Enseignement culturel","166","559","307","8534500"
"Grand-Est","Ensemble","Enseignement primaire/secondaire/supérieur","404","11763","10474","364762351"
"Grand-Est","Ensemble","Formation continue d adultes","197","1393","1259","42473968"
"Grand-Est","Ensemble","Hebergement medico-social de personnes agees","277","11988","10679","288697011"
"Grand-Est","Ensemble","Hebergement medico-social de personnes en difficulte","300","7786","6893","195440355"
"Grand-Est","Ensemble","Hebergement medico-social de personnes handicapees","349","14146","12438","351763283"
"Grand-Est","Ensemble","Loisirs","209","1197","1008","24920718"
"Grand-Est","Ensemble","Sports","1571","3164","2644","68649065"
"Guadeloupe","Ensemble","Accueil d adultes handicapes ou pers. agees","9","115","92","2756395"
"Guadeloupe","Ensemble","Accueil d enfants et d adolescents","4","s","s","s"
"Guadeloupe","Ensemble","Accueil d enfants handicapes","2","s","s","s"
"Guadeloupe","Ensemble","Accueil des jeunes enfants","61","511","435","10106624"
"Guadeloupe","Ensemble","Action sociale NCA","82","847","748","25316696"
"Guadeloupe","Ensemble","Aide a domicile","40","1353","1039","22584850"
"Guadeloupe","Ensemble","Aide par le travail","27","431","392","7792259"
"Guadeloupe","Ensemble","Autres enseignements","20","44","41","1290766"
"Guadeloupe","Ensemble","Enseignement culturel","10","s","s","s"
"Guadeloupe","Ensemble","Enseignement primaire/secondaire/supérieur","24","837","779","31498250"
"Guadeloupe","Ensemble","Formation continue d adultes","41","366","336","7490894"
"Guadeloupe","Ensemble","Hebergement medico-social de personnes agees","4","s","s","s"
"Guadeloupe","Ensemble","Hebergement medico-social de personnes en difficulte","29","218","224","7313913"
"Guadeloupe","Ensemble","Hebergement medico-social de personnes handicapees","22","786","689","24164975"
"Guadeloupe","Ensemble","Loisirs","9","s","s","s"
"Guadeloupe","Ensemble","Sports","73","s","s","s"
"Guyane","Ensemble","Accueil d adultes handicapes ou pers. agees","2","s","s","s"
"Guyane","Ensemble","Accueil d enfants et d adolescents","1","s","s","s"
"Guyane","Ensemble","Accueil d enfants handicapes","5","s","s","s"
"Guyane","Ensemble","Accueil des jeunes enfants","24","s","s","6302095"
"Guyane","Ensemble","Action sociale NCA","35","310","265","8610205"
"Guyane","Ensemble","Aide a domicile","8","59","49","1356121"
"Guyane","Ensemble","Aide par le travail","3","195","163","2842093"
"Guyane","Ensemble","Autres enseignements","6","s","s","s"
"Guyane","Ensemble","Enseignement culturel","2","s","s","s"
"Guyane","Ensemble","Enseignement primaire/secondaire/supérieur","7","370","344","13139028"
"Guyane","Ensemble","Formation continue d adultes","10","153","124","3759373"
"Guyane","Ensemble","Hebergement medico-social de personnes agees","2","s","s","s"
"Guyane","Ensemble","Hebergement medico-social de personnes en difficulte","13","336","313","10035594"
"Guyane","Ensemble","Hebergement medico-social de personnes handicapees","7","290","271","9157040"
"Guyane","Ensemble","Loisirs","4","s","s","s"
"Guyane","Ensemble","Sports","37","s","s","s"
"Hauts-de-France","Ensemble","Accueil d adultes handicapes ou pers. agees","84","1083","965","25361138"
"Hauts-de-France","Ensemble","Accueil d enfants et d adolescents","83","1759","1525","46804328"
"Hauts-de-France","Ensemble","Accueil d enfants handicapes","97","2431","1940","63636032"
"Hauts-de-France","Ensemble","Accueil des jeunes enfants","184","2272","1932","46993315"
"Hauts-de-France","Ensemble","Action sociale NCA","837","15726","12983","336474808"
"Hauts-de-France","Ensemble","Aide a domicile","264","16047","11709","266725009"
"Hauts-de-France","Ensemble","Aide par le travail","170","17311","15300","242045495"
"Hauts-de-France","Ensemble","Autres enseignements","245","1872","1497","48739369"
"Hauts-de-France","Ensemble","Enseignement culturel","139","269","200","6000427"
"Hauts-de-France","Ensemble","Enseignement primaire/secondaire/supérieur","783","27753","24515","866165877"
"Hauts-de-France","Ensemble","Formation continue d adultes","235","3086","2546","82841038"
"Hauts-de-France","Ensemble","Hebergement medico-social de personnes agees","220","8187","7003","194523448"
"Hauts-de-France","Ensemble","Hebergement medico-social de personnes en difficulte","331","8734","7645","224746663"
"Hauts-de-France","Ensemble","Hebergement medico-social de personnes handicapees","462","19193","16902","469230671"
"Hauts-de-France","Ensemble","Loisirs","190","877","760","18738428"
"Hauts-de-France","Ensemble","Sports","2454","3398","2789","79914586"
"Ile-de-France","Ensemble","Accueil d adultes handicapes ou pers. agees","114","1425","1242","38646115"
"Ile-de-France","Ensemble","Accueil d enfants et d adolescents","99","2500","2213","76848580"
"Ile-de-France","Ensemble","Accueil d enfants handicapes","234","5443","4358","143782651"
"Ile-de-France","Ensemble","Accueil des jeunes enfants","535","5603","4921","127139753"
"Ile-de-France","Ensemble","Action sociale NCA","1369","24369","21976","731545732"
"Ile-de-France","Ensemble","Aide a domicile","270","8666","6930","169726268"
"Ile-de-France","Ensemble","Aide par le travail","267","18647","16554","291042124"
"Ile-de-France","Ensemble","Autres enseignements","842","6595","5306","207692994"
"Ile-de-France","Ensemble","Enseignement culturel","416","1766","1058","36815471"
"Ile-de-France","Ensemble","Enseignement primaire/secondaire/supérieur","938","38364","32825","1254671215"
"Ile-de-France","Ensemble","Formation continue d adultes","659","6728","5949","231082987"
"Ile-de-France","Ensemble","Hebergement medico-social de personnes agees","290","10992","9891","291079738"
"Ile-de-France","Ensemble","Hebergement medico-social de personnes en difficulte","649","15154","13821","428342567"
"Ile-de-France","Ensemble","Hebergement medico-social de personnes handicapees","589","23078","20351","595586781"
"Ile-de-France","Ensemble","Loisirs","284","2905","2596","74717954"
"Ile-de-France","Ensemble","Sports","4212","15458","11180","462820461"
"La Réunion","Ensemble","Accueil d adultes handicapes ou pers. agees","16","218","193","5113768"
"La Réunion","Ensemble","Accueil d enfants et d adolescents","10","231","200","6749714"
"La Réunion","Ensemble","Accueil d enfants handicapes","7","278","234","8064653"
"La Réunion","Ensemble","Accueil des jeunes enfants","126","1130","954","21556030"
"La Réunion","Ensemble","Action sociale NCA","131","1488","1371","34671649"
"La Réunion","Ensemble","Aide a domicile","9","998","805","16801608"
"La Réunion","Ensemble","Aide par le travail","10","803","749","11276672"
"La Réunion","Ensemble","Autres enseignements","35","642","587","21849569"
"La Réunion","Ensemble","Enseignement culturel","17","s","s","s"
"La Réunion","Ensemble","Enseignement primaire/secondaire/supérieur","39","1132","1015","47293599"
"La Réunion","Ensemble","Formation continue d adultes","29","s","s","s"
"La Réunion","Ensemble","Hebergement medico-social de personnes agees","8","757","689","24480033"
"La Réunion","Ensemble","Hebergement medico-social de personnes en difficulte","27","659","616","20111625"
"La Réunion","Ensemble","Hebergement medico-social de personnes handicapees","31","1084","964","33064407"
"La Réunion","Ensemble","Loisirs","30","177","267","6121878"
"La Réunion","Ensemble","Sports","232","533","504","12198954"
"Martinique","Ensemble","Accueil d adultes handicapes ou pers. agees","3","s","s","s"
"Martinique","Ensemble","Accueil d enfants et d adolescents","5","178","177","5321417"
"Martinique","Ensemble","Accueil d enfants handicapes","5","s","s","s"
"Martinique","Ensemble","Accueil des jeunes enfants","44","321","282","6808316"
"Martinique","Ensemble","Action sociale NCA","61","695","558","15276921"
"Martinique","Ensemble","Aide a domicile","25","771","577","12840236"
"Martinique","Ensemble","Aide par le travail","15","577","537","11145423"
"Martinique","Ensemble","Autres enseignements","18","103","89","2686578"
"Martinique","Ensemble","Enseignement culturel","4","s","s","s"
"Martinique","Ensemble","Enseignement primaire/secondaire/supérieur","29","887","815","31967287"
"Martinique","Ensemble","Formation continue d adultes","25","257","198","6935089"
"Martinique","Ensemble","Hebergement medico-social de personnes agees","5","268","230","8037274"
"Martinique","Ensemble","Hebergement medico-social de personnes en difficulte","16","342","319","11530217"
"Martinique","Ensemble","Hebergement medico-social de personnes handicapees","18","535","486","15612796"
"Martinique","Ensemble","Loisirs","16","154","120","2382326"
"Martinique","Ensemble","Sports","85","308","280","7565221"
"Normandie","Ensemble","Accueil d adultes handicapes ou pers. agees","33","375","311","8394391"
"Normandie","Ensemble","Accueil d enfants et d adolescents","42","785","717","21474628"
"Normandie","Ensemble","Accueil d enfants handicapes","60","1240","1001","33098889"
"Normandie","Ensemble","Accueil des jeunes enfants","115","1052","893","21431730"
"Normandie","Ensemble","Action sociale NCA","398","7110","5983","152071977"
"Normandie","Ensemble","Aide a domicile","229","9007","6643","149369780"
"Normandie","Ensemble","Aide par le travail","102","8674","7855","131824143"
"Normandie","Ensemble","Autres enseignements","203","901","779","24424960"
"Normandie","Ensemble","Enseignement culturel","119","244","159","4400926"
"Normandie","Ensemble","Enseignement primaire/secondaire/supérieur","386","11237","10147","349096351"
"Normandie","Ensemble","Formation continue d adultes","167","1932","1693","52663505"
"Normandie","Ensemble","Hebergement medico-social de personnes agees","75","3454","3091","83451279"
"Normandie","Ensemble","Hebergement medico-social de personnes en difficulte","182","4384","3913","108446096"
"Normandie","Ensemble","Hebergement medico-social de personnes handicapees","237","10138","9021","255806847"
"Normandie","Ensemble","Loisirs","135","614","563","13350258"
"Normandie","Ensemble","Sports","1853","2899","2307","62489532"
"Nouvelle-Aquitaine","Ensemble","Accueil d adultes handicapes ou pers. agees","96","1368","1148","33572706"
"Nouvelle-Aquitaine","Ensemble","Accueil d enfants et d adolescents","67","1365","1188","34675126"
"Nouvelle-Aquitaine","Ensemble","Accueil d enfants handicapes","116","2298","1826","61596793"
"Nouvelle-Aquitaine","Ensemble","Accueil des jeunes enfants","294","3107","2698","65595244"
"Nouvelle-Aquitaine","Ensemble","Action sociale NCA","1007","13565","11220","293514347"
"Nouvelle-Aquitaine","Ensemble","Aide a domicile","479","14590","11489","258745201"
"Nouvelle-Aquitaine","Ensemble","Aide par le travail","227","14757","13056","222054737"
"Nouvelle-Aquitaine","Ensemble","Autres enseignements","512","1492","1220","37480815"
"Nouvelle-Aquitaine","Ensemble","Enseignement culturel","308","766","483","13478546"
"Nouvelle-Aquitaine","Ensemble","Enseignement primaire/secondaire/supérieur","708","17566","15466","520457229"
"Nouvelle-Aquitaine","Ensemble","Formation continue d adultes","293","2608","2315","77671946"
"Nouvelle-Aquitaine","Ensemble","Hebergement medico-social de personnes agees","189","8437","7312","203749868"
"Nouvelle-Aquitaine","Ensemble","Hebergement medico-social de personnes en difficulte","323","8519","7396","209833583"
"Nouvelle-Aquitaine","Ensemble","Hebergement medico-social de personnes handicapees","397","16237","14008","403975380"
"Nouvelle-Aquitaine","Ensemble","Loisirs","422","1978","1690","41097081"
"Nouvelle-Aquitaine","Ensemble","Sports","3396","5771","4875","126590319"
"Occitanie","Ensemble","Accueil d adultes handicapes ou pers. agees","78","1124","931","23836176"
"Occitanie","Ensemble","Accueil d enfants et d adolescents","50","774","672","19806938"
"Occitanie","Ensemble","Accueil d enfants handicapes","61","1335","1100","36334536"
"Occitanie","Ensemble","Accueil des jeunes enfants","370","4158","3507","84434071"
"Occitanie","Ensemble","Action sociale NCA","702","9506","7872","205590848"
"Occitanie","Ensemble","Aide a domicile","487","19741","15001","332533419"
"Occitanie","Ensemble","Aide par le travail","184","11762","10706","177990775"
"Occitanie","Ensemble","Autres enseignements","519","2874","2452","76938224"
"Occitanie","Ensemble","Enseignement culturel","310","605","413","11428365"
"Occitanie","Ensemble","Enseignement primaire/secondaire/supérieur","664","15773","13830","470131551"
"Occitanie","Ensemble","Formation continue d adultes","335","2469","2164","72139145"
"Occitanie","Ensemble","Hebergement medico-social de personnes agees","262","11709","10375","283653934"
"Occitanie","Ensemble","Hebergement medico-social de personnes en difficulte","342","7672","6705","188903373"
"Occitanie","Ensemble","Hebergement medico-social de personnes handicapees","467","22638","19959","585759110"
"Occitanie","Ensemble","Loisirs","376","2336","1802","43691783"
"Occitanie","Ensemble","Sports","3029","4601","3674","97470999"
"Pays de la Loire","Ensemble","Accueil d adultes handicapes ou pers. agees","62","831","677","20046641"
"Pays de la Loire","Ensemble","Accueil d enfants et d adolescents","14","493","422","12538996"
"Pays de la Loire","Ensemble","Accueil d enfants handicapes","77","1254","991","32747562"
"Pays de la Loire","Ensemble","Accueil des jeunes enfants","216","2442","1867","45724536"
"Pays de la Loire","Ensemble","Action sociale NCA","432","7292","6015","155299503"
"Pays de la Loire","Ensemble","Aide a domicile","321","8881","6634","150157195"
"Pays de la Loire","Ensemble","Aide par le travail","118","8727","7472","124320788"
"Pays de la Loire","Ensemble","Autres enseignements","222","596","479","15466651"
"Pays de la Loire","Ensemble","Enseignement culturel","173","432","266","7238186"
"Pays de la Loire","Ensemble","Enseignement primaire/secondaire/supérieur","1541","29680","25862","885914797"
"Pays de la Loire","Ensemble","Formation continue d adultes","179","1754","1589","52073328"
"Pays de la Loire","Ensemble","Hebergement medico-social de personnes agees","204","10513","8998","241672129"
"Pays de la Loire","Ensemble","Hebergement medico-social de personnes en difficulte","190","4407","3942","110557140"
"Pays de la Loire","Ensemble","Hebergement medico-social de personnes handicapees","301","10005","8629","247247518"
"Pays de la Loire","Ensemble","Loisirs","164","1623","1387","36664374"
"Pays de la Loire","Ensemble","Sports","2541","3620","2815","82339771"
"Provence-Alpes-Côte d'Azur","Ensemble","Accueil d adultes handicapes ou pers. agees","81","1092","932","24909035"
"Provence-Alpes-Côte d'Azur","Ensemble","Accueil d enfants et d adolescents","42","992","843","25638415"
"Provence-Alpes-Côte d'Azur","Ensemble","Accueil d enfants handicapes","46","1009","817","28425198"
"Provence-Alpes-Côte d'Azur","Ensemble","Accueil des jeunes enfants","354","4393","3905","95927971"
"Provence-Alpes-Côte d'Azur","Ensemble","Action sociale NCA","677","9584","8140","219936510"
"Provence-Alpes-Côte d'Azur","Ensemble","Aide a domicile","344","12788","9396","214079980"
"Provence-Alpes-Côte d'Azur","Ensemble","Aide par le travail","124","7667","6854","122457266"
"Provence-Alpes-Côte d'Azur","Ensemble","Autres enseignements","376","1445","1184","37761011"
"Provence-Alpes-Côte d'Azur","Ensemble","Enseignement culturel","186","614","459","15494927"
"Provence-Alpes-Côte d'Azur","Ensemble","Enseignement primaire/secondaire/supérieur","443","14644","12869","460129298"
"Provence-Alpes-Côte d'Azur","Ensemble","Formation continue d adultes","302","2565","2244","73539597"
"Provence-Alpes-Côte d'Azur","Ensemble","Hebergement medico-social de personnes agees","143","5271","4653","132761881"
"Provence-Alpes-Côte d'Azur","Ensemble","Hebergement medico-social de personnes en difficulte","279","5927","5266","150713686"
"Provence-Alpes-Côte d'Azur","Ensemble","Hebergement medico-social de personnes handicapees","262","11037","9793","282904571"
"Provence-Alpes-Côte d'Azur","Ensemble","Loisirs","210","875","807","21115699"
"Provence-Alpes-Côte d'Azur","Ensemble","Sports","2181","4584","3705","102506748"
"Auvergne-Rhône-Alpes","ACTION SOCIALE (QB)","Ensemble","4212","109812","92143","2325032177"
"Auvergne-Rhône-Alpes","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","79","599","546","12728828"
"Auvergne-Rhône-Alpes","ARTS SPECTACLES (RZ1)","Ensemble","2842","3611","4013","136396030"
"Auvergne-Rhône-Alpes","AUTRES SECTEURS D ACTIVITE DES ASSOCIATIONS","Ensemble","1170","5389","4547","130476665"
"Auvergne-Rhône-Alpes","ENSEIGNEMENT (PZ)","Ensemble","2576","42324","36096","1230183336"
"Auvergne-Rhône-Alpes","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","633","3958","4147","111571558"
"Auvergne-Rhône-Alpes","NON-CLASSES (94.99Z)","Ensemble","5392","18694","15821","464370964"
"Auvergne-Rhône-Alpes","SANTE HUMAINE (QA)","Ensemble","477","17621","15245","568295426"
