"DEP","ESS_simp","typo_A","typo_A_det","taille_etab","nb_etab","nb_ent","eff_31","eff_EQTP","rem_brut"
"France entière","ESS + Hors ESS","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","2 - Petites entreprises","3346","3052","60015","60950","1743902877"
"France entière","ESS + Hors ESS","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","3 - Moyennes entreprises","294","183","26720","27586","897761861"
"France entière","ESS + Hors ESS","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","4 - Grandes entreprises","14","9","4958","4835","180882845"
"France entière","ESS + Hors ESS","ARTS SPECTACLES (RZ1)","Ensemble","1 - Micro entreprise","27166","24933","26456","33766","1198138134"
"France entière","ESS + Hors ESS","ARTS SPECTACLES (RZ1)","Ensemble","2 - Petites entreprises","1774","1380","36450","36828","1345885240"
"France entière","ESS + Hors ESS","ARTS SPECTACLES (RZ1)","Ensemble","3 - Moyennes entreprises","339","270","30805","30421","1146505993"
"France entière","ESS + Hors ESS","ARTS SPECTACLES (RZ1)","Ensemble","4 - Grandes entreprises","37","28","21579","20776","885961015"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Ensemble","1 - Micro entreprise","68415","30680","226511","214557","7143856078"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Ensemble","2 - Petites entreprises","24168","8311","489208","439552","15309898483"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Ensemble","3 - Moyennes entreprises","8013","6763","710755","650294","24837192577"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Ensemble","4 - Grandes entreprises","459","299","275945","238145","8382731653"
"France entière","ESS + Hors ESS","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","1 - Micro entreprise","181496","161918","423844","441511","10641194706"
"France entière","ESS + Hors ESS","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","2 - Petites entreprises","22453","16962","409088","371161","9839724345"
"France entière","ESS + Hors ESS","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","3 - Moyennes entreprises","1556","1066","120323","106960","3075420448"
"France entière","ESS + Hors ESS","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","4 - Grandes entreprises","69","42","30105","29129","1053561630"
"France entière","ESS + Hors ESS","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","1 - Micro entreprise","320994","290118","828543","823651","23416944222"
"France entière","ESS + Hors ESS","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","2 - Petites entreprises","62448","49534","1255123","1188111","40633926278"
"France entière","ESS + Hors ESS","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","3 - Moyennes entreprises","12580","7800","1269178","1225973","48785663448"
"France entière","ESS + Hors ESS","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","4 - Grandes entreprises","1966","1100","1134130","1101102","55264739719"
"France entière","ESS + Hors ESS","NON-CLASSES (94.99Z)","Ensemble","1 - Micro entreprise","40585","36285","68636","61140","1915104958"
"France entière","ESS + Hors ESS","NON-CLASSES (94.99Z)","Ensemble","2 - Petites entreprises","3484","2838","63650","53382","1653387417"
"France entière","ESS + Hors ESS","NON-CLASSES (94.99Z)","Ensemble","3 - Moyennes entreprises","338","253","29329","25256","786272333"
"France entière","ESS + Hors ESS","NON-CLASSES (94.99Z)","Ensemble","4 - Grandes entreprises","20","9","8197","8108","275734515"
"France entière","ESS + Hors ESS","SANTE HUMAINE (QA)","Ensemble","1 - Micro entreprise","73485","65964","111090","98193","2952980207"
"France entière","ESS + Hors ESS","SANTE HUMAINE (QA)","Ensemble","2 - Petites entreprises","7317","3853","143321","125504","4242261259"
"France entière","ESS + Hors ESS","SANTE HUMAINE (QA)","Ensemble","3 - Moyennes entreprises","2140","1210","239722","216601","7278806859"
"France entière","ESS + Hors ESS","SANTE HUMAINE (QA)","Ensemble","4 - Grandes entreprises","1030","727","1110064","1024734","35609084903"
"France entière","ESS + Hors ESS","SERVICES DIVERS","Ensemble","1 - Micro entreprise","965015","780166","2260685","2174326","68665592352"
"France entière","ESS + Hors ESS","SERVICES DIVERS","Ensemble","2 - Petites entreprises","137526","86221","2752434","2530892","91148342054"
"France entière","ESS + Hors ESS","SERVICES DIVERS","Ensemble","3 - Moyennes entreprises","28481","15832","2855578","2651737","100959595197"
"France entière","ESS + Hors ESS","SERVICES DIVERS","Ensemble","4 - Grandes entreprises","4924","2707","3182890","2988056","120588798818"
"France entière","ESS + Hors ESS","SPORTS ET LOISIRS (RZ2)","Ensemble","1 - Micro entreprise","46044","42917","67436","59744","1545819429"
"France entière","ESS + Hors ESS","SPORTS ET LOISIRS (RZ2)","Ensemble","2 - Petites entreprises","2583","2073","47867","40975","1257591023"
"France entière","ESS + Hors ESS","SPORTS ET LOISIRS (RZ2)","Ensemble","3 - Moyennes entreprises","198","165","17128","14912","1323368110"
"France entière","ESS + Hors ESS","SPORTS ET LOISIRS (RZ2)","Ensemble","4 - Grandes entreprises","17","11","22772","21655","799558323"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Accueil des jeunes enfants","Tous établissements","9497","5233","94162","82258","2007234789"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide a domicile","Tous établissements","8692","6704","246666","187020","4158440506"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide par le travail","Tous établissements","2239","513","162442","142371","2485180228"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Autres actions sociales","Tous établissements","16404","9628","317730","274374","7894750915"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Hebergement medico-social et social","Tous établissements","17308","6738","728337","650252","18471806498"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Accueil des jeunes enfants","1 - Micro entreprise","6233","3667","26987","24336","553232043"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Accueil des jeunes enfants","2 - Petites entreprises","3168","1520","55442","47947","1174064573"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Accueil des jeunes enfants","3 - Moyennes entreprises","87","46","7292","6582","178773624"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Accueil des jeunes enfants","4 - Grandes entreprises","9","0","4441","3393","101164549"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide a domicile","1 - Micro entreprise","2935","2278","8887","10449","237815910"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide a domicile","2 - Petites entreprises","4663","3637","111523","80234","1778197931"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide a domicile","3 - Moyennes entreprises","1016","726","87703","66407","1474083840"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide a domicile","4 - Grandes entreprises","78","63","38553","29929","668342825"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide par le travail","1 - Micro entreprise","312","112","1098","1390","35970826"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide par le travail","2 - Petites entreprises","719","182","18853","16946","394243807"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide par le travail","3 - Moyennes entreprises","1155","206","125410","109229","1809119160"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide par le travail","4 - Grandes entreprises","53","13","17081","14806","245846435"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Autres actions sociales","1 - Micro entreprise","9397","5902","29564","27677","823214745"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Autres actions sociales","2 - Petites entreprises","5649","2859","120978","100699","2935415903"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Autres actions sociales","3 - Moyennes entreprises","1248","804","114024","98289","2677334003"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Autres actions sociales","4 - Grandes entreprises","110","63","53164","47709","1458786264"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Hebergement medico-social et social","1 - Micro entreprise","3701","1269","15193","15772","462553602"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Hebergement medico-social et social","2 - Petites entreprises","7334","2423","211975","186818","5317118146"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Hebergement medico-social et social","3 - Moyennes entreprises","6198","2999","469275","418362","11812036289"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Hebergement medico-social et social","4 - Grandes entreprises","75","47","31894","29300","880098461"
"France entière","ESS","Ensemble des secteurs d'activité","Ensemble","Tous établissements","212718","154679","2320553","2059266","66697556102"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Ensemble","Tous établissements","1948980","1612740","14938337","14129372","536290114266"
"France entière","Public","Ensemble des secteurs d'activité","Ensemble","Tous établissements","140731","64432","5650748","5258733","180096773943"
"France entière","ESS","Ensemble des secteurs d'activité","Ensemble","1 - Micro entreprise","164692","128810","337201","324929","10721621080"
"France entière","ESS","Ensemble des secteurs d'activité","Ensemble","2 - Petites entreprises","37483","20620","802320","688882","21866911390"
"France entière","ESS","Ensemble des secteurs d'activité","Ensemble","3 - Moyennes entreprises","9923","4898","875185","766728","23011286098"
"France entière","ESS","Ensemble des secteurs d'activité","Ensemble","4 - Grandes entreprises","620","351","305847","278726","11097737534"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Ensemble","1 - Micro entreprise","1684597","1433310","3833327","3759220","114628472949"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Ensemble","2 - Petites entreprises","220089","154117","4326724","3993654","140902138256"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Ensemble","3 - Moyennes entreprises","38865","22571","3793936","3549409","141388141153"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Ensemble","4 - Grandes entreprises","5429","2742","2984350","2827089","139371361908"
"France entière","Public","Ensemble des secteurs d'activité","Ensemble","1 - Micro entreprise","82635","37381","304373","279326","8965318696"
"France entière","Public","Ensemble des secteurs d'activité","Ensemble","2 - Petites entreprises","38502","13536","817256","758457","25040930775"
"France entière","Public","Ensemble des secteurs d'activité","Ensemble","3 - Moyennes entreprises","16323","11332","1590349","1482192","51581698871"
"France entière","Public","Ensemble des secteurs d'activité","Ensemble","4 - Grandes entreprises","3271","2183","2938770","2738758","94508825601"
"France entière","ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Tous établissements","4069","2622","42387","36190","888877742"
"France entière","ESS","Ensemble des secteurs d'activité","Aide a domicile","Tous établissements","4382","3581","157396","119638","2716092520"
"France entière","ESS","Ensemble des secteurs d'activité","Aide par le travail","Tous établissements","2050","433","151308","134598","2287425311"
"France entière","ESS","Ensemble des secteurs d'activité","Autres actions sociales","Tous établissements","11790","6169","188846","158779","4579911516"
"France entière","ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Tous établissements","11268","3193","405635","357148","10217314178"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Tous établissements","4695","2546","35449","30978","694807447"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Tous établissements","3928","3026","75082","55721","1176080889"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Tous établissements","83","48","2664","2471","56492471"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Tous établissements","497","349","6164","5519","173209245"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Tous établissements","2397","1681","104850","93849","2639720742"
"France entière","Public","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Tous établissements","733","65","16326","15090","423549600"
"France entière","Public","Ensemble des secteurs d'activité","Aide a domicile","Tous établissements","382","97","14188","11660","266267097"
"France entière","Public","Ensemble des secteurs d'activité","Aide par le travail","Tous établissements","106","32","8470","5302","141262446"
"France entière","Public","Ensemble des secteurs d'activité","Autres actions sociales","Tous établissements","4117","3110","122720","110075","3141630154"
"France entière","Public","Ensemble des secteurs d'activité","Hebergement medico-social et social","Tous établissements","3643","1864","217852","199255","5614771578"
"France entière","ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","1 - Micro entreprise","2411","1605","11146","10011","240497530"
"France entière","ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","2 - Petites entreprises","1618","988","27103","22882","564213186"
"France entière","ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","3 - Moyennes entreprises","38","29","s","s","s"
"France entière","ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","4 - Grandes entreprises","2","0","s","s","s"
"France entière","ESS","Ensemble des secteurs d'activité","Aide a domicile","1 - Micro entreprise","1093","844","s","s","s"
"France entière","ESS","Ensemble des secteurs d'activité","Aide a domicile","2 - Petites entreprises","2612","2193","61850","44475","1015038024"
"France entière","ESS","Ensemble des secteurs d'activité","Aide a domicile","3 - Moyennes entreprises","602","483","s","s","s"
"France entière","ESS","Ensemble des secteurs d'activité","Aide a domicile","4 - Grandes entreprises","75","61","36800","28578","638117983"
"France entière","ESS","Ensemble des secteurs d'activité","Aide par le travail","1 - Micro entreprise","285","98","980","1281","s"
"France entière","ESS","Ensemble des secteurs d'activité","Aide par le travail","2 - Petites entreprises","633","147","16557","15000","345256920"
"France entière","ESS","Ensemble des secteurs d'activité","Aide par le travail","3 - Moyennes entreprises","1085","180","118715","105021","1704037988"
"France entière","ESS","Ensemble des secteurs d'activité","Aide par le travail","4 - Grandes entreprises","47","8","15056","13295","s"
"France entière","ESS","Ensemble des secteurs d'activité","Autres actions sociales","1 - Micro entreprise","6674","3759","21966","20710","626631195"
"France entière","ESS","Ensemble des secteurs d'activité","Autres actions sociales","2 - Petites entreprises","4317","1962","92597","75515","2231487934"
"France entière","ESS","Ensemble des secteurs d'activité","Autres actions sociales","3 - Moyennes entreprises","776","430","64911","54453","1462131071"
"France entière","ESS","Ensemble des secteurs d'activité","Autres actions sociales","4 - Grandes entreprises","23","18","9372","8102","259661316"
"France entière","ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","1 - Micro entreprise","2800","867","s","s","s"
"France entière","ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","2 - Petites entreprises","5205","1226","144023","125649","3620970457"
"France entière","ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","3 - Moyennes entreprises","3239","1086","241218","211583","6006074851"
"France entière","ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","4 - Grandes entreprises","24","14","s","s","s"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","1 - Micro entreprise","3575","2025","14747","13200","282609154"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","2 - Petites entreprises","1095","507","18013","15312","343826502"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","3 - Moyennes entreprises","23","14","s","s","s"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","4 - Grandes entreprises","2","0","s","s","s"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","1 - Micro entreprise","1763","1407","s","s","s"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","2 - Petites entreprises","1831","1394","s","s","s"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","3 - Moyennes entreprises","332","223","24546","17918","375692400"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","4 - Grandes entreprises","2","2","s","s","s"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","1 - Micro entreprise","17","13","s","s","s"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","2 - Petites entreprises","51","29","s","s","s"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","3 - Moyennes entreprises","14","5","s","s","s"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","4 - Grandes entreprises","1","1","s","s","s"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","1 - Micro entreprise","354","260","993","942","28340007"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","2 - Petites entreprises","112","69","2320","1917","54340298"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","3 - Moyennes entreprises","31","20","2851","2660","90528940"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","1 - Micro entreprise","375","279","s","s","s"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","2 - Petites entreprises","919","703","31552","28154","778719045"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","3 - Moyennes entreprises","1099","697","70535","62727","1775324985"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","4 - Grandes entreprises","4","2","s","s","s"
"France entière","Public","Ensemble des secteurs d'activité","Accueil des jeunes enfants","1 - Micro entreprise","247","37","1094","1124","30125359"
"France entière","Public","Ensemble des secteurs d'activité","Accueil des jeunes enfants","2 - Petites entreprises","455","25","10326","9753","266024885"
"France entière","Public","Ensemble des secteurs d'activité","Accueil des jeunes enfants","3 - Moyennes entreprises","26","3","2293","2048","61228322"
"France entière","Public","Ensemble des secteurs d'activité","Accueil des jeunes enfants","4 - Grandes entreprises","5","0","2613","2164","66171034"
"France entière","Public","Ensemble des secteurs d'activité","Aide a domicile","1 - Micro entreprise","79","27","s","s","s"
"France entière","Public","Ensemble des secteurs d'activité","Aide a domicile","2 - Petites entreprises","220","50","s","s","s"
"France entière","Public","Ensemble des secteurs d'activité","Aide a domicile","3 - Moyennes entreprises","82","20","s","s","s"
"France entière","Public","Ensemble des secteurs d'activité","Aide a domicile","4 - Grandes entreprises","1","0","s","s","s"
"France entière","Public","Ensemble des secteurs d'activité","Aide par le travail","1 - Micro entreprise","10","1","s","s","s"
"France entière","Public","Ensemble des secteurs d'activité","Aide par le travail","2 - Petites entreprises","35","6","s","s","s"
"France entière","Public","Ensemble des secteurs d'activité","Aide par le travail","3 - Moyennes entreprises","56","21","s","s","s"
"France entière","Public","Ensemble des secteurs d'activité","Aide par le travail","4 - Grandes entreprises","5","4","s","s","s"
"France entière","Public","Ensemble des secteurs d'activité","Autres actions sociales","1 - Micro entreprise","2369","1883","6605","6025","168243543"
"France entière","Public","Ensemble des secteurs d'activité","Autres actions sociales","2 - Petites entreprises","1220","828","26061","23268","649587671"
"France entière","Public","Ensemble des secteurs d'activité","Autres actions sociales","3 - Moyennes entreprises","441","354","46262","41176","1124673992"
"France entière","Public","Ensemble des secteurs d'activité","Autres actions sociales","4 - Grandes entreprises","87","45","43792","39606","1199124948"
"France entière","Public","Ensemble des secteurs d'activité","Hebergement medico-social et social","1 - Micro entreprise","526","123","2219","2066","s"
"France entière","Public","Ensemble des secteurs d'activité","Hebergement medico-social et social","2 - Petites entreprises","1210","494","36400","33014","917428644"
"France entière","Public","Ensemble des secteurs d'activité","Hebergement medico-social et social","3 - Moyennes entreprises","1860","1216","157522","144052","4030636453"
"France entière","Public","Ensemble des secteurs d'activité","Hebergement medico-social et social","4 - Grandes entreprises","47","31","21711","20123","s"
"France entière","ESS","ACTION SOCIALE (QB)","Ensemble","Tous établissements","33559","15998","945572","806352","20689621267"
"France entière","ESS","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Tous établissements","18869","2147","254383","248903","11942892429"
"France entière","ESS","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Tous établissements","1432","1256","11356","s","s"
"France entière","ESS","ARTS SPECTACLES (RZ1)","Ensemble","Tous établissements","21869","20546","31016","34834","s"
"France entière","ESS","ENSEIGNEMENT (PZ)","Ensemble","Tous établissements","20388","15906","317559","275430","9602748790"
"France entière","ESS","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Tous établissements","3414","2126","22884","24096","666578353"
"France entière","ESS","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Tous établissements","2639","2157","53287","51475","1793400413"
"France entière","ESS","NON-CLASSES (94.99Z)","Ensemble","Tous établissements","43351","39082","160182","138923","4253322521"
"France entière","ESS","SANTE HUMAINE (QA)","Ensemble","Tous établissements","4837","1944","182633","159152","6212212179"
"France entière","ESS","SERVICES DIVERS","Ensemble","Tous établissements","28111","20902","264794","247253","8173851636"
"France entière","ESS","SPORTS ET LOISIRS (RZ2)","Ensemble","Tous établissements","34249","32615","76887","s","s"
"France entière","Privé Hors ESS","ACTION SOCIALE (QB)","Ensemble","Tous établissements","11600","7650","224209","188539","4740310794"
