"REG","typo_Mut","typo_Mut_det","nb_etab","eff_31","eff_EQTP","rem_brut"
"Auvergne-Rhône-Alpes","Ensemble","Action sociale sans hebergement","53","1245","959","25738336"
"Auvergne-Rhône-Alpes","Ensemble","Activites de services financiers et d assurances","20","462","s","16303136"
"Auvergne-Rhône-Alpes","Ensemble","Assurances","639","9362","s","374858300"
"Auvergne-Rhône-Alpes","Ensemble","Hebergement medico-social et social","90","3208","2732","77878209"
"Bourgogne-Franche-Comté","Ensemble","Action sociale sans hebergement","46","1693","1607","33167404"
"Bourgogne-Franche-Comté","Ensemble","Activites de services financiers et d assurances","11","27","25","1072793"
"Bourgogne-Franche-Comté","Ensemble","Assurances","264","2539","2476","98703410"
"Bourgogne-Franche-Comté","Ensemble","Hebergement medico-social et social","47","2002","1721","48200763"
"Bretagne","Ensemble","Action sociale sans hebergement","19","712","607","12737813"
"Bretagne","Ensemble","Activites de services financiers et d assurances","8","97","92","3816952"
"Bretagne","Ensemble","Assurances","219","3880","3696","146710200"
"Bretagne","Ensemble","Hebergement medico-social et social","41","1384","1195","31953852"
"Centre-Val de Loire","Ensemble","Action sociale sans hebergement","19","126","117","2737322"
"Centre-Val de Loire","Ensemble","Activites de services financiers et d assurances","11","s","s","9042123"
"Centre-Val de Loire","Ensemble","Assurances","200","s","s","187263505"
"Centre-Val de Loire","Ensemble","Hebergement medico-social et social","19","765","696","19335473"
"Corse","Ensemble","Action sociale sans hebergement","4","s","27","774866"
"Corse","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"Corse","Ensemble","Assurances","34","232","s","s"
"Corse","Ensemble","Hebergement medico-social et social","6","s","s","s"
"Grand-Est","Ensemble","Action sociale sans hebergement","3","36","29","705019"
"Grand-Est","Ensemble","Activites de services financiers et d assurances","19","104","98","4670797"
"Grand-Est","Ensemble","Assurances","370","5076","4825","210361695"
"Grand-Est","Ensemble","Hebergement medico-social et social","5","248","229","5539010"
"Guadeloupe","Ensemble","Action sociale sans hebergement","2","s","s","s"
"Guadeloupe","Ensemble","Assurances","32","280","276","12580763"
"Guyane","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"Guyane","Ensemble","Assurances","10","s","s","s"
"Hauts-de-France","Ensemble","Action sociale sans hebergement","2","s","s","s"
"Hauts-de-France","Ensemble","Activites de services financiers et d assurances","11","22","24","985668"
"Hauts-de-France","Ensemble","Assurances","357","4818","4645","189554378"
"Hauts-de-France","Ensemble","Hebergement medico-social et social","3","s","s","s"
"Ile-de-France","Ensemble","Action sociale sans hebergement","13","377","336","10987762"
"Ile-de-France","Ensemble","Activites de services financiers et d assurances","32","s","s","s"
"Ile-de-France","Ensemble","Activites des services financiers hors assurance et caisses","2","s","s","s"
"Ile-de-France","Ensemble","Assurances","548","15838","15092","810319861"
"Ile-de-France","Ensemble","Hebergement medico-social et social","14","1029","957","28876937"
"La Réunion","Ensemble","Assurances","38","s","s","s"
"Martinique","Ensemble","Assurances","30","505","479","21296943"
"Normandie","Ensemble","Action sociale sans hebergement","13","227","180","3582882"
"Normandie","Ensemble","Activites de services financiers et d assurances","6","s","s","s"
"Normandie","Ensemble","Activites des services financiers hors assurance et caisses","1","s","s","s"
"Normandie","Ensemble","Assurances","242","4209","3813","180516800"
"Normandie","Ensemble","Hebergement medico-social et social","18","604","616","15660514"
"Nouvelle-Aquitaine","Ensemble","Action sociale sans hebergement","34","610","561","13835219"
"Nouvelle-Aquitaine","Ensemble","Activites de services financiers et d assurances","12","47","42","1934949"
"Nouvelle-Aquitaine","Ensemble","Assurances","505","13483","12867","625453664"
"Nouvelle-Aquitaine","Ensemble","Hebergement medico-social et social","29","955","891","23077371"
"Occitanie","Ensemble","Action sociale sans hebergement","37","506","432","9661749"
"Occitanie","Ensemble","Activites de services financiers et d assurances","23","272","245","10905500"
"Occitanie","Ensemble","Assurances","476","6712","6362","254575058"
"Occitanie","Ensemble","Hebergement medico-social et social","33","1370","1182","31385127"
"Pays de la Loire","Ensemble","Action sociale sans hebergement","70","916","768","18254281"
"Pays de la Loire","Ensemble","Activites de services financiers et d assurances","5","17","16","720059"
"Pays de la Loire","Ensemble","Assurances","232","3961","3666","147576543"
"Pays de la Loire","Ensemble","Hebergement medico-social et social","63","1984","1699","45737416"
"Provence-Alpes-Côte d'Azur","Ensemble","Action sociale sans hebergement","25","452","384","8520747"
"Provence-Alpes-Côte d'Azur","Ensemble","Activites de services financiers et d assurances","19","210","194","8726488"
"Provence-Alpes-Côte d'Azur","Ensemble","Assurances","412","4689","4325","180735252"
"Provence-Alpes-Côte d'Azur","Ensemble","Hebergement medico-social et social","8","416","397","11422228"
"Auvergne-Rhône-Alpes","ACTION SOCIALE (QB)","Ensemble","143","4453","3691","103616545"
"Auvergne-Rhône-Alpes","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","659","9824","9307","391161436"
"Auvergne-Rhône-Alpes","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","159","852","780","26352338"
"Auvergne-Rhône-Alpes","SANTE HUMAINE (QA)","Ensemble","120","3490","2911","130063209"
"Bourgogne-Franche-Comté","ACTION SOCIALE (QB)","Ensemble","93","3695","3328","81368167"
"Bourgogne-Franche-Comté","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","275","2566","2501","99776203"
"Bourgogne-Franche-Comté","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","79","849","728","19497931"
"Bourgogne-Franche-Comté","SANTE HUMAINE (QA)","Ensemble","51","1013","855","31175132"
"Bretagne","ACTION SOCIALE (QB)","Ensemble","60","2096","1802","44691665"
"Bretagne","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","227","3977","3788","150527152"
"Bretagne","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","66","652","619","23878427"
"Bretagne","SANTE HUMAINE (QA)","Ensemble","29","1776","1571","57887693"
"Centre-Val de Loire","ACTION SOCIALE (QB)","Ensemble","38","891","813","22072795"
"Centre-Val de Loire","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","211","4700","4502","196305628"
"Centre-Val de Loire","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","50","308","300","10363296"
"Centre-Val de Loire","SANTE HUMAINE (QA)","Ensemble","33","641","559","21967977"
"Corse","ACTION SOCIALE (QB)","Ensemble","10","s","s","s"
"Corse","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","35","s","210","8895707"
"Corse","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","6","s","s","s"
"Corse","SANTE HUMAINE (QA)","Ensemble","10","s","s","s"
"Grand-Est","ACTION SOCIALE (QB)","Ensemble","8","284","257","6244029"
"Grand-Est","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","389","5180","4923","215032492"
"Grand-Est","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","60","385","380","13101394"
"Grand-Est","SANTE HUMAINE (QA)","Ensemble","51","1018","929","37818871"
"Guadeloupe","ACTION SOCIALE (QB)","Ensemble","2","s","s","s"
"Guadeloupe","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","32","280","276","12580763"
"Guadeloupe","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","2","s","s","s"
"Guyane","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","12","s","s","s"
"Hauts-de-France","ACTION SOCIALE (QB)","Ensemble","5","231","211","6086548"
"Hauts-de-France","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","368","4840","4669","190540046"
"Hauts-de-France","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","76","289","259","8540359"
"Hauts-de-France","SANTE HUMAINE (QA)","Ensemble","44","502","455","18284002"
"Ile-de-France","ACTION SOCIALE (QB)","Ensemble","27","1406","1293","39864699"
"Ile-de-France","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","582","16405","15604","848025829"
"Ile-de-France","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","38","259","236","9634318"
"Ile-de-France","SANTE HUMAINE (QA)","Ensemble","44","5303","4418","188748110"
"La Réunion","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","38","s","s","s"
"La Réunion","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","4","s","s","s"
"Martinique","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","30","505","479","21296943"
"Normandie","ACTION SOCIALE (QB)","Ensemble","31","831","796","19243396"
"Normandie","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","249","4225","3828","181144964"
"Normandie","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","116","s","s","s"
"Normandie","SANTE HUMAINE (QA)","Ensemble","57","s","s","s"
"Nouvelle-Aquitaine","ACTION SOCIALE (QB)","Ensemble","63","1565","1451","36912590"
"Nouvelle-Aquitaine","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","517","13530","12909","627388613"
"Nouvelle-Aquitaine","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","129","863","826","26820475"
"Nouvelle-Aquitaine","SANTE HUMAINE (QA)","Ensemble","65","1847","1728","71618376"
"Occitanie","ACTION SOCIALE (QB)","Ensemble","70","1876","1614","41046876"
"Occitanie","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","499","6984","6607","265480558"
"Occitanie","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","156","1096","1004","31977269"
"Occitanie","SANTE HUMAINE (QA)","Ensemble","109","2853","2458","96240480"
"Pays de la Loire","ACTION SOCIALE (QB)","Ensemble","133","2900","2467","63991697"
"Pays de la Loire","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","237","3978","3682","148296602"
"Pays de la Loire","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","97","568","535","18486954"
"Pays de la Loire","SANTE HUMAINE (QA)","Ensemble","38","1288","1078","44021363"
"Provence-Alpes-Côte d'Azur","ACTION SOCIALE (QB)","Ensemble","33","868","782","19942975"
"Provence-Alpes-Côte d'Azur","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","431","4899","4519","189461740"
"Provence-Alpes-Côte d'Azur","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","52","287","267","10018595"
"Provence-Alpes-Côte d'Azur","SANTE HUMAINE (QA)","Ensemble","81","1644","1310","62263497"
"Auvergne-Rhône-Alpes","ACTION SOCIALE (QB)","Action sociale sans hebergement","53","1245","959","25738336"
"Auvergne-Rhône-Alpes","ACTION SOCIALE (QB)","Hebergement medico-social et social","90","3208","2732","77878209"
"Auvergne-Rhône-Alpes","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","20","462","s","16303136"
"Auvergne-Rhône-Alpes","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","639","9362","s","374858300"
"Bourgogne-Franche-Comté","ACTION SOCIALE (QB)","Action sociale sans hebergement","46","1693","1607","33167404"
"Bourgogne-Franche-Comté","ACTION SOCIALE (QB)","Hebergement medico-social et social","47","2002","1721","48200763"
"Bourgogne-Franche-Comté","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","11","27","25","1072793"
"Bourgogne-Franche-Comté","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","264","2539","2476","98703410"
"Bretagne","ACTION SOCIALE (QB)","Action sociale sans hebergement","19","712","607","12737813"
"Bretagne","ACTION SOCIALE (QB)","Hebergement medico-social et social","41","1384","1195","31953852"
"Bretagne","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","8","97","92","3816952"
"Bretagne","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","219","3880","3696","146710200"
"Centre-Val de Loire","ACTION SOCIALE (QB)","Action sociale sans hebergement","19","126","117","2737322"
"Centre-Val de Loire","ACTION SOCIALE (QB)","Hebergement medico-social et social","19","765","696","19335473"
"Centre-Val de Loire","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","11","s","s","9042123"
"Centre-Val de Loire","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","200","s","s","187263505"
"Corse","ACTION SOCIALE (QB)","Action sociale sans hebergement","4","s","27","774866"
"Corse","ACTION SOCIALE (QB)","Hebergement medico-social et social","6","s","s","s"
"Corse","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","1","s","s","s"
"Corse","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","34","232","s","s"
"Grand-Est","ACTION SOCIALE (QB)","Action sociale sans hebergement","3","36","29","705019"
"Grand-Est","ACTION SOCIALE (QB)","Hebergement medico-social et social","5","248","229","5539010"
"Grand-Est","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","19","104","98","4670797"
"Grand-Est","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","370","5076","4825","210361695"
"Guadeloupe","ACTION SOCIALE (QB)","Action sociale sans hebergement","2","s","s","s"
"Guadeloupe","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","32","280","276","12580763"
"Guyane","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","2","s","s","s"
"Guyane","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","10","s","s","s"
"Hauts-de-France","ACTION SOCIALE (QB)","Action sociale sans hebergement","2","s","s","s"
"Hauts-de-France","ACTION SOCIALE (QB)","Hebergement medico-social et social","3","s","s","s"
"Hauts-de-France","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","11","22","24","985668"
"Hauts-de-France","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","357","4818","4645","189554378"
"Ile-de-France","ACTION SOCIALE (QB)","Action sociale sans hebergement","13","377","336","10987762"
"Ile-de-France","ACTION SOCIALE (QB)","Hebergement medico-social et social","14","1029","957","28876937"
"Ile-de-France","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","32","s","s","s"
"Ile-de-France","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","2","s","s","s"
"Ile-de-France","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","548","15838","15092","810319861"
"La Réunion","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","38","s","s","s"
"Martinique","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","30","505","479","21296943"
"Normandie","ACTION SOCIALE (QB)","Action sociale sans hebergement","13","227","180","3582882"
"Normandie","ACTION SOCIALE (QB)","Hebergement medico-social et social","18","604","616","15660514"
"Normandie","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","6","s","s","s"
"Normandie","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","1","s","s","s"
"Normandie","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","242","4209","3813","180516800"
"Nouvelle-Aquitaine","ACTION SOCIALE (QB)","Action sociale sans hebergement","34","610","561","13835219"
"Nouvelle-Aquitaine","ACTION SOCIALE (QB)","Hebergement medico-social et social","29","955","891","23077371"
"Nouvelle-Aquitaine","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","12","47","42","1934949"
"Nouvelle-Aquitaine","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","505","13483","12867","625453664"
"Occitanie","ACTION SOCIALE (QB)","Action sociale sans hebergement","37","506","432","9661749"
"Occitanie","ACTION SOCIALE (QB)","Hebergement medico-social et social","33","1370","1182","31385127"
"Occitanie","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","23","272","245","10905500"
"Occitanie","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","476","6712","6362","254575058"
"Pays de la Loire","ACTION SOCIALE (QB)","Action sociale sans hebergement","70","916","768","18254281"
"Pays de la Loire","ACTION SOCIALE (QB)","Hebergement medico-social et social","63","1984","1699","45737416"
"Pays de la Loire","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","5","17","16","720059"
"Pays de la Loire","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","232","3961","3666","147576543"
"Provence-Alpes-Côte d'Azur","ACTION SOCIALE (QB)","Action sociale sans hebergement","25","452","384","8520747"
"Provence-Alpes-Côte d'Azur","ACTION SOCIALE (QB)","Hebergement medico-social et social","8","416","397","11422228"
"Provence-Alpes-Côte d'Azur","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","19","210","194","8726488"
"Provence-Alpes-Côte d'Azur","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","412","4689","4325","180735252"
