"DEP","typo_Mut","typo_Mut_det","nb_etab","eff_31","eff_EQTP","rem_brut"
"25","Ensemble","Ensemble","81","1405","1246","42131717"
"26","Ensemble","Ensemble","119","2650","2152","70314766"
"27","Ensemble","Ensemble","57","243","238","9790903"
"28","Ensemble","Ensemble","37","s","s","s"
"29","Ensemble","Ensemble","111","2321","2109","70825208"
"2A","Ensemble","Ensemble","25","255","222","8700953"
"2B","Ensemble","Ensemble","36","309","276","10727251"
"30","Ensemble","Ensemble","95","843","760","29356318"
"31","Ensemble","Ensemble","167","2609","2399","98291536"
"32","Ensemble","Ensemble","17","233","222","8065090"
"33","Ensemble","Ensemble","156","3489","3336","130327184"
"34","Ensemble","Ensemble","179","4294","3831","147020747"
"35","Ensemble","Ensemble","105","2563","2386","96748713"
"36","Ensemble","Ensemble","29","300","288","11656847"
"37","Ensemble","Ensemble","100","2067","1874","72641513"
"38","Ensemble","Ensemble","174","4005","3475","134512922"
"39","Ensemble","Ensemble","59","537","464","17029097"
"40","Ensemble","Ensemble","50","253","240","9909042"
"41","Ensemble","Ensemble","47","476","445","15645715"
"42","Ensemble","Ensemble","125","2895","2590","101969045"
"43","Ensemble","Ensemble","28","225","208","7718223"
"44","Ensemble","Ensemble","198","4189","3624","128586999"
"45","Ensemble","Ensemble","76","1696","1626","69788415"
"46","Ensemble","Ensemble","29","414","385","13223117"
"47","Ensemble","Ensemble","57","750","715","32644888"
"48","Ensemble","Ensemble","11","46","45","1742998"
"49","Ensemble","Ensemble","126","2466","2217","71300882"
"50","Ensemble","Ensemble","38","188","185","7028270"
"51","Ensemble","Ensemble","54","971","934","43266579"
"52","Ensemble","Ensemble","21","183","181","7144388"
"53","Ensemble","Ensemble","31","448","417","17730858"
"54","Ensemble","Ensemble","101","1497","1392","54937912"
"55","Ensemble","Ensemble","24","126","118","4987710"
"56","Ensemble","Ensemble","100","2404","2200","70978785"
"57","Ensemble","Ensemble","67","533","520","21214354"
"58","Ensemble","Ensemble","37","212","338","10692226"
"59","Ensemble","Ensemble","207","2893","2730","105636395"
"60","Ensemble","Ensemble","49","950","880","37493121"
"61","Ensemble","Ensemble","42","319","296","10238435"
"62","Ensemble","Ensemble","118","1338","1235","52143541"
"63","Ensemble","Ensemble","100","1170","1104","42484237"
"64","Ensemble","Ensemble","79","943","916","37522371"
"65","Ensemble","Ensemble","36","468","441","14653643"
"66","Ensemble","Ensemble","36","702","683","23570656"
"67","Ensemble","Ensemble","72","1342","1250","57123902"
"68","Ensemble","Ensemble","50","1110","1028","47043577"
"69","Ensemble","Ensemble","183","3688","3468","157809715"
"70","Ensemble","Ensemble","30","265","247","9661705"
"71","Ensemble","Ensemble","96","1029","1035","32297557"
"72","Ensemble","Ensemble","61","610","592","23845044"
"73","Ensemble","Ensemble","52","531","509","20356706"
"74","Ensemble","Ensemble","99","1046","965","38212560"
"75","Ensemble","Ensemble","310","14020","12942","703300209"
"76","Ensemble","Ensemble","175","3768","3372","162731222"
"77","Ensemble","Ensemble","57","1215","1052","41519897"
"78","Ensemble","Ensemble","59","1728","1653","62390365"
"79","Ensemble","Ensemble","55","7529","7186","393350190"
"80","Ensemble","Ensemble","63","323","347","13141565"
"81","Ensemble","Ensemble","87","1212","1074","36306515"
"82","Ensemble","Ensemble","41","650","616","19324247"
"83","Ensemble","Ensemble","103","1685","1532","59760072"
"84","Ensemble","Ensemble","89","726","651","27660824"
"85","Ensemble","Ensemble","89","1021","912","33332833"
"86","Ensemble","Ensemble","52","1013","933","33823186"
"87","Ensemble","Ensemble","93","965","881","28943502"
"88","Ensemble","Ensemble","45","367","332","12416444"
"89","Ensemble","Ensemble","52","501","438","13354869"
"90","Ensemble","Ensemble","27","338","317","11162565"
"91","Ensemble","Ensemble","48","833","748","30940533"
"92","Ensemble","Ensemble","79","2819","2680","151853549"
"93","Ensemble","Ensemble","57","1312","1089","39543649"
"94","Ensemble","Ensemble","49","915","892","38884340"
"95","Ensemble","Ensemble","32","531","495","17840414"
"971","Ensemble","Ensemble","36","292","288","12999366"
"972","Ensemble","Ensemble","30","505","479","21296943"
"973","Ensemble","Ensemble","12","s","s","s"
"974","Ensemble","Ensemble","42","687","676","29905989"
"1","Ensemble","Action sociale sans hebergement","1","s","s","s"
"1","Ensemble","Activites de services financiers et d assurances","3","12","10","452315"
"1","Ensemble","Assurances","47","362","360","13640300"
"1","Ensemble","Hebergement medico-social et social","3","s","s","s"
"2","Ensemble","Activites de services financiers et d assurances","4","6","s","301206"
"2","Ensemble","Assurances","47","319","s","13484320"
"2","Ensemble","Hebergement medico-social et social","1","s","s","s"
"3","Ensemble","Action sociale sans hebergement","4","65","52","1396587"
"3","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"3","Ensemble","Assurances","30","s","s","s"
"4","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"4","Ensemble","Assurances","22","s","s","s"
"5","Ensemble","Assurances","17","52","51","2175045"
"6","Ensemble","Action sociale sans hebergement","6","180","145","3244804"
"6","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"6","Ensemble","Assurances","100","s","s","s"
"7","Ensemble","Action sociale sans hebergement","1","s","s","s"
"7","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"7","Ensemble","Assurances","33","s","s","s"
"7","Ensemble","Hebergement medico-social et social","13","s","s","s"
"8","Ensemble","Action sociale sans hebergement","1","s","s","s"
"8","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"8","Ensemble","Assurances","20","s","s","s"
"8","Ensemble","Hebergement medico-social et social","3","s","s","s"
"9","Ensemble","Assurances","13","45","45","1652031"
"10","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"10","Ensemble","Assurances","25","s","s","s"
"11","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"11","Ensemble","Assurances","29","s","s","s"
"12","Ensemble","Action sociale sans hebergement","1","s","s","s"
"12","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"12","Ensemble","Assurances","31","s","s","s"
"12","Ensemble","Hebergement medico-social et social","3","s","s","s"
"13","Ensemble","Action sociale sans hebergement","12","133","110","2642193"
"13","Ensemble","Activites de services financiers et d assurances","8","152","141","6243955"
"13","Ensemble","Assurances","156","2520","2316","98413239"
"13","Ensemble","Hebergement medico-social et social","4","198","186","5381710"
"14","Ensemble","Action sociale sans hebergement","12","216","170","3269860"
"14","Ensemble","Assurances","50","485","482","18032686"
"14","Ensemble","Hebergement medico-social et social","13","409","432","11009846"
"15","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"15","Ensemble","Assurances","15","s","s","s"
"16","Ensemble","Action sociale sans hebergement","2","s","s","s"
"16","Ensemble","Assurances","35","383","378","14772395"
"16","Ensemble","Hebergement medico-social et social","4","s","s","s"
"17","Ensemble","Action sociale sans hebergement","1","s","s","s"
"17","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"17","Ensemble","Assurances","52","s","s","s"
"18","Ensemble","Action sociale sans hebergement","2","s","s","s"
"18","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"18","Ensemble","Assurances","28","s","s","s"
"18","Ensemble","Hebergement medico-social et social","2","s","s","s"
"19","Ensemble","Action sociale sans hebergement","3","29","25","579710"
"19","Ensemble","Assurances","23","219","206","7702559"
"19","Ensemble","Hebergement medico-social et social","6","70","60","1568273"
"21","Ensemble","Action sociale sans hebergement","15","1230","1007","20293620"
"21","Ensemble","Assurances","51","857","844","35528673"
"21","Ensemble","Hebergement medico-social et social","26","1047","903","25243660"
"22","Ensemble","Assurances","40","722","674","25353028"
"22","Ensemble","Hebergement medico-social et social","10","281","232","6266444"
"23","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"23","Ensemble","Assurances","13","s","s","s"
"24","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"24","Ensemble","Assurances","27","s","s","s"
"25","Ensemble","Action sociale sans hebergement","1","s","s","s"
"25","Ensemble","Activites de services financiers et d assurances","3","11","9","389847"
"25","Ensemble","Assurances","43","364","364","14476201"
"25","Ensemble","Hebergement medico-social et social","13","s","s","s"
"26","Ensemble","Action sociale sans hebergement","14","909","663","17465290"
"26","Ensemble","Assurances","52","868","800","31806144"
"26","Ensemble","Hebergement medico-social et social","27","644","506","14319368"
"27","Ensemble","Assurances","35","172","161","6368214"
"28","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"28","Ensemble","Assurances","29","s","s","s"
"29","Ensemble","Action sociale sans hebergement","10","492","424","9114674"
"29","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"29","Ensemble","Assurances","59","s","s","s"
"29","Ensemble","Hebergement medico-social et social","10","400","352","9611621"
"2A","Ensemble","Assurances","14","82","78","3347691"
"2A","Ensemble","Hebergement medico-social et social","3","106","87","2870127"
"2B","Ensemble","Action sociale sans hebergement","4","s","27","774866"
"2B","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"2B","Ensemble","Assurances","20","150","s","s"
"2B","Ensemble","Hebergement medico-social et social","3","s","77","2017094"
"30","Ensemble","Action sociale sans hebergement","2","s","s","s"
"30","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"30","Ensemble","Assurances","46","s","s","s"
"30","Ensemble","Hebergement medico-social et social","3","s","s","s"
"31","Ensemble","Action sociale sans hebergement","15","s","s","s"
"31","Ensemble","Activites de services financiers et d assurances","8","130","117","5099351"
"31","Ensemble","Assurances","111","1899","1783","77445323"
"31","Ensemble","Hebergement medico-social et social","1","s","s","s"
"32","Ensemble","Assurances","15","s","s","s"
"33","Ensemble","Action sociale sans hebergement","6","s","s","s"
"33","Ensemble","Activites de services financiers et d assurances","4","14","14","563882"
"33","Ensemble","Assurances","109","2245","2119","85116069"
"33","Ensemble","Hebergement medico-social et social","2","s","s","s"
"34","Ensemble","Action sociale sans hebergement","4","46","39","951390"
"34","Ensemble","Activites de services financiers et d assurances","3","11","10","449525"
"34","Ensemble","Assurances","90","1932","1803","75293421"
"34","Ensemble","Hebergement medico-social et social","21","847","715","19755305"
"35","Ensemble","Activites de services financiers et d assurances","5","s","s","s"
"35","Ensemble","Assurances","70","s","s","s"
"35","Ensemble","Hebergement medico-social et social","1","s","s","s"
"36","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"36","Ensemble","Assurances","16","s","s","s"
"37","Ensemble","Action sociale sans hebergement","12","91","86","1969652"
"37","Ensemble","Activites de services financiers et d assurances","3","s","s","s"
"37","Ensemble","Assurances","51","s","s","s"
"37","Ensemble","Hebergement medico-social et social","11","423","366","10322892"
"38","Ensemble","Action sociale sans hebergement","6","54","43","1329597"
"38","Ensemble","Activites de services financiers et d assurances","5","17","15","735974"
"38","Ensemble","Assurances","74","1026","978","40955961"
"38","Ensemble","Hebergement medico-social et social","27","1191","979","28809239"
"39","Ensemble","Action sociale sans hebergement","9","18","8","173059"
"39","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"39","Ensemble","Assurances","25","s","s","s"
"39","Ensemble","Hebergement medico-social et social","3","82","64","1723253"
"40","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"40","Ensemble","Assurances","30","s","s","s"
"41","Ensemble","Action sociale sans hebergement","2","s","s","s"
"41","Ensemble","Activites de services financiers et d assurances","3","5","7","291335"
"41","Ensemble","Assurances","27","146","131","5133375"
"41","Ensemble","Hebergement medico-social et social","3","s","s","s"
"42","Ensemble","Action sociale sans hebergement","5","55","44","1235622"
"42","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"42","Ensemble","Assurances","58","s","s","s"
"42","Ensemble","Hebergement medico-social et social","15","618","562","16353517"
"43","Ensemble","Action sociale sans hebergement","1","s","s","s"
"43","Ensemble","Assurances","20","134","126","4980887"
"43","Ensemble","Hebergement medico-social et social","1","s","s","s"
"44","Ensemble","Action sociale sans hebergement","23","355","259","5118063"
"44","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"44","Ensemble","Assurances","86","s","s","s"
"44","Ensemble","Hebergement medico-social et social","49","1297","1101","29973059"
"45","Ensemble","Action sociale sans hebergement","3","s","s","s"
"45","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"45","Ensemble","Assurances","49","s","s","s"
"45","Ensemble","Hebergement medico-social et social","3","s","s","s"
"46","Ensemble","Action sociale sans hebergement","2","s","s","s"
"46","Ensemble","Assurances","18","154","149","5439183"
"47","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"47","Ensemble","Assurances","38","s","s","s"
"47","Ensemble","Hebergement medico-social et social","1","s","s","s"
"48","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"48","Ensemble","Assurances","6","s","s","s"
"49","Ensemble","Action sociale sans hebergement","42","539","489","12638855"
"49","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"49","Ensemble","Assurances","45","s","s","s"
"49","Ensemble","Hebergement medico-social et social","14","687","598","15764357"
"50","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"50","Ensemble","Assurances","31","s","s","s"
"51","Ensemble","Action sociale sans hebergement","1","s","s","s"
"51","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"51","Ensemble","Assurances","44","s","s","s"
"52","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"52","Ensemble","Assurances","14","s","s","s"
"53","Ensemble","Assurances","20","382","352","15021574"
"54","Ensemble","Action sociale sans hebergement","1","s","s","s"
"54","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"54","Ensemble","Assurances","73","s","s","s"
"54","Ensemble","Hebergement medico-social et social","1","s","s","s"
"55","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"55","Ensemble","Assurances","18","s","s","s"
"56","Ensemble","Action sociale sans hebergement","9","220","182","3623139"
"56","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"56","Ensemble","Assurances","50","s","s","s"
"56","Ensemble","Hebergement medico-social et social","20","637","560","14607944"
"57","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"57","Ensemble","Assurances","55","s","s","s"
"58","Ensemble","Action sociale sans hebergement","3","s","s","s"
"58","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"58","Ensemble","Assurances","22","s","s","s"
"59","Ensemble","Action sociale sans hebergement","1","s","s","s"
"59","Ensemble","Activites de services financiers et d assurances","5","s","s","s"
"59","Ensemble","Assurances","140","s","s","s"
"60","Ensemble","Assurances","42","861","797","34399214"
"60","Ensemble","Hebergement medico-social et social","1","s","s","s"
"61","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"61","Ensemble","Assurances","23","s","s","s"
"61","Ensemble","Hebergement medico-social et social","1","s","s","s"
"62","Ensemble","Assurances","77","1045","972","42651110"
"62","Ensemble","Hebergement medico-social et social","1","s","s","s"
"63","Ensemble","Action sociale sans hebergement","1","s","s","s"
"63","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"63","Ensemble","Assurances","71","s","s","s"
"63","Ensemble","Hebergement medico-social et social","3","s","s","s"
"64","Ensemble","Action sociale sans hebergement","4","49","53","1320591"
"64","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"64","Ensemble","Assurances","63","s","s","s"
"65","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"65","Ensemble","Assurances","30","s","s","s"
"65","Ensemble","Hebergement medico-social et social","1","s","s","s"
"66","Ensemble","Action sociale sans hebergement","2","s","s","s"
"66","Ensemble","Assurances","26","410","400","14842922"
"67","Ensemble","Activites de services financiers et d assurances","5","19","20","1196796"
"67","Ensemble","Assurances","53","1088","1036","46209458"
"68","Ensemble","Assurances","40","682","634","31624830"
"68","Ensemble","Hebergement medico-social et social","1","s","s","s"
"69","Ensemble","Action sociale sans hebergement","17","38","s","s"
"69","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"69","Ensemble","Assurances","143","s","s","s"
"69","Ensemble","Hebergement medico-social et social","1","s","s","s"
"70","Ensemble","Assurances","19","159","155","6252730"
"71","Ensemble","Action sociale sans hebergement","9","s","s","s"
"71","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"71","Ensemble","Assurances","58","s","s","s"
"71","Ensemble","Hebergement medico-social et social","2","s","s","s"
"72","Ensemble","Action sociale sans hebergement","4","20","19","462920"
"72","Ensemble","Assurances","40","476","466","19112361"
"73","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"73","Ensemble","Assurances","38","s","s","s"
"74","Ensemble","Action sociale sans hebergement","3","0","11","250706"
"74","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"74","Ensemble","Assurances","58","s","s","s"
"75","Ensemble","Action sociale sans hebergement","5","s","s","s"
"75","Ensemble","Activites de services financiers et d assurances","13","143","137","15655380"
"75","Ensemble","Assurances","243","10305","9826","549272358"
"75","Ensemble","Hebergement medico-social et social","2","s","s","s"
"76","Ensemble","Action sociale sans hebergement","1","s","s","s"
"76","Ensemble","Activites de services financiers et d assurances","4","s","s","s"
"76","Ensemble","Activites des services financiers hors assurance et caisses","1","s","s","s"
"76","Ensemble","Assurances","103","3256","2882","145447924"
"76","Ensemble","Hebergement medico-social et social","4","s","s","s"
"77","Ensemble","Action sociale sans hebergement","2","s","s","s"
"77","Ensemble","Activites de services financiers et d assurances","3","12","8","429342"
"77","Ensemble","Assurances","48","575","539","26159368"
"77","Ensemble","Hebergement medico-social et social","2","s","s","s"
"78","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"78","Ensemble","Assurances","49","s","s","s"
"78","Ensemble","Hebergement medico-social et social","4","s","s","s"
"79","Ensemble","Action sociale sans hebergement","1","s","s","s"
"79","Ensemble","Assurances","44","7404","7073","389095614"
"80","Ensemble","Action sociale sans hebergement","1","s","s","s"
"80","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"80","Ensemble","Assurances","51","s","s","s"
"81","Ensemble","Action sociale sans hebergement","7","s","s","s"
"81","Ensemble","Activites de services financiers et d assurances","4","14","13","661751"
"81","Ensemble","Assurances","35","470","446","16175341"
"81","Ensemble","Hebergement medico-social et social","1","s","s","s"
"82","Ensemble","Action sociale sans hebergement","4","74","69","1457251"
"82","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"82","Ensemble","Assurances","26","s","s","s"
"82","Ensemble","Hebergement medico-social et social","3","148","153","3363444"
"83","Ensemble","Action sociale sans hebergement","7","139","129","2633750"
"83","Ensemble","Activites de services financiers et d assurances","7","45","41","1917976"
"83","Ensemble","Assurances","60","594","552","22973072"
"83","Ensemble","Hebergement medico-social et social","4","218","212","6040518"
"84","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"84","Ensemble","Assurances","57","s","s","s"
"85","Ensemble","Action sociale sans hebergement","1","s","s","s"
"85","Ensemble","Activites de services financiers et d assurances","3","s","s","s"
"85","Ensemble","Assurances","41","s","s","s"
"86","Ensemble","Action sociale sans hebergement","1","s","s","s"
"86","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"86","Ensemble","Assurances","35","s","s","s"
"86","Ensemble","Hebergement medico-social et social","5","s","s","s"
"87","Ensemble","Action sociale sans hebergement","16","133","122","2810512"
"87","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"87","Ensemble","Assurances","36","s","s","s"
"87","Ensemble","Hebergement medico-social et social","11","285","247","6715548"
"88","Ensemble","Activites de services financiers et d assurances","3","5","s","s"
"88","Ensemble","Assurances","28","234","s","s"
"89","Ensemble","Action sociale sans hebergement","8","s","s","s"
"89","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"89","Ensemble","Assurances","29","s","s","s"
"89","Ensemble","Hebergement medico-social et social","2","s","s","s"
"90","Ensemble","Action sociale sans hebergement","1","s","s","s"
"90","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"90","Ensemble","Assurances","17","s","s","s"
"90","Ensemble","Hebergement medico-social et social","1","s","s","s"
"91","Ensemble","Action sociale sans hebergement","1","s","s","s"
"91","Ensemble","Activites de services financiers et d assurances","4","158","129","5525403"
"91","Ensemble","Assurances","39","418","378","16029175"
"91","Ensemble","Hebergement medico-social et social","1","s","s","s"
"92","Ensemble","Action sociale sans hebergement","3","s","s","s"
"92","Ensemble","Activites de services financiers et d assurances","3","s","s","s"
"92","Ensemble","Activites des services financiers hors assurance et caisses","2","s","s","s"
"92","Ensemble","Assurances","60","2194","2110","123168200"
"92","Ensemble","Hebergement medico-social et social","1","s","s","s"
"93","Ensemble","Action sociale sans hebergement","1","s","s","s"
"93","Ensemble","Activites de services financiers et d assurances","4","s","s","s"
"93","Ensemble","Assurances","42","s","s","s"
"94","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"94","Ensemble","Assurances","44","s","s","s"
"95","Ensemble","Action sociale sans hebergement","1","s","s","s"
"95","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"95","Ensemble","Assurances","23","s","s","s"
"95","Ensemble","Hebergement medico-social et social","4","s","s","s"
"971","Ensemble","Action sociale sans hebergement","2","s","s","s"
"971","Ensemble","Assurances","32","280","276","12580763"
"972","Ensemble","Assurances","30","505","479","21296943"
"973","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"973","Ensemble","Assurances","10","s","s","s"
"974","Ensemble","Assurances","38","657","646","28877477"
"1","ACTION SOCIALE (QB)","Ensemble","4","132","119","3603747"
"1","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","50","374","370","14092615"
"1","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","7","36","33","1242046"
"1","SANTE HUMAINE (QA)","Ensemble","16","309","249","8867482"
"2","ACTION SOCIALE (QB)","Ensemble","1","s","s","s"
"2","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","51","325","358","13785526"
"2","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","2","s","s","s"
"2","SANTE HUMAINE (QA)","Ensemble","2","s","s","s"
"3","ACTION SOCIALE (QB)","Ensemble","4","65","52","1396587"
"3","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","31","477","468","19554371"
"3","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","6","19","18","619820"
"3","SANTE HUMAINE (QA)","Ensemble","4","18","16","856358"
"4","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","23","155","145","5706798"
"4","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","4","13","15","636980"
"4","SANTE HUMAINE (QA)","Ensemble","5","54","44","2091095"
"5","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","17","52","51","2175045"
"5","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","3","15","15","613615"
"5","SANTE HUMAINE (QA)","Ensemble","4","28","26","1300787"
"6","ACTION SOCIALE (QB)","Ensemble","6","180","145","3244804"
"6","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","101","867","796","31957532"
"6","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","11","41","40","1433600"
"6","SANTE HUMAINE (QA)","Ensemble","11","227","187","7522088"
"7","ACTION SOCIALE (QB)","Ensemble","14","492","443","11601157"
"7","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","34","185","176","6247990"
"7","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","5","17","16","544596"
"7","SANTE HUMAINE (QA)","Ensemble","3","83","67","2033352"
"8","ACTION SOCIALE (QB)","Ensemble","4","137","143","2833810"
"8","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","21","85","82","3471809"
"8","SANTE HUMAINE (QA)","Ensemble","13","114","114","3499154"
"9","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","13","45","45","1652031"
"9","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","6","s","s","s"
"9","SANTE HUMAINE (QA)","Ensemble","1","s","s","s"
"10","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","26","240","224","8879804"
"10","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","7","91","93","3250428"
"10","SANTE HUMAINE (QA)","Ensemble","3","71","78","2126915"
"11","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","31","237","220","7658652"
"11","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","10","73","67","2110910"
"11","SANTE HUMAINE (QA)","Ensemble","3","29","28","1351294"
"12","ACTION SOCIALE (QB)","Ensemble","4","99","76","2021246"
"12","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","32","485","461","16932017"
"12","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","15","85","78","2709606"
"12","SANTE HUMAINE (QA)","Ensemble","21","247","218","7523576"
"13","ACTION SOCIALE (QB)","Ensemble","16","331","295","8023903"
"13","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","164","2672","2457","104657194"
"13","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","8","103","94","3576300"
"13","SANTE HUMAINE (QA)","Ensemble","32","549","385","21326170"
"14","ACTION SOCIALE (QB)","Ensemble","25","625","602","14279706"
"14","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","50","485","482","18032686"
