"DEP","typo_Mut","typo_Mut_det","type_emploi","nb_poste"
"France entière","SANTE HUMAINE (QA)","Ensemble","Ordinaires","21655"
"France entière","SANTE HUMAINE (QA)","Ensemble","Stagiaires","s"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Ensemble","7023"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Ensemble","14291"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Ensemble","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Ensemble","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Ensemble","80750"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Aides","115"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Apprentis","s"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Ordinaires","6888"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Stagiaires","s"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Aides","528"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Apprentis","s"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Ordinaires","13676"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Aides","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Ordinaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Aides","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Ordinaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Aides","1557"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Apprentis","673"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Ordinaires","78464"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Stagiaires","56"
"1","Ensemble","Ensemble","Ensemble","851"
"2","Ensemble","Ensemble","Ensemble","358"
"3","Ensemble","Ensemble","Ensemble","579"
"4","Ensemble","Ensemble","Ensemble","222"
"5","Ensemble","Ensemble","Ensemble","95"
"6","Ensemble","Ensemble","Ensemble","1315"
"7","Ensemble","Ensemble","Ensemble","777"
"8","Ensemble","Ensemble","Ensemble","336"
"9","Ensemble","Ensemble","Ensemble","83"
"10","Ensemble","Ensemble","Ensemble","402"
"11","Ensemble","Ensemble","Ensemble","339"
"12","Ensemble","Ensemble","Ensemble","916"
"13","Ensemble","Ensemble","Ensemble","3655"
"14","Ensemble","Ensemble","Ensemble","1380"
"15","Ensemble","Ensemble","Ensemble","202"
"16","Ensemble","Ensemble","Ensemble","956"
"17","Ensemble","Ensemble","Ensemble","869"
"18","Ensemble","Ensemble","Ensemble","479"
"19","Ensemble","Ensemble","Ensemble","361"
"21","Ensemble","Ensemble","Ensemble","3836"
"22","Ensemble","Ensemble","Ensemble","1213"
"23","Ensemble","Ensemble","Ensemble","487"
"24","Ensemble","Ensemble","Ensemble","190"
"25","Ensemble","Ensemble","Ensemble","1405"
"26","Ensemble","Ensemble","Ensemble","2650"
"27","Ensemble","Ensemble","Ensemble","243"
"28","Ensemble","Ensemble","Ensemble","s"
"29","Ensemble","Ensemble","Ensemble","2321"
"2A","Ensemble","Ensemble","Ensemble","255"
"2B","Ensemble","Ensemble","Ensemble","309"
"30","Ensemble","Ensemble","Ensemble","843"
"31","Ensemble","Ensemble","Ensemble","2609"
"32","Ensemble","Ensemble","Ensemble","233"
"33","Ensemble","Ensemble","Ensemble","3489"
"34","Ensemble","Ensemble","Ensemble","4294"
"35","Ensemble","Ensemble","Ensemble","2563"
"36","Ensemble","Ensemble","Ensemble","300"
"37","Ensemble","Ensemble","Ensemble","2067"
"38","Ensemble","Ensemble","Ensemble","4005"
"39","Ensemble","Ensemble","Ensemble","537"
"40","Ensemble","Ensemble","Ensemble","253"
"41","Ensemble","Ensemble","Ensemble","476"
"42","Ensemble","Ensemble","Ensemble","2895"
"43","Ensemble","Ensemble","Ensemble","225"
"44","Ensemble","Ensemble","Ensemble","4189"
"45","Ensemble","Ensemble","Ensemble","1696"
"46","Ensemble","Ensemble","Ensemble","414"
"47","Ensemble","Ensemble","Ensemble","750"
"48","Ensemble","Ensemble","Ensemble","46"
"49","Ensemble","Ensemble","Ensemble","2466"
"50","Ensemble","Ensemble","Ensemble","188"
"51","Ensemble","Ensemble","Ensemble","971"
"52","Ensemble","Ensemble","Ensemble","183"
"53","Ensemble","Ensemble","Ensemble","448"
"54","Ensemble","Ensemble","Ensemble","1497"
"55","Ensemble","Ensemble","Ensemble","126"
"56","Ensemble","Ensemble","Ensemble","2404"
"57","Ensemble","Ensemble","Ensemble","533"
"58","Ensemble","Ensemble","Ensemble","212"
"59","Ensemble","Ensemble","Ensemble","2893"
"60","Ensemble","Ensemble","Ensemble","950"
"61","Ensemble","Ensemble","Ensemble","319"
"62","Ensemble","Ensemble","Ensemble","1338"
"63","Ensemble","Ensemble","Ensemble","1170"
"64","Ensemble","Ensemble","Ensemble","943"
"65","Ensemble","Ensemble","Ensemble","468"
"66","Ensemble","Ensemble","Ensemble","702"
"67","Ensemble","Ensemble","Ensemble","1342"
"68","Ensemble","Ensemble","Ensemble","1110"
"69","Ensemble","Ensemble","Ensemble","3688"
"70","Ensemble","Ensemble","Ensemble","265"
"71","Ensemble","Ensemble","Ensemble","1029"
"72","Ensemble","Ensemble","Ensemble","610"
"73","Ensemble","Ensemble","Ensemble","531"
"74","Ensemble","Ensemble","Ensemble","1046"
"75","Ensemble","Ensemble","Ensemble","14020"
"76","Ensemble","Ensemble","Ensemble","3768"
"77","Ensemble","Ensemble","Ensemble","1215"
"78","Ensemble","Ensemble","Ensemble","1728"
"79","Ensemble","Ensemble","Ensemble","7529"
"80","Ensemble","Ensemble","Ensemble","323"
"81","Ensemble","Ensemble","Ensemble","1212"
"82","Ensemble","Ensemble","Ensemble","650"
"83","Ensemble","Ensemble","Ensemble","1685"
"84","Ensemble","Ensemble","Ensemble","726"
"85","Ensemble","Ensemble","Ensemble","1021"
"86","Ensemble","Ensemble","Ensemble","1013"
"87","Ensemble","Ensemble","Ensemble","965"
"88","Ensemble","Ensemble","Ensemble","367"
"89","Ensemble","Ensemble","Ensemble","501"
"90","Ensemble","Ensemble","Ensemble","338"
"91","Ensemble","Ensemble","Ensemble","833"
"92","Ensemble","Ensemble","Ensemble","2819"
"93","Ensemble","Ensemble","Ensemble","1312"
"94","Ensemble","Ensemble","Ensemble","915"
"95","Ensemble","Ensemble","Ensemble","531"
"971","Ensemble","Ensemble","Ensemble","292"
"972","Ensemble","Ensemble","Ensemble","505"
"973","Ensemble","Ensemble","Ensemble","s"
"974","Ensemble","Ensemble","Ensemble","687"
"1","Ensemble","Ensemble","Aides","s"
"1","Ensemble","Ensemble","Apprentis","s"
"1","Ensemble","Ensemble","Ordinaires","831"
"2","Ensemble","Ensemble","Aides","s"
"2","Ensemble","Ensemble","Ordinaires","s"
"3","Ensemble","Ensemble","Aides","s"
"3","Ensemble","Ensemble","Apprentis","s"
"3","Ensemble","Ensemble","Ordinaires","567"
"4","Ensemble","Ensemble","Aides","7"
"4","Ensemble","Ensemble","Ordinaires","215"
"5","Ensemble","Ensemble","Aides","s"
"5","Ensemble","Ensemble","Ordinaires","s"
"6","Ensemble","Ensemble","Aides","29"
"6","Ensemble","Ensemble","Apprentis","s"
"6","Ensemble","Ensemble","Ordinaires","1280"
"6","Ensemble","Ensemble","Stagiaires","s"
"7","Ensemble","Ensemble","Aides","s"
"7","Ensemble","Ensemble","Apprentis","s"
"7","Ensemble","Ensemble","Ordinaires","747"
"8","Ensemble","Ensemble","Aides","s"
"8","Ensemble","Ensemble","Apprentis","s"
"8","Ensemble","Ensemble","Ordinaires","325"
"9","Ensemble","Ensemble","Aides","s"
"9","Ensemble","Ensemble","Apprentis","s"
"9","Ensemble","Ensemble","Ordinaires","79"
"10","Ensemble","Ensemble","Aides","s"
"10","Ensemble","Ensemble","Apprentis","s"
"10","Ensemble","Ensemble","Ordinaires","395"
"11","Ensemble","Ensemble","Aides","10"
"11","Ensemble","Ensemble","Apprentis","s"
"11","Ensemble","Ensemble","Ordinaires","322"
"11","Ensemble","Ensemble","Stagiaires","s"
"12","Ensemble","Ensemble","Aides","11"
"12","Ensemble","Ensemble","Apprentis","9"
"12","Ensemble","Ensemble","Ordinaires","896"
"13","Ensemble","Ensemble","Aides","89"
"13","Ensemble","Ensemble","Apprentis","s"
"13","Ensemble","Ensemble","Ordinaires","3551"
"13","Ensemble","Ensemble","Stagiaires","s"
"14","Ensemble","Ensemble","Aides","s"
"14","Ensemble","Ensemble","Apprentis","s"
"14","Ensemble","Ensemble","Ordinaires","1359"
"15","Ensemble","Ensemble","Aides","s"
"15","Ensemble","Ensemble","Ordinaires","s"
"16","Ensemble","Ensemble","Aides","s"
"16","Ensemble","Ensemble","Apprentis","s"
"16","Ensemble","Ensemble","Ordinaires","913"
"17","Ensemble","Ensemble","Aides","s"
"17","Ensemble","Ensemble","Apprentis","s"
"17","Ensemble","Ensemble","Ordinaires","850"
"18","Ensemble","Ensemble","Aides","s"
"18","Ensemble","Ensemble","Apprentis","s"
"18","Ensemble","Ensemble","Ordinaires","468"
"18","Ensemble","Ensemble","Stagiaires","s"
"19","Ensemble","Ensemble","Aides","s"
"19","Ensemble","Ensemble","Apprentis","s"
"19","Ensemble","Ensemble","Ordinaires","s"
"21","Ensemble","Ensemble","Aides","63"
"21","Ensemble","Ensemble","Apprentis","s"
"21","Ensemble","Ensemble","Ordinaires","3746"
"21","Ensemble","Ensemble","Stagiaires","s"
"22","Ensemble","Ensemble","Aides","s"
"22","Ensemble","Ensemble","Apprentis","s"
"22","Ensemble","Ensemble","Ordinaires","1197"
"23","Ensemble","Ensemble","Apprentis","s"
"23","Ensemble","Ensemble","Ordinaires","484"
"23","Ensemble","Ensemble","Stagiaires","s"
"24","Ensemble","Ensemble","Aides","s"
"24","Ensemble","Ensemble","Apprentis","s"
"24","Ensemble","Ensemble","Ordinaires","182"
"25","Ensemble","Ensemble","Aides","31"
"25","Ensemble","Ensemble","Apprentis","s"
"25","Ensemble","Ensemble","Ordinaires","1363"
"25","Ensemble","Ensemble","Stagiaires","s"
"26","Ensemble","Ensemble","Aides","27"
"26","Ensemble","Ensemble","Apprentis","11"
"26","Ensemble","Ensemble","Ordinaires","2612"
"27","Ensemble","Ensemble","Aides","s"
"27","Ensemble","Ensemble","Apprentis","s"
"27","Ensemble","Ensemble","Ordinaires","234"
"28","Ensemble","Ensemble","Aides","s"
"28","Ensemble","Ensemble","Apprentis","17"
"28","Ensemble","Ensemble","Ordinaires","s"
"29","Ensemble","Ensemble","Aides","49"
"29","Ensemble","Ensemble","Apprentis","5"
"29","Ensemble","Ensemble","Ordinaires","2267"
"2A","Ensemble","Ensemble","Aides","s"
"2A","Ensemble","Ensemble","Apprentis","s"
"2A","Ensemble","Ensemble","Ordinaires","252"
"2B","Ensemble","Ensemble","Aides","s"
"2B","Ensemble","Ensemble","Apprentis","s"
"2B","Ensemble","Ensemble","Ordinaires","306"
"30","Ensemble","Ensemble","Aides","6"
"30","Ensemble","Ensemble","Apprentis","18"
"30","Ensemble","Ensemble","Ordinaires","819"
"31","Ensemble","Ensemble","Aides","88"
"31","Ensemble","Ensemble","Apprentis","s"
"31","Ensemble","Ensemble","Ordinaires","2497"
"31","Ensemble","Ensemble","Stagiaires","s"
"32","Ensemble","Ensemble","Aides","6"
"32","Ensemble","Ensemble","Ordinaires","227"
"33","Ensemble","Ensemble","Aides","40"
"33","Ensemble","Ensemble","Apprentis","s"
"33","Ensemble","Ensemble","Ordinaires","3433"
"33","Ensemble","Ensemble","Stagiaires","s"
"34","Ensemble","Ensemble","Aides","46"
"34","Ensemble","Ensemble","Apprentis","s"
"34","Ensemble","Ensemble","Ordinaires","4221"
"34","Ensemble","Ensemble","Stagiaires","s"
"35","Ensemble","Ensemble","Aides","45"
"35","Ensemble","Ensemble","Apprentis","s"
"35","Ensemble","Ensemble","Ordinaires","2502"
"35","Ensemble","Ensemble","Stagiaires","s"
"36","Ensemble","Ensemble","Aides","15"
"36","Ensemble","Ensemble","Apprentis","8"
"36","Ensemble","Ensemble","Ordinaires","277"
"37","Ensemble","Ensemble","Aides","38"
"37","Ensemble","Ensemble","Apprentis","s"
"37","Ensemble","Ensemble","Ordinaires","2007"
"37","Ensemble","Ensemble","Stagiaires","s"
"38","Ensemble","Ensemble","Aides","65"
"38","Ensemble","Ensemble","Apprentis","10"
"38","Ensemble","Ensemble","Ordinaires","3921"
"38","Ensemble","Ensemble","Stagiaires","9"
"39","Ensemble","Ensemble","Aides","s"
"39","Ensemble","Ensemble","Apprentis","s"
"39","Ensemble","Ensemble","Ordinaires","516"
"40","Ensemble","Ensemble","Aides","11"
"40","Ensemble","Ensemble","Ordinaires","242"
"41","Ensemble","Ensemble","Aides","s"
"41","Ensemble","Ensemble","Apprentis","s"
"41","Ensemble","Ensemble","Ordinaires","468"
"41","Ensemble","Ensemble","Stagiaires","s"
"42","Ensemble","Ensemble","Aides","29"
"42","Ensemble","Ensemble","Apprentis","16"
"42","Ensemble","Ensemble","Ordinaires","2845"
"42","Ensemble","Ensemble","Stagiaires","5"
"43","Ensemble","Ensemble","Aides","s"
"43","Ensemble","Ensemble","Ordinaires","s"
"44","Ensemble","Ensemble","Aides","64"
"44","Ensemble","Ensemble","Apprentis","28"
"44","Ensemble","Ensemble","Ordinaires","4097"
"45","Ensemble","Ensemble","Aides","s"
"45","Ensemble","Ensemble","Apprentis","s"
"45","Ensemble","Ensemble","Ordinaires","1657"
"46","Ensemble","Ensemble","Aides","s"
"46","Ensemble","Ensemble","Apprentis","s"
"46","Ensemble","Ensemble","Ordinaires","395"
"47","Ensemble","Ensemble","Aides","s"
"47","Ensemble","Ensemble","Apprentis","s"
"47","Ensemble","Ensemble","Ordinaires","730"
"48","Ensemble","Ensemble","Ordinaires","46"
"49","Ensemble","Ensemble","Aides","s"
"49","Ensemble","Ensemble","Apprentis","s"
"49","Ensemble","Ensemble","Ordinaires","2313"
"50","Ensemble","Ensemble","Aides","s"
"50","Ensemble","Ensemble","Ordinaires","s"
"51","Ensemble","Ensemble","Aides","13"
"51","Ensemble","Ensemble","Apprentis","s"
"51","Ensemble","Ensemble","Ordinaires","945"
"51","Ensemble","Ensemble","Stagiaires","s"
"52","Ensemble","Ensemble","Aides","s"
"52","Ensemble","Ensemble","Apprentis","s"
"52","Ensemble","Ensemble","Ordinaires","174"
"53","Ensemble","Ensemble","Aides","5"
"53","Ensemble","Ensemble","Apprentis","6"
"53","Ensemble","Ensemble","Ordinaires","437"
"54","Ensemble","Ensemble","Aides","28"
"54","Ensemble","Ensemble","Apprentis","s"
"54","Ensemble","Ensemble","Ordinaires","1457"
"54","Ensemble","Ensemble","Stagiaires","s"
"55","Ensemble","Ensemble","Aides","s"
"55","Ensemble","Ensemble","Ordinaires","122"
"55","Ensemble","Ensemble","Stagiaires","s"
"56","Ensemble","Ensemble","Aides","s"
"56","Ensemble","Ensemble","Apprentis","s"
"56","Ensemble","Ensemble","Ordinaires","2344"
"57","Ensemble","Ensemble","Aides","s"
"57","Ensemble","Ensemble","Apprentis","s"
"57","Ensemble","Ensemble","Ordinaires","521"
"58","Ensemble","Ensemble","Aides","s"
"58","Ensemble","Ensemble","Apprentis","s"
"58","Ensemble","Ensemble","Ordinaires","204"
"59","Ensemble","Ensemble","Aides","32"
"59","Ensemble","Ensemble","Apprentis","s"
"59","Ensemble","Ensemble","Ordinaires","2837"
"59","Ensemble","Ensemble","Stagiaires","s"
"60","Ensemble","Ensemble","Aides","s"
"60","Ensemble","Ensemble","Apprentis","s"
"60","Ensemble","Ensemble","Ordinaires","926"
"61","Ensemble","Ensemble","Aides","5"
"61","Ensemble","Ensemble","Ordinaires","314"
"62","Ensemble","Ensemble","Aides","16"
"62","Ensemble","Ensemble","Apprentis","10"
"62","Ensemble","Ensemble","Ordinaires","1312"
"63","Ensemble","Ensemble","Aides","16"
"63","Ensemble","Ensemble","Apprentis","s"
"63","Ensemble","Ensemble","Ordinaires","1141"
"63","Ensemble","Ensemble","Stagiaires","s"
"64","Ensemble","Ensemble","Aides","s"
"64","Ensemble","Ensemble","Apprentis","s"
"64","Ensemble","Ensemble","Ordinaires","936"
"64","Ensemble","Ensemble","Stagiaires","s"
"65","Ensemble","Ensemble","Aides","s"
"65","Ensemble","Ensemble","Apprentis","s"
"65","Ensemble","Ensemble","Ordinaires","458"
"66","Ensemble","Ensemble","Aides","s"
"66","Ensemble","Ensemble","Apprentis","s"
"66","Ensemble","Ensemble","Ordinaires","692"
"67","Ensemble","Ensemble","Aides","16"
"67","Ensemble","Ensemble","Apprentis","s"
"67","Ensemble","Ensemble","Ordinaires","1311"
"67","Ensemble","Ensemble","Stagiaires","s"
"68","Ensemble","Ensemble","Aides","s"
"68","Ensemble","Ensemble","Apprentis","s"
"68","Ensemble","Ensemble","Ordinaires","1100"
"69","Ensemble","Ensemble","Aides","126"
"69","Ensemble","Ensemble","Apprentis","24"
"69","Ensemble","Ensemble","Ordinaires","3529"
"69","Ensemble","Ensemble","Stagiaires","9"
"70","Ensemble","Ensemble","Aides","6"
"70","Ensemble","Ensemble","Apprentis","6"
"70","Ensemble","Ensemble","Ordinaires","253"
"71","Ensemble","Ensemble","Aides","s"
"71","Ensemble","Ensemble","Apprentis","s"
"71","Ensemble","Ensemble","Ordinaires","1013"
"72","Ensemble","Ensemble","Aides","8"
"72","Ensemble","Ensemble","Apprentis","6"
"72","Ensemble","Ensemble","Ordinaires","596"
"73","Ensemble","Ensemble","Aides","8"
"73","Ensemble","Ensemble","Ordinaires","523"
"74","Ensemble","Ensemble","Aides","21"
"74","Ensemble","Ensemble","Apprentis","s"
"74","Ensemble","Ensemble","Ordinaires","1016"
"74","Ensemble","Ensemble","Stagiaires","s"
"75","Ensemble","Ensemble","Aides","216"
"75","Ensemble","Ensemble","Apprentis","137"
"75","Ensemble","Ensemble","Ordinaires","13635"
"75","Ensemble","Ensemble","Stagiaires","32"
"76","Ensemble","Ensemble","Aides","77"
"76","Ensemble","Ensemble","Apprentis","s"
"76","Ensemble","Ensemble","Ordinaires","3669"
"76","Ensemble","Ensemble","Stagiaires","s"
"77","Ensemble","Ensemble","Aides","9"
"77","Ensemble","Ensemble","Apprentis","s"
"77","Ensemble","Ensemble","Ordinaires","1191"
"77","Ensemble","Ensemble","Stagiaires","s"
"78","Ensemble","Ensemble","Aides","s"
"78","Ensemble","Ensemble","Apprentis","27"
"78","Ensemble","Ensemble","Ordinaires","1583"
"78","Ensemble","Ensemble","Stagiaires","s"
"79","Ensemble","Ensemble","Aides","176"
"79","Ensemble","Ensemble","Apprentis","s"
"79","Ensemble","Ensemble","Ordinaires","7249"
"79","Ensemble","Ensemble","Stagiaires","s"
"80","Ensemble","Ensemble","Aides","s"
"80","Ensemble","Ensemble","Ordinaires","s"
"81","Ensemble","Ensemble","Aides","s"
"81","Ensemble","Ensemble","Apprentis","s"
"81","Ensemble","Ensemble","Ordinaires","1198"
"82","Ensemble","Ensemble","Aides","s"
"82","Ensemble","Ensemble","Apprentis","s"
"82","Ensemble","Ensemble","Ordinaires","634"
"83","Ensemble","Ensemble","Aides","39"
"83","Ensemble","Ensemble","Ordinaires","1646"
"84","Ensemble","Ensemble","Aides","s"
"84","Ensemble","Ensemble","Apprentis","s"
"84","Ensemble","Ensemble","Ordinaires","720"
"85","Ensemble","Ensemble","Aides","15"
"85","Ensemble","Ensemble","Apprentis","6"
"85","Ensemble","Ensemble","Ordinaires","1000"
"86","Ensemble","Ensemble","Aides","45"
"86","Ensemble","Ensemble","Apprentis","9"
"86","Ensemble","Ensemble","Ordinaires","959"
"87","Ensemble","Ensemble","Aides","8"
"87","Ensemble","Ensemble","Apprentis","8"
"87","Ensemble","Ensemble","Ordinaires","949"
"88","Ensemble","Ensemble","Aides","6"
"88","Ensemble","Ensemble","Ordinaires","361"
"89","Ensemble","Ensemble","Aides","10"
"89","Ensemble","Ensemble","Apprentis","6"
"89","Ensemble","Ensemble","Ordinaires","485"
"90","Ensemble","Ensemble","Aides","s"
"90","Ensemble","Ensemble","Apprentis","s"
"90","Ensemble","Ensemble","Ordinaires","325"
"91","Ensemble","Ensemble","Aides","s"
"91","Ensemble","Ensemble","Apprentis","s"
"91","Ensemble","Ensemble","Ordinaires","789"
"92","Ensemble","Ensemble","Aides","46"
"92","Ensemble","Ensemble","Apprentis","s"
"92","Ensemble","Ensemble","Ordinaires","2732"
"92","Ensemble","Ensemble","Stagiaires","s"
"93","Ensemble","Ensemble","Aides","s"
"93","Ensemble","Ensemble","Apprentis","s"
"93","Ensemble","Ensemble","Ordinaires","1302"
"94","Ensemble","Ensemble","Aides","s"
"94","Ensemble","Ensemble","Apprentis","s"
"94","Ensemble","Ensemble","Ordinaires","892"
"95","Ensemble","Ensemble","Aides","14"
"95","Ensemble","Ensemble","Apprentis","s"
"95","Ensemble","Ensemble","Ordinaires","509"
"95","Ensemble","Ensemble","Stagiaires","s"
"971","Ensemble","Ensemble","Aides","s"
"971","Ensemble","Ensemble","Apprentis","s"
"971","Ensemble","Ensemble","Ordinaires","288"
"972","Ensemble","Ensemble","Aides","11"
"972","Ensemble","Ensemble","Ordinaires","494"
"973","Ensemble","Ensemble","Apprentis","s"
"973","Ensemble","Ensemble","Ordinaires","s"
"974","Ensemble","Ensemble","Aides","16"
"974","Ensemble","Ensemble","Apprentis","s"
"974","Ensemble","Ensemble","Ordinaires","664"
"974","Ensemble","Ensemble","Stagiaires","s"
"1","Ensemble","Action sociale sans hebergement","Ensemble","s"
"1","Ensemble","Activites de services financiers et d assurances","Ensemble","12"
"1","Ensemble","Assurances","Ensemble","362"
"1","Ensemble","Hebergement medico-social et social","Ensemble","s"
"2","Ensemble","Activites de services financiers et d assurances","Ensemble","s"
"2","Ensemble","Assurances","Ensemble","s"
"2","Ensemble","Hebergement medico-social et social","Ensemble","s"
"3","Ensemble","Action sociale sans hebergement","Ensemble","65"
"3","Ensemble","Activites de services financiers et d assurances","Ensemble","s"
"3","Ensemble","Assurances","Ensemble","s"
"4","Ensemble","Activites de services financiers et d assurances","Ensemble","s"
"4","Ensemble","Assurances","Ensemble","s"
"5","Ensemble","Assurances","Ensemble","52"
"6","Ensemble","Action sociale sans hebergement","Ensemble","s"
"6","Ensemble","Activites de services financiers et d assurances","Ensemble","s"
"6","Ensemble","Assurances","Ensemble","s"
"7","Ensemble","Action sociale sans hebergement","Ensemble","s"
"7","Ensemble","Activites de services financiers et d assurances","Ensemble","s"
"7","Ensemble","Assurances","Ensemble","s"
"7","Ensemble","Hebergement medico-social et social","Ensemble","s"
"8","Ensemble","Action sociale sans hebergement","Ensemble","s"
"8","Ensemble","Activites de services financiers et d assurances","Ensemble","s"
"8","Ensemble","Assurances","Ensemble","s"
"8","Ensemble","Hebergement medico-social et social","Ensemble","s"
"9","Ensemble","Assurances","Ensemble","45"
"10","Ensemble","Activites de services financiers et d assurances","Ensemble","s"
"10","Ensemble","Assurances","Ensemble","s"
"11","Ensemble","Activites de services financiers et d assurances","Ensemble","s"
"11","Ensemble","Assurances","Ensemble","s"
"12","Ensemble","Action sociale sans hebergement","Ensemble","s"
"12","Ensemble","Activites de services financiers et d assurances","Ensemble","s"
"12","Ensemble","Assurances","Ensemble","s"
"12","Ensemble","Hebergement medico-social et social","Ensemble","s"
"13","Ensemble","Action sociale sans hebergement","Ensemble","133"
"13","Ensemble","Activites de services financiers et d assurances","Ensemble","152"
"13","Ensemble","Assurances","Ensemble","2520"
"13","Ensemble","Hebergement medico-social et social","Ensemble","198"
"14","Ensemble","Action sociale sans hebergement","Ensemble","s"
"14","Ensemble","Assurances","Ensemble","485"
"14","Ensemble","Hebergement medico-social et social","Ensemble","s"
