"REG","ESS","famille","sexe","type_emploi","nb_poste"
"France entière","ESS","Ensemble","Femmes","Ordinaires","1465078"
"France entière","ESS","Ensemble","Femmes","Stagiaires","5194"
"France entière","ESS","Ensemble","Hommes","Aides","75083"
"France entière","ESS","Ensemble","Hommes","Apprentis","8368"
"France entière","ESS","Ensemble","Hommes","Ordinaires","682472"
"France entière","ESS","Ensemble","Hommes","Stagiaires","2372"
"France entière","Hors ESS","Ensemble","Femmes","Aides","178665"
"France entière","Hors ESS","Ensemble","Femmes","Apprentis","131065"
"France entière","Hors ESS","Ensemble","Femmes","Ordinaires","9338422"
"France entière","Hors ESS","Ensemble","Femmes","Stagiaires","19074"
"France entière","Hors ESS","Ensemble","Hommes","Aides","139879"
"France entière","Hors ESS","Ensemble","Hommes","Apprentis","271230"
"France entière","Hors ESS","Ensemble","Hommes","Ordinaires","10491305"
"France entière","Hors ESS","Ensemble","Hommes","Stagiaires","19445"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble","Ensemble","303916"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble","Ensemble","132915"
"France entière","ESS + Hors ESS","3. Association","Ensemble","Ensemble","1787426"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble","Ensemble","96296"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble","Ensemble","14938337"
"France entière","ESS + Hors ESS","Public","Ensemble","Ensemble","5650748"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble","Aides","6457"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble","Apprentis","4782"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble","Ordinaires","292169"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble","Stagiaires","508"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble","Aides","2539"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble","Apprentis","913"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble","Ordinaires","129331"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble","Stagiaires","132"
"France entière","ESS + Hors ESS","3. Association","Ensemble","Aides","138292"
"France entière","ESS + Hors ESS","3. Association","Ensemble","Apprentis","9983"
"France entière","ESS + Hors ESS","3. Association","Ensemble","Ordinaires","1632850"
"France entière","ESS + Hors ESS","3. Association","Ensemble","Stagiaires","6301"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble","Aides","2108"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble","Apprentis","363"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble","Ordinaires","93200"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble","Stagiaires","625"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble","Aides","228859"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble","Apprentis","381370"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble","Ordinaires","14290116"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble","Stagiaires","37992"
"France entière","ESS + Hors ESS","Public","Ensemble","Aides","89685"
"France entière","ESS + Hors ESS","Public","Ensemble","Apprentis","20925"
"France entière","ESS + Hors ESS","Public","Ensemble","Ordinaires","5539611"
"France entière","ESS + Hors ESS","Public","Ensemble","Stagiaires","527"
"France entière","ESS + Hors ESS","1. Coopérative","Femmes","Ensemble","148128"
"France entière","ESS + Hors ESS","1. Coopérative","Hommes","Ensemble","155788"
"France entière","ESS + Hors ESS","2. Mutuelle","Femmes","Ensemble","97635"
"France entière","ESS + Hors ESS","2. Mutuelle","Hommes","Ensemble","35280"
"France entière","ESS + Hors ESS","3. Association","Femmes","Ensemble","1236105"
"France entière","ESS + Hors ESS","3. Association","Hommes","Ensemble","551321"
"France entière","ESS + Hors ESS","4. Fondation","Femmes","Ensemble","70390"
"France entière","ESS + Hors ESS","4. Fondation","Hommes","Ensemble","25906"
"France entière","ESS + Hors ESS","Privé Hors ESS","Femmes","Ensemble","6109212"
"France entière","ESS + Hors ESS","Privé Hors ESS","Hommes","Ensemble","8829125"
"France entière","ESS + Hors ESS","Public","Femmes","Ensemble","3558014"
"France entière","ESS + Hors ESS","Public","Hommes","Ensemble","2092734"
"France entière","ESS + Hors ESS","1. Coopérative","Femmes","Aides","3229"
"France entière","ESS + Hors ESS","1. Coopérative","Femmes","Apprentis","1890"
"France entière","ESS + Hors ESS","1. Coopérative","Femmes","Ordinaires","142746"
"France entière","ESS + Hors ESS","1. Coopérative","Femmes","Stagiaires","263"
"France entière","ESS + Hors ESS","1. Coopérative","Hommes","Aides","3228"
"France entière","ESS + Hors ESS","1. Coopérative","Hommes","Apprentis","2892"
"France entière","ESS + Hors ESS","1. Coopérative","Hommes","Ordinaires","149423"
"France entière","ESS + Hors ESS","1. Coopérative","Hommes","Stagiaires","245"
"France entière","ESS + Hors ESS","2. Mutuelle","Femmes","Aides","1710"
"France entière","ESS + Hors ESS","2. Mutuelle","Femmes","Apprentis","578"
"France entière","ESS + Hors ESS","2. Mutuelle","Femmes","Ordinaires","95250"
"France entière","ESS + Hors ESS","2. Mutuelle","Femmes","Stagiaires","97"
"France entière","ESS + Hors ESS","2. Mutuelle","Hommes","Aides","829"
"France entière","ESS + Hors ESS","2. Mutuelle","Hommes","Apprentis","335"
"France entière","ESS + Hors ESS","2. Mutuelle","Hommes","Ordinaires","34081"
"France entière","ESS + Hors ESS","2. Mutuelle","Hommes","Stagiaires","35"
"France entière","ESS + Hors ESS","3. Association","Femmes","Aides","68157"
"France entière","ESS + Hors ESS","3. Association","Femmes","Apprentis","4962"
"France entière","ESS + Hors ESS","3. Association","Femmes","Ordinaires","1158591"
"France entière","ESS + Hors ESS","3. Association","Femmes","Stagiaires","4395"
"France entière","ESS + Hors ESS","3. Association","Hommes","Aides","70135"
"France entière","ESS + Hors ESS","3. Association","Hommes","Apprentis","5021"
"France entière","ESS + Hors ESS","3. Association","Hommes","Ordinaires","474259"
"France entière","ESS + Hors ESS","3. Association","Hommes","Stagiaires","1906"
"France entière","ESS + Hors ESS","4. Fondation","Femmes","Aides","1217"
"France entière","ESS + Hors ESS","4. Fondation","Femmes","Apprentis","243"
"France entière","ESS + Hors ESS","4. Fondation","Femmes","Ordinaires","68491"
"France entière","ESS + Hors ESS","4. Fondation","Femmes","Stagiaires","439"
"France entière","ESS + Hors ESS","4. Fondation","Hommes","Aides","891"
"France entière","ESS + Hors ESS","4. Fondation","Hommes","Apprentis","120"
"France entière","ESS + Hors ESS","4. Fondation","Hommes","Ordinaires","24709"
"France entière","ESS + Hors ESS","4. Fondation","Hommes","Stagiaires","186"
"France entière","ESS + Hors ESS","Privé Hors ESS","Femmes","Aides","115264"
"France entière","ESS + Hors ESS","Privé Hors ESS","Femmes","Apprentis","120520"
"France entière","ESS + Hors ESS","Privé Hors ESS","Femmes","Ordinaires","5854593"
"France entière","ESS + Hors ESS","Privé Hors ESS","Femmes","Stagiaires","18835"
"France entière","ESS + Hors ESS","Privé Hors ESS","Hommes","Aides","113595"
"France entière","ESS + Hors ESS","Privé Hors ESS","Hommes","Apprentis","260850"
"France entière","ESS + Hors ESS","Privé Hors ESS","Hommes","Ordinaires","8435523"
"France entière","ESS + Hors ESS","Privé Hors ESS","Hommes","Stagiaires","19157"
"France entière","ESS + Hors ESS","Public","Femmes","Aides","63401"
"France entière","ESS + Hors ESS","Public","Femmes","Apprentis","10545"
"France entière","ESS + Hors ESS","Public","Femmes","Ordinaires","3483829"
"France entière","ESS + Hors ESS","Public","Femmes","Stagiaires","239"
"France entière","ESS + Hors ESS","Public","Hommes","Aides","26284"
"France entière","ESS + Hors ESS","Public","Hommes","Apprentis","10380"
"France entière","ESS + Hors ESS","Public","Hommes","Ordinaires","2055782"
"France entière","ESS + Hors ESS","Public","Hommes","Stagiaires","288"
"France entière","ESS","1. Coopérative","Ensemble","Ensemble","303916"
"France entière","ESS","2. Mutuelle","Ensemble","Ensemble","132915"
"France entière","ESS","3. Association","Ensemble","Ensemble","1787426"
"France entière","ESS","4. Fondation","Ensemble","Ensemble","96296"
"France entière","Hors ESS","Privé Hors ESS","Ensemble","Ensemble","14938337"
"France entière","Hors ESS","Public","Ensemble","Ensemble","5650748"
"France entière","ESS","1. Coopérative","Ensemble","Aides","6457"
"France entière","ESS","1. Coopérative","Ensemble","Apprentis","4782"
"France entière","ESS","1. Coopérative","Ensemble","Ordinaires","292169"
"France entière","ESS","1. Coopérative","Ensemble","Stagiaires","508"
"France entière","ESS","2. Mutuelle","Ensemble","Aides","2539"
"France entière","ESS","2. Mutuelle","Ensemble","Apprentis","913"
"France entière","ESS","2. Mutuelle","Ensemble","Ordinaires","129331"
"France entière","ESS","2. Mutuelle","Ensemble","Stagiaires","132"
"France entière","ESS","3. Association","Ensemble","Aides","138292"
"France entière","ESS","3. Association","Ensemble","Apprentis","9983"
"France entière","ESS","3. Association","Ensemble","Ordinaires","1632850"
"France entière","ESS","3. Association","Ensemble","Stagiaires","6301"
"France entière","ESS","4. Fondation","Ensemble","Aides","2108"
"France entière","ESS","4. Fondation","Ensemble","Apprentis","363"
"France entière","ESS","4. Fondation","Ensemble","Ordinaires","93200"
"France entière","ESS","4. Fondation","Ensemble","Stagiaires","625"
"France entière","Hors ESS","Privé Hors ESS","Ensemble","Aides","228859"
"France entière","Hors ESS","Privé Hors ESS","Ensemble","Apprentis","381370"
"France entière","Hors ESS","Privé Hors ESS","Ensemble","Ordinaires","14290116"
"France entière","Hors ESS","Privé Hors ESS","Ensemble","Stagiaires","37992"
"France entière","Hors ESS","Public","Ensemble","Aides","89685"
"France entière","Hors ESS","Public","Ensemble","Apprentis","20925"
"France entière","Hors ESS","Public","Ensemble","Ordinaires","5539611"
"France entière","Hors ESS","Public","Ensemble","Stagiaires","527"
"France entière","ESS","1. Coopérative","Femmes","Ensemble","148128"
"France entière","ESS","1. Coopérative","Hommes","Ensemble","155788"
"France entière","ESS","2. Mutuelle","Femmes","Ensemble","97635"
"France entière","ESS","2. Mutuelle","Hommes","Ensemble","35280"
"France entière","ESS","3. Association","Femmes","Ensemble","1236105"
"France entière","ESS","3. Association","Hommes","Ensemble","551321"
"France entière","ESS","4. Fondation","Femmes","Ensemble","70390"
"France entière","ESS","4. Fondation","Hommes","Ensemble","25906"
"France entière","Hors ESS","Privé Hors ESS","Femmes","Ensemble","6109212"
"France entière","Hors ESS","Privé Hors ESS","Hommes","Ensemble","8829125"
"France entière","Hors ESS","Public","Femmes","Ensemble","3558014"
"France entière","Hors ESS","Public","Hommes","Ensemble","2092734"
"France entière","ESS","1. Coopérative","Femmes","Aides","3229"
"France entière","ESS","1. Coopérative","Femmes","Apprentis","1890"
"France entière","ESS","1. Coopérative","Femmes","Ordinaires","142746"
"France entière","ESS","1. Coopérative","Femmes","Stagiaires","263"
"France entière","ESS","1. Coopérative","Hommes","Aides","3228"
"France entière","ESS","1. Coopérative","Hommes","Apprentis","2892"
"France entière","ESS","1. Coopérative","Hommes","Ordinaires","149423"
"France entière","ESS","1. Coopérative","Hommes","Stagiaires","245"
"France entière","ESS","2. Mutuelle","Femmes","Aides","1710"
"France entière","ESS","2. Mutuelle","Femmes","Apprentis","578"
"France entière","ESS","2. Mutuelle","Femmes","Ordinaires","95250"
"France entière","ESS","2. Mutuelle","Femmes","Stagiaires","97"
"France entière","ESS","2. Mutuelle","Hommes","Aides","829"
"France entière","ESS","2. Mutuelle","Hommes","Apprentis","335"
"France entière","ESS","2. Mutuelle","Hommes","Ordinaires","34081"
"France entière","ESS","2. Mutuelle","Hommes","Stagiaires","35"
"France entière","ESS","3. Association","Femmes","Aides","68157"
"France entière","ESS","3. Association","Femmes","Apprentis","4962"
"France entière","ESS","3. Association","Femmes","Ordinaires","1158591"
"France entière","ESS","3. Association","Femmes","Stagiaires","4395"
"France entière","ESS","3. Association","Hommes","Aides","70135"
"France entière","ESS","3. Association","Hommes","Apprentis","5021"
"France entière","ESS","3. Association","Hommes","Ordinaires","474259"
"France entière","ESS","3. Association","Hommes","Stagiaires","1906"
"France entière","ESS","4. Fondation","Femmes","Aides","1217"
"France entière","ESS","4. Fondation","Femmes","Apprentis","243"
"France entière","ESS","4. Fondation","Femmes","Ordinaires","68491"
"France entière","ESS","4. Fondation","Femmes","Stagiaires","439"
"France entière","ESS","4. Fondation","Hommes","Aides","891"
"France entière","ESS","4. Fondation","Hommes","Apprentis","120"
"France entière","ESS","4. Fondation","Hommes","Ordinaires","24709"
"France entière","ESS","4. Fondation","Hommes","Stagiaires","186"
"France entière","Hors ESS","Privé Hors ESS","Femmes","Aides","115264"
"France entière","Hors ESS","Privé Hors ESS","Femmes","Apprentis","120520"
"France entière","Hors ESS","Privé Hors ESS","Femmes","Ordinaires","5854593"
"France entière","Hors ESS","Privé Hors ESS","Femmes","Stagiaires","18835"
"France entière","Hors ESS","Privé Hors ESS","Hommes","Aides","113595"
"France entière","Hors ESS","Privé Hors ESS","Hommes","Apprentis","260850"
"France entière","Hors ESS","Privé Hors ESS","Hommes","Ordinaires","8435523"
"France entière","Hors ESS","Privé Hors ESS","Hommes","Stagiaires","19157"
"France entière","Hors ESS","Public","Femmes","Aides","63401"
"France entière","Hors ESS","Public","Femmes","Apprentis","10545"
"France entière","Hors ESS","Public","Femmes","Ordinaires","3483829"
"France entière","Hors ESS","Public","Femmes","Stagiaires","239"
"France entière","Hors ESS","Public","Hommes","Aides","26284"
"France entière","Hors ESS","Public","Hommes","Apprentis","10380"
"France entière","Hors ESS","Public","Hommes","Ordinaires","2055782"
"France entière","Hors ESS","Public","Hommes","Stagiaires","288"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","2748106"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","868349"
"Bretagne","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","1068307"
"Centre-Val de Loire","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","799473"
"Corse","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","104127"
"Grand-Est","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","1728094"
"Guadeloupe","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","107329"
"Guyane","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","55056"
"Hauts-de-France","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","1840804"
"Ile-de-France","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","5536058"
"La Réunion","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","225832"
"Martinique","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","111805"
"Normandie","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","1051725"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","1909359"
"Occitanie","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","1812855"
"Pays de la Loire","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","1298412"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","1643947"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Ensemble","Aides","55764"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","50504"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","2637767"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","4071"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Ensemble","Aides","16444"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","19244"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","832064"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","597"
"Bretagne","ESS + Hors ESS","Ensemble","Ensemble","Aides","21926"
"Bretagne","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","19133"
"Bretagne","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","1025993"
"Bretagne","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","1255"
"Centre-Val de Loire","ESS + Hors ESS","Ensemble","Ensemble","Aides","13535"
"Centre-Val de Loire","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","18935"
"Centre-Val de Loire","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","766283"
"Centre-Val de Loire","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","720"
"Corse","ESS + Hors ESS","Ensemble","Ensemble","Aides","1089"
"Corse","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","1646"
"Corse","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","101352"
"Corse","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","40"
"Grand-Est","ESS + Hors ESS","Ensemble","Ensemble","Aides","34977"
"Grand-Est","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","36980"
"Grand-Est","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","1654415"
"Grand-Est","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","1722"
"Guadeloupe","ESS + Hors ESS","Ensemble","Ensemble","Aides","2233"
"Guadeloupe","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","879"
"Guadeloupe","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","104133"
"Guadeloupe","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","84"
"Guyane","ESS + Hors ESS","Ensemble","Ensemble","Aides","2316"
"Guyane","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","435"
"Guyane","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","52272"
"Guyane","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","33"
"Hauts-de-France","ESS + Hors ESS","Ensemble","Ensemble","Aides","50991"
"Hauts-de-France","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","34587"
"Hauts-de-France","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","1753065"
"Hauts-de-France","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","2161"
"Ile-de-France","ESS + Hors ESS","Ensemble","Ensemble","Aides","88538"
"Ile-de-France","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","83903"
"Ile-de-France","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","5335789"
"Ile-de-France","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","27828"
"La Réunion","ESS + Hors ESS","Ensemble","Ensemble","Aides","15081"
"La Réunion","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","3447"
"La Réunion","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","207173"
"La Réunion","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","131"
"Martinique","ESS + Hors ESS","Ensemble","Ensemble","Aides","3770"
"Martinique","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","937"
"Martinique","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","107041"
"Martinique","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","57"
"Normandie","ESS + Hors ESS","Ensemble","Ensemble","Aides","21639"
"Normandie","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","23590"
"Normandie","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","1005692"
"Normandie","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","804"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble","Ensemble","Aides","40386"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","35968"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","1831234"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","1771"
"Occitanie","ESS + Hors ESS","Ensemble","Ensemble","Aides","42750"
"Occitanie","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","32042"
"Occitanie","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","1736298"
"Occitanie","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","1765"
"Pays de la Loire","ESS + Hors ESS","Ensemble","Ensemble","Aides","24727"
"Pays de la Loire","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","30306"
"Pays de la Loire","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","1242203"
"Pays de la Loire","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","1176"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble","Ensemble","Aides","31774"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","25800"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","1584503"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","1870"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Femmes","Ensemble","1340559"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Hommes","Ensemble","1407547"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Femmes","Ensemble","435847"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Hommes","Ensemble","432502"
"Bretagne","ESS + Hors ESS","Ensemble","Femmes","Ensemble","536467"
"Bretagne","ESS + Hors ESS","Ensemble","Hommes","Ensemble","531840"
"Centre-Val de Loire","ESS + Hors ESS","Ensemble","Femmes","Ensemble","400804"
"Centre-Val de Loire","ESS + Hors ESS","Ensemble","Hommes","Ensemble","398669"
"Corse","ESS + Hors ESS","Ensemble","Femmes","Ensemble","49248"
"Corse","ESS + Hors ESS","Ensemble","Hommes","Ensemble","54879"
"Grand-Est","ESS + Hors ESS","Ensemble","Femmes","Ensemble","855947"
"Grand-Est","ESS + Hors ESS","Ensemble","Hommes","Ensemble","872147"
"Guadeloupe","ESS + Hors ESS","Ensemble","Femmes","Ensemble","57832"
"Guadeloupe","ESS + Hors ESS","Ensemble","Hommes","Ensemble","49497"
"Guyane","ESS + Hors ESS","Ensemble","Femmes","Ensemble","27060"
"Guyane","ESS + Hors ESS","Ensemble","Hommes","Ensemble","27996"
"Hauts-de-France","ESS + Hors ESS","Ensemble","Femmes","Ensemble","880635"
"Hauts-de-France","ESS + Hors ESS","Ensemble","Hommes","Ensemble","960169"
"Ile-de-France","ESS + Hors ESS","Ensemble","Femmes","Ensemble","2625273"
"Ile-de-France","ESS + Hors ESS","Ensemble","Hommes","Ensemble","2910785"
"La Réunion","ESS + Hors ESS","Ensemble","Femmes","Ensemble","105728"
"La Réunion","ESS + Hors ESS","Ensemble","Hommes","Ensemble","120104"
"Martinique","ESS + Hors ESS","Ensemble","Femmes","Ensemble","60009"
"Martinique","ESS + Hors ESS","Ensemble","Hommes","Ensemble","51796"
"Normandie","ESS + Hors ESS","Ensemble","Femmes","Ensemble","519192"
"Normandie","ESS + Hors ESS","Ensemble","Hommes","Ensemble","532533"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble","Femmes","Ensemble","965439"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble","Hommes","Ensemble","943920"
"Occitanie","ESS + Hors ESS","Ensemble","Femmes","Ensemble","904218"
"Occitanie","ESS + Hors ESS","Ensemble","Hommes","Ensemble","908637"
"Pays de la Loire","ESS + Hors ESS","Ensemble","Femmes","Ensemble","634337"
"Pays de la Loire","ESS + Hors ESS","Ensemble","Hommes","Ensemble","664075"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble","Femmes","Ensemble","820889"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble","Hommes","Ensemble","823058"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Femmes","Aides","29329"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Femmes","Apprentis","14781"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Femmes","Ordinaires","1294380"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Femmes","Stagiaires","2069"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Hommes","Aides","26435"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Hommes","Apprentis","35723"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Hommes","Ordinaires","1343387"
"Auvergne-Rhône-Alpes","ESS + Hors ESS","Ensemble","Hommes","Stagiaires","2002"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Femmes","Aides","9102"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Femmes","Apprentis","5506"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Femmes","Ordinaires","420965"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Femmes","Stagiaires","274"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Hommes","Aides","7342"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Hommes","Apprentis","13738"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Hommes","Ordinaires","411099"
"Bourgogne-Franche-Comté","ESS + Hors ESS","Ensemble","Hommes","Stagiaires","323"
"Bretagne","ESS + Hors ESS","Ensemble","Femmes","Aides","11279"
"Bretagne","ESS + Hors ESS","Ensemble","Femmes","Apprentis","5616"
"Bretagne","ESS + Hors ESS","Ensemble","Femmes","Ordinaires","518899"
"Bretagne","ESS + Hors ESS","Ensemble","Femmes","Stagiaires","673"
"Bretagne","ESS + Hors ESS","Ensemble","Hommes","Aides","10647"
