"DEP","typo_Coop","typo_Coop_det","type_emploi","nb_poste"
"48","Ensemble","Ensemble","Ensemble","304"
"49","Ensemble","Ensemble","Ensemble","5637"
"50","Ensemble","Ensemble","Ensemble","3808"
"51","Ensemble","Ensemble","Ensemble","5876"
"52","Ensemble","Ensemble","Ensemble","600"
"53","Ensemble","Ensemble","Ensemble","2200"
"54","Ensemble","Ensemble","Ensemble","2230"
"55","Ensemble","Ensemble","Ensemble","985"
"56","Ensemble","Ensemble","Ensemble","4477"
"57","Ensemble","Ensemble","Ensemble","4094"
"58","Ensemble","Ensemble","Ensemble","1028"
"59","Ensemble","Ensemble","Ensemble","7522"
"60","Ensemble","Ensemble","Ensemble","2304"
"61","Ensemble","Ensemble","Ensemble","1147"
"62","Ensemble","Ensemble","Ensemble","4715"
"63","Ensemble","Ensemble","Ensemble","3580"
"64","Ensemble","Ensemble","Ensemble","3542"
"65","Ensemble","Ensemble","Ensemble","861"
"66","Ensemble","Ensemble","Ensemble","2670"
"67","Ensemble","Ensemble","Ensemble","6540"
"68","Ensemble","Ensemble","Ensemble","4121"
"69","Ensemble","Ensemble","Ensemble","7102"
"70","Ensemble","Ensemble","Ensemble","849"
"71","Ensemble","Ensemble","Ensemble","2091"
"72","Ensemble","Ensemble","Ensemble","2772"
"73","Ensemble","Ensemble","Ensemble","2823"
"74","Ensemble","Ensemble","Ensemble","3406"
"75","Ensemble","Ensemble","Ensemble","15846"
"76","Ensemble","Ensemble","Ensemble","4619"
"77","Ensemble","Ensemble","Ensemble","3410"
"78","Ensemble","Ensemble","Ensemble","2345"
"79","Ensemble","Ensemble","Ensemble","3264"
"80","Ensemble","Ensemble","Ensemble","3019"
"81","Ensemble","Ensemble","Ensemble","2296"
"82","Ensemble","Ensemble","Ensemble","1533"
"83","Ensemble","Ensemble","Ensemble","2877"
"84","Ensemble","Ensemble","Ensemble","3169"
"85","Ensemble","Ensemble","Ensemble","5742"
"86","Ensemble","Ensemble","Ensemble","2815"
"87","Ensemble","Ensemble","Ensemble","2983"
"88","Ensemble","Ensemble","Ensemble","1947"
"89","Ensemble","Ensemble","Ensemble","2049"
"90","Ensemble","Ensemble","Ensemble","369"
"91","Ensemble","Ensemble","Ensemble","2342"
"92","Ensemble","Ensemble","Ensemble","3415"
"93","Ensemble","Ensemble","Ensemble","1929"
"94","Ensemble","Ensemble","Ensemble","3451"
"95","Ensemble","Ensemble","Ensemble","1510"
"971","Ensemble","Ensemble","Ensemble","1053"
"972","Ensemble","Ensemble","Ensemble","1072"
"973","Ensemble","Ensemble","Ensemble","177"
"974","Ensemble","Ensemble","Ensemble","3050"
"1","Ensemble","Ensemble","Aides","52"
"1","Ensemble","Ensemble","Apprentis","s"
"1","Ensemble","Ensemble","Ordinaires","1806"
"1","Ensemble","Ensemble","Stagiaires","s"
"2","Ensemble","Ensemble","Aides","s"
"2","Ensemble","Ensemble","Apprentis","35"
"2","Ensemble","Ensemble","Ordinaires","2006"
"2","Ensemble","Ensemble","Stagiaires","s"
"3","Ensemble","Ensemble","Aides","14"
"3","Ensemble","Ensemble","Apprentis","s"
"3","Ensemble","Ensemble","Ordinaires","1436"
"3","Ensemble","Ensemble","Stagiaires","s"
"4","Ensemble","Ensemble","Aides","9"
"4","Ensemble","Ensemble","Apprentis","8"
"4","Ensemble","Ensemble","Ordinaires","744"
"5","Ensemble","Ensemble","Aides","12"
"5","Ensemble","Ensemble","Apprentis","s"
"5","Ensemble","Ensemble","Ordinaires","750"
"5","Ensemble","Ensemble","Stagiaires","s"
"6","Ensemble","Ensemble","Aides","67"
"6","Ensemble","Ensemble","Apprentis","59"
"6","Ensemble","Ensemble","Ordinaires","3285"
"6","Ensemble","Ensemble","Stagiaires","6"
"7","Ensemble","Ensemble","Aides","s"
"7","Ensemble","Ensemble","Apprentis","16"
"7","Ensemble","Ensemble","Ordinaires","1280"
"7","Ensemble","Ensemble","Stagiaires","s"
"8","Ensemble","Ensemble","Aides","9"
"8","Ensemble","Ensemble","Apprentis","s"
"8","Ensemble","Ensemble","Ordinaires","1009"
"8","Ensemble","Ensemble","Stagiaires","s"
"9","Ensemble","Ensemble","Aides","24"
"9","Ensemble","Ensemble","Apprentis","15"
"9","Ensemble","Ensemble","Ordinaires","621"
"10","Ensemble","Ensemble","Aides","60"
"10","Ensemble","Ensemble","Apprentis","s"
"10","Ensemble","Ensemble","Ordinaires","1820"
"10","Ensemble","Ensemble","Stagiaires","s"
"11","Ensemble","Ensemble","Aides","22"
"11","Ensemble","Ensemble","Apprentis","34"
"11","Ensemble","Ensemble","Ordinaires","2157"
"12","Ensemble","Ensemble","Aides","s"
"12","Ensemble","Ensemble","Apprentis","27"
"12","Ensemble","Ensemble","Ordinaires","1631"
"12","Ensemble","Ensemble","Stagiaires","s"
"13","Ensemble","Ensemble","Aides","179"
"13","Ensemble","Ensemble","Apprentis","s"
"13","Ensemble","Ensemble","Ordinaires","6341"
"13","Ensemble","Ensemble","Stagiaires","s"
"14","Ensemble","Ensemble","Aides","75"
"14","Ensemble","Ensemble","Apprentis","s"
"14","Ensemble","Ensemble","Ordinaires","4538"
"14","Ensemble","Ensemble","Stagiaires","s"
"15","Ensemble","Ensemble","Aides","13"
"15","Ensemble","Ensemble","Apprentis","s"
"15","Ensemble","Ensemble","Ordinaires","899"
"15","Ensemble","Ensemble","Stagiaires","s"
"16","Ensemble","Ensemble","Aides","52"
"16","Ensemble","Ensemble","Apprentis","s"
"16","Ensemble","Ensemble","Ordinaires","2157"
"16","Ensemble","Ensemble","Stagiaires","s"
"17","Ensemble","Ensemble","Aides","91"
"17","Ensemble","Ensemble","Apprentis","s"
"17","Ensemble","Ensemble","Ordinaires","4545"
"17","Ensemble","Ensemble","Stagiaires","s"
"18","Ensemble","Ensemble","Aides","39"
"18","Ensemble","Ensemble","Apprentis","s"
"18","Ensemble","Ensemble","Ordinaires","1192"
"18","Ensemble","Ensemble","Stagiaires","s"
"19","Ensemble","Ensemble","Aides","s"
"19","Ensemble","Ensemble","Apprentis","18"
"19","Ensemble","Ensemble","Ordinaires","1284"
"19","Ensemble","Ensemble","Stagiaires","s"
"21","Ensemble","Ensemble","Aides","85"
"21","Ensemble","Ensemble","Apprentis","s"
"21","Ensemble","Ensemble","Ordinaires","2975"
"21","Ensemble","Ensemble","Stagiaires","s"
"22","Ensemble","Ensemble","Aides","114"
"22","Ensemble","Ensemble","Apprentis","s"
"22","Ensemble","Ensemble","Ordinaires","6920"
"22","Ensemble","Ensemble","Stagiaires","s"
"23","Ensemble","Ensemble","Aides","18"
"23","Ensemble","Ensemble","Apprentis","5"
"23","Ensemble","Ensemble","Ordinaires","446"
"24","Ensemble","Ensemble","Aides","s"
"24","Ensemble","Ensemble","Apprentis","26"
"24","Ensemble","Ensemble","Ordinaires","2020"
"24","Ensemble","Ensemble","Stagiaires","s"
"25","Ensemble","Ensemble","Aides","s"
"25","Ensemble","Ensemble","Apprentis","65"
"25","Ensemble","Ensemble","Ordinaires","3079"
"25","Ensemble","Ensemble","Stagiaires","s"
"26","Ensemble","Ensemble","Aides","s"
"26","Ensemble","Ensemble","Apprentis","50"
"26","Ensemble","Ensemble","Ordinaires","2968"
"26","Ensemble","Ensemble","Stagiaires","s"
"27","Ensemble","Ensemble","Aides","38"
"27","Ensemble","Ensemble","Apprentis","s"
"27","Ensemble","Ensemble","Ordinaires","1422"
"27","Ensemble","Ensemble","Stagiaires","s"
"28","Ensemble","Ensemble","Aides","s"
"28","Ensemble","Ensemble","Apprentis","38"
"28","Ensemble","Ensemble","Ordinaires","2011"
"28","Ensemble","Ensemble","Stagiaires","s"
"29","Ensemble","Ensemble","Aides","241"
"29","Ensemble","Ensemble","Apprentis","138"
"29","Ensemble","Ensemble","Ordinaires","8032"
"29","Ensemble","Ensemble","Stagiaires","22"
"2A","Ensemble","Ensemble","Aides","s"
"2A","Ensemble","Ensemble","Apprentis","s"
"2A","Ensemble","Ensemble","Ordinaires","452"
"2B","Ensemble","Ensemble","Aides","12"
"2B","Ensemble","Ensemble","Apprentis","13"
"2B","Ensemble","Ensemble","Ordinaires","549"
"30","Ensemble","Ensemble","Aides","29"
"30","Ensemble","Ensemble","Apprentis","45"
"30","Ensemble","Ensemble","Ordinaires","2576"
"31","Ensemble","Ensemble","Aides","113"
"31","Ensemble","Ensemble","Apprentis","98"
"31","Ensemble","Ensemble","Ordinaires","5456"
"31","Ensemble","Ensemble","Stagiaires","12"
"32","Ensemble","Ensemble","Aides","35"
"32","Ensemble","Ensemble","Apprentis","s"
"32","Ensemble","Ensemble","Ordinaires","1643"
"32","Ensemble","Ensemble","Stagiaires","s"
"33","Ensemble","Ensemble","Aides","114"
"33","Ensemble","Ensemble","Apprentis","88"
"33","Ensemble","Ensemble","Ordinaires","6688"
"33","Ensemble","Ensemble","Stagiaires","13"
"34","Ensemble","Ensemble","Aides","58"
"34","Ensemble","Ensemble","Apprentis","62"
"34","Ensemble","Ensemble","Ordinaires","4738"
"34","Ensemble","Ensemble","Stagiaires","10"
"35","Ensemble","Ensemble","Aides","159"
"35","Ensemble","Ensemble","Apprentis","104"
"35","Ensemble","Ensemble","Ordinaires","7484"
"35","Ensemble","Ensemble","Stagiaires","9"
"36","Ensemble","Ensemble","Aides","s"
"36","Ensemble","Ensemble","Apprentis","24"
"36","Ensemble","Ensemble","Ordinaires","899"
"36","Ensemble","Ensemble","Stagiaires","s"
"37","Ensemble","Ensemble","Aides","s"
"37","Ensemble","Ensemble","Apprentis","61"
"37","Ensemble","Ensemble","Ordinaires","3095"
"37","Ensemble","Ensemble","Stagiaires","s"
"38","Ensemble","Ensemble","Aides","102"
"38","Ensemble","Ensemble","Apprentis","69"
"38","Ensemble","Ensemble","Ordinaires","5117"
"38","Ensemble","Ensemble","Stagiaires","10"
"39","Ensemble","Ensemble","Aides","s"
"39","Ensemble","Ensemble","Apprentis","35"
"39","Ensemble","Ensemble","Ordinaires","1350"
"39","Ensemble","Ensemble","Stagiaires","s"
"40","Ensemble","Ensemble","Aides","s"
"40","Ensemble","Ensemble","Apprentis","52"
"40","Ensemble","Ensemble","Ordinaires","2925"
"40","Ensemble","Ensemble","Stagiaires","s"
"41","Ensemble","Ensemble","Aides","32"
"41","Ensemble","Ensemble","Apprentis","s"
"41","Ensemble","Ensemble","Ordinaires","1493"
"41","Ensemble","Ensemble","Stagiaires","s"
"42","Ensemble","Ensemble","Aides","61"
"42","Ensemble","Ensemble","Apprentis","59"
"42","Ensemble","Ensemble","Ordinaires","3434"
"42","Ensemble","Ensemble","Stagiaires","10"
"43","Ensemble","Ensemble","Aides","34"
"43","Ensemble","Ensemble","Apprentis","s"
"43","Ensemble","Ensemble","Ordinaires","1004"
"43","Ensemble","Ensemble","Stagiaires","s"
"44","Ensemble","Ensemble","Aides","196"
"44","Ensemble","Ensemble","Apprentis","141"
"44","Ensemble","Ensemble","Ordinaires","9456"
"44","Ensemble","Ensemble","Stagiaires","8"
"45","Ensemble","Ensemble","Aides","80"
"45","Ensemble","Ensemble","Apprentis","114"
"45","Ensemble","Ensemble","Ordinaires","4458"
"45","Ensemble","Ensemble","Stagiaires","8"
"46","Ensemble","Ensemble","Aides","32"
"46","Ensemble","Ensemble","Apprentis","s"
"46","Ensemble","Ensemble","Ordinaires","1268"
"46","Ensemble","Ensemble","Stagiaires","s"
"47","Ensemble","Ensemble","Aides","20"
"47","Ensemble","Ensemble","Apprentis","19"
"47","Ensemble","Ensemble","Ordinaires","1892"
"48","Ensemble","Ensemble","Aides","s"
"48","Ensemble","Ensemble","Apprentis","s"
"48","Ensemble","Ensemble","Ordinaires","s"
"49","Ensemble","Ensemble","Aides","145"
"49","Ensemble","Ensemble","Apprentis","s"
"49","Ensemble","Ensemble","Ordinaires","5430"
"49","Ensemble","Ensemble","Stagiaires","s"
"50","Ensemble","Ensemble","Aides","77"
"50","Ensemble","Ensemble","Apprentis","s"
"50","Ensemble","Ensemble","Ordinaires","3672"
"50","Ensemble","Ensemble","Stagiaires","s"
"51","Ensemble","Ensemble","Aides","79"
"51","Ensemble","Ensemble","Apprentis","88"
"51","Ensemble","Ensemble","Ordinaires","5699"
"51","Ensemble","Ensemble","Stagiaires","10"
"52","Ensemble","Ensemble","Aides","20"
"52","Ensemble","Ensemble","Apprentis","s"
"52","Ensemble","Ensemble","Ordinaires","570"
"52","Ensemble","Ensemble","Stagiaires","s"
"53","Ensemble","Ensemble","Aides","62"
"53","Ensemble","Ensemble","Apprentis","s"
"53","Ensemble","Ensemble","Ordinaires","2103"
"53","Ensemble","Ensemble","Stagiaires","s"
"54","Ensemble","Ensemble","Aides","s"
"54","Ensemble","Ensemble","Apprentis","53"
"54","Ensemble","Ensemble","Ordinaires","2146"
"54","Ensemble","Ensemble","Stagiaires","s"
"55","Ensemble","Ensemble","Aides","s"
"55","Ensemble","Ensemble","Apprentis","13"
"55","Ensemble","Ensemble","Ordinaires","967"
"55","Ensemble","Ensemble","Stagiaires","s"
"56","Ensemble","Ensemble","Aides","68"
"56","Ensemble","Ensemble","Apprentis","79"
"56","Ensemble","Ensemble","Ordinaires","4324"
"56","Ensemble","Ensemble","Stagiaires","6"
"57","Ensemble","Ensemble","Aides","99"
"57","Ensemble","Ensemble","Apprentis","s"
"57","Ensemble","Ensemble","Ordinaires","3928"
"57","Ensemble","Ensemble","Stagiaires","s"
"58","Ensemble","Ensemble","Aides","31"
"58","Ensemble","Ensemble","Apprentis","s"
"58","Ensemble","Ensemble","Ordinaires","992"
"58","Ensemble","Ensemble","Stagiaires","s"
"59","Ensemble","Ensemble","Aides","163"
"59","Ensemble","Ensemble","Apprentis","78"
"59","Ensemble","Ensemble","Ordinaires","7248"
"59","Ensemble","Ensemble","Stagiaires","33"
"60","Ensemble","Ensemble","Aides","49"
"60","Ensemble","Ensemble","Apprentis","s"
"60","Ensemble","Ensemble","Ordinaires","2228"
"60","Ensemble","Ensemble","Stagiaires","s"
"61","Ensemble","Ensemble","Aides","28"
"61","Ensemble","Ensemble","Apprentis","s"
"61","Ensemble","Ensemble","Ordinaires","1101"
"61","Ensemble","Ensemble","Stagiaires","s"
"62","Ensemble","Ensemble","Aides","111"
"62","Ensemble","Ensemble","Apprentis","69"
"62","Ensemble","Ensemble","Ordinaires","4524"
"62","Ensemble","Ensemble","Stagiaires","11"
"63","Ensemble","Ensemble","Aides","91"
"63","Ensemble","Ensemble","Apprentis","36"
"63","Ensemble","Ensemble","Ordinaires","3447"
"63","Ensemble","Ensemble","Stagiaires","6"
"64","Ensemble","Ensemble","Aides","s"
"64","Ensemble","Ensemble","Apprentis","95"
"64","Ensemble","Ensemble","Ordinaires","3406"
"64","Ensemble","Ensemble","Stagiaires","s"
"65","Ensemble","Ensemble","Aides","s"
"65","Ensemble","Ensemble","Apprentis","s"
"65","Ensemble","Ensemble","Ordinaires","843"
"66","Ensemble","Ensemble","Aides","40"
"66","Ensemble","Ensemble","Apprentis","27"
"66","Ensemble","Ensemble","Ordinaires","2603"
"67","Ensemble","Ensemble","Aides","177"
"67","Ensemble","Ensemble","Apprentis","s"
"67","Ensemble","Ensemble","Ordinaires","6214"
"67","Ensemble","Ensemble","Stagiaires","s"
"68","Ensemble","Ensemble","Aides","151"
"68","Ensemble","Ensemble","Apprentis","s"
"68","Ensemble","Ensemble","Ordinaires","3906"
"68","Ensemble","Ensemble","Stagiaires","s"
"69","Ensemble","Ensemble","Aides","170"
"69","Ensemble","Ensemble","Apprentis","94"
"69","Ensemble","Ensemble","Ordinaires","6820"
"69","Ensemble","Ensemble","Stagiaires","18"
"70","Ensemble","Ensemble","Aides","s"
"70","Ensemble","Ensemble","Apprentis","12"
"70","Ensemble","Ensemble","Ordinaires","824"
"70","Ensemble","Ensemble","Stagiaires","s"
"71","Ensemble","Ensemble","Aides","39"
"71","Ensemble","Ensemble","Apprentis","s"
"71","Ensemble","Ensemble","Ordinaires","2022"
"71","Ensemble","Ensemble","Stagiaires","s"
"72","Ensemble","Ensemble","Aides","88"
"72","Ensemble","Ensemble","Apprentis","48"
"72","Ensemble","Ensemble","Ordinaires","2628"
"72","Ensemble","Ensemble","Stagiaires","8"
"73","Ensemble","Ensemble","Aides","99"
"73","Ensemble","Ensemble","Apprentis","s"
"73","Ensemble","Ensemble","Ordinaires","2689"
"73","Ensemble","Ensemble","Stagiaires","s"
"74","Ensemble","Ensemble","Aides","83"
"74","Ensemble","Ensemble","Apprentis","s"
"74","Ensemble","Ensemble","Ordinaires","3282"
"74","Ensemble","Ensemble","Stagiaires","s"
"75","Ensemble","Ensemble","Aides","321"
"75","Ensemble","Ensemble","Apprentis","324"
"75","Ensemble","Ensemble","Ordinaires","15102"
"75","Ensemble","Ensemble","Stagiaires","99"
"76","Ensemble","Ensemble","Aides","115"
"76","Ensemble","Ensemble","Apprentis","s"
"76","Ensemble","Ensemble","Ordinaires","4438"
"76","Ensemble","Ensemble","Stagiaires","s"
"77","Ensemble","Ensemble","Aides","s"
"77","Ensemble","Ensemble","Apprentis","81"
"77","Ensemble","Ensemble","Ordinaires","3282"
"77","Ensemble","Ensemble","Stagiaires","s"
"78","Ensemble","Ensemble","Aides","91"
"78","Ensemble","Ensemble","Apprentis","41"
"78","Ensemble","Ensemble","Ordinaires","2198"
"78","Ensemble","Ensemble","Stagiaires","15"
"79","Ensemble","Ensemble","Aides","294"
"79","Ensemble","Ensemble","Apprentis","65"
"79","Ensemble","Ensemble","Ordinaires","2899"
"79","Ensemble","Ensemble","Stagiaires","6"
"80","Ensemble","Ensemble","Aides","88"
"80","Ensemble","Ensemble","Apprentis","s"
"80","Ensemble","Ensemble","Ordinaires","2882"
"80","Ensemble","Ensemble","Stagiaires","s"
"81","Ensemble","Ensemble","Aides","53"
"81","Ensemble","Ensemble","Apprentis","s"
"81","Ensemble","Ensemble","Ordinaires","2201"
"81","Ensemble","Ensemble","Stagiaires","s"
"82","Ensemble","Ensemble","Aides","26"
"82","Ensemble","Ensemble","Apprentis","s"
"82","Ensemble","Ensemble","Ordinaires","1496"
"82","Ensemble","Ensemble","Stagiaires","s"
"83","Ensemble","Ensemble","Aides","s"
"83","Ensemble","Ensemble","Apprentis","45"
"83","Ensemble","Ensemble","Ordinaires","2791"
"83","Ensemble","Ensemble","Stagiaires","s"
"84","Ensemble","Ensemble","Aides","73"
"84","Ensemble","Ensemble","Apprentis","s"
"84","Ensemble","Ensemble","Ordinaires","3051"
"84","Ensemble","Ensemble","Stagiaires","s"
"85","Ensemble","Ensemble","Aides","66"
"85","Ensemble","Ensemble","Apprentis","142"
"85","Ensemble","Ensemble","Ordinaires","5529"
"85","Ensemble","Ensemble","Stagiaires","5"
"86","Ensemble","Ensemble","Aides","43"
"86","Ensemble","Ensemble","Apprentis","48"
"86","Ensemble","Ensemble","Ordinaires","2724"
"87","Ensemble","Ensemble","Aides","73"
"87","Ensemble","Ensemble","Apprentis","33"
"87","Ensemble","Ensemble","Ordinaires","2872"
"87","Ensemble","Ensemble","Stagiaires","5"
"88","Ensemble","Ensemble","Aides","13"
"88","Ensemble","Ensemble","Apprentis","50"
"88","Ensemble","Ensemble","Ordinaires","1884"
"89","Ensemble","Ensemble","Aides","45"
"89","Ensemble","Ensemble","Apprentis","19"
"89","Ensemble","Ensemble","Ordinaires","1985"
"90","Ensemble","Ensemble","Aides","s"
"90","Ensemble","Ensemble","Apprentis","s"
"90","Ensemble","Ensemble","Ordinaires","359"
"91","Ensemble","Ensemble","Aides","s"
"91","Ensemble","Ensemble","Apprentis","39"
"91","Ensemble","Ensemble","Ordinaires","2266"
"91","Ensemble","Ensemble","Stagiaires","s"
"92","Ensemble","Ensemble","Aides","68"
"92","Ensemble","Ensemble","Apprentis","34"
"92","Ensemble","Ensemble","Ordinaires","3303"
