"ESS","famille","typo_C","typo_C_det","taille_etab","nb_etab","nb_ent","eff_31","eff_EQTP","rem_brut"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Construction (FZ)","1 - Micro entreprise","211095","197721","486772","484239","13478029493"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Construction (FZ)","2 - Petites entreprises","29047","24160","539071","508299","16845024975"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Construction (FZ)","3 - Moyennes entreprises","3261","1761","287617","279431","10687460696"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Construction (FZ)","4 - Grandes entreprises","173","89","75969","73924","3480486675"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Création artistique","1 - Micro entreprise","1450","1387","s","s","s"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Création artistique","2 - Petites entreprises","37","33","s","s","18011666"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Création artistique","3 - Moyennes entreprises","3","3","s","s","s"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Création artistique","4 - Grandes entreprises","1","1","s","s","s"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement culturel","1 - Micro entreprise","2552","2412","2741","1854","54138913"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement culturel","2 - Petites entreprises","518","488","s","s","92934971"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement culturel","3 - Moyennes entreprises","42","26","s","s","70121657"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement culturel","4 - Grandes entreprises","4","0","639","454","17426181"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement de disciplines sportives et d activites de lois","1 - Micro entreprise","5128","4888","6433","6252","151578681"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement de disciplines sportives et d activites de lois","2 - Petites entreprises","202","174","s","s","111928775"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement de disciplines sportives et d activites de lois","3 - Moyennes entreprises","34","31","s","s","98837848"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","1 - Micro entreprise","36323","3624","161024","154482","5361533219"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","2 - Petites entreprises","20522","6127","402601","367150","12743994556"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","3 - Moyennes entreprises","7815","6636","656867","605959","23158272367"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","4 - Grandes entreprises","458","311","229683","208799","7757497071"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adultes","1 - Micro entreprise","18402","14717","39504","38177","1142193557"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adultes","2 - Petites entreprises","2675","1527","45297","39252","1391741841"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adultes","3 - Moyennes entreprises","407","174","25843","22162","807741237"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adultes","4 - Grandes entreprises","114","15","18806","14274","493993067"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Gestion des spectacles","1 - Micro entreprise","737","602","s","s","s"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Gestion des spectacles","2 - Petites entreprises","366","313","5605","5210","171189383"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Gestion des spectacles","3 - Moyennes entreprises","45","41","s","s","s"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Gestion des spectacles","4 - Grandes entreprises","3","2","s","s","s"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","1 - Micro entreprise","3492","1200","13588","14377","423935737"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","2 - Petites entreprises","6975","2195","186933","164546","4701867230"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","3 - Moyennes entreprises","6758","3291","493998","440286","12417444536"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","4 - Grandes entreprises","83","52","33818","31042","928558995"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Loisirs","1 - Micro entreprise","8637","7791","12736","14566","356200598"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Loisirs","2 - Petites entreprises","1120","925","15898","14136","367027491"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Loisirs","3 - Moyennes entreprises","80","59","5041","4620","131226165"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Loisirs","4 - Grandes entreprises","10","7","20046","19079","617638405"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Sports","1 - Micro entreprise","36076","33918","47962","40205","1054817452"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Sports","2 - Petites entreprises","2664","2245","34634","28672","925484411"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Sports","3 - Moyennes entreprises","243","213","15278","12724","1253164056"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Sports","4 - Grandes entreprises","12","8","3608","3285","220778307"
"ESS + Hors ESS","Ensemble","ACTION SOCIALE (QB)","Ensemble","Toutes entreprises","54140","28816","1549337","1336274","35017412936"
"ESS + Hors ESS","Ensemble","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Toutes entreprises","100564","62132","849524","817338","47658789918"
"ESS + Hors ESS","Ensemble","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Toutes entreprises","100605","98468","241935","246604","6444599731"
"ESS + Hors ESS","Ensemble","ARTS SPECTACLES (RZ1)","Ensemble","Toutes entreprises","29316","26611","115290","121792","4576490382"
"ESS + Hors ESS","Ensemble","AUTRES INDUSTRIES (BE sauf CA)+CONSTRUCTION (FZ)","Ensemble","Toutes entreprises","347883","304801","3913921","3794285","150663392330"
"ESS + Hors ESS","Ensemble","COMMERCE (GZ)","Ensemble","Toutes entreprises","448719","323860","3091840","2871617","97086615197"
"ESS + Hors ESS","Ensemble","ENSEIGNEMENT (PZ)","Ensemble","Toutes entreprises","101055","46053","1702419","1542548","55673678791"
"ESS + Hors ESS","Ensemble","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Toutes entreprises","205574","179988","983360","948761","24609901129"
"ESS + Hors ESS","Ensemble","INDUSTRIES ALIMENTAIRES (CA)","Ensemble","Toutes entreprises","50105","43751","573053","544553","17437881337"
"ESS + Hors ESS","Ensemble","INFORMATION ET COMMUNICATION (JZ)","Ensemble","Toutes entreprises","59586","47846","781007","764748","40440069799"
"ESS + Hors ESS","Ensemble","NON-CLASSES (94.99Z)","Ensemble","Toutes entreprises","44427","39385","169812","147886","4630499223"
"ESS + Hors ESS","Ensemble","ORGANISMES EXTRATERRITORIAUX","Ensemble","Toutes entreprises","433","298","6327","6100","250802498"
"ESS + Hors ESS","Ensemble","SANTE HUMAINE (QA)","Ensemble","Toutes entreprises","83972","71754","1604197","1465033","50083133228"
"ESS + Hors ESS","Ensemble","SERVICES DIVERS","Ensemble","Toutes entreprises","277632","219754","4489527","4233580","142298982051"
"ESS + Hors ESS","Ensemble","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Toutes entreprises","349576","293168","2682886","2468966","101285858876"
"ESS + Hors ESS","Ensemble","SPORTS ET LOISIRS (RZ2)","Ensemble","Toutes entreprises","48842","45166","155203","137287","4926336885"
"ESS + Hors ESS","Ensemble","ACTION SOCIALE (QB)","Ensemble","1 - Micro entreprise","21069","12283","71266","70908","1893859225"
"ESS + Hors ESS","Ensemble","ACTION SOCIALE (QB)","Ensemble","2 - Petites entreprises","21747","10735","476540","397740","10717741756"
"ESS + Hors ESS","Ensemble","ACTION SOCIALE (QB)","Ensemble","3 - Moyennes entreprises","10949","5585","847337","734370","18866693443"
"ESS + Hors ESS","Ensemble","ACTION SOCIALE (QB)","Ensemble","4 - Grandes entreprises","375","213","154194","133256","3539118512"
"ESS + Hors ESS","Ensemble","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","1 - Micro entreprise","88804","57910","226522","220559","10950466982"
"ESS + Hors ESS","Ensemble","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","2 - Petites entreprises","9792","3567","171829","162520","9106411988"
"ESS + Hors ESS","Ensemble","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","3 - Moyennes entreprises","1500","495","156007","149422","8920735223"
"ESS + Hors ESS","Ensemble","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","4 - Grandes entreprises","468","160","295166","284837","18681175725"
"ESS + Hors ESS","Ensemble","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","1 - Micro entreprise","96530","94824","147115","149900","3537345957"
"ESS + Hors ESS","Ensemble","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","2 - Petites entreprises","3720","3407","61409","62789","1788521089"
"ESS + Hors ESS","Ensemble","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","3 - Moyennes entreprises","339","227","s","s","920275322"
"ESS + Hors ESS","Ensemble","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","4 - Grandes entreprises","16","10","s","s","198457363"
"ESS + Hors ESS","Ensemble","ARTS SPECTACLES (RZ1)","Ensemble","1 - Micro entreprise","26651","24483","s","s","s"
"ESS + Hors ESS","Ensemble","ARTS SPECTACLES (RZ1)","Ensemble","2 - Petites entreprises","2205","1760","s","s","1331837315"
"ESS + Hors ESS","Ensemble","ARTS SPECTACLES (RZ1)","Ensemble","3 - Moyennes entreprises","417","335","32362","31861","1200563758"
"ESS + Hors ESS","Ensemble","ARTS SPECTACLES (RZ1)","Ensemble","4 - Grandes entreprises","43","33","s","s","s"
"ESS + Hors ESS","Ensemble","AUTRES INDUSTRIES (BE sauf CA)+CONSTRUCTION (FZ)","Ensemble","1 - Micro entreprise","278560","252577","684998","688994","20301095052"
"ESS + Hors ESS","Ensemble","AUTRES INDUSTRIES (BE sauf CA)+CONSTRUCTION (FZ)","Ensemble","2 - Petites entreprises","56344","44371","1120815","1062203","36979385844"
"ESS + Hors ESS","Ensemble","AUTRES INDUSTRIES (BE sauf CA)+CONSTRUCTION (FZ)","Ensemble","3 - Moyennes entreprises","11292","6933","1105054","1068113","43020369948"
"ESS + Hors ESS","Ensemble","AUTRES INDUSTRIES (BE sauf CA)+CONSTRUCTION (FZ)","Ensemble","4 - Grandes entreprises","1687","920","1003054","974974","50362541486"
"ESS + Hors ESS","Ensemble","COMMERCE (GZ)","Ensemble","1 - Micro entreprise","383320","285496","1007557","957761","27965662243"
"ESS + Hors ESS","Ensemble","COMMERCE (GZ)","Ensemble","2 - Petites entreprises","56551","33654","1015414","934111","31764122375"
"ESS + Hors ESS","Ensemble","COMMERCE (GZ)","Ensemble","3 - Moyennes entreprises","7948","4294","714544","663960","24046246559"
"ESS + Hors ESS","Ensemble","COMMERCE (GZ)","Ensemble","4 - Grandes entreprises","900","416","354325","315786","13310584020"
"ESS + Hors ESS","Ensemble","ENSEIGNEMENT (PZ)","Ensemble","1 - Micro entreprise","66924","29573","217124","207316","6917215951"
"ESS + Hors ESS","Ensemble","ENSEIGNEMENT (PZ)","Ensemble","2 - Petites entreprises","24933","9070","471489","424516","14755161564"
"ESS + Hors ESS","Ensemble","ENSEIGNEMENT (PZ)","Ensemble","3 - Moyennes entreprises","8529","7024","705554","646864","24668117478"
"ESS + Hors ESS","Ensemble","ENSEIGNEMENT (PZ)","Ensemble","4 - Grandes entreprises","669","386","308252","263851","9333183798"
"ESS + Hors ESS","Ensemble","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","1 - Micro entreprise","177148","158241","392806","413112","9926811555"
"ESS + Hors ESS","Ensemble","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","2 - Petites entreprises","26169","20166","414616","377899","10001188183"
"ESS + Hors ESS","Ensemble","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","3 - Moyennes entreprises","2173","1531","142764","125624","3538550429"
"ESS + Hors ESS","Ensemble","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","4 - Grandes entreprises","84","50","33174","32126","1143350962"
"ESS + Hors ESS","Ensemble","INDUSTRIES ALIMENTAIRES (CA)","Ensemble","1 - Micro entreprise","39540","35159","120911","114941","2579468762"
"ESS + Hors ESS","Ensemble","INDUSTRIES ALIMENTAIRES (CA)","Ensemble","2 - Petites entreprises","8749","7358","145326","134757","3810473724"
"ESS + Hors ESS","Ensemble","INDUSTRIES ALIMENTAIRES (CA)","Ensemble","3 - Moyennes entreprises","1497","1032","166023","159540","5782129321"
"ESS + Hors ESS","Ensemble","INDUSTRIES ALIMENTAIRES (CA)","Ensemble","4 - Grandes entreprises","319","202","140793","135315","5265809530"
"ESS + Hors ESS","Ensemble","INFORMATION ET COMMUNICATION (JZ)","Ensemble","1 - Micro entreprise","47978","40446","95887","107976","4686759729"
"ESS + Hors ESS","Ensemble","INFORMATION ET COMMUNICATION (JZ)","Ensemble","2 - Petites entreprises","8757","5950","176128","165965","8165227934"
"ESS + Hors ESS","Ensemble","INFORMATION ET COMMUNICATION (JZ)","Ensemble","3 - Moyennes entreprises","2413","1286","239973","230726","12351341716"
"ESS + Hors ESS","Ensemble","INFORMATION ET COMMUNICATION (JZ)","Ensemble","4 - Grandes entreprises","438","164","269019","260082","15236740420"
"ESS + Hors ESS","Ensemble","NON-CLASSES (94.99Z)","Ensemble","1 - Micro entreprise","39512","35300","62698","56515","1784743986"
"ESS + Hors ESS","Ensemble","NON-CLASSES (94.99Z)","Ensemble","2 - Petites entreprises","4430","3712","65364","54608","1694529461"
"ESS + Hors ESS","Ensemble","NON-CLASSES (94.99Z)","Ensemble","3 - Moyennes entreprises","457","357","32169","27684","s"
"ESS + Hors ESS","Ensemble","NON-CLASSES (94.99Z)","Ensemble","4 - Grandes entreprises","28","16","9581","9079","s"
"ESS + Hors ESS","Ensemble","ORGANISMES EXTRATERRITORIAUX","Ensemble","1 - Micro entreprise","284","185","s","s","s"
"ESS + Hors ESS","Ensemble","ORGANISMES EXTRATERRITORIAUX","Ensemble","2 - Petites entreprises","130","97","s","s","86912725"
"ESS + Hors ESS","Ensemble","ORGANISMES EXTRATERRITORIAUX","Ensemble","3 - Moyennes entreprises","15","12","s","s","s"
"ESS + Hors ESS","Ensemble","ORGANISMES EXTRATERRITORIAUX","Ensemble","4 - Grandes entreprises","4","4","s","s","s"
"ESS + Hors ESS","Ensemble","SANTE HUMAINE (QA)","Ensemble","1 - Micro entreprise","73081","65735","107808","95399","2863802325"
"ESS + Hors ESS","Ensemble","SANTE HUMAINE (QA)","Ensemble","2 - Petites entreprises","7634","4041","142521","124797","4205620039"
"ESS + Hors ESS","Ensemble","SANTE HUMAINE (QA)","Ensemble","3 - Moyennes entreprises","2201","1234","237552","214447","7221745608"
"ESS + Hors ESS","Ensemble","SANTE HUMAINE (QA)","Ensemble","4 - Grandes entreprises","1056","744","1116316","1030390","35791965256"
"ESS + Hors ESS","Ensemble","SERVICES DIVERS","Ensemble","1 - Micro entreprise","220238","185603","480593","451172","12930771271"
"ESS + Hors ESS","Ensemble","SERVICES DIVERS","Ensemble","2 - Petites entreprises","42481","25371","835194","775370","24889520922"
"ESS + Hors ESS","Ensemble","SERVICES DIVERS","Ensemble","3 - Moyennes entreprises","12205","6995","1184368","1115557","38107549172"
"ESS + Hors ESS","Ensemble","SERVICES DIVERS","Ensemble","4 - Grandes entreprises","2708","1785","1989372","1891481","66371140686"
"ESS + Hors ESS","Ensemble","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","1 - Micro entreprise","301671","259947","589458","580618","20880608756"
"ESS + Hors ESS","Ensemble","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","2 - Petites entreprises","38523","27804","704832","641493","25898522234"
