"DEP","ESS","famille","taille_etab","nb_etab","nb_ent","eff_31","eff_EQTP","rem_brut"
"France entière","ESS + Hors ESS","1. Coopérative","2 - Petites entreprises","4780","1652","84106","81012","3310232777"
"France entière","ESS + Hors ESS","1. Coopérative","3 - Moyennes entreprises","660","342","64021","61137","2513735838"
"France entière","ESS + Hors ESS","1. Coopérative","4 - Grandes entreprises","176","84","91262","88448","4272408492"
"France entière","ESS + Hors ESS","2. Mutuelle","1 - Micro entreprise","5225","331","17196","17121","701823456"
"France entière","ESS + Hors ESS","2. Mutuelle","2 - Petites entreprises","1499","189","29719","26327","1022433799"
"France entière","ESS + Hors ESS","2. Mutuelle","3 - Moyennes entreprises","535","90","51039","46216","1765757078"
"France entière","ESS + Hors ESS","2. Mutuelle","4 - Grandes entreprises","70","26","34961","32679","1574413035"
"France entière","ESS + Hors ESS","3. Association","1 - Micro entreprise","135883","118631","225338","216559","6552555757"
"France entière","ESS + Hors ESS","3. Association","2 - Petites entreprises","33854","21442","648138","546964","16522045088"
"France entière","ESS + Hors ESS","3. Association","3 - Moyennes entreprises","9436","5178","753137","650466","18326445346"
"France entière","ESS + Hors ESS","3. Association","4 - Grandes entreprises","392","275","160813","139213","4465507638"
"France entière","ESS + Hors ESS","4. Fondation","1 - Micro entreprise","716","294","2512","2491","91887824"
"France entière","ESS + Hors ESS","4. Fondation","2 - Petites entreprises","644","121","15986","14087","458492373"
"France entière","ESS + Hors ESS","4. Fondation","3 - Moyennes entreprises","530","96","44959","39862","1236255701"
"France entière","ESS + Hors ESS","4. Fondation","4 - Grandes entreprises","54","24","32839","29901","1153925976"
"France entière","ESS + Hors ESS","Privé Hors ESS","1 - Micro entreprise","1666099","1419174","3696879","3638090","111201882507"
"France entière","ESS + Hors ESS","Privé Hors ESS","2 - Petites entreprises","235060","165761","4322640","3998019","140938723700"
"France entière","ESS + Hors ESS","Privé Hors ESS","3 - Moyennes entreprises","41847","24778","3825227","3577501","142103481693"
"France entière","ESS + Hors ESS","Privé Hors ESS","4 - Grandes entreprises","5974","3027","3093591","2915762","142046026366"
"France entière","ESS + Hors ESS","Public","1 - Micro entreprise","79836","35137","283481","261195","8501089033"
"France entière","ESS + Hors ESS","Public","2 - Petites entreprises","40112","15068","790449","734089","24235761318"
"France entière","ESS + Hors ESS","Public","3 - Moyennes entreprises","17158","11847","1573929","1469224","51078683796"
"France entière","ESS + Hors ESS","Public","4 - Grandes entreprises","3625","2380","3002889","2794224","96281239796"
"France entière","ESS","1. Coopérative","Toutes entreprises","23880","7982","303916","297381","12826013031"
"France entière","ESS","2. Mutuelle","Toutes entreprises","7329","636","132915","122342","5064427368"
"France entière","ESS","3. Association","Toutes entreprises","179565","145526","1787426","1553201","45866553829"
"France entière","ESS","4. Fondation","Toutes entreprises","1944","535","96296","86341","2940561874"
"France entière","Hors ESS","Privé Hors ESS","Toutes entreprises","1948980","1612740","14938337","14129372","536290114266"
"France entière","Hors ESS","Public","Toutes entreprises","140731","64432","5650748","5258733","180096773943"
"France entière","ESS","1. Coopérative","1 - Micro entreprise","18264","5904","64527","66784","2729635924"
"France entière","ESS","1. Coopérative","2 - Petites entreprises","4780","1652","84106","81012","3310232777"
"France entière","ESS","1. Coopérative","3 - Moyennes entreprises","660","342","64021","61137","2513735838"
"France entière","ESS","1. Coopérative","4 - Grandes entreprises","176","84","91262","88448","4272408492"
"France entière","ESS","2. Mutuelle","1 - Micro entreprise","5225","331","17196","17121","701823456"
"France entière","ESS","2. Mutuelle","2 - Petites entreprises","1499","189","29719","26327","1022433799"
"France entière","ESS","2. Mutuelle","3 - Moyennes entreprises","535","90","51039","46216","1765757078"
"France entière","ESS","2. Mutuelle","4 - Grandes entreprises","70","26","34961","32679","1574413035"
"France entière","ESS","3. Association","1 - Micro entreprise","135883","118631","225338","216559","6552555757"
"France entière","ESS","3. Association","2 - Petites entreprises","33854","21442","648138","546964","16522045088"
"France entière","ESS","3. Association","3 - Moyennes entreprises","9436","5178","753137","650466","18326445346"
"France entière","ESS","3. Association","4 - Grandes entreprises","392","275","160813","139213","4465507638"
"France entière","ESS","4. Fondation","1 - Micro entreprise","716","294","2512","2491","91887824"
"France entière","ESS","4. Fondation","2 - Petites entreprises","644","121","15986","14087","458492373"
"France entière","ESS","4. Fondation","3 - Moyennes entreprises","530","96","44959","39862","1236255701"
"France entière","ESS","4. Fondation","4 - Grandes entreprises","54","24","32839","29901","1153925976"
"France entière","Hors ESS","Privé Hors ESS","1 - Micro entreprise","1666099","1419174","3696879","3638090","111201882507"
"France entière","Hors ESS","Privé Hors ESS","2 - Petites entreprises","235060","165761","4322640","3998019","140938723700"
"France entière","Hors ESS","Privé Hors ESS","3 - Moyennes entreprises","41847","24778","3825227","3577501","142103481693"
"France entière","Hors ESS","Privé Hors ESS","4 - Grandes entreprises","5974","3027","3093591","2915762","142046026366"
"France entière","Hors ESS","Public","1 - Micro entreprise","79836","35137","283481","261195","8501089033"
"France entière","Hors ESS","Public","2 - Petites entreprises","40112","15068","790449","734089","24235761318"
"France entière","Hors ESS","Public","3 - Moyennes entreprises","17158","11847","1573929","1469224","51078683796"
"France entière","Hors ESS","Public","4 - Grandes entreprises","3625","2380","3002889","2794224","96281239796"
"1","ESS + Hors ESS","Ensemble","Toutes entreprises","19627","15681","175799","163804","5519019540"
"2","ESS + Hors ESS","Ensemble","Toutes entreprises","14536","11417","137223","127226","3978451391"
"3","ESS + Hors ESS","Ensemble","Toutes entreprises","10913","8359","95232","89248","2741634236"
"4","ESS + Hors ESS","Ensemble","Toutes entreprises","7263","5892","44089","42054","1297670201"
"5","ESS + Hors ESS","Ensemble","Toutes entreprises","7391","6034","43162","39929","1209854104"
"6","ESS + Hors ESS","Ensemble","Toutes entreprises","49113","40179","372414","354274","12603247467"
"7","ESS + Hors ESS","Ensemble","Toutes entreprises","11042","9043","82216","76677","2410549580"
"8","ESS + Hors ESS","Ensemble","Toutes entreprises","8190","6592","71874","66439","2117593868"
"9","ESS + Hors ESS","Ensemble","Toutes entreprises","5438","4299","39722","36787","1115507986"
"10","ESS + Hors ESS","Ensemble","Toutes entreprises","10801","8468","90215","84516","2677762370"
"11","ESS + Hors ESS","Ensemble","Toutes entreprises","13378","10710","92572","87246","2591085384"
"12","ESS + Hors ESS","Ensemble","Toutes entreprises","11661","9372","83642","77450","2389048018"
"13","ESS + Hors ESS","Ensemble","Toutes entreprises","74631","59388","736806","686111","24986693184"
"14","ESS + Hors ESS","Ensemble","Toutes entreprises","24823","19595","233120","218327","7022878720"
"15","ESS + Hors ESS","Ensemble","Toutes entreprises","5895","4671","42189","39196","1157797079"
"16","ESS + Hors ESS","Ensemble","Toutes entreprises","12301","9839","108353","101705","3252445596"
"17","ESS + Hors ESS","Ensemble","Toutes entreprises","25750","20991","178902","170690","5202177116"
"18","ESS + Hors ESS","Ensemble","Toutes entreprises","9486","7246","86269","81164","2606588482"
"19","ESS + Hors ESS","Ensemble","Toutes entreprises","8642","6526","72914","68772","2116576482"
"21","ESS + Hors ESS","Ensemble","Toutes entreprises","18876","14392","193476","180366","6055364744"
"22","ESS + Hors ESS","Ensemble","Toutes entreprises","20068","16292","171990","161324","5028065564"
"23","ESS + Hors ESS","Ensemble","Toutes entreprises","4178","3312","29704","27519","804598538"
"24","ESS + Hors ESS","Ensemble","Toutes entreprises","15326","12419","110097","104433","3093656988"
"25","ESS + Hors ESS","Ensemble","Toutes entreprises","16887","12987","175044","161970","5352149825"
"26","ESS + Hors ESS","Ensemble","Toutes entreprises","19856","15820","175378","164090","5496156713"
"27","ESS + Hors ESS","Ensemble","Toutes entreprises","16764","13323","155884","146375","4831453852"
"28","ESS + Hors ESS","Ensemble","Toutes entreprises","12580","9794","121894","114780","3795096139"
"29","ESS + Hors ESS","Ensemble","Toutes entreprises","29358","23228","276081","259373","8380700174"
"2A","ESS + Hors ESS","Ensemble","Toutes entreprises","8583","7469","54252","55355","1810112454"
"2B","ESS + Hors ESS","Ensemble","Toutes entreprises","8788","7613","49875","48211","1520820341"
"30","ESS + Hors ESS","Ensemble","Toutes entreprises","25645","21129","192716","180769","5767626118"
"31","ESS + Hors ESS","Ensemble","Toutes entreprises","47060","36131","559381","520562","19672307544"
"32","ESS + Hors ESS","Ensemble","Toutes entreprises","7752","6416","50450","46603","1393036022"
"33","ESS + Hors ESS","Ensemble","Toutes entreprises","59694","46631","572825","540034","18600181673"
"34","ESS + Hors ESS","Ensemble","Toutes entreprises","43920","35655","362330","339385","11163991315"
"35","ESS + Hors ESS","Ensemble","Toutes entreprises","34921","27104","398952","372429","12545574358"
"36","ESS + Hors ESS","Ensemble","Toutes entreprises","7456","5890","64058","59729","1826008614"
"37","ESS + Hors ESS","Ensemble","Toutes entreprises","19509","14804","200522","187589","6232674170"
"38","ESS + Hors ESS","Ensemble","Toutes entreprises","41610","33007","422311","389833","14304565885"
"39","ESS + Hors ESS","Ensemble","Toutes entreprises","9448","7524","76901","71621","2282545910"
"40","ESS + Hors ESS","Ensemble","Toutes entreprises","15356","12116","113162","109923","3375210191"
"41","ESS + Hors ESS","Ensemble","Toutes entreprises","10763","8471","98276","93061","2972157461"
"42","ESS + Hors ESS","Ensemble","Toutes entreprises","24554","19676","236723","217199","7236737072"
"43","ESS + Hors ESS","Ensemble","Toutes entreprises","8216","6731","62934","57386","1732589705"
"44","ESS + Hors ESS","Ensemble","Toutes entreprises","45406","34307","533049","496325","17317878446"
"45","ESS + Hors ESS","Ensemble","Toutes entreprises","20104","15426","228454","215384","7365158959"
"46","ESS + Hors ESS","Ensemble","Toutes entreprises","6794","5372","48467","45388","1399210296"
"47","ESS + Hors ESS","Ensemble","Toutes entreprises","12232","9794","95906","90463","2747311263"
"48","ESS + Hors ESS","Ensemble","Toutes entreprises","3601","2897","23798","22114","657247236"
"49","ESS + Hors ESS","Ensemble","Toutes entreprises","25291","19937","268973","251062","7995061972"
"50","ESS + Hors ESS","Ensemble","Toutes entreprises","16588","13361","151060","141053","4430056991"
"51","ESS + Hors ESS","Ensemble","Toutes entreprises","21316","16878","196962","184212","6279474004"
"52","ESS + Hors ESS","Ensemble","Toutes entreprises","5885","4559","51037","47655","1474360817"
"53","ESS + Hors ESS","Ensemble","Toutes entreprises","10061","8096","100872","93815","2967384042"
"54","ESS + Hors ESS","Ensemble","Toutes entreprises","19756","14658","220293","207492","6853717787"
"55","ESS + Hors ESS","Ensemble","Toutes entreprises","5520","4368","47024","43246","1352980090"
"56","ESS + Hors ESS","Ensemble","Toutes entreprises","25711","20763","221284","207820","6500932421"
"57","ESS + Hors ESS","Ensemble","Toutes entreprises","27986","21002","290573","268534","8982927566"
"58","ESS + Hors ESS","Ensemble","Toutes entreprises","6906","5288","57644","53978","1647416371"
"59","ESS + Hors ESS","Ensemble","Toutes entreprises","68235","51881","893773","827501","28569322788"
"60","ESS + Hors ESS","Ensemble","Toutes entreprises","21958","17199","225744","211652","7155545276"
"61","ESS + Hors ESS","Ensemble","Toutes entreprises","9759","7914","83431","78060","2386325196"
"62","ESS + Hors ESS","Ensemble","Toutes entreprises","36942","28252","408066","376677","11912469387"
"63","ESS + Hors ESS","Ensemble","Toutes entreprises","21384","16627","223643","207836","7105958503"
"64","ESS + Hors ESS","Ensemble","Toutes entreprises","27363","21343","217977","204700","6894524997"
"65","ESS + Hors ESS","Ensemble","Toutes entreprises","8767","6881","65442","62321","1909650890"
"66","ESS + Hors ESS","Ensemble","Toutes entreprises","17557","14431","124811","119606","3609067260"
"67","ESS + Hors ESS","Ensemble","Toutes entreprises","39361","31160","415747","385084","13721588192"
"68","ESS + Hors ESS","Ensemble","Toutes entreprises","24045","19151","237265","219278","7542005467"
"69","ESS + Hors ESS","Ensemble","Toutes entreprises","72836","56584","822328","765517","29379280654"
"70","ESS + Hors ESS","Ensemble","Toutes entreprises","7039","5646","58975","54152","1676438191"
"71","ESS + Hors ESS","Ensemble","Toutes entreprises","18764","14586","165862","154107","4949765162"
"72","ESS + Hors ESS","Ensemble","Toutes entreprises","16078","12348","176565","164706","5310124577"
"73","ESS + Hors ESS","Ensemble","Toutes entreprises","20872","16369","160359","149031","5022811062"
"74","ESS + Hors ESS","Ensemble","Toutes entreprises","30788","24560","248994","234162","8139891311"
"75","ESS + Hors ESS","Ensemble","Toutes entreprises","182348","153686","1693269","1594478","77524166546"
"76","ESS + Hors ESS","Ensemble","Toutes entreprises","36575","27391","428230","399055","13745156708"
"77","ESS + Hors ESS","Ensemble","Toutes entreprises","39186","30941","437110","407080","14401583763"
"78","ESS + Hors ESS","Ensemble","Toutes entreprises","39833","31271","489539","460401","19805407951"
"79","ESS + Hors ESS","Ensemble","Toutes entreprises","11520","9093","125090","116794","3868471761"
"80","ESS + Hors ESS","Ensemble","Toutes entreprises","16721","12957","175998","163704","5268514249"
"81","ESS + Hors ESS","Ensemble","Toutes entreprises","12996","10364","103784","95329","2998173108"
"82","ESS + Hors ESS","Ensemble","Toutes entreprises","8673","6872","65740","62327","1891769687"
"83","ESS + Hors ESS","Ensemble","Toutes entreprises","41201","33353","270840","260165","8240320610"
"84","ESS + Hors ESS","Ensemble","Toutes entreprises","23202","19080","176636","167700","5356037284"
"85","ESS + Hors ESS","Ensemble","Toutes entreprises","23716","19042","218953","207776","6441493624"
"86","ESS + Hors ESS","Ensemble","Toutes entreprises","12948","9904","140868","132334","4195451473"
"87","ESS + Hors ESS","Ensemble","Toutes entreprises","11408","8832","143561","126485","3879458979"
"88","ESS + Hors ESS","Ensemble","Toutes entreprises","12290","9623","107104","100142","3123086801"
"89","ESS + Hors ESS","Ensemble","Toutes entreprises","10968","8524","96645","89941","2805181107"
"90","ESS + Hors ESS","Ensemble","Toutes entreprises","3794","2860","43802","40831","1463339784"
"91","ESS + Hors ESS","Ensemble","Toutes entreprises","33603","26888","427805","400336","15865946571"
"92","ESS + Hors ESS","Ensemble","Toutes entreprises","57625","46483","1031616","988603","55773913749"
"93","ESS + Hors ESS","Ensemble","Toutes entreprises","46682","38752","596346","556747","22820119988"
"94","ESS + Hors ESS","Ensemble","Toutes entreprises","39950","32985","502897","471253","18935374435"
"95","ESS + Hors ESS","Ensemble","Toutes entreprises","32039","26118","357476","329995","12180362524"
"971","ESS + Hors ESS","Ensemble","Toutes entreprises","11792","9819","107329","100646","3719433710"
"972","ESS + Hors ESS","Ensemble","Toutes entreprises","10885","8973","111805","104918","3829724275"
"973","ESS + Hors ESS","Ensemble","Toutes entreprises","4939","3892","55056","51694","1990693679"
"974","ESS + Hors ESS","Ensemble","Toutes entreprises","24581","20274","225832","214171","7435412597"
"1","ESS + Hors ESS","Ensemble","1 - Micro entreprise","16093","13319","38613","36918","1130055001"
"1","ESS + Hors ESS","Ensemble","2 - Petites entreprises","2857","1931","54154","49929","1653498976"
"1","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","623","396","56219","52113","1773898425"
"1","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","54","35","26813","24845","961567138"
"2","ESS + Hors ESS","Ensemble","1 - Micro entreprise","12033","9833","27744","26039","726053241"
"2","ESS + Hors ESS","Ensemble","2 - Petites entreprises","1987","1249","38022","34908","1076171693"
"2","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","457","292","41988","38576","1218763903"
"2","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","59","43","29469","27702","957462554"
"3","ESS + Hors ESS","Ensemble","1 - Micro entreprise","9101","7205","20392","19423","538599996"
"3","ESS + Hors ESS","Ensemble","2 - Petites entreprises","1458","928","27690","25623","784834360"
"3","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","315","206","27965","26104","806125617"
"3","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","39","20","19185","18097","612074263"
"4","ESS + Hors ESS","Ensemble","1 - Micro entreprise","6317","5261","11985","12387","340641848"
"4","ESS + Hors ESS","Ensemble","2 - Petites entreprises","795","521","14539","13363","406481342"
"4","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","140","101","11450","10499","334210231"
"4","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","11","9","6115","5806","216336780"
"5","ESS + Hors ESS","Ensemble","1 - Micro entreprise","6383","5365","11835","11887","330096931"
"5","ESS + Hors ESS","Ensemble","2 - Petites entreprises","861","568","14937","13635","418939699"
"5","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","137","92","10564","9375","292743624"
"5","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","10","9","5826","5032","168073850"
"6","ESS + Hors ESS","Ensemble","1 - Micro entreprise","42554","36019","89159","88874","2770560842"
"6","ESS + Hors ESS","Ensemble","2 - Petites entreprises","5421","3502","96865","90501","3159100154"
"6","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","1004","580","89393","83665","3099304604"
"6","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","134","78","96997","91234","3574281867"
"7","ESS + Hors ESS","Ensemble","1 - Micro entreprise","9486","7973","20184","19911","558532012"
"7","ESS + Hors ESS","Ensemble","2 - Petites entreprises","1257","865","23309","21419","662310663"
"7","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","274","188","24705","22469","724322386"
"7","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","25","17","14018","12877","465384519"
"8","ESS + Hors ESS","Ensemble","1 - Micro entreprise","6775","5683","15309","14336","408423826"
"8","ESS + Hors ESS","Ensemble","2 - Petites entreprises","1142","741","21265","19348","611502448"
"8","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","250","153","22222","20639","674411953"
"8","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","23","15","13078","12116","423255641"
"9","ESS + Hors ESS","Ensemble","1 - Micro entreprise","4636","3778","10032","9508","256589601"
"9","ESS + Hors ESS","Ensemble","2 - Petites entreprises","663","423","12297","11249","341409849"
"9","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","125","89","10331","9513","295219431"
"9","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","14","9","7062","6517","222289105"
"10","ESS + Hors ESS","Ensemble","1 - Micro entreprise","9010","7331","19657","18941","548019514"
"10","ESS + Hors ESS","Ensemble","2 - Petites entreprises","1447","923","27021","25016","787146287"
"10","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","307","191","26676","24958","810913286"
"10","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","37","23","16861","15601","531683283"
"11","ESS + Hors ESS","Ensemble","1 - Micro entreprise","11475","9512","24668","24532","670900135"
"11","ESS + Hors ESS","Ensemble","2 - Petites entreprises","1564","995","28188","26065","785856906"
"11","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","322","192","28229","26051","804788109"
"11","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","17","11","11487","10599","329540234"
"12","ESS + Hors ESS","Ensemble","1 - Micro entreprise","9905","8190","20933","20044","545001087"
"12","ESS + Hors ESS","Ensemble","2 - Petites entreprises","1458","983","27897","25320","772345981"
"12","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","279","188","23897","21870","704845429"
"12","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","19","11","10915","10216","366855521"
"13","ESS + Hors ESS","Ensemble","1 - Micro entreprise","62465","52164","139602","136067","4216284338"
"13","ESS + Hors ESS","Ensemble","2 - Petites entreprises","9620","5796","177747","161371","5698494856"
"13","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","2241","1264","197368","181112","6764212349"
"13","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","305","164","222089","207560","8307701641"
"14","ESS + Hors ESS","Ensemble","1 - Micro entreprise","20761","16992","46744","46182","1340881591"
"14","ESS + Hors ESS","Ensemble","2 - Petites entreprises","3223","2073","61277","56382","1797526444"
"14","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","735","463","64836","60003","1971424321"
"14","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","104","67","60263","55760","1913046364"
"15","ESS + Hors ESS","Ensemble","1 - Micro entreprise","5019","4108","10544","10011","267944571"
"15","ESS + Hors ESS","Ensemble","2 - Petites entreprises","713","450","13640","12510","372651897"
"15","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","154","105","12586","11559","350728775"
"15","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","9","8","5419","5116","166471836"
"16","ESS + Hors ESS","Ensemble","1 - Micro entreprise","10198","8414","23997","23186","651881370"
"16","ESS + Hors ESS","Ensemble","2 - Petites entreprises","1694","1175","32437","29699","920580115"
"16","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","368","229","32394","30373","990105913"
"16","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","41","21","19525","18447","689878198"
"17","ESS + Hors ESS","Ensemble","1 - Micro entreprise","22218","18667","47050","48384","1321655063"
"17","ESS + Hors ESS","Ensemble","2 - Petites entreprises","2910","1930","54015","50379","1531470377"
"17","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","567","358","46544","43043","1369982099"
"17","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","55","36","31293","28884","979069577"
"18","ESS + Hors ESS","Ensemble","1 - Micro entreprise","7919","6294","18714","18100","514250936"
"18","ESS + Hors ESS","Ensemble","2 - Petites entreprises","1252","776","23699","21872","682569096"
"18","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","281","158","25404","23489","761813871"
"18","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","34","18","18452","17703","647954579"
"19","ESS + Hors ESS","Ensemble","1 - Micro entreprise","7234","5657","16763","16251","455590606"
"19","ESS + Hors ESS","Ensemble","2 - Petites entreprises","1145","699","21974","20290","621748716"
"19","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","234","151","20715","19493","622509164"
"19","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","29","19","13462","12739","416727996"
"21","ESS + Hors ESS","Ensemble","1 - Micro entreprise","15506","12412","36579","35000","1051038924"
"21","ESS + Hors ESS","Ensemble","2 - Petites entreprises","2637","1580","49760","45687","1562814488"
"21","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","641","351","58363","53967","1885297517"
"21","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","92","49","48774","45711","1556213815"
"22","ESS + Hors ESS","Ensemble","1 - Micro entreprise","16885","14177","37541","37159","1038700465"
"22","ESS + Hors ESS","Ensemble","2 - Petites entreprises","2545","1705","48623","45081","1394838961"
"22","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","578","377","51814","47536","1505878228"
"22","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","60","33","34012","31548","1088647910"
"23","ESS + Hors ESS","Ensemble","1 - Micro entreprise","3595","2932","7591","7014","190006890"
"23","ESS + Hors ESS","Ensemble","2 - Petites entreprises","469","301","8744","8056","237941039"
"23","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","105","71","8754","8134","240411620"
"23","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","9","8","4615","4315","136238989"
"24","ESS + Hors ESS","Ensemble","1 - Micro entreprise","13262","10997","28461","28687","771803532"
"24","ESS + Hors ESS","Ensemble","2 - Petites entreprises","1695","1165","32646","29978","901689043"
"24","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","327","230","28450","26596","810160347"
"24","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","42","27","20540","19172","610004066"
"25","ESS + Hors ESS","Ensemble","1 - Micro entreprise","13684","10962","32699","31018","918945241"
"25","ESS + Hors ESS","Ensemble","2 - Petites entreprises","2613","1665","48273","43950","1426510866"
"25","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","509","311","46199","42312","1419183397"
"25","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","81","49","47873","44689","1587510321"
"26","ESS + Hors ESS","Ensemble","1 - Micro entreprise","16429","13611","37508","36923","1091281379"
"26","ESS + Hors ESS","Ensemble","2 - Petites entreprises","2785","1812","52393","48234","1582575437"
"26","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","576","351","51635","47705","1632207520"
"26","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","66","46","33842","31228","1190092377"
"27","ESS + Hors ESS","Ensemble","1 - Micro entreprise","14003","11470","32525","31175","903234197"
"27","ESS + Hors ESS","Ensemble","2 - Petites entreprises","2182","1485","41055","38003","1190640254"
"27","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","506","328","47147","44127","1449591507"
"27","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","73","40","35157","33070","1287987894"
"28","ESS + Hors ESS","Ensemble","1 - Micro entreprise","10290","8342","24250","23363","691841078"
"28","ESS + Hors ESS","Ensemble","2 - Petites entreprises","1821","1153","34434","32060","1037823497"
"28","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","416","263","35726","33087","1081204193"
"28","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","53","36","27484","26270","984227371"
"29","ESS + Hors ESS","Ensemble","1 - Micro entreprise","24324","20010","55135","55494","1578190413"
"29","ESS + Hors ESS","Ensemble","2 - Petites entreprises","4041","2635","75385","69912","2188527397"
"29","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","872","506","76900","70416","2262351460"
"29","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","121","77","68661","63551","2351630904"
"2A","ESS + Hors ESS","Ensemble","1 - Micro entreprise","7554","6734","14982","17595","497860497"
"2A","ESS + Hors ESS","Ensemble","2 - Petites entreprises","868","624","15544","15241","498424182"
