"REG","typo_Coop","typo_Coop_det","sexe","type_emploi","nb_poste"
"France entière","COMMERCE (GZ)","Ensemble","Ensemble","Stagiaires","s"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Ensemble","Aides","1102"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Ensemble","Apprentis","1121"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Ensemble","Ordinaires","45803"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Ensemble","Stagiaires","23"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Ensemble","Aides","s"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Ensemble","Apprentis","249"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Ensemble","Ordinaires","15358"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Ensemble","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Hommes","Ensemble","67820"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Femmes","Ensemble","99749"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Hommes","Ensemble","4725"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Femmes","Ensemble","1941"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Hommes","Ensemble","8515"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Femmes","Ensemble","8679"
"France entière","COMMERCE (GZ)","Ensemble","Hommes","Ensemble","30014"
"France entière","COMMERCE (GZ)","Ensemble","Femmes","Ensemble","18475"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Hommes","Ensemble","35621"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Femmes","Ensemble","12428"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Hommes","Ensemble","9093"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Femmes","Ensemble","6856"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Hommes","Aides","1700"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Hommes","Apprentis","1184"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Hommes","Ordinaires","64731"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Hommes","Stagiaires","205"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Femmes","Aides","2202"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Femmes","Apprentis","1337"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Femmes","Ordinaires","95989"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Femmes","Stagiaires","221"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Hommes","Aides","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Hommes","Apprentis","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Hommes","Ordinaires","4585"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Hommes","Stagiaires","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Femmes","Aides","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Femmes","Apprentis","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Femmes","Ordinaires","1874"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Femmes","Stagiaires","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Hommes","Aides","232"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Hommes","Apprentis","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Hommes","Ordinaires","8219"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Hommes","Stagiaires","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Femmes","Aides","233"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Femmes","Apprentis","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Femmes","Ordinaires","8373"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Femmes","Stagiaires","s"
"France entière","COMMERCE (GZ)","Ensemble","Hommes","Aides","307"
"France entière","COMMERCE (GZ)","Ensemble","Hommes","Apprentis","s"
"France entière","COMMERCE (GZ)","Ensemble","Hommes","Ordinaires","29281"
"France entière","COMMERCE (GZ)","Ensemble","Hommes","Stagiaires","s"
"France entière","COMMERCE (GZ)","Ensemble","Femmes","Aides","s"
"France entière","COMMERCE (GZ)","Ensemble","Femmes","Apprentis","s"
"France entière","COMMERCE (GZ)","Ensemble","Femmes","Ordinaires","17956"
"France entière","COMMERCE (GZ)","Ensemble","Femmes","Stagiaires","s"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Hommes","Aides","755"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Hommes","Apprentis","927"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Hommes","Ordinaires","33925"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Hommes","Stagiaires","14"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Femmes","Aides","347"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Femmes","Apprentis","194"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Femmes","Ordinaires","11878"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Femmes","Stagiaires","9"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Hommes","Aides","s"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Hommes","Apprentis","199"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Hommes","Ordinaires","8682"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Hommes","Stagiaires","s"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Femmes","Aides","s"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Femmes","Apprentis","50"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Femmes","Ordinaires","6676"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Femmes","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Ensemble","Ensemble","1409"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Ensemble","Ensemble","164534"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Ensemble","Ensemble","1626"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Ensemble","Aides","35"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Ensemble","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Ensemble","Ordinaires","1368"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Ensemble","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Ensemble","Aides","3774"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Ensemble","Apprentis","2480"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Ensemble","Ordinaires","157857"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Ensemble","Stagiaires","423"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Ensemble","Aides","93"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Ensemble","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Ensemble","Ordinaires","1495"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Ensemble","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Hommes","Ensemble","599"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Femmes","Ensemble","810"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Hommes","Ensemble","66706"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Femmes","Ensemble","97828"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Hommes","Ensemble","515"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Femmes","Ensemble","1111"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Hommes","Aides","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Hommes","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Hommes","Ordinaires","580"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Femmes","Aides","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Femmes","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Femmes","Ordinaires","788"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Femmes","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Hommes","Aides","1651"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Hommes","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Hommes","Ordinaires","63681"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Hommes","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Femmes","Aides","2123"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Femmes","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Femmes","Ordinaires","94176"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Femmes","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Hommes","Aides","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Hommes","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Hommes","Ordinaires","470"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Hommes","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Femmes","Aides","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Femmes","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Femmes","Ordinaires","1025"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Femmes","Stagiaires","s"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Ensemble","Ensemble","35465"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Ensemble","Ensemble","14112"
"Bretagne","Ensemble","Ensemble","Ensemble","Ensemble","27813"
"Centre-Val de Loire","Ensemble","Ensemble","Ensemble","Ensemble","13720"
"Corse","Ensemble","Ensemble","Ensemble","Ensemble","1047"
"Grand-Est","Ensemble","Ensemble","Ensemble","Ensemble","29346"
"Guadeloupe","Ensemble","Ensemble","Ensemble","Ensemble","1053"
"Guyane","Ensemble","Ensemble","Ensemble","Ensemble","177"
"Hauts-de-France","Ensemble","Ensemble","Ensemble","Ensemble","19638"
"Ile-de-France","Ensemble","Ensemble","Ensemble","Ensemble","34248"
"La Réunion","Ensemble","Ensemble","Ensemble","Ensemble","3050"
"Martinique","Ensemble","Ensemble","Ensemble","Ensemble","1072"
"Normandie","Ensemble","Ensemble","Ensemble","Ensemble","15738"
"Nouvelle-Aquitaine","Ensemble","Ensemble","Ensemble","Ensemble","35268"
"Occitanie","Ensemble","Ensemble","Ensemble","Ensemble","28410"
"Pays de la Loire","Ensemble","Ensemble","Ensemble","Ensemble","26152"
"Provence-Alpes-Côte d'Azur","Ensemble","Ensemble","Ensemble","Ensemble","17607"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Ensemble","Aides","766"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Ensemble","Apprentis","455"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Ensemble","Ordinaires","34182"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Ensemble","Stagiaires","62"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Ensemble","Aides","304"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Ensemble","Apprentis","s"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Ensemble","Ordinaires","13586"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Ensemble","Stagiaires","s"
"Bretagne","Ensemble","Ensemble","Ensemble","Aides","582"
"Bretagne","Ensemble","Ensemble","Ensemble","Apprentis","432"
"Bretagne","Ensemble","Ensemble","Ensemble","Ordinaires","26760"
"Bretagne","Ensemble","Ensemble","Ensemble","Stagiaires","39"
"Centre-Val de Loire","Ensemble","Ensemble","Ensemble","Aides","258"
"Centre-Val de Loire","Ensemble","Ensemble","Ensemble","Apprentis","294"
"Centre-Val de Loire","Ensemble","Ensemble","Ensemble","Ordinaires","13148"
"Centre-Val de Loire","Ensemble","Ensemble","Ensemble","Stagiaires","20"
"Corse","Ensemble","Ensemble","Ensemble","Aides","s"
"Corse","Ensemble","Ensemble","Ensemble","Apprentis","24"
"Corse","Ensemble","Ensemble","Ensemble","Ordinaires","s"
"Grand-Est","Ensemble","Ensemble","Ensemble","Aides","640"
"Grand-Est","Ensemble","Ensemble","Ensemble","Apprentis","532"
"Grand-Est","Ensemble","Ensemble","Ensemble","Ordinaires","28143"
"Grand-Est","Ensemble","Ensemble","Ensemble","Stagiaires","31"
"Guadeloupe","Ensemble","Ensemble","Ensemble","Aides","s"
"Guadeloupe","Ensemble","Ensemble","Ensemble","Apprentis","s"
"Guadeloupe","Ensemble","Ensemble","Ensemble","Ordinaires","1008"
"Guyane","Ensemble","Ensemble","Ensemble","Apprentis","s"
"Guyane","Ensemble","Ensemble","Ensemble","Ordinaires","s"
"Hauts-de-France","Ensemble","Ensemble","Ensemble","Aides","446"
"Hauts-de-France","Ensemble","Ensemble","Ensemble","Apprentis","253"
"Hauts-de-France","Ensemble","Ensemble","Ensemble","Ordinaires","18888"
"Hauts-de-France","Ensemble","Ensemble","Ensemble","Stagiaires","51"
"Ile-de-France","Ensemble","Ensemble","Ensemble","Aides","774"
"Ile-de-France","Ensemble","Ensemble","Ensemble","Apprentis","723"
"Ile-de-France","Ensemble","Ensemble","Ensemble","Ordinaires","32601"
"Ile-de-France","Ensemble","Ensemble","Ensemble","Stagiaires","150"
"La Réunion","Ensemble","Ensemble","Ensemble","Aides","67"
"La Réunion","Ensemble","Ensemble","Ensemble","Apprentis","s"
"La Réunion","Ensemble","Ensemble","Ensemble","Ordinaires","2962"
"La Réunion","Ensemble","Ensemble","Ensemble","Stagiaires","s"
"Martinique","Ensemble","Ensemble","Ensemble","Aides","s"
"Martinique","Ensemble","Ensemble","Ensemble","Apprentis","s"
"Martinique","Ensemble","Ensemble","Ensemble","Ordinaires","1054"
"Normandie","Ensemble","Ensemble","Ensemble","Aides","333"
"Normandie","Ensemble","Ensemble","Ensemble","Apprentis","203"
"Normandie","Ensemble","Ensemble","Ensemble","Ordinaires","15171"
"Normandie","Ensemble","Ensemble","Ensemble","Stagiaires","31"
"Nouvelle-Aquitaine","Ensemble","Ensemble","Ensemble","Aides","823"
"Nouvelle-Aquitaine","Ensemble","Ensemble","Ensemble","Apprentis","547"
"Nouvelle-Aquitaine","Ensemble","Ensemble","Ensemble","Ordinaires","33858"
"Nouvelle-Aquitaine","Ensemble","Ensemble","Ensemble","Stagiaires","40"
"Occitanie","Ensemble","Ensemble","Ensemble","Aides","456"
"Occitanie","Ensemble","Ensemble","Ensemble","Apprentis","402"
"Occitanie","Ensemble","Ensemble","Ensemble","Ordinaires","27524"
"Occitanie","Ensemble","Ensemble","Ensemble","Stagiaires","28"
"Pays de la Loire","Ensemble","Ensemble","Ensemble","Aides","557"
"Pays de la Loire","Ensemble","Ensemble","Ensemble","Apprentis","425"
"Pays de la Loire","Ensemble","Ensemble","Ensemble","Ordinaires","25146"
"Pays de la Loire","Ensemble","Ensemble","Ensemble","Stagiaires","24"
"Provence-Alpes-Côte d'Azur","Ensemble","Ensemble","Ensemble","Aides","380"
"Provence-Alpes-Côte d'Azur","Ensemble","Ensemble","Ensemble","Apprentis","249"
"Provence-Alpes-Côte d'Azur","Ensemble","Ensemble","Ensemble","Ordinaires","16962"
"Provence-Alpes-Côte d'Azur","Ensemble","Ensemble","Ensemble","Stagiaires","16"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Hommes","Ensemble","17438"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Femmes","Ensemble","18027"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Hommes","Ensemble","7256"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Femmes","Ensemble","6856"
"Bretagne","Ensemble","Ensemble","Hommes","Ensemble","15254"
"Bretagne","Ensemble","Ensemble","Femmes","Ensemble","12559"
"Centre-Val de Loire","Ensemble","Ensemble","Hommes","Ensemble","6512"
"Centre-Val de Loire","Ensemble","Ensemble","Femmes","Ensemble","7208"
"Corse","Ensemble","Ensemble","Hommes","Ensemble","539"
"Corse","Ensemble","Ensemble","Femmes","Ensemble","508"
"Grand-Est","Ensemble","Ensemble","Hommes","Ensemble","15505"
"Grand-Est","Ensemble","Ensemble","Femmes","Ensemble","13841"
"Guadeloupe","Ensemble","Ensemble","Hommes","Ensemble","399"
"Guadeloupe","Ensemble","Ensemble","Femmes","Ensemble","654"
"Guyane","Ensemble","Ensemble","Hommes","Ensemble","77"
"Guyane","Ensemble","Ensemble","Femmes","Ensemble","100"
"Hauts-de-France","Ensemble","Ensemble","Hommes","Ensemble","10584"
"Hauts-de-France","Ensemble","Ensemble","Femmes","Ensemble","9054"
"Ile-de-France","Ensemble","Ensemble","Hommes","Ensemble","16211"
"Ile-de-France","Ensemble","Ensemble","Femmes","Ensemble","18037"
"La Réunion","Ensemble","Ensemble","Hommes","Ensemble","1094"
"La Réunion","Ensemble","Ensemble","Femmes","Ensemble","1956"
"Martinique","Ensemble","Ensemble","Hommes","Ensemble","369"
"Martinique","Ensemble","Ensemble","Femmes","Ensemble","703"
"Normandie","Ensemble","Ensemble","Hommes","Ensemble","8845"
"Normandie","Ensemble","Ensemble","Femmes","Ensemble","6893"
"Nouvelle-Aquitaine","Ensemble","Ensemble","Hommes","Ensemble","18631"
"Nouvelle-Aquitaine","Ensemble","Ensemble","Femmes","Ensemble","16637"
"Occitanie","Ensemble","Ensemble","Hommes","Ensemble","14341"
"Occitanie","Ensemble","Ensemble","Femmes","Ensemble","14069"
"Pays de la Loire","Ensemble","Ensemble","Hommes","Ensemble","14364"
"Pays de la Loire","Ensemble","Ensemble","Femmes","Ensemble","11788"
"Provence-Alpes-Côte d'Azur","Ensemble","Ensemble","Hommes","Ensemble","8369"
"Provence-Alpes-Côte d'Azur","Ensemble","Ensemble","Femmes","Ensemble","9238"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Hommes","Aides","369"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Hommes","Apprentis","264"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Hommes","Ordinaires","16778"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Hommes","Stagiaires","27"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Femmes","Aides","397"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Femmes","Apprentis","191"
