"REG","typo_Mut","typo_Mut_det","sexe","type_emploi","nb_poste"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Ensemble","Ordinaires","s"
"France entière","Ensemble","Assurances","Ensemble","Aides","1557"
"France entière","Ensemble","Assurances","Ensemble","Apprentis","673"
"France entière","Ensemble","Assurances","Ensemble","Ordinaires","78464"
"France entière","Ensemble","Assurances","Ensemble","Stagiaires","56"
"France entière","Ensemble","Hebergement medico-social et social","Ensemble","Aides","528"
"France entière","Ensemble","Hebergement medico-social et social","Ensemble","Apprentis","s"
"France entière","Ensemble","Hebergement medico-social et social","Ensemble","Ordinaires","13676"
"France entière","Ensemble","Hebergement medico-social et social","Ensemble","Stagiaires","s"
"France entière","Ensemble","Action sociale sans hebergement","Femmes","Ensemble","5743"
"France entière","Ensemble","Action sociale sans hebergement","Hommes","Ensemble","1280"
"France entière","Ensemble","Activites de services financiers et d assurances","Femmes","Ensemble","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Hommes","Ensemble","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Femmes","Ensemble","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Hommes","Ensemble","s"
"France entière","Ensemble","Assurances","Femmes","Ensemble","55767"
"France entière","Ensemble","Assurances","Hommes","Ensemble","24983"
"France entière","Ensemble","Hebergement medico-social et social","Femmes","Ensemble","12223"
"France entière","Ensemble","Hebergement medico-social et social","Hommes","Ensemble","2068"
"France entière","Ensemble","Action sociale sans hebergement","Femmes","Aides","102"
"France entière","Ensemble","Action sociale sans hebergement","Femmes","Apprentis","s"
"France entière","Ensemble","Action sociale sans hebergement","Femmes","Ordinaires","5627"
"France entière","Ensemble","Action sociale sans hebergement","Femmes","Stagiaires","s"
"France entière","Ensemble","Action sociale sans hebergement","Hommes","Aides","13"
"France entière","Ensemble","Action sociale sans hebergement","Hommes","Apprentis","s"
"France entière","Ensemble","Action sociale sans hebergement","Hommes","Ordinaires","1261"
"France entière","Ensemble","Action sociale sans hebergement","Hommes","Stagiaires","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Femmes","Aides","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Femmes","Apprentis","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Femmes","Ordinaires","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Hommes","Aides","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Hommes","Apprentis","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Hommes","Ordinaires","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Femmes","Aides","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Femmes","Apprentis","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Femmes","Ordinaires","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Hommes","Aides","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Hommes","Apprentis","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Hommes","Ordinaires","s"
"France entière","Ensemble","Assurances","Femmes","Aides","999"
"France entière","Ensemble","Assurances","Femmes","Apprentis","407"
"France entière","Ensemble","Assurances","Femmes","Ordinaires","54319"
"France entière","Ensemble","Assurances","Femmes","Stagiaires","42"
"France entière","Ensemble","Assurances","Hommes","Aides","558"
"France entière","Ensemble","Assurances","Hommes","Apprentis","266"
"France entière","Ensemble","Assurances","Hommes","Ordinaires","24145"
"France entière","Ensemble","Assurances","Hommes","Stagiaires","14"
"France entière","Ensemble","Hebergement medico-social et social","Femmes","Aides","336"
"France entière","Ensemble","Hebergement medico-social et social","Femmes","Apprentis","s"
"France entière","Ensemble","Hebergement medico-social et social","Femmes","Ordinaires","11813"
"France entière","Ensemble","Hebergement medico-social et social","Femmes","Stagiaires","s"
"France entière","Ensemble","Hebergement medico-social et social","Hommes","Aides","192"
"France entière","Ensemble","Hebergement medico-social et social","Hommes","Apprentis","s"
"France entière","Ensemble","Hebergement medico-social et social","Hommes","Ordinaires","1863"
"France entière","Ensemble","Hebergement medico-social et social","Hommes","Stagiaires","s"
"France entière","ACTION SOCIALE (QB)","Ensemble","Ensemble","Ensemble","21314"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ensemble","Ensemble","82820"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Ensemble","Ensemble","6891"
"France entière","SANTE HUMAINE (QA)","Ensemble","Ensemble","Ensemble","21890"
"France entière","ACTION SOCIALE (QB)","Ensemble","Ensemble","Aides","643"
"France entière","ACTION SOCIALE (QB)","Ensemble","Ensemble","Apprentis","s"
"France entière","ACTION SOCIALE (QB)","Ensemble","Ensemble","Ordinaires","20564"
"France entière","ACTION SOCIALE (QB)","Ensemble","Ensemble","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ensemble","Aides","1596"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ensemble","Apprentis","698"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ensemble","Ordinaires","80470"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ensemble","Stagiaires","56"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Ensemble","Aides","140"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Ensemble","Apprentis","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Ensemble","Ordinaires","6642"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Ensemble","Stagiaires","s"
"France entière","SANTE HUMAINE (QA)","Ensemble","Ensemble","Aides","160"
"France entière","SANTE HUMAINE (QA)","Ensemble","Ensemble","Apprentis","s"
"France entière","SANTE HUMAINE (QA)","Ensemble","Ensemble","Ordinaires","21655"
"France entière","SANTE HUMAINE (QA)","Ensemble","Ensemble","Stagiaires","s"
"France entière","ACTION SOCIALE (QB)","Ensemble","Femmes","Ensemble","17966"
"France entière","ACTION SOCIALE (QB)","Ensemble","Hommes","Ensemble","3348"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Femmes","Ensemble","57173"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Hommes","Ensemble","25647"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Femmes","Ensemble","4677"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Hommes","Ensemble","2214"
"France entière","SANTE HUMAINE (QA)","Ensemble","Femmes","Ensemble","17819"
"France entière","SANTE HUMAINE (QA)","Ensemble","Hommes","Ensemble","4071"
"France entière","ACTION SOCIALE (QB)","Ensemble","Femmes","Aides","438"
"France entière","ACTION SOCIALE (QB)","Ensemble","Femmes","Apprentis","s"
"France entière","ACTION SOCIALE (QB)","Ensemble","Femmes","Ordinaires","17440"
"France entière","ACTION SOCIALE (QB)","Ensemble","Femmes","Stagiaires","s"
"France entière","ACTION SOCIALE (QB)","Ensemble","Hommes","Aides","205"
"France entière","ACTION SOCIALE (QB)","Ensemble","Hommes","Apprentis","s"
"France entière","ACTION SOCIALE (QB)","Ensemble","Hommes","Ordinaires","3124"
"France entière","ACTION SOCIALE (QB)","Ensemble","Hommes","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Femmes","Aides","1026"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Femmes","Apprentis","423"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Femmes","Ordinaires","55682"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Femmes","Stagiaires","42"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Hommes","Aides","570"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Hommes","Apprentis","275"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Hommes","Ordinaires","24788"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Hommes","Stagiaires","14"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Femmes","Aides","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Femmes","Apprentis","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Femmes","Ordinaires","4499"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Femmes","Stagiaires","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Hommes","Aides","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Hommes","Apprentis","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Hommes","Ordinaires","2143"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Hommes","Stagiaires","s"
"France entière","SANTE HUMAINE (QA)","Ensemble","Femmes","Aides","s"
"France entière","SANTE HUMAINE (QA)","Ensemble","Femmes","Apprentis","s"
"France entière","SANTE HUMAINE (QA)","Ensemble","Femmes","Ordinaires","17629"
"France entière","SANTE HUMAINE (QA)","Ensemble","Femmes","Stagiaires","s"
"France entière","SANTE HUMAINE (QA)","Ensemble","Hommes","Aides","s"
"France entière","SANTE HUMAINE (QA)","Ensemble","Hommes","Apprentis","s"
"France entière","SANTE HUMAINE (QA)","Ensemble","Hommes","Ordinaires","4026"
"France entière","SANTE HUMAINE (QA)","Ensemble","Hommes","Stagiaires","s"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Ensemble","Ensemble","7023"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Ensemble","Ensemble","14291"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Ensemble","Ensemble","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Ensemble","Ensemble","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Ensemble","Ensemble","80750"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Ensemble","Aides","115"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Ensemble","Apprentis","s"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Ensemble","Ordinaires","6888"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Ensemble","Stagiaires","s"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Ensemble","Aides","528"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Ensemble","Apprentis","s"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Ensemble","Ordinaires","13676"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Ensemble","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Ensemble","Aides","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Ensemble","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Ensemble","Ordinaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Ensemble","Aides","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Ensemble","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Ensemble","Ordinaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Ensemble","Aides","1557"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Ensemble","Apprentis","673"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Ensemble","Ordinaires","78464"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Ensemble","Stagiaires","56"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Femmes","Ensemble","5743"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Hommes","Ensemble","1280"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Femmes","Ensemble","12223"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Hommes","Ensemble","2068"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Femmes","Ensemble","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Hommes","Ensemble","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Femmes","Ensemble","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Hommes","Ensemble","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Femmes","Ensemble","55767"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Hommes","Ensemble","24983"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Femmes","Aides","102"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Femmes","Apprentis","s"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Femmes","Ordinaires","5627"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Femmes","Stagiaires","s"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Hommes","Aides","13"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Hommes","Apprentis","s"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Hommes","Ordinaires","1261"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Hommes","Stagiaires","s"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Femmes","Aides","336"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Femmes","Apprentis","s"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Femmes","Ordinaires","11813"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Femmes","Stagiaires","s"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Hommes","Aides","192"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Hommes","Apprentis","s"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Hommes","Ordinaires","1863"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Hommes","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Femmes","Aides","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Femmes","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Femmes","Ordinaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Hommes","Aides","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Hommes","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Hommes","Ordinaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Femmes","Aides","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Femmes","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Femmes","Ordinaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Hommes","Aides","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Hommes","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Hommes","Ordinaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Femmes","Aides","999"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Femmes","Apprentis","407"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Femmes","Ordinaires","54319"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Femmes","Stagiaires","42"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Hommes","Aides","558"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Hommes","Apprentis","266"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Hommes","Ordinaires","24145"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Hommes","Stagiaires","14"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Ensemble","Ensemble","18619"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Ensemble","Ensemble","8123"
"Bretagne","Ensemble","Ensemble","Ensemble","Ensemble","8501"
"Centre-Val de Loire","Ensemble","Ensemble","Ensemble","Ensemble","6540"
"Corse","Ensemble","Ensemble","Ensemble","Ensemble","564"
"Grand-Est","Ensemble","Ensemble","Ensemble","Ensemble","6867"
"Guadeloupe","Ensemble","Ensemble","Ensemble","Ensemble","s"
"Guyane","Ensemble","Ensemble","Ensemble","Ensemble","s"
"Hauts-de-France","Ensemble","Ensemble","Ensemble","Ensemble","5862"
"Ile-de-France","Ensemble","Ensemble","Ensemble","Ensemble","23373"
"La Réunion","Ensemble","Ensemble","Ensemble","Ensemble","687"
"Martinique","Ensemble","Ensemble","Ensemble","Ensemble","505"
"Normandie","Ensemble","Ensemble","Ensemble","Ensemble","5898"
"Nouvelle-Aquitaine","Ensemble","Ensemble","Ensemble","Ensemble","17805"
"Occitanie","Ensemble","Ensemble","Ensemble","Ensemble","12809"
"Pays de la Loire","Ensemble","Ensemble","Ensemble","Ensemble","8734"
"Provence-Alpes-Côte d'Azur","Ensemble","Ensemble","Ensemble","Ensemble","7698"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Ensemble","Aides","356"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Ensemble","Apprentis","87"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Ensemble","Ordinaires","18152"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Ensemble","Stagiaires","24"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Ensemble","Aides","158"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Ensemble","Apprentis","47"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Ensemble","Ordinaires","7905"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Ensemble","Stagiaires","13"
"Bretagne","Ensemble","Ensemble","Ensemble","Aides","162"
"Bretagne","Ensemble","Ensemble","Ensemble","Apprentis","23"
"Bretagne","Ensemble","Ensemble","Ensemble","Ordinaires","8310"
"Bretagne","Ensemble","Ensemble","Ensemble","Stagiaires","6"
"Centre-Val de Loire","Ensemble","Ensemble","Ensemble","Aides","109"
"Centre-Val de Loire","Ensemble","Ensemble","Ensemble","Apprentis","s"
"Centre-Val de Loire","Ensemble","Ensemble","Ensemble","Ordinaires","6354"
"Centre-Val de Loire","Ensemble","Ensemble","Ensemble","Stagiaires","s"
"Corse","Ensemble","Ensemble","Ensemble","Aides","s"
"Corse","Ensemble","Ensemble","Ensemble","Apprentis","s"
"Corse","Ensemble","Ensemble","Ensemble","Ordinaires","558"
"Grand-Est","Ensemble","Ensemble","Ensemble","Aides","99"
"Grand-Est","Ensemble","Ensemble","Ensemble","Apprentis","s"
"Grand-Est","Ensemble","Ensemble","Ensemble","Ordinaires","6711"
"Grand-Est","Ensemble","Ensemble","Ensemble","Stagiaires","s"
"Guadeloupe","Ensemble","Ensemble","Ensemble","Aides","s"
"Guadeloupe","Ensemble","Ensemble","Ensemble","Apprentis","s"
"Guadeloupe","Ensemble","Ensemble","Ensemble","Ordinaires","s"
"Guyane","Ensemble","Ensemble","Ensemble","Apprentis","s"
"Guyane","Ensemble","Ensemble","Ensemble","Ordinaires","s"
"Hauts-de-France","Ensemble","Ensemble","Ensemble","Aides","79"
"Hauts-de-France","Ensemble","Ensemble","Ensemble","Apprentis","s"
"Hauts-de-France","Ensemble","Ensemble","Ensemble","Ordinaires","5747"
"Hauts-de-France","Ensemble","Ensemble","Ensemble","Stagiaires","s"
"Ile-de-France","Ensemble","Ensemble","Ensemble","Aides","450"
"Ile-de-France","Ensemble","Ensemble","Ensemble","Apprentis","246"
"Ile-de-France","Ensemble","Ensemble","Ensemble","Ordinaires","22633"
"Ile-de-France","Ensemble","Ensemble","Ensemble","Stagiaires","44"
"La Réunion","Ensemble","Ensemble","Ensemble","Aides","16"
"La Réunion","Ensemble","Ensemble","Ensemble","Apprentis","s"
"La Réunion","Ensemble","Ensemble","Ensemble","Ordinaires","664"
"La Réunion","Ensemble","Ensemble","Ensemble","Stagiaires","s"
"Martinique","Ensemble","Ensemble","Ensemble","Aides","11"
"Martinique","Ensemble","Ensemble","Ensemble","Ordinaires","494"
"Normandie","Ensemble","Ensemble","Ensemble","Aides","109"
"Normandie","Ensemble","Ensemble","Ensemble","Apprentis","s"
"Normandie","Ensemble","Ensemble","Ensemble","Ordinaires","5760"
"Normandie","Ensemble","Ensemble","Ensemble","Stagiaires","s"
"Nouvelle-Aquitaine","Ensemble","Ensemble","Ensemble","Aides","359"
"Nouvelle-Aquitaine","Ensemble","Ensemble","Ensemble","Apprentis","140"
"Nouvelle-Aquitaine","Ensemble","Ensemble","Ensemble","Ordinaires","17286"
"Nouvelle-Aquitaine","Ensemble","Ensemble","Ensemble","Stagiaires","20"
"Occitanie","Ensemble","Ensemble","Ensemble","Aides","221"
"Occitanie","Ensemble","Ensemble","Ensemble","Apprentis","97"
"Occitanie","Ensemble","Ensemble","Ensemble","Ordinaires","12484"
"Occitanie","Ensemble","Ensemble","Ensemble","Stagiaires","7"
"Pays de la Loire","Ensemble","Ensemble","Ensemble","Aides","235"
"Pays de la Loire","Ensemble","Ensemble","Ensemble","Apprentis","56"
"Pays de la Loire","Ensemble","Ensemble","Ensemble","Ordinaires","8443"
"Provence-Alpes-Côte d'Azur","Ensemble","Ensemble","Ensemble","Aides","170"
"Provence-Alpes-Côte d'Azur","Ensemble","Ensemble","Ensemble","Apprentis","s"
"Provence-Alpes-Côte d'Azur","Ensemble","Ensemble","Ensemble","Ordinaires","7505"
"Provence-Alpes-Côte d'Azur","Ensemble","Ensemble","Ensemble","Stagiaires","s"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Femmes","Ensemble","14487"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Hommes","Ensemble","4132"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Femmes","Ensemble","6158"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","Hommes","Ensemble","1965"
"Bretagne","Ensemble","Ensemble","Femmes","Ensemble","6594"
"Bretagne","Ensemble","Ensemble","Hommes","Ensemble","1907"
"Centre-Val de Loire","Ensemble","Ensemble","Femmes","Ensemble","4830"
"Centre-Val de Loire","Ensemble","Ensemble","Hommes","Ensemble","1710"
"Corse","Ensemble","Ensemble","Femmes","Ensemble","433"
"Corse","Ensemble","Ensemble","Hommes","Ensemble","131"
"Grand-Est","Ensemble","Ensemble","Femmes","Ensemble","5067"
"Grand-Est","Ensemble","Ensemble","Hommes","Ensemble","1800"
"Guadeloupe","Ensemble","Ensemble","Femmes","Ensemble","s"
"Guadeloupe","Ensemble","Ensemble","Hommes","Ensemble","s"
"Guyane","Ensemble","Ensemble","Femmes","Ensemble","s"
"Guyane","Ensemble","Ensemble","Hommes","Ensemble","s"
"Hauts-de-France","Ensemble","Ensemble","Femmes","Ensemble","4207"
"Hauts-de-France","Ensemble","Ensemble","Hommes","Ensemble","1655"
"Ile-de-France","Ensemble","Ensemble","Femmes","Ensemble","15723"
"Ile-de-France","Ensemble","Ensemble","Hommes","Ensemble","7650"
"La Réunion","Ensemble","Ensemble","Femmes","Ensemble","458"
"La Réunion","Ensemble","Ensemble","Hommes","Ensemble","229"
"Martinique","Ensemble","Ensemble","Femmes","Ensemble","361"
"Martinique","Ensemble","Ensemble","Hommes","Ensemble","144"
"Normandie","Ensemble","Ensemble","Femmes","Ensemble","4240"
"Normandie","Ensemble","Ensemble","Hommes","Ensemble","1658"
"Nouvelle-Aquitaine","Ensemble","Ensemble","Femmes","Ensemble","12501"
"Nouvelle-Aquitaine","Ensemble","Ensemble","Hommes","Ensemble","5304"
"Occitanie","Ensemble","Ensemble","Femmes","Ensemble","9734"
"Occitanie","Ensemble","Ensemble","Hommes","Ensemble","3075"
"Pays de la Loire","Ensemble","Ensemble","Femmes","Ensemble","6850"
"Pays de la Loire","Ensemble","Ensemble","Hommes","Ensemble","1884"
"Provence-Alpes-Côte d'Azur","Ensemble","Ensemble","Femmes","Ensemble","5741"
"Provence-Alpes-Côte d'Azur","Ensemble","Ensemble","Hommes","Ensemble","1957"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Femmes","Aides","232"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","Femmes","Apprentis","s"
