"DEP","nom_jurid_coop","nb_etab","eff_31","eff_EQTP","rem_brut"
"1","Cooperative bancaire","51","562","563","25803736"
"1","Cooperative d artisans","5","9","8","233866"
"1","Cooperative de consommateurs","1","s","s","s"
"1","SCOP","12","99","87","2392980"
"2","Autre cooperative","38","524","535","23559108"
"2","Cooperative agricole","73","1095","1046","49550257"
"2","Cooperative bancaire","73","252","274","13036246"
"2","Cooperative de commerçants detaillants","1","s","s","s"
"2","SCOP","10","s","s","s"
"3","Autre cooperative","55","331","336","14254521"
"3","Cooperative agricole","28","363","349","13160785"
"3","Cooperative bancaire","52","428","421","19147835"
"3","Cooperative d artisans","3","s","s","s"
"3","Cooperative de commerçants detaillants","2","s","s","s"
"3","SCOP","9","60","59","2005499"
"4","Autre cooperative","14","70","60","2090523"
"4","Cooperative agricole","32","206","192","5872449"
"4","Cooperative bancaire","38","391","374","17095327"
"4","SCOP","10","94","84","2398836"
"5","Autre cooperative","14","85","83","3603763"
"5","Cooperative agricole","18","181","150","4579548"
"5","Cooperative bancaire","19","300","281","13110926"
"5","Cooperative de consommateurs","4","48","43","1125622"
"5","SCOP","28","152","142","3716945"
"6","Autre cooperative","20","188","157","4609008"
"6","Cooperative HLM","2","s","s","s"
"6","Cooperative agricole","11","32","30","1131892"
"6","Cooperative bancaire","191","3016","2993","145546375"
"6","Cooperative d artisans","5","26","25","703883"
"6","Cooperative de transport","1","s","s","s"
"6","SCOP","25","140","129","4877403"
"7","Autre cooperative","22","158","168","5857868"
"7","Cooperative agricole","38","237","273","9120196"
"7","Cooperative bancaire","83","658","639","28656013"
"7","Cooperative de consommateurs","5","6","6","111690"
"7","SCOP","26","251","202","5132500"
"8","Autre cooperative","22","542","527","20844209"
"8","Cooperative agricole","46","275","274","10009269"
"8","Cooperative bancaire","50","161","171","7540376"
"8","SCOP","8","48","54","1687327"
"9","Autre cooperative","15","172","153","3726386"
"9","Cooperative agricole","9","88","85","3240731"
"9","Cooperative bancaire","35","276","279","12199614"
"9","Cooperative d artisans","1","s","s","s"
"9","Cooperative de consommateurs","1","s","s","s"
"9","SCOP","9","118","115","3975904"
"10","Autre cooperative","6","s","s","s"
"10","Cooperative agricole","70","791","766","31706623"
"10","Cooperative bancaire","86","823","823","37201487"
"10","Cooperative d artisans","1","s","s","s"
"10","SCOP","7","262","265","8498641"
"11","Autre cooperative","17","107","143","3344800"
"11","Cooperative HLM","3","45","44","1589041"
"11","Cooperative agricole","98","1205","1322","47738716"
"11","Cooperative bancaire","77","662","650","29498030"
"11","Cooperative d artisans","8","53","51","1413141"
"11","Cooperative de commerçants detaillants","2","s","s","s"
"11","Cooperative de consommateurs","3","s","s","s"
"11","SCOP","10","101","104","2845617"
"12","Autre cooperative","12","102","101","3211304"
"12","Cooperative agricole","99","567","525","18016269"
"12","Cooperative bancaire","93","930","920","40891874"
"12","Cooperative d artisans","3","21","20","619434"
"12","Cooperative de commerçants detaillants","1","s","s","s"
"12","Cooperative de consommateurs","2","s","s","s"
"12","SCOP","4","20","22","656393"
"13","Autre cooperative","71","434","434","16929258"
"13","Cooperative HLM","2","s","s","s"
"13","Cooperative agricole","58","329","342","10874342"
"13","Cooperative bancaire","293","5023","4895","251647284"
"13","Cooperative d artisans","8","50","48","1992714"
"13","Cooperative de commerçants detaillants","1","s","s","s"
"13","Cooperative de consommateurs","5","22","19","725577"
"13","Cooperative de transport","1","s","s","s"
"13","Cooperative maritime","1","s","s","s"
"13","SCOP","98","716","570","20399377"
"14","Autre cooperative","56","1049","1012","36958858"
"14","Cooperative HLM","1","s","s","s"
"14","Cooperative agricole","69","1242","1208","48368442"
"14","Cooperative bancaire","140","1950","1994","94651832"
"14","Cooperative d artisans","2","s","s","s"
"14","Cooperative de commerçants detaillants","1","s","s","s"
"14","Cooperative de consommateurs","3","s","s","s"
"14","Cooperative maritime","5","56","51","1879241"
"14","SCOP","12","327","309","10960411"
"15","Autre cooperative","20","107","109","4755243"
"15","Cooperative agricole","26","369","348","12122136"
"15","Cooperative bancaire","47","362","368","17303083"
"15","Cooperative d artisans","1","s","s","s"
"15","SCOP","7","s","s","s"
"16","Autre cooperative","25","260","256","10584508"
"16","Cooperative agricole","32","452","475","16891422"
"16","Cooperative bancaire","68","979","953","46350456"
"16","Cooperative d artisans","3","s","s","s"
"16","Cooperative de commerçants detaillants","1","s","s","s"
"16","Cooperative de consommateurs","8","255","241","5658599"
"16","SCOP","14","272","236","7068987"
"17","Autre cooperative","51","439","407","16400739"
"17","Cooperative agricole","33","691","697","28317202"
"17","Cooperative bancaire","187","1790","1781","81566218"
"17","Cooperative d artisans","4","s","s","1180653"
"17","Cooperative de commerçants detaillants","3","40","39","s"
"17","Cooperative de consommateurs","34","1354","1328","35611317"
"17","Cooperative de transport","1","s","s","s"
"17","Cooperative maritime","9","51","47","1569647"
"17","SCOP","34","298","281","8688412"
"18","Autre cooperative","29","147","139","5817040"
"18","Cooperative HLM","1","s","s","s"
"18","Cooperative agricole","25","294","319","9471597"
"18","Cooperative bancaire","65","696","683","29773253"
"18","Cooperative d artisans","1","s","s","s"
"18","Cooperative de consommateurs","1","s","s","s"
"18","Cooperative de transport","2","s","s","s"
"18","SCOP","3","16","16","506067"
"19","Autre cooperative","29","184","176","7417891"
"19","Cooperative agricole","28","586","587","16435459"
"19","Cooperative bancaire","65","430","435","19936616"
"19","Cooperative d artisans","6","s","s","s"
"19","Cooperative de consommateurs","1","s","s","s"
"19","SCOP","11","38","44","1262730"
"21","Autre cooperative","92","1304","1252","62741223"
"21","Cooperative agricole","26","435","451","18380044"
"21","Cooperative bancaire","93","1162","1145","56971191"
"21","Cooperative d artisans","2","s","s","s"
"21","Cooperative de commerçants detaillants","1","s","s","s"
"21","Cooperative de transport","1","s","s","s"
"21","SCOP","14","143","139","4845265"
"22","Autre cooperative","56","1395","1336","55677608"
"22","Cooperative HLM","1","s","s","s"
"22","Cooperative agricole","128","3768","3649","124293631"
"22","Cooperative bancaire","142","1365","1334","57320411"
"22","Cooperative d artisans","12","86","77","2210395"
"22","Cooperative de consommateurs","4","66","64","1675810"
"22","Cooperative maritime","4","s","s","s"
"22","SCOP","24","434","388","11878122"
"23","Autre cooperative","14","83","78","2881732"
"23","Cooperative HLM","1","s","s","s"
"23","Cooperative agricole","22","134","131","4275468"
"23","Cooperative bancaire","42","218","223","9909633"
"23","SCOP","5","s","s","s"
"24","Autre cooperative","31","176","162","6354025"
"24","Cooperative agricole","47","700","665","21401723"
"24","Cooperative bancaire","98","882","868","39562190"
"24","Cooperative d artisans","2","s","s","s"
"24","Cooperative de consommateurs","2","s","s","s"
"24","SCOP","9","90","84","2410594"
"25","Autre cooperative","81","967","941","43103556"
"25","Cooperative agricole","101","997","900","35481629"
"25","Cooperative bancaire","80","1142","1125","51890358"
"25","Cooperative d artisans","4","s","s","s"
"25","Cooperative de consommateurs","2","s","s","s"
"25","SCOP","9","90","90","2816347"
"26","Autre cooperative","63","588","573","19306417"
"26","Cooperative HLM","1","s","s","s"
"26","Cooperative agricole","52","765","817","29066596"
"26","Cooperative bancaire","117","1290","1261","62104858"
"26","Cooperative d artisans","3","7","s","s"
"26","Cooperative de consommateurs","5","6","5","110570"
"26","Cooperative de transport","1","s","s","s"
"26","SCOP","26","394","353","11894767"
"27","Autre cooperative","19","123","121","4472582"
"27","Cooperative HLM","1","s","s","s"
"27","Cooperative agricole","54","336","360","13675528"
"27","Cooperative bancaire","123","959","971","45653878"
"27","Cooperative d artisans","2","s","s","s"
"27","Cooperative de consommateurs","3","40","37","974649"
"27","SCOP","2","s","s","s"
"28","Autre cooperative","35","184","182","7751525"
"28","Cooperative agricole","69","691","774","30430641"
"28","Cooperative bancaire","79","1026","994","45152633"
"28","Cooperative d artisans","2","s","s","s"
"28","Cooperative de transport","2","s","s","s"
"28","SCOP","12","162","158","4343996"
"29","Autre cooperative","124","3941","3753","183645364"
"29","Cooperative HLM","3","s","s","s"
"29","Cooperative agricole","127","1483","1649","61968347"
"29","Cooperative bancaire","183","1746","1732","79524205"
"29","Cooperative d artisans","7","127","s","4058907"
"29","Cooperative de consommateurs","10","131","123","s"
"29","Cooperative maritime","7","s","123","4286135"
"29","SCOP","70","850","797","25661583"
"2A","Autre cooperative","3","11","10","334625"
"2A","Cooperative agricole","3","19","18","775927"
"2A","Cooperative bancaire","20","409","403","21989439"
"2A","SCOP","4","34","21","610361"
"2B","Autre cooperative","8","s","s","1167257"
"2B","Cooperative HLM","1","s","s","s"
"2B","Cooperative agricole","12","207","206","7392277"
"2B","Cooperative bancaire","25","224","219","10915083"
"2B","SCOP","8","72","60","s"
"30","Autre cooperative","18","72","69","2436973"
"30","Cooperative agricole","98","749","838","29518753"
"30","Cooperative bancaire","147","1654","1617","74463846"
"30","Cooperative d artisans","1","s","s","s"
"30","Cooperative de consommateurs","7","28","30","760222"
"30","Cooperative de transport","2","s","s","s"
"30","SCOP","11","134","90","2235921"
"31","Autre cooperative","108","870","794","25750023"
"31","Cooperative HLM","4","25","25","988113"
"31","Cooperative agricole","59","333","334","12491306"
"31","Cooperative bancaire","261","3803","3796","181114915"
"31","Cooperative d artisans","6","s","s","s"
"31","Cooperative de commerçants detaillants","1","s","s","s"
"31","Cooperative de consommateurs","5","25","26","735978"
"31","SCOP","48","603","525","16427233"
"32","Autre cooperative","13","s","s","s"
"32","Cooperative agricole","45","914","902","32901048"
"32","Cooperative bancaire","56","545","553","25111612"
"32","Cooperative d artisans","2","s","s","s"
"32","SCOP","3","151","133","3438576"
"33","Autre cooperative","219","3399","3295","160149653"
"33","Cooperative HLM","3","s","s","s"
"33","Cooperative agricole","77","868","884","33553032"
"33","Cooperative bancaire","92","1619","1624","83754618"
"33","Cooperative d artisans","8","s","s","s"
"33","Cooperative de commerçants detaillants","4","124","114","3998399"
"33","SCOP","25","297","256","8351955"
"34","Autre cooperative","49","710","709","27622018"
"34","Cooperative agricole","89","991","1047","38035468"
"34","Cooperative bancaire","218","2718","2662","132050035"
"34","Cooperative d artisans","5","21","20","651783"
"34","Cooperative de commerçants detaillants","1","s","s","s"
"34","Cooperative de consommateurs","26","49","55","1383035"
"34","Cooperative de transport","1","s","s","s"
"34","Cooperative maritime","3","6","6","223759"
"34","SCOP","26","362","311","9731880"
"35","Autre cooperative","93","2261","2207","97789382"
"35","Cooperative HLM","4","39","34","1621867"
"35","Cooperative agricole","142","2512","2435","87614061"
"35","Cooperative bancaire","173","1971","1948","90140198"
"35","Cooperative d artisans","6","150","140","4836924"
"35","Cooperative de consommateurs","12","233","223","5898602"
"35","Cooperative de transport","1","s","s","s"
"35","Cooperative maritime","5","s","s","s"
"35","SCOP","40","529","534","16848389"
"36","Autre cooperative","23","132","138","5654398"
"36","Cooperative agricole","23","174","191","6048193"
"36","Cooperative bancaire","16","470","463","20332147"
"36","Cooperative d artisans","3","s","s","s"
"36","Cooperative de consommateurs","1","s","s","s"
"36","SCOP","10","112","112","3121842"
"37","Autre cooperative","80","654","651","28916105"
"37","Cooperative agricole","59","509","498","15604387"
"37","Cooperative bancaire","140","1728","1690","78859458"
"37","Cooperative d artisans","5","s","s","s"
"37","Cooperative de consommateurs","5","105","92","2438431"
"37","Cooperative de transport","2","s","s","s"
"37","SCOP","12","132","123","3556966"
"38","Autre cooperative","207","2707","2642","110750698"
"38","Cooperative HLM","2","s","s","s"
"38","Cooperative agricole","48","460","456","14684255"
"38","Cooperative bancaire","72","1573","1521","72409874"
"38","Cooperative d artisans","6","17","17","521013"
"38","Cooperative de commerçants detaillants","2","s","s","s"
"38","Cooperative de consommateurs","2","s","s","s"
"38","SCOP","55","467","413","13709128"
"39","Autre cooperative","58","304","294","12754668"
"39","Cooperative agricole","64","496","436","15320953"
"39","Cooperative bancaire","36","380","370","16886437"
"39","Cooperative d artisans","3","68","62","1915844"
"39","SCOP","8","158","153","4362044"
"40","Autre cooperative","89","1379","1351","55217092"
"40","Cooperative agricole","63","714","777","25820923"
"40","Cooperative bancaire","34","231","231","10445800"
"40","Cooperative d artisans","7","31","29","s"
"40","Cooperative de commerçants detaillants","2","s","s","s"
"40","Cooperative maritime","1","s","s","s"
"40","SCOP","22","292","297","10357317"
"41","Autre cooperative","36","296","263","9885223"
"41","Cooperative agricole","32","228","265","8564111"
"41","Cooperative bancaire","34","900","880","40739719"
"41","Cooperative d artisans","1","s","s","s"
"41","Cooperative de commerçants detaillants","1","s","s","s"
"41","Cooperative de consommateurs","2","s","s","s"
"41","Cooperative de transport","1","s","s","s"
"41","SCOP","6","61","59","1867618"
"42","Autre cooperative","78","824","769","30827271"
"42","Cooperative agricole","50","741","709","22195329"
"42","Cooperative bancaire","79","1741","1717","78721994"
"42","Cooperative d artisans","4","13","13","435271"
"42","Cooperative de consommateurs","2","s","s","s"
"42","Cooperative de transport","1","s","s","s"
"42","SCOP","15","229","226","8296333"
"43","Autre cooperative","49","338","333","12784659"
"43","Cooperative agricole","27","212","202","6444368"
"43","Cooperative bancaire","3","s","s","s"
"43","Cooperative d artisans","3","19","20","565938"
"43","Cooperative de transport","1","s","s","s"
"43","SCOP","5","74","61","2163832"
"44","Autre cooperative","127","2300","2180","99566739"
"44","Cooperative HLM","1","s","s","s"
"44","Cooperative agricole","138","1411","1408","60769025"
"44","Cooperative bancaire","253","3659","3673","173777435"
"44","Cooperative d artisans","21","279","257","7720232"
"44","Cooperative de commerçants detaillants","3","s","s","s"
"44","Cooperative de consommateurs","2","s","s","s"
"44","Cooperative maritime","5","25","21","1072465"
"44","SCOP","64","1361","1022","30130779"
"45","Autre cooperative","62","675","682","32309238"
"45","Cooperative agricole","54","1361","1394","61467418"
"45","Cooperative bancaire","127","2321","2253","106866679"
"45","Cooperative d artisans","3","s","s","s"
"45","Cooperative de consommateurs","2","s","s","s"
"45","SCOP","15","287","303","7703189"
"46","Autre cooperative","5","s","s","s"
"46","Cooperative agricole","48","620","585","18427630"
"46","Cooperative bancaire","65","664","672","29489925"
"46","SCOP","2","s","s","s"
"47","Autre cooperative","65","700","683","31450185"
"47","Cooperative agricole","90","954","1032","34603436"
"47","Cooperative bancaire","31","219","218","9689015"
"47","Cooperative d artisans","2","s","s","s"
"47","Cooperative de consommateurs","1","s","s","s"
"47","SCOP","9","48","45","1191355"
"48","Autre cooperative","4","16","14","343637"
"48","Cooperative agricole","14","72","64","1910566"
"48","Cooperative bancaire","24","187","184","8234872"
"48","Cooperative de commerçants detaillants","1","s","s","s"
"48","SCOP","2","s","s","s"
"49","Autre cooperative","59","681","633","24749746"
"49","Cooperative agricole","115","2054","2035","66752460"
"49","Cooperative bancaire","201","1926","1954","92356007"
"49","Cooperative d artisans","6","147","143","4237414"
"49","Cooperative de consommateurs","4","80","77","1955397"
"49","SCOP","31","749","685","26504528"
"50","Autre cooperative","30","221","219","7783277"
"50","Cooperative HLM","1","s","s","s"
"50","Cooperative agricole","87","1328","1298","43981029"
"50","Cooperative bancaire","101","1064","1066","47913163"
"50","Cooperative d artisans","3","81","61","1652163"
"50","Cooperative de consommateurs","1","s","s","s"
"50","Cooperative de transport","2","s","s","s"
"50","Cooperative maritime","9","60","56","1661932"
"50","SCOP","8","s","s","s"
"51","Autre cooperative","40","1844","1792","81671912"
"51","Cooperative agricole","243","3154","3129","143920661"
"51","Cooperative bancaire","89","609","614","31433088"
"51","Cooperative d artisans","5","26","25","748838"
"51","Cooperative de commerçants detaillants","1","s","s","s"
"51","Cooperative de transport","1","s","s","s"
"51","SCOP","11","153","139","4799597"
"52","Autre cooperative","10","57","52","1481008"
"52","Cooperative agricole","16","130","127","4767452"
"52","Cooperative bancaire","51","306","305","13584632"
"52","SCOP","6","107","104","3067899"
"53","Autre cooperative","20","144","139","5352738"
"53","Cooperative agricole","66","544","546","18278407"
"53","Cooperative bancaire","82","1204","1199","56977021"
"53","Cooperative d artisans","4","s","s","s"
"53","Cooperative de consommateurs","4","62","53","1398578"
"53","Cooperative de transport","1","s","s","s"
"53","SCOP","4","189","145","3928378"
"54","Autre cooperative","25","248","243","8336599"
"54","Cooperative HLM","1","s","s","s"
"54","Cooperative agricole","43","480","444","17763959"
"54","Cooperative bancaire","106","1422","1417","63763282"
"54","Cooperative d artisans","4","30","25","823865"
"54","Cooperative de consommateurs","1","s","s","s"
"54","SCOP","10","45","42","1321286"
"55","Autre cooperative","9","s","s","s"
"55","Cooperative agricole","22","472","458","19196814"
"55","Cooperative bancaire","26","384","379","16030087"
"55","SCOP","3","s","s","s"
"56","Autre cooperative","56","1335","1267","56241752"
"56","Cooperative HLM","2","s","s","s"
"56","Cooperative agricole","92","908","975","34435431"
"56","Cooperative bancaire","154","1421","1414","64595719"
"56","Cooperative d artisans","5","179","177","5489175"
"56","Cooperative de consommateurs","8","179","168","4729237"
"56","Cooperative de transport","1","s","s","s"
"56","Cooperative maritime","1","s","s","s"
"56","SCOP","46","424","404","12333110"
"57","Autre cooperative","16","154","155","4243436"
"57","Cooperative HLM","1","s","s","s"
"57","Cooperative agricole","17","324","321","12340085"
"57","Cooperative bancaire","251","3391","3341","163857450"
"57","Cooperative d artisans","1","s","s","s"
"57","Cooperative de consommateurs","1","s","s","s"
"57","SCOP","11","208","241","7156715"
"58","Autre cooperative","43","261","259","11511552"
"58","Cooperative agricole","24","189","191","5987829"
"58","Cooperative bancaire","65","457","435","18654582"
"58","Cooperative d artisans","1","s","s","s"
"58","Cooperative de transport","1","s","s","s"
"58","SCOP","3","106","91","s"
"59","Autre cooperative","50","573","580","19269915"
"59","Cooperative HLM","5","24","18","620033"
"59","Cooperative agricole","83","1294","1251","61381757"
"59","Cooperative bancaire","518","4899","4792","235712285"
"59","Cooperative d artisans","7","18","18","515446"
"59","Cooperative de transport","1","s","s","s"
"59","Cooperative maritime","1","s","s","s"
"59","SCOP","56","705","613","22311408"
"60","Autre cooperative","11","288","284","10101866"
"60","Cooperative agricole","24","670","668","29221853"
"60","Cooperative bancaire","114","1163","1141","51760732"
"60","Cooperative de commerçants detaillants","2","s","s","s"
"60","SCOP","7","s","s","s"
"61","Autre cooperative","16","118","108","3719169"
"61","Cooperative agricole","89","305","311","10603125"
"61","Cooperative bancaire","58","604","606","27399134"
"61","Cooperative d artisans","2","s","s","s"
"61","Cooperative de consommateurs","1","s","s","s"
"61","SCOP","7","96","90","2477045"
"62","Autre cooperative","17","123","111","3651008"
"62","Cooperative HLM","1","s","s","s"
"62","Cooperative agricole","102","1153","1046","44455912"
"62","Cooperative bancaire","325","2635","2590","120999200"
"62","Cooperative d artisans","4","34","31","1013106"
"62","Cooperative de commerçants detaillants","1","s","s","s"
"62","Cooperative maritime","4","48","44","1536911"
"62","SCOP","43","697","703","17635436"
"63","Autre cooperative","117","1126","1132","51307908"
"63","Cooperative agricole","30","937","905","32728907"
"63","Cooperative bancaire","79","1325","1312","64993402"
"63","Cooperative d artisans","4","67","63","2112350"
"63","Cooperative de commerçants detaillants","1","s","s","s"
"63","Cooperative de transport","1","s","s","s"
"63","SCOP","21","117","116","3646897"
"64","Autre cooperative","75","554","544","22788098"
"64","Cooperative agricole","84","1004","993","34850009"
"64","Cooperative bancaire","105","1415","1374","65938332"
"64","Cooperative d artisans","7","55","53","1824899"
"64","Cooperative de consommateurs","1","s","s","s"
"64","Cooperative maritime","2","s","s","s"
"64","SCOP","27","503","490","16890309"
"65","Autre cooperative","13","83","65","1705734"
"65","Cooperative HLM","1","s","s","s"
"65","Cooperative agricole","29","170","156","4506341"
"65","Cooperative bancaire","50","577","576","25942311"
"65","Cooperative d artisans","1","s","s","s"
"65","Cooperative de consommateurs","1","s","s","s"
"65","SCOP","4","18","17","501457"
"66","Autre cooperative","22","305","328","8415724"
"66","Cooperative HLM","1","s","s","s"
"66","Cooperative agricole","50","679","802","26285104"
"66","Cooperative bancaire","98","1621","1602","74214582"
"66","Cooperative d artisans","2","s","s","s"
"66","Cooperative maritime","1","s","s","s"
"66","SCOP","5","53","50","1398942"
"67","Autre cooperative","116","537","688","22638037"
"67","Cooperative agricole","60","867","801","30714329"
"67","Cooperative bancaire","405","4495","4251","225464752"
"67","Cooperative d artisans","2","s","s","s"
"67","Cooperative de consommateurs","3","s","s","s"
"67","SCOP","25","616","538","18118184"
"68","Autre cooperative","57","904","967","35731802"
"68","Cooperative agricole","25","682","663","26611008"
"68","Cooperative bancaire","289","2174","2027","98778057"
"68","Cooperative d artisans","1","s","s","s"
"68","Cooperative de commerçants detaillants","1","s","s","s"
"68","Cooperative de consommateurs","1","s","s","s"
"68","Cooperative de transport","1","s","s","s"
"68","SCOP","10","336","312","9577964"
"69","Autre cooperative","348","4140","3978","190745665"
"69","Cooperative HLM","2","s","s","s"
"69","Cooperative agricole","43","411","435","15490304"
"69","Cooperative bancaire","101","1719","1715","83698818"
"69","Cooperative d artisans","3","56","50","1814438"
"69","Cooperative de consommateurs","2","s","s","s"
"69","Cooperative de transport","1","s","s","s"
"69","SCOP","61","695","666","24993423"
"70","Autre cooperative","29","180","179","7345896"
"70","Cooperative agricole","21","319","316","12237986"
"70","Cooperative bancaire","29","344","340","15185305"
"70","SCOP","4","6","8","194836"
"71","Autre cooperative","92","593","586","24084863"
"71","Cooperative agricole","82","652","665","25974478"
"71","Cooperative bancaire","58","666","663","30990373"
"71","Cooperative d artisans","4","12","11","335656"
"71","Cooperative de consommateurs","1","s","s","s"
"71","Cooperative de transport","1","s","s","s"
"71","SCOP","13","163","162","5726334"
"72","Autre cooperative","25","199","194","6655702"
"72","Cooperative agricole","89","355","363","13602786"
