"REG","ESS_simp","typo_B","typo_B_det","taille_etab","nb_etab","nb_ent","eff_31","eff_EQTP","rem_brut"
"France entière","ESS + Hors ESS","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Tous établissements","205574","179988","983360","948761","24609901129"
"France entière","ESS + Hors ESS","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Tous établissements","397988","348552","4486974","4338837","168101273667"
"France entière","ESS + Hors ESS","NON-CLASSES (94.99Z)","Ensemble","Tous établissements","44427","39385","169812","147886","4630499223"
"France entière","ESS + Hors ESS","SANTE HUMAINE (QA)","Ensemble","Tous établissements","83972","71754","1604197","1465033","50083133228"
"France entière","ESS + Hors ESS","SERVICES DIVERS","Ensemble","Tous établissements","337651","267898","5276861","5004428","182989854348"
"France entière","ESS + Hors ESS","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Tous établissements","349576","293168","2682886","2468966","101285858876"
"France entière","ESS + Hors ESS","SPORTS ET LOISIRS (RZ2)","Ensemble","Tous établissements","48842","45166","155203","137287","4926336885"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Ensemble","1 - Micro entreprise","22578","13228","81729","79623","2112787126"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Ensemble","2 - Petites entreprises","21533","10621","518771","432645","11599040360"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Ensemble","3 - Moyennes entreprises","9704","4781","803704","698869","17951346916"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Ensemble","4 - Grandes entreprises","325","186","145133","125137","3354238534"
"France entière","ESS + Hors ESS","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","1 - Micro entreprise","89195","58068","229729","223732","11100943365"
"France entière","ESS + Hors ESS","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","2 - Petites entreprises","9442","3428","170373","160992","9036021085"
"France entière","ESS + Hors ESS","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","3 - Moyennes entreprises","1468","478","156228","149718","8939192380"
"France entière","ESS + Hors ESS","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","4 - Grandes entreprises","459","158","293194","282896","18582633088"
"France entière","ESS + Hors ESS","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","1 - Micro entreprise","96951","95224","150242","153233","3622052148"
"France entière","ESS + Hors ESS","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","2 - Petites entreprises","3346","3052","60015","60950","1743902877"
"France entière","ESS + Hors ESS","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","3 - Moyennes entreprises","294","183","26720","27586","897761861"
"France entière","ESS + Hors ESS","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","4 - Grandes entreprises","14","9","4958","4835","180882845"
"France entière","ESS + Hors ESS","ARTS SPECTACLES (RZ1)","Ensemble","1 - Micro entreprise","27166","24933","26456","33766","1198138134"
"France entière","ESS + Hors ESS","ARTS SPECTACLES (RZ1)","Ensemble","2 - Petites entreprises","1774","1380","36450","36828","1345885240"
"France entière","ESS + Hors ESS","ARTS SPECTACLES (RZ1)","Ensemble","3 - Moyennes entreprises","339","270","30805","30421","1146505993"
"France entière","ESS + Hors ESS","ARTS SPECTACLES (RZ1)","Ensemble","4 - Grandes entreprises","37","28","21579","20776","885961015"
"France entière","ESS + Hors ESS","COMMERCE (GZ)","Ensemble","1 - Micro entreprise","387541","288119","1040936","987646","28817067754"
"France entière","ESS + Hors ESS","COMMERCE (GZ)","Ensemble","2 - Petites entreprises","52880","31341","1006495","925331","31534864021"
"France entière","ESS + Hors ESS","COMMERCE (GZ)","Ensemble","3 - Moyennes entreprises","7510","4063","712031","660457","23947850459"
"France entière","ESS + Hors ESS","COMMERCE (GZ)","Ensemble","4 - Grandes entreprises","788","337","332378","298184","12786832963"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Ensemble","1 - Micro entreprise","68415","30680","226511","214557","7143856078"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Ensemble","2 - Petites entreprises","24168","8311","489208","439552","15309898483"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Ensemble","3 - Moyennes entreprises","8013","6763","710755","650294","24837192577"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Ensemble","4 - Grandes entreprises","459","299","275945","238145","8382731653"
"France entière","ESS + Hors ESS","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","1 - Micro entreprise","181496","161918","423844","441511","10641194706"
"France entière","ESS + Hors ESS","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","2 - Petites entreprises","22453","16962","409088","371161","9839724345"
"France entière","ESS + Hors ESS","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","3 - Moyennes entreprises","1556","1066","120323","106960","3075420448"
"France entière","ESS + Hors ESS","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","4 - Grandes entreprises","69","42","30105","29129","1053561630"
"France entière","ESS + Hors ESS","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","1 - Micro entreprise","320994","290118","828543","823651","23416944222"
"France entière","ESS + Hors ESS","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","2 - Petites entreprises","62448","49534","1255123","1188111","40633926278"
"France entière","ESS + Hors ESS","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","3 - Moyennes entreprises","12580","7800","1269178","1225973","48785663448"
"France entière","ESS + Hors ESS","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","4 - Grandes entreprises","1966","1100","1134130","1101102","55264739719"
"France entière","ESS + Hors ESS","NON-CLASSES (94.99Z)","Ensemble","1 - Micro entreprise","40585","36285","68636","61140","1915104958"
"France entière","ESS + Hors ESS","NON-CLASSES (94.99Z)","Ensemble","2 - Petites entreprises","3484","2838","63650","53382","1653387417"
"France entière","ESS + Hors ESS","NON-CLASSES (94.99Z)","Ensemble","3 - Moyennes entreprises","338","253","29329","25256","786272333"
"France entière","ESS + Hors ESS","NON-CLASSES (94.99Z)","Ensemble","4 - Grandes entreprises","20","9","8197","8108","275734515"
"France entière","ESS + Hors ESS","SANTE HUMAINE (QA)","Ensemble","1 - Micro entreprise","73485","65964","111090","98193","2952980207"
"France entière","ESS + Hors ESS","SANTE HUMAINE (QA)","Ensemble","2 - Petites entreprises","7317","3853","143321","125504","4242261259"
"France entière","ESS + Hors ESS","SANTE HUMAINE (QA)","Ensemble","3 - Moyennes entreprises","2140","1210","239722","216601","7278806859"
"France entière","ESS + Hors ESS","SANTE HUMAINE (QA)","Ensemble","4 - Grandes entreprises","1030","727","1110064","1024734","35609084903"
"France entière","ESS + Hors ESS","SERVICES DIVERS","Ensemble","1 - Micro entreprise","272688","229673","608452","586659","18379877588"
"France entière","ESS + Hors ESS","SERVICES DIVERS","Ensemble","2 - Petites entreprises","48148","28687","1022401","951914","33462559289"
"France entière","ESS + Hors ESS","SERVICES DIVERS","Ensemble","3 - Moyennes entreprises","13858","7735","1427724","1350536","50677625692"
"France entière","ESS + Hors ESS","SERVICES DIVERS","Ensemble","4 - Grandes entreprises","2957","1803","2218284","2115320","80469791779"
"France entière","ESS + Hors ESS","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","1 - Micro entreprise","304786","262374","611297","600021","21468647010"
"France entière","ESS + Hors ESS","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","2 - Petites entreprises","36498","26193","723538","653648","26150918744"
"France entière","ESS + Hors ESS","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","3 - Moyennes entreprises","7113","4034","715823","640745","26334119046"
"France entière","ESS + Hors ESS","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","4 - Grandes entreprises","1179","567","632228","574552","27332174076"
"France entière","ESS + Hors ESS","SPORTS ET LOISIRS (RZ2)","Ensemble","1 - Micro entreprise","46044","42917","67436","59744","1545819429"
"France entière","ESS + Hors ESS","SPORTS ET LOISIRS (RZ2)","Ensemble","2 - Petites entreprises","2583","2073","47867","40975","1257591023"
"France entière","ESS + Hors ESS","SPORTS ET LOISIRS (RZ2)","Ensemble","3 - Moyennes entreprises","198","165","17128","14912","1323368110"
"France entière","ESS + Hors ESS","SPORTS ET LOISIRS (RZ2)","Ensemble","4 - Grandes entreprises","17","11","22772","21655","799558323"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Accueil des jeunes enfants","Tous établissements","9497","5233","94162","82258","2007234789"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide a domicile","Tous établissements","8692","6704","246666","187020","4158440506"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide par le travail","Tous établissements","2239","513","162442","142371","2485180228"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Autres actions sociales","Tous établissements","16404","9628","317730","274374","7894750915"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Hebergement medico-social et social","Tous établissements","17308","6738","728337","650252","18471806498"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Autres enseignements","Tous établissements","14339","12922","122794","92294","2816711876"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Enseignement primaire/secondaire/supérieur","Tous établissements","65118","16698","1450175","1336389","49021297213"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Formation d adulte","Tous établissements","21598","16433","129450","113864","3835669702"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Accueil des jeunes enfants","1 - Micro entreprise","6233","3667","26987","24336","553232043"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Accueil des jeunes enfants","2 - Petites entreprises","3168","1520","55442","47947","1174064573"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Accueil des jeunes enfants","3 - Moyennes entreprises","87","46","7292","6582","178773624"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Accueil des jeunes enfants","4 - Grandes entreprises","9","0","4441","3393","101164549"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide a domicile","1 - Micro entreprise","2935","2278","8887","10449","237815910"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide a domicile","2 - Petites entreprises","4663","3637","111523","80234","1778197931"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide a domicile","3 - Moyennes entreprises","1016","726","87703","66407","1474083840"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide a domicile","4 - Grandes entreprises","78","63","38553","29929","668342825"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide par le travail","1 - Micro entreprise","312","112","1098","1390","35970826"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide par le travail","2 - Petites entreprises","719","182","18853","16946","394243807"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide par le travail","3 - Moyennes entreprises","1155","206","125410","109229","1809119160"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Aide par le travail","4 - Grandes entreprises","53","13","17081","14806","245846435"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Autres actions sociales","1 - Micro entreprise","9397","5902","29564","27677","823214745"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Autres actions sociales","2 - Petites entreprises","5649","2859","120978","100699","2935415903"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Autres actions sociales","3 - Moyennes entreprises","1248","804","114024","98289","2677334003"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Autres actions sociales","4 - Grandes entreprises","110","63","53164","47709","1458786264"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Hebergement medico-social et social","1 - Micro entreprise","3701","1269","15193","15772","462553602"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Hebergement medico-social et social","2 - Petites entreprises","7334","2423","211975","186818","5317118146"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Hebergement medico-social et social","3 - Moyennes entreprises","6198","2999","469275","418362","11812036289"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Hebergement medico-social et social","4 - Grandes entreprises","75","47","31894","29300","880098461"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Autres enseignements","1 - Micro entreprise","12863","11822","20146","17061","481899105"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Autres enseignements","2 - Petites entreprises","1155","890","22722","17687","620619733"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Autres enseignements","3 - Moyennes entreprises","241","159","23150","18814","703842324"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Autres enseignements","4 - Grandes entreprises","80","51","56776","38733","1010350714"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Enseignement primaire/secondaire/supérieur","1 - Micro entreprise","36721","3857","163966","156869","5438991972"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Enseignement primaire/secondaire/supérieur","2 - Petites entreprises","20623","6125","419193","381098","13240822495"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Enseignement primaire/secondaire/supérieur","3 - Moyennes entreprises","7411","6473","655047","604567","23172849495"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Enseignement primaire/secondaire/supérieur","4 - Grandes entreprises","363","243","211969","193855","7168633251"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Formation d adulte","1 - Micro entreprise","18831","15001","42399","40627","1222965001"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Formation d adulte","2 - Petites entreprises","2390","1296","47293","40767","1448456255"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Formation d adulte","3 - Moyennes entreprises","361","131","32558","26914","960500758"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Formation d adulte","4 - Grandes entreprises","16","5","7200","5556","203747688"
"France entière","ESS","Ensemble des secteurs d'activité","Ensemble","Tous établissements","212718","154679","2320553","2059266","66697556102"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Ensemble","Tous établissements","1948980","1612740","14938337","14129372","536290114266"
"France entière","Public","Ensemble des secteurs d'activité","Ensemble","Tous établissements","140731","64432","5650748","5258733","180096773943"
"France entière","ESS","Ensemble des secteurs d'activité","Ensemble","1 - Micro entreprise","164692","128810","337201","324929","10721621080"
"France entière","ESS","Ensemble des secteurs d'activité","Ensemble","2 - Petites entreprises","37483","20620","802320","688882","21866911390"
"France entière","ESS","Ensemble des secteurs d'activité","Ensemble","3 - Moyennes entreprises","9923","4898","875185","766728","23011286098"
"France entière","ESS","Ensemble des secteurs d'activité","Ensemble","4 - Grandes entreprises","620","351","305847","278726","11097737534"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Ensemble","1 - Micro entreprise","1684597","1433310","3833327","3759220","114628472949"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Ensemble","2 - Petites entreprises","220089","154117","4326724","3993654","140902138256"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Ensemble","3 - Moyennes entreprises","38865","22571","3793936","3549409","141388141153"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Ensemble","4 - Grandes entreprises","5429","2742","2984350","2827089","139371361908"
"France entière","Public","Ensemble des secteurs d'activité","Ensemble","1 - Micro entreprise","82635","37381","304373","279326","8965318696"
"France entière","Public","Ensemble des secteurs d'activité","Ensemble","2 - Petites entreprises","38502","13536","817256","758457","25040930775"
"France entière","Public","Ensemble des secteurs d'activité","Ensemble","3 - Moyennes entreprises","16323","11332","1590349","1482192","51581698871"
"France entière","Public","Ensemble des secteurs d'activité","Ensemble","4 - Grandes entreprises","3271","2183","2938770","2738758","94508825601"
"France entière","ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Tous établissements","4069","2622","42387","36190","888877742"
"France entière","ESS","Ensemble des secteurs d'activité","Aide a domicile","Tous établissements","4382","3581","157396","119638","2716092520"
"France entière","ESS","Ensemble des secteurs d'activité","Aide par le travail","Tous établissements","2050","433","151308","134598","2287425311"
"France entière","ESS","Ensemble des secteurs d'activité","Autres actions sociales","Tous établissements","11790","6169","188846","158779","4579911516"
"France entière","ESS","Ensemble des secteurs d'activité","Autres enseignements","Tous établissements","7683","7117","34376","27064","900132343"
"France entière","ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Tous établissements","9138","6454","250824","220002","7738746881"
"France entière","ESS","Ensemble des secteurs d'activité","Formation d adulte","Tous établissements","3567","2335","32359","28364","963869566"
"France entière","ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Tous établissements","11268","3193","405635","357148","10217314178"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Tous établissements","4695","2546","35449","30978","694807447"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Tous établissements","3928","3026","75082","55721","1176080889"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Tous établissements","83","48","2664","2471","56492471"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Tous établissements","497","349","6164","5519","173209245"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Tous établissements","6224","5652","20403","17447","618936343"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Tous établissements","1160","869","19863","15606","637934825"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Tous établissements","17277","14044","61439","55442","1831774828"
"France entière","Privé Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Tous établissements","2397","1681","104850","93849","2639720742"
"France entière","Public","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Tous établissements","733","65","16326","15090","423549600"
"France entière","Public","Ensemble des secteurs d'activité","Aide a domicile","Tous établissements","382","97","14188","11660","266267097"
"France entière","Public","Ensemble des secteurs d'activité","Aide par le travail","Tous établissements","106","32","8470","5302","141262446"
"France entière","Public","Ensemble des secteurs d'activité","Autres actions sociales","Tous établissements","4117","3110","122720","110075","3141630154"
"France entière","Public","Ensemble des secteurs d'activité","Autres enseignements","Tous établissements","432","153","68015","47783","1297643190"
"France entière","Public","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Tous établissements","54820","9375","1179488","1100782","40644615507"
"France entière","Public","Ensemble des secteurs d'activité","Formation d adulte","Tous établissements","754","54","35652","30058","1040025308"
"France entière","Public","Ensemble des secteurs d'activité","Hebergement medico-social et social","Tous établissements","3643","1864","217852","199255","5614771578"
"France entière","ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","1 - Micro entreprise","2411","1605","11146","10011","240497530"
"France entière","ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","2 - Petites entreprises","1618","988","27103","22882","564213186"
"France entière","ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","3 - Moyennes entreprises","38","29","s","s","s"
"France entière","ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","4 - Grandes entreprises","2","0","s","s","s"
"France entière","ESS","Ensemble des secteurs d'activité","Aide a domicile","1 - Micro entreprise","1093","844","s","s","s"
"France entière","ESS","Ensemble des secteurs d'activité","Aide a domicile","2 - Petites entreprises","2612","2193","61850","44475","1015038024"
"France entière","ESS","Ensemble des secteurs d'activité","Aide a domicile","3 - Moyennes entreprises","602","483","s","s","s"
"France entière","ESS","Ensemble des secteurs d'activité","Aide a domicile","4 - Grandes entreprises","75","61","36800","28578","638117983"
"France entière","ESS","Ensemble des secteurs d'activité","Aide par le travail","1 - Micro entreprise","285","98","980","1281","s"
"France entière","ESS","Ensemble des secteurs d'activité","Aide par le travail","2 - Petites entreprises","633","147","16557","15000","345256920"
"France entière","ESS","Ensemble des secteurs d'activité","Aide par le travail","3 - Moyennes entreprises","1085","180","118715","105021","1704037988"
"France entière","ESS","Ensemble des secteurs d'activité","Aide par le travail","4 - Grandes entreprises","47","8","15056","13295","s"
"France entière","ESS","Ensemble des secteurs d'activité","Autres actions sociales","1 - Micro entreprise","6674","3759","21966","20710","626631195"
"France entière","ESS","Ensemble des secteurs d'activité","Autres actions sociales","2 - Petites entreprises","4317","1962","92597","75515","2231487934"
"France entière","ESS","Ensemble des secteurs d'activité","Autres actions sociales","3 - Moyennes entreprises","776","430","64911","54453","1462131071"
"France entière","ESS","Ensemble des secteurs d'activité","Autres actions sociales","4 - Grandes entreprises","23","18","9372","8102","259661316"
