"","EPCI","jurid2","typo1","nb_etab","non_annexe","eff_EQTP","rem_brut","dep_epci","nom_complet"
"85",200000628,"2-TOTAL-ASSOCIATIONS","3-SANTÉ HUMAINE",1,"s","s","s","84","CC Rhône Lez Provence"
"86",200000628,"2-TOTAL-ASSOCIATIONS","4-ACTION SOCIALE",5,"267","238.75","5135148","84","CC Rhône Lez Provence"
"87",200000628,"2-TOTAL-ASSOCIATIONS","5-ARTS SPECTACLES SPORT ET LOISIRS",18,"11","11.61","276949","84","CC Rhône Lez Provence"
"88",200000628,"2-TOTAL-ASSOCIATIONS","6-NON-CLASSES",8,"27","20.59","585189","84","CC Rhône Lez Provence"
"89",200000628,"2-TOTAL-ASSOCIATIONS","8-SERVICES DIVERS",4,"118","86.06","1817613","84","CC Rhône Lez Provence"
"90",200000628,"3-TOTAL-HORS ESS","TOUS SECTEURS",721,"6017","5637.79","179209274","84","CC Rhône Lez Provence"
"91",200000628,"3-TOTAL-HORS ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",25,"72","65.81","2462911","84","CC Rhône Lez Provence"
"92",200000628,"3-TOTAL-HORS ESS","2-ENSEIGNEMENT",23,"371","332.74","11257192","84","CC Rhône Lez Provence"
"93",200000628,"3-TOTAL-HORS ESS","3-SANTÉ HUMAINE",24,"159","139.28","3820851","84","CC Rhône Lez Provence"
"94",200000628,"3-TOTAL-HORS ESS","4-ACTION SOCIALE",6,"97","79.33","1885328","84","CC Rhône Lez Provence"
"95",200000628,"3-TOTAL-HORS ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",5,"5","8.66","211809","84","CC Rhône Lez Provence"
"96",200000628,"3-TOTAL-HORS ESS","7-AGRICULTURE, INDUSTRIE, CONSTRUCTION",228,"2330","2297.3","83511504","84","CC Rhône Lez Provence"
"97",200000628,"3-TOTAL-HORS ESS","8-SERVICES DIVERS",410,"2983","2714.67","76059679","84","CC Rhône Lez Provence"
"98",200000800,"1-TOTAL-ESS","TOUS SECTEURS",40,"544","517.54","15034493","41","CC Coeur de Sologne"
"99",200000800,"1-TOTAL-ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",1,"s","s","s","41","CC Coeur de Sologne"
"100",200000800,"1-TOTAL-ESS","2-ENSEIGNEMENT",2,"s","s","s","41","CC Coeur de Sologne"
"101",200000800,"1-TOTAL-ESS","4-ACTION SOCIALE",8,"263","230.16","6816314","41","CC Coeur de Sologne"
"102",200000800,"1-TOTAL-ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",10,"170","180.8","5212160","41","CC Coeur de Sologne"
"103",200000800,"1-TOTAL-ESS","6-NON-CLASSES",12,"21","15.08","402446","41","CC Coeur de Sologne"
"104",200000800,"1-TOTAL-ESS","8-SERVICES DIVERS",7,"56","53.71","1358495","41","CC Coeur de Sologne"
"105",200000800,"2-TOTAL-ASSOCIATIONS","TOUS SECTEURS",36,"477","458.33","13115817","41","CC Coeur de Sologne"
"106",200000800,"2-TOTAL-ASSOCIATIONS","2-ENSEIGNEMENT",2,"s","s","s","41","CC Coeur de Sologne"
"107",200000800,"2-TOTAL-ASSOCIATIONS","4-ACTION SOCIALE",7,"216","188.5","5462214","41","CC Coeur de Sologne"
"108",200000800,"2-TOTAL-ASSOCIATIONS","5-ARTS SPECTACLES SPORT ET LOISIRS",10,"170","180.8","5212160","41","CC Coeur de Sologne"
"109",200000800,"2-TOTAL-ASSOCIATIONS","6-NON-CLASSES",12,"21","15.08","402446","41","CC Coeur de Sologne"
"110",200000800,"2-TOTAL-ASSOCIATIONS","8-SERVICES DIVERS",5,"s","s","s","41","CC Coeur de Sologne"
"111",200000800,"3-TOTAL-HORS ESS","TOUS SECTEURS",317,"2466","2281.61","67721238","41","CC Coeur de Sologne"
"112",200000800,"3-TOTAL-HORS ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",9,"16","16.03","597222","41","CC Coeur de Sologne"
"113",200000800,"3-TOTAL-HORS ESS","2-ENSEIGNEMENT",11,"105","96.92","3373349","41","CC Coeur de Sologne"
"114",200000800,"3-TOTAL-HORS ESS","3-SANTÉ HUMAINE",15,"193","188.32","6750088","41","CC Coeur de Sologne"
"115",200000800,"3-TOTAL-HORS ESS","4-ACTION SOCIALE",1,"s","s","s","41","CC Coeur de Sologne"
"116",200000800,"3-TOTAL-HORS ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",7,"s","s","s","41","CC Coeur de Sologne"
"117",200000800,"3-TOTAL-HORS ESS","7-AGRICULTURE, INDUSTRIE, CONSTRUCTION",88,"604","593.69","18896192","41","CC Coeur de Sologne"
"118",200000800,"3-TOTAL-HORS ESS","8-SERVICES DIVERS",186,"1469","1311.16","36133453","41","CC Coeur de Sologne"
"119",200000925,"1-TOTAL-ESS","TOUS SECTEURS",32,"218","181.48","5502063","21","CC de la Plaine Dijonnaise"
"120",200000925,"1-TOTAL-ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",5,"24","23.62","1050935","21","CC de la Plaine Dijonnaise"
"121",200000925,"1-TOTAL-ESS","2-ENSEIGNEMENT",1,"s","s","s","21","CC de la Plaine Dijonnaise"
"122",200000925,"1-TOTAL-ESS","3-SANTÉ HUMAINE",2,"s","s","s","21","CC de la Plaine Dijonnaise"
"123",200000925,"1-TOTAL-ESS","4-ACTION SOCIALE",4,"113","87.08","2089556","21","CC de la Plaine Dijonnaise"
"124",200000925,"1-TOTAL-ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",11,"9","3.88","84756","21","CC de la Plaine Dijonnaise"
"125",200000925,"1-TOTAL-ESS","6-NON-CLASSES",5,"10","8.3","172737","21","CC de la Plaine Dijonnaise"
"126",200000925,"1-TOTAL-ESS","7-AGRICULTURE, INDUSTRIE, CONSTRUCTION",1,"s","s","s","21","CC de la Plaine Dijonnaise"
"127",200000925,"1-TOTAL-ESS","8-SERVICES DIVERS",3,"29","26.09","1035249","21","CC de la Plaine Dijonnaise"
"128",200000925,"2-TOTAL-ASSOCIATIONS","TOUS SECTEURS",23,"92","67.78","1500981","21","CC de la Plaine Dijonnaise"
"129",200000925,"2-TOTAL-ASSOCIATIONS","2-ENSEIGNEMENT",1,"s","s","s","21","CC de la Plaine Dijonnaise"
"130",200000925,"2-TOTAL-ASSOCIATIONS","3-SANTÉ HUMAINE",2,"s","s","s","21","CC de la Plaine Dijonnaise"
"131",200000925,"2-TOTAL-ASSOCIATIONS","4-ACTION SOCIALE",3,"63","45.17","948527","21","CC de la Plaine Dijonnaise"
"132",200000925,"2-TOTAL-ASSOCIATIONS","5-ARTS SPECTACLES SPORT ET LOISIRS",11,"9","3.88","84756","21","CC de la Plaine Dijonnaise"
"133",200000925,"2-TOTAL-ASSOCIATIONS","6-NON-CLASSES",5,"10","8.3","172737","21","CC de la Plaine Dijonnaise"
"134",200000925,"2-TOTAL-ASSOCIATIONS","8-SERVICES DIVERS",1,"s","s","s","21","CC de la Plaine Dijonnaise"
"135",200000925,"3-TOTAL-HORS ESS","TOUS SECTEURS",407,"2828","2642.6","80944925","21","CC de la Plaine Dijonnaise"
"136",200000925,"3-TOTAL-HORS ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",12,"20","16.58","529935","21","CC de la Plaine Dijonnaise"
"137",200000925,"3-TOTAL-HORS ESS","2-ENSEIGNEMENT",39,"232","213.33","7469132","21","CC de la Plaine Dijonnaise"
"138",200000925,"3-TOTAL-HORS ESS","3-SANTÉ HUMAINE",12,"25","23.68","833646","21","CC de la Plaine Dijonnaise"
"139",200000925,"3-TOTAL-HORS ESS","4-ACTION SOCIALE",5,"45","36.26","882553","21","CC de la Plaine Dijonnaise"
"140",200000925,"3-TOTAL-HORS ESS","7-AGRICULTURE, INDUSTRIE, CONSTRUCTION",149,"914","883.81","27761188","21","CC de la Plaine Dijonnaise"
"141",200000925,"3-TOTAL-HORS ESS","8-SERVICES DIVERS",190,"1592","1468.94","43468471","21","CC de la Plaine Dijonnaise"
"142",200000933,"1-TOTAL-ESS","TOUS SECTEURS",59,"379","345.01","8565236","18","CC Sauldre et Sologne"
"143",200000933,"1-TOTAL-ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",6,"21","22.56","979118","18","CC Sauldre et Sologne"
"144",200000933,"1-TOTAL-ESS","2-ENSEIGNEMENT",4,"s","s","s","18","CC Sauldre et Sologne"
"145",200000933,"1-TOTAL-ESS","3-SANTÉ HUMAINE",2,"s","s","s","18","CC Sauldre et Sologne"
"146",200000933,"1-TOTAL-ESS","4-ACTION SOCIALE",13,"220","194.9","4102639","18","CC Sauldre et Sologne"
"147",200000933,"1-TOTAL-ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",7,"7","5.88","121437","18","CC Sauldre et Sologne"
"148",200000933,"1-TOTAL-ESS","6-NON-CLASSES",14,"19","15.94","436544","18","CC Sauldre et Sologne"
"149",200000933,"1-TOTAL-ESS","8-SERVICES DIVERS",13,"84","78.24","2071190","18","CC Sauldre et Sologne"
"150",200000933,"2-TOTAL-ASSOCIATIONS","TOUS SECTEURS",51,"353","316.89","7385130","18","CC Sauldre et Sologne"
"151",200000933,"2-TOTAL-ASSOCIATIONS","2-ENSEIGNEMENT",4,"s","s","s","18","CC Sauldre et Sologne"
"152",200000933,"2-TOTAL-ASSOCIATIONS","3-SANTÉ HUMAINE",2,"s","s","s","18","CC Sauldre et Sologne"
"153",200000933,"2-TOTAL-ASSOCIATIONS","4-ACTION SOCIALE",13,"220","194.9","4102639","18","CC Sauldre et Sologne"
"154",200000933,"2-TOTAL-ASSOCIATIONS","5-ARTS SPECTACLES SPORT ET LOISIRS",7,"7","5.88","121437","18","CC Sauldre et Sologne"
"155",200000933,"2-TOTAL-ASSOCIATIONS","6-NON-CLASSES",14,"19","15.94","436544","18","CC Sauldre et Sologne"
"156",200000933,"2-TOTAL-ASSOCIATIONS","8-SERVICES DIVERS",11,"79","72.68","1870202","18","CC Sauldre et Sologne"
"157",200000933,"3-TOTAL-HORS ESS","TOUS SECTEURS",450,"3463","3367.11","109456326","18","CC Sauldre et Sologne"
"158",200000933,"3-TOTAL-HORS ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",22,"50","45.63","1768300","18","CC Sauldre et Sologne"
"159",200000933,"3-TOTAL-HORS ESS","2-ENSEIGNEMENT",17,"114","108.34","3745072","18","CC Sauldre et Sologne"
"160",200000933,"3-TOTAL-HORS ESS","3-SANTÉ HUMAINE",15,"42","34.12","844586","18","CC Sauldre et Sologne"
"161",200000933,"3-TOTAL-HORS ESS","4-ACTION SOCIALE",3,"s","s","s","18","CC Sauldre et Sologne"
"162",200000933,"3-TOTAL-HORS ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",3,"s","s","s","18","CC Sauldre et Sologne"
"163",200000933,"3-TOTAL-HORS ESS","7-AGRICULTURE, INDUSTRIE, CONSTRUCTION",175,"2165","2115.07","73479215","18","CC Sauldre et Sologne"
"164",200000933,"3-TOTAL-HORS ESS","8-SERVICES DIVERS",215,"948","925.92","25918852","18","CC Sauldre et Sologne"
"165",200004802,"1-TOTAL-ESS","TOUS SECTEURS",62,"328","270.06","7584825","83","CC du Pays de Fayence"
"166",200004802,"1-TOTAL-ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",6,"20","20.37","982214","83","CC du Pays de Fayence"
"167",200004802,"1-TOTAL-ESS","2-ENSEIGNEMENT",7,"s","s","s","83","CC du Pays de Fayence"
"168",200004802,"1-TOTAL-ESS","3-SANTÉ HUMAINE",1,"s","s","s","83","CC du Pays de Fayence"
"169",200004802,"1-TOTAL-ESS","4-ACTION SOCIALE",11,"214","179.04","4299446","83","CC du Pays de Fayence"
"170",200004802,"1-TOTAL-ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",18,"16","15.97","479337","83","CC du Pays de Fayence"
"171",200004802,"1-TOTAL-ESS","6-NON-CLASSES",13,"54","32.58","979051","83","CC du Pays de Fayence"
"172",200004802,"1-TOTAL-ESS","7-AGRICULTURE, INDUSTRIE, CONSTRUCTION",1,"s","s","s","83","CC du Pays de Fayence"
"173",200004802,"1-TOTAL-ESS","8-SERVICES DIVERS",5,"9","8.03","301042","83","CC du Pays de Fayence"
"174",200004802,"2-TOTAL-ASSOCIATIONS","TOUS SECTEURS",49,"210","159","4378460","83","CC du Pays de Fayence"
"175",200004802,"2-TOTAL-ASSOCIATIONS","2-ENSEIGNEMENT",7,"s","s","s","83","CC du Pays de Fayence"
"176",200004802,"2-TOTAL-ASSOCIATIONS","4-ACTION SOCIALE",8,"130","101.15","2733754","83","CC du Pays de Fayence"
"177",200004802,"2-TOTAL-ASSOCIATIONS","5-ARTS SPECTACLES SPORT ET LOISIRS",18,"16","15.97","479337","83","CC du Pays de Fayence"
"178",200004802,"2-TOTAL-ASSOCIATIONS","6-NON-CLASSES",13,"54","32.58","979051","83","CC du Pays de Fayence"
"179",200004802,"2-TOTAL-ASSOCIATIONS","8-SERVICES DIVERS",3,"s","s","s","83","CC du Pays de Fayence"
"180",200004802,"3-TOTAL-HORS ESS","TOUS SECTEURS",988,"4100","3956.58","112510415","83","CC du Pays de Fayence"
"181",200004802,"3-TOTAL-HORS ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",31,"64","55.27","1968756","83","CC du Pays de Fayence"
"182",200004802,"3-TOTAL-HORS ESS","2-ENSEIGNEMENT",27,"287","272.35","9071245","83","CC du Pays de Fayence"
"183",200004802,"3-TOTAL-HORS ESS","3-SANTÉ HUMAINE",29,"95","66.46","2222893","83","CC du Pays de Fayence"
"184",200004802,"3-TOTAL-HORS ESS","4-ACTION SOCIALE",7,"231","213.82","5695678","83","CC du Pays de Fayence"
"185",200004802,"3-TOTAL-HORS ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",10,"16","16.22","566093","83","CC du Pays de Fayence"
"186",200004802,"3-TOTAL-HORS ESS","7-AGRICULTURE, INDUSTRIE, CONSTRUCTION",326,"981","935.94","26711863","83","CC du Pays de Fayence"
"187",200004802,"3-TOTAL-HORS ESS","8-SERVICES DIVERS",558,"2426","2396.52","66273887","83","CC du Pays de Fayence"
"188",200005932,"1-TOTAL-ESS","TOUS SECTEURS",58,"284","254.28","7435234","45","CC des Portes de Sologne"
"189",200005932,"1-TOTAL-ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",5,"30","26.24","1263275","45","CC des Portes de Sologne"
"190",200005932,"1-TOTAL-ESS","2-ENSEIGNEMENT",5,"18","14.15","398643","45","CC des Portes de Sologne"
"191",200005932,"1-TOTAL-ESS","3-SANTÉ HUMAINE",1,"s","s","s","45","CC des Portes de Sologne"
"192",200005932,"1-TOTAL-ESS","4-ACTION SOCIALE",7,"190","173.24","4343198","45","CC des Portes de Sologne"
"193",200005932,"1-TOTAL-ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",23,"7","5.16","144992","45","CC des Portes de Sologne"
"194",200005932,"1-TOTAL-ESS","6-NON-CLASSES",14,"19","17.32","452241","45","CC des Portes de Sologne"
"195",200005932,"1-TOTAL-ESS","7-AGRICULTURE, INDUSTRIE, CONSTRUCTION",1,"s","s","s","45","CC des Portes de Sologne"
"196",200005932,"1-TOTAL-ESS","8-SERVICES DIVERS",2,"s","s","s","45","CC des Portes de Sologne"
"197",200005932,"2-TOTAL-ASSOCIATIONS","TOUS SECTEURS",51,"252","220","5944277","45","CC des Portes de Sologne"
