"DEP","typo_Asso","typo_Asso_det","nb_etab","eff_31","eff_EQTP","rem_brut"
"6","Ensemble","Accueil d adultes handicapes ou pers. agees","23","650","558","12959357"
"6","Ensemble","Accueil d enfants et d adolescents","1","s","s","s"
"6","Ensemble","Accueil d enfants handicapes","12","s","s","s"
"6","Ensemble","Accueil des jeunes enfants","35","454","395","10116973"
"6","Ensemble","Action sociale NCA","99","1387","1222","34696030"
"6","Ensemble","Aide a domicile","51","1014","686","15301882"
"6","Ensemble","Aide par le travail","11","1335","1154","17928893"
"6","Ensemble","Autres enseignements","54","217","222","6196078"
"6","Ensemble","Enseignement culturel","32","207","147","5640973"
"6","Ensemble","Enseignement primaire/secondaire/supérieur","71","2694","2451","90939165"
"6","Ensemble","Formation continue d adultes","43","278","238","8701473"
"6","Ensemble","Hebergement medico-social de personnes agees","22","705","648","18754239"
"6","Ensemble","Hebergement medico-social de personnes en difficulte","41","936","850","25327147"
"6","Ensemble","Hebergement medico-social de personnes handicapees","46","2028","1818","53221290"
"6","Ensemble","Loisirs","45","231","194","4847161"
"6","Ensemble","Sports","419","1106","860","24111048"
"7","Ensemble","Accueil d adultes handicapes ou pers. agees","9","189","133","3781023"
"7","Ensemble","Accueil d enfants et d adolescents","10","s","s","s"
"7","Ensemble","Accueil d enfants handicapes","4","s","s","s"
"7","Ensemble","Accueil des jeunes enfants","31","334","276","6599252"
"7","Ensemble","Action sociale NCA","43","569","455","11671395"
"7","Ensemble","Aide a domicile","33","1555","1099","24507902"
"7","Ensemble","Aide par le travail","10","899","817","14243370"
"7","Ensemble","Autres enseignements","20","77","61","1816875"
"7","Ensemble","Enseignement culturel","12","s","s","s"
"7","Ensemble","Enseignement primaire/secondaire/supérieur","116","1815","1682","55555578"
"7","Ensemble","Formation continue d adultes","8","39","36","1075621"
"7","Ensemble","Hebergement medico-social de personnes agees","9","513","409","11110574"
"7","Ensemble","Hebergement medico-social de personnes en difficulte","36","389","327","9691286"
"7","Ensemble","Hebergement medico-social de personnes handicapees","23","779","689","19318748"
"7","Ensemble","Loisirs","28","83","98","2408072"
"7","Ensemble","Sports","231","269","218","4970714"
"8","Ensemble","Accueil d adultes handicapes ou pers. agees","1","s","s","s"
"8","Ensemble","Accueil d enfants et d adolescents","3","s","s","s"
"8","Ensemble","Accueil d enfants handicapes","12","291","244","7573439"
"8","Ensemble","Accueil des jeunes enfants","11","100","75","1784093"
"8","Ensemble","Action sociale NCA","67","1026","778","18283105"
"8","Ensemble","Aide a domicile","11","707","430","10143190"
"8","Ensemble","Aide par le travail","9","570","518","8504960"
"8","Ensemble","Autres enseignements","6","26","s","933428"
"8","Ensemble","Enseignement culturel","1","s","s","s"
"8","Ensemble","Enseignement primaire/secondaire/supérieur","22","621","552","17450716"
"8","Ensemble","Formation continue d adultes","10","62","62","1894819"
"8","Ensemble","Hebergement medico-social de personnes agees","6","224","211","5199123"
"8","Ensemble","Hebergement medico-social de personnes en difficulte","11","281","246","6964433"
"8","Ensemble","Hebergement medico-social de personnes handicapees","13","728","604","16470119"
"8","Ensemble","Loisirs","13","27","20","378108"
"8","Ensemble","Sports","102","193","168","4337125"
"9","Ensemble","Accueil d adultes handicapes ou pers. agees","2","s","s","s"
"9","Ensemble","Accueil d enfants et d adolescents","3","s","s","s"
"9","Ensemble","Accueil des jeunes enfants","4","49","37","890649"
"9","Ensemble","Action sociale NCA","26","229","160","4378887"
"9","Ensemble","Aide a domicile","10","554","449","10176138"
"9","Ensemble","Aide par le travail","13","529","445","7799571"
"9","Ensemble","Autres enseignements","11","21","17","444649"
"9","Ensemble","Enseignement culturel","4","6","s","s"
"9","Ensemble","Enseignement primaire/secondaire/supérieur","15","226","190","5874909"
"9","Ensemble","Formation continue d adultes","9","17","s","s"
"9","Ensemble","Hebergement medico-social de personnes agees","11","405","346","9197727"
"9","Ensemble","Hebergement medico-social de personnes en difficulte","18","245","203","5913157"
"9","Ensemble","Hebergement medico-social de personnes handicapees","24","671","561","15950546"
"9","Ensemble","Loisirs","13","36","30","863048"
"9","Ensemble","Sports","83","116","102","2524545"
"10","Ensemble","Accueil d adultes handicapes ou pers. agees","2","s","s","s"
"10","Ensemble","Accueil d enfants et d adolescents","7","87","81","2471734"
"10","Ensemble","Accueil d enfants handicapes","7","175","156","5146933"
"10","Ensemble","Accueil des jeunes enfants","9","s","s","s"
"10","Ensemble","Action sociale NCA","40","527","420","10666990"
"10","Ensemble","Aide a domicile","46","952","735","16372866"
"10","Ensemble","Aide par le travail","16","1053","880","16533762"
"10","Ensemble","Autres enseignements","9","11","6","193914"
"10","Ensemble","Enseignement culturel","8","15","7","211060"
"10","Ensemble","Enseignement primaire/secondaire/supérieur","34","796","704","24080057"
"10","Ensemble","Formation continue d adultes","5","50","44","1462698"
"10","Ensemble","Hebergement medico-social de personnes agees","12","620","525","14401684"
"10","Ensemble","Hebergement medico-social de personnes en difficulte","22","424","383","11357281"
"10","Ensemble","Hebergement medico-social de personnes handicapees","26","736","664","18388572"
"10","Ensemble","Loisirs","9","s","s","s"
"10","Ensemble","Sports","145","s","s","s"
"11","Ensemble","Accueil d adultes handicapes ou pers. agees","4","38","29","979060"
"11","Ensemble","Accueil d enfants et d adolescents","6","61","56","1431753"
"11","Ensemble","Accueil d enfants handicapes","6","188","173","5453463"
"11","Ensemble","Accueil des jeunes enfants","8","77","62","1421586"
"11","Ensemble","Action sociale NCA","48","720","564","14208032"
"11","Ensemble","Aide a domicile","15","390","283","6259274"
"11","Ensemble","Aide par le travail","28","1204","991","16178187"
"11","Ensemble","Autres enseignements","14","22","17","436066"
"11","Ensemble","Enseignement culturel","9","10","7","162114"
"11","Ensemble","Enseignement primaire/secondaire/supérieur","33","737","672","20891451"
"11","Ensemble","Formation continue d adultes","21","186","154","4840691"
"11","Ensemble","Hebergement medico-social de personnes agees","13","510","445","11583571"
"11","Ensemble","Hebergement medico-social de personnes en difficulte","25","590","503","13946452"
"11","Ensemble","Hebergement medico-social de personnes handicapees","31","1092","886","26136958"
"11","Ensemble","Loisirs","21","59","58","1470658"
"11","Ensemble","Sports","181","313","228","5357517"
"12","Ensemble","Accueil d adultes handicapes ou pers. agees","1","s","s","s"
"12","Ensemble","Accueil d enfants et d adolescents","1","s","s","s"
"12","Ensemble","Accueil d enfants handicapes","5","126","109","3501723"
"12","Ensemble","Accueil des jeunes enfants","11","96","78","1774110"
"12","Ensemble","Action sociale NCA","47","504","404","10770451"
"12","Ensemble","Aide a domicile","69","1534","1192","25812063"
"12","Ensemble","Aide par le travail","9","643","564","8341134"
"12","Ensemble","Autres enseignements","18","104","83","2667569"
"12","Ensemble","Enseignement culturel","10","6","s","s"
"12","Ensemble","Enseignement primaire/secondaire/supérieur","95","1388","1250","39432833"
"12","Ensemble","Formation continue d adultes","15","52","45","1293068"
"12","Ensemble","Hebergement medico-social de personnes agees","37","1652","1395","37803167"
"12","Ensemble","Hebergement medico-social de personnes en difficulte","18","300","265","8145915"
"12","Ensemble","Hebergement medico-social de personnes handicapees","35","1579","1381","39373944"
"12","Ensemble","Loisirs","18","85","64","1609958"
"12","Ensemble","Sports","152","205","187","4303017"
"13","Ensemble","Accueil d adultes handicapes ou pers. agees","22","s","s","s"
"13","Ensemble","Accueil d enfants et d adolescents","8","s","s","s"
"13","Ensemble","Accueil d enfants handicapes","18","390","320","11706193"
"13","Ensemble","Accueil des jeunes enfants","147","1894","1708","41970104"
"13","Ensemble","Action sociale NCA","329","5401","4602","120159136"
"13","Ensemble","Aide a domicile","129","6600","4694","104572697"
"13","Ensemble","Aide par le travail","52","3346","2982","53175173"
"13","Ensemble","Autres enseignements","170","764","613","18977556"
"13","Ensemble","Enseignement culturel","87","s","s","s"
"13","Ensemble","Enseignement primaire/secondaire/supérieur","230","7443","6742","237218474"
"13","Ensemble","Formation continue d adultes","180","1877","1837","55893298"
"13","Ensemble","Hebergement medico-social de personnes agees","57","2076","1811","50706358"
"13","Ensemble","Hebergement medico-social de personnes en difficulte","116","2841","2445","72205407"
"13","Ensemble","Hebergement medico-social de personnes handicapees","95","4838","4165","121596420"
"13","Ensemble","Loisirs","86","749","643","15988768"
"13","Ensemble","Sports","898","2085","1713","44707776"
"14","Ensemble","Accueil d adultes handicapes ou pers. agees","6","164","147","3690501"
"14","Ensemble","Accueil d enfants et d adolescents","7","55","58","1629232"
"14","Ensemble","Accueil d enfants handicapes","9","257","215","7013937"
"14","Ensemble","Accueil des jeunes enfants","24","206","164","3629964"
"14","Ensemble","Action sociale NCA","110","2039","1659","41273168"
"14","Ensemble","Aide a domicile","75","2213","1544","34494908"
"14","Ensemble","Aide par le travail","23","1910","1676","28205201"
"14","Ensemble","Autres enseignements","52","423","373","10491370"
"14","Ensemble","Enseignement culturel","20","68","36","982622"
"14","Ensemble","Enseignement primaire/secondaire/supérieur","74","2664","2434","81795703"
"14","Ensemble","Formation continue d adultes","36","610","503","15285337"
"14","Ensemble","Hebergement medico-social de personnes agees","10","539","470","12668883"
"14","Ensemble","Hebergement medico-social de personnes en difficulte","33","891","813","23333695"
"14","Ensemble","Hebergement medico-social de personnes handicapees","38","1768","1551","45132853"
"14","Ensemble","Loisirs","31","164","159","3671850"
"14","Ensemble","Sports","438","804","680","19325096"
"15","Ensemble","Accueil d adultes handicapes ou pers. agees","3","26","19","516969"
"15","Ensemble","Accueil d enfants et d adolescents","6","49","44","1321991"
"15","Ensemble","Accueil d enfants handicapes","2","s","s","s"
"15","Ensemble","Accueil des jeunes enfants","2","s","s","s"
"15","Ensemble","Action sociale NCA","41","964","747","16996226"
"15","Ensemble","Aide a domicile","24","571","372","8216121"
"15","Ensemble","Aide par le travail","10","357","310","4885388"
"15","Ensemble","Autres enseignements","8","67","49","1486321"
"15","Ensemble","Enseignement culturel","11","83","78","2414803"
"15","Ensemble","Enseignement primaire/secondaire/supérieur","23","377","330","10350221"
"15","Ensemble","Formation continue d adultes","7","25","25","704017"
"15","Ensemble","Hebergement medico-social de personnes agees","15","711","639","16462390"
"15","Ensemble","Hebergement medico-social de personnes en difficulte","16","291","242","6618700"
"15","Ensemble","Hebergement medico-social de personnes handicapees","18","938","791","21735326"
"15","Ensemble","Loisirs","17","33","34","779909"
"15","Ensemble","Sports","92","135","133","3170354"
"16","Ensemble","Accueil d adultes handicapes ou pers. agees","4","44","38","1066831"
"16","Ensemble","Accueil d enfants et d adolescents","5","136","108","2739339"
"16","Ensemble","Accueil d enfants handicapes","14","263","189","5659669"
"16","Ensemble","Accueil des jeunes enfants","3","28","24","567210"
"16","Ensemble","Action sociale NCA","58","816","648","16996636"
"16","Ensemble","Aide a domicile","50","1580","1177","25683990"
"16","Ensemble","Aide par le travail","13","1009","806","14540436"
"16","Ensemble","Autres enseignements","19","s","s","s"
"16","Ensemble","Enseignement culturel","5","s","s","s"
"16","Ensemble","Enseignement primaire/secondaire/supérieur","38","911","769","24425180"
"16","Ensemble","Formation continue d adultes","11","115","100","3023381"
"16","Ensemble","Hebergement medico-social de personnes agees","16","598","534","14308497"
"16","Ensemble","Hebergement medico-social de personnes en difficulte","15","225","200","5549316"
"16","Ensemble","Hebergement medico-social de personnes handicapees","27","866","691","19075920"
"16","Ensemble","Loisirs","15","209","155","3687016"
"16","Ensemble","Sports","187","339","268","6411320"
"17","Ensemble","Accueil d adultes handicapes ou pers. agees","5","280","230","6294002"
"17","Ensemble","Accueil d enfants et d adolescents","3","56","53","1495035"
"17","Ensemble","Accueil d enfants handicapes","3","69","54","1989707"
"17","Ensemble","Accueil des jeunes enfants","42","341","311","7527086"
"17","Ensemble","Action sociale NCA","100","1903","1592","37533503"
"17","Ensemble","Aide a domicile","42","1328","897","20835818"
"17","Ensemble","Aide par le travail","23","1396","1252","21556443"
"17","Ensemble","Autres enseignements","48","105","93","2652860"
"17","Ensemble","Enseignement culturel","25","207","165","4633564"
"17","Ensemble","Enseignement primaire/secondaire/supérieur","50","1369","1254","46488449"
"17","Ensemble","Formation continue d adultes","23","266","224","7113554"
"17","Ensemble","Hebergement medico-social de personnes agees","18","631","531","14077826"
"17","Ensemble","Hebergement medico-social de personnes en difficulte","25","770","648","18186586"
"17","Ensemble","Hebergement medico-social de personnes handicapees","39","1606","1411","40762665"
"17","Ensemble","Loisirs","50","263","241","5420957"
"17","Ensemble","Sports","350","572","522","12272418"
"18","Ensemble","Accueil d adultes handicapes ou pers. agees","8","211","186","5281536"
"18","Ensemble","Accueil d enfants et d adolescents","3","21","16","434003"
"18","Ensemble","Accueil d enfants handicapes","8","155","157","4899008"
"18","Ensemble","Accueil des jeunes enfants","18","91","101","2238744"
"18","Ensemble","Action sociale NCA","46","1057","844","18293672"
"18","Ensemble","Aide a domicile","20","836","552","12912207"
"18","Ensemble","Aide par le travail","19","980","868","18512086"
"18","Ensemble","Autres enseignements","20","74","55","1571877"
"18","Ensemble","Enseignement culturel","18","s","s","s"
"18","Ensemble","Enseignement primaire/secondaire/supérieur","24","497","431","14927242"
"18","Ensemble","Formation continue d adultes","14","105","100","3507957"
"18","Ensemble","Hebergement medico-social de personnes agees","14","393","334","9071289"
"18","Ensemble","Hebergement medico-social de personnes en difficulte","8","200","151","3990600"
"18","Ensemble","Hebergement medico-social de personnes handicapees","24","646","596","16582919"
"18","Ensemble","Loisirs","8","s","s","s"
"18","Ensemble","Sports","153","s","s","s"
