"DEP","typo_Mut","typo_Mut_det","nb_etab","eff_31","eff_EQTP","rem_brut"
"91","Ensemble","Ensemble","52","859","767","30819237"
"92","Ensemble","Ensemble","83","2923","2801","151030451"
"93","Ensemble","Ensemble","60","1363","1112","40004251"
"94","Ensemble","Ensemble","53","1397","1314","53920926"
"95","Ensemble","Ensemble","41","516","473","16994645"
"971","Ensemble","Ensemble","36","299","285","12598270"
"972","Ensemble","Ensemble","32","502","484","21777714"
"973","Ensemble","Ensemble","11","s","42","1710631"
"974","Ensemble","Ensemble","41","694","632","27835395"
"1","Ensemble","Action sociale sans hebergement","1","s","s","s"
"1","Ensemble","Activites de services financiers et d assurances","3","10","9","376309"
"1","Ensemble","Assurances","49","403","367","14384386"
"1","Ensemble","Hebergement medico-social et social","3","s","s","s"
"2","Ensemble","Activites de services financiers et d assurances","4","9","8","368913"
"2","Ensemble","Assurances","45","360","347","13809990"
"2","Ensemble","Hebergement medico-social et social","1","s","s","s"
"3","Ensemble","Action sociale sans hebergement","3","66","50","1340943"
"3","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"3","Ensemble","Assurances","33","s","s","s"
"4","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"4","Ensemble","Assurances","23","s","s","s"
"5","Ensemble","Assurances","19","60","60","2322538"
"6","Ensemble","Action sociale sans hebergement","8","194","138","3334589"
"6","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"6","Ensemble","Assurances","104","s","s","s"
"7","Ensemble","Action sociale sans hebergement","1","s","s","s"
"7","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"7","Ensemble","Assurances","32","s","s","s"
"7","Ensemble","Hebergement medico-social et social","13","s","s","s"
"8","Ensemble","Action sociale sans hebergement","1","s","s","s"
"8","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"8","Ensemble","Assurances","21","s","s","s"
"8","Ensemble","Hebergement medico-social et social","3","s","s","s"
"9","Ensemble","Assurances","13","51","44","1577350"
"10","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"10","Ensemble","Assurances","26","s","s","s"
"11","Ensemble","Activites de services financiers et d assurances","3","14","15","579022"
"11","Ensemble","Assurances","31","214","202","6968853"
"12","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"12","Ensemble","Assurances","32","s","s","s"
"12","Ensemble","Hebergement medico-social et social","2","s","s","s"
"13","Ensemble","Action sociale sans hebergement","9","108","71","1853079"
"13","Ensemble","Activites de services financiers et d assurances","9","153","145","6162461"
"13","Ensemble","Assurances","163","2564","2293","95504127"
"13","Ensemble","Hebergement medico-social et social","4","215","195","5448738"
"14","Ensemble","Action sociale sans hebergement","11","208","153","3213575"
"14","Ensemble","Assurances","52","509","477","18077415"
"14","Ensemble","Hebergement medico-social et social","13","464","431","11291366"
"15","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"15","Ensemble","Assurances","19","s","s","s"
"16","Ensemble","Action sociale sans hebergement","2","s","s","s"
"16","Ensemble","Assurances","36","390","363","14058709"
"16","Ensemble","Hebergement medico-social et social","4","s","s","s"
"17","Ensemble","Action sociale sans hebergement","2","s","s","s"
"17","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"17","Ensemble","Assurances","55","s","s","s"
"18","Ensemble","Action sociale sans hebergement","2","s","s","s"
"18","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"18","Ensemble","Assurances","32","s","s","s"
"18","Ensemble","Hebergement medico-social et social","2","s","s","s"
"19","Ensemble","Action sociale sans hebergement","3","s","s","s"
"19","Ensemble","Assurances","25","205","196","7537147"
"19","Ensemble","Hebergement medico-social et social","5","s","s","s"
"21","Ensemble","Action sociale sans hebergement","18","1676","1343","26699687"
"21","Ensemble","Assurances","55","889","850","34377764"
"21","Ensemble","Hebergement medico-social et social","25","1061","902","24696376"
"22","Ensemble","Assurances","39","727","686","24551417"
"22","Ensemble","Hebergement medico-social et social","10","301","234","6163978"
"23","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"23","Ensemble","Assurances","10","s","s","s"
"24","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"24","Ensemble","Assurances","31","s","s","s"
"25","Ensemble","Action sociale sans hebergement","1","s","s","s"
"25","Ensemble","Activites de services financiers et d assurances","3","10","9","360305"
"25","Ensemble","Assurances","47","389","362","14334739"
"25","Ensemble","Hebergement medico-social et social","13","s","s","s"
"26","Ensemble","Action sociale sans hebergement","14","1011","755","18957933"
"26","Ensemble","Assurances","40","853","774","30030678"
"26","Ensemble","Hebergement medico-social et social","27","675","614","17290621"
"27","Ensemble","Assurances","34","174","155","5755175"
"28","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"28","Ensemble","Assurances","32","s","s","s"
"29","Ensemble","Action sociale sans hebergement","10","392","325","7619863"
"29","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"29","Ensemble","Assurances","63","s","s","s"
"29","Ensemble","Hebergement medico-social et social","11","422","355","9620041"
"2A","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"2A","Ensemble","Assurances","13","s","s","s"
"2A","Ensemble","Hebergement medico-social et social","2","s","s","s"
"2B","Ensemble","Action sociale sans hebergement","3","s","24","717051"
"2B","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"2B","Ensemble","Assurances","19","s","s","s"
"2B","Ensemble","Hebergement medico-social et social","4","s","66","2086953"
"30","Ensemble","Action sociale sans hebergement","2","s","s","s"
"30","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"30","Ensemble","Assurances","50","s","s","s"
"30","Ensemble","Hebergement medico-social et social","3","s","s","s"
"31","Ensemble","Action sociale sans hebergement","17","s","s","s"
"31","Ensemble","Activites de services financiers et d assurances","9","196","184","7318650"
"31","Ensemble","Assurances","112","1837","1707","72346088"
"31","Ensemble","Hebergement medico-social et social","1","s","s","s"
"32","Ensemble","Assurances","16","s","s","s"
"33","Ensemble","Action sociale sans hebergement","6","s","s","s"
"33","Ensemble","Activites de services financiers et d assurances","4","13","13","524081"
"33","Ensemble","Assurances","119","1935","1774","69286581"
"33","Ensemble","Hebergement medico-social et social","2","s","s","s"
"34","Ensemble","Action sociale sans hebergement","4","39","33","737222"
"34","Ensemble","Activites de services financiers et d assurances","3","11","9","404483"
"34","Ensemble","Assurances","82","1966","1775","73020861"
"34","Ensemble","Hebergement medico-social et social","21","849","747","20296339"
"35","Ensemble","Action sociale sans hebergement","1","s","s","s"
"35","Ensemble","Activites de services financiers et d assurances","5","82","79","3174753"
"35","Ensemble","Assurances","71","1256","1169","46339856"
"35","Ensemble","Hebergement medico-social et social","1","s","s","s"
"36","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"36","Ensemble","Assurances","18","s","s","s"
"37","Ensemble","Action sociale sans hebergement","11","87","80","1894102"
"37","Ensemble","Activites de services financiers et d assurances","3","s","s","s"
"37","Ensemble","Assurances","55","s","s","s"
"37","Ensemble","Hebergement medico-social et social","11","423","360","9996457"
"38","Ensemble","Action sociale sans hebergement","4","52","45","1397894"
"38","Ensemble","Activites de services financiers et d assurances","5","16","13","717382"
"38","Ensemble","Assurances","75","979","927","39395284"
"38","Ensemble","Hebergement medico-social et social","24","1206","1059","30451274"
"39","Ensemble","Action sociale sans hebergement","7","8","6","138399"
"39","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"39","Ensemble","Assurances","26","s","s","s"
"39","Ensemble","Hebergement medico-social et social","3","78","68","1747628"
"40","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"40","Ensemble","Assurances","31","s","s","s"
"41","Ensemble","Action sociale sans hebergement","1","s","s","s"
"41","Ensemble","Activites de services financiers et d assurances","3","9","8","358653"
"41","Ensemble","Assurances","30","272","244","9920584"
"41","Ensemble","Hebergement medico-social et social","3","s","s","s"
"42","Ensemble","Action sociale sans hebergement","4","57","43","1167717"
"42","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"42","Ensemble","Assurances","54","s","s","s"
"42","Ensemble","Hebergement medico-social et social","14","674","532","15156491"
"43","Ensemble","Action sociale sans hebergement","1","s","s","s"
"43","Ensemble","Assurances","17","146","132","5116598"
"43","Ensemble","Hebergement medico-social et social","1","s","s","s"
"44","Ensemble","Action sociale sans hebergement","9","151","117","3077047"
"44","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"44","Ensemble","Assurances","93","s","s","s"
"44","Ensemble","Hebergement medico-social et social","46","1207","1016","27186805"
"45","Ensemble","Action sociale sans hebergement","4","s","s","s"
"45","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"45","Ensemble","Assurances","55","s","s","s"
"45","Ensemble","Hebergement medico-social et social","3","s","s","s"
"46","Ensemble","Action sociale sans hebergement","2","s","s","s"
"46","Ensemble","Assurances","18","157","148","5554764"
"47","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"47","Ensemble","Assurances","38","s","s","s"
"47","Ensemble","Hebergement medico-social et social","1","s","s","s"
"48","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"48","Ensemble","Assurances","8","s","s","s"
"49","Ensemble","Action sociale sans hebergement","40","524","492","12515176"
"49","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"49","Ensemble","Assurances","47","s","s","s"
"49","Ensemble","Hebergement medico-social et social","13","718","616","15822349"
"50","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"50","Ensemble","Assurances","32","s","s","s"
"51","Ensemble","Action sociale sans hebergement","1","s","s","s"
"51","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"51","Ensemble","Assurances","45","s","s","s"
"52","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"52","Ensemble","Assurances","15","s","s","s"
"53","Ensemble","Assurances","20","409","344","14722721"
"54","Ensemble","Action sociale sans hebergement","1","s","s","s"
"54","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"54","Ensemble","Assurances","75","s","s","s"
"54","Ensemble","Hebergement medico-social et social","1","s","s","s"
"55","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"55","Ensemble","Assurances","18","s","s","s"
"56","Ensemble","Action sociale sans hebergement","9","119","104","2689876"
"56","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"56","Ensemble","Assurances","52","s","s","s"
"56","Ensemble","Hebergement medico-social et social","19","611","525","13585101"
"57","Ensemble","Activites de services financiers et d assurances","3","6","17","607166"
"57","Ensemble","Assurances","55","496","452","18011440"
"58","Ensemble","Action sociale sans hebergement","4","s","s","s"
"58","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"58","Ensemble","Assurances","23","s","s","s"
"59","Ensemble","Action sociale sans hebergement","1","s","s","s"
"59","Ensemble","Activites de services financiers et d assurances","6","s","s","s"
"59","Ensemble","Assurances","142","s","s","s"
"60","Ensemble","Assurances","42","1000","923","40081181"
"60","Ensemble","Hebergement medico-social et social","1","s","s","s"
"61","Ensemble","Action sociale sans hebergement","1","s","s","s"
"61","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"61","Ensemble","Assurances","24","s","s","s"
"61","Ensemble","Hebergement medico-social et social","1","s","s","s"
"62","Ensemble","Assurances","78","1002","925","40151922"
"62","Ensemble","Hebergement medico-social et social","1","s","s","s"
"63","Ensemble","Action sociale sans hebergement","2","s","s","s"
"63","Ensemble","Activites de services financiers et d assurances","3","12","13","525552"
"63","Ensemble","Assurances","73","884","825","32354106"
"63","Ensemble","Hebergement medico-social et social","3","s","s","s"
"64","Ensemble","Action sociale sans hebergement","3","51","54","1308746"
"64","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"64","Ensemble","Assurances","63","s","s","s"
"65","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"65","Ensemble","Assurances","30","s","s","s"
"65","Ensemble","Hebergement medico-social et social","1","s","s","s"
"66","Ensemble","Action sociale sans hebergement","1","s","s","s"
"66","Ensemble","Assurances","27","434","418","15221679"
"67","Ensemble","Activites de services financiers et d assurances","5","21","20","1164760"
"67","Ensemble","Assurances","53","1140","1069","46015368"
"68","Ensemble","Assurances","41","665","585","27599295"
"68","Ensemble","Hebergement medico-social et social","1","s","s","s"
"69","Ensemble","Action sociale sans hebergement","19","43","s","s"
"69","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"69","Ensemble","Assurances","148","s","s","s"
"69","Ensemble","Hebergement medico-social et social","2","s","s","s"
"70","Ensemble","Action sociale sans hebergement","1","s","s","s"
"70","Ensemble","Assurances","20","174","154","6009656"
"71","Ensemble","Action sociale sans hebergement","9","486","389","8179901"
"71","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"71","Ensemble","Assurances","60","s","s","s"
"71","Ensemble","Hebergement medico-social et social","3","152","136","3906014"
"72","Ensemble","Action sociale sans hebergement","2","s","s","s"
"72","Ensemble","Assurances","42","509","479","20600913"
"73","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"73","Ensemble","Assurances","39","s","s","s"
"74","Ensemble","Action sociale sans hebergement","3","19","15","356667"
"74","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"74","Ensemble","Assurances","60","s","s","s"
"75","Ensemble","Action sociale sans hebergement","5","s","s","s"
"75","Ensemble","Activites de services financiers et d assurances","13","148","142","7131815"
"75","Ensemble","Assurances","263","10651","10023","534229932"
"75","Ensemble","Hebergement medico-social et social","2","s","s","s"
"76","Ensemble","Action sociale sans hebergement","1","s","s","s"
"76","Ensemble","Activites de services financiers et d assurances","4","s","s","s"
"76","Ensemble","Activites des services financiers hors assurance et caisses","1","s","s","s"
"76","Ensemble","Assurances","107","3223","2904","141784556"
"76","Ensemble","Hebergement medico-social et social","4","s","s","s"
"77","Ensemble","Action sociale sans hebergement","2","s","s","s"
"77","Ensemble","Activites de services financiers et d assurances","3","9","8","343673"
"77","Ensemble","Assurances","54","566","528","25533608"
"77","Ensemble","Hebergement medico-social et social","2","s","s","s"
"78","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"78","Ensemble","Assurances","49","s","s","s"
"78","Ensemble","Hebergement medico-social et social","5","s","s","s"
"79","Ensemble","Action sociale sans hebergement","1","s","s","s"
"79","Ensemble","Assurances","44","8362","7848","418080568"
"80","Ensemble","Action sociale sans hebergement","1","s","s","s"
"80","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"80","Ensemble","Assurances","50","s","s","s"
"81","Ensemble","Action sociale sans hebergement","9","s","s","s"
"81","Ensemble","Activites de services financiers et d assurances","4","13","13","633282"
"81","Ensemble","Assurances","38","491","448","16248200"
"81","Ensemble","Hebergement medico-social et social","1","s","s","s"
"82","Ensemble","Action sociale sans hebergement","4","79","53","1339893"
"82","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"82","Ensemble","Assurances","25","s","s","s"
"82","Ensemble","Hebergement medico-social et social","3","144","129","3251997"
"83","Ensemble","Action sociale sans hebergement","6","133","115","2516062"
"83","Ensemble","Activites de services financiers et d assurances","7","44","41","1781325"
"83","Ensemble","Assurances","60","615","574","23865286"
"83","Ensemble","Hebergement medico-social et social","4","226","204","5804504"
"84","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"84","Ensemble","Assurances","58","s","s","s"
"85","Ensemble","Action sociale sans hebergement","1","s","s","s"
"85","Ensemble","Activites de services financiers et d assurances","3","s","s","s"
"85","Ensemble","Assurances","43","s","s","s"
"86","Ensemble","Action sociale sans hebergement","1","s","s","s"
"86","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"86","Ensemble","Assurances","35","s","s","s"
"86","Ensemble","Hebergement medico-social et social","5","s","s","s"
"87","Ensemble","Action sociale sans hebergement","15","123","111","2605068"
"87","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"87","Ensemble","Assurances","43","s","s","s"
"87","Ensemble","Hebergement medico-social et social","11","282","248","6774622"
"88","Ensemble","Activites de services financiers et d assurances","3","6","5","265163"
"88","Ensemble","Assurances","29","243","225","8129199"
"89","Ensemble","Action sociale sans hebergement","9","s","s","s"
"89","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"89","Ensemble","Assurances","31","s","s","s"
"89","Ensemble","Hebergement medico-social et social","2","s","s","s"
"90","Ensemble","Action sociale sans hebergement","1","s","s","s"
"90","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"90","Ensemble","Assurances","19","s","s","s"
"90","Ensemble","Hebergement medico-social et social","3","s","s","s"
"91","Ensemble","Action sociale sans hebergement","1","s","s","s"
"91","Ensemble","Activites de services financiers et d assurances","4","s","138","5553215"
"91","Ensemble","Assurances","42","s","380","15516806"
"91","Ensemble","Hebergement medico-social et social","1","s","s","s"
"92","Ensemble","Action sociale sans hebergement","3","s","s","s"
"92","Ensemble","Activites de services financiers et d assurances","3","s","s","s"
"92","Ensemble","Activites des services financiers hors assurance et caisses","1","s","s","s"
"92","Ensemble","Assurances","62","2488","2421","133748455"
"92","Ensemble","Hebergement medico-social et social","2","s","s","s"
"93","Ensemble","Action sociale sans hebergement","1","s","s","s"
"93","Ensemble","Activites de services financiers et d assurances","4","s","s","s"
"93","Ensemble","Assurances","43","s","s","s"
"94","Ensemble","Activites de services financiers et d assurances","1","s","s","s"
"94","Ensemble","Assurances","46","s","s","s"
"95","Ensemble","Action sociale sans hebergement","1","s","s","s"
"95","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"95","Ensemble","Assurances","25","s","s","s"
"95","Ensemble","Hebergement medico-social et social","4","s","s","s"
"971","Ensemble","Action sociale sans hebergement","2","s","s","s"
"971","Ensemble","Assurances","32","287","273","12214887"
"972","Ensemble","Assurances","30","s","s","s"
"973","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"973","Ensemble","Assurances","9","s","s","s"
"974","Ensemble","Assurances","37","668","608","27030726"
"1","ACTION SOCIALE (QB)","Ensemble","4","150","123","3531554"
"1","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","52","413","376","14760695"
"1","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","8","39","34","1266371"
"1","SANTE HUMAINE (QA)","Ensemble","14","286","231","8235007"
"2","ACTION SOCIALE (QB)","Ensemble","1","s","s","s"
"2","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","49","369","355","14178903"
"2","SANTE HUMAINE (QA)","Ensemble","1","s","s","s"
"3","ACTION SOCIALE (QB)","Ensemble","3","66","50","1340943"
"3","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","34","484","449","19515097"
"3","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","5","17","17","601810"
"3","SANTE HUMAINE (QA)","Ensemble","4","19","17","875133"
"4","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","24","168","151","5841254"
"4","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","4","19","18","723045"
"4","SANTE HUMAINE (QA)","Ensemble","4","55","47","2126924"
"5","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","19","60","60","2322538"
"5","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","3","16","15","593680"
"5","SANTE HUMAINE (QA)","Ensemble","4","28","21","1193397"
"6","ACTION SOCIALE (QB)","Ensemble","8","194","138","3334589"
"6","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","106","912","835","32587261"
"6","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","11","43","38","1404060"
"6","SANTE HUMAINE (QA)","Ensemble","11","230","176","7599559"
"7","ACTION SOCIALE (QB)","Ensemble","14","583","495","12891885"
"7","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","33","199","185","6481137"
"7","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","7","s","16","540480"
"7","SANTE HUMAINE (QA)","Ensemble","4","s","71","2141162"
"8","ACTION SOCIALE (QB)","Ensemble","4","132","103","2655787"
"8","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","22","90","83","3458034"
"8","SANTE HUMAINE (QA)","Ensemble","10","113","93","3374970"
"9","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","13","51","44","1577350"
"9","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","6","s","s","s"
"9","SANTE HUMAINE (QA)","Ensemble","1","s","s","s"
"10","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","27","253","236","9044448"
"10","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","7","97","90","3428856"
"10","SANTE HUMAINE (QA)","Ensemble","3","71","61","1966699"
"11","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","34","228","217","7547875"
"11","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","10","68","66","2095584"
"11","SANTE HUMAINE (QA)","Ensemble","3","36","32","1557404"
"12","ACTION SOCIALE (QB)","Ensemble","2","s","s","s"
"12","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","33","474","453","17208058"
"12","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","13","s","s","s"
"12","SANTE HUMAINE (QA)","Ensemble","20","s","s","s"
"13","ACTION SOCIALE (QB)","Ensemble","13","323","266","7301817"
"13","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","172","2717","2438","101666588"
"13","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","11","106","88","3500386"
"13","SANTE HUMAINE (QA)","Ensemble","34","610","455","22196730"
"14","ACTION SOCIALE (QB)","Ensemble","24","672","584","14504941"
