"DEP","ESS","famille","sexe","type_emploi","nb_poste"
"France entière","ESS + Hors ESS","3. Association","Ensemble","Ensemble","1814171"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble","Ensemble","88875"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble","Ensemble","14828160"
"France entière","ESS + Hors ESS","Public","Ensemble","Ensemble","5685809"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble","Aides","6055"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble","Apprentis","4484"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble","Ordinaires","289554"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble","Stagiaires","605"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble","Aides","2952"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble","Apprentis","917"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble","Ordinaires","132860"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble","Stagiaires","177"
"France entière","ESS + Hors ESS","3. Association","Ensemble","Aides","167605"
"France entière","ESS + Hors ESS","3. Association","Ensemble","Apprentis","8367"
"France entière","ESS + Hors ESS","3. Association","Ensemble","Ordinaires","1631937"
"France entière","ESS + Hors ESS","3. Association","Ensemble","Stagiaires","6262"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble","Aides","2778"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble","Apprentis","334"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble","Ordinaires","85212"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble","Stagiaires","551"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble","Aides","227620"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble","Apprentis","369729"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble","Ordinaires","14192965"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble","Stagiaires","37846"
"France entière","ESS + Hors ESS","Public","Ensemble","Aides","159492"
"France entière","ESS + Hors ESS","Public","Ensemble","Apprentis","21998"
"France entière","ESS + Hors ESS","Public","Ensemble","Ordinaires","5503751"
"France entière","ESS + Hors ESS","Public","Ensemble","Stagiaires","568"
"France entière","ESS + Hors ESS","1. Coopérative","Femmes","Ensemble","144837"
"France entière","ESS + Hors ESS","1. Coopérative","Hommes","Ensemble","155861"
"France entière","ESS + Hors ESS","2. Mutuelle","Femmes","Ensemble","100584"
"France entière","ESS + Hors ESS","2. Mutuelle","Hommes","Ensemble","36322"
"France entière","ESS + Hors ESS","3. Association","Femmes","Ensemble","1253925"
"France entière","ESS + Hors ESS","3. Association","Hommes","Ensemble","560246"
"France entière","ESS + Hors ESS","4. Fondation","Femmes","Ensemble","64838"
"France entière","ESS + Hors ESS","4. Fondation","Hommes","Ensemble","24037"
"France entière","ESS + Hors ESS","Privé Hors ESS","Femmes","Ensemble","6076278"
"France entière","ESS + Hors ESS","Privé Hors ESS","Hommes","Ensemble","8751882"
"France entière","ESS + Hors ESS","Public","Femmes","Ensemble","3570136"
"France entière","ESS + Hors ESS","Public","Hommes","Ensemble","2115673"
"France entière","ESS + Hors ESS","1. Coopérative","Femmes","Aides","3056"
"France entière","ESS + Hors ESS","1. Coopérative","Femmes","Apprentis","1837"
"France entière","ESS + Hors ESS","1. Coopérative","Femmes","Ordinaires","139600"
"France entière","ESS + Hors ESS","1. Coopérative","Femmes","Stagiaires","344"
"France entière","ESS + Hors ESS","1. Coopérative","Hommes","Aides","2999"
"France entière","ESS + Hors ESS","1. Coopérative","Hommes","Apprentis","2647"
"France entière","ESS + Hors ESS","1. Coopérative","Hommes","Ordinaires","149954"
"France entière","ESS + Hors ESS","1. Coopérative","Hommes","Stagiaires","261"
"France entière","ESS + Hors ESS","2. Mutuelle","Femmes","Aides","2025"
"France entière","ESS + Hors ESS","2. Mutuelle","Femmes","Apprentis","566"
"France entière","ESS + Hors ESS","2. Mutuelle","Femmes","Ordinaires","97882"
"France entière","ESS + Hors ESS","2. Mutuelle","Femmes","Stagiaires","111"
"France entière","ESS + Hors ESS","2. Mutuelle","Hommes","Aides","927"
"France entière","ESS + Hors ESS","2. Mutuelle","Hommes","Apprentis","351"
"France entière","ESS + Hors ESS","2. Mutuelle","Hommes","Ordinaires","34978"
"France entière","ESS + Hors ESS","2. Mutuelle","Hommes","Stagiaires","66"
"France entière","ESS + Hors ESS","3. Association","Femmes","Aides","88168"
"France entière","ESS + Hors ESS","3. Association","Femmes","Apprentis","4292"
"France entière","ESS + Hors ESS","3. Association","Femmes","Ordinaires","1157153"
"France entière","ESS + Hors ESS","3. Association","Femmes","Stagiaires","4312"
"France entière","ESS + Hors ESS","3. Association","Hommes","Aides","79437"
"France entière","ESS + Hors ESS","3. Association","Hommes","Apprentis","4075"
"France entière","ESS + Hors ESS","3. Association","Hommes","Ordinaires","474784"
"France entière","ESS + Hors ESS","3. Association","Hommes","Stagiaires","1950"
"France entière","ESS + Hors ESS","4. Fondation","Femmes","Aides","1751"
"France entière","ESS + Hors ESS","4. Fondation","Femmes","Apprentis","219"
"France entière","ESS + Hors ESS","4. Fondation","Femmes","Ordinaires","62493"
"France entière","ESS + Hors ESS","4. Fondation","Femmes","Stagiaires","375"
"France entière","ESS + Hors ESS","4. Fondation","Hommes","Aides","1027"
"France entière","ESS + Hors ESS","4. Fondation","Hommes","Apprentis","115"
"France entière","ESS + Hors ESS","4. Fondation","Hommes","Ordinaires","22719"
"France entière","ESS + Hors ESS","4. Fondation","Hommes","Stagiaires","176"
"France entière","ESS + Hors ESS","Privé Hors ESS","Femmes","Aides","114578"
"France entière","ESS + Hors ESS","Privé Hors ESS","Femmes","Apprentis","118714"
"France entière","ESS + Hors ESS","Privé Hors ESS","Femmes","Ordinaires","5824315"
"France entière","ESS + Hors ESS","Privé Hors ESS","Femmes","Stagiaires","18671"
"France entière","ESS + Hors ESS","Privé Hors ESS","Hommes","Aides","113042"
"France entière","ESS + Hors ESS","Privé Hors ESS","Hommes","Apprentis","251015"
"France entière","ESS + Hors ESS","Privé Hors ESS","Hommes","Ordinaires","8368650"
"France entière","ESS + Hors ESS","Privé Hors ESS","Hommes","Stagiaires","19175"
"France entière","ESS + Hors ESS","Public","Femmes","Aides","109214"
"France entière","ESS + Hors ESS","Public","Femmes","Apprentis","11233"
"France entière","ESS + Hors ESS","Public","Femmes","Ordinaires","3449434"
"France entière","ESS + Hors ESS","Public","Femmes","Stagiaires","255"
"France entière","ESS + Hors ESS","Public","Hommes","Aides","50278"
"France entière","ESS + Hors ESS","Public","Hommes","Apprentis","10765"
"France entière","ESS + Hors ESS","Public","Hommes","Ordinaires","2054317"
"France entière","ESS + Hors ESS","Public","Hommes","Stagiaires","313"
"France entière","ESS","1. Coopérative","Ensemble","Ensemble","300698"
"France entière","ESS","2. Mutuelle","Ensemble","Ensemble","136906"
"France entière","ESS","3. Association","Ensemble","Ensemble","1814171"
"France entière","ESS","4. Fondation","Ensemble","Ensemble","88875"
"France entière","Hors ESS","Privé Hors ESS","Ensemble","Ensemble","14828160"
"France entière","Hors ESS","Public","Ensemble","Ensemble","5685809"
"France entière","ESS","1. Coopérative","Ensemble","Aides","6055"
"France entière","ESS","1. Coopérative","Ensemble","Apprentis","4484"
"France entière","ESS","1. Coopérative","Ensemble","Ordinaires","289554"
"France entière","ESS","1. Coopérative","Ensemble","Stagiaires","605"
"France entière","ESS","2. Mutuelle","Ensemble","Aides","2952"
"France entière","ESS","2. Mutuelle","Ensemble","Apprentis","917"
"France entière","ESS","2. Mutuelle","Ensemble","Ordinaires","132860"
"France entière","ESS","2. Mutuelle","Ensemble","Stagiaires","177"
"France entière","ESS","3. Association","Ensemble","Aides","167605"
"France entière","ESS","3. Association","Ensemble","Apprentis","8367"
"France entière","ESS","3. Association","Ensemble","Ordinaires","1631937"
"France entière","ESS","3. Association","Ensemble","Stagiaires","6262"
"France entière","ESS","4. Fondation","Ensemble","Aides","2778"
"France entière","ESS","4. Fondation","Ensemble","Apprentis","334"
"France entière","ESS","4. Fondation","Ensemble","Ordinaires","85212"
"France entière","ESS","4. Fondation","Ensemble","Stagiaires","551"
"France entière","Hors ESS","Privé Hors ESS","Ensemble","Aides","227620"
"France entière","Hors ESS","Privé Hors ESS","Ensemble","Apprentis","369729"
"France entière","Hors ESS","Privé Hors ESS","Ensemble","Ordinaires","14192965"
"France entière","Hors ESS","Privé Hors ESS","Ensemble","Stagiaires","37846"
"France entière","Hors ESS","Public","Ensemble","Aides","159492"
"France entière","Hors ESS","Public","Ensemble","Apprentis","21998"
"France entière","Hors ESS","Public","Ensemble","Ordinaires","5503751"
"France entière","Hors ESS","Public","Ensemble","Stagiaires","568"
"France entière","ESS","1. Coopérative","Femmes","Ensemble","144837"
"France entière","ESS","1. Coopérative","Hommes","Ensemble","155861"
"France entière","ESS","2. Mutuelle","Femmes","Ensemble","100584"
"France entière","ESS","2. Mutuelle","Hommes","Ensemble","36322"
"France entière","ESS","3. Association","Femmes","Ensemble","1253925"
"France entière","ESS","3. Association","Hommes","Ensemble","560246"
"France entière","ESS","4. Fondation","Femmes","Ensemble","64838"
"France entière","ESS","4. Fondation","Hommes","Ensemble","24037"
"France entière","Hors ESS","Privé Hors ESS","Femmes","Ensemble","6076278"
"France entière","Hors ESS","Privé Hors ESS","Hommes","Ensemble","8751882"
"France entière","Hors ESS","Public","Femmes","Ensemble","3570136"
"France entière","Hors ESS","Public","Hommes","Ensemble","2115673"
"France entière","ESS","1. Coopérative","Femmes","Aides","3056"
"France entière","ESS","1. Coopérative","Femmes","Apprentis","1837"
"France entière","ESS","1. Coopérative","Femmes","Ordinaires","139600"
"France entière","ESS","1. Coopérative","Femmes","Stagiaires","344"
"France entière","ESS","1. Coopérative","Hommes","Aides","2999"
"France entière","ESS","1. Coopérative","Hommes","Apprentis","2647"
"France entière","ESS","1. Coopérative","Hommes","Ordinaires","149954"
"France entière","ESS","1. Coopérative","Hommes","Stagiaires","261"
"France entière","ESS","2. Mutuelle","Femmes","Aides","2025"
"France entière","ESS","2. Mutuelle","Femmes","Apprentis","566"
"France entière","ESS","2. Mutuelle","Femmes","Ordinaires","97882"
"France entière","ESS","2. Mutuelle","Femmes","Stagiaires","111"
"France entière","ESS","2. Mutuelle","Hommes","Aides","927"
"France entière","ESS","2. Mutuelle","Hommes","Apprentis","351"
"France entière","ESS","2. Mutuelle","Hommes","Ordinaires","34978"
"France entière","ESS","2. Mutuelle","Hommes","Stagiaires","66"
"France entière","ESS","3. Association","Femmes","Aides","88168"
"France entière","ESS","3. Association","Femmes","Apprentis","4292"
"France entière","ESS","3. Association","Femmes","Ordinaires","1157153"
"France entière","ESS","3. Association","Femmes","Stagiaires","4312"
"France entière","ESS","3. Association","Hommes","Aides","79437"
"France entière","ESS","3. Association","Hommes","Apprentis","4075"
"France entière","ESS","3. Association","Hommes","Ordinaires","474784"
"France entière","ESS","3. Association","Hommes","Stagiaires","1950"
"France entière","ESS","4. Fondation","Femmes","Aides","1751"
"France entière","ESS","4. Fondation","Femmes","Apprentis","219"
"France entière","ESS","4. Fondation","Femmes","Ordinaires","62493"
"France entière","ESS","4. Fondation","Femmes","Stagiaires","375"
"France entière","ESS","4. Fondation","Hommes","Aides","1027"
"France entière","ESS","4. Fondation","Hommes","Apprentis","115"
"France entière","ESS","4. Fondation","Hommes","Ordinaires","22719"
"France entière","ESS","4. Fondation","Hommes","Stagiaires","176"
"France entière","Hors ESS","Privé Hors ESS","Femmes","Aides","114578"
"France entière","Hors ESS","Privé Hors ESS","Femmes","Apprentis","118714"
"France entière","Hors ESS","Privé Hors ESS","Femmes","Ordinaires","5824315"
"France entière","Hors ESS","Privé Hors ESS","Femmes","Stagiaires","18671"
"France entière","Hors ESS","Privé Hors ESS","Hommes","Aides","113042"
"France entière","Hors ESS","Privé Hors ESS","Hommes","Apprentis","251015"
"France entière","Hors ESS","Privé Hors ESS","Hommes","Ordinaires","8368650"
"France entière","Hors ESS","Privé Hors ESS","Hommes","Stagiaires","19175"
"France entière","Hors ESS","Public","Femmes","Aides","109214"
"France entière","Hors ESS","Public","Femmes","Apprentis","11233"
"France entière","Hors ESS","Public","Femmes","Ordinaires","3449434"
"France entière","Hors ESS","Public","Femmes","Stagiaires","255"
"France entière","Hors ESS","Public","Hommes","Aides","50278"
"France entière","Hors ESS","Public","Hommes","Apprentis","10765"
"France entière","Hors ESS","Public","Hommes","Ordinaires","2054317"
"France entière","Hors ESS","Public","Hommes","Stagiaires","313"
"1","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","175470"
"2","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","139231"
"3","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","96204"
"4","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","43848"
"5","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","43109"
"6","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","371764"
"7","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","82318"
"8","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","72982"
"9","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","39574"
"10","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","90024"
"11","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","92592"
"12","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","83349"
"13","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","732057"
"14","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","233040"
"15","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","42551"
"16","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","108473"
"17","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","177492"
"18","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","86977"
"19","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","73664"
"21","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","194343"
"22","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","171201"
"23","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","29866"
"24","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","110937"
"25","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","176928"
"26","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","174157"
"27","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","156640"
"28","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","123170"
"29","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","276261"
"2A","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","52626"
"2B","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","50134"
"30","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","192769"
"31","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","549379"
"32","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","50435"
"33","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","561787"
"34","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","357372"
"35","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","395650"
"36","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","64570"
"37","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","200155"
"38","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","420702"
"39","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","77033"
"40","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","111479"
"41","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","99559"
"42","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","236897"
"43","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","63221"
"44","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","525814"
"45","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","229521"
"46","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","48884"
"47","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","94814"
"48","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","23552"
"49","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","266770"
"50","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","150416"
"51","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","197738"
"52","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","51977"
"53","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","100454"
"54","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","221990"
"55","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","47520"
"56","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","220420"
"57","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","292371"
"58","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","58420"
"59","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","892215"
"60","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","226311"
"61","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","84302"
"62","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","409559"
"63","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","224140"
"64","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","219039"
"65","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","65812"
"66","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","124775"
"67","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","415078"
"68","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","237937"
"69","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","814756"
"70","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","59113"
"71","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","166862"
"72","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","176285"
"73","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","159202"
"74","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","247722"
"75","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","1686206"
"76","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","430102"
"77","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","433781"
"78","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","487255"
"79","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","125221"
"80","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","177022"
"81","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","103955"
"82","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","65254"
"83","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","270531"
"84","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","176930"
"85","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","216071"
"86","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","141795"
"87","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","140201"
"88","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","108313"
"89","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","97564"
"90","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","44486"
"91","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","431195"
"92","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","1027773"
"93","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","589626"
"94","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","505142"
"95","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","355094"
"971","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","107541"
"972","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","113819"
"973","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","53366"
"974","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","230617"
"1","ESS + Hors ESS","Ensemble","Ensemble","Aides","3538"
"1","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","4191"
"1","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","167596"
"1","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","145"
"2","ESS + Hors ESS","Ensemble","Ensemble","Aides","5900"
"2","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","2828"
"2","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","130377"
"2","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","126"
"3","ESS + Hors ESS","Ensemble","Ensemble","Aides","2184"
"3","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","1991"
"3","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","91974"
"3","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","55"
"4","ESS + Hors ESS","Ensemble","Ensemble","Aides","1103"
"4","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","976"
"4","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","41740"
"4","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","29"
"5","ESS + Hors ESS","Ensemble","Ensemble","Aides","1010"
"5","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","710"
"5","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","41362"
"5","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","27"
"6","ESS + Hors ESS","Ensemble","Ensemble","Aides","6777"
"6","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","5284"
"6","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","359185"
"6","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","518"
"7","ESS + Hors ESS","Ensemble","Ensemble","Aides","2590"
"7","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","1600"
"7","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","78079"
"7","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","49"
"8","ESS + Hors ESS","Ensemble","Ensemble","Aides","2403"
"8","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","1584"
"8","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","68962"
"8","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","33"
"9","ESS + Hors ESS","Ensemble","Ensemble","Aides","1554"
"9","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","867"
"9","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","37137"
"9","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","16"
"10","ESS + Hors ESS","Ensemble","Ensemble","Aides","2613"
"10","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","1478"
"10","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","85865"
"10","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","68"
"11","ESS + Hors ESS","Ensemble","Ensemble","Aides","2918"
"11","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","1845"
"11","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","87799"
"11","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","30"
"12","ESS + Hors ESS","Ensemble","Ensemble","Aides","2216"
"12","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","1830"
"12","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","79267"
"12","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","36"
"13","ESS + Hors ESS","Ensemble","Ensemble","Aides","18111"
"13","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","10204"
"13","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","702773"
"13","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","969"
"14","ESS + Hors ESS","Ensemble","Ensemble","Aides","6209"
"14","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","4410"
"14","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","222211"
"14","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","210"
"15","ESS + Hors ESS","Ensemble","Ensemble","Aides","1461"
"15","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","750"
"15","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","40319"
"15","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","21"
"16","ESS + Hors ESS","Ensemble","Ensemble","Aides","3049"
"16","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","2435"
"16","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","102924"
"16","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","65"
"17","ESS + Hors ESS","Ensemble","Ensemble","Aides","5276"
"17","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","4321"
"17","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","167797"
"17","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","98"
